-0.0594428-0j -0.0105081-0j -0.000875675-0j -0.0519797-0j -0.00866329-0j -0.00530516-0j -0.00108291-0j -6.38112e-05-0j 0.0315942-0j -0.0331947-0j 0.00509849-0j -0.00535677-0j 0.0041629-0j 0.000600863-0j -0.00437379-0j 0.000520362-0j -0.000631302-0j -0.000546723-0j 6.13253e-05-0j -6.44319e-05-0j 2.7991e-06-0j -2.9409e-06-0j -0.0244727-0j 0.029122-0j -0.0176653-0j -0.00386948-0j 0.00460459-0j -0.00305909-0j -0.00279314-0j -0.00203939-0j -0.000441542-0j 0.00364025-0j -0.000509848-0j 0.00242683-0j 0.000525425-0j -0.00220817-0j -0.000180259-0j -4.24874e-05-0j -0.00147211-0j -0.000318722-0j 0.000606708-0j -4.50646e-05-0j 0.000214504-0j -3.75539e-06-0j 5.0559e-05-0j -0.000368028-0j -0.000130118-0j 5.36259e-05-0j -1.39955e-07-0j -3.0669e-05-0j -3.25294e-05-0j 4.46883e-06-0j -2.71078e-06-0j 1.66543e-07-0j -1.01025e-07-0j -0.0196095-0j -0.0228778-0j 0.0409545-0j 0.0192503-0j -0.00305717-0j -0.00825702-0j -0.0035667-0j -0.00236807-0j 0.0063849-0j -0.000341802-0j 0.00300117-0j -0.00216174-0j -0.00128729-0j -0.00276275-0j -0.000382146-0j 0.00494572-0j -0.000398769-0j -0.000254764-0j -0.00252203-0j -3.18455e-05-0j 0.000713854-0j 0.00232469-0j -0.000220632-0j 0.00451481-0j 0.00033554-0j -0.000997129-0j -0.000445837-0j 0.00212214-0j -4.50363e-05-0j -0.000143923-0j -0.000297225-0j 0.000798113-0j -2.25182e-05-0j -3.71531e-05-0j -2.65379e-06-0j -0.000910251-0j 0.000532075-0j -0.000257404-0j 0.000375146-0j -3.25022e-06-0j 6.65094e-05-0j 0.000460791-0j -5.25424e-05-0j 0.000250097-0j 3.12621e-05-0j -2.09801e-07-0j -0.000160911-0j 0.00021659-0j 9.40585e-05-0j -2.62712e-05-0j -0.000107274-0j -3.09609e-06-0j -1.34093e-05-0j -6.6081e-09-0j 4.70292e-05-0j 4.42113e-05-0j 5.54245e-06-0j -9.29021e-05-0j -3.79192e-06-0j 2.21057e-05-0j 6.78809e-06-0j 2.60518e-06-0j -2.44767e-07-0j -1.89636e-05-0j -9.48178e-06-0j 3.19068e-06-0j 4.38169e-07-0j -7.70945e-09-0j -1.11744e-06-0j 2.05957e-07-0j 1.3801e-08-0j -1.36858e-06-0j 6.48705e-09-0j -8.83412e-08-0j -2.78249e-09-0j 
0.0600588-0j 0.010617-0j 0.000884749-0j -0.0504395-0j -0.00840658-0j -0.00514796-0j -0.00105082-0j -6.19203e-05-0j 0.0331947-0j -0.0335124-0j 0.00535677-0j -0.00540804-0j 0.00437379-0j 0.000631302-0j -0.00441565-0j 0.000546723-0j -0.000637344-0j -0.000551956-0j 6.44319e-05-0j -6.50486e-05-0j 2.9409e-06-0j -2.96905e-06-0j 0.0247263-0j -0.0293861-0j 0.0157708-0j 0.00390958-0j -0.00464635-0j 0.00309079-0j 0.00249358-0j 0.00206053-0j 0.000446117-0j -0.00367326-0j 0.000515132-0j -0.00244884-0j -0.000530189-0j 0.00197135-0j 0.000182127-0j 4.29276e-05-0j 0.00131423-0j 0.000284539-0j -0.00061221-0j 4.55316e-05-0j -0.000216449-0j 3.7943e-06-0j -5.10175e-05-0j 0.000328558-0j 0.000116163-0j -5.41122e-05-0j 1.41405e-07-0j 2.73798e-05-0j 2.90407e-05-0j -4.50935e-06-0j 2.42006e-06-0j -1.68054e-07-0j 9.01902e-08-0j 0.0198127-0j -0.0221998-0j 0.0141549-0j -0.0202096-0j 0.00308885-0j 0.0391102-0j -0.00346101-0j 0.00239261-0j 0.00220678-0j 0.000345344-0j -0.00315073-0j 0.00218415-0j 0.00609738-0j -0.00268088-0j 0.000386106-0j 0.00170936-0j -0.000386952-0j 0.000257404-0j -0.0024473-0j 3.21755e-05-0j 0.000246726-0j -0.00244054-0j 0.000222918-0j 0.00156043-0j -0.000352262-0j 0.00472301-0j -0.000432626-0j -0.0022279-0j 4.5503e-05-0j 0.000681707-0j -0.000288417-0j 0.000275848-0j 2.27515e-05-0j -3.60522e-05-0j 2.68129e-06-0j 0.0043115-0j 0.000183898-0j -0.000249777-0j -0.000393841-0j 3.2839e-06-0j 2.29873e-05-0j 0.000159261-0j -5.09854e-05-0j -0.000262561-0j -3.28201e-05-0j 2.11975e-07-0j 0.000762172-0j -0.000227384-0j 3.25089e-05-0j -2.54927e-05-0j 0.000508115-0j -3.00435e-06-0j 6.35143e-05-0j 6.67658e-09-0j 1.62545e-05-0j -4.64146e-05-0j 1.91561e-06-0j 0.00044004-0j -3.67956e-06-0j -2.32073e-05-0j 2.34613e-06-0j -2.73501e-06-0j -2.37514e-07-0j 8.98228e-05-0j 4.49114e-05-0j -3.34969e-06-0j 1.51442e-07-0j -7.481e-09-0j 5.29286e-06-0j -2.16221e-07-0j 4.76998e-09-0j 6.4824e-06-0j -6.81033e-09-0j 4.18437e-07-0j 1.31795e-08-0j 
0.007001-0j -0.0582052-0j -0.0147576-0j 0.00612202-0j -0.0479866-0j 0.000624826-0j -0.0121242-0j -0.00143637-0j 0.00386948-0j 0.00390958-0j -0.0293672-0j -0.0296716-0j 0.000509848-0j -0.00699551-0j 0.000515132-0j -0.00299728-0j -0.00706801-0j -0.00302834-0j -0.00107472-0j -0.00108586-0j -8.19853e-05-0j -8.28349e-05-0j -0.00560416-0j 0.0035667-0j 0.00208057-0j 0.0416732-0j -0.0265224-0j -0.00070052-0j -0.0154714-0j -0.000467014-0j 0.00961169-0j 0.000445837-0j 0.00549093-0j 0.000297225-0j -0.00611723-0j 0.000260072-0j -4.12786e-05-0j 0.00139219-0j 0.000173381-0j -0.00356838-0j -0.00349463-0j 0.000980989-0j 2.62712e-05-0j 0.000164358-0j -0.000886042-0j -0.00203854-0j 1.53249e-05-0j -0.000624337-0j 9.20392e-06-0j -0.000516858-0j -0.000364197-0j -0.000104604-0j -6.10187e-05-0j -5.85771e-06-0j -3.417e-06-0j 0.00230955-0j -0.00523892-0j 0.00165002-0j 0.00235767-0j -0.0169339-0j 0.000972488-0j 0.0384124-0j 0.000278905-0j -0.0120982-0j -0.00382679-0j -0.0172867-0j 0.000254604-0j -0.00713039-0j -0.00063266-0j -0.00211674-0j 0.000199259-0j 0.00868059-0j -0.00141116-0j -0.000577537-0j -0.000536685-0j -0.00273399-0j 0.000284715-0j 2.59854e-05-0j 0.000181898-0j -0.00390651-0j 0.000117439-0j 0.00480155-0j 0.000259908-0j -0.000504224-0j -0.00161135-0j 0.00320103-0j -0.00151227-0j -0.00012473-0j 0.0012174-0j -5.97359e-05-0j 0.000107207-0j -0.00100818-0j -5.89446e-05-0j -0.00216083-0j -5.47752e-05-0j -0.000383427-0j 1.85649e-05-0j 0.00114377-0j -0.00144056-0j -0.000547866-0j -5.90935e-06-0j -0.000891299-0j 2.65268e-05-0j -0.000360235-0j 0.000282934-0j -0.000594199-0j 0.000135503-0j -0.000225983-0j -2.60889e-07-0j -8.91113e-05-0j -0.000514728-0j -4.26774e-05-0j 1.09417e-05-0j 0.000124251-0j -0.000127328-0j -3.91333e-05-0j -6.09804e-05-0j 1.34046e-05-0j -0.000212315-0j -5.25203e-05-0j -5.59164e-05-0j -4.22184e-06-0j 5.91794e-07-0j -2.51531e-05-0j -6.03246e-06-0j -1.86388e-07-0j -2.30643e-05-0j -2.66324e-07-0j -2.48826e-06-0j -1.09853e-07-0j 
-0.00866329-0j 0.0720252-0j 0.0182615-0j -0.00014994-0j 0.00117529-0j -1.53032e-05-0j 0.000296945-0j 3.51794e-05-0j 0.00460459-0j 0.00464635-0j -0.0349464-0j -0.0352633-0j 0.000606708-0j -0.00832451-0j 0.00061221-0j -0.0035667-0j -0.0084-0j -0.00359904-0j -0.00127889-0j -0.00129049-0j -9.75607e-05-0j -9.84454e-05-0j -0.0035667-0j 8.4005e-05-0j 0.00499628-0j 0.0265224-0j -0.000624671-0j -0.000445837-0j -0.037153-0j -0.000297225-0j 0.00611723-0j 1.05006e-05-0j 0.00349463-0j 7.00041e-06-0j -0.000144077-0j 0.000624535-0j -2.62712e-05-0j 0.000886042-0j 0.000416357-0j -0.00856911-0j -8.23077e-05-0j 0.000624337-0j 6.18755e-07-0j 0.000104604-0j -2.08686e-05-0j -0.00489533-0j 3.68011e-05-0j -1.47048e-05-0j 5.85771e-06-0j -0.00124118-0j -0.000874581-0j -2.46369e-06-0j -0.00014653-0j -1.37964e-07-0j -8.20557e-06-0j -0.00285792-0j -6.59929e-05-0j 0.00596878-0j -0.00269451-0j 0.0209546-0j 0.0035149-0j 0.000483868-0j -0.000345127-0j -0.0437638-0j 0.00473541-0j 0.0197565-0j -0.000315056-0j -0.0257717-0j -7.9694e-06-0j 0.00261933-0j 0.000720798-0j 0.000109346-0j 0.00174622-0j -7.27504e-06-0j 0.000664114-0j -0.00988992-0j -0.000325393-0j -3.21553e-05-0j 0.000657996-0j 0.00446465-0j 0.000424465-0j 6.04835e-05-0j -0.000297042-0j 0.000623945-0j -0.00582399-0j 4.03223e-05-0j -0.00547047-0j 0.000154345-0j 1.53352e-05-0j 7.39194e-05-0j 0.000387482-0j -0.00364698-0j -7.42505e-07-0j 0.00246956-0j 6.77809e-05-0j -0.001387-0j 6.71564e-05-0j 1.44077e-05-0j 0.00164637-0j 0.000626141-0j 7.31245e-06-0j -0.00322146-0j -3.03167e-05-0j -0.00130311-0j 3.56402e-06-0j -0.00214764-0j 1.70689e-06-0j -0.000816781-0j 3.22834e-07-0j -0.000322351-0j 0.000588269-0j -0.000154381-0j 3.95472e-05-0j 1.56514e-06-0j 0.00014552-0j -0.000141561-0j 6.96928e-05-0j 1.68853e-07-0j -0.000767378-0j -0.000189826-0j 6.39053e-05-0j -1.52721e-05-0j 7.45463e-09-0j -9.0912e-05-0j 6.89433e-06-0j -6.74239e-07-0j -8.33624e-05-0j 3.04375e-07-0j -8.99344e-06-0j -3.97047e-07-0j 
0.00505359-0j -0.0420147-0j -0.0106526-0j -0.00857583-0j 0.0672204-0j -0.000875267-0j 0.0169838-0j 0.00201208-0j 0.00279314-0j 0.00249358-0j -0.0211984-0j -0.0189249-0j 0.000368028-0j -0.00504963-0j 0.000328558-0j -0.00216355-0j -0.00450807-0j -0.00193152-0j -0.000775774-0j -0.000692574-0j -5.91801e-05-0j -5.28332e-05-0j 0.00208057-0j -0.00499628-0j 0.00573989-0j -0.0154714-0j 0.037153-0j 0.000260072-0j -0.0426825-0j 0.000173381-0j -0.00356838-0j -0.000624535-0j -0.00203854-0j -0.000416357-0j 0.00856911-0j 0.000717486-0j 1.53249e-05-0j -0.000516858-0j 0.000478324-0j -0.00984447-0j 0.00489533-0j -0.000364197-0j -3.68011e-05-0j -6.10187e-05-0j 0.00124118-0j -0.00562392-0j 4.22783e-05-0j 0.000874581-0j -3.417e-06-0j -0.00142591-0j -0.00100475-0j 0.00014653-0j -0.000168339-0j 8.20557e-06-0j -9.42683e-06-0j 0.00166712-0j -0.00377446-0j 0.00119105-0j 0.00150375-0j -0.0122235-0j 0.000858936-0j 0.0276748-0j 0.000201324-0j -0.00873291-0j -0.00276232-0j -0.0110257-0j 0.000183783-0j -0.00629782-0j -0.00045581-0j -0.00152794-0j 0.000143833-0j 0.00625406-0j -0.00101863-0j -0.000416095-0j -0.0003874-0j -0.0019735-0j 0.000181595-0j 1.87573e-05-0j 0.000131301-0j -0.00249163-0j 0.000103726-0j 0.00345935-0j 0.000165773-0j -0.000363968-0j -0.00142321-0j 0.00230623-0j -0.00109161-0j -9.00348e-05-0j 0.000877097-0j -4.31196e-05-0j 9.46888e-05-0j -0.000727742-0j -4.24676e-05-0j -0.00137821-0j -3.95388e-05-0j -0.000276772-0j 1.34008e-05-0j 0.000824045-0j -0.000918806-0j -0.000349436-0j -4.26559e-06-0j -0.000787227-0j 1.69191e-05-0j -0.000260031-0j 0.000203844-0j -0.000524818-0j 9.76255e-05-0j -0.000199597-0j -1.8832e-07-0j -6.4324e-05-0j -0.0003283-0j -3.08062e-05-0j 9.66414e-06-0j 8.95183e-05-0j -8.12117e-05-0j -2.82479e-05-0j -3.88941e-05-0j 9.65756e-06-0j -0.000187524-0j -4.63878e-05-0j -3.56642e-05-0j -3.04749e-06-0j 4.26367e-07-0j -2.22162e-05-0j -3.84758e-06-0j -1.34542e-07-0j -2.03712e-05-0j -1.69865e-07-0j -2.19772e-06-0j -9.70263e-08-0j 
0.00428452-0j -0.0720448-0j 6.3117e-05-0j 0.0037466-0j 0.000624434-0j -0.0731281-0j -0.00742458-0j 4.59939e-06-0j 0.00236807-0j 0.00239261-0j 0.000382146-0j 0.000386106-0j -0.0296797-0j 4.50363e-05-0j -0.0299872-0j -0.00745892-0j 4.5503e-05-0j -0.00753621-0j -0.000437223-0j -0.000441753-0j 2.09801e-07-0j 2.11975e-07-0j 0.00176395-0j 0.00218277-0j 0.00127329-0j 0.000278905-0j 0.000345127-0j -0.0209735-0j 0.000201324-0j 0.000146996-0j 3.18255e-05-0j -0.0259534-0j -0.00349558-0j 0.000181898-0j 3.9382e-05-0j -0.0151395-0j -0.00373361-0j 3.06241e-06-0j 0.000106107-0j 2.29729e-05-0j -0.00432556-0j -0.000621186-0j -0.00462011-0j -2.57474e-05-0j 3.78954e-06-0j -0.00252325-0j -0.00269506-0j -0.000768678-0j 1.00877e-08-0j 2.21056e-06-0j -0.000448396-0j -3.18608e-05-0j -1.85855e-05-0j 1.24829e-08-0j 7.28169e-09-0j -0.00413881-0j 0.00164899-0j 0.00100979-0j 0.00144286-0j -0.00064525-0j 0.00059515-0j 0.000257081-0j 0.0475421-0j 0.000157429-0j -7.21411e-05-0j 0.000224946-0j -0.00045626-0j 9.27854e-05-0j -0.0189418-0j 0.00767208-0j -0.0115994-0j 2.87425e-05-0j -5.37708e-05-0j 0.000181784-0j -6.72135e-06-0j 1.76011e-05-0j -0.016574-0j 0.00890552-0j 0.000111319-0j 2.51497e-05-0j -0.00683644-0j -0.00305671-0j 0.000159061-0j 0.000904163-0j 1.03737e-05-0j 2.14234e-05-0j -0.00187185-0j 0.00136575-0j 2.67793e-06-0j -5.60113e-07-0j 6.56092e-05-0j 1.31191e-05-0j -0.00354814-0j -0.00267462-0j 0.000131191-0j 1.63989e-06-0j -0.00217278-0j -0.000360237-0j 1.87455e-05-0j 2.34318e-06-0j 4.21202e-06-0j -0.00110323-0j -0.00310462-0j -0.000220599-0j -0.000544143-0j 7.73212e-06-0j 2.2316e-07-0j 9.66514e-07-0j -1.39471e-09-0j -0.000333218-0j -0.000315208-0j 1.36657e-07-0j -0.00128059-0j -5.22691e-05-0j -0.000476125-0j -3.20081e-05-0j 1.95265e-07-0j -1.67816e-06-0j -0.000130016-0j -0.000196392-0j -4.57354e-05-0j -1.02766e-06-0j 5.55683e-10-0j 8.05429e-08-0j -1.46839e-06-0j 3.40285e-10-0j -1.88649e-05-0j 4.86222e-10-0j -6.05679e-07-0j 2.00557e-10-0j 
-0.000618418-0j 0.0103922-0j -0.123481-0j -0.000540776-0j 0.00856772-0j -5.51927e-05-0j -0.0498266-0j -0.0181232-0j -0.000341802-0j -0.000345344-0j 0.00524334-0j 0.00529768-0j -4.50363e-05-0j -0.0287493-0j -4.5503e-05-0j 0.000535146-0j -0.0290472-0j 0.000540692-0j -0.00899251-0j -0.0090857-0j -0.00138264-0j -0.00139697-0j -0.000254604-0j -0.000315056-0j -0.000183783-0j 0.00382679-0j 0.00473541-0j -3.18255e-05-0j 0.00276232-0j -2.1217e-05-0j -0.0203161-0j -3.9382e-05-0j 0.000504224-0j -2.62547e-05-0j -0.0251398-0j -2.29729e-05-0j -1.87534e-06-0j -0.00599124-0j -1.53152e-05-0j -0.0146649-0j 0.000623945-0j -0.0020735-0j -2.32061e-06-0j -0.00106658-0j -0.00741378-0j 0.000363968-0j -1.35369e-06-0j -0.00256582-0j -9.99299e-05-0j -0.0043247-0j -0.00149673-0j -0.00131982-0j -0.000769897-0j -0.000123657-0j -7.21332e-05-0j 0.000597385-0j -0.000238011-0j -0.000145751-0j -0.000208259-0j -0.00885333-0j -8.59026e-05-0j 0.00352735-0j 7.21411e-05-0j 0.00216005-0j 0.0460518-0j 0.00308643-0j 6.58555e-05-0j 0.00127309-0j -2.87425e-05-0j -0.00110667-0j -1.76011e-05-0j -0.018348-0j -0.000737777-0j -2.62382e-05-0j 0.0131495-0j -0.0112358-0j -2.51497e-05-0j 6.72135e-06-0j -1.60676e-05-0j -0.0160545-0j -1.03737e-05-0j 0.000440919-0j -2.29584e-05-0j 0.00606786-0j -0.00662215-0j 0.000293946-0j 0.000270006-0j -6.52109e-05-0j -0.00523904-0j 0.00220704-0j -9.46987e-06-0j 0.000180004-0j -2.67793e-06-0j 0.000385804-0j 0.00134207-0j -0.00320824-0j -1.63989e-06-0j -0.00241756-0j 0.000257203-0j -0.00458416-0j 0.000291822-0j 0.000159136-0j -2.34318e-06-0j -0.00148045-0j 2.59814e-05-0j 0.000106091-0j -0.00087933-0j -0.00189087-0j 1.93697e-05-0j 1.59103e-05-0j -0.00211537-0j -0.000538477-0j -9.66514e-07-0j -0.000534707-0j 2.27337e-05-0j -0.00032744-0j -0.000769413-0j -0.000116268-0j -0.000872545-0j 9.37718e-06-0j -0.000467869-0j -7.11992e-05-0j -7.71727e-06-0j -0.000317367-0j -0.000101734-0j -4.72585e-06-0j -0.000192986-0j -6.75261e-06-0j -4.19633e-05-0j -2.78531e-06-0j 
-0.00499861-0j 0.0840523-0j -7.36365e-05-0j -8.65137e-05-0j -1.44189e-05-0j 0.00168862-0j 0.000171443-0j -1.06206e-07-0j -0.00276275-0j 0.00268088-0j -0.000445837-0j 0.000432626-0j 0.0346263-0j -5.25424e-05-0j -0.0336002-0j 0.00870207-0j 5.09854e-05-0j -0.00844421-0j 0.000510093-0j -0.000494978-0j -2.44767e-07-0j 2.37514e-07-0j 0.00400129-0j -5.04029e-05-0j 0.00288279-0j 0.00063266-0j -7.9694e-06-0j -0.0475757-0j 0.00045581-0j 0.000333441-0j 7.21921e-05-0j 0.000599295-0j -0.00792929-0j -4.20024e-06-0j -9.09379e-07-0j -0.0342767-0j -0.00846923-0j 6.94669e-06-0j 0.000240233-0j 5.20119e-05-0j 9.98825e-05-0j -0.00140908-0j 0.000106684-0j -5.84047e-05-0j -8.75051e-08-0j -0.00571278-0j -0.00610178-0j 1.77497e-05-0j 2.28827e-08-0j 5.00485e-06-0j -0.00101519-0j 7.35704e-07-0j -4.20786e-05-0j -2.88245e-10-0j 1.64862e-08-0j -0.00164899-0j 7.40341e-05-0j -0.00117809-0j 0.0016167-0j -0.000257081-0j 0.00202806-0j 1.15421e-05-0j 0.0189418-0j -0.000183667-0j -2.87425e-05-0j 0.000252048-0j -0.000181784-0j 0.000316179-0j -0.000850423-0j 0.00305671-0j 0.0135327-0j 1.29044e-06-0j -2.14234e-05-0j 8.16149e-06-0j -2.67793e-06-0j -2.05346e-05-0j -0.018571-0j 0.00354814-0j -0.000129872-0j 2.81798e-05-0j -0.0232961-0j -0.000137236-0j 0.000178225-0j 0.000360237-0j 3.53499e-05-0j 9.61841e-07-0j 0.00218382-0j 0.000544143-0j 1.2023e-07-0j -2.2316e-07-0j 0.000223572-0j -1.53056e-05-0j -0.0001593-0j -0.00299688-0j 5.22691e-05-0j -1.9132e-06-0j 0.00253492-0j -1.61735e-05-0j 2.1004e-05-0j 2.6255e-06-0j 1.67816e-06-0j -0.00375939-0j -0.00347868-0j 0.000257366-0j -2.44302e-05-0j 2.63482e-05-0j 1.00192e-08-0j 3.29353e-06-0j -5.55683e-10-0j 0.000388755-0j -0.000353185-0j -1.59434e-07-0j -0.00436379-0j -2.34671e-06-0j -0.000533491-0j 3.73428e-05-0j 2.18792e-07-0j -7.53437e-08-0j -0.000443049-0j -0.000669231-0j -5.12458e-05-0j 1.19893e-06-0j 2.49483e-11-0j 2.74461e-07-0j -1.6453e-06-0j -3.96999e-10-0j -6.42847e-05-0j 5.44805e-10-0j -2.06393e-06-0j 6.83424e-10-0j 
-0.00306101-0j 0.0514713-0j -4.5093e-05-0j -0.0026767-0j -0.000446117-0j 0.0522452-0j 0.00530437-0j -3.28596e-06-0j 0.00494572-0j -0.00170936-0j 0.000798113-0j -0.000275848-0j -0.061986-0j 9.40585e-05-0j 0.0214239-0j -0.015578-0j -3.25089e-05-0j 0.00538413-0j -0.00091314-0j 0.000315604-0j 4.38169e-07-0j -1.51442e-07-0j -0.00126023-0j 0.00455873-0j -0.000909679-0j -0.000199259-0j 0.000720798-0j 0.0149842-0j -0.000143833-0j -0.000105019-0j -2.27372e-05-0j -0.0542037-0j 0.00249737-0j 0.000379894-0j 8.22495e-05-0j 0.0108162-0j 0.00266742-0j -2.18789e-06-0j -7.58066e-05-0j -1.64126e-05-0j -0.00903395-0j 0.000443797-0j -0.00964911-0j 1.83948e-05-0j 7.91446e-06-0j 0.00180269-0j 0.00192545-0j -0.00160539-0j -7.207e-09-0j -1.5793e-06-0j 0.000320349-0j -6.65413e-05-0j 1.32781e-05-0j 2.60705e-08-0j -5.20229e-09-0j -0.00100979-0j -0.00117809-0j -0.000612878-0j 0.00301342-0j -0.000157429-0j -0.000425196-0j -0.000183667-0j 0.0115994-0j -9.55492e-05-0j -1.76011e-05-0j 0.0004698-0j -0.000111319-0j -6.62891e-05-0j 0.0135327-0j 0.00187185-0j 0.00704008-0j -2.05346e-05-0j -1.31191e-05-0j -0.000129872-0j -1.63989e-06-0j -1.06827e-05-0j -0.0346149-0j 0.00217278-0j -6.75635e-05-0j 5.25252e-05-0j 0.00488419-0j 0.00218382-0j 0.000332199-0j 0.000220599-0j -7.41134e-06-0j -1.53056e-05-0j 0.00113609-0j 0.000333218-0j -1.9132e-06-0j -1.36657e-07-0j -4.68735e-05-0j -7.96243e-06-0j 0.00253492-0j -0.00558596-0j 3.20081e-05-0j -9.95304e-07-0j 0.00131874-0j 0.000257366-0j 3.915e-05-0j 4.89375e-06-0j 1.02766e-06-0j 0.000788183-0j -0.00648402-0j 0.000133889-0j 0.000388755-0j -5.52409e-06-0j -1.59434e-07-0j -6.90511e-07-0j -3.40285e-10-0j 0.000202241-0j -0.000658312-0j -8.2942e-08-0j 0.000914899-0j 3.73428e-05-0j -0.000994388-0j 1.94268e-05-0j 4.07812e-07-0j 1.19893e-06-0j 9.28883e-05-0j 0.000140309-0j -9.55186e-05-0j 6.2372e-07-0j -3.96999e-10-0j -5.75426e-08-0j -3.06673e-06-0j -2.0653e-10-0j 1.34777e-05-0j 1.01548e-09-0j 4.32718e-07-0j -1.43285e-10-0j 
0.000721487-0j -0.0121242-0j 0.144061-0j 1.24872e-05-0j -0.000197839-0j 1.27447e-06-0j 0.00115056-0j 0.000418487-0j 0.000398769-0j -0.000386952-0j -0.00611723-0j 0.00593596-0j 5.25424e-05-0j 0.0335409-0j -5.09854e-05-0j -0.000624337-0j -0.032547-0j 0.000605837-0j 0.0104913-0j -0.0101804-0j 0.00161308-0j -0.00156528-0j -0.000577537-0j 7.27504e-06-0j -0.000416095-0j 0.00868059-0j -0.000109346-0j -7.21921e-05-0j 0.00625406-0j -4.81281e-05-0j -0.0460844-0j 9.09379e-07-0j 0.00114377-0j 6.06253e-07-0j 0.00058051-0j -5.20119e-05-0j -4.25396e-06-0j -0.0135904-0j -3.46746e-05-0j -0.0332022-0j -1.44077e-05-0j -0.00470347-0j 5.35857e-08-0j -0.0024194-0j 0.000171193-0j 0.000824045-0j -3.06483e-06-0j 5.9248e-05-0j -0.000226678-0j -0.00979139-0j -0.00338869-0j 3.04763e-05-0j -0.00174309-0j 2.85539e-06-0j -0.000163314-0j 0.000238011-0j -1.06859e-05-0j 0.000170043-0j -0.000233351-0j -0.00352735-0j -0.000292725-0j 0.000158366-0j 2.87425e-05-0j -0.00252006-0j 0.018348-0j 0.0034583-0j 2.62382e-05-0j 0.00433822-0j -1.29044e-06-0j -0.000440919-0j 2.05346e-05-0j -0.000823766-0j -0.000293946-0j -1.17801e-06-0j 0.00523904-0j 0.0131085-0j -2.81798e-05-0j 2.67793e-06-0j 1.87455e-05-0j -0.0179888-0j -3.53499e-05-0j 1.97958e-05-0j -2.57246e-05-0j 0.00241756-0j -0.0225659-0j 1.31972e-05-0j -0.000315007-0j -2.59814e-05-0j -0.000235216-0j 0.00087933-0j -3.22699e-05-0j -0.000210005-0j -1.2023e-07-0j 0.000432287-0j 0.000534707-0j 0.00374295-0j 1.9132e-06-0j -0.000108541-0j 0.000288191-0j -0.00513648-0j 0.000116268-0j 0.000542277-0j -2.6255e-06-0j 0.00172719-0j 1.16648e-06-0j 0.000361518-0j -3.9479e-05-0j -0.00644339-0j 7.71727e-06-0j -1.8562e-05-0j -0.00237024-0j 0.000628223-0j -3.29353e-06-0j -2.40066e-05-0j 2.54728e-05-0j 0.000382013-0j -0.000862116-0j -5.22005e-06-0j -0.00297331-0j 3.1954e-05-0j -0.00052424-0j 8.30658e-05-0j -3.4648e-07-0j -0.00108147-0j -0.000113992-0j 5.51349e-06-0j -0.000657626-0j -7.5662e-06-0j -0.000142996-0j -9.49132e-06-0j 
0.000441819-0j -0.00742453-0j 0.088219-0j 0.000386349-0j -0.00612108-0j 3.94316e-05-0j 0.0355978-0j 0.0129478-0j -0.000713854-0j 0.000246726-0j 0.0109507-0j -0.00378484-0j -9.40585e-05-0j -0.060043-0j 3.25089e-05-0j 0.00111765-0j 0.0207523-0j -0.000386289-0j -0.0187809-0j 0.00649113-0j -0.00288765-0j 0.000998042-0j 0.000181898-0j -0.000657996-0j 0.000131301-0j -0.00273399-0j 0.00988992-0j 2.27372e-05-0j -0.0019735-0j 1.51582e-05-0j 0.0145145-0j -8.22495e-05-0j -0.000360235-0j -5.4833e-05-0j -0.0525046-0j 1.64126e-05-0j 1.3398e-06-0j 0.00428035-0j 1.09417e-05-0j 0.0104771-0j 0.00130311-0j 0.00148138-0j -4.8466e-06-0j 0.000762-0j -0.0154837-0j -0.000260031-0j 9.67122e-07-0j -0.00535873-0j 7.13933e-05-0j 0.00308972-0j 0.00106932-0j -0.00275645-0j 0.000550041-0j -0.000258258-0j 5.15344e-05-0j 0.000145751-0j 0.000170043-0j 8.84613e-05-0j -0.00043495-0j -0.00216005-0j 6.13718e-05-0j -0.00252006-0j 1.76011e-05-0j -0.00131101-0j 0.0112358-0j 0.00644602-0j 1.60676e-05-0j -0.000909538-0j 2.05346e-05-0j -0.000270006-0j 1.06827e-05-0j 0.0131085-0j -0.000180004-0j 1.87455e-05-0j 0.00320824-0j 0.0068194-0j -5.25252e-05-0j 1.63989e-06-0j 9.75194e-06-0j -0.0335299-0j 7.41134e-06-0j -0.000315007-0j -4.79487e-05-0j 0.00148045-0j 0.00473109-0j -0.000210005-0j -0.000163876-0j -1.59103e-05-0j 0.00374295-0j 0.000538477-0j 6.7656e-06-0j -0.000109251-0j 1.9132e-06-0j 0.000805752-0j 0.00032744-0j 0.00194719-0j 9.95304e-07-0j 0.00172719-0j 0.000537168-0j -0.00957403-0j 7.11992e-05-0j -0.000113692-0j -4.89375e-06-0j 0.000898535-0j -1.8562e-05-0j -7.57948e-05-0j 0.000628223-0j 0.0013509-0j 4.72585e-06-0j -9.65649e-06-0j -0.00441795-0j 0.00032682-0j 6.90511e-07-0j 0.000382013-0j 4.74794e-05-0j 0.000198735-0j -0.00160692-0j 8.30658e-05-0j 0.000623376-0j -6.69938e-06-0j -0.000977145-0j 4.32132e-05-0j 5.51349e-06-0j 0.000226738-0j -0.000212472-0j 2.86828e-06-0j 0.000137876-0j -1.41028e-05-0j 2.998e-05-0j 1.98992e-06-0j 
