-0.0264088-0.0455563j -0.14573-0.117424j -0.0529576+0.0842276j 0.0473595+0.0326317j -0.105873+0.0950912j -0.0245633+0.027576j 0.0449458-0.0693933j 0.177234+0.0122112j -0.00345364-0.0389037j 0.0550733+0.1942j 0.0246561+0.13927j -0.0515606-0.0412249j -0.082168+0.0549182j -0.0302515+0.0229042j -0.226419-0.171992j 0.0595905-0.351629j 0.11844+0.0296934j 0.202896+0.132726j 
0.110757+0.109105j -0.0422838-0.0800746j -0.046494-0.20549j -0.063928-0.0437503j -0.0559711-0.063498j 0.0413265+0.0508353j 0.0827397+0.117318j 0.0747616+0.115554j -0.108269-0.142178j -0.00194288+0.0789982j 0.0520583-0.00100573j -0.00959073-0.0679351j -0.0474027-0.146239j 0.00686006-0.0846222j 0.0223146-0.0829501j 0.289853+0.230241j -0.138703-0.238092j 0.18433+0.145403j 
0.0299957+0.00301455j -0.188173-0.0764167j -0.0159806-0.0588614j -0.0263227+0.117821j 0.0959103-0.118563j 0.077814-0.127078j 0.0169645+0.0659215j 0.0153241+0.0182342j -0.188716-0.0398671j 0.0211962+0.0212099j 0.0455233+0.00942477j -0.0128844-0.0569308j -0.157881-0.111125j -0.0297721-0.0413376j 0.0748193-0.167353j -0.1012+0.00242438j -0.141443+0.138947j -0.0996964-0.0221692j 
-0.217246+0.0814051j -0.115305+0.0493821j -0.0978208-0.0220219j 0.101596+0.115032j -0.0296064+0.00222948j -0.274266-0.121528j -0.120435-0.052886j 0.0811334-0.132707j 0.0852062+0.160812j 0.102215+0.0192327j 0.0314158-0.115329j 0.0244145+0.0116617j -0.0800832+0.00590825j -0.0118292-0.0873033j -0.0954499-0.0524087j -0.0367744-0.028635j 0.0573151+0.0361815j 0.12879+0.00409131j 
0.0449373-0.0366006j -0.00298861+0.0629952j -0.0302415-0.176209j 0.223952-0.077317j -0.113191-0.0222401j 0.0595079+0.548653j 0.163237+0.00857444j 0.388034+0.15977j 0.0550786-0.11438j 0.0512319-0.0462586j 0.0939779-0.00691499j -0.00311143-0.0373999j 0.0547571+0.047154j -0.0221743+0.00811767j -0.0783121+0.0458666j -0.00610672+0.0201002j 0.0364723-0.0716683j 0.120853+0.00125536j 
-0.1146+0.0361426j -0.0423681-0.0766836j -0.0914778+0.0143786j 0.366758+0.201759j 0.225065-0.380255j 0.0548621-0.00964935j -0.167393+0.00903017j -0.016822-0.290211j -0.12574-0.00138259j -0.00997056-0.0400354j 0.0944077+0.000115795j -0.0894347-0.0743311j -0.132915+0.0194788j -0.0628841+0.0175952j -0.0371928-0.0028418j 0.048135+0.109543j -0.11948-0.0610621j 0.0828283-0.0607878j 
0.0348283-0.0742816j 0.0699583+0.075331j -0.00845744+0.318687j 0.0995565+0.127573j 0.00619988+0.123696j -0.0011559-0.0152193j 0.0863148-0.101179j 0.151866+0.0914844j 0.12899-0.0633332j -0.000539019+0.156492j -0.00937786-0.0817879j 0.0464455-0.041079j 0.158011-0.0479549j 0.0243317-0.0564851j -0.0304154+0.0942717j 0.0779199+0.0955676j 0.10209-0.153627j 0.0661295+0.00310161j 
-0.0220964+0.0922973j -0.0526056-0.105515j -0.225874+0.143676j 0.029245+0.246658j 0.14576+0.101962j 0.0275261+0.176068j 0.0263385+0.12084j 0.0795628+0.0166485j 0.00812742-0.141831j -0.115667+0.0226999j 0.0341048+0.0341792j 0.043939-0.0405022j -0.00447597-0.0146703j -0.00625825+0.000122508j 0.0330749-0.0260171j -0.179645-0.0302782j 0.00719604+0.140219j -0.174304-0.120205j 
0.135535-0.00528777j 0.142907-0.0106455j -0.0262597+0.0242851j 0.0480835-0.193296j -0.00821506-0.182351j 0.195555+0.118292j -0.0811593-0.0652227j -0.283449-0.159135j 0.232354-0.109517j 0.119065+0.0657708j -0.107104-0.0664564j -0.0040844-0.0332705j 0.0124793+0.0274025j -0.0368476-0.00629669j 0.0129926-0.0461242j -0.0274823-0.076519j 0.0365302+0.00136232j 0.00676647+0.00441632j 
-0.216737-0.155591j 0.0690128-0.17519j 0.0534553+0.327956j 0.226871-0.191998j -0.424298+0.0493429j 0.0637345-0.149699j -0.0930377+0.0334811j 0.202371+0.0864205j -0.105092-0.209146j 0.0303642+0.0924919j 0.155261-0.075744j -0.0947065-0.0121229j 0.032816-0.0271144j 0.0456077+0.0367595j -0.00206861-0.00939053j -0.0494072+0.043882j -0.0528958+0.00811139j -0.0327968-0.0423711j 
-0.121935-0.0284757j -0.273848-0.0368106j 0.0828343-0.358416j 0.0187772-0.0907513j -0.0548534-0.14351j 0.187721+0.173607j 0.149709+0.0775878j 0.126756+0.190057j -0.15718-0.0317071j 0.0847026-0.181911j 0.0163024-0.0273824j -0.0202097+0.0743911j -0.0567652+0.0602718j 0.0222372+0.0107568j 0.00697454-0.00198936j -0.118327+0.0149107j -0.000293636+0.157752j -0.0613258-0.0992602j 
0.185586-0.135494j 0.0527148+0.21697j 0.197437+0.0810173j 0.0475922+0.0527258j 0.080737-0.00154312j -0.024673-0.0895646j 0.182669-0.249955j 0.189492+0.116765j -0.0105668+0.0890306j 0.0911095+0.172221j 0.0311246-0.0143098j -0.00852807-0.073741j 0.0616027-0.0999458j 0.000987819-0.0168607j 0.0672262-0.0489814j -0.0491815+0.0749974j -0.14223-0.024246j -0.1437+0.00408424j 
0.169581-0.0685696j 0.0810202+0.250963j 0.15531-0.180545j -0.0545073-0.197444j -0.114416-0.00125434j -0.127942+0.0531578j -0.0398172-0.110104j 0.0820592-0.0195172j 0.184279+0.130853j 0.0953718+0.0928721j 0.0574062-0.0860346j -0.0324426-0.0437692j -0.00967922-0.0558772j -0.00306422-0.0168083j -0.0362429-0.0973079j -0.0735334+0.0579086j -0.118529+0.0321836j 0.0695191+0.0172314j 
0.24456-0.171679j -0.112466+0.17476j 0.234693-0.0757576j -0.0524958-0.0405144j 0.171257-0.143002j 0.266253-0.0442584j 0.0782198-0.0920494j -0.101071-0.00573032j -0.0148171-0.0180595j 0.037788+0.0546976j -0.120481+0.148777j 0.00206322+0.00712398j -0.0330632+0.0266717j -0.028098+0.0333536j -0.00462855-0.020572j -0.0167084-0.274711j 0.152679+0.101767j -0.0714215+0.0571401j 
-0.0827636+0.0638367j 0.0663773+0.028857j 0.0950575-0.178766j 0.0818516-0.0191135j 0.0450175-0.0502252j -0.0795688+0.0592774j 0.00255151-0.0264179j 0.0870899-0.0116744j -0.1652+0.064071j -0.0814364-0.0877223j 0.0901032+0.139304j -0.0750818+0.0709415j 0.068033+0.107681j 0.0596949+0.117174j 0.00934079+0.120516j 0.0550504+0.0764627j -0.115148-0.0191023j -0.162954-0.0320434j 
0.0712749-0.0780438j -0.0575751-0.00709147j 0.0839866+0.000536033j -0.181367+0.0644557j 0.041125+0.020978j 0.108391-0.0855984j 0.0444604-0.022465j -0.1023+0.00879187j 0.00734951+0.0592541j -0.11689-0.035379j -0.0795275-0.108479j -0.064903-0.134015j -0.0692309+0.233684j -0.104593+0.066048j -0.108218-0.160883j 0.031685+0.154907j -0.13851-0.234219j 0.371749-0.196484j 
0.0626302-0.0120075j 0.042878+0.0119566j -0.0624637-0.00702671j -0.0578398-0.0728594j -0.0768145+0.089701j -0.0398895+0.0422672j -0.0552437+0.105737j 0.0518641-0.0915525j 0.186819-0.0635209j -0.0575824+0.23931j 0.0233631+0.0273935j -0.0539779-0.14395j -0.100528-0.219246j -0.0449876+0.0174313j -0.02955-0.274742j -0.306663-0.0677993j -0.11408+0.223483j -0.126235-0.105995j 
-0.140085+0.055273j -0.0703426-0.089126j -0.056327-0.104883j 0.169217+0.00491786j -0.00295409-0.0352888j -0.00789977-0.0282473j -0.0323609+0.0669612j -0.0119292-0.036102j -0.172595+0.0377463j 0.108486-0.0928926j -0.30472-0.0212262j 0.109886-0.107794j 0.392732-0.0799896j -0.124965-0.0886874j -0.0514819-0.163303j -0.147955-0.207208j 0.0989444-0.146482j 0.00845635+0.0780482j 
0.123438-0.154533j 0.0332476-0.0983951j -0.0093074+0.0771768j -0.00243217+0.00981221j 0.0574379+0.021996j -0.00141342+0.0253047j -0.167841+0.162293j -0.0234331-0.0571621j -0.0905985+0.12983j -0.137706-0.0611509j 0.127112+0.20173j -0.0673047+0.072815j 0.0530949-0.241836j 0.0638256+0.061497j -0.144311+0.204271j 0.202304-0.0559861j 0.0551169+0.0532339j 0.192712+0.270696j 
0.00708389-0.0851571j 0.0889833+0.0674606j -0.09077+0.162339j 0.00735327+0.0160747j -0.023384-0.0562003j -0.0602441-0.00174097j 0.10794-0.00579649j -0.00712834+0.0789366j -0.0546724+0.0581587j 0.136772-0.282128j 0.0166217-0.17934j 0.154753-0.0128884j -0.321405-0.135825j -0.126747-0.144587j 0.337535+0.0467601j -0.109771+0.0482591j 0.0103853+0.0513671j -0.0243666+0.0504444j 
0.00514993+0.0727203j -0.128457-0.177342j -0.0995381+0.00499666j -0.0453157+0.0333604j 0.0304704-0.0648272j 0.0625665-0.00604241j 0.0861866-0.201125j -0.145296+0.120101j 0.145786+0.0756642j 0.269386+0.122083j -0.0074662-0.23564j -0.00676821+0.0804125j 0.171048-0.0395958j 0.126547-0.102467j -0.0899637+0.0185697j 0.0840155+0.194121j -0.10602+0.0256615j 0.0340209+0.029915j 
-0.258914-0.208155j 0.155812-0.143454j 0.010404+0.0557766j 0.0495268-0.0766062j 0.0731334+0.0347175j 0.0486816+0.076447j 0.337883-0.0716638j -0.0842807+0.0444828j 0.0780506+0.301359j -0.0265278-0.104464j -0.194366+0.121094j -0.0711495-0.000458834j 0.00563485-0.212017j -0.0631883+0.150578j -0.0510156+0.143224j -0.0707268+0.024522j 0.0468901-0.0404487j 0.0165775-0.0463648j 
0.100977+0.0311951j 0.124481-0.144192j -0.100769+0.0569922j -0.0027619+0.0156111j 0.000187713+0.0138014j -0.0661573+0.0688984j -0.0264083-0.0295627j -0.0365289+0.0241871j -0.15268+0.0638646j 0.0523902-0.0946053j 0.0274542-0.0805219j 0.00405437-0.107295j 0.119829-0.0376967j -0.0687493-0.00576991j 0.0781418-0.166154j -0.145462+0.0634533j -0.309492-0.0126271j -0.0513993+0.00682893j 
-0.0744913-0.045582j -0.175094-0.111198j -0.0579626-0.0258539j 0.013561+0.0444193j 0.0249692-0.070689j 0.0844058-0.0245038j 0.0562752-0.0427521j -0.0625834+0.0735635j 0.0884991+0.117627j 0.168309+0.018024j -0.0891984-0.212883j 0.00490554-0.00731576j 0.13115-0.131804j 0.0133049-0.0943453j -0.107906-0.0402004j -0.0755335+0.130782j -0.0238438+0.0282466j 0.129267-0.0382676j 
-0.130831+0.0663002j 0.132994-0.211999j -0.122884+0.0939335j 0.0257942-0.0412738j 0.0039692+0.0350685j -0.0750561+0.101618j 0.281928-0.27591j -0.103645+0.0388837j -0.0363919+0.0980009j 0.198852-0.0489907j -0.0693162+0.134371j 0.00801426+0.0566082j -0.0618991+0.14691j -0.0276423+0.0830588j 0.0701205-0.014821j 0.0584221-0.227763j -0.0529714+0.00191945j -0.110649+0.130833j 
0.207405-0.136509j 0.0793424+0.0166193j 0.0518464+0.190555j -0.0579392+0.0561353j 0.0310585+0.0606481j -0.0232281+0.101308j -0.119549-0.0905492j -0.016299+0.095966j -0.148511+0.138176j -0.00767192-0.294471j 0.218668-0.0958065j 0.00338885+0.074323j 0.0881641+0.167029j 0.0483483+0.0526259j 0.0453344+0.138623j -0.0686008+0.0463155j -0.143395+0.15193j 0.0442144-0.0153115j 
