-0.104441-0j -0.111925-0j -0.0846071-0j -0.0854839-0j -0.0746164-0j -0.0707874-0j -0.0923331-0j -0.053861-0j -0.0825852-0j -0.0565423-0j -0.0505729-0j -0.0722621-0j -0.0652894-0j -0.0298066-0j -0.0251299-0j -0.065966-0j -0.0571282-0j -0.053861-0j -0.0471284-0j -0.0269305-0j -0.0314189-0j -0.0150577-0j -0.0471284-0j -0.0166624-0j -0.0274915-0j -0.0194395-0j -0.00717185-0j -0.0107578-0j -0.00335432-0j -0.000564847-0j 
-0.897546-0j 0.00206527-0j 0.0901079-0j -0.0878869-0j 0.0794677-0j 0.0753897-0j 0.00170376-0j -0.111744-0j 0.00152389-0j 0.00104333-0j 0.053861-0j -0.0742935-0j 0.0695342-0j -0.0930335-0j 0.0267637-0j -0.0678204-0j 0.00105415-0j 0.000993859-0j -0.097776-0j 0.0286814-0j -0.065184-0j -0.0627577-0j -0.0484532-0j 0.00030746-0j -0.0858077-0j -0.0403306-0j -0.0373966-0j -0.0448363-0j -0.0210012-0j -0.00471877-0j 
0.0834237-0j -0.629043-0j -0.065657-0j 0.0682813-0j 0.0596008-0j 0.0565423-0j -0.0716526-0j 0.0430221-0j 0.065966-0j 0.0451638-0j -0.118887-0j -0.0560771-0j -0.0506661-0j 0.0238084-0j 0.0200728-0j 0.0526911-0j -0.134297-0j -0.0417974-0j -0.0365727-0j -0.105718-0j 0.0250962-0j 0.0120276-0j -0.11079-0j -0.0916495-0j -0.0213341-0j -0.0763114-0j 0.0057286-0j -0.0252895-0j -0.00260303-0j 0.000451179-0j 
-0.0842882-0j -0.613539-0j -0.0682813-0j 0.0689474-0j -0.0602184-0j -0.0571282-0j 0.0719344-0j -0.0390275-0j 0.06434-0j 0.0440506-0j -0.0408144-0j 0.0582834-0j -0.0526911-0j -0.113694-0j -0.0202808-0j 0.0532052-0j 0.0445071-0j 0.0419617-0j -0.0341491-0j -0.021734-0j -0.0227661-0j -0.127431-0j 0.0380116-0j 0.0129812-0j -0.104863-0j -0.0140858-0j -0.10521-0j -0.0910409-0j -0.0752561-0j -0.0240867-0j 
0.0728182-0j 0.0780357-0j -0.354504-0j -0.358177-0j -0.10231-0j 0.0493541-0j 0.0643762-0j 0.0375528-0j -0.113237-0j 0.0394222-0j 0.0352603-0j 0.0503823-0j -0.0895215-0j 0.0207817-0j -0.138412-0j -0.0904492-0j 0.0398307-0j -0.185256-0j 0.0328587-0j -0.0369257-0j -0.108066-0j 0.0104985-0j -0.06462-0j 0.0116173-0j -0.037695-0j 0.0135535-0j -0.00983367-0j 0.0075005-0j 0.00233869-0j 0.000393821-0j 
-0.0901079-0j -0.00167306-0j -0.426188-0j -0.427863-0j -0.0643762-0j -0.0610726-0j 0.00134091-0j 0.090523-0j -0.00123449-0j -0.000845198-0j 0.128413-0j -0.0584713-0j 0.0547256-0j 0.0753657-0j -0.0216811-0j 0.0549408-0j 0.00251325-0j 0.000782198-0j -0.0769528-0j 0.114189-0j 0.0528051-0j 0.0508395-0j -0.11552-0j 0.00171513-0j -0.0675333-0j -0.160567-0j 0.0302947-0j -0.106897-0j -0.0165286-0j 0.00382264-0j 
0.0681152-0j 0.0729957-0j 0.0551796-0j 0.0557514-0j -0.242803-0j -0.137019-0j -0.300453-0j -0.175264-0j 0.053861-0j -0.255767-0j 0.032983-0j 0.0471284-0j -0.126376-0j 0.0194395-0j 0.0163894-0j -0.127686-0j -0.110579-0j 0.0351274-0j -0.0912233-0j 0.0175637-0j 0.020491-0j -0.0291463-0j 0.0307365-0j 0.010867-0j 0.0179296-0j 0.0126782-0j 0.00467738-0j 0.00701607-0j 0.00218764-0j 0.000368386-0j 
0.0525629-0j -0.10973-0j -0.255894-0j -0.232135-0j 0.0375528-0j 0.0356257-0j -0.090523-0j 0.104202-0j -0.0809663-0j -0.0554338-0j 0.0254522-0j 0.0326528-0j 0.0328587-0j 0.0179596-0j 0.0126473-0j 0.0298078-0j -0.0560083-0j -0.0528051-0j 0.0911768-0j 0.0135535-0j 0.0607846-0j -0.0965183-0j 0.0212957-0j -0.0163357-0j 0.0165647-0j 0.0376085-0j -0.157551-0j -0.068956-0j -0.164152-0j -0.0839199-0j 
0.0471916-0j 0.0505729-0j 0.0382295-0j 0.0386257-0j 0.0337153-0j -0.286299-0j 0.0417205-0j 0.024337-0j -0.334016-0j 0.0255485-0j -0.204542-0j -0.292264-0j 0.0295009-0j -0.120553-0j 0.0113549-0j 0.0298066-0j 0.0258133-0j 0.024337-0j 0.0212949-0j 0.0121685-0j 0.0141966-0j 0.00680381-0j 0.0212949-0j 0.00752887-0j 0.012422-0j 0.00878368-0j 0.00324058-0j 0.00486088-0j 0.00151564-0j 0.000255225-0j 
-0.0794677-0j -0.0014755-0j -0.0643762-0j 0.0627895-0j -0.55708-0j -0.053861-0j 0.00607321-0j -0.398322-0j 0.00214108-0j -0.000745394-0j -0.0384801-0j 0.0530778-0j 0.0976963-0j 0.0664663-0j 0.151052-0j -0.0952883-0j -0.000753119-0j 0.00350281-0j 0.0698546-0j 0.0402977-0j -0.229738-0j 0.0448363-0j -0.0680772-0j -0.00021966-0j -0.120561-0j 0.0288135-0j -0.0525426-0j 0.0320326-0j 0.015004-0j 0.00337125-0j 
