0.0116896+0.0413745j -0.0204104-0.0345095j -0.0146801-0.0410627j -0.00939463+0.0135106j -0.00023467+0.0334007j 0.00028752-0.0432484j 0.0106897+0.000284311j 0.00523235-0.0309654j -0.0054246-0.0178195j 0.0183669-0.0304026j 0.0332864+0.0357677j 0.00648091-0.0360724j 0.022266+0.0103923j -0.0251349+0.0160946j 0.0213516-0.0206852j 0.0379666+0.00265072j -0.0232328-0.00704791j 0.0347701-0.00516174j -0.00205125-0.0276623j -0.00565988-0.00127059j 0.0330947-0.019694j 0.024512-0.0187935j 0.0100891+0.018113j -0.0164111-0.00653145j 0.0388417-0.00120917j 0.00252399-0.0322187j -0.0294833+0.0313456j 0.00581319+0.00404587j 0.0289705+0.0106671j -0.00459314+0.0028929j -0.0208311-0.000495839j 0.00616423-0.0143494j -0.0156117-0.00852721j -0.00430724-0.00133175j -0.0046956-0.0156629j 0.0214714-0.0216943j -3.56139e-05-0.00457882j -0.00105617+0.0271025j -0.0048172+0.0298928j 0.00811086+0.00167633j -0.0277949+0.00914858j 0.00911333+0.00726921j -0.000823686-0.0168736j 0.0142732+0.0138579j 0.0282517-0.00166636j -0.0121104-0.000495411j 0.0104486-0.0438561j 0.0295623+0.00121749j 0.021428-0.00507705j 0.0133077-0.0235744j 0.00428742+0.0509236j 0.00657939-0.0457031j 0.00559334-0.0306191j -0.045079+0.0519261j 0.012179+0.00916902j 0.132763-0.104093j -0.0164842-0.075395j 0.110953-0.0523075j -0.168333+0.195318j 0.0439685+0.0200459j -0.120956+0.095805j 0.0190507-0.018645j -0.0334958+0.0468625j 0.0437481-0.0663963j -0.0120001+0.0356385j 0.0349031-0.0608797j 0.0506086-0.0445405j -0.083718+0.188743j -0.172631+0.103418j 
-0.0239073-0.0373374j -0.0139299-0.0367139j 0.00419709-0.0229426j -0.00494792-0.0503438j -0.00836634+0.00201044j 0.00543557-0.0165432j -0.00881425+0.0643676j 0.0051767+0.0103573j 0.0144347+0.00262646j 0.0220472+0.00818518j -0.0256725+0.0656692j 0.035726+0.0298042j 0.0305548+0.000515768j 0.0162131+0.0415743j 0.00915135+0.037412j -0.0204695+0.0429505j 0.00281083-0.0268599j 0.00461264+0.00123889j 0.0217997-0.00779466j 0.000734988+0.00498226j 0.000284885+0.0151422j -0.00624534-0.0215656j -0.0171568+0.027842j -0.0105388-0.0322918j -0.0121168+0.0393772j 4.89827e-05+0.0274751j -0.0192507-0.0306147j 0.00273352+0.0328127j -0.0208985+0.019769j -0.00719551+0.00459474j -0.00803705-0.0176404j -0.00512402+0.0246901j -0.00744608-0.022402j -0.000226997-0.0109372j 0.00434144+0.0287418j 0.0499182+0.00658739j 0.0345126+0.0367073j 0.00110855-0.000728054j -0.00975232-0.0342262j -0.0164198-0.00218151j -0.0102419-0.0296754j 0.0191155+0.023925j -0.010551+0.0214174j 0.0338304-0.00886379j 0.0209464+0.0425223j 0.00897033+0.0538584j 0.0221809+0.0261277j 0.0104989-0.0277067j 0.0107557+0.0117767j -0.0195978-0.00971837j 0.0221348-0.0261683j -0.0198965+0.0180434j -0.0335377+0.0371711j -0.0123144-0.00632538j 0.000690235+0.0576288j -0.0120961-0.0827105j -0.169357+0.129298j 0.11543-0.152286j 0.104841-0.0357222j 0.168833-0.126755j -0.0262479+0.0601508j -0.0164704-0.0157252j 0.043542-0.0545232j 0.0195031+0.000864451j -0.0390779+0.0404896j -0.0412236+0.0506038j 0.0303445-0.0329884j 0.172959-0.0980457j -0.100031+0.196661j 
0.0270661-0.0188319j 0.0296974-0.00196742j 0.00748978-0.0085841j 0.000628713+0.00228055j 0.0341222+0.00269501j 0.00853622+0.0160617j -0.0279069+0.020414j 0.00315464-0.0307259j -0.00502482+0.0254607j -0.0425296-0.000172983j -0.0558873+0.00807858j -0.040909-0.00216625j -0.0196775+0.000621565j -0.0117219+0.0152755j -0.0138703-0.0103436j -0.0127091-0.00270742j 0.0358521-0.00509878j 0.0189673-0.00307166j 0.0316376+0.00898544j 0.015771-0.00917191j -0.00975092-0.0151393j -0.0310905-0.013025j -0.00202112-0.0209061j 0.0105425+0.0237118j -0.0588874-0.0177374j 0.0257341-0.0484183j -0.0126035+0.013317j -0.00258943+0.0296505j -0.0410411+0.00379629j 0.0117554+0.0287313j -0.00262356+0.0108545j -0.0171395+0.00598063j 0.0115715+0.0231799j -0.0271364-0.0212957j -0.0085824-0.000562486j 0.0147304-0.0190148j 0.0068719+0.00630157j -0.0329807+0.0142902j -0.0107678+0.0105977j 0.0150147+0.00173225j 0.0196194+0.0294239j 0.000146196-0.00602985j -0.0359811-0.006692j 0.00761594-0.0639811j -0.019473-0.0229668j -0.0282308-0.0184602j 0.010362-0.0821556j 0.0176264-0.0285105j -0.0492286-0.0371263j 0.0130409+0.0179396j 0.0267807-0.00981214j -0.0659249-0.0320986j -0.0918313+0.0382414j 0.0967861+0.0577864j -0.0099077-0.0331485j -0.0232255-0.0447775j -0.0918884+0.0669486j 0.0292091-0.099582j 0.170226+0.0482814j 0.0882905-0.108842j 0.0103777+0.0840758j -0.0131296+0.0346299j 0.11285-0.0363451j 0.0103056-0.0235394j 0.0162241+0.0308613j -0.0305076-0.0709858j -0.0610316-0.0418984j 0.0916055-0.0445615j -0.0212644+0.0617668j 
-0.03643+0.000640583j 0.0299336-0.0186102j 0.0132453-0.00215504j 0.000646268+0.0134368j -0.00152982-0.0173236j 0.0505688-0.0122994j 0.00386803+0.00274861j -0.0107321-0.0284157j 0.0647316-0.00288719j 0.010454-0.00242065j -0.0623526+0.0113478j 0.035342+0.00612061j 0.00395536-0.00487929j 0.0176957-0.00194244j 0.0244345-0.00796855j -0.00241084-0.0506113j -0.007857+0.00541148j 0.0164844-0.0383608j 0.0461965-0.0157819j -0.00687502-0.0156627j 0.0136827-0.0242177j -0.0070707-0.00926103j -0.0423627-0.0165447j 0.0108647+0.0143378j -0.015143-0.00861327j -0.0252074-0.0225478j -0.0283337-0.0115187j 0.0226848+0.00252025j -0.0126632-0.00443028j 0.00820029-0.0010087j -0.0047223-0.00312008j 0.0375312+0.0147904j 0.0289017-0.00728547j -0.0244908+0.000689645j 0.0307307+0.0116139j 0.0274382-0.00265733j -0.00216241-0.00477109j -0.0111932+0.00236631j -0.000141618-0.000443075j -0.0096179-0.0150568j -0.0221687+0.0129727j -0.0178421+0.0188038j -0.0671434+0.00593614j -0.0670298+0.00645159j 0.0259141-0.0207089j -0.0474845+0.0120645j -0.0304394+0.00590215j 0.0259847+0.0269653j -0.0447265+0.0154999j 0.0428437-0.073314j -0.0531335-0.00562475j -0.0422879+0.0217725j 0.0279327+0.0172349j -0.0110337-0.0269158j -0.107993-0.0277432j 0.0590751-0.0946931j -0.0655128-0.0548024j 0.131943+0.00808278j -0.0706544+0.0999266j 0.0576121+0.063668j -0.0829693+0.0673863j 0.0669454-0.0416111j -0.000959102+0.00698159j 0.0734365-0.0458657j -0.00274651-0.0120687j -0.0903364-0.0249076j 0.0140649+0.0779888j -0.0284576+0.0489565j -0.0834727+0.0482167j 
0.0115721-0.0075783j -0.0155436+0.0207199j -0.0267579+0.00414566j -0.0305019-0.0049093j 0.0343431+0.00601847j 0.00514691+0.036333j 0.0220588+0.0119926j -0.0160397-0.00823886j -0.00489087+0.0248011j -0.0111201-0.00967422j 0.0519523-0.0229173j -0.0165614+0.0186988j 0.0134755-0.0105724j 0.00562842-0.00687989j 0.0101699+0.00195087j 0.0330427-0.00495068j 0.0046599-0.00776269j 0.0316414+0.0279157j -0.00649634+0.00894132j -0.0170198-0.0296777j 0.0027779+0.0121611j -0.01874-0.0154087j 0.0365236+0.000463956j 0.00608106+0.00131275j 0.000877982+0.0134644j -0.000426218-0.0167666j -0.0102937-0.040226j 0.0140012+0.028928j 0.0260912-0.00321587j 0.0179258-0.0145693j 0.0102287+0.0227358j 0.00782203+0.050338j 0.0139485+0.0403835j -0.0395396-0.0184224j -0.00474143+0.022627j -0.0232251-0.0303656j 0.024745-0.0177957j -0.000452535-0.0223453j -0.013202-0.0385743j -0.001395+0.0137892j 0.01778-0.00513231j -0.012996+0.00273521j 0.0232213-0.0129951j -0.0263003-0.00495707j 0.0144536+0.00724127j 0.00516971-0.0588905j -0.00875189-0.0437361j 0.0251816+0.0509129j -0.029773-0.0630195j 0.00182261-0.0384228j -0.068439-0.0257097j -0.0105059-0.0774133j 0.0392411-0.000900112j 0.0124024+0.100723j -0.0649556+0.000709608j -0.105404+0.0338063j 0.0115601+0.0892616j -0.0919878-0.0479432j 0.070061-0.0922748j -0.0610091-0.0369332j 0.103948-0.030818j -0.0188207+0.0294301j -0.0117772+0.024962j -7.51534e-05-0.0192806j 0.00310012+0.131665j -0.0716561-0.016531j -0.0136354+0.00201539j 0.0170021-0.0631198j 0.0847396-0.0151815j 
-0.0106192+0.00213518j 0.00940366-0.029693j 0.0431056-0.025181j -0.0559014-0.0212947j 0.0278684+0.0282094j 0.0044324-0.00737607j -0.0079931-0.0125473j 0.0300369-0.0105089j 0.0241477-0.0323179j 0.00983464+0.0189821j -0.0299859+0.0148349j 0.0206136-0.00872229j 0.0158916+0.0113572j -0.0103994-0.00856102j 0.0450794+0.0187839j 0.00330084+0.0275388j 0.0430682+0.0185019j 0.0330785+0.0494202j 0.022329-0.0226875j 0.0556-0.043184j 0.00219638+0.0241028j -0.0216108-0.0306306j 0.0193682+0.0424709j -0.017989-0.0196159j -0.00238537+0.0119626j 0.0474173+0.00606158j -0.0571852+0.00377106j -0.025841+0.0188095j -0.010169+0.0323566j 0.0347973+0.0145923j 0.0220509+0.0131967j 0.0376159-0.0162733j -0.00238638-0.0273976j -0.0613806+0.0125673j -0.0423774+0.0145245j -0.0395874+0.00779967j 0.00627887+0.0524228j -0.0512856-0.0221491j 0.0459276-0.0509969j 0.0357301-0.0767512j 0.00637133+0.0487292j -0.0987423-0.0154251j -0.0727788+0.00401289j -0.0140802+0.0993049j -0.01875+0.0623509j -0.0383759+0.0754018j -0.0142334+0.020975j 0.0153097+0.0336285j -0.0770557+0.0516396j 0.0731099+0.0697135j -0.0320808+0.0916051j -0.0713271-0.0611314j -0.0689862-0.0357915j 0.105595+0.0268934j -0.0310405+0.154948j 0.0771288+0.0678114j 0.0751902-0.0295951j -0.0561245-0.0422256j -0.0872392-0.0155882j -0.159174+0.0420046j -0.0778668-0.0676229j 0.0216009-0.105637j 0.0780501-0.00407189j 0.0340143+0.0773969j 0.0721551+0.0949994j -0.00936169+0.0908529j -0.0817186-0.00602752j -0.0912876+0.0535192j 0.00445965-0.00306644j 
-0.0210428+0.0459692j -0.0181994+0.0265604j -0.0191513+0.0162015j 0.00710431-0.00346454j -0.0231959+0.0151911j 0.0137284+0.0178436j 0.0222081-0.0239073j -0.00770951+0.00610225j 0.0228018-0.0201612j 0.0408406-0.0716783j 0.040568-0.0332336j 0.0193137-0.0249547j 0.0257645-0.010924j 0.0450953-0.0299874j 0.0159369-0.0003279j 0.03646-0.0303708j -0.0401926+0.0170437j -0.0244646+0.0114686j 0.0151112+0.028201j -0.00158215-0.0109103j 0.00931804-0.0184582j 0.0227615-5.90623e-05j -0.0202702+0.00152558j 0.0158654+0.0323025j 0.0187585+0.00178169j -0.0406064+0.00830305j 0.0442173-0.0555765j -0.0155757+0.0130808j 0.0454093-0.00740333j 0.0107367-0.0235862j -0.0342934-0.0495604j -0.0137678+0.0218906j 0.0161008+0.0419928j -0.0184766-0.0271495j -0.00386856-0.00542414j 0.0411617-0.0160164j 0.0238106-0.020879j 0.0387736+0.00730498j -0.0331668-0.0202249j 0.0137895-0.0254359j -0.0392173+0.0207928j 0.0593904+0.00716337j 0.0173759-0.0137923j -0.079868-0.022781j 0.0170572-0.000211711j 0.0142998-0.0834942j 0.0288321-0.0628332j -0.0211008+0.017549j 0.0128196-0.0846935j -0.00623241-1.21623e-05j -0.0973214-0.0225733j 0.0649003-0.0765704j 0.107442-0.0105288j -0.125901+0.114945j -0.0412234-0.0738466j -0.0560089+0.0856269j 0.0198632-0.0412952j 0.0194487+0.0225087j -0.0612848+0.0485542j -0.00865303+0.0166147j 0.0942241-0.0603966j 0.0740997+0.0567677j -0.0902569+0.0344013j 0.0282834-0.0115667j -0.0918841+0.0556422j -0.0298051-0.0691335j 0.0487321-0.0669738j -0.0337405+0.0242971j 0.0200715-0.0632855j 
0.0190899-0.0230779j -0.00131754+0.0377459j 0.0234811-0.0163025j -0.0156117+0.0066894j 0.0051362-0.00877849j -0.0394814+0.0340648j -0.0169569-0.0124386j 0.00458484+0.0127905j -0.0599248+0.041571j -0.000657741+0.00473511j -0.00121611-0.0339743j -0.002209+0.0265721j -0.0114975-0.0300494j -0.0522297+0.0199076j 0.0039764+0.0146885j -0.00286718+0.00807271j 0.0265002+0.00639943j 0.00695303-0.00346663j -0.0196233+0.00074356j 0.0335884-0.0207544j -0.00781436+0.0282463j -0.0200616+0.0233802j 0.0439124+0.00609784j -0.0139722-0.0119293j 0.0108478-0.0202701j 0.0461983+0.00534544j 0.00120268+0.0444401j 0.0366946-0.0129746j -0.00346895-0.0149707j -0.0120097-0.0207589j -0.00686427+0.0773833j -0.0205917-0.00835155j -0.0420199+0.00641272j 0.0490067+0.0120082j -0.00366146+0.0361775j -0.0202812+0.00617519j 0.0313735-0.0346492j -0.0297661-0.0183668j -0.0268366+0.067035j -0.0620549+0.0440152j 0.0525148-0.0183701j -0.043356-0.0507485j 0.0494677+0.011023j 0.0965531-0.00182094j -0.00105735-0.0443845j 0.0953313+0.0139221j 0.0340754+0.0451151j -0.0499619+0.0118103j 0.0936345+0.0532768j 0.0632194-0.0629002j 0.105552-0.0688148j 0.0495501+0.0853187j -0.021682+0.0314413j -0.0347268-0.111302j 0.116309-0.0883276j 0.0394623-0.0451391j 0.0442555-0.00483184j -0.0428515+0.116508j 0.0099819-0.0855556j -0.038496+0.0267144j -0.0416181+0.00775215j -0.108484-0.0258787j -0.0365796-0.0341042j 0.00581862+0.000893197j 0.0069608-0.113722j 0.115266-0.0518268j -0.0461925+0.0741255j -0.0157094-0.0468734j 0.00640855-0.0540435j 
-0.00232102+0.0190935j 0.00670396+0.0263973j -0.00721934+0.00275272j 0.0197913-0.00205081j -0.000446044+0.00249713j -0.0346234+0.0119162j 0.00196438-0.0193109j -0.0425367-0.003077j 0.0368681+0.00199164j 0.00383575-0.0325041j -0.00665461+0.0037046j -0.010815-0.00233706j -0.0202649-0.0415837j 0.0048001-0.00441748j 0.0300206+0.0294507j 0.0199577-0.0141024j -0.0147502+0.0297841j -0.051097-0.0199278j -0.0431076-0.0218025j 0.0183011-0.00730722j -0.0153859-0.0121625j 0.0183835+0.004796j -0.0123356+0.0139693j 0.013084+0.0277751j 0.00555327-0.0359012j -0.0591541+0.0115928j 0.0978231-0.00923237j 0.00809303-0.0187104j 0.0343457+0.0102586j 0.0145848+0.0121375j -0.00524121+0.0124912j 0.0171772-0.00686387j -0.024865-0.017696j 0.0371167-0.00986153j -0.0122042+0.0435455j -0.0164829-0.0183579j 0.0211121-0.0311969j -0.0385062-0.0273474j -0.06558+0.0539274j -0.00300451+0.046309j -0.0102421-0.00870579j -0.0397495-0.0840908j -0.0365052-0.054042j -0.0461787-0.0040558j 0.0332016-0.0948126j 0.0471165+0.0100882j 0.056968+0.0573667j 0.0518423+0.0204962j 0.044815+0.0295808j 0.0267354-0.0522555j -0.0326343-0.0334475j 0.0181907+0.0348191j 0.0302544-0.0188372j -0.112946-0.0435214j 0.0428368-0.0769082j -0.0704078-0.0788238j -0.0568445+0.00396326j 0.033873+0.085451j -0.0513672+0.046545j 0.0520298+0.007471j 0.0303286+0.0635342j -0.0205173-0.0418938j -0.021203+0.0731368j 0.0602809-0.0330597j -0.0730961-0.0358247j 0.0192413-0.0350438j 0.0804424+0.0387721j 0.0295299-0.00423239j -0.0447757-0.00993882j 
-0.00261223+0.00667879j 0.00049381+0.000361633j -0.00946841-0.00247191j -0.0391565+0.0240439j 0.0158596+0.00287714j -0.00124108+0.0106712j 0.0601281-0.00430953j 0.0163567-0.0233915j 0.0465093+0.0266697j -0.0418075+0.0133468j 0.0315108-0.0107736j 0.0166347-0.0144647j 0.0156651-0.0162697j 0.00372524-0.0177583j 0.0412897-0.0218882j 0.0301355-0.0121539j -0.021139-0.00462645j 0.0163822-0.0073395j -0.00559633+0.00732679j 0.0324714+0.0120858j 0.0261765-0.00417044j -0.00367013+0.0122703j 0.0146427-0.00359214j -0.0314444-0.00663117j -0.00243565-0.0540996j 0.0642413-0.0310467j -0.0768585-0.0296439j 0.0566768+0.0137083j -0.0393481-0.00563782j 0.00938474+0.0213068j -0.0194134-0.0197184j 0.0217189+0.0126058j 0.0201851-0.0419772j -0.01884-0.0070643j -0.0225486+0.0108877j -0.0171452+0.00821601j 0.00732533-0.0104516j -0.0753396-0.00522248j -0.000713387+0.0259253j 0.040611+0.0841706j -0.0532253-0.028023j -0.0581395+0.0176531j -0.123743+0.0279172j -0.00260898-0.00690359j -0.0219855-0.143383j 0.0220077-0.0220163j 0.138169-0.0472572j 0.0365015-0.0789316j -0.000155728+0.0442158j -0.0336933-0.0874652j -0.0374185+0.0506492j -0.0127507+0.0615176j -0.0832633+0.0173327j 0.00282573-0.0242988j -0.0129606-0.00418138j -0.101578+0.00392432j 0.00757835+0.0355043j -0.0134858+0.0652271j 0.0598696+0.028756j -0.0109033-0.066079j 0.00230887+0.0371948j -0.0469165+0.0156008j 0.134566-0.00765236j 0.000219433-0.0999229j -0.0229752+0.016521j -0.04547+0.0163716j 0.0448809+0.045065j 0.0581767-0.0020891j 0.0490127-0.0268056j 
-0.0060733-0.0113779j 0.0157293-0.0236166j 0.0438317-0.0610897j -0.00940471-0.0166059j -0.00627525+0.0226175j 0.0132736+0.00461288j 0.0136507-0.010455j -0.00731128-0.0202486j -0.0133778+0.00286573j -0.0160099-0.00474821j -0.0466304+0.0233685j 0.0177017-0.0050231j -0.00424637+0.0254999j -0.0260689+0.0222867j -0.00685715+0.00653144j -0.0343165+0.0435655j -0.023175-0.00741455j -0.0269883+0.0366389j 0.0640024+0.0298748j 0.0551053-0.0580014j -0.0126701+0.0225699j -0.0446661+0.0368012j -0.00640483+0.0413034j 0.00706127-0.0164113j -0.0263727+0.0135395j 0.0303693-0.0653972j -0.057347+0.0568348j 0.0435754+0.0474748j -0.0180908+0.0344347j -0.0420667-0.00848139j -0.0754274-0.00805606j 0.0171922-0.0112407j 0.00429279+0.00649053j 0.0106557-0.0080309j -0.00932625-0.0328097j -0.0182623+0.0288797j -0.0506802+0.0156021j 0.0098499+0.0642586j 0.0253621+0.0370108j 0.0229852-0.0247503j -0.00723241+0.00852542j 0.0150843+0.0853339j 0.0120121+0.0863978j 0.0404212-0.0266193j -0.158061+0.0408626j 0.0200888-0.0521173j 0.0080212-0.217523j -0.132306-0.0904432j 0.0789057+0.00821379j -0.0627158-0.0252015j 0.0692197+0.0427395j 0.136522+0.00223652j 0.0534822+0.141021j -0.109516-0.00586574j -0.0625111-0.0274898j 0.022441+0.0168934j 0.0748336-0.0482151j 0.0809524+0.0330051j 0.0407639+0.0165242j -0.0662017+0.0103815j -0.0138548+0.00184397j -0.0285436+0.0833672j -0.0375097-0.139406j -0.0968804-0.0313027j -0.0739015+0.0378743j 0.00442396-0.0441153j 0.0164935-0.00210855j -0.0270261+0.0704708j 0.042842+0.00556286j 
