-0.413493-0j -0.417778-0j 0.0955332-0j -0.0601119-0j -0.0350653-0j -0.0296544-0j -0.00428024-0j 0.0680382-0j -0.0211861-0j 0.00982046-0j -0.0302722-0j -0.00305795-0j -0.00436941-0j -0.0124866-0j -0.00180229-0j -0.0215886-0j -0.00381636-0j -0.00031803-0j -0.0243869-0j 0.0391586-0j -0.00431103-0j 0.0395644-0j -0.000359253-0j -0.0174228-0j 0.00692233-0j 0.00699407-0j 0.000576861-0j -0.0143731-0j -0.00307995-0j 0.000582839-0j -0.00459228-0j -0.000256663-0j -0.00254083-0j -0.000211736-0j -0.000811807-0j -6.76506e-05-0j -0.0170137-0j -0.00283562-0j -0.00173646-0j -0.0188307-0j -0.000354453-0j -2.08863e-05-0j -0.014887-0j -0.00313846-0j 0.0489605-0j -0.0150413-0j -0.00192191-0j -0.000392307-0j 0.0341563-0j -0.00248117-0j -2.31169e-05-0j 0.00816008-0j -0.00614058-0j -0.0015194-0j 0.0199245-0j -0.00250688-0j 0.00499701-0j -0.010746-0j -0.00153514-0j -0.000310146-0j 0.00102001-0j 0.00569272-0j -0.00031336-0j -1.82755e-05-0j -0.00626851-0j 0.00348607-0j -0.00102343-0j 6.01047e-05-0j 0.00332075-0j -1.84649e-05-0j -0.00163529-0j -0.00062672-0j 0.00071159-0j -0.001791-0j 0.00203354-0j -0.000127929-0j -0.00109676-0j 4.19309e-05-0j -0.00104475-0j 0.000415094-0j -0.000223875-0j -0.000639777-0j -7.53827e-06-0j 2.44597e-05-0j -0.000272549-0j -0.000130594-0j -0.000166902-0j -1.3192e-05-0j -3.40686e-05-0j -7.69532e-06-0j -2.00751e-06-0j 
-0.497106-0j -0.49906-0j 0.0601119-0j -0.00125209-0j -0.0845268-0j 0.0366954-0j 0.00529653-0j 0.000741743-0j -0.0771568-0j 0.000107061-0j 0.0351324-0j -0.0111366-0j 0.00507093-0j -0.0452834-0j -0.0065361-0j 0.0267145-0j 0.0047225-0j 0.000393542-0j 0.000522846-0j -0.0239382-0j 9.2427e-05-0j -0.0240323-0j 7.70225e-06-0j -0.00109935-0j -0.00423171-0j -0.00424835-0j -0.000352643-0j 0.0336608-0j -0.000194339-0j -0.000354029-0j -0.0222383-0j -1.6195e-05-0j 0.00595045-0j 0.000495871-0j -0.00393122-0j -0.000327601-0j 0.0210534-0j 0.0035089-0j 0.00214876-0j 0.000403724-0j 0.000438613-0j 2.58455e-05-0j -0.0178973-0j 6.72874e-05-0j 0.0122812-0j -0.0179677-0j 4.1205e-05-0j 8.41093e-06-0j -0.000361767-0j -0.00298289-0j 4.95619e-07-0j 0.00204686-0j -0.037344-0j -0.00182664-0j -0.0244224-0j -0.00299461-0j 0.00125344-0j 0.0377793-0j -0.00183382-0j -0.000372861-0j 0.000255857-0j -6.02945e-05-0j -0.000374327-0j -2.1971e-05-0j 0.0220859-0j -3.69227e-05-0j -0.00622399-0j 1.50765e-05-0j -0.0040704-0j -2.20574e-05-0j -0.00990751-0j -0.0038114-0j -7.53682e-06-0j 0.00629656-0j -0.0024926-0j -0.000777999-0j 0.00385584-0j -4.44111e-07-0j 0.00368099-0j -0.0005088-0j 0.00078707-0j 0.00225413-0j -4.5844e-05-0j -2.99813e-05-0j -0.00165125-0j 0.000460123-0j -0.00101118-0j 4.63785e-05-0j -0.000206406-0j 2.7113e-05-0j -1.21626e-05-0j 
-0.298475-0j -0.270762-0j -0.0350653-0j 0.0845268-0j -0.0972998-0j -0.0214057-0j -0.00308964-0j 0.0486485-0j -0.0152929-0j 0.00702181-0j -0.0196194-0j -0.00220735-0j -0.00283181-0j -0.010791-0j -0.00155755-0j -0.0155835-0j -0.00275479-0j -0.000229566-0j 0.0342918-0j -0.0143731-0j 0.00606199-0j -0.0130386-0j 0.000505166-0j 0.0244992-0j -0.00254083-0j -0.00230491-0j -0.000211736-0j -0.0398827-0j 0.00433089-0j -0.000192076-0j 0.0422192-0j 0.000360908-0j -0.00705034-0j -0.000587528-0j 0.00746337-0j 0.000621948-0j -0.0122812-0j -0.00204686-0j -0.00125344-0j 0.026479-0j -0.000255857-0j -1.50765e-05-0j -0.010746-0j 0.00441316-0j -0.00716401-0j -0.00974825-0j 0.0027025-0j 0.000551646-0j 0.0244224-0j -0.001791-0j 3.2506e-05-0j -0.001194-0j -0.0044325-0j -0.00109676-0j -0.0281129-0j -0.00162471-0j -0.000731174-0j -0.00696449-0j -0.000994927-0j -0.000223875-0j -0.00014925-0j 0.0040704-0j -0.000203089-0j -1.3192e-05-0j -0.00541728-0j 0.0024926-0j -0.000738751-0j -8.79465e-06-0j -0.00468548-0j -1.19671e-05-0j 0.0515251-0j -0.000452391-0j 0.0005088-0j -0.00116075-0j -0.00286926-0j -9.23439e-05-0j -0.00071081-0j 2.99813e-05-0j -0.00090288-0j -0.000585685-0j -0.000145093-0j -0.000552899-0j -5.44141e-06-0j -3.45118e-05-0j 0.00858752-0j -0.00011286-0j 0.00525876-0j -8.54972e-06-0j 0.00107344-0j -6.65034e-06-0j 6.32531e-05-0j 
0.0515245-0j 0.0520585-0j -0.285413-0j -0.353181-0j -0.206022-0j -0.010967-0j 0.150858-0j 0.00431103-0j 0.00263996-0j -0.0593011-0j 0.00377215-0j -0.0363144-0j -0.0518885-0j 0.00155593-0j -0.0214029-0j 0.00269011-0j -0.0224226-0j -0.00568491-0j -0.00901891-0j 0.00248117-0j 0.0751744-0j 0.00250688-0j 0.0190593-0j 0.00217102-0j -0.020681-0j -0.0208954-0j -0.00524336-0j 0.001791-0j -0.0180959-0j -0.0052977-0j 0.000572234-0j -0.00458794-0j -0.0149284-0j -0.00378486-0j -0.00476969-0j -0.00120928-0j 0.00212005-0j -0.0166604-0j 0.000216376-0j 0.00234646-0j -0.00420926-0j -0.000498669-0j -0.00550561-0j -0.0184397-0j 0.00123669-0j -0.00556266-0j 0.000239485-0j -0.0046588-0j 0.00216421-0j 0.0432658-0j -0.000551926-0j -0.00971856-0j 0.000765165-0j -0.000561913-0j 0.00126246-0j 0.0437142-0j 0.000126219-0j 0.00133904-0j -0.000567737-0j 0.0109312-0j -0.0024554-0j -0.0170075-0j 0.0110444-0j 0.00129501-0j 0.000781106-0j 0.000220884-0j -0.00601305-0j -0.00029089-0j -0.00992103-0j 0.00130843-0j 0.000203771-0j 7.80943e-05-0j -0.00429696-0j -0.0105228-0j 0.000128849-0j -0.0015192-0j 0.000136665-0j -0.000509058-0j -0.00613832-0j -0.00250656-0j -0.00265861-0j 7.97213e-05-0j -0.000179979-0j -0.000296951-0j -0.00160133-0j -0.00155085-0j 2.07973e-05-0j -0.000314964-0j -0.000404578-0j -0.000183729-0j -4.79302e-05-0j 
-0.0601119-0j 0.0586303-0j -0.654844-0j 0.00713902-0j -0.468226-0j -0.00431103-0j 0.0593011-0j 0.000171372-0j -0.00307995-0j -0.00235733-0j 0.00424835-0j 0.0423668-0j -0.0584389-0j 0.00531997-0j -0.0731797-0j -0.00313846-0j 0.0261597-0j 0.00663239-0j -6.14247e-05-0j 0.00569272-0j 0.000511988-0j -0.00555241-0j 0.000129807-0j -4.38839e-05-0j -0.04745-0j 0.0462805-0j -0.0120302-0j 0.0040704-0j 0.000365782-0j 0.0117337-0j 0.00261259-0j 9.27383e-05-0j -0.0339276-0j -0.00860183-0j -0.0217765-0j -0.00552109-0j -0.00247339-0j 0.0194371-0j -0.000252439-0j -4.74301e-05-0j 0.00491081-0j 0.000581781-0j -0.00216421-0j 0.00037273-0j 0.00711767-0j 0.00211087-0j -4.84082e-06-0j 9.41706e-05-0j 8.60316e-05-0j 0.0170075-0j 1.11563e-05-0j -0.0559343-0j -0.000892692-0j -0.000220884-0j -0.00564254-0j -0.0165883-0j 0.000726445-0j 0.00150808-0j 0.00021544-0j 0.00429696-0j -0.0141319-0j -0.00067608-0j -0.00419105-0j 0.000509058-0j 0.00267071-0j 8.78057e-06-0j 0.00701523-0j -0.00167419-0j 0.0443419-0j -0.000496511-0j 0.00116395-0j -9.111e-05-0j -0.000170812-0j -0.0118512-0j -0.000575889-0j 0.0017724-0j 0.000153918-0j -2.0236e-05-0j -0.0209878-0j 0.011203-0j -0.00299423-0j 0.000272579-0j 0.000209976-0j 0.00132722-0j -0.0091469-0j -0.0053026-0j 0.000118795-0j -0.000354725-0j -0.00231097-0j -0.000628196-0j -0.00027378-0j 
0.108337-0j -0.0371924-0j 0.203909-0j -0.742608-0j 0.147189-0j -0.00263996-0j 0.0363144-0j -0.00307995-0j -0.00167437-0j 0.0423668-0j 0.00793143-0j 0.023032-0j -0.109102-0j -0.00111161-0j 0.015291-0j -0.00192191-0j 0.0160195-0j 0.00406149-0j -0.00217102-0j 0.00521697-0j 0.0180959-0j -0.001791-0j 0.00458794-0j -0.00137695-0j -0.0434845-0j 0.0149284-0j -0.0110248-0j 0.00376581-0j 0.0114771-0j 0.00378486-0j -0.000408824-0j 0.00290985-0j -0.0313888-0j -0.00795815-0j 0.00340763-0j 0.000863952-0j -0.00151463-0j 0.0119028-0j -0.000154587-0j -0.00167639-0j 0.00300724-0j 0.000356266-0j 0.00390046-0j 0.0131739-0j -0.000883536-0j -0.00133904-0j -0.000171096-0j 0.00332841-0j 0.00455053-0j -0.0306518-0j 0.000394315-0j 0.00694327-0j -0.00682912-0j 0.000398089-0j -0.000901943-0j 0.0105228-0j -9.01755e-05-0j -0.000849271-0j -0.000136665-0j -0.0077442-0j 0.00175423-0j -0.0357604-0j 0.00265861-0j -0.000917451-0j 0.00164237-0j 0.000464437-0j 0.0536667-0j 0.000207822-0j 0.00708793-0j 0.000314964-0j -0.000145581-0j -0.000696994-0j -0.0090349-0j 0.006674-0j -9.20542e-05-0j 0.0135589-0j -8.66784e-05-0j -0.00107036-0j -0.0129066-0j 0.00179077-0j 0.00168619-0j 0.000167624-0j 0.00160632-0j 0.000212152-0j 0.00114405-0j -0.00326087-0j -1.48583e-05-0j 0.000199762-0j 0.000289045-0j -0.000386313-0j 3.4243e-05-0j 
-0.0511006-0j -0.0531111-0j -0.29136-0j -0.338138-0j -0.18883-0j 0.00377215-0j -0.0518885-0j -0.00424835-0j -0.00793143-0j 0.0584389-0j 0.00373887-0j 0.109102-0j -0.0514307-0j 0.00750716-0j -0.103266-0j 0.00274615-0j -0.0228897-0j -0.00580334-0j -0.00299461-0j -0.00246076-0j 0.0249607-0j -0.00255757-0j 0.00632841-0j 0.00629656-0j 0.0205109-0j 0.0213179-0j 0.00520023-0j -0.00159481-0j -0.0524831-0j 0.00540482-0j 0.00612559-0j -0.0133063-0j 0.0132931-0j 0.00337026-0j -0.051058-0j -0.012945-0j 0.00216421-0j -0.0170075-0j 0.000220884-0j -0.00231234-0j -0.00429696-0j -0.000509058-0j -0.00183978-0j 0.0181716-0j 0.00126246-0j -0.00191216-0j -0.000236002-0j 0.00459106-0j 0.00207203-0j 0.0144579-0j 0.000543901-0j -0.00992103-0j -0.00383882-0j -0.000187772-0j 0.00115711-0j 0.0150267-0j 0.000128849-0j 0.00402056-0j -0.000195159-0j 0.0036528-0j -0.00250656-0j -0.0162831-0j 0.00379652-0j 0.000432746-0j -0.00366144-0j 0.000211476-0j 0.0301674-0j -0.000296951-0j -0.00909313-0j 0.000449772-0j 0.00378118-0j -0.000391798-0j -0.00411393-0j -0.0315956-0j 0.000118097-0j 0.00762182-0j 0.000410347-0j -0.000487375-0j 0.0287734-0j -0.00229739-0j -0.00798267-0j -0.000373694-0j 0.000902953-0j -0.00027217-0j -0.0297144-0j 0.00726963-0j 0.000385915-0j -0.000945702-0j -0.00750738-0j 0.000861229-0j -0.000889395-0j 
-0.0216955-0j -0.103604-0j 0.12018-0j -0.435838-0j 0.10386-0j -0.00155593-0j 0.0214029-0j 0.00531997-0j -0.00111161-0j -0.0731797-0j -0.00750716-0j 0.015291-0j 0.103266-0j 0.00911509-0j -0.125384-0j -0.00113273-0j 0.00944153-0j 0.00239376-0j 0.00374998-0j -0.00104475-0j -0.0312569-0j -0.00498907-0j -0.00792471-0j 0.00267912-0j 0.00870822-0j 0.0415849-0j 0.00220784-0j -0.00090288-0j -0.022331-0j 0.0105432-0j 0.00448621-0j -0.00566168-0j 0.00752568-0j 0.00190802-0j -0.0373935-0j -0.00948054-0j -0.000892692-0j 0.00701523-0j -9.111e-05-0j 0.00289561-0j 0.0017724-0j 0.000209976-0j -0.000781106-0j -0.0227552-0j -0.000520737-0j -0.00373007-0j 0.000295532-0j -0.00574913-0j 0.00267071-0j 0.00613832-0j -0.000681096-0j 0.00409222-0j -0.00032219-0j -7.97213e-05-0j -0.00063643-0j 0.0293128-0j -5.31475e-05-0j -0.00266489-0j -0.000380698-0j 0.00155085-0j 0.0010339-0j -0.0209878-0j 0.0074059-0j 0.000183729-0j 0.00457593-0j 0.000272579-0j 0.00253193-0j 0.000122486-0j 0.00500139-0j 0.000877373-0j -0.00269794-0j -3.28833e-05-0j -0.0053026-0j 0.020942-0j -6.49553e-05-0j 0.000639695-0j -0.000271984-0j -0.000628196-0j -0.03596-0j 0.00126361-0j 0.00529103-0j 0.000467029-0j 7.57843e-05-0j 0.000149699-0j 0.0212018-0j -0.00908533-0j -0.000275357-0j 0.000626825-0j 0.00535665-0j -0.00107633-0j 0.000634599-0j 
0.0324848-0j 0.0328214-0j 0.00381636-0j 0.0047225-0j 0.00275479-0j -0.222731-0j 0.000336263-0j -0.259853-0j -0.159127-0j 0.000392307-0j -0.227371-0j 0.000240238-0j 0.000343269-0j -0.093786-0j 0.000141591-0j -0.0067426-0j 0.113955-0j -9.93279e-05-0j 0.00191588-0j 0.00156431-0j -0.0323798-0j 0.00158052-0j 2.82235e-05-0j 0.00136877-0j -0.026438-0j -0.0267119-0j 2.30444e-05-0j 0.00112918-0j -0.0231332-0j 2.32832e-05-0j 0.000360777-0j 2.01639e-05-0j -0.0190839-0j 1.66343e-05-0j -0.00609741-0j 5.31475e-06-0j 0.00133663-0j 0.000222771-0j -0.0262211-0j -0.00588127-0j -0.00266226-0j 1.64087e-06-0j 0.00116955-0j -0.000980211-0j 0.0007797-0j 0.00118167-0j 0.115375-0j 0.0117141-0j 0.00136448-0j 0.000194925-0j -7.21994e-06-0j 0.00012995-0j 0.000482415-0j -0.0229435-0j 0.000795944-0j 0.000196945-0j -0.0152957-0j 0.000844226-0j -0.0231813-0j -0.00232948-0j -0.00155299-0j 0.000227413-0j -0.00235362-0j 1.43576e-06-0j 0.000492465-0j -0.0267674-0j 8.04025e-05-0j 9.57172e-07-0j 0.000132657-0j 1.45064e-06-0j 0.000128472-0j -0.00946371-0j -0.00271772-0j 0.000140704-0j -0.0156143-0j -0.000960861-0j -0.0165615-0j 1.67505e-06-0j 8.20775e-05-0j -0.00158534-0j -0.00168151-0j -0.00966087-0j 5.9222e-07-0j 9.77113e-07-0j 2.14119e-05-0j -0.000980879-0j -0.00252028-0j 1.03639e-06-0j -0.000255886-0j 6.04558e-07-0j 1.57714e-07-0j 
-0.00468877-0j -0.00473736-0j 0.0524965-0j 0.0649611-0j 0.037894-0j -0.000336263-0j -0.215761-0j -0.000392307-0j -0.000240238-0j -0.251722-0j -0.000343269-0j -0.154147-0j -0.220256-0j -0.000141591-0j -0.0908511-0j 0.00097321-0j -0.0163959-0j 0.195313-0j -0.000276533-0j -0.000225788-0j 0.0046588-0j -0.000228128-0j -0.0554972-0j -0.000197565-0j 0.0038039-0j 0.00384332-0j -0.0453132-0j -0.000162983-0j 0.00332841-0j -0.0457828-0j -5.20737e-05-0j -0.0396491-0j 0.0027458-0j -0.0327088-0j 0.000877296-0j -0.0104506-0j -0.000192926-0j 0.00306437-0j -1.96904e-05-0j 0.000848888-0j -0.0178675-0j -0.00649839-0j -0.00016881-0j -0.0134835-0j -0.00011254-0j -0.000170559-0j 8.66393e-05-0j 0.0786183-0j -0.000196945-0j 0.00268132-0j 0.0285934-0j 0.00178755-0j -6.96306e-05-0j -1.72291e-05-0j -0.000114885-0j 0.00270911-0j -1.14861e-05-0j -0.000121854-0j -1.74076e-05-0j -0.0156341-0j -0.0104227-0j 0.00312821-0j -0.0157961-0j -0.00568609-0j -7.10812e-05-0j -2.01006e-05-0j 0.00110599-0j -0.00379073-0j 0.00182479-0j -0.00574502-0j -1.85433e-05-0j -7.10664e-06-0j -0.0182397-0j 0.00193548-0j -1.17254e-05-0j -0.00644872-0j -1.24366e-05-0j -0.00663378-0j 0.00112903-0j -0.0106398-0j -0.0112853-0j -7.2547e-06-0j -0.00234539-0j -0.0038697-0j 0.000294536-0j -0.00658307-0j -1.89257e-06-0j -0.00410444-0j -0.00171736-0j -0.00239426-0j -0.000624601-0j 
-0.0366954-0j 0.035791-0j -0.00431103-0j -9.2427e-05-0j 0.00606199-0j -0.746733-0j 0.00112736-0j 0.00508575-0j 0.179753-0j -7.67809e-06-0j -0.247943-0j -0.000271378-0j 0.000374327-0j -0.310485-0j 0.000468748-0j -0.00191588-0j 0.0323798-0j -2.82235e-05-0j 0.000111287-0j -0.00176707-0j -0.00188084-0j 0.00172352-0j 1.63942e-06-0j -2.6789e-05-0j 0.0298649-0j -0.0291287-0j -2.60314e-05-0j 0.00248478-0j 0.000452755-0j 2.53898e-05-0j 0.00159486-0j -3.9464e-07-0j -0.0419947-0j 3.66043e-05-0j -0.0269543-0j 2.34945e-05-0j -0.00150988-0j -0.000251647-0j 0.0296199-0j -2.89538e-05-0j 0.00300734-0j -1.85356e-06-0j 0.00392106-0j -4.82563e-06-0j -0.000880765-0j -0.00382441-0j 0.000567998-0j 5.76694e-05-0j -2.6705e-05-0j 0.000653509-0j -3.55442e-08-0j -0.000146794-0j -0.000544945-0j -0.0769208-0j 0.00175149-0j -0.000637402-0j 0.0172783-0j 0.000920609-0j 0.0750249-0j -0.00780985-0j 0.00175428-0j -4.45083e-06-0j 0.00761736-0j 4.81355e-06-0j 0.00163034-0j 0.000523882-0j -9.08242e-05-0j -1.08124e-06-0j 0.000291916-0j -4.69491e-06-0j 0.000710534-0j 0.0106904-0j 5.31903e-05-0j 0.000153435-0j -0.0343597-0j 0.00108541-0j -0.0180599-0j -3.27835e-08-0j 0.000271724-0j -0.00348858-0j -0.00183364-0j -0.031983-0j -6.68984e-07-0j 2.15016e-06-0j 0.000118422-0j -0.00324727-0j -0.0139388-0j 1.13015e-06-0j -0.00141522-0j 2.00143e-06-0j 8.72263e-07-0j 
