-0.0238056+0.0238947j -0.129606-0.00732717j 0.0109532-0.0285819j 0.0274413+0.00693551j -0.0384519-0.0223621j -0.00447624+0.0242258j 0.0201394-0.0288932j -0.0307273+0.00664128j -0.0191943-0.0201607j -0.012133+0.0400963j -0.0280832+0.00983915j -0.00477946-0.033004j 0.0283599+0.0075167j -0.0154695+0.0288319j 0.0273182+0.0126928j -0.0297158-0.024237j -0.0066843-0.00335522j 0.00427425+0.0108674j -0.00448292+0.00700944j 0.00455781+2.20447e-05j 0.0109364+0.0199295j 0.0049973+0.00490682j 0.00445125+0.0287351j 0.00361535+0.0112821j 0.0064846-0.00455963j 0.0107392+0.00631877j 0.0027681+0.00734732j 0.000844845-0.0255503j -0.0018331+0.0222384j 0.0022827+0.00566331j 0.00473498-0.0219176j -0.00601467-0.0134635j 0.00284293+0.0234032j -0.00391522+0.0150702j -0.00425691+0.0167136j 0.000761109+0.00307276j 
-0.116714-0.126235j 0.0900639+0.103698j 0.0978668+0.0559423j 0.00501961+0.0274249j 0.0940536+0.101802j -0.0920788-0.096977j 0.00737585+0.0854916j 0.0502471+0.0442769j 0.0395899-0.00705476j -0.00707391-0.0107787j 0.00533117-0.0122074j -0.0228739+0.00180359j -0.0166365+0.0259213j -0.00139+0.0210362j 0.024955-0.0119216j -0.0166394+0.0311428j 0.0156268-0.0117155j 0.0028404+0.0128455j -0.00793609-0.0319963j 0.0182105+0.0253469j -0.00500323+0.0190249j -0.00740877+0.0169436j -0.0109681+0.0117581j -0.00590795-0.0471879j -0.0227892-0.0257235j -0.0175289+0.0140982j -0.00261628+0.0249324j -0.00212017+0.00839185j 0.009611+0.00588044j 0.013619-0.0103546j -0.0238336+0.000813328j -0.00535512+0.00873637j -0.0170589-0.018736j 0.00611769+0.0213051j 0.0112504+0.0044549j -0.00299425+0.0585257j 
-0.123563+0.120657j 0.0903968-0.0745402j 0.0702996-0.0567383j -0.0178794+0.0508027j -0.0256797+0.000831987j -0.0130735-0.0187336j 0.0188319-0.000952179j 0.0121262+0.00389481j -0.0132508+0.0464981j -0.00914932+0.0175703j 0.0231844-0.00268841j -0.0134993-0.0206668j -0.00208474-0.0292316j -0.0336072+0.00791723j -0.00612067+0.00543984j -0.0171008-0.0221123j 0.0102198-0.0274933j -0.0149433-0.0121147j -0.0080028+0.027651j 0.0316983+0.00421462j 0.0254878+0.00182341j 0.0133943+0.00497272j -0.0188302-0.00367103j -0.00450702-0.00737044j -0.00574333+0.0203191j -0.00892276-0.00686066j 0.0211124-0.00856395j -0.00368792-0.000416003j -0.000165523-0.000410358j -0.00429782+0.0155824j 0.0175298+0.00229728j -0.000381684+0.0118361j -0.0130538-0.0045392j 0.0165323+0.00501837j 0.00489056+0.0239867j 0.00921828-0.0131348j 
0.222745+0.0536834j -0.203265-0.0216153j -0.0536038+0.077017j -0.00444087-0.149497j -0.0760072-0.105855j 0.0461719+0.0446053j -0.143081-0.152889j -0.0447714-0.0496226j 0.0304928+0.026069j -0.0163337+0.045388j -0.0233198+0.0119442j -0.00280955+0.0334793j -0.00787317-0.0319571j 0.0294926+0.0276201j -0.00845194+0.050898j -0.010149-0.0326546j 0.0164472+0.0283685j -0.0167569+0.0123334j 0.016239+0.0351855j -0.051669-0.0185389j -0.00425376-0.000606801j 0.014842-0.0477005j 0.0261535-0.0110976j 0.0225549+0.0605536j 0.00415525+0.0200076j 0.00973422-0.0364045j -0.0102733+0.0009895j 0.0115956-0.00743213j 0.000799222-0.014938j -0.0409674-2.94374e-05j 0.00367227+0.0134837j 0.00977764+0.00242675j 0.0451194+0.00302395j -0.0101416+0.0143296j -0.052426-0.036716j 0.0048033-0.0593818j 
-0.231173+0.178774j 0.0206647-0.301243j 0.0785501-0.140165j 0.0276183+0.0439038j 0.00644497-0.182019j -0.0344272+0.132222j 0.0953188-0.0246314j 0.0269641-0.0516103j -0.014889+0.00591654j 0.0090645+0.0224822j 0.0148623-0.0355978j 0.0245751-0.0341954j 0.00529855-0.00297092j 0.0171857-0.0202964j 0.0228046-0.00558089j -0.0153814-0.0144516j -0.0213826+0.000431251j -0.0199051-0.0255668j -0.00614081+0.0524936j 0.0545403+0.000558697j 0.00193873+0.002415j -0.00801711-0.0156618j -0.000669891-0.0183464j 0.00275181+0.0496426j -0.00639445+0.0180032j 0.0069041-0.033475j -0.00565755-0.018677j -0.0133945+0.00119102j 0.00286073+0.0259631j 0.00574068-0.00356328j 0.0214759-0.0251075j -0.00850197+0.00417471j -0.00528909-0.00177914j -0.00610606-0.0126005j 0.00453229+0.0206129j -0.00405142-0.0643043j 
-0.200812-0.0844772j -0.401286+0.274523j 0.0802219-0.0420361j 0.0694538-0.0302936j -0.0720951-0.0222129j 0.0267913+0.0449811j 0.0384463+0.0662895j -0.0254026+0.0238442j -0.0136367-0.0274562j -0.01827-0.0277804j 0.0245969-0.00833109j -0.00504351+0.039745j 0.0381306+0.0382654j 0.0219141+0.00606403j -0.0206257-0.0425925j -0.0100673-0.0302306j -0.0142866-0.0102332j 0.0281048-0.0399391j -0.00727184+0.0036701j -0.000660296+0.0046938j 0.0477926+0.0202347j 0.0165603+0.0131048j -0.00344591+0.0094925j 0.00908135-0.0052279j 0.00290755-0.0198245j 0.0286542+0.0147166j -0.016391-0.0201457j -0.0160866+0.022509j 0.0207443-0.0254812j -0.00581137+0.0170692j 0.0203859+0.00207478j 0.00802174+1.29342e-05j -0.0111825+0.00297164j -0.0343544-0.0012902j -0.00386123+0.0157795j -0.010184+0.0255092j 
0.0743147-0.427498j 0.0240948-0.343078j 0.00621614+0.225279j -0.000925758+0.0535357j 0.0323179-0.127001j -0.0190596-0.0244016j -0.0490027+0.0399011j 0.0172324-0.0367095j 0.0212726-0.0866377j 0.0199403-0.010884j -0.0169482-0.0536492j 0.025011-0.0163161j 0.0229435-0.0304306j -0.000882594-0.00950847j -0.0235989-0.0222047j -0.0110735-0.0194111j 0.0364532+0.00749333j -0.0128556-0.0442909j 0.00900444-0.00377501j 0.00968459+0.00470572j -0.00830746+0.0182231j -0.0101094+0.0201217j 0.0179327+0.014484j -0.00693961+0.0112505j 0.00437749+0.0331733j 0.0119072-0.0221274j -0.00218539+0.0024516j 0.00331154-0.0178851j 0.00110407-0.0148708j 0.00236619-0.00977686j -0.0163787-0.00585445j 0.0112917-0.0334877j -0.00285456+0.0131525j 0.00262027+0.0119818j -0.00281958+0.0320816j 0.000332249+0.0149416j 
-0.0126539+0.0138841j -0.423569-0.302098j -0.014996-0.0078821j 0.131743+0.134359j -0.0687085+0.0848833j 0.00212907-0.0674885j 0.0240095+0.051072j 0.00393286+0.0418633j -0.00250257-0.000700159j 0.0191568+0.0467422j -0.0011542-0.0315304j 0.032407+0.0114766j 0.0462189+0.00380421j 0.0275973+6.6139e-05j -0.0146855-0.00139819j -0.035032+0.000919306j -0.00595931+0.00507573j 0.00184742-0.0213865j 0.0137317-0.00212363j -0.0450252+0.0309114j 0.0283352-0.0183395j -0.00423919-0.0160453j -0.00407417+0.010655j 0.014802-0.0321649j -0.0234327-0.00386683j -0.00563272-0.0113792j 0.00307191+0.0203562j 0.0075064-0.00637435j -0.00654169+0.0134501j 0.00948903-0.0140937j 0.0189127-0.00255556j -0.020226-0.0102147j 0.0236761+0.0240344j -0.0278773-0.00602727j -0.00554602-0.000880323j -0.0132984+0.00304649j 
0.321739+0.184513j 0.0706524-0.0613997j -0.254599-0.162232j -0.0145101+0.109562j 0.0215778-0.00971837j 0.0741672+0.016509j -0.00143667+0.100069j -0.00795712-0.00530018j 0.00639839-0.00369893j 0.00745121-0.00876685j -0.0226079+0.0147026j 0.0106915-0.0131646j -0.0358686-0.0172286j 0.0142464+0.000624557j -0.00557288+0.00165259j -0.00904108-0.000232283j 0.0388451-0.0300893j -0.00718835-0.00663835j 0.00294396-0.0186024j -0.0341817+0.0135762j -0.00928834+0.0112133j -0.00624745-0.00622935j 0.00257082-0.00611871j 0.000835306-0.00402893j 0.0365408-0.0166198j -0.0129779-0.0134513j -0.0154392-0.0205538j -0.0254241+0.00946259j -0.0241154+0.00333748j 0.00330147+0.00014958j -0.0220722-0.0130102j 0.022331+0.0152424j 0.0232953+0.0257548j -0.00405655+0.000745285j -0.0144734-0.00397305j -0.00991094-0.00158763j 
-0.201726+0.123569j 0.101158-0.0917793j 0.289159+0.0280485j -0.228717-0.0414482j -0.0953593-0.0122502j 0.0274457+0.0321194j -0.287877-0.0424209j -0.0745505-0.05937j 0.0306674+0.0176003j -0.0130133+0.0603659j -0.0186656+0.0333751j -0.0245985+0.0353344j 0.0207165-0.0341806j -0.0178543-0.00109108j 0.0124889-0.00154397j 0.0362478-0.0372628j 0.0152706+0.0170503j -0.0300565+0.0610009j 0.000911162-0.0242558j -0.00425393+0.00718563j 0.0269218-0.0139734j -0.00454027-0.0446097j -0.010362+0.0065935j 0.00766729+0.0238133j 0.0184561+0.00517834j -0.00513048-0.0251887j 0.0129019-0.0105259j 0.0125361+0.00285225j 0.0105689+0.00967717j 0.00981965-0.0032961j 0.00603234-0.00261299j 0.0215356+0.00666067j 0.031404+0.0323387j -0.00708571+0.0279043j -0.00978396-0.0513067j -0.0149208-0.0461552j 
0.0119173-0.19695j 0.14441+0.129309j -0.141497+0.0351272j -0.0356078-0.118649j -0.208483-0.269678j 0.168272+0.107659j 0.0948456+0.0197185j -0.0746026-0.0126705j -0.0476421-0.0598575j -0.0289619-0.036019j -0.056143+0.0133693j 0.0207072+0.00999235j -0.006542-0.0342409j 0.00287698+0.0164818j -0.0412608+0.0261917j -0.00885657-0.0764763j 0.00142166-0.00352583j 0.0193185-0.0118137j -0.0136298+0.0603419j -0.00102617-0.00377704j -0.0024231+0.0087446j -0.0028549+0.0275206j -0.017838-0.0225641j -0.00918945+0.012627j 0.00776387+0.0350906j 0.0151013-0.0471426j 0.024262-0.0296913j -0.0080395-0.000677707j 0.0136611-0.00630954j -0.00948916+0.00104152j 0.0208666+0.0170425j -0.0303947-0.0236687j 0.0356599+0.0123505j -0.0232137-0.0301608j 0.000167753+0.0104292j -0.0214168-0.0554256j 
-0.081479-0.0404632j 0.125638-0.205626j -0.0666622-0.0290632j -0.0621433+0.126268j -0.215364+0.168041j 0.160301-0.0721407j 0.0643393+0.0727883j -0.0482688+0.0344728j -0.0421428-0.0207347j -0.0110813-0.0342006j -0.0511422-0.0386331j 0.00765008-0.0113508j 0.0224338-0.00868688j -0.0211825+0.0284394j -0.032608-0.0194775j -0.0122106+0.0399874j -0.014962+0.00392737j -0.0214866-0.00795446j 0.00670679-0.0133454j 0.0365304-0.016395j 0.00290285+0.00578148j 0.00870446-0.0090294j -0.0159631+0.0289396j 0.0148413-0.0551872j 0.0376137-0.0376325j 0.0209722+0.0361149j 0.00614409+0.0282536j -0.00466036+0.00901441j 0.0260392-0.0071607j -0.0204006-0.0313853j 0.0104277+0.0137228j -0.017847-0.00157312j -0.0125647+0.0221879j -0.0257668-0.00679136j 0.0137596+0.0171382j 0.00471676+0.0394147j 
