-3.56929e-14-0.24459j -1.55278e-14-0.387982j -1.10787e-16+0.0827392j -5.35248e-16+0.227489j -3.20966e-16+0.275724j -4.74347e-16-0.139029j 2.70991e-16-0.249311j -7.98372e-17-0.0253102j 1.39803e-16-0.120023j 8.20927e-17-0.0346182j -1.21822e-16-0.0262649j -5.30304e-17+0.00661206j -1.23149e-16+0.00579352j -4.89414e-18-0.0925493j 9.68445e-17+0.0149528j -2.0141e-16-0.0140148j 6.42002e-17-0.0394386j -5.24425e-16-0.037196j -2.69537e-16+0.0175459j 2.02449e-16-0.0355012j -9.1695e-17+0.013871j -1.13515e-15+0.033575j 1.60313e-16-0.0134878j 1.1714e-16+0.000149531j -1.07179e-16-0.022755j 6.51864e-17+0.0001156j 8.3457e-17+0.0132513j -6.26808e-16-0.0264405j -2.59936e-16-0.0333713j 4.33242e-16-0.0127183j -5.95285e-17+0.00349426j 5.20107e-16-0.0168556j 1.10868e-16+0.032477j -2.13364e-16+0.0208113j 7.15581e-15-0.0105773j 4.2931e-18-0.003306j -5.67191e-18+0.00486283j -6.05618e-16+0.0296118j 4.49698e-16-0.014729j -1.61045e-15+0.00774234j -2.21121e-15+0.00577668j 4.8948e-16-0.0034297j 3.63238e-16-0.0575417j -7.71672e-16+0.0269952j -3.53309e-15-0.0303225j -6.98657e-17-0.0252521j -2.32747e-16+0.00708299j -5.54746e-16+0.0309328j 1.9346e-16+0.0030075j -4.72918e-17+0.0273459j -1.51864e-16-0.0114685j -3.95847e-17-0.0111933j 3.48699e-17-0.0121496j 3.33223e-15-0.0284166j -5.40633e-17-0.00637258j 5.23571e-15-0.00747399j 2.70655e-17-0.0538054j -2.08393e-16-0.0648411j 3.01654e-16+0.0240213j 2.07807e-16+0.0453934j 2.61052e-17-0.0543656j -1.0596e-16+0.0362986j 7.92905e-18+0.0147714j -3.83669e-17-0.00336323j -1.6211e-16+0.0682948j -3.23143e-17+0.0856968j 2.35631e-17-0.037731j -2.30982e-17-0.0862069j 6.30169e-17-0.04032j -9.97127e-17+0.0825791j -3.94389e-15-0.0764268j 8.87314e-15+0.108234j 
2.3194e-14+0.380441j 1.09098e-14-0.236187j -5.82197e-16+0.277904j 2.66798e-16-0.0212203j -1.09852e-18+0.143273j 1.06945e-15+0.364434j 3.94792e-16-0.0394083j -1.22745e-16+0.0196426j 1.44493e-16-0.014451j 6.11322e-17-0.111322j -3.78047e-17+0.0399964j 1.90693e-16-0.018981j -6.17336e-17+0.0829169j 5.10482e-17+0.0181828j -3.60731e-16+0.0148703j 3.84153e-16+0.0655919j 1.37324e-16-0.0365278j 8.0434e-17-0.00916154j -4.47702e-17+0.0357753j -3.84607e-16+0.0323192j 1.63746e-17+0.0270389j 3.40114e-16-0.0183767j -6.85716e-17-0.00866228j -2.72138e-16-0.014004j 1.06862e-16+0.0301252j 4.15589e-16-0.00558453j -8.75607e-17+0.0192298j -1.00559e-15-0.0635201j -9.0096e-16-0.00410149j 8.56022e-16+0.0321711j -6.9108e-17+0.00806443j 4.58301e-17-0.00482382j 5.54338e-17+0.0159283j -1.44612e-17-0.00816912j 1.42429e-14-0.0202383j -2.1823e-16-0.005818j 4.05489e-16-0.0301243j -6.05026e-16+0.0119482j 3.47404e-16-0.0383962j -2.39604e-15+0.00748615j -3.69753e-15+0.0125801j 3.25458e-16-0.00090058j 9.74393e-17-0.015555j -2.43177e-16-0.005232j -1.19956e-15-0.00722902j -4.70996e-17+0.0257648j -8.0862e-17-0.00437932j 5.56941e-18-0.00281129j 2.75185e-15+0.0256975j -3.2769e-17+0.0182585j 3.08071e-16+0.0294748j 3.74424e-16+0.0393869j 1.05691e-16+0.0268798j -1.50487e-15+0.0134938j -3.26752e-16+0.0117334j -1.09454e-14+0.0154773j 8.31454e-17-0.0148717j 1.19326e-17+0.029372j -4.48211e-17+0.0140539j -1.67178e-17+0.0206692j -3.004e-16-0.0720889j -3.89197e-16-0.0225881j 3.86069e-17-0.0240417j 2.56439e-17+0.0189691j -6.54423e-17-0.039732j -8.5067e-17+0.00831804j -7.39152e-17-0.0907902j -3.01022e-17+0.0657978j 3.25466e-16-0.0904687j 1.67424e-16-0.0442072j -8.18764e-16+0.112909j 1.7535e-15+0.0780069j 
2.40303e-15+0.0406244j 1.00573e-15-0.0268976j 9.35621e-16-0.303939j -1.28376e-15+0.449174j -1.73577e-16-0.0617556j -5.90675e-16-0.169047j -3.79442e-17-0.218937j -6.94114e-17+0.118465j 9.71925e-17-0.0648382j 1.35532e-16+0.0775268j 1.27399e-16+0.137917j 6.878e-16-0.0911154j 2.35649e-16+0.0760148j 5.3115e-17+0.179227j -3.61483e-17+0.0730685j -4.22419e-16+0.00838392j -7.51991e-17+0.124042j -4.38687e-16-0.0585875j -3.14984e-16-0.00641991j 3.29624e-16+0.00597873j 3.08329e-16-0.114811j 9.60948e-16-0.0117714j 1.83291e-16+0.017098j -3.38702e-16-0.019838j -1.36054e-16-0.0449993j 4.44778e-16-0.0196946j -4.22555e-16+0.0288563j -1.99072e-16-0.025268j -2.29741e-16+0.0206134j -7.12992e-17+0.0400429j 2.62624e-15-0.055682j -1.1387e-15+0.0272279j 1.15425e-16-0.0797083j 3.47163e-16-0.0640784j -7.69606e-15+0.0110983j 8.8907e-16-0.0172914j -1.17538e-15+0.0523231j -3.71997e-16+0.0334125j 6.15806e-16+0.0332608j 5.81931e-16-0.0441186j 5.84416e-16+0.0257999j -1.58571e-16-0.0123885j -3.29899e-16+0.0629272j 9.76431e-16+0.0433321j 5.28069e-15+0.0302062j -6.29604e-16+0.0612229j -2.43291e-15+0.0530707j -1.8649e-15+0.112823j -7.81087e-15-0.0737077j -3.30566e-16-0.00246307j 5.9665e-16+0.044418j 2.23145e-16+0.0467146j -3.83609e-19+0.0156357j 2.36467e-15-0.0181386j -8.62119e-16+0.0159716j -1.73924e-14+0.0246149j 4.98682e-17+0.0141879j 9.27853e-17+0.0720619j -2.04487e-16+0.012217j -8.09658e-17-0.0485659j 3.15727e-16+0.0583018j 3.84076e-16+0.0217227j -6.56857e-17+0.0150217j -2.13258e-16-0.11601j 1.5548e-16-0.0839258j 1.28741e-17-0.0397126j -1.04874e-16-0.0716495j 1.40495e-17-0.00312069j -1.44247e-17+0.0115572j 5.36579e-17-0.0382008j -1.67805e-15+0.0898648j 3.85632e-15+0.0991653j 
-4.67729e-15-0.0514226j -2.05652e-15-0.0107522j 1.6438e-16-0.327793j -1.28264e-16-0.182277j -5.97492e-17+0.307783j -3.96615e-16-0.219172j -2.32453e-16+0.328804j 2.17153e-16-0.0841117j -6.34824e-17+0.11261j -1.56819e-16-0.0258814j -9.80585e-17-0.0808906j 5.41076e-16-0.123358j -1.90583e-16+0.0234423j -2.35172e-16-0.158616j -5.05449e-16+0.0431883j 1.06122e-15+0.158467j -4.07416e-17-0.0649703j 1.08527e-17+0.0208561j 3.85574e-17+0.0135229j 9.06049e-16-0.0429233j 2.61629e-16-0.0174829j 2.97856e-15-0.0799314j -1.92786e-16+0.0863419j -1.88569e-16-0.00137175j -2.21462e-16-0.0169672j -5.31294e-18+0.0207891j 3.16111e-16+0.0521798j -8.57178e-16-0.0326195j -6.64953e-16-0.0230072j 5.32199e-16+0.0355033j 2.59864e-16-0.00114088j -2.93706e-16-0.00233088j -6.67906e-16-0.017913j 5.92768e-16+0.0405255j -1.36601e-14+0.0186018j 9.06882e-16-0.0438621j -7.95393e-17-0.0234389j -1.02641e-15+0.0347295j 6.66195e-16-0.0469261j -4.47691e-16-0.061574j -9.47332e-16+0.0413667j 1.50797e-16-0.0113555j 1.59245e-16-0.0424583j -5.37654e-16-0.0394217j -4.1171e-15-0.0198036j 7.84338e-18+0.0280228j -1.61795e-16-0.0157745j -2.98789e-16+0.0153476j 4.21235e-15+0.0406401j 2.70147e-16-0.00537111j 1.31481e-16-0.0207587j -6.26194e-17+0.0126615j 9.44745e-17-0.0161632j 2.67448e-15-0.0190338j -3.22088e-15+0.0678064j 2.06598e-14-0.0291959j 1.35866e-16-0.0308687j -4.81282e-17+0.028499j -1.26516e-16+0.0280309j -5.87691e-17-0.027724j 2.89783e-16-0.000390758j 2.34481e-16+0.0706457j 1.8322e-17+0.0305263j -1.66646e-16-0.0549466j 6.46168e-17-0.0797883j 8.74003e-17+0.0635452j -1.391e-17+0.0317944j 8.1864e-17-0.0718275j 2.6116e-17+0.0275181j 1.73525e-17-0.0709172j -4.09706e-15-0.0804115j 9.55404e-15+0.116149j 
1.42207e-14+0.0882544j 6.23715e-15+0.17537j 1.29309e-17-0.0864721j 1.09316e-16-0.137075j 7.69771e-17-0.143621j -2.37493e-16-0.135424j 1.12903e-16+0.0891833j -1.67706e-16-0.0210535j -2.11378e-17-0.0471666j 1.08088e-16-0.129118j -1.5496e-16-0.119272j -9.22093e-17+0.0412206j 2.83477e-16-0.117184j -5.24176e-16+0.126634j -4.75833e-16+0.0573592j -1.78965e-16+0.00408191j -6.85414e-17-0.00256973j -1.88766e-15-0.189521j -1.01482e-15+0.0452143j 4.31159e-16-0.0383595j 5.86246e-16-0.152429j 7.61406e-16-0.019424j -5.0404e-16-0.0241088j 1.79322e-15+0.0778146j -2.56285e-16-0.0172316j 2.1366e-15-0.0707307j -1.07169e-15+0.0815688j 3.89451e-16-0.011032j 3.29624e-16+0.0370577j -7.21038e-16-0.0258403j 3.82421e-16-0.0235572j 1.60982e-16-0.0557963j -2.19591e-16-0.0236978j 1.2656e-16-0.0119149j -8.4167e-15+0.0126671j -1.85914e-16+0.0404349j -3.53203e-16+0.0132676j 9.12372e-17-0.0144358j 5.165e-17-0.0457153j 4.47812e-15-0.0911783j 7.26256e-15+0.0218208j -2.71075e-16-0.00860856j 4.34668e-16-0.0746971j -1.41589e-15+0.00442091j -6.23191e-15-0.0455491j 4.63748e-16+0.00476936j 2.09344e-15-0.076832j 5.00221e-16-0.0135423j 1.11436e-15+0.0106895j 1.10681e-16-0.0396974j 2.86466e-16+0.03186j 2.81359e-16-0.0225514j 1.78415e-17+0.0473433j 7.47876e-15-0.0634434j -7.26812e-16+0.00799004j 6.8879e-15-0.00989379j -3.24961e-17+0.00823717j 2.55194e-16+0.00791388j -2.75744e-17-0.0618887j 2.56986e-17-0.0523657j 3.08097e-17-0.0211165j 1.90144e-17+0.03659j 5.00177e-17-0.00599521j -3.30191e-17-0.0323728j 1.84859e-16-0.0702993j 3.974e-17-0.000283799j 5.15257e-17+0.0459826j 5.01965e-17+0.023012j -1.19864e-17+0.0248866j 7.68464e-17-0.074997j 1.26923e-15+0.00836211j -2.80988e-15-0.0417669j 
1.03786e-14+0.159655j 4.84739e-15-0.0820305j -3.8181e-16+0.133257j 4.52132e-16-0.068479j 1.81735e-17+0.0250639j 3.35841e-16+0.137758j 2.71735e-17+0.11689j 2.05596e-16-0.0815567j -3.56038e-17-0.00663398j -1.05729e-16+0.125512j -7.49937e-17-0.196052j -4.76901e-16+0.0511192j 1.5654e-16+0.122522j 1.93881e-16+0.0125373j 9.67082e-17+0.012976j -1.43207e-16-0.00902849j -9.33418e-17+0.0646486j -1.22543e-15-0.0300172j -1.14998e-15-0.0665838j 1.62418e-15-0.170566j 5.18299e-16+0.0972276j -2.23209e-16+0.0120546j -4.22902e-16+0.00166553j 1.34306e-15+0.0834165j -2.1533e-16+0.00124309j -2.07734e-15+0.0483502j 1.17501e-15-0.111856j -1.1573e-16+0.0271601j -2.08993e-16+0.0125384j 5.2959e-16+0.0837016j -4.48025e-16+0.00577242j -7.18677e-16+0.000489686j -8.26181e-16-0.0382644j 5.8026e-16-0.0341305j -2.52485e-14+0.0367372j 3.44218e-16+0.0189568j 1.30369e-16-0.0418003j -6.9968e-16+0.0223922j 5.81966e-17-0.00404496j 1.05663e-15-0.0195252j 1.53083e-15-0.000284549j -8.33021e-17-0.0569592j 2.83436e-16-0.0240915j -5.25013e-16-0.0712126j -2.66337e-15-0.00446156j 6.50358e-17+0.0128352j 1.50165e-16-0.008615j 7.32191e-17+0.0128948j -8.57498e-16-0.00891087j -4.11928e-17-0.0409742j 4.72343e-16+0.0499162j 3.61271e-16+0.0411475j 8.66828e-17-0.016273j 3.16874e-15-0.0286338j 1.55943e-16-0.00795777j 1.06245e-14-0.0149044j -1.47041e-16+0.0234516j -1.09889e-16-0.0138069j 6.74448e-17-0.0201177j -1.79813e-17+0.0980678j 1.93092e-17-0.0300244j 1.87257e-17+0.0391558j -8.67109e-17+0.0165469j -5.75559e-17+0.016129j 4.12965e-17-0.00683942j -6.62958e-17+0.0367039j -1.40067e-17+0.00178962j -5.03994e-17+0.0151638j 2.18202e-16-0.0440586j 1.19362e-16-0.0321674j -5.01252e-16+0.0313845j 1.1484e-15+0.0323409j 
-9.39654e-14+0.0223338j -5.75998e-14+0.0136141j 1.47839e-13-0.0342521j 2.6603e-13-0.0616015j 6.42343e-13-0.148851j 9.18651e-13-0.212996j 1.14698e-13-0.026601j 1.35777e-12-0.314373j -5.70753e-13+0.132141j 3.95925e-13-0.0917436j 5.75526e-14-0.0132897j -8.97491e-13+0.207635j -3.67725e-14+0.00852233j 3.68629e-14-0.00853542j -5.984e-14+0.0140906j 7.64738e-13-0.177397j -1.37027e-13+0.0317211j 6.35943e-13-0.147824j -4.30809e-14+0.00981123j 3.15521e-13-0.0728157j 7.37564e-14-0.0168231j 6.46437e-13-0.148514j -3.05323e-13+0.0706239j 2.55429e-13-0.0593382j 1.82075e-13-0.0421665j -3.7271e-13+0.08612j -2.00015e-13+0.0465274j -2.16291e-13+0.0502455j 4.83281e-14-0.0110432j -1.34905e-13+0.0313509j 1.7349e-13-0.0399272j 2.42909e-13-0.0564456j 4.42907e-13-0.103015j -2.26395e-13+0.0526886j -4.34523e-13+0.0865387j 9.2307e-14-0.021032j -6.62779e-14+0.0151776j -1.01922e-14+0.00237839j 3.75146e-14-0.00871544j 3.66641e-13-0.0818308j 2.35541e-13-0.0497424j -1.37569e-13+0.0315129j -2.8201e-13+0.0652218j -1.49405e-14+0.00351079j -2.84852e-14+0.00676391j -1.95749e-13+0.0451914j -3.36127e-13+0.0772942j -3.63231e-14+0.00822339j 2.39716e-14-0.0056737j 9.97492e-14-0.0231644j 3.05514e-14-0.00699323j -1.39647e-13+0.0323478j 1.46958e-13-0.0340529j 3.41421e-13-0.0769683j -1.77566e-13+0.0405831j 5.9414e-13-0.118187j 3.34696e-13-0.0775193j -2.18904e-13+0.0506767j -9.22337e-14+0.0213106j 4.42e-14-0.0102548j -8.2036e-14+0.0190934j -3.74208e-13+0.0867909j 6.82433e-15-0.00159686j 3.12008e-13-0.0723291j 1.54984e-13-0.0358624j -2.14021e-13+0.0495951j -8.47857e-13+0.196461j 1.92973e-13-0.0446969j -1.62542e-13+0.0376769j 6.01673e-13-0.139369j 2.87462e-13-0.0666275j 9.92182e-14-0.022914j 
-3.82752e-15-0.0204908j -1.8824e-15-0.0548384j 1.32866e-16-0.0211985j 9.58863e-17+0.0134519j 1.37176e-16-0.0591884j 1.17238e-15+0.245024j 2.08485e-16+0.1498j 1.13916e-16-0.347094j -2.10053e-16+0.0859851j -2.97231e-16-0.109502j -9.09196e-16-0.323329j -4.54583e-16-0.0502935j -5.24501e-17+0.0683578j -1.89101e-16-0.250456j 3.6619e-16-0.178489j 1.50975e-16-0.14535j -2.53587e-16-0.126391j 3.33202e-16+0.110802j -6.0496e-16-0.26137j -1.68235e-15+0.0236778j -7.39507e-16+0.0823476j -1.51018e-15+0.0497089j 2.18905e-17-0.0239013j -1.23416e-15-0.0296745j 1.04125e-15+0.146792j 1.58749e-15-0.0728869j -1.08419e-15+0.0025003j 3.95575e-16+0.0670679j 4.6988e-16+0.0102388j 2.34027e-16+0.0369355j -2.39331e-15+0.0131494j 7.80358e-16-0.140847j 3.9001e-16+0.101612j -8.68824e-16-0.0580169j -5.61477e-14+0.0809234j 3.52002e-16+0.0740957j -1.32968e-15+0.0707791j 2.99959e-16+0.00372095j -4.34646e-16+0.03587j 1.15872e-14-0.0337046j 1.78113e-14-0.0766688j -1.66327e-15-0.0775231j 1.49843e-16+0.0800273j -5.64402e-16-0.105795j -2.37488e-15+0.00468368j 6.59958e-17+0.0366879j 6.10931e-16+0.0197409j 2.06092e-15-0.145149j -8.70217e-16-0.0135718j -2.71513e-16-0.0196448j 1.64933e-17+0.087726j -9.27263e-18-0.0453154j -1.36162e-16-0.0768677j -2.72364e-14+0.233152j 1.49958e-15+0.00752047j 2.0437e-14-0.0285859j 1.54549e-16+0.0302311j 3.68704e-16+0.0524919j -4.20289e-16+0.00670487j -2.75008e-16-0.0374706j -6.76238e-16-0.0930575j -8.53228e-16-0.0696607j 6.38484e-17+0.0912061j 4.00582e-16+0.0935291j -1.13876e-16+0.00487749j -2.17862e-16-0.086202j -1.35656e-16-0.0224389j 1.03072e-16+0.114591j 9.54243e-17-0.0900077j 1.61585e-16-0.0606767j -1.65852e-15+0.0561987j 4.16503e-15+0.0883532j 
3.26869e-15+0.0601996j 1.2981e-15-0.0526215j 1.81672e-16+0.115259j -1.21408e-17+0.0716711j -1.33684e-16-0.0318629j -1.26613e-16-0.0998611j 3.51084e-16+0.184776j -1.88149e-16+0.151783j 2.08814e-16+0.16087j -6.06388e-17-0.0402982j -4.49566e-16-0.0898381j 5.92387e-16-0.177793j 5.04945e-16+0.20533j -1.67975e-16+0.00652318j -1.18699e-15-0.0520562j 1.11197e-15+0.0900635j 3.37312e-17+0.0218402j -1.89071e-15-0.0406469j -2.26239e-15-0.197302j 1.31362e-15-0.198131j 1.23771e-15-0.0214202j 3.84987e-15-0.0775132j 4.28368e-16+0.134673j -1.02958e-15-0.0542272j 4.69254e-16+0.0173189j 1.92674e-16+0.00839651j 4.02608e-16+0.0253337j 1.08523e-15+0.00525399j 1.84108e-15+0.0414739j 2.06793e-16-0.0723179j 1.2297e-16-0.0454993j 4.2333e-16-0.180954j -2.30091e-15-0.0452146j 5.08694e-16+0.0952503j -6.06808e-14+0.0872477j 5.67832e-18+0.0527957j 4.91002e-16-0.013261j 1.09877e-15-0.0483823j -1.0693e-15-0.00286668j 1.66665e-14-0.00405736j 2.60518e-14-0.128422j -2.42129e-15+0.0110996j -1.50177e-17+0.0343121j -1.02521e-15-0.0589302j -4.16493e-15-0.0191254j 3.23891e-17+0.00965877j 9.40629e-16-0.00128524j 1.6615e-15-0.117943j -3.90356e-15-0.0447583j -2.8791e-16+0.0131941j 2.01905e-16+0.0210668j 7.18309e-17-0.000681583j -4.43156e-17-0.00732952j -1.98566e-16+0.000914403j 2.08638e-16+0.00210306j 5.65747e-14-0.0799948j 2.57408e-17+0.0454174j 9.32927e-17-0.0024536j -2.65413e-16-0.0304609j -8.50343e-17-0.0168965j 9.77062e-17-0.00907324j 1.73682e-16+0.0302736j -5.97179e-17-0.0766531j -1.18695e-16-0.0335224j 3.71879e-17+0.0160538j -1.7601e-17+0.0126965j 3.27419e-16+0.161809j 1.90772e-16+0.087883j -6.73148e-17-0.00241454j -1.69255e-17+0.0258698j 5.19833e-15+0.110389j -1.16693e-14-0.133653j 
1.09737e-15+0.044939j 2.03787e-15-0.0375831j 1.52948e-15-0.0516938j 2.96259e-15-0.109615j -8.14315e-15+0.305777j -1.97429e-16+0.0216499j -9.4023e-15+0.33923j 1.59785e-15-0.0590431j 2.4733e-15-0.0853231j -2.76905e-15+0.104375j 1.75756e-15-0.0765383j 1.70488e-14-0.523691j -2.89044e-15+0.105412j 2.63218e-16-0.0241667j 3.82565e-16-0.0456611j -9.69507e-16+0.0722516j 3.49039e-15-0.127659j 3.82042e-15-0.293555j -2.3285e-15+0.0332669j -1.46668e-15+0.0259863j -1.39671e-15+0.0927824j 3.10389e-15-0.0480874j -2.84913e-15+0.112325j 9.28906e-16-0.0734224j 1.52461e-15-0.0652934j -6.79166e-15+0.137316j 3.24969e-15-0.0509696j 3.3728e-16-0.0314172j -1.89894e-15+0.0278984j -8.07785e-16+0.0794903j -2.88158e-15+0.0503132j -2.54688e-15+0.0520423j 1.21276e-15-0.106316j 1.39737e-16+0.0650271j 3.22123e-14-0.0436446j -7.13362e-16-0.00128615j -5.66648e-17-0.00289655j -2.20506e-16-0.000427423j -8.62158e-16+0.0287769j -1.41792e-14+0.0855011j -1.96343e-14+0.0370074j 3.06523e-15-0.0497034j 1.7987e-15-0.0350866j -1.53172e-15+0.0423261j -1.0895e-15-0.0192074j -6.07531e-16+0.0140059j 5.54803e-16-0.00966505j -6.13113e-16+0.0219007j -2.46254e-15-0.0329208j -3.74414e-16+0.0174398j 4.46518e-16-0.0414796j 4.05809e-16-0.0234337j -5.32674e-17-0.00111148j -9.38937e-15+0.0684411j -3.12857e-15+0.0504569j -4.6175e-14+0.0626854j -3.26538e-15+0.115807j 1.54727e-15-0.0658616j -1.82e-15+0.0724857j 7.21509e-16-0.029019j -2.69906e-15+0.109685j 1.81095e-15-0.0643218j 3.71827e-16-0.0160276j -1.91074e-16+0.0117009j 2.6093e-15-0.0913671j -1.3617e-15+0.0459017j 2.34828e-15-0.0907559j -9.11176e-16+0.0340038j -2.23397e-15+0.0696197j -2.62289e-15+0.0873391j -1.46918e-15+0.0479597j -5.0802e-16+0.0244861j 
-1.63453e-15-0.0347088j -6.86104e-16+0.0347326j 5.33875e-16-0.181319j -5.5754e-16+0.216632j -4.23027e-16-0.0473041j -5.82331e-16-0.158025j -3.82822e-16-0.0183078j -4.91082e-17+0.165132j 1.39628e-16-0.0120404j -1.61868e-16-0.0635529j 1.50791e-16+0.155638j 3.55079e-16+0.0147842j -2.56073e-16+0.136944j 5.5479e-16+0.094669j -6.65836e-16-0.235433j 1.75154e-15+0.0985772j -1.76264e-17+0.000889394j 2.7373e-15+0.159662j 1.39776e-15+0.0796946j 8.26298e-16+0.0718864j 1.39974e-16-0.189015j 5.84773e-15-0.147964j -1.99147e-16+0.0325852j -1.39465e-15-0.0924771j 5.46086e-16+0.0305241j 8.5445e-16-0.0210892j -4.85194e-16+0.0757216j 1.13473e-15+0.0939479j 1.83262e-15-0.0689906j -7.71691e-16-0.0591825j 1.14466e-15-0.0340409j 1.52528e-16-0.0195104j -7.68201e-16+0.00799178j -4.84567e-16+0.070754j -5.90269e-14+0.0831721j 6.30156e-16-0.0151252j -2.91996e-16+0.0203522j -7.16995e-16+0.0588113j 1.91387e-17+0.067067j 2.14315e-15+0.0467169j 4.00317e-15-0.0573016j -2.79033e-17-0.143499j 1.25029e-15-0.0617849j 3.73771e-16-0.0135863j 3.34149e-15+0.0251267j 3.2486e-16+0.00298658j 1.39038e-15-0.0270412j 6.69015e-16-0.0320873j -1.00777e-15-0.0104965j -2.56438e-16-0.0359108j 3.98018e-16+0.0621918j 1.60612e-16+0.0167444j 2.40669e-16+0.0302538j -7.45369e-16+0.00735069j -1.65796e-15+0.0389131j -1.29789e-14+0.0184941j -3.46876e-16+0.0922715j 2.39918e-17+0.0456458j -1.64095e-16+0.00339446j -8.55537e-17+0.0695734j 1.72839e-16+0.0577351j 3.88047e-16+0.0537488j -1.09829e-16+0.0173324j -1.01787e-16-0.0266152j 2.4723e-16-0.0232238j 3.09533e-17+0.00388636j 7.74279e-17+0.00481971j -7.04229e-18-0.00174293j -9.35486e-17+0.0192186j -1.35595e-16+0.0297383j -2.50764e-16+0.0379964j 2.55452e-16+0.0219784j 
