1.98601e-13-0.184264j 4.70482e-14-0.375516j 2.81866e-16-0.0446537j 2.06646e-15-0.220818j -1.96052e-15+0.269751j -4.13288e-16-0.103299j 1.21949e-15-0.180519j 3.13457e-16-0.0221474j -1.18108e-16+0.0515219j -7.14795e-16+0.0420863j -2.71842e-16+0.087134j -4.11578e-16+0.0462736j -1.69282e-16-0.00377475j 1.90004e-16-0.018168j -3.59184e-16+0.0553892j 6.6731e-16-0.00801381j -4.92607e-17-0.0183873j -1.04764e-15-0.00834724j -3.94252e-16-0.012316j -1.73171e-16+0.0300074j 1.64875e-16+0.0143526j -3.92559e-17+0.00302205j -1.98223e-16+0.0226293j -5.17413e-16-0.00734466j 5.34817e-16-0.0147514j -1.99998e-16+0.00958412j -1.08537e-16-0.0113567j 6.92044e-17+0.016852j -6.54047e-16+0.0266439j -4.77139e-17-0.00423019j -1.46561e-16-0.00377421j -3.73347e-15+0.0116298j 4.87921e-16-0.0270147j 1.20544e-16+0.00471563j -3.34397e-16+0.0302944j -7.06688e-16+0.02025j 5.62251e-16-0.0257476j 9.83724e-15-0.0227045j -1.09168e-14-0.000601288j 1.7465e-14-0.00865124j 7.03243e-16-0.0394789j -5.00852e-16+0.0112329j 5.06322e-17+0.00933029j 2.5338e-16-0.00870922j 4.3431e-17-0.0107444j 2.52451e-16-0.00943858j -4.28791e-16+0.00763228j -2.15028e-16-0.000679035j -2.60609e-16+0.012675j -4.74027e-16+0.0242915j -3.59542e-17-0.0128657j -7.34037e-16+0.00968535j 1.38684e-16-0.0113393j -4.65671e-16-0.00645781j -3.69187e-17+0.0249141j 3.75499e-16-0.0421997j 7.03673e-17+0.00139794j 9.41826e-17+0.00343987j -4.43353e-16+0.018914j -5.16175e-16+0.0181289j 1.2459e-16-0.0105395j -7.24385e-16+0.0273736j -1.44536e-16+0.0417207j 5.14523e-17+0.00650909j 3.18009e-16-0.0148305j -6.97706e-17+0.0339338j -3.39297e-16+0.0616002j 5.71797e-17-0.00478885j 1.74887e-16-0.0231107j -4.23339e-17-0.0113012j 1.38293e-17-0.0466783j 1.83901e-16-0.0717646j 3.37465e-16+0.011911j -5.00304e-16+0.0701977j -1.19014e-16-0.0143283j -4.12622e-14-0.0322114j 1.88249e-13-0.0883505j 
-2.47638e-13+0.374547j -5.35743e-14-0.182999j 1.71507e-15-0.229756j -4.63858e-16+0.0319416j -9.86766e-16+0.0987392j -5.21322e-16+0.320907j 8.02857e-16-0.028954j 1.1208e-17-0.0379796j -1.29704e-16+0.00483615j -6.0249e-16+0.0831971j -3.28379e-16-0.0599703j -3.65483e-16+0.0396032j -1.37539e-16+0.0434154j 6.11899e-17-0.0340525j -1.98091e-16+0.0047651j -3.61714e-16+0.00456301j 2.01576e-16+0.0265648j 5.58086e-15+0.0510756j 9.46634e-17-0.0121708j 2.9628e-17+0.0192229j 2.97192e-16-0.0115574j -1.46495e-17-0.0141544j 1.39851e-18+0.00719231j 1.26944e-15+0.0327153j -1.20666e-16+0.0104783j -2.12467e-16+0.015395j -5.37613e-17-0.0120223j -2.36582e-17+0.0017363j -3.95073e-16+0.0189284j -1.57846e-16+0.000481477j -8.21645e-16-0.0244741j 5.4896e-15-0.0215361j -4.22853e-16-0.00300749j -2.11821e-15-0.0237819j -4.07189e-18+0.00398477j 1.62396e-16-0.0122563j 1.95541e-17+0.00422098j -3.16012e-15+0.0275662j -1.86408e-15+0.0194416j 1.46464e-14-0.00671843j 2.05336e-16-0.0041544j -5.93515e-16+0.0173196j 2.87165e-17-0.0010526j -2.1467e-16-0.0199482j -2.3525e-16-0.0159212j -1.41935e-16+0.0150659j -6.22963e-16+0.0264798j -9.92953e-17+0.00585177j -3.15119e-17+0.00377224j 1.21312e-16-0.0106317j 2.62854e-16-0.0413352j 8.33848e-16-0.0124984j 8.55129e-17-0.00469838j -1.77593e-15-0.0184743j -2.39284e-16-0.0196914j 2.28943e-16-0.00743806j -4.71595e-18-0.0301027j 1.82783e-16-0.0323026j -5.29377e-17-0.00307047j -3.45443e-16+0.0223131j 1.4228e-17+0.0124699j -2.05971e-17+0.000405976j -1.48169e-16-0.006166j 1.20582e-16+0.0144945j 2.70061e-17-0.0531181j -1.10372e-16-0.0378914j -1.97458e-16+0.00704045j 5.91463e-17-0.0267893j 1.17539e-16-0.00935343j 1.98782e-17+0.0499961j 9.68988e-17+0.0271715j 4.77737e-16-0.0257129j 3.58519e-16-0.069134j -2.6564e-16+0.0140968j 3.78105e-17+0.0698958j 2.69675e-14-0.0887185j -1.19883e-13+0.0321943j 
-1.39907e-14+0.0231248j -3.19074e-15-0.0181226j -3.57148e-15+0.209241j 4.03561e-16-0.395791j -1.04717e-15-0.0439791j 1.4758e-16-0.0632272j -2.08382e-15-0.189402j 5.70672e-16+0.239192j 1.43636e-15+0.163832j 4.16767e-16-0.0151607j -8.28936e-16-0.129352j -1.13735e-15+0.0139354j 1.36172e-16+0.169354j 7.76279e-16+0.0188381j -2.87672e-16-0.127972j -2.74145e-15+0.0461255j -7.77379e-16-0.0566448j -7.69778e-15-0.0716501j 1.50549e-15+0.0832157j -3.51758e-16+0.0406428j 7.16036e-17-0.0544899j -5.15863e-16+0.00781383j -3.74372e-16+0.0158796j -1.29569e-15-0.0249825j 1.19382e-15-0.04394j -2.57679e-16-0.000100123j -1.10124e-15-0.0681639j 1.10183e-15+0.00601502j -7.42417e-17-0.0024368j 1.98695e-17+0.0390468j -4.39336e-16-0.0212684j 5.67412e-15-0.021141j -3.4674e-16+0.0052578j -1.70109e-16-0.00936523j 2.75897e-16-0.0269749j 5.88816e-16-0.0313816j -3.74575e-16+0.0169384j 7.91719e-16-0.018684j 1.09573e-14+0.00153687j -4.24277e-14+0.0314182j -5.25564e-16+0.0570834j -4.16279e-16+0.0122132j -3.73425e-16-0.0373603j -2.83858e-16+0.0021952j -2.21717e-16-0.0190409j -5.00813e-16+0.0370865j 2.15309e-16-0.0381254j -3.81427e-16-0.0328773j 1.91202e-16+0.0198062j -6.28962e-16+0.00154093j -1.05998e-16+0.0641857j -5.66403e-16+0.00815733j -2.76921e-17-0.016091j -1.92961e-15-0.024561j -4.3675e-17+0.0345375j 1.15652e-16-0.0205322j 1.6453e-16-0.0238673j 8.83e-17-0.0321368j 6.9141e-17-0.0322478j -2.09758e-16+0.0351101j 2.52744e-16-0.0138366j 1.46131e-16-0.00701628j -2.13957e-16-0.0561596j -5.65855e-16-0.0532194j 9.76063e-17+0.0315158j -1.06675e-16-0.0230503j -1.02119e-16+0.00950014j -2.10556e-16-0.0372645j 1.18066e-16+0.0668387j -2.1617e-16+0.00586407j 1.11319e-16+0.062429j 1.42816e-16-0.0464069j -5.25926e-17-0.0158704j 7.59634e-17-0.0163982j -1.011e-16-0.0106072j 1.83554e-14-0.0846246j -8.32283e-14+0.0173559j 
1.88368e-14-0.0219957j 4.16381e-15-0.0168521j 4.1038e-16+0.362571j 3.76221e-15+0.168572j 1.51325e-15+0.17291j 1.56498e-16-0.101734j 2.89604e-15+0.32194j -7.8832e-16+0.0503416j -1.10451e-15-0.0435225j -4.04021e-16-0.0878731j 1.04732e-15+0.0414633j 9.55969e-16+0.244464j -8.50992e-16+0.075347j -6.32605e-16-0.0807545j 8.42605e-16+0.0185538j -2.59274e-15+0.0522024j 1.30502e-15+0.0894314j 1.79143e-15+0.0144262j -4.44061e-16-0.0163284j -4.91734e-16-0.0425974j 2.16996e-16-0.0237858j 4.49102e-16+0.0879754j 1.80767e-16+0.0574601j 9.93233e-16+0.0155913j 1.52733e-16+0.00204495j 2.96922e-16+0.0487329j 5.04433e-16+0.0279237j 2.52245e-17+0.0183475j -4.50507e-16-0.0159649j -2.83938e-16-0.0222479j -1.02357e-16+0.00796021j 7.83092e-15-0.0297779j -5.71097e-16-0.0041217j -6.74709e-16-0.00875541j 1.2374e-16-0.0297163j 1.83527e-16-2.88842e-05j -4.74584e-18-0.0129298j 5.36666e-15+0.00197645j -9.65807e-15+0.0131812j 2.41315e-14-0.0119008j -2.84609e-16+0.00856229j -5.79457e-16+0.0161859j 2.68312e-16+0.0321436j -7.0015e-17+0.00020002j 1.14644e-16+0.0100549j -4.32505e-16+0.0291012j 1.11392e-16-0.0174518j 1.13843e-16-0.00517265j -6.25903e-17+0.0160151j -2.91242e-17+0.0345739j -4.94315e-16-0.00538604j 7.13734e-16-0.018804j -2.81583e-17-0.00962248j -8.61077e-16-0.00686182j -3.52698e-16-0.0161427j 1.00913e-16-0.00647875j -2.72449e-16-0.0420785j 2.01924e-16+0.0262439j -1.10445e-16+0.0315416j -5.70448e-16+0.00872563j 9.24164e-17-0.0349867j 2.00279e-16-0.0118483j 1.40375e-18-0.0225137j -1.18429e-16-0.0260091j -3.01129e-16-0.0162781j 2.03049e-16+0.00852724j 1.35756e-16+0.0255279j 2.2944e-16+0.0319665j 3.74083e-16+0.0677423j 4.47804e-16+0.0652129j -3.64476e-16-0.0150905j -3.08358e-16-0.0327338j 2.74948e-16+0.0507177j -6.58818e-17-0.0253036j 2.65651e-16+0.0240241j -4.21787e-14-0.023923j 1.90163e-13-0.0878011j 
4.40829e-14-0.0514052j 9.72039e-15-0.0354382j -8.32707e-17-0.029971j 1.74335e-16-0.0521474j -4.55818e-17+0.214145j -1.08827e-16+0.270133j 2.14502e-16+0.0426104j 8.44974e-17+0.275224j -6.234e-17+0.0126944j 1.64662e-16-0.0974825j 3.54983e-16+0.0756204j -2.25375e-16+0.0307121j -3.4976e-17+0.0814089j 5.55703e-16+0.090364j -1.55683e-16-0.0658179j 2.51461e-15-0.0633448j -3.07147e-16-0.107124j 2.08473e-14+0.194587j -3.43849e-15-0.218481j 1.29167e-15+0.0628049j 6.62177e-16+0.0459161j 2.37881e-16-0.0588813j 1.17988e-16-0.0323011j 4.77373e-15+0.109397j -2.8473e-15+0.117398j 5.47794e-16+0.0162814j -9.89177e-16+0.0166452j 4.73827e-16+0.0343898j -1.51672e-16-0.0369034j -7.65186e-16+0.0398234j -4.78634e-16-0.052006j -2.16497e-15+0.00944148j -3.21689e-16+0.0287448j 1.96297e-15+0.0189693j -4.9347e-16-0.000288285j -9.46482e-17-0.00152056j -1.04342e-16+0.00860237j 1.10032e-14-0.0694414j 2.53928e-15-0.0361692j -3.59515e-14+0.0207635j 6.17584e-16-0.0438205j -7.6845e-17+0.00589233j 1.9918e-16-0.0362947j -3.2605e-16-0.0232274j -2.57595e-16-0.0222855j 5.72557e-16-0.0317177j -6.17086e-16+0.0728337j -1.71707e-17+0.010928j 2.54504e-16-0.0209328j 7.03826e-16-0.032513j 2.2135e-16-0.0653517j 5.60992e-17+0.00466267j 1.06944e-16+0.00567349j 4.88834e-16+0.00389089j -9.5085e-17-0.00201612j -3.12036e-16+0.0451373j 9.62236e-17+0.0338052j -2.03003e-16+0.0249532j -2.6929e-18-0.0383164j -1.11584e-15+0.0944157j 1.97208e-16+0.024197j -4.16667e-16+0.0224977j -5.44219e-17+0.0262568j 7.46285e-16+0.0552402j -7.2713e-17-0.0288552j -8.37424e-17-0.0233729j 7.72152e-18+0.00175982j 5.873e-17-0.00796133j -2.78064e-16-0.0733637j -9.98228e-17-0.0390772j -4.16665e-17+0.0345895j 4.6695e-16-0.0663072j 6.05885e-16-0.0888198j 1.8478e-18+0.0784121j 1.28207e-16-0.0589744j 4.76591e-15-0.0394536j -2.07936e-14+0.000255142j 
-7.4415e-15+0.0285096j -1.04752e-15-0.0852527j 5.54517e-16-0.0417771j 2.76964e-16-0.0423192j 1.34601e-15-0.145836j -6.72843e-16+0.142508j -1.50122e-15+0.196146j 4.51141e-16-0.0948297j 7.88304e-16-0.175499j -8.14753e-16+0.0614611j -4.48295e-16+0.131801j -1.9895e-15+0.206761j 5.70005e-16-0.152947j -8.76868e-16+0.132965j -9.69857e-16-0.0714999j 1.67029e-14-0.295717j 2.81291e-16+0.21491j 3.26066e-15+0.0306724j -9.38379e-17-0.0230381j 1.11853e-15-0.0578273j 1.05419e-15-0.123736j 7.38205e-16-0.0677111j 6.65855e-16-0.0837344j -6.17771e-17-0.00421019j -5.77246e-18-0.00379531j 1.45827e-15-0.0966447j 1.21334e-16+0.0188108j -3.36593e-16-0.0370259j 1.90587e-15-0.100402j 1.54427e-15-0.100073j 3.62833e-16+0.046144j -4.25609e-16-0.00117493j 5.00867e-16-0.0452063j -1.46411e-15-0.0163881j 4.71797e-16-0.0298275j 9.9774e-16-0.0176413j -2.21783e-15+0.0817892j 2.03994e-14-0.0465119j -3.4805e-14-0.0340563j 8.41859e-14-0.061689j -9.65022e-16+0.0516831j 1.74367e-15-0.038413j -7.30732e-17+0.00193271j -1.72107e-16+0.000454204j -2.63712e-17+0.00964583j -1.87615e-16-0.00350979j -5.16638e-16+0.027981j 7.93043e-17+0.056192j -4.35613e-17-0.0292422j 8.33003e-16-0.0362652j 7.24116e-16-0.0118534j 4.1513e-15-0.0663235j -1.25291e-16-0.0247294j -3.86041e-16-0.0038714j 3.39707e-16-0.0431305j -3.98902e-16+0.0563712j -3.60654e-16+0.0263674j -8.27086e-17-0.0263316j -9.4082e-16+0.0629252j 4.16059e-16-0.0318908j -5.91442e-16+0.0367387j 1.67756e-15-0.0525288j 2.16171e-16-0.0545182j 1.74728e-16+0.0767006j 2.12374e-16-0.027985j 1.19436e-16-0.0395856j 1.8331e-17+0.0118708j -6.72576e-17+0.000751944j 4.80295e-17-0.00457782j -2.11992e-17+0.0110526j 4.00462e-16+0.000681156j -3.93592e-16+0.104615j 1.92825e-16-0.0673079j 7.48976e-17+0.0149325j -4.80369e-16+0.0803848j 3.22893e-14-0.0597752j -1.44366e-13+0.0488707j 
5.89593e-14-0.0770045j 1.29942e-14-0.0107473j -3.84921e-16+0.0862116j 2.79316e-16-0.0030382j -2.95348e-16-0.0306531j 2.31957e-17+0.0871496j 5.17494e-16-0.171049j -3.18968e-16-0.353553j -3.58412e-16-0.0105321j -3.94799e-17+0.0883462j 1.73582e-16+0.110949j 1.21852e-15-0.231636j 2.22442e-16-0.236178j -5.52772e-16-0.0885518j -1.36176e-16-0.106898j 1.67356e-15-0.0560826j -3.49428e-16-0.173696j 2.12919e-14+0.196484j -3.44598e-16-0.0704078j -2.13367e-16+0.0708998j 1.51212e-15-0.137817j -4.16791e-17+0.0761879j -4.33891e-16+0.0218508j 1.07505e-15+0.0330118j 2.51838e-15-0.0796403j -1.0896e-16-0.0630235j -1.46424e-15-0.0962567j 2.09978e-15+0.0365705j -3.70657e-17+0.0384948j -7.29266e-16+0.0447j -8.94271e-16-0.0606493j 1.03833e-14-0.0361682j -1.24205e-15+0.0562413j -2.05008e-16-0.00457454j -3.12327e-16+0.0186564j 4.11467e-16-0.0376275j 7.02977e-16-0.0290498j -4.40507e-15+0.0232256j -2.64244e-15+0.00335551j 1.97555e-14-0.0151721j 3.57874e-17+0.0255501j -2.86791e-16+0.00632513j 2.27778e-16-0.0120758j -8.21621e-17+0.00753418j -3.9429e-16+0.0223233j -1.07098e-15+0.0412273j -6.30373e-16+0.0296109j 5.61639e-17+0.0269848j 5.01854e-17+0.0152057j -1.87009e-16-0.0101075j 3.86463e-17+0.0330421j 1.67121e-15-0.0356258j -9.29214e-17-0.0465675j -2.65357e-15-0.0348757j -2.77565e-16+0.0152792j 8.27392e-17+0.00992944j 1.87766e-16-0.000415661j -2.86669e-17-0.0216682j -4.44531e-16+0.00508137j -1.10618e-15+0.0588576j -2.68288e-16+0.0438004j 1.75292e-15-0.0548974j -4.30156e-16+0.0041697j 8.89331e-17+0.004323j -1.14589e-16-0.0257877j -2.46242e-16-0.0528673j -7.45818e-17+0.0668575j -4.74288e-17+0.0677134j 6.58631e-18-0.00961818j 4.68956e-17+0.0112167j -3.02196e-16+0.0327877j 2.14609e-16-0.0503227j 3.38836e-16-0.0407864j -1.3816e-16+0.0241692j 1.1191e-16+0.0327221j -4.53815e-14-0.0455109j 2.03881e-13-0.0982025j 
5.23746e-15-0.016181j 1.46894e-15+0.0398808j -1.77641e-16-0.0259851j -9.82785e-17+0.0116346j -8.41872e-16-0.134481j -3.32061e-16-0.0143825j -1.44581e-15-0.229531j 9.11981e-16+0.112944j -3.12742e-15-0.297468j 6.49774e-16+0.127708j 1.07847e-15+0.155035j -1.92893e-15-0.324696j 1.70518e-15+0.192708j 1.89742e-15+0.189632j -4.7894e-16-0.040263j -8.60363e-16+0.0136778j 5.26261e-17+0.0142563j 8.42387e-15+0.0694748j -2.97886e-16-0.0205716j 9.81458e-17+0.0324474j 5.75912e-16+0.00477544j 8.04026e-16+0.0903793j 6.13325e-17+0.0257313j 3.21667e-15+0.0598828j 5.17308e-16-0.0510938j -7.87633e-17-0.0486092j 1.50353e-15+0.105508j -3.50328e-16+0.0360736j 7.07204e-16-0.0128737j -5.15544e-17-0.0314637j 8.67907e-16+0.0270357j 4.12576e-15-0.0153135j -4.23648e-16-0.0134731j 1.27778e-15+0.0212501j 2.4732e-16+0.0520308j -8.35752e-16+0.0228816j 1.20322e-15-0.0821523j -9.11892e-15+0.0800457j -7.85543e-15+0.0490489j 5.30795e-14-0.0290273j 1.13144e-16+0.0264284j -3.44457e-16+0.0156336j -1.81002e-16-0.0104478j 4.85323e-16+0.0204021j 2.57834e-16+0.0189796j -3.14985e-16+0.0130754j 9.15892e-17-0.015309j 1.73016e-16+0.0216066j 3.22917e-17+0.00107911j -2.13815e-16+0.015056j -1.99521e-16+0.0198078j -1.90981e-15+0.0339832j 2.73189e-16+0.0179494j -8.66699e-16-0.0106441j -1.24396e-16+0.00205023j -2.36224e-16-0.0689262j 7.15607e-17-0.03186j -1.25684e-16-0.0525591j 1.73564e-16+0.0139169j 5.7121e-16-0.0659282j -9.49516e-17+0.065841j 1.08474e-15-0.0455767j 2.40118e-16+0.0371933j -1.16534e-15-0.0645451j -1.91597e-16-0.02326j 2.41349e-16+0.053539j 2.91048e-16+0.0399916j 1.58247e-16+0.00826003j -4.40206e-16-0.0287784j -3.23766e-16-0.0388701j 1.02154e-17-0.00245876j 1.09721e-16+0.0504093j 1.17379e-19+0.0531744j 3.08105e-16+0.0252652j 3.75873e-16+0.0751048j -1.93586e-14+0.0661914j 8.86927e-14-0.0236574j 
2.69678e-14-0.000869632j 5.70412e-15-0.162172j 4.79761e-16-0.133046j -9.00486e-16+0.00272113j 2.80108e-16+0.123506j -4.18856e-16+0.0113151j -4.97916e-16-0.110774j -5.06852e-16-0.187694j -4.47162e-16-0.0591794j 2.26547e-16-0.280321j -3.34368e-16-0.00929405j -2.48896e-16+0.0316265j -2.8512e-16+0.00678012j -1.24156e-15-0.135136j -1.71449e-16+0.177829j 8.65022e-15-0.170841j 1.71623e-16+0.064185j -8.54491e-15-0.0794279j 9.95602e-17+0.0516159j 3.33414e-17-0.00784304j -1.17362e-15+0.065194j 2.00568e-16+0.101712j -1.96904e-16-0.0129925j -3.93461e-15-0.0900607j -2.21538e-15+0.107397j 4.08176e-16+0.173247j -3.92756e-16-0.0504161j 6.50517e-17-0.0610821j -7.32069e-16-0.0441519j -2.29001e-16+0.00181487j 4.1772e-16+0.0261456j -1.78445e-15+0.00842915j 2.27389e-16+0.00829644j -1.05913e-15-0.0187539j 1.83983e-16-0.0310341j 7.80946e-16-0.0398222j 5.25451e-16-0.0258844j -4.12148e-14+0.0341834j 6.00281e-14-0.0585513j -1.26907e-13+0.0596705j -2.32657e-16-0.0538292j -2.46367e-16-0.00010171j 3.466e-17+0.0376942j 8.46524e-17+0.0343348j 7.86461e-17-0.0269921j 2.09332e-16+0.018593j 8.89337e-16-0.0357473j -1.13352e-16-0.0215969j 3.3319e-16+0.0567518j -6.88538e-17-0.00462501j 7.40938e-17+0.0167788j 9.23769e-17+0.00458004j 2.02032e-17+0.0164926j 2.2305e-16+0.00598195j 1.33713e-16-0.0130159j -2.36723e-16+0.0111415j 1.21315e-16-0.0029936j -1.3431e-17+0.0631346j -5.33518e-16+0.0201182j -8.94184e-16+0.0305075j 1.94462e-16-0.0911222j -5.93527e-16+0.0207999j 7.77285e-17-0.00179136j -1.39595e-16+0.00315775j 8.39869e-18+0.0224016j -2.65085e-16-0.0636641j -3.93254e-16-0.0831873j 2.80781e-17+0.0909794j -8.02144e-17-0.0103358j 1.58311e-16+0.102007j -3.36571e-16-0.0381281j -2.2232e-16-0.039486j 1.44234e-16-0.0145599j -9.41788e-17-0.0417159j 1.50644e-16+0.0582511j -1.17407e-14-0.00542332j 5.26895e-14-0.0240187j 
-2.65328e-13+0.350626j -5.90855e-14+0.0363387j 1.43497e-15-0.150663j -1.30994e-15+0.217024j 1.95833e-16+0.0152548j 5.18899e-16+0.345109j 3.21937e-16+0.0941558j 1.03333e-16-0.0611899j 4.60667e-16+0.0642283j 2.73525e-16-0.0651588j 7.91109e-16+0.208103j 4.059e-17+0.0441006j -1.92304e-16-0.00913627j 8.9315e-16+0.153951j -4.54077e-16-0.113935j -5.04988e-15+0.0977309j 5.58254e-16+0.104294j 1.51349e-14+0.127281j 3.08587e-15+0.130787j -5.0798e-17+0.11522j -4.08973e-16+0.0546437j -2.81561e-17-0.0901555j -6.30377e-17+0.148201j 3.89357e-15+0.0723274j 2.87155e-15-0.115712j -5.08407e-16+0.0697355j 1.33823e-15+0.0356237j -1.07061e-15-0.0376175j 5.18494e-16+0.0363891j -2.08993e-16+0.0749128j 2.46968e-16-1.87655e-05j -7.37765e-16+0.00520737j 2.30928e-17+0.0238897j 1.09873e-14+0.122448j -9.06824e-16-0.0318214j -1.37717e-15+0.0618415j 6.70242e-16-0.070391j 4.04233e-14-0.0859436j -3.74109e-14+0.0264528j 4.53844e-14-0.00910172j -1.23124e-16+0.07775j -4.15808e-16+0.00158115j -3.98267e-16-0.0212292j 8.08479e-17+0.024239j -1.42395e-16-0.0645942j 6.13511e-16-0.0124407j 7.02292e-16-0.00828838j -1.22281e-15-0.070002j 6.58072e-16+0.0451518j 1.01323e-16+0.0355101j -7.50509e-17+0.0188809j 1.28595e-15-0.0326031j 1.31951e-16+0.00323541j -1.65817e-17+0.00262297j -2.56162e-17-0.0374857j -3.20843e-16+0.0330069j 1.68387e-16-0.0091391j -2.76107e-16+0.029639j -7.86123e-16+0.0105632j -1.1918e-15+0.0731432j 1.69912e-16+0.0187101j -1.62178e-16-0.00460723j -3.16346e-16-0.0620188j -3.62487e-16-0.0143848j -1.22069e-16-0.0180446j -1.5646e-17+0.0164276j 1.25199e-16+0.0263337j 2.23307e-18+0.0986956j 1.60762e-16+0.051037j 5.14827e-17+0.0355853j 1.61426e-16+0.0548425j 2.66561e-16+0.00725449j 1.82199e-16+0.004506j -8.10036e-17-0.0679638j -6.5142e-17+0.00677249j 7.1264e-15+0.0287532j -3.1563e-14+0.0201096j 
1.39099e-14+0.0712786j -1.93397e-16-0.404227j -1.51298e-15-0.177248j -1.57143e-15-0.239131j 2.11278e-15+0.268046j 6.97969e-19+0.057379j -1.67407e-15-0.243124j 3.25331e-16+0.0532766j 4.71956e-16+0.0600288j 6.18002e-18+0.0152504j -9.67481e-17-0.0486858j -5.87746e-16-0.213603j 5.32637e-16+0.00358922j 1.98591e-15+0.0953368j 2.22452e-16-0.0324895j -5.59048e-15+0.121217j -1.27209e-16-0.0289945j 1.29079e-14+0.116019j -2.94769e-15-0.117366j 1.62128e-15+0.184065j 1.76536e-15-0.062513j -2.64307e-16-0.0103477j -9.11013e-17+0.0914151j -2.26922e-15-0.0488267j 2.33585e-15-0.141768j -1.67948e-17+0.0312415j 3.21578e-15+0.0698967j -3.41632e-15-0.117734j 1.7213e-16-0.00677719j -4.97956e-16-0.125455j 4.45388e-16+0.0358465j -5.49203e-15+0.0178732j 3.20584e-17-0.066814j -1.80641e-15-0.0118325j 6.31878e-16+0.0725788j -9.9981e-16+0.0580124j 1.51079e-15-0.0889757j -4.3337e-14+0.0814055j 3.92506e-14-0.0443106j -4.51597e-14+0.00320031j -3.34389e-16+0.0544587j 1.54213e-15-0.0333658j -2.16157e-16-0.0641631j 1.88526e-15+0.0581567j 5.8232e-16+0.024852j -3.18064e-16-0.0230871j 2.30579e-16-0.0276039j 9.53237e-16+0.0470621j -9.47355e-16-0.0643183j -1.6398e-16+0.0300703j -1.11563e-16+0.0374507j -1.64174e-15+0.0247699j 9.10632e-16+0.0940883j -8.26291e-16-0.00623094j -2.16919e-16-0.035562j -7.33944e-17-0.0830683j -1.42794e-16-0.0323061j 8.29971e-17-0.0464362j 4.01368e-16-0.0217111j 5.54128e-16-0.0298819j 3.49533e-16+0.0139874j 8.17905e-16-0.0417906j -7.98181e-17-0.00413933j -1.09996e-15-0.0575299j -3.18537e-16-0.0374898j 7.50201e-16+0.103804j -5.77833e-17-0.0251242j 1.11597e-16-0.0264513j 7.40837e-17+0.00412568j 1.35977e-16+0.0109601j 3.53023e-16+0.0246074j 6.98109e-16+0.0626812j -2.57758e-16-0.00609429j 4.98663e-16+0.0287025j 8.03095e-16+0.0884677j 3.37343e-14-0.0522305j -1.53215e-13+0.0547738j 
