-0.0395155+0.0166927j 0.0127543+0.0154845j -0.0216215-0.0136264j 0.0200989+0.0510445j -0.0119688+0.0732258j 0.0678685-0.00683089j -0.033738+0.023605j 0.0322893+0.0208809j 0.0481464+0.020263j 0.047255-0.0590381j -0.090834+0.0411928j -0.01108+0.0615472j -0.0484165+0.0683096j 0.0759953+0.0121631j -0.0420863+0.0554389j 0.0187322+0.016357j 0.0501185+0.0154189j -0.0197369+0.0637088j -0.0222317+0.0252715j 0.0171194+0.0379937j 0.0790745+0.00971791j -0.00133221-0.00212531j -0.0297473-0.0765437j 0.0401997-0.00968687j 0.032305+0.0120008j -0.0868831+0.0162904j -0.0156091+0.0115531j 0.00288031-0.0622817j -0.0325226+0.0113042j 0.0113589+0.000403434j -0.0182268+0.071718j -0.0479973-0.00392627j 0.0724172-0.0226032j 0.0209306-0.0258972j 0.0104664+0.0110775j 0.00552183+0.0234958j 0.171105-0.0397269j -0.059882-0.0267497j 0.0263349+0.0263226j -0.0269144+0.0373211j 0.0747287+0.0467633j 0.0189934-0.0226347j 0.0381366+0.0332653j -0.0246024+0.056213j 0.032998-0.0475671j 0.170155+0.0882143j -0.0059777-0.0362077j 0.0648136-0.041242j 0.0668096+0.000803582j 0.0773978-0.078164j -0.0601288-0.0335693j 0.0102067+0.00483053j 
0.0658752+0.0326695j -0.0297097-0.0658217j 0.0905979+0.0444032j -0.012426-0.0427347j 0.0113837-0.0328855j 0.0597719-0.0606301j 0.0411702+0.0488044j -0.0434442-0.00914836j 0.0433011+0.0478416j 0.00363489+0.0989778j 0.0434135-0.00659602j -0.00620855-0.0451515j 0.0641077-0.023164j -0.048429-0.122982j -0.0334044-0.0317587j -0.0858308-0.00834627j 0.015171-0.036501j 0.0571276-0.00370591j -0.066788+0.089324j -0.00940477-0.0722531j 0.0611667+0.0236715j 0.0131003-0.1068j -0.169943-0.126519j 0.0509425-0.00761363j 0.0633781-0.109352j -0.0583557-0.0489565j 0.0193965-0.10213j 0.0602046+0.0874896j 0.0336997-0.0247061j -0.113364-0.0724382j 0.085226-0.199109j 0.0540947+0.0232061j 0.149449-0.0313132j -0.0026504-0.0690095j 0.096937+0.0407752j 0.0746566-0.028983j -0.0176154+0.105436j -0.0706439-0.00772077j 0.00806742+0.127187j 0.00371599+0.10883j 0.0576683-0.0194739j -0.0958118-0.0135063j 0.151143+0.101025j 0.0452284-0.167775j -0.0288753+0.0415716j -0.098045+0.0234908j -0.0480383-0.124301j -0.0921433-0.101795j -0.0657959+0.177193j -0.185346+0.182384j 0.0804691+0.0858689j -0.0109275+0.0231624j 
0.0269014+0.0442275j 0.0239747-0.00214056j 0.0256355-0.074631j -0.0155486+0.088638j -0.0688638+0.0148095j 0.16865-0.0224581j -0.00219945+0.0373164j 0.0312508-0.0670632j 0.107286-0.0731288j 0.0256221-0.114296j -0.216959-0.00390904j -0.0867792+0.0918188j -0.1387+0.172482j 0.0645484+0.0530971j -0.182597+0.224056j 0.00975287+0.0570932j 0.0494103+0.0287387j -0.0123189+0.0990632j -0.163831+0.0850727j 0.0667666+0.113072j 0.130018+0.00303629j 0.0432725+0.0922759j -0.0664477-0.128785j 0.119993-0.00131442j -0.00773867-0.139504j -0.0659924+0.0975162j -0.0691286-0.0822808j 0.044595-0.00477065j -0.0364933+0.0509614j -0.0759127-0.00230678j 0.0141617+0.022511j -0.0149758+0.0162201j 0.122218+0.12176j 0.0172531+0.0103959j -0.0129642+0.101458j 0.0534318+0.0679928j 0.103255-0.0305882j -0.0924851+0.00725517j 0.0115092-0.0485011j -0.041725+0.109408j 0.0336681-0.0334711j -0.0197738+0.025072j -0.00193158+0.0441169j -0.0146486+0.0239463j 0.0203635+0.000692168j 0.0523363+0.024796j -0.107721-0.0198372j 0.00687907-0.0342872j 0.0230291+0.0116826j 0.00821925-0.0122097j -0.00819191-0.00682571j 0.00467713+0.000868341j 
-0.0365519+0.040683j 0.0122445-0.0585737j 0.0481202+0.0751852j -0.155895-0.0687444j -0.0396914+0.0374573j 0.0492894-0.00939845j -0.110689+0.0448027j -0.0345474+0.0735616j 0.0364934+0.0872428j 0.046244-0.0106529j 0.0935171+0.0492468j 0.0227011+0.0164601j 0.0813276-0.0232433j 0.00124189+0.0359134j 0.0117256-0.00773526j -0.119474+0.201077j 0.0585345-0.00768697j 0.0610657-0.0130909j -0.00426537+0.0104486j -0.0107162-0.00574395j 0.0044621-0.0658889j 0.0125074-0.0201417j -0.0089689-0.116406j -0.0314924+0.0568122j 0.0774128-0.0160129j -0.0415976+0.0183381j -0.0804363+0.112577j -0.0637752-0.0157753j -0.0703921+0.0226819j 0.157161-0.0797444j 0.0270893-0.0877492j -0.0357351+0.0354839j 0.0937087-0.122688j -0.0885704-0.0938205j 0.0685887-0.0138687j -0.194288-0.0620719j 0.18151-0.00871774j -0.0289941-0.0359673j 0.0241618+0.108826j -0.0562395-0.0757677j 0.0636502+0.100963j -0.140192-0.0908203j 0.171026+0.152603j 0.112263-0.133423j -0.0193854-0.039364j -0.0526353-0.0691366j 0.0498654+0.161488j 0.0228365+0.189999j 0.0535066-0.02559j 0.0946811-0.06828j -0.0399249+0.015853j -0.00467236+0.0139044j 
-0.034508-0.0483953j -0.0109831-0.0361693j -0.0292308-0.0126622j 0.167075-0.031799j 0.0644001+0.0480383j -0.0901221+0.0548274j 0.00596022+0.00545734j 0.130575+0.119391j -0.0676095+0.0335139j 0.0849768+0.0523114j 0.0409912+0.0561545j 0.0290436+0.0966225j 0.0570269+0.0107803j 0.0118627-0.0952316j -0.00838374-0.123251j 0.0133685-0.102099j 0.00454945-0.0404382j 0.0424483-0.013904j 0.0908755+0.0791182j -0.0840926-0.102994j 0.0181147+0.0415409j 0.0497195-0.0630779j 0.00837033-0.0521817j -0.0616088-0.0331787j 0.0519343+0.11028j -0.0393671-0.0219552j 0.105041+0.0849516j 0.0647005+0.0418552j -0.107924+0.17838j -0.0405707+0.0467514j 0.0586095+0.055959j 0.0134331-0.0171644j 0.134134-0.135235j 0.0415572+0.0114526j 0.0346944-0.0412282j 0.0432811-0.0113643j 0.240278+0.0084979j -0.0715998-0.0585841j 0.11282-0.0492455j -0.0767585-0.118769j 0.00565102+0.0189869j 0.145924-0.0615213j 0.0719219+0.0283975j -0.107088+0.0507783j 0.0543777+0.022796j 0.151873+0.141142j 0.0171778-0.194395j 0.0351549-0.209067j 0.011981+0.078283j -0.0588805+0.0153925j -0.00408622-0.00766845j 0.0133399+0.00449786j 
-0.0531479+0.0194002j 0.00607339+0.0133853j 0.179651+0.0227733j -0.0105337-0.0966961j -0.0985004-0.0228682j 0.0476629+0.156083j 0.0337425+0.0560024j -0.0468451+0.0723987j -0.00455917-0.0101788j 0.0713334-0.141051j -0.00438713-0.124645j -0.0119936+0.0726345j -0.00247813+0.118054j -0.109466+0.0414362j 0.0575726+0.106662j -0.155875+0.106731j 0.030012+0.0323744j 0.0600322+0.080634j 0.082163+0.118801j 0.0932844+0.0969538j -0.193346-0.0841156j 0.201111+0.213871j 0.190369-0.00843943j 0.00287859+0.0205027j 0.109776-0.0519442j 0.0572645+0.195503j 0.0466245+0.00490572j 0.0450125+0.0313697j -0.0423217+0.0783423j 0.000390498+0.00841334j 0.0101921+0.0154398j 0.0249554-0.0102077j -0.0112776-0.120363j -0.0358032+0.033225j 0.0196885-0.110823j 0.0530458-0.0709133j 0.0350334-0.0303825j 0.0631732-0.0534512j 0.00627103-0.00425096j -0.0136311-0.171508j -0.02918-0.00207531j 0.0890181-0.0312217j 0.0157938-0.0182247j -0.0383522+0.012371j 0.00347272+0.0266068j -0.0277566-0.0112225j 0.0956649-0.0122442j -0.00367406-0.0326232j -0.0180756+0.00299082j -0.041868+0.0168811j 0.0199953+0.00632691j 0.00313307-0.000259586j 
0.0938903-0.0379723j 0.0457424-0.0779899j -0.0360923-0.0693657j 0.0156635-0.0306867j -0.00981414-0.0518142j -0.0977424+0.0646288j 0.0199607-0.0633217j 0.055386-0.0621427j -0.0591924-0.092925j -0.0331156+0.070057j -0.0515375+0.0839762j -0.109087+0.146653j 0.0789985+0.0225389j -0.0300162-0.00153254j -0.107285+0.0416651j -0.0123488+0.0897933j -0.0127983-0.00961125j 0.0204564-0.00528202j -7.87721e-06-0.0148977j -0.14647-0.052279j -0.0104287+0.0398648j 0.0309505+0.0686483j 0.017066+0.0425108j -0.0471786+0.0359864j -0.0242346-0.00675298j 0.0374644+0.0781259j -0.0263842-0.0419737j 0.0637028+0.176847j -0.135656+0.210983j -0.0658715+0.0121683j 0.0290623-0.0352212j 0.0940893+0.0376916j 0.0805212+0.0686374j 0.0512869+0.189846j -0.0833291+0.0369031j -0.120984+0.0218816j 0.019234-0.0325261j -0.047671+0.0260027j 0.0246642-0.123418j -0.121639-0.107558j -0.0809675-0.0889128j -0.0589221+0.0820367j -0.0965289+0.0465044j -0.0152839-0.0190507j -0.0110595+0.106332j -0.233704-0.188181j -0.0409447+0.0852021j -0.100496+0.0697888j -0.0461834-0.0140387j -0.103898+0.0994722j 0.0895182+0.0426604j 0.00236827+0.00730971j 
-0.00511986+0.0207921j -0.0173904+0.037481j 0.117579+0.0256999j 0.00822159-0.0328054j -0.0394712-0.0585304j 0.0498997+0.0116533j 0.0938535+0.0496427j -0.0977148+0.0280171j 0.0195449-0.0123256j -0.0220241-0.0383364j -0.00412919-0.122462j 0.0469521-0.0491704j -0.00530121+0.0114531j -0.0821091-0.0204519j 0.0745169+0.00862607j -0.0390932-0.0181413j -0.0271167+0.0346314j 0.0222312+0.0649727j -0.00608489+0.0392417j 0.0909885+0.0520558j -0.0914329-0.0309803j 0.0533687+0.0475738j 0.0607782+0.0501032j 0.0589998-0.0225218j 0.0548593-0.0759445j 0.0108896+0.0220681j 0.0497553-0.081011j 0.0423015+0.00520253j 0.0936843-0.08736j -0.0520717-0.00434117j 0.0131817-0.0518603j 0.0102735-0.00330233j -0.0732165-0.0114827j -0.0230595-0.0575204j 0.0373486-0.0340288j 0.126792-0.0248526j -0.151742+0.0316171j 0.0664093-0.00190991j -0.0254324+0.0205602j 0.0826598+0.033361j -0.0318432-0.0292715j 0.0496043-0.0138961j 0.0228136-0.0461392j -0.00807946-0.0302634j -0.0187496+0.00883351j -0.0259886+0.0380516j 0.0100778-0.0830488j -0.0189468-0.0835752j -0.0525413+0.0589978j -0.0823836+0.0674292j 0.0323363+0.019914j -0.00564544-0.00182137j 
-0.0176398+0.00363113j 0.0207019+0.00766498j -0.0216775-0.0193582j 0.0216422+0.0154419j 0.00685668+0.0124075j -0.0128497+0.0152587j -0.0103706-0.010444j 0.00189594+0.0184911j -0.00236163-0.0201003j 0.00787276-0.0361868j -0.0252257+0.00938961j -6.92583e-06+0.0134407j -0.0048695+0.0131668j 0.0143126+0.0296537j -0.0186245+0.0123555j 0.0256716-0.00178621j -0.0148884+0.00932771j -0.0167156+0.00952397j 0.0197367-0.0212283j 0.019065+0.00797183j 0.00688658-0.0112086j -0.00696109+0.0247929j 0.0314403+0.0151453j 0.00276195-0.00888368j 0.000233394+0.0226216j 0.000876262+0.00922095j 0.00729341+0.0141101j -0.00558904-0.00280245j 0.00309726-0.00507417j 0.0235985+0.0082044j -0.0305009+0.020609j 0.0108024+0.0189733j -0.0245408-0.0157879j 0.00210736-0.0220864j -0.0168381-0.00771409j -0.0134835+0.00480677j 0.0338619-0.00129247j 0.00877024-0.00496912j -0.00600234-0.0159793j -0.01105+0.0026252j -3.32836e-06+0.00986299j -0.00210544-0.00218837j -0.0260834-0.0115592j -0.0037201+0.0306162j -0.00340997-0.00367327j 0.0116607+0.0291121j 0.00780048+0.0235972j -0.00768975+0.0240005j 0.0139483-0.00546449j -0.01428-0.0194665j -0.0194214+0.0199433j 0.000365296+0.0254863j 
-0.0100677-0.0291124j -0.0168813+0.000608894j -0.0233683+0.026416j -0.0789712+0.0136902j -0.0421219+0.0239546j 0.0157139-0.0204298j 0.0138631+0.0383803j 0.0422493-0.0056266j -0.0222154+0.00817263j 0.0208688+0.0057832j -0.0067457-0.0132917j 0.0227784+0.0351191j -0.0242404-0.0206718j -0.00715406-0.000758171j 0.0308416-0.000145049j -0.00642943+0.00551661j 0.012257-0.000497129j -0.00140639-0.000165256j -0.0160345+0.00530405j -0.0172422+0.015048j 0.0442875+0.0185469j -0.00521425-0.0535603j -0.0284222-0.00580637j 0.00213561-0.0237396j -0.000193107+0.00682779j -0.0218744+0.0562075j 0.0470332+0.00740536j 0.0388553-0.100438j -0.075912-0.00205483j 0.00796231-0.000685774j -0.0272809-0.00130754j -0.0830204-0.0799555j 0.0372032+0.015072j 0.0117006+0.0303003j 0.00948656+0.00601288j 0.0121968+0.00335192j -0.0411999-0.011396j -0.00895082+0.00285761j 0.0157331-0.00949493j 0.0206117-0.0320839j 0.0457036+0.0330094j 0.00555044-0.0189345j 0.0121108-0.0100253j 0.0681159-0.0747885j 0.0749703+0.0780494j 0.0385977-0.0344069j 0.00226741-0.00893359j -0.0156059-0.0399835j -0.108879-0.0340634j 0.0445383-0.0467082j 0.112553-0.0516892j -0.0402768-0.163152j 
0.00953352+0.00263134j 0.000969282-0.00271087j 0.00463642+0.0105663j -0.00548716+0.00279419j -0.0150989-0.00488243j 0.0151016-0.00594828j 0.0126075+0.00459798j -0.011589+0.00216688j -0.0069097-0.00238083j 0.00102802-0.0256343j -0.00907442-0.00563642j 0.00197226+0.0172468j 0.0120325+0.00955754j 0.00759768-0.00292055j -0.0249232+0.00339043j -0.0156195+0.0125692j -0.00111195+0.00514208j 0.00155121+0.00326346j -0.0254832-0.0196477j -0.0191471-0.019173j 0.00850356-0.000153454j -0.0163933-0.0167375j 0.001028+0.008236j 0.0251573-0.00491945j 0.0108781+0.00997776j 0.0231556+0.00644497j -0.010847+0.0128576j 0.00670594-0.0036198j -0.00132427-0.00524275j 0.00366058-0.0146255j -0.0162354+0.0142216j -0.00393552-0.01733j 0.0151594+0.00279582j -0.00950755+0.0293508j 0.0182257-0.00782693j -0.00203867+0.00962799j -0.00922864+0.00453674j -0.00181964-0.0120058j -0.0204526-0.0223848j -0.00601293+0.00394599j -0.0242121-0.00901806j -0.00606709-0.0125856j -0.00267084-0.00523319j -0.0158748-0.00169546j 0.00673434-0.00514861j 0.0154065-0.0109134j 0.000656667+0.00707879j 0.0075216-0.00610846j -0.00319797-0.0108316j 0.00556036-0.00406004j 0.00477746-0.0114753j 0.00137629-0.00954744j 
