0.000758773-0.0203067j -0.0509374-0.0324575j -0.0749338-0.106733j 0.0287009-0.0570733j 0.0252847+0.0274206j -0.0705526-0.0688498j 0.0749835-0.040159j -0.0715337-0.0906954j -0.0744711-0.108295j 0.0424796+0.0577299j -0.0599151-0.108801j 0.0170708-0.00495343j -0.141059-0.0104292j -0.0549053+0.0533214j 0.0745509+0.0694513j -0.143628+0.00624914j 0.0946994+0.017583j 0.0778363+0.00214834j 0.030397-0.00696285j -0.07583+0.0213674j -0.0805634-0.0405939j -0.00269251-0.138169j -0.0141158+0.0195047j -0.00973722+0.0712467j 0.0530496-0.040838j 0.0448499-0.015608j 0.0462862+0.0242082j -0.0248408-0.109251j 0.0274535+0.00558013j 0.00734251+0.0246478j -0.0391308-0.0279652j 0.0266725-0.0168484j -0.0148297+0.056492j 0.106939-0.0058538j 0.0658034-0.00482105j 0.184194-0.160743j 0.0234145-0.0072176j -0.000564598-0.0239353j 0.0796483-0.0164868j -0.0493488+0.0174521j 0.0167653+0.029541j -0.0512806-0.00692793j -0.056863-0.00130503j -0.00980442-0.0818742j 0.0785139-0.0485224j 0.0504562-0.12752j 0.0466852-0.00241709j 0.13041+0.0236197j 0.00606633-0.041302j -0.0482409+0.0215176j 0.0357912+0.0427923j -0.0608769+0.0656094j 0.0464684+0.0219773j 0.00544504+0.153421j 0.0217149+0.0335758j 0.074853-0.176921j 0.00730653+0.135064j -0.0790335-0.0899494j 0.0255242-0.0741055j -0.0738078+0.0273871j -0.0533158-0.0515519j -0.0772548-0.08263j 0.0134753-0.10155j -0.103005-0.0366808j 0.0913418-0.00966751j -0.137761-0.0189726j 0.0638811-0.00931636j 0.00354973-0.0155357j 0.00064452+0.0416897j -0.035262-0.00393899j 0.0285543+0.0303754j 0.06814+0.048912j -0.0116572+0.0162528j -0.000266885-0.0344356j 0.0277106-0.0281926j -0.00150181-0.127522j 0.00857058+0.0281807j -0.130658+0.172004j -0.136176-0.0775374j -0.0559542+0.025529j 0.0395718-0.0863447j 0.0462067-0.0379849j 0.0094241-0.0352154j 0.0417023+0.0320281j 0.00268965+0.0322499j -0.00388472+0.00953432j -0.00763476-0.00297593j 0.0212002+0.0277581j 0.0298394-0.0214582j 0.0358108-0.0266381j -0.0211086-0.0287568j 0.0100477+0.00165513j 
0.0438815+0.015365j -0.0908978+0.00859881j 0.0278034-0.0138019j -0.0502912+0.112587j -0.0171985-0.012743j 0.0910062-0.0754548j -0.0113735+0.013928j -0.139235+0.0172437j 0.00850556-0.0750335j -0.0425122+0.0699143j -0.12019-0.0401568j -0.031636-0.00853272j -0.122215-0.0522014j -0.0771131+0.113041j -0.0877731+0.123679j -0.0578345+0.0341415j -0.115695+0.12208j 0.0938971-0.135984j -0.0868515-0.0536841j -0.0495095+0.0389151j -0.0563703-0.0191103j 0.0762154+0.110961j -0.0424621-0.0295458j -0.00933464+0.189803j -0.0343045-0.0617005j -0.0883566-0.128052j 0.0420802+0.00176673j 0.00136725-0.0131783j -0.0347771-0.0783317j -0.10568+0.0623366j -0.0563401+0.0172688j 0.0860943-0.023923j 0.0552383-0.00249218j -0.0656795-0.138883j 0.0633349-0.0045016j 0.0645332+0.0176609j 0.0323144-0.0999613j 0.0180408-0.0597804j 0.0649296+0.0488302j -0.0633431-0.0213394j -0.0976779-0.00886477j -0.115064-0.0241101j 0.0486534+0.0876049j 0.00817606-0.0658827j -0.0917623-0.0220037j 0.0469945+0.0116189j 0.0682008-0.0725675j 0.158278+0.136833j 0.0249854+0.00187935j 0.084025+0.0440369j 0.114867+0.0146596j -0.0297279+0.0442947j -0.0993747-0.0571451j 0.00636642-0.000919843j 0.0117474+0.198828j 0.0117672-0.000822204j 0.00432025+0.0723452j -0.0125738-0.0464925j 0.0856397-0.0337233j 0.0713714-0.0654907j 0.00702289+0.0144819j 0.0356938+0.0578039j 0.00207798+0.0809505j 0.0263548+0.0593225j -0.0452229-0.0136021j 0.125307+0.0468545j -0.0469711+0.0309976j 0.0169448+0.0334167j -0.00624558-0.0227595j -0.0150554-0.00302906j -0.0378056-0.0234771j -0.0527729-0.0120104j -0.0119773-0.00182237j -0.0109477+0.0248236j -0.0350387-0.0296549j 0.00100562+0.0911613j 0.0167494-0.0335388j 0.107377-0.0940823j 0.0803016+0.073428j 0.0445677-0.0370465j -0.0263961+0.0272574j -0.0333219+0.0471286j -0.0121034+0.00324477j -0.0346259+0.00256756j -0.014581-0.0193241j -0.00647583-0.00690741j 0.00340176+0.00216426j -0.00828048-0.00905837j -0.0143451-0.00222864j -0.00751519+0.0128681j 0.0172843+0.00508178j -0.00311654+0.00953593j 
-0.0389381+0.0147249j -0.0353293-0.00726802j 0.0381129+0.025594j -0.012379+0.00942427j -0.00265114-0.0146191j -0.0897405-0.0229135j -0.0482732-0.0162558j 0.0297849+0.0406261j -0.00767435-0.0558971j -0.0210496-0.0477393j 0.0206386+0.0509545j -0.0209686-0.0299878j -0.013145-0.0147299j -0.0153736+0.0289222j -0.00245395-0.0523607j 0.00328803+0.0278527j -0.0387319-0.00208634j -0.00632099-0.0195379j -0.043989-0.0375807j 0.000568782-0.0393287j 0.0625511+0.00181115j 0.00978842-0.0833418j 0.0267894+0.056569j -0.0105814+0.0407492j 0.131559-0.00404321j -0.0299953+0.0224406j 0.0553339+0.0965795j -0.0375606+0.0802431j 0.104123-0.0443043j -0.0250424+0.0786505j 0.00645228-0.10051j -0.00612572-0.0655296j -0.0182149+0.00147494j -0.0183635-0.0100166j -0.0507903+0.0267034j -0.0401924-0.0141157j -0.0316938-0.056287j -0.0542095+0.0448176j -0.00208943+0.0598173j 0.0469276-0.0741932j 0.0256134-0.00734655j -0.0354278-0.00059314j -0.0288713+0.0286366j 0.0125792+0.00981658j 0.0205034+0.0668769j -0.0446686+0.010817j -0.0210578-0.0381399j 0.0179724-0.028995j 0.029483-0.0302764j 0.100351+0.0372057j 0.00614887+0.0634146j -0.039475-0.0386345j 0.0350821-0.071373j -0.00595521-0.0468569j -0.031737-0.0357435j 0.0434749-0.0449994j 0.046783+0.0309676j 0.0531266+0.0739025j -0.00559421+0.0826564j -0.0723013+0.0129248j 0.0389621-0.0518724j -0.0575849-0.0925588j 0.0531681-0.11076j 0.106036-0.0445839j -0.0425278+0.0193396j -0.0492432+0.0883075j -0.0629826+0.0153849j 0.0476922-0.0227035j 0.103362+0.000730348j -0.0385399-0.0275529j -0.120917+0.132139j -0.0157456-0.056088j -0.095369+0.0932056j -0.00678295+0.0449462j -0.00856027-0.0444111j 0.0472352+0.111055j 0.0193329-0.0012309j -0.0026114-0.0954105j -0.00949497+0.0631549j 0.0461566+0.0493777j -0.031408+0.0466271j -0.00826286+0.0397187j -0.000750281-0.163401j -0.0205143+0.0211137j -0.18747-0.0276676j 0.17556-0.0441167j -0.0090022-0.0673659j 0.102555+0.0551547j 0.142639-0.166481j 0.174054-0.147376j -0.102413-0.108871j 0.0250334+0.0219961j 
-0.00765167+0.0264214j -0.050702+0.0376962j -0.0485066-0.0218245j -0.0800529-0.000728958j 0.0684+0.00258005j -0.00237612+0.0407183j 0.0192858-0.0183873j 0.00871984-0.0211006j -0.0170257-0.0477692j -0.0183344-0.0654828j 0.00929657-0.0487894j 0.0567446-0.0024882j 0.025487+0.018443j 0.00758308-0.0299956j -0.0311941-0.0266137j -0.03028+0.0713173j -0.00883135+0.0165789j -0.0303458-0.0416021j -0.0883839+0.0320599j -0.0346085+0.00514195j -0.0212531-0.05709j -0.070497+0.0626864j 0.0172756+0.0252736j 0.0437059+0.00336246j 0.133508-0.0190928j 0.0657352+0.0612298j -0.0510495-0.0888104j -0.0540768+0.0640816j 0.0236438-0.032575j -0.00121318+0.0041736j -0.0239385+0.00131273j 0.00413835-0.0284684j 0.0436281-0.0483782j 0.0466035-0.0264781j -0.100965+0.03715j 0.0247347+0.00696255j -0.0175106-0.00783084j -0.107188+0.0509209j 0.0331182+0.0382956j -0.034897+0.0693933j -0.029092-0.00732108j -0.0819988+0.00268567j 0.0267324-0.0763535j -0.0105668+0.04305j -0.0947955-0.112576j 0.0280514+0.0500358j -0.0234562+0.0335806j -0.0454498-0.0605151j -0.10345-0.0680176j -0.00984383-0.0957078j 0.0290023+0.0167737j -0.0226304+0.06459j -0.0976903-0.0681823j -0.0628876-0.0324649j 0.0260007+0.0731772j 0.0774222-0.00102119j -0.0668224+0.0993995j -0.0685254-0.0283028j -0.0239724-0.0790328j 0.0754329+0.025869j -0.0306937-0.0842718j 0.00289434+0.0602003j -0.0626336+0.063567j 0.121277-0.111177j -0.156887-0.0717889j -0.0255115+0.00324651j 0.0559189+0.00932584j -0.10967+0.019863j 0.0059958+0.0637665j 0.0805464+0.058454j 0.0382447-0.000744664j 0.047051+0.0170147j -0.152996-0.0452587j 0.0158058-0.000898381j 0.00279613+0.0907749j 0.041844-0.0278235j -0.102094+0.067859j -0.0444237-0.0450748j -0.114883-0.0308585j -0.0585173-0.0170386j 0.121583+0.0809264j -0.14299-0.0612204j 0.0495353+0.0375302j -0.0150463-0.0757879j -0.0730612-0.118954j 0.132822+0.0680155j 0.0666383+0.121093j 0.0216267-0.107274j 0.0287684+0.122651j -0.0550553-0.0457127j -0.0783932+0.0236268j -0.0126091-0.081299j 
0.0216922-0.0144394j 0.0669243-0.00345621j 0.0266962-0.0467146j 0.0260532+0.0129518j -0.0727234-0.0129061j 0.0187033+0.0094278j -0.00439013-0.0458388j 0.0057111+0.0492062j -0.0754149-0.0230587j 0.0815223+0.0896231j 0.0199291+0.0178981j 0.000165243-0.0962327j 0.0497809-0.0227603j -0.0666429-0.0211504j 0.0134664-0.0667914j 0.0162803-0.033757j -0.0325782+0.0765148j -0.0257386+0.00348959j -0.0378399-0.0127695j -0.0805974+0.0321213j -0.063007+0.0620419j 0.0369386-0.0947301j -0.000694886-0.0332576j 0.014834-0.00979354j 0.0317329-0.070363j -0.0476551-0.0730778j 0.047453+0.0223676j -0.00646582+0.0925511j 0.0730734-0.0727066j -0.201979+0.018706j -0.0224262-0.081015j -0.00594489-0.0641087j -0.00622286+0.0980304j -0.0139359+0.0586691j -0.164831+0.0354152j 0.00187684+0.0534464j -0.0372539+0.00906643j -0.112039+0.0863843j -0.0459393+0.00609564j -0.0333049+0.0345037j -0.0358733+0.0287253j -0.0735731+0.00124435j 0.0122949-0.0316667j -0.0317703+0.0733877j 0.0282724-0.0369128j -0.0672011-0.0364844j -0.031309-0.0166564j -0.0199307-0.0592976j -0.0346213+0.0851162j -0.117099+0.00096902j -0.112833+0.120087j -0.0931-0.0250881j 0.0294607+0.0658713j -0.0657501+0.0572493j 0.0494089+0.120348j 0.0264302+0.0747957j -0.0772793-0.0773965j -0.0379586+0.0494414j -0.0406905-0.00392064j -0.00852242-0.06336j -0.0281023+0.11473j 0.10063-0.081453j -0.0518184-0.0234979j -0.0728077+0.0516503j -0.0602341-0.0593074j -0.00204329+0.0385315j 0.0303854+0.0217885j -0.0206818-0.0502002j -0.0862443-0.122867j -0.0895716+0.041235j 0.101513+0.0311439j 0.0693725-0.0169293j -0.0546264+0.00665006j 0.0238533+0.119142j -0.010555-0.00484522j -0.0385061-0.117845j -0.0335295-0.00583147j 0.0237637-0.0153771j -0.0281639+0.0239571j 0.115609-0.0877819j -0.120836-0.0993764j 0.128645+0.0362949j 0.0220354-0.0259574j -0.000929948+0.0706992j -0.0702395+0.0425164j -0.0325156+0.113578j 0.109283+0.107318j 0.0026067-0.124847j -0.0659248-0.0576342j -0.0172763+0.0491963j 0.0552186-0.0102666j -0.00643688+0.048613j 
0.0175001+0.0278676j 0.0159046+0.0436461j 0.061966-0.0225156j 0.0606366-0.0115504j -0.0173307-0.00205478j -0.0280508+0.0629342j 0.0347436+0.0131815j -0.0812336-0.0273515j 0.142093+0.000895003j 0.0470498+0.00884923j 0.00135946-0.0133854j 0.137881-0.0535222j 0.12575+0.0384197j 0.0257475+0.0500312j 0.0723186+0.0585235j -0.0615325-0.0211915j -0.0243227+0.0336506j -0.0200714+0.000538852j -0.0763162-0.000333014j -0.0422618-0.005509j -0.0232659-0.00298121j -0.0433964-0.0250769j -0.0619541-0.0319556j 0.00278486+0.0199215j -0.0627576+0.0101953j 0.08076+0.0226393j -0.0389559+0.0848577j -0.0683218+0.0666014j -0.0322288+0.0607438j -0.0595263-0.0385528j -0.00936414-0.188005j 0.0230478-0.0375386j 0.0958515-0.0837282j 0.0214534-0.0526079j -0.121452+0.0992046j 0.0512825-0.0433293j 0.00235761-0.0656292j -0.0289651+0.0836803j 0.0370198+0.00465375j -0.0384404-0.0066882j 0.0102182-0.0337859j -0.0442553+0.0144348j 0.0605761-0.109158j -0.0229136+0.0619783j 0.0340181+0.0362125j -0.0590483-0.123514j 0.0191196-0.0262632j -7.6743e-05-0.0641276j -0.00454067+0.0502793j 0.00808877-0.0445965j 0.0308087+0.139342j 0.00414838-0.0055717j 0.0158427+0.0406612j -0.0347357-0.0670504j -0.0281784+0.14106j 0.030263-0.0408482j -0.0383757-0.0302077j 0.0262035+0.0504283j -0.111766+0.0525562j -0.0483688-0.0482714j -0.0455464+0.0225112j -0.014884+0.126216j 0.0819112+0.025903j 0.0124588+0.020041j 0.00700912+0.0301051j 0.0804122+0.0519307j 0.0213776+0.00349703j -0.0796939-0.0208274j 0.159084-0.0271669j 0.0775446+0.037153j 0.0123035-0.01956j 0.00100459+0.00526604j 0.0476238+0.00136562j -0.0308107-0.0506225j -0.0330608+0.039194j -0.0480129+0.0235989j -0.0893003-0.0330346j -0.0466243+0.05826j 0.0490759-0.0637504j 0.0463401-0.0914815j 0.0747355-0.00655645j -0.0246744-0.0457959j -0.0548382+0.109447j -0.00026382-0.136633j 0.172639+0.101042j -0.0104967-0.0624563j -0.0221345-0.213687j -0.0172433+0.196874j 0.0552429-0.0497828j 0.0410236+0.000285894j 0.00535018+0.00728666j 0.0114807-0.00400588j 
-0.0323177-0.0488366j -0.0349588+0.0343511j -0.0741443-0.117166j -0.181572+0.0654615j -0.00119151-0.0550011j 3.87533e-05-0.0215538j -0.0557812-0.030291j -0.0707268-0.0598431j -0.0192578-0.00363976j -0.0108544+0.0135317j 0.0241068-0.0666229j 0.0285211-0.0101965j 0.0448778+0.152299j -0.12609-0.150924j 0.0378725-0.0708771j 0.0862812+0.0421122j 0.0421236+0.100784j -0.126716-0.0165745j -0.00730662-0.0334894j -0.0393288-0.024164j -0.0232976+0.00903852j 0.000939373+0.0233497j -0.0733091-0.0563336j -0.0111964+0.0544118j 0.0266434+0.0221863j -0.0161098-0.0237222j 0.0808542-0.0735375j 0.0227384+0.0014167j -0.169673+0.0781564j 0.0322397+0.0334076j 0.0206252+0.0190641j -0.0495083+0.0374577j -0.0624501-0.011073j -0.0531334+0.100939j -0.0111891+0.0664402j 0.0690787+0.0177177j 0.104844-0.187815j -0.0931271-0.00528921j 0.025991+0.00350281j -0.0130926-0.0218741j 0.0830136+0.0147438j -0.0456214+0.0104284j -0.0878185+0.0499281j 0.0201007+0.100079j -0.0189712-0.0587868j -0.0675816-0.0725146j -0.146824+0.0587875j 0.0465573+0.04915j 0.0542832+0.00941533j 0.0174453+0.0216083j -0.00250016-0.0110358j 0.0183233+0.0172342j -0.0946579+0.0148954j -0.149454-0.0822095j -0.0151605-0.0550195j 0.0179301-0.0255582j -0.0736313-0.00794738j 0.0459312+0.0367844j -0.01588-0.0413461j -0.0241136-0.0196842j 0.0451578-0.060298j -0.0524979-0.0650485j 0.00218923-0.0317991j -0.0761929-0.0408776j 0.0321827-0.167464j -0.0220846-0.0598668j -0.11587-0.0780716j -0.0102786+0.0135978j -0.0357752-0.0513292j -0.0101822-0.0134327j -0.0520861-0.0205046j 0.173252-0.143637j 0.114564-0.0388349j -0.0505632-0.0666861j -0.053444-0.0529308j 0.00807665-0.103299j 0.0982466+0.0760304j 0.0512393-0.155549j -0.0103584+0.08358j -0.0250098+0.00433433j 0.00555716-0.0325815j -0.0373565-0.0402878j -0.0376454-0.00863252j 0.0119476-0.00829055j 0.0416049-0.000487185j -0.0257213-0.0840964j -0.00719328-0.0401336j -0.00246501+0.0666571j 0.0116879+0.0118028j 0.00606663-0.0151856j -0.00891577+0.00291331j 0.00325657-0.00660666j 
0.0230871-0.0280463j -0.0225864+0.0496268j 0.113255+0.0796808j 0.0562324-0.0937651j 0.00725499-0.0489374j -0.0077389-0.0146831j 0.0689193+0.00666071j -0.012207-0.0318158j -0.0698488+0.00786152j -0.029769-0.0383776j -0.097942-0.0120182j 0.108027-0.132357j 0.0227295+0.164903j -0.0853548+0.0512717j -0.0614335+0.061144j 0.015102-0.0433339j -0.025873+0.0322168j -0.113757+0.0469702j -0.020957-0.0219878j 0.101979-0.109555j -0.0147247-0.0587237j -0.00304137+0.0292399j 0.0707417+0.0636612j -0.0674899+0.124824j -0.0454522+0.00525245j -0.00724674-0.00220363j -0.0324061-0.0194705j -0.0520209+0.0539046j -0.0881517+0.0783009j 0.0389203+0.00752434j -0.0739321+0.0184923j 0.0244222+0.0102474j 0.0501552+0.0547413j -0.0420405+0.0907816j -0.0456627+0.0940736j 0.0889702+0.0390742j 0.0449735-0.0861192j -0.0588293+0.0225283j -0.00307305-0.0311571j 0.0155875+0.0206963j 0.159557+0.0329338j 0.0116005+0.0356644j 0.0102808+0.0741802j 0.0842386+0.163576j 0.0802586-0.0743666j -0.092799-0.0677149j -0.0709864-0.0320561j 0.0520846+0.0499994j 0.0156938-0.00379575j -0.00663735-0.00678554j 0.138796+0.0869983j 0.160082+0.0714735j 0.114493+0.0147248j -0.0247886-0.0503752j -0.137101+0.0274508j -0.116024-0.079702j -0.0435301-0.0827377j -0.0342405+0.0751293j 0.0288332+0.0189675j 0.0402845+0.00966927j 0.00141029+0.0388836j 0.0206001+0.00295104j 0.000567768-0.006756j 0.0243311+0.00845562j 0.0268202+0.163828j -0.0290042-0.00388626j 0.155733+0.025812j 0.0477933+0.0518672j -0.0522201+0.083846j 0.00299117-0.0476974j -0.0115122+0.018636j -0.0668571+0.0901363j -0.0560436+0.0149368j 0.0384924-0.00527947j 0.0688068-0.0280673j 0.0634275+0.109416j -0.000842605-0.0715593j -0.0151125+0.0920717j -0.00946851-0.020443j -0.0339436+0.0709922j -0.0580948+0.0516519j 0.0136073+0.0320805j 0.0478476-0.025931j -0.00582283+0.0624018j -0.068851-0.0344928j -0.0078466+0.0540265j -0.0457295+0.0874752j 0.000631648-0.111083j -0.0406883+0.0267762j -0.0356604+0.0136704j 0.0125421+0.00640358j -0.010448+0.00357441j 
-0.0704771-0.0431463j 0.0346451-0.0167166j 0.0282905-0.0530823j 0.0285378+0.070682j -0.0637012+0.0207433j -0.01343+0.0500462j 0.0368488-0.00530046j -0.0731509-0.0954808j -0.0444485+0.00969113j 0.0524226+0.108171j -0.00458952+0.0516824j -0.0956571+0.0480497j 0.0297233+0.00553588j -0.038955+0.0399338j 0.0208711-0.0594114j 0.0469719-0.0236298j -0.0137512+0.0892948j 0.0146419+0.0497826j 0.03989-0.0389666j -0.103153+0.0353483j 0.0410856+0.0516663j 0.0610542+0.00475203j -0.00729105+0.0906099j -0.102712+0.0104826j 0.0413875+0.0625749j -0.0224914+0.0880595j -0.0499357-0.0327252j 0.0775485+0.0110987j -0.170202+0.0292052j -0.013963+0.0139555j -0.0068628+0.0616162j -0.0274387+0.0728987j 0.0415411+0.00374888j -0.0434504-0.0649074j 0.0573185-0.0113073j -0.0292472-0.0121851j 0.0232425+0.0342892j 0.114546-0.0428928j 0.0638719-0.0340066j 0.0205996+0.0162082j 0.051819-0.0190801j 0.0340828-0.0198266j 0.0525538-0.0225782j -0.0351914-0.0135809j 0.0394105+0.00463393j 0.0320214+0.0484044j -0.0884428-0.06418j 0.0620079+0.0412102j 0.00566503-0.0386456j -0.0726032-0.0569231j -0.0708333-0.0704965j 0.00581935+0.0814381j -0.036613+0.013515j 0.0784833+0.0323563j -0.0475155+0.013743j -0.0193003-0.0115994j -0.0079597-0.104607j 0.0140166-0.0372026j 0.0338755+0.143147j -0.0432005-0.0119411j -0.140488+0.0947129j -0.0500446-0.0260049j 0.0121854-0.0135488j 0.00560534-0.11615j -0.0812998-0.0775488j 0.0423397-0.000742695j -0.0591848-0.0726416j -0.105322+0.0975988j 0.136689+0.113573j 0.0789951-0.0391967j -0.00382146+0.0384647j 0.0957091-0.0776644j -0.0928783+0.0015863j 0.0147875-0.198523j 0.0282138-0.0942612j -0.0247782+0.0102847j -0.184246-0.0972221j -0.0794001+0.0112437j -0.0567453-0.00776751j 0.101213-0.134217j -0.140287+0.0454476j -0.00770824+0.0508464j 0.0474465+0.0616354j -0.0475835-0.0484326j -0.0463337+0.0402423j 0.0592557+0.114467j -0.0581802+0.0553073j 0.0260457-0.0520494j 0.0033868-0.0823964j 0.0211658+0.00940321j 0.00662331-0.018177j 0.000384639+0.0189552j 
-0.0228067+0.0136893j -0.0618972-0.0128081j -0.0971457-0.0142216j -0.0671857+0.0355127j -0.0201862+0.0265088j 0.0747609-0.0542106j 0.0783173-0.0327034j 0.0713739+0.00656249j 0.0638136+0.0358742j 0.0596116+0.0396503j 0.0216455+0.0378948j -0.019164+0.10051j -0.000192589+0.0248242j 0.0397168+0.0331905j 0.0317986-0.00158334j 0.0151413-0.022411j -0.0243937-0.0751392j -0.0268954-0.0357876j 0.0168956-0.106464j 0.0173729-0.0422871j -0.0180041-0.0631759j 0.00995587+0.0777777j 0.0353447+0.0535104j 0.088063+0.0148608j 0.0303608-0.0688036j -0.0680214-0.0746474j -0.0364088+0.0295985j -0.0422125+0.135786j 0.0172875-0.00793576j -0.0239835+0.0445705j 0.136557-0.113133j -0.0111629-0.0363777j 0.0281516-0.00308557j 0.0165608-0.0610016j 0.0188303+0.0367861j 0.0216462-0.0631866j -0.0087361+0.0493172j 0.125592+0.0674649j 0.000940196+0.0745339j -0.00627087+0.00149806j -0.00129006+0.0527403j 0.13552+0.0419839j 0.0916218-0.142322j -0.081612-0.0554359j 0.0561383+0.0667977j 0.0567588+0.0686852j -0.0489509-0.0337703j 0.0539166-0.0556141j 0.0757225+0.0559941j 0.0351032-0.0112622j 0.0795523+0.215195j -0.0670644-0.125655j -0.0223383+0.0339102j -0.0353778+0.00433431j -0.0592515+0.0405868j -0.0563044-0.119128j -0.0694159+0.0109841j 0.0239136+0.0247767j -0.000169849-0.0427056j 0.0580919+0.14333j -0.0761467+0.105457j -0.0199965-0.0357396j -0.103719-0.00139499j 0.096387-0.0642169j -0.0169847+0.033045j -0.0852656-0.130453j -0.0384856-0.068381j -0.0433243+0.0233066j -0.0972735-0.00308776j -0.0111899-0.0499957j -0.127238+0.109071j 0.0455609-0.0723371j -0.0828358+0.0276456j -0.0482647-0.0718244j -0.0413337-0.0990862j 0.0410645-0.0288815j -0.0206623-0.0533535j 0.0321249-0.0585605j -0.0179617+0.0752238j -0.0786977+0.104947j 5.06595e-05-0.0545004j -0.0150923-0.0855605j 0.0593045+0.0235848j 0.041883+0.0785703j 0.0390817+0.00978804j -0.0944061-0.0730032j -0.0255301+0.0044823j -0.0308201-0.0160237j -0.0389338+0.0762278j -0.0642933+0.0243924j 0.0311697+0.0342818j -0.0263848-0.0122359j 
0.103029-0.0519089j 0.0313143+0.0479299j -0.00185825+0.0236613j 0.00483657-0.0327786j -0.0435985+0.0722089j -0.0940516-0.0678154j -0.0959157-0.0107895j -0.0233614+0.0264507j -0.0493643-0.0328737j -0.0791864-0.0402442j -0.00861625-0.0100552j -0.0236005-0.0698958j -0.0735734+0.0152787j -0.0861427-0.0232842j -0.0271941-0.00140556j 0.0282926-0.0163822j 0.044711+0.0214847j 7.45158e-05+0.0394943j 0.0593267+0.0205052j 0.0362102-0.039694j 0.017469+0.043708j 0.0536155+0.0625139j 0.0785476-0.0951543j -0.14105-0.00133629j 0.00335972+0.0251542j 0.0378223-0.0257537j 0.0189704-0.0950998j -0.100785+0.0433426j 0.0769667-0.0636958j 0.00193257+0.153594j -0.0285873+0.0181814j -0.0768318+0.12715j 0.053954-0.0193085j 0.00768058+0.0282459j 0.0683916+0.0668953j -0.0133742-0.0746647j 0.00236378+0.0165541j -0.199683-0.116284j -0.0143664-0.0248374j -0.0195118-0.0432243j 0.0305483-0.000612638j -0.00164819-0.02418j -0.0526394+0.0369601j 0.0337608+0.0190514j -0.140363-0.0386814j 0.090062+0.0266838j -0.0572231+0.0144887j -0.00468029+0.026254j -0.0360445-0.0793151j -0.107043+0.0161368j -0.0602309-0.0981242j 0.00342289+0.0433966j 0.00134449-0.0245808j 0.0192891+0.0384709j 0.030167+0.00175234j 0.0749249-0.00433819j 0.00815984-0.0747026j 0.0454248-0.057431j -0.0593346+0.0480332j 0.0109704+0.126731j -0.0607874+0.1491j -0.00164268+0.0303913j -0.0310387+0.0219535j 0.183795+0.0459287j 0.0517591+0.0607291j 0.00672496-0.0457995j 0.0431271-0.000287269j -0.087635-0.00615095j 0.0275596-0.0961584j 0.000651908+0.0292201j -0.0495706+0.105991j 0.0107705+0.00529666j -0.18588+0.0623642j -0.16279+0.0847682j -0.0939529-0.00143108j -0.00934146-0.00214152j -0.0975349-0.099462j -0.023258-0.0155058j 0.0415754-0.0201169j 0.0094262+0.044993j 0.0609808-0.0745395j 0.0447377-0.0926929j 0.0339913+0.0469589j 0.0512651+0.0248847j 0.0795078+0.0672323j -0.0663789-0.0569348j 0.0538271-0.0842942j -0.0328907+0.0763655j 0.0101212+0.00984678j -0.00568238+0.0250007j 0.0272692+0.0132815j -0.0157326-0.0022635j 
