-0.0316237+0.0226694j 0.0218282+0.0313563j -0.00150523+0.00500161j 1.57747e-05-0.00339403j -0.0154151+0.000172946j -0.00125788+0.0146169j -0.00056392-0.00500626j 0.0135161+0.0053435j -0.00727246+0.00848867j -0.0073976+0.00510099j 0.000184945-0.0103985j 0.00452158+0.0100403j -0.00338156-0.0002235j -0.0036096+0.00504164j -0.0103502-0.0105635j 0.0062082-0.0042179j 0.000512144+0.00347927j 0.00315377+0.0100477j -0.00185673+0.00117288j 0.00522051-0.009495j -0.00205899-0.00077158j 0.00692674+0.00135706j -0.00185025-0.000178729j -0.000196294-0.00347442j 0.00258334+0.00101421j 0.000244043+0.00255201j 0.000708484-0.00296717j -0.00419759+0.000645004j -0.00652329-0.00247221j 0.00574615+0.00105926j -0.000190999-0.00023339j -0.000815648-0.000543999j -0.00474574+0.00198039j -0.00211289+0.00183964j -0.0014296-0.000650178j -0.00154722+0.00254822j 0.00678084-0.00326942j 0.00195663-0.0103411j 0.00790338-0.00473545j 0.00471689-0.00163035j 0.00118645-0.00290439j 0.00321776-0.00384688j 0.00208746+0.00102512j -0.00734615-0.000770605j -0.00681411-9.98547e-05j -0.000573728-0.00498037j -0.00034407+0.0073421j 0.0025242-0.0045842j 0.00272037-0.00120609j 0.00126621+0.00080256j -0.000891486-0.0024711j -0.000256375-0.00760279j -0.000215816-0.00543573j 0.00329387-0.00454201j 0.000120637-0.00376129j 0.00188032-0.00346426j -0.00430093-0.00667452j -0.00051685-0.00261989j -0.00279963+0.00469249j 0.00752065-0.000622054j -0.00111405+0.00117099j 0.00182056-0.00024309j 0.00629733+0.00547541j 0.00267108+0.00637718j 0.00200982-0.00219497j 0.00589615-0.00211493j -0.00411038+0.000880995j -0.00168276-0.00290659j 0.00391259+0.00547927j -0.00588436-0.00567816j 0.00167173+0.00129265j 0.00694297-0.000859378j 0.00770713+0.0036187j -0.00356281+0.00120682j 0.00227911-0.000917815j 0.00167733-0.00642169j -0.0138522+0.00248392j 0.00138174+0.00605661j 0.0081522-0.00294134j -0.00341859-0.00857869j 0.00242355-0.00931491j -0.00349954-0.00856021j 0.00429593+0.00158113j 0.00900927+0.00577677j 0.00334628-0.00176249j 0.0075851-0.0153755j 0.00350321+0.00928992j 0.00726019+0.00370519j 0.0154721+0.00521735j 0.00718622-0.0185206j -0.0129146+0.00310456j 0.00764031-0.00687582j 0.0126851+0.0108906j -0.000192419-0.0141175j -0.00329691-0.00743018j -0.0288682+0.0377028j -0.0411113-0.0297018j 
0.0158956-0.00595582j -0.0061822-0.0173677j 0.00148731+0.00478083j 0.00911243-0.00135443j -0.0029201-0.00958564j -0.008581+0.000988265j 0.00310582+0.00107692j -0.00566349+0.00472913j 0.00405736-2.94463e-05j 0.00148779-0.00513858j -0.000780708+0.00157855j -0.0037726-0.000447934j 0.00432326+0.00270717j -0.00336764+0.00200744j -0.00287325+0.00251822j -0.00347683+0.00577989j -0.000202839-0.00117118j 0.000138324-0.00114327j -0.000815218-0.00507471j 0.00124547+0.00204125j -0.000431409+0.00617022j 0.00208775+0.00651537j 3.27735e-05-0.00063115j -0.00110658-0.00125532j 0.00139993+0.00249525j -0.00193247+0.00406197j 0.00338614-0.0010628j 0.00178801-0.00199127j -0.000825086-0.00162499j -0.000383267-0.0014152j -0.0020855+0.0025315j 0.00436322+0.0015782j -0.0014441-0.00161609j 6.66996e-05-7.3114e-05j -0.00282338-0.00325957j -0.000264264-4.50441e-05j -0.00184698+0.00252159j 0.000687064-0.000458551j 0.00128206+8.82729e-05j -0.00185296+0.000145556j -0.00104384-0.00622909j 0.000217864+8.42562e-05j 0.00296513+0.0024921j 0.00152999+0.00338902j -0.000874144+0.00334144j -0.00282371+0.000770316j 0.000284909-0.00160498j 0.00294029-0.00414602j 0.00349818+0.00167455j 0.00029335-0.00193004j 0.0055607-0.00575703j 0.00160651+0.00106818j -0.00197268+0.00256482j 0.00107205+0.000134743j 0.000114241+0.000461881j -0.00480423+0.00193019j 0.00337662+0.00411498j 0.00239958+0.00158204j -0.00251528-0.00627232j 0.000573173-0.0029525j 0.002821+0.00105116j -0.000937434-0.00402957j -0.00657479-0.007746j -0.00818517-0.00714511j 0.00212955+0.00323439j -0.00141263-0.00168242j -0.000419933-0.00212625j 0.0044087+7.65088e-05j -0.000216867-0.00226433j 0.000155463-0.000302442j -0.000598018+0.000286293j 0.00293212-0.000183317j -0.00416326+0.00246894j 0.00365253+0.00195051j 0.000205954+0.00424552j 0.000106256-0.000212312j 0.00337513+0.00154455j -0.00475522+0.00508091j -0.00644425-0.000939367j -0.00406167+0.0020953j -0.0105594+0.0057504j 0.00420604-0.00268232j 0.0100357+0.00354818j -0.00654546-0.0076605j 0.0023061-0.00841672j -0.000693625+0.0105539j 0.00376595-0.0083224j 0.00119322-0.00175394j -0.015169-0.00434094j -0.00456284+0.0119062j -0.00187292-0.00913959j 0.00926002+0.00552853j -0.00735336+0.0109112j 0.00877625-0.011894j -0.0065854+0.00369845j 0.00560372+0.0107025j -0.0118755+0.00413111j 
-0.0202492+0.0142573j 0.0146357+0.0205028j -0.000688537+0.00814603j 0.00456984-0.00441169j -0.00717027-0.00109375j -0.00132679+0.00701673j 0.00071927-0.00683411j 0.0123903+0.00826622j -0.0106978+0.00633268j -0.00959379+0.00173272j 0.000998995-0.00684221j 0.000611847+0.00986215j -0.000667665-0.000507489j -0.00473484+0.00689378j -0.00837361-0.00865043j 0.0065324-0.000584456j 0.000172999+0.00347889j 0.00233913+0.0076885j -0.0036236+0.000543051j 0.00572529-0.00699526j 0.000799474+0.000129952j 0.00550064+0.00254442j -0.00264212-0.00266397j 0.000292257-0.00334011j -0.00128214+0.0046531j -0.000228279+0.00223564j -0.000891442+0.00121931j -0.00328208+0.00123064j -0.00579824+0.000520609j 0.00384408-0.00206351j 0.000729159+0.00144534j -0.00286138+9.49518e-05j -0.00414364-0.000709101j -0.00168923+0.00344177j -0.00286175-0.000984524j -0.000833178+0.00104163j 0.00495384-0.000135933j 0.00261817-0.01006j 0.0057357-0.000369883j 0.00397714+0.000338283j -0.000526298-0.00343323j 0.00118812-0.00393714j 0.000901283+0.00130555j -0.00615247-0.000882155j -0.00149046-0.00296015j -0.00154035-0.00510666j -0.000431317+0.00582122j 0.00596675-0.00214873j 0.0041618-0.00210955j 0.000641533+0.00322733j -0.00285478-0.000861052j -0.000469608-0.00799228j 0.00247393-0.00485j 0.00191584-0.00262357j -0.00198329-0.0030298j 0.000708531-0.00577036j -0.00308416-0.00326955j -0.00252861+0.000666489j -0.00147734+0.000605107j 0.00346146-4.63082e-05j 0.000104766+0.000446211j 0.00511812+0.00120948j 0.00852374+0.00301459j 0.00206793+0.004878j 0.00104496-0.00175471j 0.00310783-0.00101117j 0.00107932-0.00124623j -0.003052-0.000489743j 0.00104655+0.00393461j -0.00374837-0.00424348j 0.00816041+0.00382159j 0.00621034+0.000925865j 0.00799312+0.00213981j 0.00155294+0.00281375j 0.00362575+0.000605523j 0.00148449-0.00425j -0.0114595-0.000295969j -0.000244503+0.00548179j 0.00315476-0.00146614j -0.00167573-0.00508281j 0.000147159-0.0060451j -0.00325398-0.00943708j 0.00261749-0.00347839j 0.00316491+0.000435746j 0.00411426+0.00331128j 0.00859021-0.0115578j 0.000825491+0.0116229j 0.00133853+0.00192397j 0.0112684+0.0096904j 0.00735834-0.00573732j -0.0127952+0.00514623j -0.000150665-0.00841011j 0.0122612+0.000165833j -0.00187824+0.00586623j 0.0218307-0.00700867j -0.0128458+0.0260416j -0.0237458-0.0135911j 
0.0426961-0.0205512j -0.0213004-0.0462934j 0.0114254-0.00517685j -0.00895401-0.00251457j 0.0155217+0.00493558j 0.00446055-0.0125188j -0.00430478+0.0130426j -0.0178665-0.0153242j 0.0096125-0.00850564j 0.00928474-0.011825j -0.00243999+0.015214j -0.000771508-0.0184564j 0.00878944-0.00238881j 0.00550795-0.0113028j 0.0163976+0.00286217j -0.00993326+0.00127657j 0.00120801-0.00977036j -0.00170218-0.0134793j 0.0063505+0.000974227j -0.00351758+0.0111226j 0.00358682-0.000995063j -0.0106419-0.00266383j 0.0065956+0.00553916j 0.000774287+0.00113139j -0.00193005-0.0138207j -0.00617979-0.0065077j 0.00140055+0.00287226j 0.00509239-0.0001545j 0.00681844+0.00336112j -0.00487194+0.00746431j -0.00503483-0.00180375j 0.00131926+0.00113095j 0.0101578-0.000824586j 0.00183495-0.00544721j 0.00766831-0.002054j -0.000137674-0.00396953j -0.0058045-0.00278404j -0.00876304+0.0141899j -0.0125992-0.00365873j -0.00276497-0.00248535j 0.0013135+0.00431106j 0.0019598+0.0059741j -0.00306612-0.00252387j 0.010493-0.00356267j 0.00144594+0.00527297j 0.000674671+0.00947276j -0.000257913-0.0133188j -0.0111679+0.00896178j -0.00765018+0.00127041j -0.00514148-0.00118779j 0.00873832+0.00546517j -0.00473818+0.0056116j -0.00581064+0.0125054j -0.00225209+0.0083493j 0.00704666+0.00568686j -0.000301872+0.00775307j 0.0016238+0.00205681j 0.00909517-0.00376119j 0.00583678+0.000504876j -0.0110599-0.00536929j 0.00675348-0.000562249j 0.00197311+0.00510275j -0.0147644-0.000392526j -0.00134229-0.00675869j 0.00489774+0.00871496j -0.00369657-0.00339093j -0.00189954+0.00875152j -0.00269155-0.00810802j -0.00598109-0.00679558j 0.0163285+0.00803641j -0.00932144+0.00275805j -0.00847739-0.00495033j -0.0056257-0.000958066j -0.000916329+0.00895265j -0.00241447+0.00834435j 0.00480769-0.00684332j 0.0122831-0.00125271j 0.00647599-0.0166374j -0.00293155-0.000903148j 0.000353373+0.00913948j -0.00172127+0.0126141j 0.0106331+0.0105595j 0.0156497-0.00540578j -0.005156+0.00173365j -0.00394958+0.000900771j -0.0103095+0.0172894j -0.00798654-0.00970372j -0.0125362+0.0029856j -0.0254464-0.0123601j -0.0113173+0.00991105j 0.00596764-0.00526974j -0.00870179+0.00221761j -0.0062269-0.00904075j 0.0184312+0.00854944j 0.0001536-0.0306097j 0.0230655-0.0483941j 0.0461938+0.0175148j 
-0.0247285+0.00493858j 0.00545844+0.0269945j 0.00542272-0.00715659j -0.00852475-0.00823463j 0.00828188+0.0203075j 0.0201171-0.0107127j -0.00891215-0.00590731j 0.00770899-0.00318766j -0.00540808-0.0059696j -0.00363893+0.00261899j 0.00223921-0.00126409j 0.00172312+0.00440871j -0.00540179-0.00507777j 0.00688267-0.000370057j 0.0134098+0.00148359j 0.00486857-0.00901842j -0.00042497+0.00150451j -0.00206019-0.00143475j -0.00125755+0.00430991j -0.00141366-0.00141925j -0.00288539-0.00877435j -0.00563441-0.00855695j -0.00143103+0.00276469j 0.00453109+0.00298403j -0.00259169-0.000276924j 0.00306709-0.00472767j -0.010132-1.49278e-05j -8.82067e-07-0.00101056j 0.00281436+0.00421958j -0.00190718+6.79851e-05j 0.00416477-0.00158171j -0.00334759-0.00461385j 0.00150149+0.000136193j -0.000358467+0.00334612j 0.00192184+0.00562853j 0.00158426+0.00248806j -0.000393062-0.00140454j 0.000428897+0.00178452j -0.00248131+0.00579763j 0.00133631+0.00235091j 0.000636701+0.00438488j 0.000146518-0.00156149j -0.00335601-0.00466712j 0.000914114-0.00314086j 0.00381181-0.00576058j 0.00685048-0.00573209j -0.00147135+0.00220028j -0.00763044+0.00674353j 0.000852436-0.00189251j 0.00331517+0.00271773j -0.0110252+0.00881753j -0.00119122+0.0010873j 0.00441058+0.000600041j 0.000113839+0.00571287j -0.00251946-0.00129529j 0.00797251+0.00121946j -0.00520397-0.000937094j -0.00446899+0.00245904j -0.000442122+0.0025864j -0.000498931+0.00122468j -0.00197533-0.00215827j 0.000151837+0.00566167j 0.00592712+0.00534503j 0.0105887+0.00626214j -0.0106051-0.00761405j 0.00462289+0.00574043j 0.00293194+0.00365335j 0.000940454+0.00707419j 0.000702796-0.00166623j 0.00534538-0.0012927j 0.00281987-0.00201304j -0.00638338-0.00349737j -0.00164127-0.0112601j -0.00464768-0.00466118j 0.000362525-0.0144641j -0.00601141+0.00489372j -0.00103656+0.00177256j 0.00802357-0.007639j 0.00689406+0.00514194j 0.00549328-0.00259976j -0.00360073-0.0118509j -0.00282271+0.0118689j -0.0203757+0.00609564j 0.00507281+0.00336725j -0.00127046+0.00653085j 0.00123222-0.00411465j 4.22897e-05-3.63708e-05j -0.0064727+0.00677037j 0.00968656+0.00388421j 0.00210578+0.00402357j 0.00680875+0.00606365j -0.0157745-0.0159327j 0.0170012-0.0170437j -0.0035746+0.0011003j -0.00352235+0.00965523j -0.00954205+0.00344011j 0.000780305-0.00616336j 
-0.0150867-0.00344896j -0.0053328+0.0142947j -0.00640045-0.00333418j -0.00146113+0.00761871j 0.00972339+0.0180072j 0.0191933-0.0110315j -0.00504786-0.00449941j 0.000567799+0.000833632j 0.00727093+0.00152232j -0.00181249-0.000262359j -7.42913e-06+0.000886415j 0.00104829+0.00221924j -0.00195712-0.00757355j 0.0073051-5.47102e-05j 0.00492214+0.0038631j 0.00163135-0.0131489j -0.0023744-0.0019683j -0.00123352-0.00249783j 0.00508256+0.00168528j -0.00956694-0.00538802j -0.00380784-0.0111293j -0.00209753-0.00763704j -0.00682339+0.00440099j -0.000702657+0.00665192j 0.00512404-0.0077213j 0.00333415-0.00406823j -0.0102903-0.00393604j 0.00222025+0.000551748j -0.00294007+0.00248551j 0.00506193-0.00104051j 0.00487992+0.00281216j -0.000296078-0.0065145j 0.00015027+0.00254179j 0.00142146+0.00254957j 0.0016542+0.00575025j -0.003951+0.00385029j 0.00212569-0.00212059j -0.00444509+0.00186508j -0.00113656+0.000562702j 0.00430276+0.0058525j -0.00467365+0.00428253j 0.0027245-4.52962e-05j -0.00121361+0.00199904j 0.000333632-0.00281454j -0.00466501-0.00461835j 0.003993-0.00872837j -0.00406654+0.00257959j -0.00333364+0.00901832j 0.00468351+0.00192119j -0.00181205-0.00344199j -0.00787684+0.00939468j 0.00156924+0.00396902j 0.00712362-0.00124416j -0.00229616-0.000191896j -0.00286596+0.00472585j 0.00938264+0.00210079j -0.00812269-0.000343742j 0.00103731-0.00376361j -0.00156774+0.00543005j -0.00169487-0.000400915j -0.00419209-0.00052938j 0.00672453+0.00212469j 0.00509793+0.00388604j 0.0144777+0.0132474j -0.0105634-0.00479429j -0.00571836+0.00394833j -0.00141088+0.00270517j 0.0026465+0.00439475j -0.00496714-0.00693535j 0.00121766-0.00801046j -0.000601614+0.00384905j -0.00173712+0.00175761j -0.00116923+0.00732654j -0.00483138-0.00575293j 0.00127552-0.0204178j -0.00314616+0.00918861j -0.000579578-0.000866185j 0.00474378-0.00319796j 0.00825122+0.00199849j 0.00825101-0.00309308j 0.00746862-0.00236575j -0.000466336+0.000287398j -0.0200924+0.00340493j 0.00132568+0.00921322j -0.000111883+0.000942311j -0.00927799-0.0112087j -0.00727463+0.00242885j 0.00497461-0.0188075j 0.00860873+0.000769501j -0.00305888-0.012522j 0.0102439+0.00198253j -0.0313404-0.0187599j 0.015931-0.0338508j -0.0101516+0.00286609j -0.0084967+0.000894546j -0.00788633-0.0124272j 0.00688093-0.0072706j 
0.015084-0.00529366j -0.00435953-0.0140756j 0.00929916+0.00365664j 0.00281495-0.013098j 0.0169384+0.0160909j 0.0156042-0.0179813j -0.00327878-0.00244004j -0.000336078+0.002488j -0.00602609-0.00493704j -0.00726823-0.00921426j -0.00140672+0.00961214j -0.0051528-0.000729366j 0.0059949-0.00493214j 0.00593904+0.00140654j 0.01312-6.68538e-05j 0.000538229-0.00244715j -0.00146258-0.00448064j -0.000829291-0.00575207j 0.0011496+0.00225394j -0.00467431+0.00309638j 0.000989763-0.00755575j -0.00511857-0.00275383j -0.00242822+0.000707989j 0.00144822+0.00168478j -0.00947642-0.00322026j -0.00239506-0.00213804j -0.00925915+0.00410265j 0.000277333+0.00108392j 0.00062121+0.0113195j -0.00450425-0.00146863j -0.000370911+0.00366945j -0.00647671-0.00419804j 0.00146184-0.00673384j 0.000147256+0.00660236j 0.00105176+0.000933028j -0.00239951+0.000172414j -0.00399002-0.000643245j -0.00747251+0.000716993j -0.00957272+0.00247171j -0.0027085+0.00358373j -0.00316544+0.00237737j 0.00264401-0.00160013j -0.00392074+0.00147467j 0.00427516-0.00712582j 0.00250123-0.0044851j 0.00670279+0.00090463j 0.00192099-0.00659725j -0.00285303+0.00929686j -0.00247132+0.00368172j -0.00328561+0.000964741j -0.00824871+0.0123521j -0.0064853+0.000139656j 0.00289021+0.00865166j 0.00305953+0.0066697j 0.00171334+0.0012219j 0.00444689-0.00134973j -0.00213279+0.00276619j 0.000684804+0.00374687j 0.00216445-0.00265055j -0.0106736-0.00198936j 0.00916663+0.000892717j 0.00468738+0.00620884j -0.000342543-0.00407097j 0.00584581-0.00118553j -0.00652277-0.00229895j 0.000249617-0.0023272j 0.00139169+0.0112881j 0.0023712+0.00170927j -0.00648541-0.00374246j 0.0126729-0.000479633j 0.0123183-0.000309596j -0.00764366-0.0050555j -0.00373002-0.00886233j 0.00172913+0.0019201j 0.00297308-0.00324398j 0.00122159+0.0049977j -0.0011517+0.00228135j -0.00118443-0.0105916j -0.0021532-0.00200143j 0.000381872+0.00311564j -0.00816728-0.00473444j 0.0017274+0.00825715j -0.00608797-0.00871771j -0.00166011-8.70427e-05j -0.00329124-0.000616854j 0.0024642+0.0042634j -0.00362682+0.000166944j -0.0106052+0.00348911j -0.0133252+0.00928392j -0.0104084+0.0143175j 0.0120668-0.0207612j -0.0261068-0.0197756j 0.0158086-0.0211834j 0.0130943+0.0200678j 0.0137988+0.000191506j 0.0010464-0.0176395j 0.0204241+0.00557868j 
0.0201171-0.0169367j -0.0158097-0.0229796j 0.0111272-0.0105735j -0.0177883-0.00941526j 0.00955609+0.016415j 0.0128071-0.00898862j -0.0123747+0.0106526j -0.011356-0.0178954j 0.00922939-0.0107953j 0.0140958-0.00464339j -0.00115199+0.011484j 0.00700692-0.0154409j 0.00500346-0.00817967j 0.0130481-0.0114356j 0.025665+0.0023275j -0.0114158-0.00238555j -0.00178391-0.00789773j -0.00570597-0.00978042j 0.011877+0.00725526j -0.00597314+0.00939555j -0.00294517-0.00588803j -0.0127326-0.00656555j 0.00493938+0.00948142j 0.000550183+0.0033338j 0.00144749-0.0154711j -0.00289004-0.0051784j 0.00470379+0.000319368j 0.00891547-0.00580268j 0.00134043+0.00544534j -0.00656053+0.00430962j 0.00034635-0.00859951j 0.00164481-0.00519247j 0.0152801-0.00354971j -0.00409175-0.00462266j 0.00988197+0.00352317j -0.00133387-0.00417053j -0.00361826-0.00562503j -0.00893459+0.0134495j -0.0127812-0.00246603j -0.00314958+0.00197814j 0.00150166+0.0105178j 0.00199667+0.00862924j -0.0057868-0.00298698j 0.0112206-0.0025867j -0.00522642+0.00366598j 0.00523207+0.0113304j -0.000467951-0.0120806j -0.0179402+0.0101686j -0.0085844+0.00262953j 0.000448861+0.00113423j 0.00944588+0.00950297j -0.00695952+0.0149576j -0.00458588+0.0122451j -0.00084489+0.013094j 0.00904259+0.00572209j 0.0049121+0.0145802j -0.00229522+0.00648599j 0.00595309+0.00126844j 0.0019735-0.00317871j -0.0108324-0.00781035j 0.00583554+0.00541308j -0.00197109+0.00394466j -0.0144916-0.00906869j 0.00348098-0.00331381j -0.00202762+0.00463836j -0.000586627+0.000486666j -0.00838451+0.0138556j 0.00286775+0.00308564j -0.00626304-0.00822965j 0.0187018+0.00945458j -0.00879676+0.00350652j -0.0134334-0.00774123j -0.00826549-0.00852973j -0.00366026+0.00771951j -0.00376462+0.0028659j -0.0059546-0.00156062j 0.0109104+0.00474233j 0.0152273-0.0127386j -0.00061607-0.000665482j -0.000281592+0.00163701j -0.00843591+0.00173537j 0.00778616+0.0175277j 0.00805349+0.00894256j 0.00356451-0.00161667j -0.00116934+0.00382195j -0.00812745+0.0125848j -0.00626898-0.00671687j -0.00915895+0.00272216j -0.00656454-0.00567443j -0.0139344+0.00110019j -0.00712984-0.0210971j -0.0144117-0.00355912j 0.00809834-0.01042j 0.0146117-0.021118j -0.0059379+0.00058895j 0.00573725-0.0332251j 0.0371661+0.00508261j 
-0.0388591+0.0170665j 0.0173782+0.0396938j -0.0143145+0.00451135j 0.000481239+0.00934886j -0.00997859+0.000468j 0.000784299+0.0115408j 0.00011772-0.00729927j 0.0147267+0.00727228j -0.0122889+0.0113427j -0.00506047+0.00579096j 0.00273614-0.0157926j 0.00465886+0.00954185j -0.00588494-0.00273926j -0.00598816+0.00718328j -0.0140826-0.00397608j 0.00864565-0.00559616j 0.00053786+0.00782835j -6.94899e-05+0.00884789j -0.00630508+0.000448628j 0.00246369-0.0118938j 0.0010229-0.00383885j 0.00568965+0.000855414j -0.00610439-0.000917732j 0.00366629-0.00362799j 0.00639096+0.00258202j 0.00488623+0.000550888j -0.00726892+0.000905534j -0.00297539+0.00462048j -0.00532587-0.00569859j 0.00959463-0.0037782j 0.00596005+0.00306871j 0.000848589+0.00146666j -0.00614728+0.00311306j -0.00204083+0.00189532j -0.00634197+0.000397723j 0.00295303+0.00477013j 0.00745618-0.000425353j 0.00607053-0.0135036j 0.0115703-0.00238461j 0.0113481-0.00236714j 0.00238331-0.00487291j -5.10982e-05-0.00483847j 0.00177069-0.00165345j -0.01307+0.000825076j 0.000939484-0.00351348j 0.000786913-0.0122762j -0.00498287+0.0151632j 0.00140652-0.00413887j 0.0082691-0.00682578j 0.00400259+0.00534715j -0.0100683-0.00597642j 0.00120791-0.00908656j 0.00319153-0.0118151j 0.00336061-0.00296545j -0.00946675-0.00334628j -0.000553831-0.0081362j -0.0034788-0.00693178j -0.00169689-0.00399558j -0.00485632+0.00551393j 0.0143154-0.000824866j -0.00964609-0.00395177j 0.00167387-0.00145671j 0.0150228+0.01829j 0.00513201+0.0146114j -0.00219124-0.00894753j 0.00412657+0.00224878j 0.00235143-0.00985925j -0.00639416+0.00192657j 0.00565262+0.00177121j -0.0113952-0.010054j 0.00364759+0.00179597j 0.00380673-0.00441767j 0.0137078+0.000572941j -0.00373028-0.00389302j -0.000858239-0.010114j -0.00597433-0.00025011j -0.00758521+0.00172612j 0.00391356+0.0102151j 0.0118517+0.00337809j 0.00508977-0.0063597j 0.000570113-0.0107778j -0.00964899-0.00572321j -0.0116918+0.00599269j 0.00819565+0.00466291j 0.00432025+0.00858431j 0.0112286-0.0143271j 0.00906117+0.00705962j -0.00122942+0.0121123j 0.0155335+0.00570034j 0.0106105-0.00831877j -0.0196041+0.023112j 0.00818891+0.00172012j 0.0074207+0.00795381j -0.00955886-0.00496476j 0.00314469-0.00177988j -0.0187964+0.0403871j -0.038866-0.0182273j 
0.0160249-0.00800557j -0.00694114-0.0178721j -0.00713073+0.00787016j 0.00686314+0.0171906j 0.00989112-0.0187619j -0.0146042-0.00264594j 0.0192108+0.0015505j -0.00780719-0.00204717j 0.0143735+0.00418468j -0.000796059-0.00544036j 0.0023812+0.0138784j -0.00291516-0.00193887j 0.0064926+0.0113345j -0.00942312-0.00746491j -0.0112903+0.0121824j 0.00207632+0.0040506j 0.00165864-0.00213372j 0.00944587-0.00850892j -0.00124346-0.017583j -0.00020361+0.00229901j 0.00318829+0.00937332j 0.00482833+0.00450114j -0.00348395-0.00753918j -0.00176137-0.0015466j 2.78838e-05+0.0116859j -0.00399641+0.00231233j -0.0067711-0.00302575j -0.000612769+0.00693226j 0.00752375-0.000912258j -0.000926225-0.00470683j -0.00622839+0.00924431j -0.00302299+0.00775629j -0.00342093+0.00209074j 0.008117+0.00192708j -0.00535232-0.00817498j 0.0021701+0.00272995j -0.00337603+0.00397332j 0.00144444+0.00477991j 0.00284195+0.00720551j -7.07602e-05+0.00145517j -0.00388963-0.00543222j -0.00699952-0.00469385j 0.0064831+0.00159037j -0.00630822+0.00299505j 0.00612592+0.000597921j -0.00653806+0.000880985j 0.00501941+0.000435156j 0.00627749-0.00339363j 0.00157803+0.00371544j 0.00639538+0.00362139j 0.000689992+0.00110086j -5.33794e-05-0.00235038j -0.000253768-0.00282102j 0.0057377-0.00829606j -0.00931541+0.00166282j -0.00802552-0.011002j 0.0053666+0.00302169j 0.00397099-0.00408689j -0.00903861+0.000107137j -0.00181953+0.00478716j 0.0043312-0.00585454j -0.00693637-0.0103748j -0.00349459-0.0059028j -0.00270641-0.00889958j 0.00610954-0.00423735j -0.00841731-0.000613703j 0.0140183-0.0153259j 0.0027453+0.00838848j 0.00394146+0.0029815j -0.0124448+0.00480132j -0.0111411-0.00668104j 0.00390397+0.00111919j -0.00267783-0.00775699j 0.0123146-0.00225162j 0.00409525+2.0997e-05j 0.00261068+0.0075221j -0.0025375-0.00745089j -0.0098425+0.016188j -0.0128163-0.00280384j 0.005723+0.00684026j 0.00719779+0.0066106j -0.00446014+1.63771e-05j -0.00869416-0.0115598j -0.00594665-0.000876825j -0.00164693-0.0043081j 0.000310065-0.0047038j 0.00924894-0.0131266j 0.0163907+0.00183882j 2.34086e-05-0.0024635j -0.0126925-0.0075857j 0.0123009+0.00513514j 0.0160483+0.0236221j -0.0228023+0.00885278j -0.0203129+0.0178157j 0.0161455+0.0154095j 0.0146868-0.0211597j 0.0250963+0.012481j 
0.0664844-0.0264389j -0.0259564-0.066703j 0.0109945-0.00756369j -0.0129692-0.00732563j 0.0199597+0.0141116j 0.00936672-0.0173611j -0.00440994+0.020844j -0.0222951-0.0145401j 0.0116326-0.0123232j 0.0186021-0.00829111j -0.00294818+0.0204986j 0.000165036-0.0313073j 0.00615702-0.0105443j 0.0230977-0.0166683j 0.0319658+0.00948275j -0.0164376+0.00574469j 0.00281154-0.0112266j -0.00964227-0.0144244j 0.0150651+0.00878575j -0.0131974+0.0163683j 0.00355368-0.0121964j -0.01057-0.00516222j 0.00577258+0.00913539j -0.00398806+0.00522114j -0.00976202-0.0269545j -0.00446014-0.00472996j 0.00608853+0.00243178j 0.0121828-0.00281139j 0.00738497+0.00810996j -0.0123164+0.00976489j -0.00211274-0.00580317j 0.00399091-0.00292938j 0.0215195-0.00442512j -0.00251618-0.0128328j 0.0148512+0.00387694j -0.00337274-0.00905247j -0.0100124-0.00394942j -0.018218+0.0205885j -0.0279826-0.00897641j -0.0120362+0.00140331j 0.00309659+0.0158672j 0.00278213+0.0109838j -0.00292953+0.000678749j 0.0172589-0.00817066j -0.00118778+0.00660405j 0.00960119+0.0252605j 0.00307726-0.0300139j -0.0173786+0.00791982j -0.0152609+0.00914545j -0.00586501-0.0123285j 0.0115375+0.0127666j -0.0162829+0.0165443j -0.00461332+0.0239263j 1.81153e-05+0.0119591j 0.0138094+0.00584447j -0.000900551+0.0138573j -0.00119015+0.00476159j 0.0115686+0.000110378j 0.00825881-0.00024426j -0.0138354-0.00114199j 0.00579268+0.00184272j -0.00144675+0.0104848j -0.0288357-0.00254735j -0.00486849-0.0114898j -0.00108113+0.0115373j -0.00869218-0.00799028j -0.0137631+0.0228059j -0.00160612-0.0117736j -0.0105102-0.00531773j 0.0213502+0.0118474j -0.00885345+0.00456238j -0.0182593-0.00271113j -0.0134059-0.00346437j -0.00988734+0.0045435j -0.00253734+0.00659771j 0.0173694-0.00783307j 0.0161567+0.00842789j 0.00722431-0.0239457j -0.0132528+0.00217567j -0.0136402+0.00970159j -0.00502813+0.0171403j 0.0157451+0.0287871j 0.0162201+0.000503442j -0.00617491-0.00776618j -0.0223779-0.0105745j -0.00758561+0.0270088j -0.0136668-0.019403j -0.0242073+0.00590521j -0.0143283-0.013236j -0.0239519-0.00323154j 0.0233085-0.027289j -0.0140593+0.00888011j -0.015012-0.007657j 0.0118849-0.00149375j -0.0256081-0.00665292j 0.0189463-0.0760313j 0.0707869+0.0216831j 
