0.00443582-0.000497159j -0.00490887+0.000888629j 0.00956568-0.00124091j -0.00408206-0.00774383j -0.00726447-0.0120674j -0.000540443-0.000861935j 0.00807988+0.0119687j 0.0214313+0.0261829j 0.00378781+0.0105823j 0.000420928+0.000919292j -0.00285278-0.013703j 0.00342597+0.00118694j -5.80446e-05+0.00132253j 0.00410356+0.0108452j 0.00231456+0.000963516j 0.000585543+0.000234873j 0.00322503-0.00627524j -0.000804829-0.000116982j -0.0126056-0.0122183j -0.00334507+0.0176462j -0.056319-0.0413229j -0.048775+0.0531518j 
0.00190485-0.00471126j -0.00436898+0.00864995j 0.0187601-0.029279j 0.00372002+0.0105074j 0.00187573+0.00436709j -0.00108077-0.000446346j -0.000483549-0.00117695j 0.0434824+0.0267449j 0.0045792-0.00880258j -0.00586874-0.00371794j -0.00744949+0.0113397j -0.0140887-0.00552214j 0.000158709-0.00139111j -0.00267126-0.0102078j -0.0030699-0.000288655j -0.00335955-0.00437272j -0.0174197+0.002689j -0.00199173-0.00397804j 0.0368621+0.026518j 0.0368732-0.036015j -0.0229572-0.00850245j -0.00578317+0.0293759j 
0.013574-0.0171311j -0.00660971+0.0168634j -0.000660085-0.0129022j -0.0163519-0.0112226j -0.0215706-0.00652761j -0.0245311-0.0136038j 0.0208235+0.000310586j 0.00587341-0.0169111j 0.00810253+0.00674776j 0.00143991+0.00352061j -0.00425356-0.00808893j 0.00995148+0.00345111j -0.00788133-0.0243704j 0.0157992+0.0146021j -0.0145674+0.00688687j -0.033408-0.0374093j 0.0177271-0.00746734j 0.0447833-0.0364813j -0.0309973-0.00574162j -0.0156422+0.0340493j 0.0510894+0.00383321j -0.00772042-0.0521655j 
0.0054158-0.0134372j -0.00757162+0.0258797j -0.00807167+0.0159924j -0.00316043+0.00214925j -0.0158577-0.00954j 0.0100351+0.00262556j 0.0412479+0.0140784j -0.0212586+0.000745574j 0.00834731-0.0070401j -0.00954357-0.00487709j -0.00703002+0.0116009j -0.0171403-0.00350219j 0.00167354+0.00643346j -0.0167516-0.020051j 0.00301389-0.00293056j 0.00489318+0.00208949j -0.0223283+0.0196627j -0.00344266+0.00791866j -0.0217798-0.00173832j -0.00351256+0.0203199j -0.0106998+0.00696101j 0.00384573+0.0123846j 
0.000941574-0.00254507j 0.00755797-0.0223995j 0.00650866+0.0256695j 0.00158585-0.00276937j 0.0281816+0.00843507j -0.0327319-0.0123771j -0.0223245-0.000971895j 0.0593763-0.0109336j -0.00241759+0.00251265j 0.00375218-0.000298934j -0.00135703+0.00850206j -0.00688386-0.00192283j -0.0159335-0.0450645j -0.000107659-0.0116616j -0.0437602+0.0148894j -0.0176903-0.0107912j -0.0111193+0.00984001j 0.0145656-0.0164909j -0.0151658-0.00226565j 0.00646399+0.0131359j 0.00908428-0.00287719j -0.00479951-0.00591349j 
-2.067e-05+0.00274228j -0.00052406+0.00145811j -0.00327157+0.00281144j 0.0166893+0.00787552j 0.00755803-0.00839328j -0.0472482-0.00536504j -0.00379877+0.00898213j -0.0167255+0.00943685j -0.00348283-0.00747645j -0.00789753-0.00507047j 0.00204925+0.0109348j -0.0187563+0.00106856j 0.0138496+0.0304287j -0.0314393-0.0167962j 0.0291949-0.0174112j -0.0260924-0.0182706j -0.0226121+0.0358609j 0.0159341-0.022454j -0.0357007-0.0064459j 8.92437e-05+0.0344967j -0.0165697+0.00522144j 0.00522517+0.0169402j 
0.000129837+0.000569345j 0.0053176-0.0270383j -0.00934173-0.0464692j -0.0155262-0.00122794j -0.0304268-0.00109438j -0.0183081-0.00210823j -0.0392666-0.00729588j 0.00015946+0.00228019j 0.00397624+0.00241083j 0.00238026+0.00189815j 0.000718101-0.0210688j 0.0196642-0.00151932j 0.0167958+0.0286825j -0.0150788-0.00660874j 0.0288175-0.0180708j -0.0101001-0.0149383j -0.00672+0.00996651j 0.0116158-0.00967384j 0.000898456+0.00386918j -0.00041618-0.000729776j 0.00937042+0.000746122j 0.000329979-0.00972401j 
0.00306192-0.0146699j 0.00234509-0.00215101j 0.0019373+0.0161457j -0.00516591-0.0020997j -0.00571707-0.00506948j 0.00278798+0.000104234j 0.0043139+0.0040182j 0.000981726+0.0005515j 0.00436102-0.00560436j -0.0077302-0.00302954j -0.00210156+0.0140938j -0.0146906+0.000258677j -0.00441579-0.0077795j 0.00233409-0.00272774j -0.00862864+0.00448064j 0.0081036+0.00487457j -0.00212408-6.43363e-05j -0.00394051+0.00801382j -0.0142438+0.00176871j 0.0026034+0.0140711j -0.00643827+0.00274288j 0.000783469+0.00791275j 
-0.00682947+0.04199j -0.000187453+0.033444j 0.00193805+0.00204821j 0.00566437+0.00529341j 0.0155055+0.00389063j -0.0206992+0.000647896j 0.0472748-0.00988898j 0.00715682-0.00261332j 0.00101171+0.0076401j 0.00980114-0.000244877j -0.00579339+0.00204569j -0.00186442-0.00139721j 0.0113861+0.00943725j 0.0165373+0.00589914j 0.0145965-0.0132991j -0.028512-0.0186902j -0.00163589-0.0109846j 0.0160792-0.029913j 0.0193369-0.00433071j -0.0013297-0.0182912j 0.00447596-0.00174256j -0.00377688-0.00319308j 
-0.0016691+0.000531705j 0.000274244-0.00409323j -0.00184056-0.00135297j 0.0169967+0.00383435j 0.00408056-0.0113539j -0.0478084+0.00181539j -0.0113294+0.00605697j -0.0151667+0.00711937j -0.00359077-0.0124029j -0.0151374-0.00487315j 0.00922116+0.035032j -0.0345578+0.0142079j 0.0126481+0.0248807j 0.0308834+0.0215521j 0.0325645-0.0160622j -0.0273811-0.018286j 0.016741-0.0245406j 0.0173022-0.0319472j -0.018172-0.00509463j 0.00223142+0.0210737j -0.00955442+0.00637611j 0.00495588+0.00972188j 
0.00267398+0.0284745j -0.0117595-0.0183471j -0.00148378-0.00458738j 0.0484381+0.00752522j -0.0476945+0.00545016j 0.0315346-0.012657j 0.0121945-0.00883142j -0.00837321+0.00237914j 0.00346163-0.0104512j -0.00631936-0.000794534j -0.0146646-0.0137154j 0.00885458-0.00365689j -0.0165119-0.0183129j -0.00436896-0.0024534j -0.0148962+0.0129387j -0.0452459-0.013201j -0.00480552+0.0122241j 0.0152503-0.0444906j 0.00740449-0.0056277j -0.00393966-0.006101j -0.00282288+0.000392158j -0.0019354+0.00388651j 
