-0.161795+0.137798j -0.0724366-0.0149849j -0.507747-0.265088j -0.172567+0.147363j 0.0481006-0.0113245j 0.235767-0.351863j -0.0739866+0.168568j 0.0179686+0.153817j -0.127216+0.0771321j -0.197391+0.11053j 0.160978-0.185472j -0.154734-0.420051j 0.10145+0.0194796j -0.137054-0.00464356j 0.0137762-0.00629639j 0.00653502-0.000308571j 0.00386739+0.0795491j -0.00586203-0.0321006j 0.0280202+0.0400391j 0.0705213+0.000229849j -0.000156088+0.00360456j 0.00986187+0.0233053j 0.000214589-0.0213468j -0.0101595-0.0271801j 0.00492792+0.0541545j -0.0775636-0.0541783j 
-0.0065009+0.000275222j 0.00113864+0.00593689j -0.00909327-0.00263006j 0.0187999+0.00641647j 0.0412475+0.0198839j 0.0114699+0.0206575j -0.00510232+0.00201063j 0.0308684-0.0264639j -0.00480353+0.00939344j 0.00310094+0.00117521j 0.000499301-0.00533059j 0.00145126-0.00179584j -0.00220877-0.00364066j 0.0171961-0.016187j 0.00453507-0.051361j -7.61259e-05+0.0638699j 0.0179081-0.0112871j 0.0438863+0.0263913j -0.0167455+0.00166839j 0.0324104-0.0287229j -0.0147901-0.017127j 0.0161601+0.0723129j -0.0102321-0.0340816j -0.0149251-0.0108864j -0.00121496+0.00269j -0.00033624+0.0056274j 
0.00432146+0.00885548j 0.0128988+0.00898901j 0.00410114+0.0234108j 0.0195702-0.010275j 0.0186691-0.00951152j 0.0191188-0.00342681j -0.00209463-0.0176644j 0.00948104+0.022037j -0.00421998+0.00509764j 0.027072+0.0115927j 0.0251401+0.0323186j 0.0147392-0.0019498j 0.0174589-0.0328652j -0.0385214-0.0219428j 0.00616285+0.0148366j -0.0302277+0.0137606j 0.00321211-0.0311316j -0.00716858-0.0228047j 0.0141709-0.0134637j 0.0118025-0.0214722j -0.0386436+0.038981j -0.0306884-0.0278878j 0.000808673-0.00241305j -0.0335531-0.0145116j 0.0262964-0.012784j 0.0177664-0.0162878j 
0.0366349-0.0348521j -0.027054-0.0126482j -0.0188509+0.0121534j 0.00526845-0.0112502j -0.0159218-0.0329995j 0.0129904+0.0242627j 0.00546684+0.00743422j 0.0091865+0.00466261j -0.0225667+0.00920671j 0.000822365+0.00338167j 0.0399721-0.000405694j 0.00140941+0.00831992j 0.0165969+0.0109734j 0.00776861+0.0345126j 0.0137888+0.0180254j 0.0419624-0.0219256j -0.00808636-0.00431661j -0.00307516+0.0234955j 0.00308108-0.00336093j 0.00524926+0.0151898j 0.0149155+0.00068518j 0.00424011+0.0114612j -0.026265-0.00952434j -0.00749155-0.0141022j 0.0053997-0.00461225j 0.0076696+0.00517686j 
-0.0595043+0.0113776j -0.0175534-0.00201061j 0.00409815+0.0141658j -0.0160654-0.00297709j -0.000418909-0.0208981j 0.00676474+0.0118426j 0.0128429+0.00159845j 0.010898-0.00183164j -0.0051599-0.0035219j -0.0378649+0.0131206j -0.0755485+0.0272122j -0.00616622+0.00282661j 0.00767673+0.00908439j -0.0231252-0.0512778j -0.0249005-0.0338383j -0.0736005+0.0260022j -0.00703683-0.00577846j -0.0156949-0.0369308j -0.00118156+0.019177j -0.0188768-0.0349731j -0.0218832-0.0161211j -0.00438663-0.0165946j 0.0438115+0.0129979j 0.035+0.00998782j -0.026328+0.00939888j -0.0179178+0.010218j 
-0.000460832+0.00567948j 0.000788428-0.00219786j -0.00648785+0.000541064j -0.00286804+0.000599257j -0.000160307+0.000345318j 3.83037e-06+0.00526058j 0.0039954-0.00417066j -0.00306841+0.00790008j -0.00706315+0.000170903j 0.00299473-0.000772692j -0.000680508+0.00526265j -0.0121058-0.0023311j 0.00638773-0.00148334j 0.0118747-0.0109183j 0.00582912-0.00583162j -0.00809347+0.00636149j 0.0052722+0.00925305j 0.00358023-0.0241655j -0.00150983+0.0158614j 0.00396221-0.0207982j -0.011453+0.0192846j -0.0361239+0.00793945j -0.000792244+0.0105978j -0.00785114+0.0123876j -0.0151267+0.0127086j 0.031385+0.00572058j 
0.0029012+0.0062075j 0.0113041+0.00493383j 0.00120184-0.00767505j 0.0117445-0.00435733j -0.00277642-0.00290112j -0.00959676-0.00518855j -0.00459071+0.0133856j -0.0103531-0.0103268j 0.0124052-0.0191794j 0.00412682+0.00198327j 0.00284474+0.00737805j 0.0102964-0.0126085j 0.0136091+0.00991518j 0.0143597+0.00789949j 0.0206841+0.00272831j 0.00631546+0.00101153j -0.0122963+0.00795879j 0.0188717-0.00565564j 0.000580712+0.00083019j 0.0220617-0.00977747j -0.00877904-0.00701409j -0.0129814-0.0294878j -0.0212788+0.0134207j -0.00296057+0.0157517j 0.0210359-0.0119012j 0.0213805-0.0134572j 
0.0121661-0.00806171j -0.00390941-0.00319227j 0.00354178+0.0041359j -0.000195261+0.000560772j -0.00200806+0.00236646j 0.00475679-0.00310967j -0.00366976+0.00291535j -0.00643687-0.00241272j -0.00093833-0.00611058j 0.00296028-0.00713127j 0.0151881-0.00540146j -0.00654787-0.00235112j 0.00156696-0.00459446j -0.00869762-0.01399j 0.0161591-0.000882088j -0.00531346-0.000799493j 0.0173527-0.0188017j 0.0141483-0.00166707j 0.00909895-0.00349335j 0.00827749+0.00800584j 0.0107142-0.00856331j -0.0111734-0.0222259j -0.000453133+0.0112315j -0.00960001+0.00927324j 0.0196264+0.0072202j 0.0408977-0.010802j 
0.00161084+0.00285698j 0.0109641-0.0029727j -0.00241933-0.00470178j 0.0114282-0.012364j -0.0044442+0.000799212j -0.0107685+0.00371885j 0.0010331+0.0204459j -0.0155331+0.0048928j -0.00446464-0.0356394j 0.000682337-0.0133583j -0.00659415+0.00458299j -0.00532666-0.0301674j -0.0098268+0.0037642j -0.00413826-0.00664558j -0.0152309+0.00741406j -0.0017371-0.00161551j 0.00825076+0.00401745j -0.0153765+0.0103554j -0.000376727+0.00570484j -0.0168933+0.00765796j 0.00182191+0.0114882j 0.0153529+0.0238907j 0.00184693-0.0118319j 0.00016837-0.0126397j -0.0138906+0.00663953j -0.0131067+0.00335581j 
-0.0139802-0.00414012j -0.0224512+0.00486043j 0.00420838-0.00130474j -0.0100398+0.01537j 0.00182714+0.00274085j -0.000246971-0.0159663j -0.003446-0.000125688j -0.0047169+0.00798974j -0.0189248-0.0206842j -0.00411656-0.00812386j -0.00818315-0.00448852j -0.0244446-0.0148721j -0.0136054-0.00297852j -0.00933255-0.000878614j -0.012414+0.00111658j -0.0075108+0.00910525j -0.000629634-0.0203161j 0.00970725-0.0073616j 0.00046683+0.000563641j 0.00719833-0.00142952j 0.014664-0.00482599j -0.0163931+0.00141116j 0.024421-0.00257658j -0.00588198+0.0227163j -0.00656957+0.0122014j -4.70582e-05-0.00600228j 
0.00254129+0.00603871j 0.00809047-5.90586e-05j 0.00122884-0.00368274j 0.000260468-0.00143944j -0.0102556+0.00806335j -0.00573579+0.00288742j -0.00150029-0.00111484j 0.0105559+0.00368914j 0.00868583+0.00123122j 0.000268382+0.00464594j -0.00273603+0.00386029j 0.0115597+0.002165j -0.00168916+0.0037107j -0.00150069+0.002923j -0.0164767+0.0128916j 0.0187497-0.0138676j 0.00601852+0.00768938j 0.0215384+0.0173754j -0.00239824+0.00115164j -0.00167251-0.0090635j -0.00302658+0.00036924j -0.00600826+0.00402593j 0.00532211-0.0032878j -0.00158993-0.012072j -0.00393975-0.000462258j -0.00418286+0.00605686j 
-0.00281307-0.011951j -0.0130756+0.00366129j 0.00528978-0.00203492j 0.00822433+0.00350337j -0.00672799+0.000874729j 0.0145661+0.0095941j -0.00808802+0.00841687j 0.00163146+0.00460759j 0.00208749+0.000253539j -0.0106796-0.0124694j 0.00705195-0.00639381j 0.00196898+0.00455196j -0.00763042-0.000729742j -0.00803512+0.00520133j 0.0176218+0.00900287j 0.000771004+0.00871951j -0.0106693+0.0201627j 0.0188576+0.0184863j 0.00166747-0.0114297j -0.0297884-0.0155361j -0.00207099-0.0098099j 0.0126415-0.0172528j -0.00306335-0.00871887j 0.000545976-0.0231978j 0.0227779-0.00571632j 0.000183066-0.0020893j 
-0.00379672-0.00433854j -0.000998751-0.00961735j 0.000730691+0.00776733j 0.00293132-0.0227673j -0.00142308-0.0185777j 0.0254379+0.0138883j 0.0118212+0.00957286j -0.0222103-0.00325461j 0.017708+0.0109865j -0.0159608-0.00585191j 0.000970405+0.00178366j 0.00432533+0.0101624j -0.0112173-0.000322111j -0.00448208-0.00706718j -0.00663667-0.00739534j -0.00838931+0.0167832j -0.00364346-0.0191784j -0.0108642-0.00671416j 0.00293985-0.0020969j 0.0135917+0.00197634j 0.00727185-0.00702754j -0.00665546+0.00328747j 0.0135713+0.00249207j -5.85683e-05+0.0180739j -0.00465681+0.00519556j 0.00780554-0.00334934j 
0.00280377+0.00147221j 0.00771422-0.00631928j 0.00381249-0.00710548j 0.00368482-0.00943356j -0.0169825+0.0180459j 0.00162047+0.0134493j -0.00075336+0.00968596j 0.0139935+0.00702915j 0.0189637-0.00465476j -0.0117483-0.00386797j -0.00547641+0.000386263j 0.0147459+0.000593418j -0.0169854+0.00415816j -0.00788594+0.00206437j -0.00755034+0.00898161j -0.0106599+0.00178293j -0.00448025-0.0225373j 0.00135373-0.0164859j 0.00501159+0.0030601j -0.00349194+0.00038354j 0.0132352-0.00595595j -0.0098325+0.0143578j 0.0168261-0.00592434j -0.0030543+0.0155243j -0.00440452+0.0116985j 0.0130166-0.00517888j 
-0.000765553+0.00930547j 0.0001039-5.0163e-05j -0.00053554-0.00212534j -0.00709864-0.000463735j -0.0130264-0.0197706j -0.0069574-0.00372977j 0.00269422-0.00887746j -0.0136575+0.0201412j -0.00305271-0.00178488j 0.00175963-0.000178748j -0.00574355+0.00310014j -0.00388642+0.00165335j 0.00462325+0.00181653j -0.000799078+0.00907357j 0.0102423+0.000311698j -0.0103957+0.00063795j -0.00158145+0.00413755j 0.000515853-0.0160534j 0.00381336+0.000922927j -0.0301469+0.00995176j 0.00203091-0.00243258j 0.0135345+0.0206493j -0.0072882-0.0129125j -0.00377554-0.00481998j 0.000574733-0.000719162j -0.00735888+0.00176696j 
0.0107957-0.00518582j 0.0219206-0.0178544j 0.000547743+0.00161459j -0.0144844-0.0129454j 0.0113855-0.000203708j -0.0421326-0.00111189j 0.0166512-0.0145061j -0.00217708-0.0103556j -0.00222466+0.00519658j 0.0201761+0.0137673j -0.00492397-0.00581644j 0.00458725+0.000269101j -0.0122154+0.0015608j -0.0034836+0.00613796j -0.00378544+0.00297397j 0.000820521-0.000821853j -0.00218847-0.00832127j -0.0020542-0.000590578j 0.00174062-0.000476475j 0.00291209-0.00058782j 0.00314794-0.000783898j 0.00189782+0.00434001j 0.00335424-0.00208861j -0.000774061-0.00374106j 0.00348848+0.00548342j 0.00207125-0.00225019j 
0.00505778+0.00561613j -0.0017786-0.00300154j -0.00190765-0.00125633j -0.00873244-0.00290416j -0.0199766-0.0189685j -0.000228437-0.00291155j 0.00277546-0.00817605j -0.0162649+0.0209868j 0.00275522+0.00132077j 9.28591e-05-0.00267385j -0.00145833-0.000509551j -0.00259485+0.00404439j -8.56717e-05+0.000276146j -0.00215344+0.00575693j -0.0100332+0.018933j 0.0120345-0.0204738j 0.00406024+0.00297526j 0.0287098+0.00726524j -0.000923818+0.000725248j 0.00174755-0.0116881j -0.00155355-0.00160598j -0.0139269-0.00550176j 0.00864119+0.00175473j -0.00348249-0.00432031j -0.00323162+0.00120666j 0.000283817+0.00587247j 
-0.0109736-0.00610313j -0.00518449+0.00418805j 0.00281233+0.00968918j 0.00490303-0.00480124j 0.0212459-0.0073543j 0.0175165-0.00288433j 0.00612963+0.00500686j -0.0130986-0.0198597j 0.000519937+0.010604j -0.00355145+0.00320412j 0.0059596+0.00442075j -0.00287932+0.00494598j 0.00358709+0.00359308j -0.00429179+0.00221965j 0.00242455+0.0136997j 0.00162893-0.015909j 0.00300741+0.00334868j 0.0128126-0.0035144j 2.53677e-05+0.00133815j -0.0150618-0.00599152j 0.00355721+0.00336117j -0.00493896+0.00607198j 0.00164894-0.00555007j -0.00464884-0.00276963j -0.00165173+0.00142039j -0.000324318+0.00472762j 
0.0275265+0.0106141j -0.0112764+6.95406e-05j -0.0277981+0.00351002j -0.00255318+0.0175678j 0.00204946-0.0119076j 0.0171316-0.0208086j -0.01887-0.0108028j 0.00113651-0.0148638j 0.000653891-0.00284702j 0.0096942+0.00387335j -0.00879831+0.0144731j -0.00349903-0.00953842j 0.00689932-0.021129j -0.00609332+0.0134369j -0.0190163-0.00270361j 0.0017671+0.00568486j -0.00632431-0.00234951j 0.0160224-0.00144681j 0.00575794-0.00413122j -0.000753643+0.0128402j -0.000285192-0.0178828j 0.00593636+0.00450293j 0.00716538+0.00421665j 0.00227965+0.00396549j -0.00995574+0.00444985j 0.000751784+0.00356609j 
0.000848914-0.000423495j -0.000774644-0.0141123j 0.00180832+0.000988867j -0.00899557-0.00545198j 0.00552118-0.00364495j -0.0137716+0.00857243j 0.00706666-0.0063638j -0.00137971-0.00750041j 0.00269486-5.11773e-05j 0.00244758+0.00521668j -0.00623892+0.00416568j 0.000871517+0.000931783j -0.0249666-0.00516665j -0.00821498+0.00449274j -0.00166647-0.00344526j 0.00204665+0.0246995j -0.00131975+0.0128468j 0.0341043-0.0137853j -0.00057527-0.0190562j -0.0290664+0.0110406j -0.00466428-0.031717j -0.00408274-0.0142697j 0.0175766-0.00367987j -0.000929579+0.00765766j 0.00907564-0.00197895j 0.0138784-0.00199228j 
-0.00899911+0.00661568j 0.000223221+0.00205423j 0.0051184-0.000688405j 0.00350041-0.0027188j 0.0106075-0.00425488j 0.00648117+0.000405369j 0.0038577+0.00394064j -0.00554348-0.00745587j 0.000457911+0.00292984j -0.00278962+0.00275445j 0.00533324+0.00859841j -0.00137675+0.00117j 0.00541196-0.000857756j 0.000792436+0.00833101j 0.00364775+0.00136531j -0.00919871+0.00331878j -0.00030377-0.000275411j 0.00402732-0.0148612j 0.0044585+0.000648032j -0.0203412+0.0160803j 0.000949301-0.00583177j 0.0186413+0.0181585j -0.00637678-0.0106606j -0.00747876-0.00162575j -0.00255532+0.00365873j -0.00347792+0.00335356j 
-0.000956287+0.0282911j 0.00740848-0.00498936j 0.0164178-0.0214724j 0.00770839-0.00207334j 0.00223173+0.00634735j 0.00118269+0.0161462j 0.00504178+0.00963569j -0.000383461+0.00827681j -0.00218176-0.00250795j -0.000126461-0.00317015j 0.0329187+0.0121409j -0.00515249-0.00132464j 0.0130246-0.0196004j 0.00350249+0.0103578j -0.0204647+0.00596268j 0.00710692+0.00040961j -0.00748662-0.00131297j 0.0164789+0.000136974j 0.00623293-0.00325261j 0.00909414+0.00976937j -0.00981497-0.0194781j 0.00431856-0.00177846j 0.00453083+0.00996583j 0.00721456-0.00105271j -0.0153434+4.27343e-05j 0.00160716+0.00659565j 
0.00478069+0.0192792j -0.0013209+0.00444473j -0.00558664-0.0316951j 0.0143483+0.0108648j 0.0101673-0.0172724j -0.010203+0.00881781j -0.00998607+0.00335986j -0.00259826-0.000549163j -0.00218433-0.00849434j 0.00300366-0.0161685j -0.00156165-0.0296122j -0.00400814-0.00320021j -0.0138807-0.0110999j 0.00159576-0.0104414j 0.00309672-0.00755922j -0.003263+0.0149333j -0.00101021+0.00816471j -0.0110115+0.00165783j 0.000817567-0.00363776j -0.011941-0.00178234j -0.00197851+0.00233551j -0.00275585-0.00133712j 0.00355974-0.00435614j -0.00116443-0.00508392j 0.00359126+0.00275188j 0.00492084+0.000355702j 
-0.00167133-0.00776426j 0.00170785+0.00315494j 0.00117332+0.00702032j 0.00186953-1.34339e-05j 0.000598974-0.00320268j -0.00349346-0.000869713j -0.00286588-0.00221384j 0.00105993-0.000395951j -0.000647644-0.000575876j 0.0011022-0.000373781j -0.0107606-0.00616042j 0.00416116+0.00180822j 0.0014354+0.00605073j -0.0181569-0.0240018j 0.0198791-0.0166362j -0.00908752+0.0106528j 0.0109585-0.00201616j -0.0123318+0.0107975j 0.000664437+0.000981527j -0.0147316-0.015854j 0.00775595+0.0132608j -0.0138824-0.00955194j -0.0063985+0.0016414j -0.00133396-0.00462739j 0.0174128-0.0068485j 0.0169875-0.00567874j 
-0.00645486+0.0237729j 0.0104527+0.0105977j -0.00680605-0.0162586j 0.00781915+0.00669501j 0.00570746-0.00606196j -0.00388241-0.00013326j -0.00507516-0.000850739j -0.000719125-0.0025304j 0.00245414-0.00222739j -0.00153537+0.00129021j -0.0235972+0.000601385j 0.00339621-0.000830413j 0.0168228+0.0171159j -0.00610855+0.00365909j 0.00673666+0.0132568j -0.011801-0.0295711j 0.00113067-0.0185051j 0.0171237-0.00823284j -0.00270294+0.0108876j 0.0171434-0.00485015j 0.0107539-0.000243666j 0.000739115-0.000887294j -0.00961135+0.00203441j 0.0017524+0.0174464j 0.00620206-0.00521711j -0.00868512-0.00589085j 
-0.0212774+0.00458044j -0.0079074-0.000489566j 0.00457927+0.0033809j -0.00688343+0.000163067j 0.00191854-0.00217361j 0.00196341+0.00183002j 0.00476742-0.000674505j 0.00231865+6.83386e-05j -0.00101554-0.00139049j -0.011845+0.00344469j -0.020912+0.00800405j -0.00388787+0.000416625j -0.0146037+0.000639119j -0.0065771-0.0121056j -0.0198008-0.00870568j -0.0066981+0.0192373j 0.00301413+0.00876996j -0.00209769-0.00365787j -0.00558614-0.0016136j -0.00929018+0.00343835j -0.00623005-0.00260711j 0.000992523-0.00224743j 0.018875-0.000687823j 0.00456781+0.00766879j -0.0129972+0.00594278j -0.00876321+0.0055805j 
