-0.084819+0.409351j -0.43948-0.136334j 0.190989-0.198074j 0.220288-0.00166562j -0.160829-0.205016j -0.437371+0.0668914j 0.0228497+0.469708j 0.0211588-0.176193j 0.14305+0.000785515j 0.00664487-0.0378373j -0.0104047+0.0409647j 0.0165004+0.0592366j -0.0467696+0.0081847j -0.0120721+0.00730848j 0.00291825+0.0130661j 0.000863271-0.00939266j -0.00368007-0.0587071j -0.0481936-0.036829j 
0.100008-0.0467523j 0.00656289-0.0206457j -0.0512244-0.104189j 0.0534392+0.00870135j -0.026644+0.0228467j -0.0140471-0.0217802j -0.0603265+0.0498392j 0.153719-0.177296j 0.0829067+0.0150106j 0.519693+0.229692j 0.0694717-0.142651j 0.128823-0.11475j 0.209301-0.369019j 0.043637-0.0146955j 0.00392616-0.167568j 0.101773-0.0970622j -0.249406+0.191385j 0.208339+0.406317j 
-0.118566+0.17034j -0.0381688-0.03262j -0.050217-0.0182609j -0.0398757+0.0373601j -0.00868485+0.0797955j -0.0269914-0.00771591j 0.0222005-0.02291j -0.143662+0.355141j -0.252368-0.187672j 0.131924+0.112416j 0.000577017+0.151497j 0.0680507+0.0404402j -0.192924-0.391537j 0.113132+0.0839546j 0.109475+0.15697j 0.538451-0.243356j 0.0538081+0.00785802j -0.172806-0.151444j 
0.00959525+0.0180379j 0.00773768-0.00817383j 0.0206613-0.0066916j -0.00593959-0.00209638j 0.0144233+0.0107538j 0.0120983-0.00108173j 0.0181125+0.0176425j 0.0155038+0.0380257j 0.023889-0.00480415j -0.0906071+0.0379055j 0.0249799-0.0047848j -0.00282558+0.0256431j -0.0438986+0.00457672j -0.0886746-0.0344551j -0.0159818+0.0435945j 0.0335479-0.0371151j 0.0169865-0.0130289j 0.0818762-0.0103988j 
-0.0225982+0.0049857j -0.0166237+0.018993j -0.0130743+0.03944j 0.00926577+0.00454384j -0.0367293-0.0107982j -0.0239722+0.0108914j -0.00908071-0.034201j 0.00427298+0.015517j 0.00327962-0.0109239j -0.0469967+0.0160825j -0.00424917-0.0124275j -0.000176503+0.0167699j -0.022129+0.0107642j -0.0484409+0.00328971j 0.0052425+0.014763j 0.0178482-0.0242461j 0.0252465-0.00925796j 0.0258408-0.00771687j 
0.0316383+0.00494249j -0.00593994-0.0212727j -0.0152564+0.00910496j 0.00445111+0.0130478j -0.0150001-0.010111j -0.00191253-0.0221452j 0.0230768-0.00664263j 0.0337621+0.0167097j 0.0213363-0.0116794j 0.0419206+0.0300628j 0.0385079+0.0664906j -0.014717-0.0239871j -0.0229227-0.0049684j 0.0528913-0.0184013j -0.0399719+0.0419926j -0.0223721+0.0402958j -0.0286026-0.0162166j 0.0276614-0.0181557j 
-0.00970713+0.00395433j 0.00756561+0.018899j 0.0152774-0.0161577j -0.000654967-0.0123634j 0.0162034+0.0180911j -0.00187834+0.019887j -0.0195912-0.00544967j 0.0364326+0.0201746j 0.0100551-0.0228012j 0.0323387+0.0252146j 0.0416717+0.0509728j -0.0231834-0.0099985j -0.0234666-0.00225546j 0.035203-0.0244132j -0.0242374+0.0494983j -0.0133186+0.0284797j -0.0178811-0.0187184j 0.0315467-0.0225195j 
0.0319961-0.0449448j -0.0221659-0.00656382j 0.037399-0.0121805j 0.012439-0.00760513j 0.0221733+0.0297227j -0.0136193-0.0143577j 0.0113448-0.00678282j 0.0442255-0.0119161j 0.00724768+0.0177711j -0.0142949-0.043366j -0.0229951-0.00230107j 0.0626203-0.0107334j 0.00505809+0.0179908j -0.0127609+0.0227874j -0.00683356-0.0398229j 0.022809+0.0325536j -0.0161248+0.00597668j 0.00716231+0.00586401j 
-0.0262087-0.00849361j -0.017944-0.00410643j 0.0151644-0.0143918j -0.000121919-0.00296832j 0.0138057+0.0174421j -0.0155548-0.0061697j 0.0128035-0.000832868j -0.0839418+0.0377023j 0.00594211-0.00722014j 0.0260313+0.043407j 0.0128113-0.0284817j -0.0858476+0.027176j 0.0175469-0.0187371j 0.00132085-0.0255634j 0.0193505+0.0271079j -0.0549812-0.0489573j 0.0310445+0.00568233j -0.0281841+0.015294j 
-1.34328e-05+0.00280936j 0.00471996+0.00147357j 0.00119178+0.00538006j 0.00318715-0.00237362j -0.0100655+0.00298927j -0.00223212+3.6063e-06j -0.00679555-0.00375204j -0.000383539+0.00484908j 0.00726068+0.00164962j -0.0078033-0.0158928j 0.000885154+0.00301798j 0.00542283-0.00638839j 0.0125541-0.00865441j 0.0278067-0.00819028j -0.009512+0.0060835j -0.0109454-0.00343893j -0.0174729+0.00522745j -0.0180497-0.0199316j 
-0.010407-0.00549809j -0.0174362+0.00673267j -0.0114111-0.000957189j -0.0073019+0.0154874j 0.0115649-0.028114j 0.00348343+0.0068138j 0.00600913-0.00957987j -0.00946437-0.00939267j -0.0171909+0.000508274j 0.0195543-0.00699058j -0.00699345+0.00373548j -0.00627628+0.00680004j 0.00320128+0.0186626j 0.00670876+0.0186005j 0.00798472-0.0105241j 0.00635264+0.00750564j 0.0164125-0.0161428j -0.00463592+0.0113503j 
0.00567106+0.00719585j 0.00220128-0.0023046j 0.00309591-0.00209039j -0.00619696+0.00191323j -0.0047533-0.0166556j -0.000419756+0.00926287j -0.00855492-0.00731156j 0.0041366+0.0105559j 0.00502749-0.00857845j -0.00561335+0.00349579j -0.024696+0.0114158j 0.00425411-0.0146284j -0.0226538-0.000285595j 0.0112899+0.0200775j -0.0145427-0.0196198j 0.00257362+0.016965j 0.0122784+0.0120295j -0.0250861+0.0082822j 
-0.00136397+0.00329058j -0.00301783+0.00452797j -0.000202403+0.00616057j 0.000194816+0.0065056j -0.00579321-0.00686682j 0.00304155+0.00392934j -0.00392133-0.00415487j -0.00140628+0.00299127j 0.0020201+0.00192354j -0.00468919-0.00986613j 0.0232533+0.0251988j -0.014543-0.0206324j 0.00819406-0.0229868j -0.0344726+0.00883773j 0.0289272-0.00732265j -0.0100235+0.00291758j -0.00435832-0.00151386j 0.000682302-0.0023692j 
0.00393113+0.00114443j 0.0102632-0.00958555j 0.00822678-0.0013967j 0.00460552-0.017871j 0.0092141+0.0333546j -0.00505615-0.0137628j 0.00843032+0.0177907j -0.00751387+0.00118633j -0.0152259+0.0032256j 0.0156518-0.00881087j -0.00902668+0.0260559j -0.00845444-0.00524395j -0.00290424+0.0167407j 0.00114671+0.0281836j 0.000716864-0.0194107j 0.00958029+0.0122994j 0.0202356-0.0101109j -0.00797892+0.0104237j 
-0.0200912+0.00274437j -0.0163955+0.0198159j -0.00110102+0.0102566j 0.0148656+0.00972357j 0.0383641+0.014757j 0.00772706-0.0144669j 0.0265883+0.0135752j -0.00658419-0.0040201j -0.00723999+0.00374601j -0.000256306-0.00180155j 0.00341876-0.00837538j -0.000860682+0.0113463j 0.0059535-0.00113965j -0.00371181+0.000181327j 0.0104831-0.00019812j 0.000785117-0.00965376j 0.000366232-0.00836465j -0.000637442-0.00621364j 
-0.0221853-0.00270236j 0.0140173+0.00471474j -0.0259421-0.00834627j 0.00735046-0.0181451j -0.0111897+0.00506775j -0.0165171-0.0132101j 0.00243816-0.00449044j -0.0138867-0.00926645j 0.00172007+0.0239633j -0.0109991+0.0141502j 0.0211302+0.00511929j -0.00811027-0.0182981j -0.026406+5.61541e-06j 0.0103574-0.026439j 0.00153953+0.00231418j 0.0028324+0.0171528j -0.015343-0.00132105j -0.000799982-0.00475745j 
0.00466814+0.00364553j 0.00382537-0.000180299j 0.00642081+0.0101377j 0.00305081-0.000626695j -0.0069217+0.00849128j 0.00280584+0.000498071j -0.00433779+0.0034275j -0.00250366-0.00247264j 0.00133896+0.00192605j -0.00412244-0.000742333j 0.00148969-0.00040115j -0.00212886-0.000132101j -0.00140575+0.00390212j 0.000615315-0.00107341j -0.00212111-0.000666294j -0.00258191+0.00189795j -0.00114913-0.000638287j 0.00106744-0.00249002j 
-0.00649343-0.00056662j 0.0118205-0.0141129j -0.0224821-0.00168903j -0.00577222-0.0192719j -0.0232433+0.0122132j -0.0179893-0.00390185j -0.0045547-0.00236184j -0.00614138-0.00108851j -0.0233741+0.00414159j 0.00808798-0.0158819j -0.00731646-0.013381j 0.0105668+0.0280673j 0.0292743-0.00805553j -0.0129514+0.0237688j 0.0224817-0.00401081j -0.00496614-0.0225288j 0.00960235-0.0168211j 0.0128684-0.0040698j 
-0.0176523+0.0174985j 0.010309+0.0140024j -0.0323579+0.0156234j 0.0163822-0.0100397j 0.0043936+0.00535952j -0.00929823-0.015793j 0.0114479+0.00145814j 0.0263525+0.000713627j 0.0115638-0.0128941j -0.00253458+0.00276588j -0.000777218+0.0101762j -0.00461063-0.00769108j -0.00327813-0.000672599j -0.000159459+0.00232329j -0.0129324-0.00128054j -0.00200824+0.00468017j 0.00261997+0.0120271j -0.00642974+0.00496332j 
-0.00124976-0.00226936j -0.00281639+0.000299606j 0.000524456-0.0045689j -0.00254765+0.00228249j -0.000472859-0.00522175j -2.50013e-05+0.00138311j 4.19686e-06-0.00222311j -0.0028933+0.00282298j -0.00145438+0.00375263j -0.00697678-0.0069792j 0.0353936+0.0148964j -0.0270684-0.00992557j -0.00661516-0.0184526j -0.0197889+0.0288575j 0.0184517-0.022993j -0.00190508+0.0107132j 0.000621318-0.00505806j 0.00046999+0.00272935j 
