-0.0454118+0.00901015j -0.017668+0.0343117j -0.0295683-0.0386746j 0.052297+0.0397197j 0.0158732+0.00238711j 0.037723+0.00315023j -0.0933291-0.0149803j -0.0268908-0.00227817j -0.0177302-0.00958684j 0.0101715+0.00240338j -0.0338529+0.0249274j 0.030549-0.0155178j -0.00308698+0.00559403j -0.0651825-0.00239239j -0.00116669+0.0157261j 0.0112144-0.00629771j 0.00873439+0.0143499j 0.0398761+0.00703679j -0.0191223+0.0397529j 0.0139721+0.0173516j 0.0127817+0.011477j -0.0276593-0.00524784j -0.026163+0.000598792j -0.0185477-0.00996309j 0.0164572+0.0102342j -0.0113584-0.0131995j -0.0113585-0.0120307j -0.0095979+0.00406219j -0.0153094+0.0225303j -0.0323718+0.0191395j 0.0122703-0.0141795j 0.0260238+0.0249531j -0.040739+0.0112502j -0.0094844-0.0088821j -0.0122778+0.00271022j 0.0147828-0.0072181j 0.0136695-0.0105411j 0.00306536+0.0104077j 0.0180378-0.00237823j 0.00184297-0.0201683j 0.0104022+0.0216632j 0.0293805+0.000979506j -0.0177552-0.000661466j -0.0209219+0.0106733j 0.0111893-0.0144206j 0.0128715-0.00285513j -0.00607703+0.024226j -0.0168951+0.00852447j -0.00644588-0.0081179j 0.0308259-0.0229547j -0.00205747-0.0173133j 0.000796472-0.0169749j 0.0067405-0.0115472j -0.00144811-0.0154813j 0.00403911+0.00521594j 0.0172698-0.00204843j 0.0186363-0.0265878j -0.0364673+0.00179895j 0.016372+0.0267539j -0.0334697+0.0515943j -0.00514052-0.0159593j -0.0111788-0.00480176j 0.004307+0.0441776j -0.00743505-0.00784487j -0.0296124+0.0233164j 0.0408628+0.0251634j -0.0549876+0.00458536j -0.0344138-0.0102494j 0.053706-0.0469436j 0.017262+0.00612953j -0.0309497+0.0118417j -0.00367336-0.0218306j 0.0674487+0.0174919j 0.00570053+0.0107378j -0.0247097-0.00446171j 0.0160357+0.0420785j -0.0104015+0.0584782j -0.0250436+0.146538j -0.080137-0.01558j 0.102355-0.029622j -0.0532353-0.03255j 0.0252578+0.0618055j -0.00175421-0.0501614j -0.0755159+0.0392423j 0.100037-0.00486031j 0.0376312+0.0253899j -0.0622885+0.0276761j 0.0244912-0.0772281j 0.0278567-0.0424182j -0.00143111+0.0580888j 0.0719533+0.0163365j -0.0808322+0.0440174j 0.0218851+0.00281272j -0.0261627+0.131549j 0.165144-0.0795445j -0.0422666+0.164205j -0.233003+0.133672j -0.0964829+0.173937j 
-0.0187941+0.0350967j 0.0457252-0.0104051j -0.0459842-0.037879j -0.0325741-0.0432238j 0.0417431-0.00012896j 0.043406+0.0248207j 0.0433092+0.0139333j -0.0706072+0.0028199j 0.0042818+0.00243798j -0.021226+0.0274897j -0.0179658+0.0025385j 0.00282598-0.0213951j -0.0112506-0.025829j 0.00489593+0.0101842j 0.0776045-0.0271483j -0.0288952-0.00519877j -0.0241231-0.00764058j 0.000252929-0.00457564j 0.0166081+0.0143492j -0.00058191-0.0210039j 0.0268523+0.00134029j -0.00764696+0.018804j 0.00794965+0.018742j -0.00506439+0.0265342j 0.0410725-0.010104j -0.0175986+0.0205426j -0.0251134+0.00250739j 0.0413401-0.00844638j 0.00942347-0.00604584j -0.00861848+0.00462114j -0.0424244-0.00811635j 0.0165174-0.00550137j -0.0148318+0.0269327j -0.0105005-0.00061599j 0.00959884+0.00266237j -0.00729519-0.00213269j 0.00258446-0.00437469j 0.00644175+0.0100039j 0.0159399+0.00381375j -0.0230352+0.00395482j 0.0254931-0.0114583j 0.0296549-0.013319j 0.00866271+0.0128247j 0.00607227+0.0174809j 0.0146212-0.0148441j 0.0180922-0.0159011j -0.000951981-0.00741299j 0.00773756-0.00117859j -0.0201709+0.0185841j -0.0157586-0.01856j 0.0162462+0.0168747j -0.0199663+0.0158433j -0.0393421+0.0190546j -0.00821244+0.0205109j 0.0133006+0.0166545j -0.00157166+0.0288531j -0.0152183+0.0140361j -0.0183549+0.00110371j 0.0187682-0.0262374j 0.0424429+0.00635093j -0.0200688+0.0285314j 0.0316535+0.00716362j 0.0213682+0.000473137j 0.0168892-0.00801149j 0.0160182-0.0247457j -0.00173381-0.0179336j -0.00635442-0.00227706j -0.0200494+0.0513763j -0.0387797-0.036453j 0.034409-0.0115329j 0.0229773-0.0100713j -0.0280079+0.00794329j 0.0495531-0.0348834j -0.0438563+0.00146714j -0.0342793+0.074719j 0.0218411+0.000988821j 0.0312205+0.0276615j 0.136577+0.0050675j -0.044394+0.0782131j -0.0619621-0.0966975j -0.0406132+0.0689138j 0.0280045+0.00225733j -0.0260345-0.00307591j 0.0632144+0.0725656j 0.0352567-0.0796576j 0.0722348-0.0364591j 0.0102978+0.0308672j -0.0775702+0.0227302j -0.0116596-0.0687522j -0.0119874+0.00275863j 0.0489313+0.0356482j 0.0418869-0.01705j -0.0777851+0.128748j -0.0917452-0.00363929j -0.0394017+0.176329j -0.148625+0.0812198j 0.0966177-0.173005j -0.232787+0.135705j 
-0.0563633+0.0215752j 0.0146502+0.0141594j -0.0196234-0.0343083j -0.012044-0.00186057j 0.0115556-0.0130429j 0.0459515+0.0797504j 0.0242215+0.0296066j 0.032473+0.0272651j 0.0123117+0.00835286j -0.0137687+0.00837998j -0.0349996-0.0107414j -0.0598476-0.0163096j -0.0348362-0.0452852j -0.0286029-0.0108804j 0.00645699+0.0273441j -0.00484103+0.0182691j 0.0353537-0.0153513j -0.0202178-0.00206631j 0.0473231+0.0153828j 0.00198143-0.0497552j 0.025292-0.00403171j -0.00208772+0.0318233j -0.0443007-0.00141114j 0.0329149-0.0270692j 0.0237065-0.0198455j 0.00205404+0.0300334j -0.0354434-0.0143018j 0.0164586+0.0213828j -0.0266506-0.0170046j 0.0171629+0.0139248j 0.000746642+0.0326785j 0.00148652-0.022537j 0.0197821-0.00692642j -0.00881186+0.0125648j 0.0130745+0.00942361j -0.0241977-0.02612j -0.0165833+0.000832635j 0.00402914+0.0205274j -0.00114207-0.0185746j -0.00408044-0.00869451j 0.019868-0.0193456j 0.00880553+0.0141717j 0.0265296+0.00590328j 0.00301006-0.0264867j 0.0070493-0.00570966j 0.00496956+0.0218552j 0.00978319-0.0115017j 0.0192221+0.00285813j -0.0206798+0.0171814j 0.0196589-0.034975j 0.060062+0.0483006j -0.0246779+0.0056508j -0.0229675-0.00876491j -0.00690404+0.00555611j 0.0363868-0.0116138j 0.0130619+0.00960783j -0.0217082+0.018063j -0.0177366+0.0356339j -0.00606504-0.00835428j 0.019975+0.0116543j -0.0138779+0.00825866j 0.0087886+0.0232191j -0.0136888-0.00216129j 0.0370139+0.0474915j -0.0440114-0.030346j -0.0291368-0.0668869j -0.078309+0.0239396j 0.0575102+0.0141485j 0.0095523+0.0802885j -0.00741832+0.0118275j -0.072497+0.0164752j -0.0859013+0.00576957j 0.0198503+0.00141751j -0.0273071-0.0667309j -0.0243805-0.053343j -0.0711819+0.011033j -0.0260393+0.0821071j 0.060854+0.0341326j 0.0643077-0.0342551j 0.0186869+0.0340401j 0.0714154-0.0650238j -0.015951-0.128095j 0.0701402-0.0611308j -0.0835558-0.0229794j 0.0623637+0.034746j 0.0153257+0.00102459j 0.0799197-0.0202769j -0.0105504+0.00658473j 0.089398+0.0859477j 0.0205454+0.0642277j 0.131965-0.0641079j 0.0846077-0.115321j -0.0803603-0.101j -0.00216928+0.0397249j 0.0239041+0.0475031j 0.0879734+0.0703573j -0.0551798+0.0668674j -0.0399048+0.0208772j 
-0.0270813-0.0161614j -0.0651909+0.0176697j -0.0157855+0.0090717j 0.0289581+0.02852j -0.00668973-0.0778353j -0.00044899+0.051633j -0.0141751+0.00462801j 0.0179294-0.001136j 0.0411735+0.025897j 0.0214009+0.0109461j -0.00539388+0.00600414j 0.0167863-0.0142294j 0.0422316+0.00534318j -0.0258144-0.0485771j 0.00591836+0.008177j 0.0427036-0.00678171j 0.0316105+0.0230136j 0.0169082-0.0051238j 0.0217086+0.0176722j 0.0354799-0.030919j 0.0405713+0.0296247j 0.0067905+0.00450163j -0.034322-0.013531j -0.000487509+0.00993677j 0.00965008+0.0146198j -0.0156624+0.00353485j -0.00639098-0.0212234j -0.0458126+0.0152981j -0.00150904-0.0128813j 0.0129148-0.00200016j 0.0139125+0.0293145j 0.0528436+0.0194342j -0.00565506+0.0140519j -0.00087019-0.0035696j 0.0176655-0.00226189j 0.0045612-0.0154702j 0.00104362+0.0290739j -0.00973872+0.049419j 0.00996791-0.000525331j 0.0414383-0.0170565j 0.0148695-0.0191039j 0.0144194+0.00987213j -0.0436322-0.00864594j 0.00446033-0.0282033j -0.00852463-0.0152965j -0.0619266+0.0135579j 0.020498+0.0043485j 0.0106063+0.0180584j -0.0319787-0.0156828j 0.0432458+0.0246206j -0.0558558+0.0226093j -0.0243643-0.0127856j -0.00655057+0.0195065j -0.015914-0.000678117j 0.00914755-0.0159527j 0.0302989+0.0401432j 0.00766064-0.0140777j -0.0379352-0.042617j 0.0393396-0.000615093j 0.025054-0.0601301j 0.010583-0.0107418j -0.00445222+0.029446j 0.0168947-0.0128726j -0.00904326+0.00801888j -0.0242283+0.0349175j -0.00257671-0.0373125j -0.0281853-0.0333267j 0.0256654+0.061905j -0.0643704-0.0115143j -0.0394216-0.01651j -0.00465335-0.0422615j -0.0618328-0.0693055j 0.0209871+0.06658j 0.0464579+0.00253311j 0.030261-0.0301141j 0.0758242-0.0801366j -0.0941031-0.0359359j -0.0694777+0.00442193j 0.0211461-0.0214685j 0.024033+0.00410762j 0.0185746+0.0853757j 0.106079+0.00600733j 0.0473963+0.0530506j 0.0334928-0.063828j -0.0898136+0.0363569j 0.0811606-0.0477685j -0.0209608+0.0184021j 0.0481041-0.0262126j 0.001989+0.011288j 0.0214765-0.0438399j 0.0450182-0.21183j -0.222154-0.0675719j -0.139282+0.0806884j 0.00181338-0.125376j -0.0863178-0.0907354j 0.0187085+0.0791705j -0.04803+0.0186348j 0.0603078-0.0679067j 
-0.0243306+0.00456939j -0.00778668+0.0194634j -0.0111604-0.0269202j 0.0143632+0.0455143j 0.0119004+0.0281314j 0.0191407-0.0178242j -0.0740947-0.0301717j -0.00368366+0.0287985j -0.0332858-0.00333184j -0.011747+0.0020112j -0.00233969+0.0131596j -0.00432488-0.0095323j -0.0102324-0.0139713j -0.06665+0.0212492j -0.0684862-0.0228555j -0.00834765-0.0316564j -0.00717351-0.0149059j 0.023392+0.0190908j -0.00898392+0.0651316j -0.0263716+0.020993j 0.00983584+0.00801622j -0.000833003-0.00238205j -0.0172313+0.00676393j 0.0117646-0.0186133j -0.00204885+0.0293593j -0.0198444-0.0269657j -0.0434523-0.0144014j 0.0217528+0.0284117j 0.0215071+0.0297275j -0.0506005+0.0109113j 0.0327361-0.0226783j 0.04063+0.0200486j -0.0409824+0.0117849j 0.018309+0.0290737j 0.0209655+0.0325824j 0.03494-0.0168995j 0.0761408-0.00367461j 0.0362623+0.0515577j 0.0659364-0.0281305j -0.0133611-0.0695303j 0.0525546-0.0313506j 0.0175411+0.0307686j -0.052215+0.0300813j -0.0464139-0.00176325j -0.00668892-0.032213j 0.10053-0.00190943j -0.0356619+0.0667727j -0.0249729-0.00687046j -0.00985661+0.0150467j 0.0545044-0.0645402j 0.0954328-0.0085687j 0.0690045+0.0487096j -0.0538101-0.0494863j 0.00666452-0.0282923j -0.00788199-0.0289174j 0.0180912-0.0217657j -0.0347134+0.0236722j 0.00140235+0.0451443j 0.0291858-0.0712056j -0.00527052+0.0181971j 0.0346867-0.0143342j -0.0659318-0.00966949j 0.021419-0.00242189j -0.00206331-0.0164083j -0.0106209-0.0498415j -0.0229591+0.0680642j -0.00969931+0.0119002j -0.0288876+0.0658671j 0.144921-0.0701674j 0.0156263-0.0395149j -0.0251327+0.0320703j -0.0675593+0.0120364j 0.0329389-0.0227981j -0.0125515+0.048448j -0.0377263-0.0760516j -0.0302444+0.0776909j 0.0504615+0.00714083j 0.0250475+0.082358j 0.019541-0.0670583j 0.0702956-0.00428485j -0.0422728+0.0544369j 0.044795+0.0738765j 0.0696552-0.106308j 0.0450738-0.0255485j -0.0299563+0.0597374j 0.0504657-0.0094313j 0.0348912+0.0212843j -0.0281942+0.0346279j -0.0834943+0.0298751j -0.0116512+0.052773j 0.0816865+0.00264015j 0.0426406-0.0454939j -0.00415929-0.00282812j 0.0544083+0.0572405j 0.0782397-0.00722605j 0.00787645+0.0670372j -0.031569+0.0203464j -0.0409957+0.0079955j 
0.0180948-0.0143741j -0.00594492+0.00368407j 0.0191621+0.0302396j 0.0069151+0.0220307j -0.0249892+0.00412228j -0.0178582-0.0253657j -0.00848738+0.0195444j 0.0621088+0.0190685j 0.0125702+0.0185766j -0.0122925-0.00564736j 0.0094835+0.0139809j -0.0414215-0.00556491j 0.0168235-0.0053497j 0.0381014+0.00838637j -0.0616682+0.0307286j 0.013072-0.00913368j 0.023369+0.0178459j 0.00956055+0.0145171j 0.0267105+0.00122101j -0.0390678-3.92516e-05j -0.0344083-0.0105901j -0.0359801-0.076856j -0.0141591-0.0156415j -0.00739262-0.0214935j -0.0794442+0.0124244j -0.000768709-0.0150177j 0.049725-0.00964345j -0.0551854+0.00706855j 0.0116035-0.0385605j 0.0894582-0.0120989j 0.0301269+0.0548353j -0.0144412-0.000825694j 0.00510618-0.04378j 0.0235309+0.0304279j 0.0168796+0.0159479j 0.061681+0.0121529j 0.0496327+0.0324989j -0.0250421+0.0126229j 0.0105952-0.000464161j 0.0530279-0.00734248j -0.0123139+0.00417316j -0.00815466+0.0205142j -0.0312477-0.0569134j -0.0199271-0.0370975j 0.029085+0.0160314j 0.00911022+0.0678936j -0.0585769+0.0423395j 0.023099-0.0257111j 0.0211959-0.0322142j 0.0529516+0.0327385j 0.000255442+0.054122j -0.022542+0.00450038j 0.096777-0.0383206j 0.0611923-0.0719213j -0.0490229+0.0240474j -0.00208559-0.0642453j -0.00163742-0.056569j -0.00946679+0.0187587j 0.0417862+0.0353764j -0.0868769+0.0732626j 0.00477526-0.0462662j 0.00571282+0.0468154j -0.0303453+0.0110093j 0.0140243-0.008058j -0.0619309+0.107274j 0.0445919+0.0157985j -0.0544607+0.0315678j 0.0950622+0.00147427j 0.0151961-0.0395951j -0.0179756-0.00507726j 0.0118281-0.044951j -0.0641198+0.11171j -0.0644767+0.0487658j 0.0404997+0.00747442j -0.0318073-0.0488882j 0.0117446+0.0205358j -0.0745053+0.0384028j -0.0397508-0.0200469j 0.00684831-0.0486156j 0.0694394+0.0189635j 0.00814032-0.0316899j -0.0170399-0.0526482j -0.0772001+0.0237824j 0.0655097-0.114353j 0.0419666+0.0050302j -0.00524609-0.00587939j -0.0364091+0.00893519j -0.0811605+0.0368907j 0.0313669+0.0368714j 0.0898725-0.0222173j 0.0340296-0.027065j 0.0193577+0.0117157j -0.0181577-0.0557106j 0.0527365+0.0405091j 0.0004712-0.0535344j 0.0762268-0.031454j -0.0294699+0.0115106j 0.0175134-0.00670696j 
0.043971-0.00102561j -0.0305541-0.0101859j -0.00274224+0.0241792j 0.0156361-0.0385414j 0.010627-0.0703017j -0.0410555+0.0174641j 0.0280956+0.014858j 0.00326942-0.0259084j 0.00589585+0.00997111j 0.0130312-0.00156025j 0.00608532+0.00776235j 0.0630329-0.000615565j 0.0358983+0.0270414j -0.00141419+0.0126168j -0.0196969-0.0279658j 0.0255548-0.0042092j 0.0313246+0.0434361j 0.0283943-0.0242062j -0.00173951+0.0159942j 0.0687272-0.0304472j 0.0323848+0.036785j 0.0658596+0.0210151j 0.0341076-0.00838267j 0.0104355+0.0358457j 0.0171155+0.02113j -0.019973-0.00639036j 0.0324845+0.0150857j -0.0309264+0.0156223j -0.0206433-0.00316073j -0.0258777+0.0254661j -0.0104446+0.0177754j 0.072871+0.0321693j -0.0136238+0.0244572j -0.00566994-0.00536086j -0.00286493-0.0241746j 0.00303358-0.0129857j 0.02758-0.00852007j -0.00345552+0.00511687j 0.0292073+0.0103715j 0.0167205-0.00238134j -0.0215256-0.0104704j -0.0540013+0.0119456j -0.0522622+0.00771936j -0.0270958+0.0166211j -0.0101628+0.00270802j 0.0254639-0.0521483j 0.0605858+0.0297687j 0.00498577+0.0264016j -0.0281151+0.0218984j 0.0237124-0.0187759j -0.000815-0.0126505j -0.0128166+0.0481462j -0.0353243+0.0416904j 0.000681433-0.0276193j 0.0182578-0.00656347j -0.00672442+0.0377243j -0.0117954-0.0550108j 0.0148076+0.0151011j 0.0139345-0.0172524j -0.0146782-0.0121859j -0.0547442-0.0246686j 0.0152905+0.0220382j -0.0123899+0.0181661j -0.00440216-0.0389454j -0.0389082-0.0418502j -0.0291712+0.0289107j -0.0153695-0.0227421j -0.0432285-0.00398544j 0.0423724-0.0689127j -0.0534268-0.0589716j -0.000656725+0.0324551j 0.00526687-0.0101963j -0.052832+0.00294694j -0.0957707+0.0537853j 0.0441157+0.0110123j 0.0298312+0.00782768j -0.0393048-0.0246683j 0.0250147-0.0439088j -0.00781808+0.073213j 0.0544952-0.027745j -0.00813195-0.146834j -0.0844122-0.0364775j -0.00113913-0.0106011j 0.010392+0.0172198j 0.0148413-0.0260618j 0.0545438+0.0189117j 0.0351849-0.0428967j 0.0365289-0.0924199j -0.0755014-0.0500116j -0.0191271-0.0593391j -0.127629+0.00553392j -0.0565442+0.144475j 0.136265+0.0684778j -0.123122-0.00371362j 0.0151259-0.0279142j -0.0250484-0.00458667j 0.0266156-0.0397039j 0.0255622+0.0224664j 
0.0312941+0.00653066j 0.0131116-0.00451974j 0.0306838+0.0467918j -0.0224207-0.00562866j -0.0406879+0.0340753j -0.0371233+0.0193888j -0.0127284+0.0639752j 0.0388658+0.0618618j -0.0133105-0.0477541j 0.0317775-0.0108049j -0.0142126-0.00533808j 0.000747434+0.0189517j -0.00411233-0.0126643j -0.0134139+0.0282318j 0.0114818-0.0203971j 0.0422803+0.0424104j -0.0196387+0.0227483j 0.037355+0.00427033j -0.0230136-0.027451j 0.0435471-0.0315031j -0.0221145-0.0288421j 0.0384558-0.028365j -0.0495788+0.0343032j 0.0419369-0.0208059j -0.00702359-0.0593567j 0.0160535+0.0245104j 0.0677467-0.0558015j 0.00359964+0.0444455j -0.0588119+0.0386243j -0.00747617+0.020131j 0.00579426+0.0283099j -0.00919502-0.0660075j 0.0381409+0.0191953j 0.01816-0.0177947j -0.022816-0.0228256j 0.00265816+0.064016j -0.0113771-0.0507756j 0.00451137+0.0134666j -0.0374846-0.00327469j 0.065761-0.0482044j -0.00576167-0.0104775j -0.0286329-0.0436809j 0.0695132+0.0521273j -0.0347096+0.00334058j -0.0403461+0.012275j 0.0473326+0.00224485j 0.0143695-0.107511j 0.0390397-0.120979j 0.0389893+0.0292803j 0.0304112-0.0617354j -0.00430663-0.0644712j -0.0546068+0.0532998j -0.0354748+0.0574781j -0.0302805+0.0363051j 0.0178229-0.01585j -0.0024632-0.0410742j 0.0156407+0.0487136j -0.114708-0.0294724j 0.0162333+0.0203844j 0.0123969-0.0380714j -0.0355058-0.0308614j 0.0152511+0.017213j -0.0370032+0.028107j -0.0134223+0.0766142j -0.0294255-0.0160439j 0.0775453+0.0104043j -0.0505439+0.0341063j -0.0215603-0.00859981j -0.0229564+0.0579202j 0.024193-0.0617726j 0.116789-0.0369652j -0.057817-0.0265748j 0.0394327+0.00776679j -0.0139158-0.0396169j 0.0807135+0.0564345j -0.0482056+0.040411j -0.0672818+0.0230022j 0.0158007-0.011458j 0.00973048+0.0259196j 0.0380346-0.0564782j -0.0123842+0.0264863j -0.0529946-0.126922j 0.0213516-0.0498363j 0.016191+0.0109148j 0.00602859-0.0982936j -0.129359-0.0134907j -0.100589+0.0846441j 0.143746+0.139019j 0.119132-0.0664784j -0.0315207-0.0285286j 0.0358347-0.00491012j -0.0106761-0.0450346j -0.0628206-0.0668233j -0.00321309+0.0383437j -0.037714+0.0914016j 0.0325477-0.0529518j 0.00623921-0.0298318j 0.0187363-0.00406341j 
-0.00290675-0.0153649j -0.0809734-0.01672j -0.00495022+0.042956j 0.0325117+0.0586037j -0.0244214-0.0233045j 0.0326188-0.0323749j -0.0224283-0.0136736j 0.0275784-0.00215215j 0.0254788+0.0132121j -0.0149823+0.0361464j -0.0266124-0.0187576j -0.0675717-0.0453167j 0.0123206+0.0608942j 0.0122055-0.0513082j 0.0023609+0.0239981j -0.00965786-0.037652j 0.000428308+0.0174508j 0.00644796+0.0396661j -0.0406338+0.00541976j -0.0139278-0.0279j 0.0569869+0.0206398j -0.042053-0.0423597j -0.0041888-0.00284689j -0.0677482+0.0419593j -0.016263-0.00320163j -0.0288159-0.0172372j -0.0576754-0.0281173j -0.0325679+0.00231365j 0.00873072+0.0138617j 0.000772428+0.00595607j 0.0072769-0.0100296j -0.0313413-0.00691949j -0.0330945+0.0101426j -0.0636993-0.0362678j 0.0240617+0.0298777j -0.000696021+0.0318607j 0.0159456+0.066957j -0.00895199+0.066523j -0.0234502+0.00870768j -0.00844653+0.0243468j -0.0140743+0.0169434j 0.0132008-0.0187647j -0.0202775+0.00290206j -0.0160021-0.00633944j 0.0510595-0.0340766j -0.0468572-0.0454145j -0.0327352-0.0758259j -0.0169361+0.00924664j 0.0877993+0.00651858j -0.0742483+0.0191911j -0.0399194-0.0180842j -0.0794828+0.0247373j -0.0205481-0.0168484j -0.001724+0.0413393j -0.0380779-0.0143914j 0.0306604+0.0367863j -0.0322713+0.0841079j 0.0111045+0.0258651j 0.0530575+0.022695j 0.000196018-0.035962j 0.0444358+6.64719e-05j 0.0165218-0.0444246j 0.0105298-0.00368779j -0.0178954+0.0632483j 0.0122572+0.110693j 0.014645-0.0339421j 0.0535883-0.0325563j -0.0172023-0.0640937j -0.0279922-0.0018062j 0.0644797-0.0420196j -0.0519518-0.0661896j -0.00440123+0.0611822j -0.0271842+0.043739j -0.0295564+0.0929314j 0.00370251-0.0774017j 0.0971211-0.0278494j -0.0953762+0.00990678j 0.0052357+0.00425994j 0.0664875+0.0130179j -0.0397878+0.0314413j -0.0306295+0.0122007j -0.0872588+0.0101303j 0.0560056+0.0173632j 0.0565839+0.0325683j 0.0146096+0.0123506j 0.0168265-0.0728281j -0.149569-0.105306j -0.144822+0.0994292j 0.0929351+0.111076j 0.0781843-0.0714522j -0.0448475-0.0512624j -0.0840366+0.0887972j -0.0381006+0.0875904j -0.0315233-0.00830927j 0.00332675-0.0810029j 0.0174883-0.0586204j -0.0266043-0.0230448j 0.0336098-0.0483926j 
-0.0225803-0.00736832j 0.00416586+0.014952j -0.0149387+0.00480975j -0.048639+0.00404167j -0.00588176-0.00511226j -0.0189827+0.0337747j -0.000749772+0.0258801j 0.00109041+0.0331669j 0.00915944+0.0289714j -0.000531481-0.00143294j 0.0239809+0.0504226j 0.00483882+0.0378887j 0.061181-0.025975j -0.02387-0.00518776j 0.0301077-0.0393402j 0.0207238-0.0309183j -0.0389758-0.0257373j 0.0240159+0.00765335j 0.0150872+0.0253549j -0.0110082-0.00182371j 0.0595808+0.00211063j 0.00392731-0.0133598j 0.0148691-0.000934581j -0.0305022+0.0514185j -0.0173226-0.0580337j -0.0407181+0.0338305j 0.00715417-0.0590284j 0.00367968+0.00890415j -0.0237193+0.0435599j 0.0243658+0.0277811j 0.028606+0.0128732j 0.0414073+0.0400066j 0.0362556+0.0354849j 0.111482+0.0101964j -0.0350196-0.0420793j -0.0298535-0.00970388j 0.0678377+0.0762531j 0.0326934+0.0324869j 0.0169188-0.0494188j 0.0583023-0.0320125j -0.000395905+0.0133599j 0.0995253-0.0058906j -0.0486193+0.0738904j 0.0794787+0.0898589j 0.012426-0.0579189j -0.126824+0.02847j -0.00227992-0.0631666j 0.0479977+0.0019247j 0.0536319-0.115584j 0.0837792+0.0749441j -0.0899837+0.0364161j 0.02737-0.0438357j -0.128607+0.0683304j -0.085317-0.0919762j 0.0430397-0.10261j 0.0183301+0.0901j 0.0457071-0.0424792j -0.0547241-0.150986j 0.118255-0.0329623j -0.0260961-0.186467j 0.0456416+0.0216276j 0.0558428+0.0208316j 0.127375-0.0181497j -0.0374122+0.0466665j -0.0782143+0.091597j -0.153046-0.0385411j 0.0333176-0.052869j 0.0298902-0.00849336j -0.12295-0.0929228j -0.0664338+0.0684871j -0.0101452-0.0372244j -0.00811932-0.053144j 0.0270538-0.0389993j 0.0355498-0.0198149j -0.0539366+0.0459849j 0.00104858-0.0369984j 0.0043843+0.030852j -0.0271962+0.00951376j 0.0297647-0.0727647j 0.00936085+0.0326774j -0.0142335-0.00124407j -0.0143086+0.016035j -0.0311934+0.00883762j 0.0130368-0.0219445j -0.070714-0.0913186j 0.0307782+0.0248596j 0.0994975+0.0510551j 0.123885-0.0637809j 0.0377491-0.119772j -0.05338+0.01116j -0.0248729-0.111458j -0.072049-0.093936j -0.0912391+0.0208778j 0.00877773+0.000324227j -0.042734+0.023015j -0.0200105+0.0548086j -0.00574442-0.0241704j -0.0119751+0.00143067j 
-0.0349734-0.00721071j -0.00919172+0.00406551j 0.00451193-9.5657e-05j -0.00908299+0.0193768j 0.0075576-0.0211305j -0.00466939+0.0385839j 0.00853437-0.0166219j 0.0329782+0.0339413j -0.0204946+0.0166311j 0.00164087-0.0084361j 0.0414385+0.00521232j -0.0476579+0.057027j -0.0194286-0.021107j -0.048435-0.0286302j 0.0173306+0.0138427j 0.0335817+0.0302148j 0.0256101-0.0779533j -0.0338637+0.0173001j 0.0737278+0.0348899j 0.00510386-0.0116381j 0.071116+0.0118464j 0.0577101+0.0660385j -0.0729349-0.0258073j 0.0410841-0.0882437j 0.0163509-0.0838458j 0.0118481+0.0901259j -0.0291477-0.0302458j 0.0025905-0.0188214j 0.0225138+0.00615155j 0.0505086-0.0986054j 0.0342169+0.0809075j -0.083213-0.0529958j 0.074541-0.0250022j -0.00443013+0.0520129j 0.040102-0.00448952j 0.00146909+0.0383379j -0.0590397+0.0438791j -0.0353149+0.034107j 0.0238646-0.0202554j 0.000800867-0.0539146j 0.0416131-0.0436971j 0.103588-0.00532623j 0.033355+0.0697544j 0.0985313-0.0885241j 0.0407454-0.0607245j 0.0363239+0.133318j -0.0514441+0.0516804j 0.00727891-0.0314436j 0.0353852-0.0605019j 0.167249-0.00334805j 0.0887013+0.0963157j 0.0312898-0.10524j 0.00450231-0.0324123j -0.148851-0.0298564j -0.0476744-0.0468239j -0.116779+0.0391184j 0.0384486-0.0133894j -0.0388864-0.00613652j -0.00174366+0.0958555j 0.0711863+0.00823789j -0.0356897-0.023058j -0.0142504+0.136662j 0.0631999+0.0664336j -0.0763904+0.0426207j -0.055685-0.00824476j 0.0297634-0.0493535j -0.041921+0.0213052j 0.0790935+0.0884162j 0.0407878+0.01778j -0.0697982-0.0435356j 0.00558352-0.0281375j -0.0491786+0.00869142j -0.0246527-0.0587551j 0.0430705+0.0218081j -0.0784138-0.052391j -0.00103937+0.0816323j -0.0161572+0.0310552j 0.0130206-0.00842453j 0.0483736-0.0516266j 0.0547826+0.000636085j 0.0599487-0.0448748j -0.0670904-0.0454208j 0.0368863+0.0350874j -0.0430387-0.0729471j -0.00528033-0.0377729j 0.0171095+0.00698457j 0.0414844-0.0736147j -0.0170225-0.0119137j -0.0121743+0.0214362j 0.0387157+0.0339876j 0.0458067-0.0222696j 0.00549101-0.0683973j -0.0323976-0.0194364j 0.0236975+0.0113863j -0.00221311-0.0274045j 0.0237793+0.00113091j -0.00109327+0.0112369j 0.00385626-0.038749j 
