-0.014479-0.000931619j 0.0396844+0.00986468j -0.0036151+0.0110044j 0.0487847-0.041059j 0.00503216+0.00310011j 0.0142076-0.0154276j -0.0706325+0.00908706j -0.00146429+0.00443977j -0.00339753+0.0123102j -0.00779203-0.014553j 0.0162863-0.000789301j -0.00814864-2.79063e-05j -0.0252004+2.84536e-05j -0.0178023+0.0076522j -0.00262361+0.0193704j 0.0199349+0.011119j -0.0232754+0.00568753j 0.0341417+0.000189041j 0.00200234+0.0219429j 0.00900049+0.0153453j -0.00341373+0.00294939j 0.00032296+0.00597726j 0.00310505-0.00210983j -0.022302+0.00538124j -0.00792108-0.00099347j -0.00676247-0.00949548j -0.0309627+3.07095e-05j 0.00727819+0.00459213j 0.02069-0.00215991j -0.00549213+0.0135209j 0.024867+0.00402305j 0.00250814+0.00322649j -0.00608273+0.0103974j -0.0165114-0.0118088j -0.0183738+0.00481961j 0.007222+0.00601649j -0.00134338-0.000706234j 0.00217066-0.0101024j 0.0215891+0.00700413j -0.00895673-0.0134595j -0.0271148+0.00874585j -0.0234711-0.0333143j -0.0282116+0.0053554j 0.0189847-0.0168914j -0.0325963+0.00938383j 0.0284696+0.00616264j 0.0200641-0.00361466j -0.0203842+0.00012532j 0.00751778-0.0361724j 0.0335102+0.013764j -0.043191+0.0070093j -0.00473607+0.0162047j -0.0488145-0.0448045j -0.0115078+0.00817052j 0.0274423+0.0033962j 0.0209915-0.0414744j 0.0398611+0.0176852j -0.00106512+0.00208817j -0.0494738+0.0291041j 0.0640755+0.0285954j -0.0279778-0.0370602j -0.0285721-0.0297291j -0.0040684-0.0198774j -0.012233+0.00478177j -0.00174833+0.00258861j -0.0627489-0.0384245j 0.0263165+0.0268465j -0.00365072+0.0666491j 0.110406+0.084388j -0.00468865+0.066972j -0.146193-0.0963249j -0.000412246+0.0445106j 
0.0423067+0.0107104j 0.0144953+0.0024886j -0.0415961+0.0391689j -0.00380457+0.0054587j 0.0266664+0.00680432j 0.0481576-0.0180142j 0.00907502-0.00616057j -0.0460281+0.00670752j -0.00201902-0.0102069j -0.011098-0.0144321j -0.00916207-0.0107242j 0.00341914+0.00967631j 0.0100371+0.00336637j -0.0095711+0.000930961j 0.0362088-0.00280596j -0.00721508+0.00268032j 0.00502557-0.00294456j 0.0247212-0.0185159j 0.0367253-0.0091233j 0.00524855+0.0025255j -0.000360696+0.000777799j 0.0025886-0.00612121j -0.0234424-0.00290458j 0.0098514+0.0158315j 0.00196033+0.0128857j -0.0219574+0.00531787j 0.0110743+0.00607952j -0.0124533-0.00928639j -0.000971059-0.00216411j 0.0127254+0.0106692j 0.00361657-0.00888887j -0.00853394+0.00419229j 0.0105799-0.00194681j -0.00753563+0.011996j -0.0168731+0.0111236j -0.0157767-0.0112972j 0.00191057-0.00966147j -0.0160117-0.0100708j 0.0286336+0.00568637j -0.0106243-0.00600635j 0.0142741+0.000354157j -0.0471069+0.00131801j -0.00455782+0.0121567j -0.000938196-0.0183871j 0.0075659+0.00977189j 0.00674221-0.0163894j -0.00391386-0.0043921j 0.0453926+0.0312365j -0.0278272+1.83035e-05j -0.00153905-0.0131154j 0.00820349+0.0320847j 0.0278928-0.0101225j -0.0447381+0.0299995j 0.0375096-0.00219205j -0.0015106-0.027233j -0.0289053-0.0165666j 0.0165074-0.0466505j -0.0242932+0.0121095j 0.0763157+0.0433881j 0.0238183-0.0332048j -0.0421807-0.0246872j 0.000318323+0.0337724j -0.0141925+0.0150116j -0.00859424-0.00507532j 0.0490174-0.00113176j 0.0134271-0.00335001j 0.0580652+0.0661974j -0.0497462-0.027203j -0.0113308+0.0745077j -0.0992584-0.0829295j 9.61285e-05-0.0419583j -0.145942-0.0982892j 
-0.0537971-0.00104762j 0.0233345-0.00214458j 0.031059-0.0185685j 0.0171492-0.0326813j -0.00493894-0.0357458j -0.0395885+0.0503281j -0.00075458+0.0100432j -0.00541701-0.000542269j 0.0293057+0.00577928j 0.00381982+0.00126882j -0.00431659+0.00313851j 0.0261012+0.00245729j -0.0208118+0.0205458j -0.0019942-0.00349774j -0.0329259+0.0261799j -0.00697449-0.015579j -0.0241043-0.00855749j -0.0207391+0.0288105j -0.00991966-0.00493382j -0.0202563-0.00852248j 0.0094489-0.00557789j 0.0194907+0.0121467j 0.0146178-0.0153321j -0.00897452-0.00841722j 0.00102626-0.0127999j 0.025407-0.00477551j -0.00791195+7.59756e-05j 0.0106791+0.00012297j 0.0267359+0.00596453j -0.0159495-0.0089332j -0.0084634+0.0202848j 0.0326892-0.0116321j -0.00784061-0.0127548j 0.00186983-0.0122778j 0.0172362-0.0237528j 0.00245394-0.0168142j -0.0178468+0.00104191j 0.00631506+0.0267539j -0.0248412+0.0202754j -0.0100083+0.00347359j -0.0211567-0.0245571j 0.0133424-0.00848985j -0.0203117+0.0233064j -0.0215512+0.020989j -0.0297994-0.0171865j 0.00889818-0.0300567j -0.0269426-0.0118712j -0.0290925+0.00450148j -0.0389909+0.00377118j -0.00923511-0.0094837j 0.0362978+0.0239438j -0.000603908-0.00724448j 0.0548821-0.0424965j -0.00833192-0.000362692j -0.0279168-0.048196j -0.0266682-0.0286888j 0.0170346-0.0382026j -0.0398468-0.0464388j -0.016472+0.0025353j 0.0589349-0.00127436j 0.0453319+0.00431387j -0.00385205+0.045484j -0.0475025+0.0326556j -0.00783081+0.0278162j -0.0645258-0.0603255j -0.000928545+0.0530197j -0.066496+0.039539j -0.00525342+0.0085453j 0.0297774+0.00648756j -0.0352337+0.0783593j -0.0589437-0.0453279j 0.025153-0.000870047j 
-0.0155853+0.00115668j -0.0675705+0.00837656j 0.0161834-0.0480885j -0.0473219+0.0137675j -0.0170914+0.0548439j -0.0222252-0.00657343j -0.00255289-0.0105982j 0.0182737+0.00798888j -0.0232155+0.00904776j 0.0199456+0.0148948j -0.0024909+9.6885e-05j -0.000266057+0.00436385j 0.00557387-0.0214237j 0.023122-0.015592j -0.0140897-0.0160942j 0.0269185-0.00938874j 0.00937216-0.00324608j -0.0333392+0.00263636j -0.0207867+0.00130538j -0.00763693-0.00547277j 0.0240225+0.035989j -0.0255423+0.00413852j 0.00527741+0.0189216j 0.0252437-0.0266472j -0.00848948-0.00319326j 0.00782645+0.000367261j 0.017635-0.00973307j 0.0043819+0.00758933j -0.00585239+0.0198414j -0.00822846-0.00554426j -0.0293016-0.00938753j -0.0102934+0.0032439j 0.0225619-0.0113162j 0.0159065-0.00901617j -0.00913104+0.0033863j 0.0138114+0.017169j 0.0197892-0.00738135j 0.0124805+0.0130921j -0.0288835-0.0058678j -0.000634307-0.0140884j 0.0150853-0.0130137j 0.0216191+0.00643009j 0.0278356-0.017845j 0.0134758+0.00100598j 0.0429309-0.0143375j 0.00433324+0.00677509j 0.0148529-0.0443613j 0.00586015-0.0168409j -0.018461-0.00694547j 0.00668547+0.0178493j -0.0110339-0.0129154j -0.00505457-0.0262559j 0.0569964+0.00804237j -0.025023+0.00858804j 0.0106956+0.00227004j 0.0309714+0.0107008j 0.0190351+0.00295921j 0.0613057-0.0286308j 0.0408247+0.0216953j 0.0188536+0.0667334j 0.0319719+0.0459839j 0.00542599-0.0127848j -0.0383331-0.0022789j 0.00912196+0.0262988j -0.00894036+0.0984206j 0.147715-0.00277584j 0.0430909+0.0410388j 0.0285258+0.077607j 0.032638-0.103944j 0.0299347-0.010056j 0.0403298+0.00571694j 0.075896+0.0518355j 
0.0159057+0.00645373j -0.018326-0.013627j -0.0144131-0.00371044j -0.0360592+0.0448127j 0.00934662-0.0155108j -0.0113686+0.0250427j 0.0798573-0.000744863j -0.00135502-0.0288866j 0.0129895-0.00319423j -0.0159016+0.000742504j -0.00868681-0.00758259j -0.0012622+0.0106499j 0.0144479+0.0239266j 0.0291095-0.00675535j -0.0139675-0.0148202j -0.0471203-0.00931187j 0.0424482-0.0104941j -0.025982-0.021458j 0.00932299-0.0520446j 0.00223933-0.0284115j -0.0245517+0.0217572j 0.0153658-0.018425j -0.00170555-0.00697206j 0.0649541+0.0121228j -0.0023554-3.77351e-05j -0.0150995+0.0181807j 0.0360719+0.0258722j -0.0424315-0.021535j -0.0418131+0.0147606j -0.00699848+7.40551e-05j 0.00972468-0.0286937j -0.00348582-0.00913023j 0.0206536-0.0168855j 0.00260048+0.0293836j -0.0146724-0.0440378j -0.0198918+0.00694244j -0.0176331+0.000354097j -0.0119369-0.00948j -0.0110073-0.00194171j -0.017532+0.00179329j -0.0227162-0.00702558j -0.00144556-0.00556486j 0.0145486-0.0208867j -0.00116269+0.0192906j 0.0194228+0.00665328j -0.0802596-0.0301228j -0.030002-0.00865502j 0.0367278-1.59857e-05j 0.0100019+0.0554054j -0.0515535-0.0377181j 0.0425151-0.0209295j -0.0226563-0.0335276j -0.0113349+0.0405059j 0.0288018+0.0145747j -0.0375648-0.0254045j 0.00356586+0.0629613j -0.035327-0.0427969j 0.00144484+0.0251523j 0.0493113-0.0350665j -0.0201279-0.0268177j -0.0268737-0.00698813j -0.0302256+0.0590407j -0.0308372+0.00186916j -0.00314607+0.00509145j 0.0257197-0.00522231j -0.00284786+0.0272489j -0.0283395-0.007466j 0.0112012-0.0898554j -0.119544-0.0286285j -0.00144231-0.0866084j 0.0678678+0.0270899j -0.0566413-0.0334728j 
0.0207656+0.0147922j -0.00209617+0.0136383j -0.0279866+0.0241902j 0.00305991+0.00274094j 0.0215356+0.0133642j 0.0396951-0.0126551j -0.00278413-0.0337025j -0.0464157+0.00932244j 0.0218752-0.0116401j 0.00185895-0.00107725j -0.00967882+0.0114495j 0.0108416+0.00463603j 0.026394-0.00321609j -0.010169-0.00818711j 0.0307801+0.0146142j -0.028307+0.0188503j 0.00488292-0.00477386j 0.0320114-0.0230694j 0.0333918-0.00512528j 0.0373457-0.00313369j 0.00756357-0.0213965j -0.028128-0.0149202j -0.0200398-0.00434125j -0.00338338+0.0389314j 0.024824+0.0184639j -0.000997566-0.00384279j -0.00812561+0.0136578j 0.0319655-0.0292936j 0.00706044-0.0156781j 0.0430813+0.0317388j 0.00390935+0.00343124j -8.36487e-05-0.00641406j 0.0285927+0.0116781j -0.0367322+0.0108233j -0.00339441+0.0108395j -0.034915-0.0177698j -0.0127345-0.0377032j -0.0190669-0.00693932j 0.0371991+0.0429298j -0.0517684-0.0331994j 0.00327507+0.0134076j -0.0398495-0.0176047j -0.0303679+0.00230682j 0.00556809-0.0340342j -0.00664594+0.00741908j 0.0357092+0.0235093j -0.0385848-0.0121187j 0.00243286-0.00550178j -0.0298797+0.00118295j -0.009179+7.81351e-05j 0.00987516+0.0595187j 0.0118116-0.0177726j -0.0306795+0.0140823j 0.0497804+0.00580826j 0.0221621-0.0134758j -0.0038756-0.0400128j 0.00104636-0.0825661j 0.00827632-0.00123575j 0.01877+0.0296928j 0.0298268-0.01849j 0.00243893-0.0350262j -0.0387638+0.00279626j -0.0157641+0.0182973j -0.0751847-0.00844649j -0.00915609-0.00832361j 0.0390219-0.0116205j 0.0220725+0.0825887j -0.0459764+0.0267365j 0.00168342+0.0703945j -0.104747-0.0388557j -0.04733-0.0285485j -0.0496482-0.0159972j 
0.0546567-0.0240073j -0.0116317+0.00386659j -0.0200733-0.000200084j -0.00395808+0.073577j -0.00854962-0.0287039j 0.0117212+0.0129316j 0.0542849-0.0124089j 0.0121144-0.0239878j -0.0234582+0.000314224j -0.0265802+0.0028672j 0.0217564+0.0110334j -0.0386005-0.0155523j 0.00380255-0.0300774j -0.00625946-0.0142689j 0.0261889-0.047734j -0.00468085+0.0293263j -0.00723646+0.0109194j 0.0172367+0.00551753j 0.0114497-0.0201779j -0.00985725+0.00470746j -0.0163182-0.00978892j -0.0130014-0.0187541j -0.0118201+0.00349581j 0.0113366+0.000606151j -0.00325783-0.0191776j -0.0468001-0.0108049j -0.00585251-0.0224476j -0.0159982+0.0355954j -0.0442184-0.0122503j 0.011131-0.00159341j 0.00667779-0.0119532j 0.00146262+0.0072646j -0.0304465+0.00855785j 0.0415384+0.0131906j 0.0344632+0.0184106j -0.00251423+0.00157735j 0.00799059+0.0201668j 0.00309032-0.00900713j 0.0101977-0.0167536j 0.020379+0.0363171j -0.027888+0.0144202j -0.0257729+0.00360312j 0.00113717-0.0016074j -0.0332209+0.0136786j 0.0186169-0.0134872j -0.0208506-0.00553891j 0.0219368+0.0340456j -0.0114909-0.0239043j 0.0338199+0.0109547j 0.00926515-0.0200277j 0.00902571-0.0654431j -0.0160489-0.0302274j -0.0292833+0.0249784j 0.0226939+0.00143791j 0.0224876+0.0130813j -0.022021+0.0470704j 0.00258565+0.00810208j 0.0211896+0.0121398j -0.0216429-0.0328425j -0.00105491+0.00641j -0.0399948-0.0258505j 0.0403272-0.0163289j 0.00524603-0.0518521j 0.0443913-0.0363934j 0.0884611+0.0120674j -0.0328658-0.0524707j 0.0757107-0.0463289j 0.0695639-0.0340762j -0.0105448-0.0425732j 0.0342742-0.0283863j 0.0458975+0.0532021j -0.00550261+0.0307113j 
-0.0116163+0.00698518j -0.0454776+0.0227656j 0.00824916-0.0406903j -0.0591648+0.0234772j -0.0020274+0.00792079j 0.0175128+0.0645608j 0.0131316-0.0473646j -0.0288661+0.0356781j -0.0166754+0.0228545j -0.0195266+0.0036542j 0.0179334+0.0216499j -0.00974835+0.0252261j -0.0429183-0.0283095j -0.0348975-0.0305864j -0.00031128-0.0422977j 0.00903038-0.0154959j -0.00704009-0.0221357j -0.040636+0.0266292j 0.00482498-0.05288j -0.00757836-0.00307215j 0.00827285+0.0151647j -0.0093429+0.00913724j -0.0116195+0.0471219j 0.044887-0.0224583j 0.0181178-0.0205913j -0.0362073+0.00801962j 0.0202254-0.0359911j -0.00513358+0.0134659j -0.0118666-0.0115071j -0.00856658-0.0183822j -0.0013974-0.0093707j 0.0273198-0.00556822j -0.00578192-0.0291964j 0.0163706-0.0130193j 0.037144+0.032811j 0.0124189-0.0191915j 0.0016309-0.0234279j 0.0437537+0.0443366j -0.0287653-0.010938j 0.00149566+0.028013j -0.0419281-0.0444556j -0.0640375-0.0240088j -0.0180631+0.0159146j 0.0264324+0.0179478j 0.0350772-0.0102643j 0.00811939-0.0402985j -0.0132932+0.00234443j -0.00211596-0.043547j 0.00396932+0.0141518j 0.0455196-0.0164404j 0.0415017-0.0130446j -0.0625928-0.0358318j 0.0324014-0.0426144j 0.0460704+0.00283529j 0.0276206+0.0285084j -0.0188359+0.0172513j 0.0239096-0.059875j -0.0354217-0.0849981j 0.0384549-0.0690758j 0.0842289+0.0476267j -0.0686819+0.0156954j 0.0307382-0.0787929j -0.081059-0.00655362j 0.0624016+0.0135374j -0.0479624-0.038191j 0.0288315+0.0910358j -0.038477+0.0577612j 0.00832152+0.0407323j -0.0242079-0.101395j -0.000666719+0.0229035j 0.0204164+0.000359812j 0.0201235+0.00577542j 
-0.0427805+0.0241963j -0.0472376+0.0261165j 0.0364222-0.0897269j -0.0201266-0.010604j -0.0425256+0.00784786j -0.0153725+0.0266327j -0.00472173+0.0206379j 0.0212052-0.0266112j -0.0397485+0.021927j -0.00033263-0.0136507j 0.00790597+0.0389871j -0.0234939+0.0226471j -0.0130688-0.0334505j -0.0405478-0.0149473j 0.0175746-0.0242344j 0.00507196-0.0060197j -0.00260979-0.0142366j -0.0155334+0.033718j -0.0315495+0.0256474j -0.0353067-0.00449358j 0.0240935+0.0144626j -0.0388281+0.00263246j 0.0141745-0.00689961j -0.0166946-0.0163538j 0.00947063-0.0108273j 0.00470135+0.0183685j 0.0168562-0.0173632j 0.0229806+0.0133798j 0.023286+0.0445792j -0.00241492-0.00266575j -0.0178849+0.025544j 0.0171641-0.00962218j -0.0413255+0.0118238j 0.00259865-0.0249515j -0.00791718-0.0212587j -0.00678743+0.0168794j 0.0336029+0.00535872j 0.00322798+0.00634142j -0.0183586-0.00310875j 0.0090535-0.0540791j -0.0100223+0.0233361j -0.0144234+0.0356335j 0.0152147+0.0374985j -0.0018066+0.0353216j 0.0238931-0.0426037j 0.0164878+0.0442357j 0.00586259+0.00673555j 0.0134542+0.0272501j 0.00220241-0.0390558j 0.022059-0.00313435j -0.0327545-0.0537909j 0.0129049-0.00643829j 0.0124239-0.00593232j -0.00412755-0.00928684j -0.0367325-0.022602j 0.0329349-0.0453308j 0.0146263+0.0148311j -0.0347268+0.0622797j -0.0420251+0.0613339j 0.0430432+0.0194274j 0.0586852-0.0852454j 0.152119-0.00283809j 0.0246141-0.0541445j 0.0556048+0.0638334j -0.0208323+0.029703j 0.0561838+0.0121724j 0.0322842-0.00651841j -0.00333569+0.0175027j 0.0491398-0.011932j 0.036585+0.10554j -0.00876787-0.0385054j 0.0565881+0.0516147j 
0.0294432+0.0028117j -0.0371127+0.00454737j -0.0262352-0.0127442j -0.0138131+0.0357973j -0.000565408+0.0640936j 0.0314602-0.053033j -0.0310088-0.0289178j 0.0509753+0.00123504j -0.00839127+0.00190856j -0.0201782+0.0283108j 0.016525+0.000335168j -0.0272704-0.043259j 0.0291666-0.00974669j 0.0391153-0.0445156j 0.00653642-0.0302764j -0.00347851+0.0373053j 0.0326142+0.0298458j 0.0540589-0.0415157j 0.0128123+0.0110287j 0.0230442-8.02378e-05j 0.0444486+0.0396563j -0.07695-0.0484229j 0.00478172-0.0179046j 0.033015-0.0024307j -0.0134461-0.000880338j -0.0339539-0.0536437j 0.0258914-0.0118627j -0.0250022+0.0385644j -0.0655752+0.012595j 0.0549849-0.00417222j -0.00836227-0.0642278j -0.0243541+0.0129235j -0.00988637+0.0395105j 0.0794871+0.0449444j -0.0233234+0.0660018j -0.00576636+0.0512152j -0.017837+0.0147783j 0.017572-0.0583822j 0.0158897+0.000729261j -0.0704681+0.0165536j 0.0074419-0.0139321j 0.0400385+0.0375385j 0.0447749-0.044236j 0.00734508-0.0473356j 0.0124191+0.0356525j -0.021905-0.0106133j 0.0881203-0.0335742j 0.00279096+0.00780952j 0.0170065-0.000796817j 0.0157482-0.0225163j -0.0366874-0.0731505j -0.0199056-0.0180089j -0.0501131+0.0178471j -0.0422761-0.0015787j 0.0324651+0.0561551j 0.0699022+0.0332532j -0.00878417+0.0801669j 0.0544651+0.00509698j 0.00672368+0.010883j -0.0600203+0.0123491j -0.0384167+0.00140496j -0.020393-0.0330952j 0.00811184+0.0139123j 0.0102424-0.0399734j 0.0574988+0.0737473j 0.0381556-0.0890464j 0.091617-0.0237555j 0.0400214+0.0166233j -0.0112409-0.048871j 0.0460477-0.0476513j 0.0127566-0.00963002j -0.0223075+0.0442334j 
0.00801004-0.0198107j -0.0394642-0.00224871j -0.043238-0.0217418j -0.0126294+0.0255039j 0.00336159+0.053173j -0.00798937-0.0309056j -0.00784121+0.00191121j -0.0073593+0.0115456j -0.0224034-0.00905555j -0.000716204+0.021673j -0.0333694-0.0314299j 0.0161016+0.00305666j -0.000198838+0.0331399j 0.0595165-0.0531753j 0.0034383-0.0162422j -0.0111058-0.0266929j 0.0286342+0.0133415j -0.0226905-0.0232699j 0.00401644-0.00028541j -0.0237457-0.0214721j -0.0058052+0.071567j -0.0689403-0.0454781j -0.0146944+0.0186361j 0.0546659-0.00122504j -0.0231444+0.0144258j -0.00810966+0.0174879j 0.0574226+0.043267j 0.0397316+0.0118344j 0.0273055+0.0643655j -0.0254729-0.0262018j -0.0363508+0.0276589j 0.0359944-0.0475579j 0.040624-0.0175984j -0.040256-0.029642j -0.0749542+0.0198159j -0.0384277+0.0130477j 0.0124479-0.0582062j 0.0151212+0.0542464j -0.0553883+0.0600701j -0.0116746-0.12343j 0.00808898-0.00257955j -0.0586357+0.00244882j 0.0220762+0.0192139j 0.0462688+0.00366693j -0.0319864-0.00536318j 0.038784+0.00797267j 0.0272252-0.0318774j 0.015259+0.0292732j -0.0538068+0.0247379j -0.011289+0.00873685j 0.0198731+0.016098j -0.020568-0.0659741j 0.029422+0.0193654j -0.038453+0.0116672j 0.0369234-0.00171786j 0.0502182-0.017155j 0.0353754-0.0489806j 0.0532597-0.0393074j 0.0818921+0.103704j 0.0341402+0.0289753j 0.0109357+0.0907912j -0.0351265+0.0487815j 0.00112637+0.0965184j -0.110503-0.0446793j -0.0392245+0.132631j 0.183232-0.0400388j 0.0941229+0.125355j -0.0365774+0.072307j 0.0603997-0.0362233j -0.0351488-0.0466613j 0.016842-0.0512662j -0.0144973-0.00409764j 
