0.0281294+0.00743477j 0.00549235+0.00273481j -0.0216893+0.0184867j -0.0189731+0.0168438j -0.00565772+0.000219356j -0.0173885+0.000512743j -0.0375209+0.0107575j 0.0276806-0.00523795j -0.00562244+0.00514284j 0.00626416-0.0038617j 0.013742+0.0063958j 0.0229605+0.00310236j -0.0340958-0.000419848j 0.00308598-0.00244275j -0.0142234-0.0111764j -0.0149623-0.0053977j -0.00908126-0.00417174j 0.0112191+0.0033393j 0.0295559-0.00273985j -0.00753719+0.0158092j 0.00607662+0.00764105j -0.0110549-0.00335602j -0.015034-0.0142662j -0.0048011+0.00665894j -0.00650928+0.0183803j 0.0145197+0.00222835j -0.0423968-0.00151166j -0.000884147-0.0178536j -0.00436652+0.00672081j -0.000439323+0.00334022j -0.00485925+0.0181538j 0.0107798+0.0169228j -0.00783186+0.00277895j -0.0265796+0.0176989j -0.0333266-0.00868731j -0.0185062+0.0103856j -0.0123855-0.0191556j -0.0191385-0.0556309j 0.0352383-0.0227239j -0.0280548+0.0117725j 0.0274431+0.0108338j 0.0216893+0.0267554j -0.0516678-0.0115848j 0.00950223-0.00679866j -0.0272839-0.0224305j -0.0135713+0.00219303j -0.0045924+0.0241392j -0.00782519+0.0105396j -0.0124182+0.0026198j 0.0542224+0.02499j -0.0157568-0.00812131j -0.00606304-0.0466614j -0.0761464-0.0579313j -0.00518656-0.0472173j 0.115753+0.0814781j -0.00347238+0.0347125j 
0.00599866+0.00280788j -0.0282239-0.00803838j -0.0179296+0.0158505j 0.0219006-0.0196707j -0.0129021-0.00262242j -0.0157458+0.0127944j 0.0303976-0.00796959j 0.0285673-0.00474593j 0.0171184+0.00111425j -0.00383013-0.00994584j 0.0045931-0.0052305j -0.0239466+0.00762474j -0.0134871-0.00653326j 0.0373987+0.00669736j -0.000883804+0.0015193j -0.00699425+0.0047296j -0.00260147-0.000616018j 0.0182087+0.0100355j -0.0061019+0.0172132j -0.0103518-0.00301166j -0.0137397+0.0104508j 0.0186107+0.0150166j 0.0107503-0.00926565j -0.00767111+0.000665478j -0.00986596-0.0135637j 0.0236056+0.00507701j 0.00949965-0.00881847j 0.0175414+0.018354j -0.00613461-0.00774012j -0.00155056+0.0193428j -0.0390485-0.0136271j -0.0192521+0.00872064j -0.00932372-0.00175911j -0.00408654-0.0145242j -0.0152624-0.0220842j -0.00800962-0.00809837j 0.0239032-0.00591439j 0.0505865-0.0133435j 0.029897+0.024663j -0.0177639-0.0319148j -0.0360661+0.0215272j -0.0347953+0.0223485j -0.00906346-0.0344386j 0.0265671+0.0178521j 0.0167746+0.00627647j -0.0212346-0.025455j -0.0134208+0.00652063j 0.00792216+0.000298649j -0.0404466+0.00336855j 0.00266963-0.00140953j 0.0435117+0.0544377j -0.0320564-0.00754719j 0.00360586+0.0499034j -0.0712933-0.057359j 0.00315998-0.0342309j 0.115728+0.0816091j 
-0.0318122-0.00276922j 0.0210089-0.000931732j 0.0185974-0.0216364j -0.00707785+0.000504117j 0.00944855+0.00157657j 0.0223872-0.0367776j -0.00574153+0.020735j -7.13243e-05-0.00710051j 0.00808398-0.00485884j 0.00223716+0.000967923j -0.0364769+0.0192067j 0.0193736-0.0253967j -0.00807124-0.00741907j -0.00948744-0.00553005j 0.003144+0.0129618j 0.00670566-0.0164912j -0.0218286+0.00101363j -0.0290631+0.00510337j 0.00597315-0.0275057j 0.0177345+0.00922446j 0.0233164+0.00728797j -0.0157382+0.00678653j -0.0185604+0.00887108j 0.0176544+0.0124988j -0.0120938+0.0233787j -0.0400601+0.0158621j 0.00503575+0.019383j 0.00404756-0.000915392j -0.00984555+0.00688009j 0.0442084+0.00281733j -0.00609004+0.0071703j 0.0315675+0.0196802j -0.0170957-0.00482803j -0.00385754+0.00316887j 0.0247384-0.0146772j -0.039501-0.00539102j -0.0220708-0.03023j -0.0217754+0.0283346j 0.020915+0.0283811j -0.0200247-0.0375091j -0.00578108-0.033665j -0.0310673+0.0585253j 0.0524035-0.00470907j -0.0230541-0.00173385j -0.0294666-0.00573731j 0.00949555-0.0221489j -0.0340726+0.0359109j 0.0130893-0.0357386j 0.0623013+0.0400113j 0.0123321+0.0289951j -0.0287177+0.0398504j 0.0110195+0.00865952j 0.00958677-0.000650633j -0.0401926+0.0566088j -0.0527299-0.0394575j -0.0118981+0.000672432j 
0.0284564-0.00291912j 0.0350028-6.39569e-05j -0.00959181-0.00449587j -0.0259483+0.0232897j 0.000109201-0.0347949j 0.000745481+0.0289614j -0.017289-0.00275818j -0.0127175-0.0032565j 0.00456366-0.00288393j 0.0153068-0.0125357j 0.0114773-0.016405j 0.0154434+0.00225177j -0.0142969+0.0108725j -0.0253348+0.0035925j 0.00814011-0.00827186j -0.00907514+0.0190059j 0.0263066-0.0107669j 0.00687041-0.0164821j 0.0307287-0.00303287j -0.0131024+0.0197939j -0.032941-0.0052002j -0.0174139-0.00289048j -0.0103761-0.000286532j -0.00197277+0.0119613j -0.0181067-0.000427418j 0.0122322-0.00807423j -0.00777525-0.00276135j -0.0048036+0.00204464j 0.0084865-0.00254623j -0.0181842+0.0271169j -0.00743014-0.00713137j -0.0268058+0.0135153j -0.00154493+0.0201179j -0.0214517+0.0104659j 0.011592+0.0357354j -0.0229431-0.0476896j 0.02295-0.00958976j -0.0407435+0.00827619j -0.0222271-0.00155916j 0.0105632-0.0233875j 0.0489174-0.0213119j -0.0424768-0.0294297j 0.0050798+0.0246181j 0.0248609+0.00769608j -0.0374273-0.0105416j 0.00669566+0.0110713j -0.0128551-0.0234129j -0.0162251-0.0317593j -0.000965422-0.0735231j 0.103265-0.00426031j 0.0274743+0.0241242j 0.0109572+0.0700721j 0.0395132-0.0661456j 0.00774273-0.00909727j 0.0125946-0.000701527j -0.0621066-0.0459035j 
0.040116+0.00686465j 0.00134181+0.0132696j -0.0373847+0.039458j -0.0192717+0.0462977j -0.00680452+0.0203445j -0.0363634-0.00824598j -0.0685974+0.0393973j 0.0462855-0.00648098j -0.0189577+0.0129877j 0.00614896-0.00163098j 0.0282391+0.00965468j 0.0341113-0.00128584j -0.0385592+0.00428514j -0.00430204-0.0132128j -0.0259431-0.0223716j -0.0244019-0.020223j -0.0345894+0.00574258j 0.0325356+0.00862502j 0.0322628-0.0169767j 0.00151207+0.0181125j 0.0292827+0.0133965j -0.0234467-0.0106984j 0.000853017-8.85589e-05j 0.0105832+0.00635369j -0.0021788+0.0380758j 0.00487729+0.00553396j -0.0677857-0.00364001j -0.00983587-0.0402507j -0.0125875+0.00811984j -0.0158357-0.0097134j 0.0190168+0.0446632j 0.0298526+0.0128471j 0.00331005-0.00690918j -0.0479998+0.0361002j -0.0632507+0.00957836j -0.00187719+0.0281629j -0.0428391-0.0236824j -0.0347348-0.122095j 0.040824-0.0584974j -0.0537101+0.0182116j 0.0572678-0.000723461j 0.0370914+0.0220117j -0.0706549-0.0111894j 0.0342601-0.0213367j -0.000388198-0.0489695j -0.0285311-0.0348183j -0.0347253+0.00946124j -0.00875546+0.0143808j -0.040267-0.0138182j 0.0435375+0.0223158j -0.0181121-0.029559j 0.0465874-0.0932594j -0.134675-0.11166j 0.0459575-0.0888907j 0.147447+0.0974256j 0.00192887+0.0125285j 
0.0150368+0.0113438j -0.0326766-0.0106349j -0.0263747+0.0407831j 0.0337928-0.0346966j -0.0262833-0.00632092j -0.0224214+0.0293991j 0.0457397-0.00669857j 0.0575153-0.0245057j 0.0317441+0.00279427j -0.00105763-0.0157563j 0.00111765-0.00818176j -0.0213973+0.0127558j -0.0435686-0.00534301j 0.0708306+0.00613078j -0.00418898-0.00110373j -0.0180719+0.0090032j -0.0109706-0.00569623j 0.0253749+0.0212624j 0.00566198+0.0236941j -0.0190938+0.00556534j -0.0255319+0.0277635j 0.0194729+0.0254696j 0.0103088-0.0122596j -0.0108129+0.0271845j -0.0125687-0.0178025j 0.0364792+0.00885726j 0.00311954-0.00284291j 0.0283087+0.0282279j -0.00658549-0.00942303j 0.00103467+0.0288125j -0.0594195-0.000338226j -0.0301376+0.027966j -0.0257047+0.0049038j -0.0156921-0.0171677j -0.0461662-0.0688982j -0.0263932-0.00694655j 0.0271494-0.0258126j 0.0909634-0.0507013j 0.0622582+0.0311419j -0.0359634-0.0615248j -0.0548508+0.0312814j -0.0404889+0.0678191j -0.0218263-0.0633835j 0.0602268+0.0579597j 0.0324279+0.027359j 0.0355658-0.0347374j -0.0286055+0.00579353j 0.0419736+0.0127016j -0.0394304+0.00689497j 0.0233489-0.00243153j 0.0300406+0.106182j -0.0622289-0.0148604j -0.053243+0.0861684j -0.140349-0.125965j 0.00205646-0.0182586j 0.145184+0.0963786j 
-0.0106357+0.0102675j 0.0339431-0.00224772j -0.00656988-0.0124815j -0.0226711+0.000323783j -0.00964684-0.0400145j 0.0158925+0.00664641j -0.00551398+0.00212165j 1.75595e-05-0.00766466j 0.00732546+0.00240241j 0.0102816-0.0119851j -0.0163499+0.00444004j 0.0347241-0.0111091j -0.0252014-0.00431348j -0.0170749+0.0132854j 0.00206641-0.0110327j 0.00110734+0.00720278j 0.0239056-0.035804j -0.0334832-0.00139666j 0.0350681-0.00967342j -0.0353182+0.020093j -0.0152382+0.015116j -0.0172599+0.00135381j -0.0348915-0.0359148j -0.00698955+0.027754j -0.00785561+0.00872j 0.00951389+0.0058354j -0.0420744+0.00377024j -0.00423056-0.0106321j 0.0029547+0.00739462j 0.00914639-0.0034483j 0.011774+0.00803264j 0.000111502+0.0309239j 0.00305256+0.0171391j 0.0135687+0.0132729j -0.0158682-0.0276084j -0.0606002-0.00673049j -0.00453069-0.0197993j -0.0370172-0.0110773j 0.0145275+0.0207663j -0.0027128+0.056595j 0.0211857+0.0234159j 0.0405633+0.0121679j -0.0467707-0.00351279j 0.0143404-0.0130107j 0.00394121-0.0241725j 0.0141058+0.0101741j -0.0349076+0.0293367j -0.00590565-0.0463341j 0.0690338+0.0141557j 0.0397523+0.0881911j -0.084817+0.0192213j -0.0540329-0.00906245j -0.0646143-0.0565877j 0.0102928-0.0201283j 0.032287+0.0161496j -0.0112686+0.0268538j 
0.0061317-0.00730214j -0.0208148+0.0119628j -0.0149563+0.0305433j -0.00268623-0.0134734j -0.0219532-0.0133484j -0.00665177-0.00336909j 0.0168158+0.0154738j 0.0232286-0.0308174j 0.0117921-0.0249213j -0.0133232+0.00788143j -0.0218234+0.00184932j 0.0095692+0.00493316j 0.000987215-0.00484999j 0.00772335-0.012372j 0.0181637-0.0236637j -0.00597481-0.00987078j -0.0162788-0.02261j 0.00320816+0.00887505j -0.0161976-0.00536952j -0.0097568+0.0015978j -0.00796109+0.0602982j 0.0148312-0.00752302j 0.0304989+0.0403588j 0.0451656+0.0390745j 0.0242851+0.00858961j -0.0313398-0.00357179j 0.0420891+0.0197503j 0.0207351+0.020203j 0.0183501-0.00583788j -0.00777594-0.0119119j 0.0504229+0.0639505j 0.0201337-0.0182377j 0.0560434+0.00228223j 0.00209813-0.0116955j -0.00565629+0.00764919j 0.00457351+0.0123295j -0.0426489-0.0117354j 0.0283837+0.00722165j -0.0111362-0.0265818j 0.0257557+0.0207369j 0.0141792-0.0440165j -0.0184322+0.0307773j 0.0156173+0.0735504j 0.0387912-0.0212583j 0.0666675-0.0252788j 0.00963735+0.0756242j -0.0561574+0.0186807j 0.00792989+0.0168751j 0.0131619+0.0278193j -0.0409181+0.0124284j -0.0475113+0.00735596j 0.0313813+0.0235901j -0.0128089-0.0562853j 0.0032075-0.00378534j 0.00820836+0.033484j -0.00471552-0.00913817j 
-0.0298384+0.0148563j -0.0448045+0.0181022j 0.0110972+0.00732199j 0.0354171-0.0454916j -0.00164163+0.0203252j 0.0225024+0.0147615j 0.019015-0.0408575j -0.00732885+0.0229829j -0.00199386+0.0114157j -0.0048506+0.0379876j -0.00721405+0.0197404j 0.0165889+0.00594471j -0.0202393-0.0157831j 0.00211726+0.0232975j 0.00711936-0.00394216j 0.0449034-0.0231016j 0.00791017-0.00225588j -0.0404201+0.00608836j 0.00854708+0.0115551j 0.0226367-0.00125729j -0.0256887-0.0306992j -0.000297164-0.007867j -0.0330295-0.0226328j -0.0435434+0.0319798j 0.0176902-0.0183478j 8.66707e-05-0.00736086j -0.0293682+0.000247305j -0.00376311+0.0297715j 0.0158842+0.0353814j -0.0120638-0.00196944j 0.0297708+0.0244852j 0.0013214+0.0187724j -0.0535847+0.0156331j 0.0155531-0.0493483j 0.0068886-0.0260111j 0.0445417+0.0314055j -0.0104456+0.0138836j 0.00994643-0.0117645j 0.010962-0.0123886j 0.0274923+0.0370904j 0.0444881+0.0385767j 0.0468963-0.0024218j -7.62579e-05-0.0490833j 0.00216643-0.0344805j 0.0236725-0.0621676j 0.102519-0.00603246j 0.0323205+0.0743809j 0.026043+0.0254298j -0.0397114-0.00443625j -0.0290832-0.0601801j -0.0117659-0.0564372j 0.00485913-0.0317306j 0.00122671+0.0484927j 0.00563785-0.063003j 0.00646741+0.0275132j 0.028296+0.0327982j 
-0.0405872+0.0151914j -0.00421192-0.0136939j 0.0280616-0.00761728j -0.0258884-0.0215993j -0.0138735+0.0128245j -0.000773713-0.0486953j 0.00951581+0.013387j 0.0103772-0.00839994j -0.00743647+0.0225472j -0.0309407-0.00231399j -0.00865671+0.0104319j 0.00399908+0.00440475j 0.0367158-0.0115545j 0.0171032-0.00471806j -0.0200334-0.00604236j 0.0128684+0.00269641j -0.0123741-0.0440691j -0.0345626+0.0217056j -0.0332664-0.00116406j -0.0298108-0.0111699j 0.0546806+0.0276231j 0.013006-0.0124488j -0.0319515-0.0382172j 0.00819088-0.0348239j 0.0115054-0.0211818j 0.0210496-0.0143697j -0.0339375+0.0102168j -0.00560483-0.0106913j -0.0362825+0.0119528j 0.0211544-0.0443412j 0.00946098-0.0232559j 0.0465802-0.0234204j 0.028717-0.0265026j 0.0463766+0.00247268j -0.0145524-0.0186799j -0.00146123+0.102591j 0.00679965-0.00267906j 0.0370322+0.00569022j 0.0466612+0.0447537j 0.0234783+0.0351002j -0.0120357+0.0685585j 0.0507416-0.0100385j -0.0258335+0.0287977j -0.0678475+0.0174494j 0.0205739+0.0563874j -0.0659162-0.0314684j -0.0267022-0.0554303j -0.0215628+0.0245178j -0.00788334+0.130136j -0.128885+0.0586492j -0.0859098-0.0387864j 0.00569029-0.0509313j -0.0525015+0.0641151j 0.0196859+0.0451734j -0.0188864+0.0236372j 0.0171659+0.0213942j 
0.0555661-0.00115176j -0.0342585+0.0121081j -0.0130114+0.0499932j 0.00909321+0.00789933j -0.0230458+0.0073041j -0.0304279+0.0642662j -0.00975042-0.0258175j -0.0201427+0.0189209j -0.0384572+0.00790321j -0.0125812+0.0301416j 0.0641848-0.0366812j -0.0121763+0.0505414j 0.028852+0.030684j -0.00802796+0.00656823j -0.00490283-0.0413529j 0.0108408+0.0254172j 0.0422041-0.0243624j 0.0431386+0.0143807j -0.0247293+0.030001j -0.0147904-0.00810923j -0.0608274-0.0172735j 0.0400651-0.0275559j 0.0215992+0.00466234j -0.048667-0.016559j 0.0284678-0.0505255j 0.0731675-0.0447537j 0.000115694-0.04062j 0.0169392+0.0151772j 0.019817+0.00221202j -0.110074-0.00747316j 0.0422589-0.0326866j -0.0491902-0.0954752j 0.0251187+0.0212523j -0.0162096+0.010083j -0.0136452+0.0734107j 0.110725+0.0397668j 0.0224615+0.066738j 0.0288933-0.00992312j -0.0648531-0.0934332j 0.0885825+0.0453634j 0.0614201+0.0631851j 0.0890506-0.164243j -0.0666441+0.005169j 0.0543741+0.0142675j 0.0780966+0.0317912j -0.0416368+0.0554911j 0.0288266-0.0354112j -0.0542571+0.0810956j -0.150718-0.0725242j -0.0270266-0.11911j 0.0915842-0.104809j 0.0436305-0.0046276j -0.00669026-0.0383512j 0.107428-0.0638029j 0.0433794+0.042377j 0.0113702-0.079651j 
