-0.0028706+0.00418006j -0.00542346-0.0038447j -0.00552518-0.00263515j -0.00364008+0.00258652j -0.00216316-0.00182062j 0.00354569+0.00192918j -0.00649638-0.000323174j 0.00356728+0.00182283j -0.00371194-0.000281695j 0.00202721+0.00532315j -0.00149566+0.000582214j -0.00246109-0.00172355j -0.00293241-0.000275791j 0.00272838-0.00280592j 0.0017723+0.00337213j -0.00677946-0.00247826j 0.0025732-0.000514151j 0.00113677+0.000448755j 0.000309388+0.00121483j -0.00191785-0.00154041j -0.00185002+0.000396641j 0.000255455+0.00312626j 0.00168864+0.000374836j 0.00170418-0.0024501j 0.00191704+0.00223525j -0.00298536-0.00110128j -0.00413525+0.00184267j -0.0024312-0.00293913j -0.00114992+0.000469553j 0.000486824-0.00378342j 0.000250155-0.000563445j -0.00116395+0.000258892j -6.24508e-05+0.00043743j -0.0018645-0.000817707j 0.00402615-0.000498366j -0.00192399-0.00118539j 0.00110544+0.00032507j 0.000429306-0.000552204j -0.00583871+0.00124678j 0.00368213+0.00440786j -0.00283904+0.000721882j -0.00331068+0.000331318j 0.000589888+0.000521255j 0.00555436-0.0015371j 0.00311216+0.000937028j 0.0066723-0.00323306j 0.00291039+0.00238765j -0.000950354+0.00301414j -0.011316-0.000827543j 0.0075216+0.00135372j -0.000427453+0.00207882j 0.00843687+0.00372044j -0.00693554-0.00115048j -0.0117132+0.00430858j -0.0105385-0.00154562j 0.0129316+0.00772869j -0.00758303+0.00402368j 0.00253208-0.00703159j 0.000577675-0.00947255j 0.00888383-0.000655148j 0.00498412-0.00326846j -0.00704948-0.0044376j -0.00329131-0.000388855j 0.000977648+0.00586104j -0.00189418+0.00301602j -0.00427128-0.0071412j -0.00188362+0.00542161j 0.00250167+0.00421922j 0.00175436+0.00506456j -0.000861155-0.0115999j -0.00636331+0.0900834j 0.0667293+0.0289713j 
-0.00535456-0.00384977j 0.00294135-0.00416003j 0.00282182-0.00249279j -0.00527828-0.00302385j 0.000933915-0.000775531j -0.00450838-0.000789641j -0.00564115-0.00254811j -0.00407267-0.000586626j -0.000421574+0.00378633j 0.00290368+0.000176091j 0.00491642+0.00466071j -0.00399852+0.000934625j -0.00360221-0.00092409j -0.00519462-0.00116794j -0.00254555-0.000484025j -0.00310284+0.00280681j -0.000956078-0.00111507j 0.000358717-0.00365038j -0.00117444+0.00197377j -0.000213368+0.00134714j 0.0036188+0.00131047j 0.0033813+0.00151127j -0.00373531-0.000841753j -0.00220828-0.00153111j 0.00275944+3.46133e-05j 0.000956914+0.000431631j 0.000182691+0.00191424j -0.00161006-5.6202e-05j 0.00125901-0.00021521j -0.00753777-0.000919792j 0.00224734+0.00192186j 0.00148294+0.00032785j 0.000930424+0.00114266j -0.00302791-0.000647919j -5.37529e-05-0.00581211j -0.00354191+0.000832878j -0.000742718+0.000307094j 0.00266481-0.000715772j 0.00598797+0.00126159j 0.00439138-0.00374451j 0.00521413+0.00331497j 0.00119381-0.00189979j -0.00276079-0.000911146j -0.00415112-0.0031662j 0.00286045-0.000497255j -0.00413577-0.00359282j 0.00665917-0.00168517j -0.00093151+0.000205125j 0.00233662+0.00397315j 0.00115339-0.00211369j 0.00777385+0.00200963j 0.00761579-0.00469061j -0.00298112+0.00469953j 0.0103794+0.00495938j -0.00473522+0.00413215j 0.0130871-0.00712905j 0.00654668+0.0042049j -0.0124105-0.000935388j -0.0128527-0.00161527j -0.000915356-0.00681825j -0.00544958-0.00586775j -0.00237141+0.00614083j 7.05919e-05+0.0029915j 0.00471335+0.000521665j 0.0034327+0.00535957j -0.0021282+0.00540767j 0.00449443+0.00639389j 0.00166265-0.000698303j -0.00178843-0.0114828j -0.00146061-0.00478172j -0.0667049-0.0286376j -0.00640147+0.0903917j 
-0.00480535-0.00436649j 0.000374292-0.00596877j 0.00225368-0.000256439j 0.00218833-0.00617313j -0.00728182+0.000638425j -0.000482256+0.00149712j -0.000730688-0.0072122j 0.000885635-0.00470946j 0.00343801+0.00140367j 0.00537614+0.00425163j -0.00356458+0.0042569j 0.000310914-0.00289049j -0.00525809-0.00281025j -0.000436674+0.000256431j 0.000899799-6.48449e-05j 0.000796596+0.00108405j -0.000853387-0.000321875j -0.000623778-0.00156682j 0.00140794-0.00271892j -0.00310086+0.0011838j 0.00100933+0.000738746j 0.00580027-0.000414745j -0.000720411+0.000560114j -0.00116394-0.000185861j 0.00435843+0.00236378j 0.000647634-0.00215923j 0.000386876-0.00158442j 0.00100158-0.000754632j -0.00506631-0.00291387j -0.00308481+0.000703635j 0.00864903+0.00482694j 0.004325+0.000391081j 0.00413113+0.00265719j 0.000908325-0.00257134j -0.00422249-0.000351207j 0.0043038-0.000809506j -0.00213098-0.000601529j 0.00429232+0.00176964j -0.00140326+0.000852104j -0.00620394-0.00176311j 0.0117446+0.00715241j -0.0013616-0.0035804j 0.0111618+0.000899686j -0.00698183-0.0025465j -0.0020263-0.000904718j -0.0120363+0.00530449j -0.00212461-0.000872469j 0.00597909-0.00813736j -0.010678+0.00179766j 0.00173643-0.00115688j 0.00246024+0.0106726j -0.00503851+0.0025814j 0.00689462-0.00195282j -0.0206462-0.008882j -0.00503141-0.0141788j -0.0103427+0.00600821j -0.0108584-0.00908942j 0.0174324-0.00340348j 0.00987551-0.00141608j 0.00301095+0.00956512j 0.0070391-0.00455603j -1.70041e-05-0.00475668j -0.000527026-0.0127007j -0.008829-0.0105418j -0.00215539+0.00181521j 0.00256078+0.00877904j -0.00586756-0.00092856j -0.0070683+0.0131744j 0.00556756-0.0753528j 0.0630562+0.0354885j -0.00876078+0.0619047j -0.0447302-0.020908j 
-0.000166054+0.005982j -0.00502379-0.00443153j -0.000221426-0.00536012j -0.00169127-0.000463466j 0.00241024+0.000246396j 0.00644267+0.00528916j -0.00245917-0.000251534j -0.00432084+0.00431686j -0.00683756-0.00424842j -0.000522801+0.00430576j 0.00130997-0.00239014j -0.00332326-0.000476261j 0.000382657+0.000297303j 0.00590573+0.00041058j 1.04122e-05+0.00301664j -0.000451403-0.00108477j -0.00443908-0.000697147j 0.00177198-0.000539698j -0.00220505+0.0029116j -0.000977086-0.00400901j 0.010929+0.00109491j 0.00484961+0.00250036j -2.56107e-07+0.00366639j 0.00270594-0.000874746j -0.00444291+0.00202187j -4.6621e-05-0.000439137j -0.00130396-0.000488899j -0.00437339+0.000673507j 0.0036475-0.00435384j -0.00177017-0.00074541j 0.00136392+0.00332851j -0.0010796+0.00119397j 0.00245451-0.00018214j 0.00274863+0.000890569j 0.00608865-0.00609289j 0.000630803+0.00462744j -0.002801-0.0024181j 0.00661272-0.000591403j 0.0014497-0.00457376j 0.00954091-0.00434994j -0.012964+0.00204546j 0.00569143-0.00410751j 3.36552e-05+0.00738378j 0.00424067-0.00375061j 0.00468891-0.00494583j -0.00416964-0.00177998j 0.0092814-0.00359263j 0.0168918+0.00337513j -0.00402804-0.0068788j 0.00548716+0.00111715j -0.0165376+0.00094927j -0.00656707-0.0033829j 0.00442804+0.0059337j 0.0107736-0.0156291j 0.0162981-0.00425117j -0.0125918-0.00822106j 0.00968849-0.00680316j 0.00273412+0.0153241j -0.00142991+0.00355218j -0.0115707-0.000230486j 0.00179995+0.00665553j 0.00941885+0.00186124j 0.0104636+0.00273062j 0.00331417-0.00410185j 0.00553338+0.0126016j 0.00362433-0.00461409j 0.00392533-0.00393564j -0.00250018+0.00355135j -0.0613874-0.0266281j 0.00644696-0.0852627j -0.0443833-0.0181195j 0.00834337-0.0593181j 
-0.000946018-0.000565737j -0.000525769-0.00346703j -0.00120862+0.000364275j 0.00406631+0.0029523j -0.00559395-0.00684617j -0.00399935-0.000747064j 0.00303888-0.00453824j 0.00318568+0.00194851j -0.000194633+0.00478956j 0.00519533+0.0051979j -0.00606806+0.00244095j 0.00179485-0.00104352j -0.00064096-0.00222976j -0.00278831-0.00380657j 0.00180886+0.00322313j -0.0038104-0.00306768j 0.00239351+0.00359324j 0.00206-0.00169831j -0.00227304+0.000833633j 0.00217446+0.00219864j -0.00330554-0.00544038j 0.00141034+0.00088805j 0.000951246-0.000806606j 0.000834808-0.00194709j 0.00330602+0.00154285j -0.00347866-0.00256455j -0.00317449+0.0017423j -0.00114363-0.00525759j 0.00494463+0.00193015j -0.0088579-0.00273074j 0.00355549-0.00222999j -0.00178316-0.00175159j -0.00276057-3.56303e-05j 0.000667057-0.00504446j 0.00974429-0.00336574j -0.00502116-0.00205801j -0.00111773+0.00249836j -0.00447092-0.000625335j 0.00326092-0.00208389j 0.0183303-0.00279924j 0.00939774+0.00397363j 0.0136755-0.00620788j 0.00850294-0.00857808j 0.00103656+0.00311463j 0.00132111+0.0107117j -0.0210672+0.00026184j 0.00124209-0.000126476j 0.0230866-0.00116174j -0.0025824+0.000712186j -0.00277299+0.00527481j -0.0103864+0.00400662j -0.0115833+0.00466621j 0.0100091-0.00449799j 0.00839979-0.00723492j 0.0253521-0.00781823j -0.0215613+0.0142808j 0.0138691-0.00768603j 0.00483011+0.00447423j -0.00280963+0.00952723j -0.0195481+0.00273214j -0.000200925-0.00366127j 0.0128507-0.0123799j 0.0158345+0.00346479j 0.00571346-0.000758496j 0.00444646-0.0148989j 0.012806+0.00166483j 0.00429926+0.0492905j -0.0612943-0.0336174j -0.00522002-0.0460002j -0.0354983-0.0188224j -0.00230256-0.0156154j -0.00252611+0.0673786j 
-0.00291609-0.00462255j 0.000351322-0.00230437j -0.00301252-0.00318364j -0.00628691-0.00181913j 0.00657202-0.00121049j 0.000256044-0.00774645j 0.000147754-0.00131557j -0.0018857+0.0010926j 0.00292245+0.00326441j 0.00633138-0.00377472j 0.00220456+0.00777413j 0.00157086+0.00362057j 0.00184565-0.000301294j -0.00108823-0.00298331j 0.00588542-0.00425997j -2.15226e-05+0.000739656j -0.00790339-0.000199521j 0.000467527-0.00391499j 0.006286+0.0036145j 0.00367771+0.00268701j -0.00732219+0.000854966j 0.00670996+0.000386398j 0.000468069-0.00366193j -0.00601166+0.000395475j -0.000406981-0.00489422j -0.000231161+0.00463762j 0.00625615-0.00071834j -0.00905147+0.00220089j -0.00290831+0.00183587j 0.00551563-0.00118017j -0.00424602-0.00204011j -0.00414019+0.00194452j -0.000163643-0.000175438j -0.0169546+0.00108069j -0.0138007-0.00263202j -0.00708288-0.000796323j -0.0025288+0.00183331j 0.000861097+0.00104088j 0.00481189-0.00209952j 0.00430004-0.0072326j -0.00384593-0.00152472j -0.0167774+0.000207746j -0.014086-0.00144372j 0.0059028-0.00169282j 0.0181348+0.00048036j -0.00749502+0.00269717j -0.00695049+0.00774074j 0.00981911-0.00402629j -0.00833028+0.00636352j 0.0112071+0.000623133j -0.00972328+0.00339005j -0.00835032+0.00361685j 0.00297611+0.00175317j -0.0235265+0.0146278j -0.0013004-0.0101755j -0.00848691+0.00539174j -0.0184772+0.00561843j 0.0278479-0.00246527j 0.0224176+0.00331874j 0.00183942+0.00117844j 0.0139019-0.00557104j 0.000647162+0.00668107j 0.00571519-0.0104963j -0.00660199+0.0102185j 0.00250395-0.00532693j -0.00401416+0.0388624j -0.0551872-0.0259476j -0.00417046-0.0688658j -0.00462832+0.0170279j 0.0132251-0.014217j 0.00382148-0.0822728j -0.00731981-0.0152944j 
0.00040804-0.00691624j 0.00495651+0.00536834j 0.00279031+0.00608017j 0.00206017+0.000605687j 4.14131e-05-0.000921659j 0.000153962-0.003333j -0.00171702+0.00402273j -0.00570296+0.000177987j 0.00635375+0.0060289j -0.00325295-0.00307315j 0.000359561-0.00345225j -0.00320391+0.00484269j -0.00133411-0.00138331j 0.002625+0.00102433j -0.00363531-0.00420549j 0.00894914+0.00151175j -0.00230094+0.00366288j -0.000365732+0.000606816j -0.00485574-0.00146357j -0.00207245-0.000507296j -0.00242629-0.00570424j -0.00273633-0.00459348j -0.00421723+0.000480419j 0.000483027+0.000440382j -0.00295783+0.00148012j 0.0025346+0.00193502j 0.00403981-0.00424619j -0.00237974+0.00630095j 0.00428581-0.00167334j 0.00107759+0.00124117j -0.00414609+0.000349575j 0.00323337+0.00267358j 0.0099699-0.001859j 0.00361264+0.00159877j 0.00385629+0.00218185j 0.000258956-0.00176081j 0.00840114+0.00498452j 0.0166554-0.00547953j 0.00511735-0.000945888j -0.013637-0.00107509j 0.00130779+0.00589831j 0.00501528+0.00463897j -0.000205283+0.00205972j -0.00117847+0.00471374j 0.0146745-0.00120965j -0.0166215-0.0109309j 0.0243347-0.00403686j 0.0145616-0.00101072j -0.0152483-0.0116056j 0.0126361-0.0038572j -0.000352577+0.0049761j 0.00990946+0.00615197j 7.56363e-05-0.00370604j 0.00259985-0.00334647j -0.0132034+0.000700212j 0.0171272+0.010941j 0.00252549+0.00519493j 0.00445597+0.00417657j -0.0046412+0.00345518j 0.00366313+0.000280784j 0.00892608+0.00552844j -0.00330551+0.00350701j 0.00688206+0.0091696j 0.00646083+0.00644948j 0.00319127-0.0342028j -0.0547693-0.0301266j 0.00582906-0.0530931j -0.012292-0.00531351j 0.0155675-0.0811377j -0.0492277-0.0514651j 0.0113931+0.00342099j 0.00784632-0.0489479j 
0.00396648+0.00445965j -0.00127831+0.00714774j -0.00650893-0.00168236j -0.00353088+0.00659724j 0.00438385+0.00108779j -0.00250482-0.00295708j -0.00162108+0.00610689j 0.000661303+0.00596076j -0.00118368+0.00159739j -0.00497754-0.0056793j 0.0025403-0.00461563j -0.00348814+0.00287361j 0.00350809+0.00404102j 0.00259068-0.00338795j -0.000105629+0.00327636j 0.00128542-0.00387468j -0.00255989+0.00311302j -0.0025152+0.00163301j -0.00398997+0.00362781j 0.00566103-0.00090292j 0.00155691-0.00632667j -0.00929438-0.001697j -0.000264189-0.000131949j 0.000881369-0.00222975j 0.00151153+0.00304219j -0.00571868+0.00178608j -0.00122403+0.00514176j 0.0043967+0.00529448j 0.000441149-0.00331308j 0.00893751+0.0041526j -0.00846784-0.0052933j -0.00830183-0.000730929j -0.00409608-0.0051437j -0.00320907+0.000127408j 0.013867-0.00892923j -0.0110983+0.00279101j 0.000753436+0.000770905j -0.00067961-0.00938103j -0.00392354-0.00108501j 0.00101031-0.00544654j 0.00750157+0.00267471j 0.0112981-0.00603374j -0.0151741-0.000867189j 0.00509552-0.00603919j 0.00688862-0.0116582j -0.039965+0.00939546j -0.00881891-0.0169799j 0.00911411-0.0214488j -0.0110671+0.0100048j -0.00355482-0.00864623j 0.0122676+0.00960004j 0.00263015+0.00393364j 0.00388653-0.00470078j -0.00379384-0.00107279j -0.00552839+0.000979043j 0.00845219+0.00297811j 0.00309923-0.00288828j 0.00745331-0.00877859j -0.0049337-0.0081115j -0.00427168+0.00139673j 0.000115394+0.00446144j -0.00194076-0.00520193j 0.00225433+0.00254754j -0.00742171+0.013556j 0.0492843+0.00689907j -0.0010602-0.0647639j 0.0111686+0.0220092j 0.00199348-0.0691255j -0.0534755-0.0274244j -0.0107543+0.0620144j -0.0102302+0.0137593j 0.00927436-0.00326558j 
-0.000859305-0.00107703j -0.00160186+0.00234229j -0.00665201+0.00432774j -0.00145531+0.00822418j 0.00198463-0.00550769j -0.000756951-0.00663629j -2.37383e-05+0.00453323j -0.00283784+0.00168565j 0.00485888+0.00774591j 0.00506423+0.00228777j -0.00510251-0.00211574j 0.000962372+0.00499821j -0.00279225+0.0022328j 0.00786904-0.00427141j 0.00434008+0.00144343j 0.00228757-0.000644456j -0.00815977+0.0041433j -0.00343239+0.000814141j 0.000645686-0.00223769j 0.0058087+0.00346526j -0.00965266-0.00910673j -0.000376578-0.00134005j -9.33483e-05-0.00129015j -0.00487602-0.000923443j 0.00642781-0.000415912j -0.0095235+0.00208739j -0.00780607+0.00190119j -0.00736329+0.00122268j -0.00591827+0.00162383j 0.00650821-0.00140048j -0.00250796-0.00410218j -0.00800977+0.00157326j -0.00186859+0.000603962j -0.00915922+0.000562332j -0.00293538+0.000287234j -0.0081292-0.00371358j -0.00207121+0.00758969j 0.00689195-0.00437252j -0.00442747+0.000860099j 0.002989+0.00251065j 0.0144824+0.00890356j -0.00516115+0.00476806j 0.0182755-0.000584954j 0.0192129-0.00486164j 0.010498+0.00434359j 0.036406-0.0318998j 0.0152473-0.00592282j 0.0125819+0.00585101j -0.00523304-0.00810203j 0.00967923-0.00165638j -0.0170152+0.00783251j 0.00181861+0.000989876j -0.00692893+0.00739483j -0.0194002-0.000583848j 0.000396442+0.00436571j -0.00680144-0.00205468j -0.00912392+0.00166184j 0.00290951+0.0121199j 0.00351727+0.0046985j 0.011186-0.0114211j 0.0154894-0.00315343j 0.00732247-0.00798915j -0.00675961-0.0112525j 0.0302712+0.0204878j -0.000420753-0.0678095j -0.00463295+0.0145471j -0.00158065+0.0443716j 0.0363775+0.0134827j 0.0119833+0.0044789j -0.00644381+0.0351589j -0.000262409+0.00111258j 0.0117496+0.0137846j 
-0.00352115-0.000873944j 0.00247125-0.00374565j -0.00187774-0.00535994j -0.00626932+0.00189172j 0.00227192-0.0011087j -0.0021354+0.00208428j -0.00669933+0.00228604j 0.00152599+0.00312929j 0.00191503+0.0077552j -0.0049402+0.00255881j 0.000148393+0.000780837j -0.00519168+0.00340892j -0.00118061-0.00289354j -0.0104966+0.00328351j -0.00852794+0.00552286j -0.00209237+0.000208824j 0.00902975-0.00379997j 0.0084376-0.00333426j -0.00272892+0.00824745j -0.00451418-0.0011743j -0.0091818-0.00208759j -0.00475082+0.00230892j -0.00649021+9.55581e-05j -0.000329846-0.00422505j 0.00404467+0.00343045j 0.00637119-0.000647551j 0.00313293+0.00142077j 0.00215441+0.00228587j 0.00257768-0.00535324j -0.00302026+0.00907569j -0.0114307+0.0031034j 0.0109053-0.000114505j 0.00158058+0.00283631j -0.0167315+0.0021206j 0.00338849-0.00848947j -0.00652082-0.000377113j 0.0194037+0.00367109j -0.0100336-0.00905352j 0.00128242-0.00443641j 0.00398298-0.00949015j 0.011068-0.00326262j -0.00837479-0.0108328j -0.00100297-0.00856422j -0.0175885+0.00211529j -0.00109343-0.00827227j -0.00423702+0.00664701j 0.00299238-0.00748094j -0.017366-0.0116652j -0.00666597-0.0173816j 0.00277119+0.00864469j 0.0233766-0.00436085j 0.0190527-0.00612904j -0.00698273-0.00509241j -0.00275561-0.00862227j -0.0229444-0.00811121j 0.0267848+0.00914641j -0.00451014-0.00430066j -0.0155179+0.00680145j -0.017318+0.0012421j 0.0133098+0.00593843j 0.00017394+0.00266525j 0.00542516+0.036442j 0.0178635+0.0208571j -0.00756575+0.0593605j 0.013163+0.035626j -0.00127956+0.0219219j 0.0113237-0.014777j 0.000838771+0.0271792j 0.00188215+0.0256271j -0.0192134+0.00321417j -0.0120358-0.02133j -0.00489692+0.00854974j 
0.00230002-0.00594551j 0.00334366+0.00178695j 0.00113079-0.00291427j -0.00269156-0.00630349j 0.00555423+0.00465675j -0.00403092-0.00502632j -0.00176278-0.00538068j -0.00416957-0.0035304j -0.00681229+0.00402163j -0.000210529-0.0100137j 0.00928985+0.00270095j -0.00575201-0.00212579j 0.0113614-0.00204979j -0.00554664-0.000552811j 0.00207034-0.00679343j 0.0066855+0.00161946j -0.00419399-7.79704e-05j -0.00308879-0.000944654j -0.00723596-0.00316033j 0.00238087+0.00314488j 0.00735507+0.00446497j -0.00220505-0.00205013j 0.00668098-0.00570407j 0.00406256+0.00131456j -0.00381188+0.00351481j 0.00057638+0.00180083j 0.0111905-0.000951644j 0.00399607+0.00887588j 0.00493463-0.0026911j -0.0100198+0.002288j -0.00222464+0.0052512j -0.00933562+0.000744682j 0.0066798-0.00563952j 0.0133427-0.00506865j -0.00122866+0.00426303j -0.00821265+0.000995867j 0.00878146-0.00845452j -0.0125834+0.00635694j 0.00230218+0.00736423j -0.00138198-0.00215587j 0.00204697+0.0134329j 0.00859442+0.00456818j 0.00366155-0.00294829j 0.0065587-0.00115233j -0.0178327+0.00603875j 0.0391676-0.00996744j 0.00809992-0.00207254j -0.0115765-0.00852177j 0.023553+0.00357794j -0.00898591-0.00225647j -0.00541769+0.00773002j -0.00267723+0.00635483j -0.00527552-0.00580483j 0.0249901+0.000827376j 0.015699-0.00695541j -0.0106044+0.00697383j 0.0156395-0.00166525j -0.0319597-0.0175058j -0.016979-0.0040739j 0.000848426+0.0124215j 0.00952033+0.0272643j -0.0039023+0.0337158j -0.0142855+0.039175j -0.016603-0.0287087j -0.0120557-0.0459489j 0.0107731-0.0152883j -0.00224802+0.0346654j 0.0292182+0.0210104j -0.0140691+0.0100312j 0.00242361+0.0249339j 0.00577799-0.0116116j -0.00856507-0.0212011j 
