0.0349484+0.0125679j -0.0379223-0.00855216j -0.051549+0.048856j -0.0404788+0.0118654j -0.0193917-0.010383j 0.00190591-0.00937628j 0.021463+0.00330837j 0.0755439-0.000187277j 0.0182454-0.0244524j -0.0143127+0.00353903j -0.000557983-0.019643j -0.0194759+0.00410285j -0.00701931-0.00192998j -0.00111412-0.0325029j -0.0128162-0.0048833j -0.0182218+0.00250357j -0.00737472+0.000265244j -0.0532657+0.00132587j 0.016041-0.000776039j -0.00111114-0.00695322j -0.0325623+0.00161571j -0.0257802+0.0115771j 0.00991296+0.00179641j -0.000962421+0.00108747j 0.00604323-0.00143164j 0.0077081+0.00566064j -0.00196744-0.00566759j -0.00156452-0.0064361j -0.00121231+0.0184749j -0.00944709-0.00759662j 0.000490335-0.00650964j 0.00713989+0.00942587j -0.0384569-0.0209727j 0.021529+0.0155883j -0.0150878-0.005323j -0.0178687+0.0217024j -0.0141516+0.00911048j -0.0164682+0.0123024j 0.00889631-0.0177735j -0.0103731-0.00698408j -0.0322678+0.015738j 0.000193398+0.00605248j -0.0138472-0.0106183j -0.00167217+0.00522897j -0.00208542+0.000631425j 0.0170584+0.0177252j -0.0113471-0.000618663j 0.0407081-0.00955666j -0.0267448-0.0217835j 0.0336652-0.0002669j -0.0203421-0.0134997j 0.0125799-0.011199j -0.00407036-0.0096225j 0.00151638-0.00190824j 0.000704899+0.000497221j 0.00168924-0.0178635j -0.0437688+0.0227187j 0.00901653-0.00825821j 0.0176003-0.0107116j 0.0160257+0.0284889j 0.0234975+0.00451891j 0.01734-0.0112807j 0.00459932-0.00720273j -0.0026676+0.00518315j 0.0468034+0.00544375j -0.0326221-0.0174817j -0.0162102+0.000317701j 0.0146707-0.0162029j 0.00314466-0.00325409j -0.00973877-0.0451252j -0.0320217+0.00276102j 0.0378278-0.00380484j 0.0309189-0.0350583j -0.0590152-0.00458885j 0.0351456-0.00385826j -0.052311+0.0122663j 0.0224069+0.0137236j -0.0081022+0.0384721j 0.0165386+0.00543399j -0.023123-0.0324909j 0.019157+0.0333918j 0.0192477+0.0165653j 0.0406236+0.0504246j -0.00447812-0.0113916j 0.0208741+0.0195648j -0.0100416-0.0155813j 0.00966573-0.00270672j -0.0106535-0.00171822j -0.0654577-0.0631341j -0.0218733-0.0183384j 0.0126909-0.0742672j 0.0053848+0.013415j 0.0091815+0.000369147j -0.132641-0.102099j 0.0177367-0.0811659j -0.157177-0.0886228j -0.00718158-0.0574957j 
0.0462088+0.0124692j 0.0374411+0.00991691j -0.0303082+0.0126483j 0.0579492-0.0447799j -0.0169539-0.0104937j 0.00405272+0.00633062j 0.00917484+0.0162952j -0.00724522+0.0067373j 0.0686964-0.0147755j -0.0359641+0.011641j 0.0105884-0.0114539j -0.00998628-0.0170777j -0.0140835-0.00301643j -0.00113906+0.00336048j -0.0222009-0.00106595j -0.00413468+0.00602022j 0.0122231+0.00421565j 0.000331363-0.0013353j 0.00511381-0.0142447j -0.00931312+0.0078362j 0.00373226+0.0131587j -0.0163908+0.00567062j -0.00388163-0.00571429j -0.00784671+0.00998072j 0.00980902-0.0112188j -0.0169278+0.00211908j -0.012157+0.00235666j 0.0110105+0.00148657j -0.00616763+0.00396611j -0.0321065-0.00410347j -0.0103578+0.0096855j -0.0123144+0.0127187j -0.0172234+0.0154019j 0.00502638-0.0249654j 0.0148007+0.0131198j 0.0338669+0.00872874j 0.00697032+0.0199926j -0.00293685+0.00426163j -0.0116975-0.00156803j -0.0182628-0.00357928j 0.000872028+0.0156827j -0.0121956-0.0140905j -0.013711+0.00753055j 0.0133617-0.00720523j 0.00543039-0.00478547j 0.0108804+0.00140626j -0.000260397+0.00785936j -0.0122412-0.019148j -0.050265+0.0114884j 0.00317291-0.0201841j 0.00618985+0.0199165j -0.00566385-0.010318j 0.0233992-0.00835852j -0.0131648-0.0083624j -0.0179655-0.00391906j -0.00536935-0.0100727j 0.0360305+0.0246067j -0.0321539-0.0178726j -0.0152772-0.00414341j 0.0208232-0.00479128j -0.00185783-0.0135786j 0.00440917-0.0103249j -0.0169432-0.0116708j 0.0328387-0.0101518j -0.0043906-0.0183158j -0.00428628+0.038551j -0.00871739+0.00176044j -0.00752333-0.00130625j 0.00656256+0.00261532j -0.0446188-0.0090679j -0.00485519+0.0441917j 0.00680144-0.0461281j -0.0365006+0.0132442j 0.00808187+0.0385168j -0.0166773-0.0273824j 0.0365149+0.0192373j 0.00366993-0.0189696j 0.0869878+0.0171498j 0.0254253-0.00210869j -0.0477314-0.0274109j 0.00103851-0.0209467j 0.0274693-0.0132191j 0.0314008-0.0316694j 0.000355847+0.0277161j 0.0322879+0.0109461j 0.029109+0.00250455j 0.0344872+0.0049781j -0.0142613+0.00886818j -0.0073372-0.0245852j -0.0606997-0.0506954j 0.0545427+0.0467569j -0.00428766-0.0181653j 0.0179032+0.025434j 0.0324399-0.094991j 0.115521+0.0929114j -0.00630595-0.0501949j 0.158348+0.0965205j 
0.0149769+0.0144324j 0.0726911-0.00300742j -0.0190687-0.0389735j 0.0561111-0.0412541j -0.00832751-0.0183778j 0.00460382-0.0136573j -0.0223432+0.058253j 0.019827+0.0140267j 0.0267549-0.0477277j 0.0043643+0.0187698j 0.00616062-0.00901666j -0.00983202-0.0160961j -0.0188476+0.0127752j 0.00255092-0.00312056j -0.019103-0.0104473j 0.012203+0.00816241j -0.00270696+0.00106742j -0.0149151+0.00675944j -0.0180847-0.0325009j -0.0102367+0.0130393j 0.0111374+0.00469874j -0.00535073+0.00498879j -0.00295989-0.00476734j 0.017856+0.013518j -0.00464457+0.00222556j -0.0211297+0.0163183j 0.00806282+0.0173247j 0.0177418-0.0026915j -0.00641037+0.000786362j -0.023727+0.0198317j -0.0209005+0.00900042j 0.015801+0.0301415j -0.00579814+0.00115455j -0.00467226-0.0188533j -0.00322165+0.0112295j 0.0333168+0.0159143j 0.00951479+0.0093869j 0.00466707+0.0130652j -0.0253229+0.00660125j -0.0290648+0.0263737j 0.0404528+0.0314184j -0.0182588-0.00958779j -0.00333373+0.00858091j 0.0186795+0.00467076j 0.0081421+0.00691415j 0.0169628+0.00282642j -0.00415626+0.0148176j -0.0217468+0.0141704j -0.00824054+0.0103413j -0.0139946-0.0330477j 0.0334926-0.0137986j 0.00216313+0.015823j 0.0144137+0.00316675j -0.00162317+0.025823j 0.000570105+0.0380321j 0.0260997-0.0325168j -0.0103216-0.0113965j -0.0167967+0.00520804j 0.00763934+0.00294149j -0.00904511-0.00881051j -0.0107491+0.0129664j 0.0408909-0.00152933j -0.0306551-0.00453303j 0.0498602-0.00419471j 0.0229671-0.00626682j -0.00890267+0.0174005j -0.00932557-0.00687218j 0.0073041-0.00273663j -0.00499246+0.00774529j -0.0298819+0.0175628j -0.00674477-0.0300572j -0.0396171-0.0174577j 0.00662571-0.00335261j -0.0112164-0.0277132j -0.0277911-0.00227454j -0.026747-0.0277689j -0.0315813-0.00129041j -0.00279651-0.043767j -0.0148253-0.016347j -0.0352749-0.00751293j 0.0229217+0.0345681j -0.00576332+0.0379452j -0.000721795+0.00997144j 0.0717616+0.00466628j 0.0255635+0.00659211j 0.0291665+0.0450866j 0.00171713+0.0304591j -0.0495717-0.0334145j -0.0314187-0.074932j -0.104275+0.0597473j -0.013777+0.030648j 0.0106605-0.0285831j -0.0412579-0.0328069j 0.0450118+0.0116574j -0.0100274+0.0771008j 0.0503469+0.0443461j 0.0315573-0.00404467j 
-0.0548206-0.00227214j 0.0225897+0.0079623j 0.0494258-0.0415855j 0.0256807+0.0418578j -0.015765-0.0177736j -0.00249968-0.013868j -0.0339367+0.015473j -0.0239156-0.0329531j -0.0616362+0.0402821j 0.0164398+0.0036214j 0.0439794+0.0107213j 0.0320561+0.0086193j 0.014055+0.00634133j 0.0131446+0.0208979j 0.00157281-0.00118648j -0.00227782+0.00389974j -0.00760598-0.0104595j 0.0146893-0.0141867j -0.0304869+0.0241229j 0.0125664+0.00478188j 0.0115048-0.0424504j 0.0346494-0.0285692j -0.000464274+0.000969397j 0.0256921-0.0118164j -0.00113645-0.00455966j -0.00141108+0.00948792j -0.00205841+0.011188j -0.0149943+0.0116041j -0.0256943-0.00140335j 0.0157853+0.00507183j 0.0155927+0.0232337j 0.0207385-0.0261056j 0.0141107+0.00301306j -0.0497365-0.0123044j 0.00934136+0.0114054j 0.0103598-0.030296j 0.0303405-0.0411723j 0.0035814-0.0107132j -0.014899+0.027369j 0.00916753+0.0239688j 0.0201955-0.0168795j 0.0052607+0.00271031j 0.0246788+0.00398175j 0.0137282-0.0164314j -0.0116565-0.00540759j -0.017627-0.0182165j -0.0138661+0.0147148j 0.00382693+0.0467223j 0.0481654+0.0140882j -0.0325318+0.00296314j 0.0308653-0.0219837j 0.000340586+0.0251006j 0.0275929+0.0165166j -0.00307124+0.01873j -0.0146633+0.0048151j 0.028826+0.022441j 0.00455179-0.016087j 0.0029101+0.0284366j -0.00807524+0.00414582j 0.00580679-0.0155221j 0.00113733-0.0221116j -0.0308235+0.0124645j -0.00794538+0.0292338j 0.0236346-0.00830079j 0.018282+0.00937437j 0.0183424+0.0145839j 0.00323806-0.0133609j -0.0203059-0.00833223j 0.0267207+0.0249039j 0.0215909+0.0366038j -0.027041-0.0382138j -0.0466301+0.00350371j 0.00488261+0.0277327j 0.0141808+0.0174938j -0.0317824+0.0103705j 0.0137413-0.0259394j 0.00180021+0.00650609j 0.024234+0.00742874j -0.0172237-0.0240408j -0.0102343+0.0181124j 0.00531858-0.0191347j -0.0121137-0.0416908j 0.0136582-0.0253595j -0.0202023-0.00268769j -0.0338422-0.00340209j -0.0468984-0.00266j 0.0473899+0.0482473j -0.00533087-0.0989874j 0.10651+0.0330733j -0.0357017-0.0269344j -0.0445039-0.000454443j 0.0948138+0.0580573j -0.00203874-0.0361136j 0.0315761+0.0794904j -0.0225049+0.0540856j 0.060842+0.0011079j -0.00984089-0.0120757j 
0.0120888+0.00638192j -0.00325465+0.0158863j 0.00298391+0.00249925j 0.0177758-0.0254895j 0.00744639+0.011175j -0.0435782-0.000185532j 0.0237561-0.021136j -0.0554146+0.00376462j 0.0554099+0.033459j 0.0187891-0.0319001j 0.0125798-0.0254306j 0.00399367-0.0198728j 0.00833902-0.0202982j 0.00677667+0.0164137j 0.0202363-0.00613724j 0.00130731-0.000668882j 0.0277635+0.018828j -0.0101606+0.00539274j -0.0165279-0.00903121j -0.0241127+0.00317674j 0.0116101-0.00675289j 0.000401016+0.00803266j -0.0053189-0.00156988j 0.00515895-0.0137957j 0.00522013+0.00977762j -0.0225912+0.0166179j 0.0188284+0.00942014j -0.0117065+0.0106869j 0.0226327-0.00564508j -0.0112816-0.0214211j -0.00283246+0.0178357j -0.0127937+0.000439422j 0.00992831+0.0280102j -0.0118033-0.0268213j -0.000464063+0.0259539j 0.0282435+0.0244884j 0.00547854+0.0291583j 0.00315611-0.0125496j 0.00944891-0.00978992j 0.00846693-0.0336292j -0.0156826-0.0026719j 0.00375294-0.0310477j -0.0168083-0.00466429j -0.00295406+0.0194821j 0.0145028-0.0209544j 0.0336106+0.0056023j -0.0591193+0.0114033j -0.0416551-0.00409044j -0.0326058+0.00279732j 0.00977337-0.00648063j 0.0137854+0.00597285j 0.0102902-0.0243763j 0.0319139-0.00952541j -0.00938044-0.00381629j -0.019662-0.0195885j 0.0221133+0.0176762j 0.0816176-0.00440814j -0.0199214-0.010072j 0.00383012+0.00785486j -0.0418657-0.0102969j 0.0310229+0.0203846j -0.00722898-0.0404925j -0.0257833+0.00869863j -0.00797506-0.0123579j 0.0196224+0.0162071j -0.020752+0.0202782j 0.0284087-0.000313139j 0.0332042+0.00414307j -0.0229567-0.00210996j -0.0196186+0.0216626j 0.00168105+0.017889j 0.00096942-0.0663829j 0.000754538+0.0348441j -0.0230067+0.034957j -0.00442234-0.0425587j 0.0380826+0.0141719j -0.0193502-0.0205565j 0.0395352+0.0151351j -0.00252063+0.0187698j 0.00183806-0.034674j 0.0526598+0.0501485j 0.0195639-0.0282759j 0.0294974-0.0429959j -0.0367843-0.00144867j 0.0609317+0.00145772j -0.0142306+0.0361811j -0.0181947-0.0961769j -0.0721813-0.0173204j -0.00379029+0.0314205j 0.0718149-0.0371362j 0.0525204+0.071107j 0.00311116-0.0271941j -0.0976204-0.0312102j 0.0433675-0.0822092j 0.0719722+0.0258245j -0.0399229-0.0209197j 0.0540374+0.0193211j 
-0.0443151+0.0267441j 0.0159992-0.0104444j 0.0196515-0.0186844j 0.00422612+0.0440655j 0.0168522-0.00935315j 0.0166814-0.0203854j 0.00042427+0.0195192j 0.0256686+0.0430403j -0.00269536-0.0219372j -0.019385+0.00543066j -0.0480173+0.0159024j -0.0101416+0.0251677j 0.0149134+0.00172898j 0.0122174-0.024853j 0.00246927-0.0107896j 0.0373918+0.0065071j 0.0180993+0.00182932j -0.0175984+0.0116925j 0.0117643-0.00475692j -0.00388041-0.0253345j -0.00258057+0.017788j -0.0286297+0.00282381j 0.00473575-0.0135078j -0.0121075+0.00326859j 0.0007924-0.000977054j 0.0288357+0.00780984j -0.000246411-0.00906717j -0.00430424-0.0091519j -0.0277641-0.0131069j 0.00249658+0.00781657j 0.01921+0.00740178j 0.00843985+0.00562474j 0.00891218-0.0356035j -0.0133587+0.0387729j 0.00614229+0.0173394j -0.00480978-0.0108449j -0.032309-0.0144085j 0.00693464-0.00180021j 0.000670123-0.0110346j 0.0208302+0.0133846j 0.0241032-0.024708j -0.0354637+0.000686429j 0.0221304-0.00762782j -0.0303001-0.0120945j 0.0145268-0.00277678j -0.0220393+0.0214199j -0.00430618-0.015355j -0.00625452-3.31994e-06j 0.00586503-0.027268j -0.0220886+0.00281217j -0.0134573-0.00783629j 0.0160343-0.00288831j -0.0304626-0.000216679j 0.00856175-8.53259e-06j 0.0499412+0.00625155j -0.0366694-0.00742571j -0.0129893+0.0214627j -0.00960055+0.00792592j -0.00810314+0.000200877j -0.0290702-0.0300034j -0.000445296+0.0137902j 0.0495652+0.00614541j -0.0184065-0.00822976j 0.0068396+0.00856529j -0.00885406-0.00585257j 0.0197043-0.00238814j -0.0236073+0.0218286j 0.0419725+0.0385412j 0.0114839+0.0226648j -0.0126073-0.0157062j -0.00279163+0.0177058j 0.0236022+0.0297057j 0.0147711-0.00764034j -0.0359831-0.0224058j 0.00921343-0.0288451j -0.0225789+0.0476802j 0.0417712+0.0347377j -0.0207277+0.000181691j 0.0236465+0.0141854j 0.0333638+0.00286024j 0.00107774+0.0123046j 0.00251199+0.0551861j -0.0195642+0.0377106j -0.0251581+0.00315617j 0.01783+0.00252766j 0.0464328+0.0566731j -0.0545729+0.0114274j 0.0152379+0.0143889j 0.102404-0.0478763j -0.0662944-0.0720235j 0.00982939-0.0906516j -0.0603898-0.0145904j -0.0123793-0.00981049j -0.0765484+0.034721j 0.0142284-0.0437895j -0.00696377-0.00907213j -0.0639538-0.0411162j 
-0.0215322-0.0073329j -0.0495139+0.0132149j 0.0495466+0.0531556j -0.0410679+0.0630042j -0.0157244-0.00863729j 0.0246917+0.000649784j -0.0103256-0.0612086j -0.0276675-0.0227589j -0.0443381+0.0645399j -0.0377824-0.0181846j 0.0259375+0.0508221j 0.0240149+0.0276768j -0.00875899+0.00214195j 0.00471179-0.0133103j -0.0106652+0.016428j -0.0275216-0.00530037j -0.0278333-0.0158724j 0.0229766-0.0399314j 0.0150648+0.0629303j 0.0273146+0.010833j -0.0203925-0.028486j 0.0165833-0.0187348j -0.0250393+0.0212276j 0.000509704-0.0144661j 0.0137039-0.0205845j 0.0175594-0.0246139j -0.00213659-0.00449362j -0.0415411+0.0022717j -0.0191912+0.0463414j 0.0197952+0.023027j 0.016322+0.0291346j -0.00583481-0.039518j -0.00693893-0.0154821j -0.0196536+0.0139071j -0.00365661-0.00763441j -0.0360742-0.0353844j -0.00143159-0.0168048j -0.0267173-0.00737639j -0.0059373-0.0114329j 0.0462787+0.0100572j -0.0476207-0.0464696j 0.0257135+0.012817j 0.0075264-0.0301117j -0.025648-0.00785609j 0.0101531-0.0276293j -0.00898035+0.00782956j -0.020385+0.00465517j 0.0349543-0.0129083j 0.0416333+0.0099965j -0.0186365+0.0593711j -0.045722-0.0140087j 0.00385755+0.00381887j 0.00889243-0.00338276j -0.00901515-0.026157j 0.00808756-0.0273003j 0.00357873+0.0187661j 0.0186252+0.0091324j 0.0134905+0.0192809j -0.0253963+0.000469171j -0.013804-0.0180761j 0.0165218-0.0202238j -0.00850574-0.00294744j -0.00643973+0.00356754j -0.0070998+0.00870468j 0.00488682+0.0152698j 0.0500669+0.00666864j -0.00691692+0.0108809j 0.0195466+0.0216875j 0.0208294-0.00279477j 0.00641329-0.0077913j -0.00430175+0.010734j 0.024825+0.00948061j -0.00933973+0.0115485j -0.00371101-0.00791301j 0.0231372-0.0337687j 0.00771338-0.0182599j 0.00649582-0.011652j 0.0353416+0.00053593j -0.0206263-0.000588777j -0.0151602+0.0348193j 0.00801601+0.034162j -0.0293817+0.0290523j -0.0420678+0.0140847j -0.0519568+0.011675j -0.0638903-0.0179461j -0.0148153-0.0505388j -0.016605-0.0285075j 0.029704+0.0225064j 0.0100419+0.102006j 0.0869071-0.0220944j 0.0035625-0.0127781j -0.00176781-0.0010899j 0.0233928+0.0187544j -0.00340688+0.01251j -0.00538181-0.0448894j 0.0145408-0.0268887j -0.00649377+0.0423785j 
0.00675736-0.00424195j -0.0505295+0.0143828j -0.0244041+0.0832692j -0.0568579+0.0224493j 0.0139821-0.00476043j 0.00830855+0.00228771j 0.022454-0.011832j 0.0439203-0.0265195j 0.0179634-0.0522282j -0.011484-0.0155562j -0.0446351-0.00862346j 0.0295116-0.00501007j 0.046145-0.0446559j 0.00362001-0.0470518j 0.00173238-0.0179966j 0.0422927+0.0745126j -0.00707699-0.00634198j -0.0329199+0.0243085j 0.0128752+0.0259928j -0.016123+0.00510031j 0.00307013+0.0309964j -0.0296322-0.0329941j -0.00432556-0.0403896j -0.0306355-0.03692j 0.042134+0.0218442j 0.0073854-0.0509417j 0.0160917-0.0428759j -0.00508854+0.0106839j -0.00857498+0.0322829j -0.00661543-0.0422293j 0.00240295-0.0226641j -0.00361242-0.0280186j 0.0391168-0.00903505j 0.00512686+0.0490107j -0.0212351+0.0127685j -0.0356672+0.0166658j -0.0601526+0.0333281j 0.0356283-0.0114818j 0.0214416-0.0652368j 0.055675-0.0226167j -0.0656965-0.000920811j 0.0184004+0.0134384j -0.0168383-0.019649j 0.0120793-0.04493j 0.00758675-0.0112207j 0.00683837-0.00653654j 0.0168105+0.00755518j -0.0181401-0.00188233j -0.0292125-0.0437688j -0.013552+0.0249033j 0.0126052-0.0012627j 0.00399462-0.0159155j 0.018079+0.000402712j 0.016463-0.0115017j -0.00380338-0.00556275j -0.0319858-0.0116761j -0.0282715-6.70147e-05j -0.00319556-0.03811j -0.000339821-0.0189285j -0.00552766+0.0582567j 0.0254926+0.0105432j -0.00936787-0.0437609j 0.0206369-0.01378j -0.00440343-0.0123707j 0.0246305-0.01434j -0.0152581+0.00828819j 0.0158062-0.00327541j 0.0239269-0.0175358j -0.0327797-0.0444608j 0.0156643-0.0230723j 0.0347439-0.0126845j 0.0374798-0.0113405j -0.00172012-0.00683481j -0.00222771+0.0232876j 0.040142-0.0136528j 0.0578591+0.0930824j 0.00842182+0.0710296j -0.00912067+0.0879831j -0.0599702-0.0210329j 0.0599306-0.00302067j -0.0470338-0.0180905j 0.0252122-0.0262938j -0.0144601-0.0730239j -0.0557933+0.00556663j 0.10179-0.0445084j -0.0301439+0.0217852j -0.0553114+0.0160327j 0.0190529-0.0228287j 0.0440202-0.0183348j 0.0454437-0.0528518j 0.050081-0.0270125j -0.0209144+0.00249966j -0.00634856+0.000926107j -0.0438979-0.10269j 0.0545224-0.0452869j -0.0490983-0.0362862j -0.0129771+0.00859705j 
-0.0101591+0.0103731j 0.00423006-0.0137513j 0.00940286-0.00467068j 0.0312526+0.00738921j 0.0221316-0.0056546j 0.0496742+0.0171259j 0.017627-0.0337293j -0.0197466+0.0410935j -0.0245012+0.0289283j -0.0772638-0.0168159j -0.00413388+0.0767124j -0.0172469+0.0270856j -0.0542189+0.00823937j -0.0126102-0.0244033j -0.0279938+0.0332295j -0.0774605-0.0110284j -0.0175489-0.0129544j 0.0355559-0.0399907j -0.0125351+0.022911j 0.0293012+0.0348642j -0.0418827-0.0326478j 0.00942379-0.0138263j -0.0545383+0.0319547j -0.0217815+0.0293793j 0.0278843-0.00639167j 0.0132933+0.00188616j 0.00575531-0.00529615j -0.00455973-0.0182436j 0.0045705+0.0214385j 0.00732093+0.0575004j -0.00685035+0.016255j 0.00912736-0.0174293j -0.0127793+0.014396j -0.00518833-0.0323117j 0.0201074-0.0292401j 0.00508401-0.0243507j 0.00732934-0.0210013j 0.00271019+0.00741539j 0.0363679-0.00881454j 0.0307397-0.0345253j -0.0587267-0.0630094j 0.0396831+0.00145116j -0.0426286+0.0323785j -0.0277599-0.0137409j -0.0134318-0.00808934j -0.0052777+0.0428078j 0.0169118-0.0236708j 0.0402203-0.0861091j -0.0110822-0.000227057j -0.00329543+0.0363728j -0.0890824-0.00933144j -0.0128414+0.0107011j 0.0344301-0.00515721j 0.0417467-0.013719j -0.0138552-0.0505094j -0.0306108+0.0463562j 0.0206936-0.0296273j -0.0293732+0.0103345j 0.0102046+0.0437657j 0.015274+0.00135092j -0.03354+0.00523063j -0.0113778+0.0307043j -0.0176291-0.0390847j -0.0434978-0.0245138j -0.03402+0.041217j 0.0542779+0.00918896j 0.00988529+0.0213714j -0.0621578-0.000817904j 0.0275224-0.046932j -0.0578535-0.0134278j -0.00628321+0.0509164j 0.00359703+0.00637639j 0.0175006+0.014244j -0.00261358+0.0575036j 0.0279342+0.00156336j 0.0353175+0.0104786j 0.00386359-0.0110346j 0.0334713-0.0130343j 0.055945-0.0680707j -0.0513707-0.002953j -0.0486403+0.014591j -0.033293+0.0191762j 0.070614+0.00428543j -0.0663865-0.0595199j -0.026753+0.0133706j 0.0207393+0.000398512j -0.0180214-0.0259104j 0.0382162+0.0849072j 0.0768789+0.0773817j 0.0464841-0.0991178j 0.036669-0.0358839j -0.0388388+0.00132607j 0.0480591-0.00497501j -0.0102064+0.0187515j 0.0243993-0.00841014j 0.00555654+0.0118944j -0.0231194+0.0171186j 
0.0310284-0.0458943j -0.0212645-0.0128447j 0.0122094+0.0369404j -0.0523469-0.0078765j 0.0186793+0.01582j 0.00739582+0.0123832j -0.0120776-0.0349913j -0.0593999-0.0782889j -0.0678565+0.0403692j 0.00144993-0.0313873j 0.0142253+0.0769611j -0.0120378+0.0172411j -0.0405497+0.0255903j -0.0106474-0.0143332j -0.0232626-0.00446092j 0.00415245-0.00260762j -0.0520706-0.0218371j 0.0254606-0.0393848j 0.0541193+0.0378651j 0.0407973+0.0380409j 0.0168444+0.0204206j 0.015676+0.0152159j -0.0337829+0.0303272j -0.00268662-0.0119794j -0.021525-0.0380285j -0.00592536-0.0462637j -0.0324047-0.000351772j -0.0336701+0.0088404j 0.0304896+0.0222273j 0.0476628+0.000962295j -0.0173349+0.0193076j -0.020285-0.0398556j -0.020719-0.0162805j -0.00236355-0.012889j -0.0337536-0.00910866j -0.0440681-0.0085404j 0.0214356-0.0052027j -0.0316943+0.0229979j -0.0590661+0.0240186j -0.00498791+0.0222575j 0.0111471+0.0367343j -0.00851209+0.016671j -0.0374527-0.000561129j 0.00115952+0.0270814j 0.00469524-0.000204178j -0.0261959-0.0481227j 0.029575+0.0264789j -0.0172198+0.0404687j 0.093594+0.0413829j -0.0197472+0.0413138j 0.0348683-0.00676859j -0.0199534+0.017503j -0.0215734+0.00857593j -0.0167107+0.0180046j 0.00401336-0.023217j 0.00923819+0.00517786j 0.0105868+0.0313681j 0.0427059-0.0146494j 0.00371181+0.00855626j -0.00738855+0.00878355j -0.0189127+0.00391788j 0.0147247-0.00249873j 0.0302026-0.0184741j 0.00522044+0.0542733j -0.0344907-0.00603799j 0.00283106-0.0471641j -0.0186798+0.0296357j 0.0421256-0.0128977j -0.036173+0.0173898j 0.0084501+0.008941j 0.0376047-0.0474889j 0.0352783+0.0112059j -0.0182825+0.0419358j 0.0111188-0.0450168j 0.014196+0.0146852j -0.00200602-0.0390571j 0.00724627+0.0364387j -0.0959339-0.0185652j -0.0245003+0.032832j 0.0344731-0.0217315j -0.0331381+0.00164036j -0.0233404+0.000765983j -0.0111139+0.0133129j 0.0502424-0.0235743j -0.0391025-0.0845902j 0.0414408+0.0290874j -0.00492226+0.031196j -0.0236432+0.0299573j -0.0895978+0.0301014j -0.0278873+0.0888801j -0.0475279+0.071566j -0.042726-0.0300309j -0.00567061-0.00346805j 0.00438724+0.0202963j -0.059525-0.00252319j 0.0450444+0.061584j -0.031103+0.021857j 
-0.00466378-0.0293828j -0.00412545+0.013218j 0.0087332+0.000615785j 0.0391579+0.00674418j -0.0133765-0.00630773j -0.0115795-0.00990723j 0.00168048+0.0211391j -0.0173075-0.124326j -0.0231395+0.0690274j 0.0496839+0.0202209j 0.0945464+0.00725951j 0.0628776-0.0126048j 0.0449862-0.0577475j 0.00080276+0.0497102j 0.00687263+0.00143753j -0.0588341+0.0717388j 0.0202366-0.0464367j -0.012532-0.109972j -0.0412298+0.123344j -0.0419154+0.0302628j 0.0434915-0.147992j 0.0770858-0.0556642j -0.00341651+0.0185166j -0.00964637-0.0623815j -0.0404163+0.0304238j -0.0868019-0.016047j -0.0166138+0.0879429j -0.0286354+0.123979j 0.0475353+0.00445428j -0.00321111+0.00141833j 0.0431258+0.0279441j -0.0799536-0.0133324j -0.00207667+0.0948508j -0.0674456-0.037792j -0.0159811+0.0403084j 0.0426085-0.0169364j 0.00422835-0.00646642j 0.00933149-0.00636994j -0.00774035+0.0403677j -0.0120694+0.00330223j -0.00617385+0.0510685j -0.0194627-0.0478967j -0.0355716+0.0260153j 0.0320448-0.0140035j -0.0171285-0.030429j 0.042406+0.00136855j 0.00150687+0.0735701j 0.00163045+0.0814442j -0.0228124+0.0092507j 0.0251336-0.00608849j 0.0573694-0.0129953j -0.0146398-0.0114318j 0.00698321+0.00308769j -0.00404844+0.047636j -0.0646592+0.020861j 0.036857+0.0360768j 0.0643842-0.0161475j -0.00253907-0.0119751j -0.00908795+0.0156096j 0.00245955+0.0126484j -0.0311061-0.0315192j -0.0074822-0.0138205j 0.0334036-0.0146837j 0.0155682-0.0354239j -0.0107868+0.0217447j -0.0229473+0.0221597j 0.00870684+0.0422387j -0.0559126-0.0423746j 0.0358948-0.0031606j 0.0350718+0.0184227j 0.0118665+0.000782949j 0.00733679-0.0496879j 0.00133393+0.0259741j 0.0313721+0.0369863j 0.00219742+0.0258023j 0.00977718-0.00860328j 0.00633207-0.026096j -0.0104694+0.0249599j -0.0284321-0.0533849j 0.0206785+0.0350933j -0.0557306-0.0540633j 0.0495924-0.0584419j 0.0536057-0.0883253j -0.029745+0.0138044j 0.0871219+0.0326845j -0.0294952-0.000989307j 0.0346428+0.0159712j 0.0210155-0.0266468j 0.00581711+0.0151015j 0.00958609-0.0594791j -0.0223247+0.021408j 0.0261174-0.00355052j 0.011621+0.00148551j 0.0435664-0.0148961j 0.0233397+0.0865608j 0.0320034-0.0225902j 0.0281438+0.0539866j 
