0.0709499-0.0486552j 0.0283312+0.120418j -0.121883-0.0487254j -0.00706949+0.0101369j 0.00176124-0.00367968j -0.014254+0.00166778j -0.0939641+0.0478171j 0.000329205-0.00175773j 0.0244285-0.00810658j 0.111782+0.0674315j 0.108585-0.105578j -0.031921-0.02203j -0.0683366-0.281806j 0.00172779+0.0392627j 0.401585-0.0485458j 0.242545+0.0308063j 0.0509585+0.00541624j -0.0191037-0.047745j -0.11631+0.384986j -0.136179+0.286174j 0.0441442-0.0717175j -0.0756508+0.011346j 0.361144+0.32793j -0.0574988-0.0144774j -0.230241+0.198375j 0.0816309+0.0957376j 
0.00639925+0.000717792j 0.00687113-0.00935497j 0.0216418+0.0116054j -0.0031513-0.0131234j 0.00102903+0.00818247j 0.0180435-0.00838442j -0.0029024-0.0153156j 0.00390781+0.00754238j 0.00586845+0.0165629j 0.00156595+0.0428516j 0.00705798+0.00446238j -0.0285882+0.00762489j 0.0662711-0.0178228j 0.0129373+0.0141943j 0.0209818+0.0457069j 0.0135256+0.0358309j 0.0295577-0.0230542j -0.0127404+0.0142342j 0.000683851+0.0341301j -0.0194625+0.00584672j -0.0268221-0.0296426j -0.00372886+0.0142332j 0.0250155-0.0425147j -0.0184345+0.0197709j 0.0628761+0.0242605j 0.0127062-0.0381849j 
0.0091664-0.0457894j 0.0534845+0.0178548j -0.00736474+0.0205855j -0.00468326-0.0176194j -0.00272722+0.00668707j 0.0262559-0.000381907j -0.00876029-0.0210857j 0.00128395+0.00582445j 0.00127124+0.0129257j 0.00590388-0.000763725j 0.0443398-0.0356904j -0.0100803-0.0310894j -0.0436635-0.0110265j -0.0105906-0.0138546j -0.00798441-0.0340437j -0.00553575-0.0273708j -0.0294483+0.0177442j 0.0127864-0.0111032j 0.00279796-0.0288843j 0.0160847-0.00084865j 0.0209565+0.0302878j 0.0048229-0.00925532j -0.0199462+0.0311484j 0.0189077-0.0128508j -0.0486888-0.0188016j -0.0102943+0.0296295j 
0.00239233+0.000772227j 0.00122436-0.00782517j 0.00429545+0.00069052j -0.00565746-0.00510381j 0.00070091+0.0021288j -0.0019095-0.00735346j -0.00216446+0.00934866j -0.00159081+0.00214626j 0.00136231-0.00106356j 0.0035344+0.0179845j -0.00591116+0.0126957j 0.00201077-0.000293418j 0.0179885-0.000729688j 0.0270577+0.00251711j -0.00227524-0.0109424j 0.00298201-0.00224324j -0.00714865-0.0263132j -0.00172833+0.00739027j 0.00936236-0.00316952j 0.0163578-0.00586595j -0.0072642+0.011718j -0.00403401-0.0102561j -0.00176658+0.00423507j 0.00404222-0.00728316j -0.0305034+0.0111779j 0.0119408+0.0260464j 
0.0037408+0.000611083j 0.00430318-0.00471265j 0.00807186+0.00180669j 0.00385869+0.00313754j -0.00398512+0.00252018j -0.0122907+0.00034482j -0.00579886-0.00117572j 0.00165829-0.00180339j -0.00258009-0.0114216j -0.00385523+0.0197156j -0.00573652+0.0099331j 0.00138627+0.00460839j 0.0200801+0.0014134j -0.0208963+0.00245117j 0.00781051-0.00603704j 0.00487179+0.0107157j -0.0153626+0.0273353j -0.00914894-0.00590039j 0.0120306+0.00156768j 0.00902887+0.0165687j 0.0267235+0.0305659j 0.00382138+0.00466661j 0.00630124-0.0116825j 0.0271571-0.0173135j -0.00318788+0.00100083j -0.000852816+0.00746221j 
-0.0114795+0.0122552j -0.0040967-0.00114547j -0.00482485+0.014496j 0.0205134+0.034009j -0.00356964-0.00242419j -0.0220475+0.0181317j 0.0118702-0.0116579j 0.0114347-0.00222841j 0.000726257-0.00737181j -0.00190431-0.000707688j 0.014791-0.0178342j -0.0252303-0.00682066j -0.00698336-0.0108041j -0.0120757-0.00646152j 0.00493189+0.00688275j 0.00149462+0.00275634j -0.00427575+0.0126576j 0.00110977-0.00306459j -0.00375409+0.0013734j -0.00646894+0.00199272j 0.00706083+0.00437217j 0.000430318+0.00387573j 0.000962257-0.00314738j 0.00532594+0.00113531j 0.0133585-0.000518034j -0.00228652-0.0110612j 
-0.0234087+0.0152937j -0.0202614-0.0110846j -0.012928-0.00391845j -0.00583555-0.0143938j 0.0102093-0.0012587j 0.0344388+0.0120331j 0.0112021+0.0125799j -0.0072967+0.00389622j -0.0142079+0.0359078j 0.00504647-0.0183571j 0.00441161-0.00633741j -0.00487107-0.00975967j -0.00483189-0.00675256j -0.000253312-0.00303699j 0.00165929+0.000933239j -0.000185761+0.00267039j -0.00304073+0.00404734j -0.000414115-0.00187782j -0.000478775-0.00174952j -0.00225302-0.000185842j 0.0043919+0.00330157j 0.000841849+0.00321484j -0.00242801-0.00100165j 0.00217033+0.000459932j 0.00483351-0.00209803j -0.00176079-0.00491041j 
0.00942869-0.00751552j -0.00142068+0.00520509j 0.00667892-0.013805j -0.0067029-0.0237864j 0.00178102+0.000834248j 0.0156546-0.0043401j -0.0091323-0.000303467j -0.00653414-0.00292118j -0.0048339+0.00148453j 0.00228385-0.00795458j -0.0104582+0.00907799j 0.0200865+0.0146474j 0.000491878+0.00646388j -0.0273655-0.0177209j 0.00210855+0.0060834j -0.00431725+0.00759835j -0.0221346+0.0294856j 0.00134044-0.00946229j -0.00150782+0.00540322j -0.0169133+0.00885934j 0.0131743+0.0148328j -0.00251679+0.0140657j 0.0120036-0.00385298j 0.00755049+0.00309366j 0.0237755+0.00519838j 0.000812357-0.0200701j 
-0.0220906+0.0125365j -0.00447443-0.0196966j -0.00490456+0.00668508j 0.00113951+0.00138466j 0.00289967+0.00271321j 0.00653396+0.0100434j 0.00357552+0.0111076j -0.0019346+0.00318766j -0.0140751+0.0137035j -0.00860911+0.0101065j -0.00390227-0.00041153j -0.0126379-0.0123013j 0.0207948+0.00536465j 0.0018708+0.00465284j 0.0109363-0.00220712j 0.000582734+0.0125922j -0.0123268-0.00482j -0.00904076-0.00563663j 0.00983758+0.00748995j 0.00871567+0.0146704j -0.0013145+0.0327292j 0.00167256-0.000772907j 0.00715727-0.006444j 0.029638-0.00207536j -0.0164345-0.00139022j -0.00401164+0.0173913j 
0.000637213-4.35161e-05j -0.000124866-0.00198679j -0.000552072+0.000957251j -0.000820851+0.00157524j 0.000195259+0.0014757j -0.000930949+0.00205351j 0.00123033+0.000831303j 0.00133338+0.00246491j -0.00129559+0.00206136j -0.000729455+0.00493674j 0.000583484+0.00102713j -0.00211772+0.000618852j -0.00277329+0.00347105j 0.00716995-0.00448544j -0.00278568-0.00577086j -0.00105333-0.00242819j -0.0040122+0.0072484j -0.000550322+0.000861035j -0.0023782+0.00831804j -0.00233546-0.00661674j 0.00946265-0.00176131j -0.00392651+0.00103189j 0.00546459+0.00435243j -0.00315376+0.000266292j 0.00452401-0.00710622j -0.0158217-0.0067642j 
0.00332922+7.39349e-06j 4.24892e-05-0.00512884j 0.00045421+6.52845e-05j -0.00268476-0.00121011j 0.00140737+0.00359838j -0.00318929+0.00186677j 0.00273961+0.00462996j 0.000144245+0.00291885j -0.00312092+0.0033986j -0.00605006+0.00872304j -0.00239852+0.00447169j -0.00902354+0.000168594j -0.00445369+0.00266935j 0.00310636+0.00493078j -0.00412545-0.0109006j 0.00622219-0.000864509j -0.00438042+0.00547958j 0.00247305+0.00697663j 0.000802461-0.00452333j -0.00667136-0.000226446j 0.00502624-0.00132759j 0.00342114+0.00908316j 0.00303875+0.0134909j -0.0070144+0.0100641j 0.00113747-0.00239083j -0.0106088-0.0113177j 
