0.00315024-0.00887174j 0.0514434+0.00815053j -0.0124032+0.00975123j -0.0260662+0.0380466j 0.00486304+0.00747566j -0.0340737+0.0215332j 0.0568658-0.0124734j 0.0226025-0.0132029j 0.0204425+0.00332904j -0.0156559-0.00801919j 0.00511656-0.00273271j -0.0217193-0.00838083j -0.0260887+0.0103949j -0.0156722-0.00471731j 0.0080086+0.0158348j 0.0455152+0.00571981j 0.00575888+0.0190031j 0.0069191-0.0260581j 0.00208964-0.00734541j 0.0300281-0.0043147j 0.0064672-0.00139128j 0.00401219+0.0109029j 0.00763417-0.00813431j 0.00832987-0.00339699j 0.000542263-0.0131128j 0.00420133+0.00763612j -0.0215871-9.25342e-05j -0.00617996+0.0210346j -0.0264004-0.00950814j -0.0129822-0.00685533j -0.00576658+0.0113003j -0.0132003-0.00463346j 0.00710931+0.00876351j -0.0111885+0.0192876j 0.0205644-0.0087028j 0.0103773+0.00663715j -0.00556856+0.0100819j 0.0265398+0.0203337j -0.00861795+0.00429511j 0.010416+0.0014971j -0.0193163+0.0129359j 0.0359683+0.0162612j 0.00779529+0.00140875j -0.0073506-0.001185j 0.0102523+0.00565471j -0.0123328-0.0249885j 0.00933919+0.0172245j 0.00561194+0.00144565j -0.0500861-0.00405403j -0.0100591+0.00357093j 0.0195547+0.0294197j 0.0194532+0.0132888j 0.00443139+0.0149398j 0.00585399-0.0190848j -0.00859665-0.0129318j -0.048129-0.00412951j -0.0643062-0.0130861j -0.00284169+0.0385405j -0.0102132-0.00574661j -0.0355988+0.0140425j 0.0174226-0.00942528j -0.0347144-0.0340638j 0.0301726+0.0428669j 0.00128071+0.0158385j -0.0210344-0.00366927j -0.052025-0.0354857j -0.0173017-0.00324922j 0.00135115+0.0634911j 0.0735956+0.0568483j 0.00392688+0.0352779j -0.141446-0.0875426j 0.00617683-0.0494943j 
0.0568321+0.00624302j -0.000107574+0.0115778j -0.0181899+0.0355167j 0.0125052-0.00304283j 0.0199705+4.2637e-05j -0.0418076+0.0237084j -0.0261962+0.0131371j 0.0247356-0.000882536j 0.00110844+0.0111011j 0.00636295-0.00173959j -0.0379704-0.00950046j 0.00630001+0.000903677j 0.0100052-0.00688907j -0.0427985+0.00711742j 0.00270767-0.00083072j 0.0105379-0.0220719j -0.00083178+0.00182371j -0.0369327-0.00727259j -0.0237919+0.0152298j -0.00236011-0.0134474j -0.00208625-0.00342239j 0.0199513-0.000549666j 0.00518102-0.0016613j 0.00835714-0.00487788j -0.0275844-0.00900936j 0.0017224-5.17332e-05j 0.020239-0.00461498j 0.00517447+0.000385016j -0.0143987+0.00729333j -0.00422039+0.00731565j 0.0203158+0.0122806j -0.011153+0.0134513j 0.01319-0.00555934j 0.00975593+0.00420669j -0.00241319-0.00270757j 0.0131372+0.00205717j 0.0201557+0.00387819j 0.0177514-0.00224802j 0.0127258+0.0122735j 0.00775169-0.00415044j 0.0208199+0.00867285j -0.00254875-0.00483767j 0.0266412-0.00104319j 0.00435319+0.0182355j -0.00501266-0.0127064j -0.0336142+0.00411331j -0.0110664-0.01312j 0.00270918+0.00696106j 0.0130124+0.034962j 0.0016376-0.00617466j 0.0292343-0.0232283j 0.0315365+0.00851827j 0.0151164-0.00301751j -0.0235618+0.00122556j -0.02672+0.0169166j 0.0113777+0.0456056j 0.000481141+0.0505624j 0.0483462+0.0169807j 0.00189043-0.0196541j -0.0103542-0.00143975j -0.06172-0.0226894j -0.0277575-0.00725626j -0.0014747-0.0219367j 0.0200291-0.0161334j 0.022705-0.0123871j 0.00435608-0.0227149j -0.0625044-0.06777j -0.0488526-0.0136982j -0.00203748+0.050858j -0.0571623-0.0506157j 0.00415953-0.0469482j 0.143483+0.0882661j 
0.0498785+0.00416276j -0.0360237+0.0160324j -0.0141749+0.0132025j 0.0156126-0.0213075j 0.00675193+0.037577j -0.0221512+0.0368845j 0.000959821+0.0162348j -0.00276923+0.0108572j 0.00916978-0.00095885j 0.0413338-0.0147994j -0.00300441+0.00566576j -0.0099116-0.0124111j 0.0185841-0.0261838j -0.0183279+0.0225991j 0.0256328-0.00307693j -0.00649573-0.0192312j 0.00661356+0.0163354j -0.035293+0.00311659j -0.0204079-0.000722988j 0.0217456-0.0253695j 0.0148089+0.00683088j 0.0109024+0.00260895j -0.00792603-0.005647j 0.00487314-0.00220159j -0.00487196+0.00930017j -0.00934999-0.00236762j 0.025323+0.00861908j -0.0129833+0.0120042j -0.000852686+0.0112107j -0.0163643+0.0101136j 0.0117134-0.00224563j -0.0154343-0.000221746j 0.00637509+0.00331712j -0.00460539+0.00643868j -0.00100881-0.00511096j 0.00396148-0.00292649j 0.0129302+0.0146159j -0.00400293-0.00761685j -0.00716666-0.0160557j 0.0131968-0.0087859j -0.0077184+0.0121278j -0.0360925-0.00250848j 0.0193908+0.00434576j 0.00888328-0.0136929j -0.0035727+0.0122768j -0.00715892-0.00691145j -0.0309489+0.0183561j -0.00113261+0.00909675j -0.0106006-0.0166576j -0.00678514-0.0040689j 0.0155175-0.0244052j 0.00593916-0.0253198j 0.0132346-0.0471518j 0.0246787+0.00496785j -0.0168848-0.0190556j -0.0164957-0.0289401j 0.0368062-0.00369355j -0.00504095+0.00607294j -0.056227-0.0232693j 0.0026596+0.0135608j -0.00876527+0.00997863j -0.0253012-0.0159485j -0.0417538+0.0108053j -0.0127133+0.039708j 0.0325222+0.0274932j -0.00567859-0.0373405j -0.042986+0.0218418j 0.0124762-0.0308555j -0.0191924-0.0108533j 0.0251328-0.0576592j 0.0661866+0.0294897j 0.0233361+0.0121777j 
0.0299767-0.0131766j 0.0592225-0.00500403j -0.00731615+0.0269397j -0.0254909+0.00352104j 0.00493224-0.0490725j -0.0230728+0.00890397j -0.018209-0.00380018j 0.0122813+0.0125191j 0.010124-0.00111962j -0.0243209+0.0109799j -0.0112931-0.0116785j -0.0115913-0.0025642j 0.000698517+0.0203829j -0.0350729+0.00549969j -0.0115117+0.0135003j 0.02317-0.00632458j -0.02022-0.00455333j 0.00170231-0.0239367j -0.0193235-0.00203259j 0.00254107+0.0166057j -0.0189098-0.00736085j 0.0225256+0.0182128j 0.0312128-0.00978618j -0.0108682+0.00204324j -0.028228+0.00416363j 0.00188742-0.00100951j -0.0166114+0.00597303j -0.00270496-0.00730275j -0.0183008+0.0104477j -0.00748103-0.00339566j -0.00425487+0.0180125j -0.0134554+0.01164j -0.00461656-0.00927749j -0.0148865+0.00776483j 0.00351162+0.00633543j -0.000320003+0.00859364j 0.00664541+0.0140965j 0.012075+0.00567899j -0.00363181-0.0013333j -0.00420244+0.00699793j -0.00882892-0.00188867j 0.0179393-0.0179145j 0.00887622-0.00028396j -0.0016528+0.00816309j -0.000667045-0.0036993j -0.00356563+0.0194057j -0.0124951-0.01541j -0.0219145+0.0225984j 0.00600008+0.01422j -0.000909699+0.017993j 0.0371813+0.00778157j 0.0481983+0.0165445j 0.0254476-0.00137212j -0.0275274+0.00642511j 0.0202578+0.0234144j 0.0137043-0.00921218j -0.039289+0.0377383j -0.0193398-0.00401885j -0.0107193-0.0405159j 0.00380436+0.0166123j -0.0246116-0.0204189j -0.0205357+0.00415167j -0.017667+0.00587533j 0.00136631-0.0200072j -0.0082809-0.0801886j -0.0996639+0.00527612j 0.0329391+0.0179739j -0.0297995-0.0480291j -0.0247491+0.0774964j -0.00220767+0.0141725j -0.0354443-0.0204009j 0.0842992+0.0380709j 
-0.0103236-0.010897j 0.0275013+0.0115718j -0.000620347-0.00115892j -0.0164241+0.0332423j -0.00598632+0.021223j -0.0194385+0.0184067j 0.057512-0.000735638j 0.0120545-0.0189724j -0.0032776+0.00386919j 0.000662163+0.00635226j 0.00802859+0.0142154j 0.00075513-0.0187438j -0.0288909-0.000705204j -0.0129131+0.00562136j 0.00489483+0.0106026j 0.0344284+0.0208461j 0.0237572+0.0165518j 0.00497133-0.0140112j 0.0179518-0.017915j 0.0154082-0.0013091j 0.0267211+0.00127244j -0.0210799+0.0258169j 0.00668304+0.00303611j 0.0155642-0.00231359j -0.0138362-0.00728348j -0.0250031+0.00805238j -0.0451242-0.0042811j -0.0129855+0.0267368j -0.00116815-0.00512515j -0.00640648-0.0129005j -0.00220563-0.000360884j 0.00369162-0.00234893j 0.0187145+0.00888045j 0.0150566+0.0141761j 0.0129318-0.00244341j 0.00595642+0.0122644j -0.0228669+0.00487943j 1.0125e-05-0.00426715j -0.00720055-0.000919025j -0.0197273-0.0283121j -0.0200856-0.0041146j 0.0179454+0.0122161j 0.00887339-0.00462273j -0.0184465+0.00285562j 0.0148108-0.00277142j -0.0242251-0.0332599j 0.0314911+0.0286881j 0.0104077+0.000229228j -0.0557138-0.00347747j 0.00546742+0.0120253j -0.000886901+0.0298804j -0.000693526+0.0276666j -0.0293221-0.000696255j 0.00345949-0.025145j -0.00625298-0.0207208j -0.0504659-0.0184714j -0.0454166-0.0240449j -0.0122138+0.0347275j 0.00583589+0.0387626j 0.0042059+0.0511153j 0.0246628-0.00823745j 0.00716019-0.0453189j -0.0166667+0.0274845j -0.0380874+0.0284083j -0.0263712+0.000766712j -0.00660617-0.02225j -0.023075+0.0128151j -0.000924376+0.0793639j 0.0824773+0.0181559j -0.00226843+0.0444403j -0.0837288-0.0354603j -0.0404982-0.045786j 
-0.0268916-0.0135539j 0.0039148-0.0172279j 0.00984297-0.0156245j -0.00549883-0.00557483j -0.0129919-0.00543539j 0.0272077-0.00441133j 0.00805887-0.02214j -0.0135585-0.00147477j 0.0106664-0.00548662j 0.0176934-0.000756325j 0.016939-0.0083551j -0.0200989-0.00242511j -0.010019+0.013352j 0.0387636-0.00105564j 0.0161319-0.00614929j -0.000197645+0.00597218j -0.00840633+0.000405767j 0.0258241+0.0133349j 0.0326561-0.0184801j -0.00306349+0.0102508j -0.0138002+0.0099874j -0.0146499+0.00249214j -0.00616972+0.0089104j -0.00209486+0.011098j 0.0200108+0.0165204j 0.00796394-0.00752695j 0.00321427+0.000444419j -0.0110846-0.00401079j -0.00379475-0.00499957j 0.00892182-0.00251475j -0.0233572-0.0196659j 0.00251055-0.0165174j -0.00590902-0.0115996j 0.00643357+0.0102137j -0.00234382+0.00381366j -0.0223057-0.00551124j -0.0116973-0.0210347j 0.00216187-0.00827289j -0.0116894-0.00446727j -0.000704857+0.0062611j -0.00654693-0.00800343j -0.0416859-0.0035724j -0.0201182-0.00421946j -0.0103273-0.027626j -0.00314319-0.00370623j 0.018344-0.00677387j -0.00799561-0.00512193j 0.00344193-0.00296745j -0.0136529-0.0385469j 0.0231258+0.0282587j -0.0344949-0.00690057j -0.0129966-0.0154536j -4.60728e-05+0.00455638j 0.018926+0.00963886j 0.0261238-0.0145971j 0.000571353-0.0646863j 0.0210586-0.0222127j -0.0294497-0.00816163j 0.0103255+0.0296909j 0.00619317-0.0214783j 0.00364614+0.00254206j 0.00594745+0.0212883j 0.00243619+0.0193044j -0.0666506+0.00871584j 0.0313329+0.0260241j -0.0302695+0.015991j 0.0269464+0.063235j 0.0420755-0.0261738j 0.00191342-0.0406771j 0.0668461+0.0256524j 0.0291477+0.0339921j -0.0635557-0.0271929j 
0.0457002-0.00486403j -0.0378039+0.0207998j -0.00723099-0.0214113j 0.0083785-0.0581162j -0.0112827-0.0041927j -0.00725588-0.0161321j -0.0411982+0.0220121j -0.00727129+0.0265128j 0.0298544-0.00111928j 0.0336505-0.0218897j 0.0181269+0.0192311j -0.0268222-0.00504402j 0.0105926-0.0422313j -0.0153509+0.0276748j 0.00649819+0.00924086j -0.0130029-0.00793971j -0.0232774-0.0073606j -0.0283425+0.02513j 0.00804132-0.0208263j 0.0256871+0.0246336j -0.00749011+0.0106725j 0.0198978+0.000418601j 0.00514332-0.0109095j -0.0361298+0.00951395j -0.0219733+0.0147176j -0.00529129-0.0188933j 0.0138272-0.00467369j 0.0286331+0.00435608j -4.41309e-05+0.0114838j -0.0120636-0.00221521j -0.00360647-0.0160927j 0.0129032+0.00171015j 0.00905806+0.00748124j -0.00417665+0.00716056j -0.0116234+0.0145921j -0.00770898-0.00715662j 0.0202432+0.00601744j -0.00724233-0.00841592j -0.0052357-0.0221457j 0.00928573-0.0173409j -0.00967379-0.00428126j -0.0410616-0.00981072j -0.00065308-0.00230471j 0.00142176-0.0275467j 0.00813711-0.00515275j 0.00730022+0.0182859j -0.0224431+0.0135064j -0.00100057+0.0137462j -0.0103041-0.0297399j -0.0164658-0.00174167j 0.00648547-0.0363938j 0.00763665-0.0253076j 0.0189497-0.0168659j -0.0134492+0.0285378j -0.00576751-0.0109041j 0.00343838-0.02744j -0.00136327-0.0268516j 0.00897415-0.0400525j -0.0516456-0.0408487j -0.00531615-0.0116183j -0.00861441-0.00396434j -0.000133424+0.0038296j -0.0166464+0.0307011j -0.0462495+0.0388245j 0.0666697+0.00687685j -0.0329645-0.030531j -0.0592615+0.0387262j 0.0656938-0.040623j -0.0121084-0.0517839j 0.0262199-0.0229008j 0.0562137+0.0462898j -0.00185216-0.0259237j 
-0.0140564+0.0112813j -0.0283856+0.0114365j 0.0113582-0.0220446j 0.0341695-0.01201j -0.0030836-0.0116476j -0.0133403-0.0599216j -0.0207123+0.0300812j 0.0189968-0.026198j 0.0258871+0.0169313j -0.0069866-0.0190581j 0.013351+0.0149038j -0.00100717+0.0174355j -0.0385721-0.0124285j 0.00896621+0.0144797j -0.00196675-0.000474557j -0.0180857+0.00645166j 0.00621647-0.0274949j 0.00201302+0.0301142j 0.021789+0.0126457j -0.00423238+0.0337801j -0.0277219-0.0146001j 0.00754212-0.0131374j -0.0121745+0.0315178j -0.0434466-0.0359508j -0.0135813+0.00170022j 0.0289261-0.0073977j 0.0131518-0.0271086j 0.0537262+0.00615639j 0.0119986-0.0148439j 0.00521911-0.026014j -0.0169677-0.0274612j 0.0185004-0.00128021j 0.0164057-0.00828924j 0.0172383-0.00997967j -0.0158568-0.00655622j -0.00213128-0.00147345j -0.0177345-0.0130606j 0.00102445+0.0047245j 0.00807382-0.0156558j 0.0229786+0.00104944j 0.0189997-0.0142404j -0.000698964+0.00259595j 0.00748562-0.0199254j 0.00477696-0.0103102j 0.00268724-0.00783488j 0.00768818+0.00518621j 0.0131464-0.0058241j -0.00112402-0.01209j 0.00697436+0.00733512j -0.0417989-0.00791431j -0.0255369+0.00468771j 0.0100969+0.024475j -0.00118808+0.0427994j -0.0303858+0.0293992j -0.026732-0.000324447j 0.0365145+0.0278002j -0.0346728-0.0739475j 0.0295466-0.0537923j 0.00587909+0.0262153j -0.00807152+0.00525435j -0.0444175+0.0367564j 0.00799487-0.014606j 0.0762058+0.0182336j -0.0346398+0.0127953j -0.00190212-0.0224039j 0.0202651+0.0773262j 0.0383785-0.0231326j 0.0104602+0.0350211j -0.0234063-0.0684121j -0.00567422+0.0170569j 0.0201017+0.0133404j -0.0210488+0.00325925j 
-0.0509555+0.0307513j -0.031411+0.00724096j 0.0204842-0.0527303j 0.00608807+0.0193589j -0.0357467+0.0175712j 0.00871375-0.0313466j 0.0156509-0.0282047j -0.00635884+0.00724295j 0.0205323+0.0174557j 0.0189324-0.0269159j 0.033703+0.00950907j -0.00880587+0.0153373j -0.0266055-0.00267852j -0.00150645-0.00100432j -0.0106792-0.00276963j -0.0139894+0.0344069j 0.0019677+0.0132955j -0.000679576+0.0167159j 0.0278154-0.0137299j -0.00653395+0.000421061j 0.00698582+0.00709191j -0.0263965+0.000322522j -0.00627024-0.00462529j -0.00919821+0.0378476j -4.27087e-05+0.0117311j -0.0114804+0.00526662j -0.00643311-0.00821952j 0.000849657-0.0135218j -0.000535177-0.00267531j -0.000214567+0.0238559j 0.00852968-0.00658724j 0.0167752-0.0271255j -0.00214988+0.0108557j 0.00919567+0.0118972j 0.00224449+0.0114689j 0.00292942-0.0125048j -0.0168533-0.00355085j 0.00188798+0.00108162j 0.00791292+0.00861748j -0.00294783-0.0162762j -0.00918217+0.0111894j 0.00244617+0.026173j -0.00335693+0.0105337j 0.000172632-0.00185864j -0.00451424-0.0173996j 0.00488438-0.00555849j 0.00517348+0.00415565j 0.00729072+0.0169933j -0.0233816-0.0250776j 0.0172413-0.00965423j -0.0165871+0.0183841j -0.0190201-0.020366j 0.00924941+0.0120522j 0.00346199-0.000644983j -0.00407708-0.00311735j -0.0191264-0.0108879j -0.0267292+0.0110698j -0.0257591+0.0320677j 0.041881-0.0256352j -0.0526513-0.0055423j 0.0143158-0.013661j 0.071734-0.0200525j -0.0120348+0.0557013j -0.0804305-0.0261698j 0.0022116+0.0370593j 0.0319146+0.0313998j -0.0140314+0.0130997j 0.0189325+0.0299901j 0.0285315-0.0128716j 0.0192975+0.0659505j -0.0134558-0.0248388j -0.0614155-0.0426244j 
-0.025876+0.00406509j -0.00568084+0.00116921j 0.00567338-0.0123545j 0.00425731+0.00606374j -0.00663006-0.0218236j 0.00702003-0.0321491j -0.0231411-0.00875734j 0.0290812-0.0116573j -0.0121929+0.0231533j 0.00266258-0.000908242j -0.0108118-0.0111807j 0.0148295+0.0237318j -0.0258138+0.0132344j -0.000578792-1.28196e-05j -0.0132291+0.00498195j -0.00614485+0.0235722j -0.00157806-0.000239007j 0.0116537+0.00791749j 0.00672403+0.00212267j -0.0162709+0.007901j -0.022795-0.00488571j -0.00301238-0.0167757j 0.00178654+0.0152204j -0.00917327+0.000590192j -0.00379954-0.00301171j 0.0159075-0.00225336j -0.0112879-0.0209577j 0.000251677-0.0254698j 0.0086236-0.00404084j -0.00726436+0.00142031j 0.00268159+0.0054942j 0.0135139-0.02127j -0.00174954+2.42943e-05j 0.033548-0.028848j 0.00291592-0.00420023j 0.0194181-0.0012119j -0.0224518-0.0185995j 0.0166928+0.0243115j 0.0110824+0.0256901j 0.00311946-0.00276148j 0.00772142-0.00575642j 0.0360792+0.0119836j 0.00119262+0.0132543j -0.00412521+0.017056j -0.0226368-0.0199573j -0.0308089+0.0247034j 0.0128271+0.00501071j -0.0180205-0.00864916j 0.0155432+0.0122837j -0.00495176-0.00933421j -0.0112151+0.0205526j -0.0158395+0.023015j -0.0202511+0.0201905j -0.046017-0.00676975j -0.00671173+0.0102803j 0.013442+0.0820987j -0.0418551+0.0189635j 0.0422197+0.0145451j 0.0597165+0.0153658j -0.0158428-0.00258162j -0.0112798-0.000940971j 0.0356086+0.00147931j 0.00634224-0.00630263j 0.00541845-0.022137j -0.0404289-0.00594792j 0.048739+0.047589j 0.0164734-0.0666795j -0.050081+0.0384164j 0.0368564+0.00939365j -0.0315571+0.0442545j -0.0230256-0.00913144j -0.0242968+0.0109744j 
0.00169607+0.0167324j -0.0584675+0.0106148j -0.0302917-0.00989648j 0.0221823-0.0123263j 0.00669141+0.0594155j -0.0218639+0.0107954j 0.013817+0.0385523j -0.00541594-0.0210085j -0.00539223+0.0101305j 0.00668812+0.0055857j -0.0239915+0.0346335j 0.0316426+0.0167297j 0.033451-0.0430806j 0.00277424-0.0315509j -0.0091228-0.0185908j -0.0109208-0.0215939j 0.0107334+0.000810865j -0.0300179+0.0320921j -0.0262648+0.0255501j -0.014694-0.0381996j 0.0296423+0.019193j -0.0118828-0.0326641j -0.0459636-0.010208j 0.0291116+0.000316741j 0.0253049-0.0279511j -0.00237256-0.00822964j 0.0500414-0.00624866j 0.0165361+0.0090067j 0.0046301+0.0149172j 0.00622207+0.00629033j 0.0334023-0.00363434j 0.0161341-0.00827591j 0.00837189+0.0215619j -0.00298697-0.0166677j 0.00771863-0.000595305j 0.0220319-0.0143876j 0.00191275-0.0297681j 0.010128+0.00339085j 0.0325604+0.00783226j 0.0106152+0.000943791j 0.0299836+0.0248591j 0.0274283+0.0174429j 0.00734351+0.00976283j -0.00352867+0.0381375j -0.00367194+0.00224963j 0.0121518+0.00531434j 0.00698926-0.0114825j 0.0195948-0.0111003j 0.00221588+0.0438338j -0.023343-0.0517949j -0.0190538-0.029674j -0.0116452-0.0189846j -0.0352878+0.0109947j 0.0329792+0.00339598j -0.0634715-0.019371j -0.0150927+0.0485196j 0.0496707+0.0108366j 0.0501125+0.00153601j 0.0117327+0.0433911j -0.0248788-0.0112792j -0.0254497+0.00160208j -0.00402956-0.0206331j 0.00716122-0.0994278j 0.0675783+0.0305305j -0.0338189+0.0691567j 0.144042-0.0502922j -0.0860615-0.111257j -0.0299885+0.0732082j 0.0317034-0.0517059j -0.0290877-0.0403307j 0.00901678-0.0524484j 0.0339382+0.0105811j 
