3.49634e-05+0.00087028j 0.00101702+0.00179227j -0.000746635-0.000546609j 0.00139554+0.00195463j 0.00102978+0.00135483j 0.00206039-0.000758206j 0.00231515-0.000705947j -0.000525826-0.000703154j -0.00073783+0.00275298j 0.00244395+0.00714137j -0.000300966-0.00922212j -0.00706307-0.000720039j -0.000296509+0.00178436j 0.00274103-0.00807692j -0.0103814-0.00153652j 0.000421913-0.00162507j -0.000836679-0.000249388j 0.0135323+0.00178739j 0.00462342+0.00573531j -0.00188559+9.90513e-05j -1.17884e-05-0.00151116j 0.00632504-0.0130469j 0.00453271-0.00464025j -0.00653204-0.00624072j 
0.00365941+0.00051224j 0.0108169+0.000302343j -0.00158583+0.00920516j 0.0108218-0.007072j 0.0120687-0.00625371j -0.00625691-0.00793603j -0.0088717-0.0152815j 0.00104329+0.00400568j 0.0101147-0.00529679j 0.00379832-0.00459421j -0.00758528+0.0134388j -0.00297019+0.00634039j 0.00295391-0.00270032j -0.0149706+0.0163216j 0.00636111+0.010398j -0.00135044-0.00438177j 0.000182918+0.0012398j -0.0230545-0.0223049j -0.0079275-0.00399172j 0.00160602+0.00340935j 0.00235378-0.000491906j -0.0205517+0.0121064j -0.00426464+0.0060297j 0.00219247+0.00925963j 
-0.00126501-0.00324106j 0.00435545+0.00110995j -0.00131898+0.00473254j 0.0112763-0.00845704j 0.0017254+0.00385232j -0.0125224-0.0145238j -9.76248e-05-0.00266799j -0.00897297+0.0088876j 0.00605832-0.00329548j 0.00163798-0.0165806j -0.0129951+0.0101392j 0.0195861+0.00459163j 0.00163938+0.00199487j -0.0026189-0.0122241j 0.0219393+0.0150865j -0.000329284+0.0089566j 0.000592414+0.00125758j 0.00165696+0.00838037j 0.0180556-0.0220514j 0.000565169+0.000800834j -0.00980916+0.00859664j -0.00125823+0.00749981j -0.0146544-0.0106448j 0.00362156+0.00667606j 
-0.007935-0.0323555j -0.0183797-0.0116776j 0.00905164-0.0158797j 0.00476481-0.00136244j -0.0107213+0.00308025j -0.00230792-0.00893968j 0.00193099+0.0106035j -0.0072896+1.12426e-05j -0.00313932+0.000809358j 0.00233971-0.00364546j -0.00218571+0.00878217j 0.00152858+0.00599653j -0.000519741+0.00206081j 0.00903278-0.0132736j 0.0233565+0.00741878j 5.70708e-05-0.00920963j -2.91758e-05+0.000907425j 0.0037154+0.0239576j 0.0216911-0.00916365j -0.00194042-0.000557729j 0.000291249+0.00844829j 0.0138451+0.00403999j -0.00222083-0.0107398j 0.00119312-0.00416302j 
0.00254582+0.0133913j 0.0108791+0.00695623j -0.00559647+0.0101542j 0.00827487-0.00114655j 0.0195-0.00328686j 0.000747046-0.00456541j -0.000928323-0.0263212j 0.00394009+0.00398031j 0.0172752+0.00204498j -0.00095143-0.000601284j 0.00316923+0.00872526j -0.00221513+0.00307192j -0.0019085+0.00295482j 0.0167514-0.0148813j 0.0250873+0.00316874j 0.00141614-0.0125808j 0.000165679+0.000316081j 0.00738907+0.03952j 0.027607-0.00499004j -0.00234295-0.00103801j 0.00108014+0.0103535j 0.0287447+0.000473475j 0.00160625-0.0161047j -0.00148135-0.0118868j 
-0.000138232-0.00285908j -0.0217467-0.0191587j 0.0183354-0.0206723j -0.010458+0.00772021j 0.0227695-0.00241544j 0.00988692+0.021936j 0.00460146-0.0282766j 0.0225976+0.000448786j 0.0110074+0.00333787j 0.00290511-0.00553602j -0.00364851-0.0010694j 0.00768023+0.00357288j 0.00101537-0.000651159j -0.00667777+0.00197761j -0.00128373+0.00347491j -0.00208991+0.0058131j 4.9633e-05-0.000944489j -0.00249363-0.00900209j -6.43304e-05-0.00684288j 0.000217655+0.000764104j -0.00230431+0.000549071j -0.00836036+0.00231038j -0.00636462-0.000925651j 0.00161626+0.00572585j 
0.00562961-0.0462887j 0.0117591+0.0155733j -0.01377+0.00942595j -0.00324744-0.000107799j 0.0108401-0.000218775j 0.000348204+0.00629418j 0.00128391-0.0114166j 0.00550991+0.00198969j 0.0054926+0.00084536j -0.00182314+0.00765915j 0.00250651+0.00290897j -0.0135685-0.0032038j 8.51801e-05-7.61838e-05j -0.00264674+0.00120687j 0.00101537-0.000944846j 0.00544368-0.0126488j -8.59501e-05-0.000432039j 7.9273e-05-0.00497021j -0.00114488+0.00384575j -0.00139678-0.00132476j 0.00727213+0.00301991j -0.00395441-0.00255804j 0.00250953+0.00288047j -0.00114889+0.000890955j 
0.0021355-0.0107161j 0.000437794+0.000919604j -0.000354536+0.00023276j 0.0112233-0.00384673j -0.000499773+0.00141371j -0.00515174-0.0159559j -0.00113763-0.00102306j -0.0104583+0.00371239j 0.00502028-0.00078264j -0.000664258-0.0126879j 0.00400421-0.0209933j 0.0320243+0.000384607j 0.000509118-0.00165818j -0.00555031+0.011311j -0.0346765-0.0196289j -0.0196097+0.0434534j 0.00056627-0.000470701j 0.00505753-0.0147256j -0.0282228-0.000503101j 0.00542502+0.00423842j -0.016169-0.0217573j -0.00189314-0.00492009j -0.00357018+0.00592924j -0.000510144+5.04905e-05j 
0.00137639-0.00441777j -0.00277527-0.00724143j 0.00764881-0.00259656j 0.0147919-0.00193119j 0.0146305+0.00631366j -0.00160002-0.0141951j 0.00953253-0.0217853j -0.00434425+0.00672026j 0.0168532+0.00861593j -0.00501966+0.00338037j 0.0136415-0.00908208j 0.00145123-0.00491023j -0.00130216-0.00161021j 0.00427422+0.0108017j -0.0183862-0.0211721j -0.00692466+0.00925938j 0.000483331-0.000942342j 0.00134407+0.00367534j -0.0187373+0.0127117j 0.00136019+0.00116788j 7.9767e-05-0.0110922j 0.0138965-0.0046259j 0.00964325+0.0057051j -0.0018054-0.0110953j 
0.00654928-0.00392654j 0.00602518+0.0174698j -0.0167922+0.0060938j -0.0215029-0.000842082j 0.00520235+0.000372281j -0.00305149+0.028946j 0.00313173+0.000280274j 0.0170111+0.00303954j -0.00673218-0.00130411j 0.00899878-0.0102458j 0.00293496-0.00947886j 0.0212573+0.0131495j 0.00044517-0.00169555j 0.00457861-0.000278129j -0.00464287-0.00627256j -0.0154127+0.0181401j -0.000225012+0.000793168j 0.000212155+0.00796068j -0.00151646-0.0051002j 0.00125998+0.00186849j -0.00715864-0.00798515j 0.00640305+0.00519152j -0.00123371-0.0011595j 0.00359289-0.00272684j 
-0.000973608+0.000144302j 0.00139352-0.00312546j 0.0056271+9.66289e-05j 0.00825908+0.000580829j 0.00178387+0.00024652j -0.00111759-0.0105545j -0.00297478-0.00396124j -0.00501775+0.00136405j 0.0036863-0.00365533j -0.0032296+0.00377609j -0.00209324+0.00180227j -0.00349889-0.00490466j 0.00144198+0.00138617j -0.00460631+0.000381134j 0.00342659+0.00235378j 0.00432394-0.00283495j -0.00121208-0.00129929j -0.0049269-0.00568679j -0.00264565-0.00442994j -0.00314648-0.00162637j 0.00100063+0.00343294j -0.00424518+0.0119694j -0.00330562+0.00587771j 0.0126645+0.0016585j 
