0.0385903+0.00952745j 0.0490274+0.0213948j 0.00593251+0.0351203j -0.0307243+0.0454143j -0.00728206+0.0195264j 0.00100832-0.000575513j -0.0909845+0.0343195j -0.0028503-0.000853168j -0.026793+0.0136647j -0.0173072-0.00215987j -0.06608-0.0035696j 0.0141425-0.00502697j 0.000866252+0.0149688j 0.0373005-0.0182785j -0.0543484-0.0174453j -0.0327965+0.00675589j -0.0312565-0.0208843j 0.00831153-0.0175275j 0.00228855-0.0277695j 0.0273503-0.0197782j 0.032617-0.0222037j -0.0110118+0.0180014j 0.0244127+0.00232736j -0.028434-0.0256467j -0.00805682-0.00100933j 0.00547263+0.0103179j 0.0106347+0.0354669j 0.0312312+6.70096e-05j 0.00126537-0.00278483j -0.0160205-0.0261282j 0.0264498-0.0204921j 0.0225821+0.0177777j 0.010595+0.0131098j 0.0190588-0.00129206j -0.00417215+0.0119371j 0.00024866+0.00579365j -0.0174673-0.00514645j -0.0135362+0.00957797j 0.000152556-0.0209085j 0.0184381-0.00113316j 0.00131589-0.00503085j 0.00582667+0.0126856j 0.00437002+0.0164848j -0.0180811+0.00765549j 0.000459578-0.0398086j -0.00606455+0.00101773j -0.0104371+0.00827279j 0.0218617+0.0155182j 0.0203016-0.00559875j -0.00737009-0.00660663j 0.0205675-0.00255788j 0.0149541-0.0322183j -0.00499192+0.0119379j -0.00459542-0.0134337j 0.0312052+0.00396689j -0.0121621-0.00464821j 0.0163825+0.0154533j 0.00285752-0.0313546j 0.0110089+0.029218j 0.0179617+0.0231047j 0.0507008+0.0298886j 0.0206906-0.0435392j 0.00814864-0.0245138j 0.0121036+0.0334812j 0.0147401+0.012371j -0.0105397+0.0352339j -0.00311262-0.00727574j 0.0148693+0.0127456j 0.0105537-0.0035214j -0.00653848-0.00759005j 0.042685+0.000485906j 0.0591675+0.0146945j 0.0263935+0.0133011j -0.00731041+0.0397011j 0.000886362-0.0670928j 0.0312154-0.00557921j 0.0315542-0.0475314j -0.0222751-0.0850442j -0.0507228-0.0349508j 0.00500998-0.0772382j 0.0992288+0.0174204j -0.0177278+0.0559836j -0.0739292-0.0615377j 0.0892339-0.0131011j 0.0202482+0.0187553j 0.0904222-0.0019214j 0.00918197-0.0198757j -0.0683324-0.0345889j 0.0330952+0.0773363j -0.0320902-0.0585977j -0.0709739+0.0248983j -0.070698-0.0454053j 0.00397906-0.0250648j -0.0226307-0.116955j 0.0976098+0.0571227j -0.0401934-0.0847725j -0.254649-0.142727j -0.0731619-0.163843j 
0.0511085+0.0195084j -0.042672-0.0114552j -0.0223156+0.0450796j -0.000447127-0.0448614j -0.028791+0.00495877j -0.0515703+0.038497j 0.00957133-0.0193225j -0.0563144+0.0173563j -0.00321172-0.00308733j 0.0210854+0.0207632j -0.0384503-0.0226617j -0.0527206+0.00497888j 0.0244541-0.0206492j 0.029324-0.0030662j 0.0435704+0.00978381j 0.00708646-0.00828615j -0.00925881-0.0246078j 0.0299426+0.0318963j 0.0303292-0.0121301j -0.000859986+0.00812434j 0.0385209+0.0375015j -0.0432419+0.00478407j 0.0302857+0.014944j 0.0376318+0.017088j -0.00726784-0.00252169j 0.0273333+0.0301014j -0.0275399-0.0139765j -0.0145048-0.00445555j -0.012715+0.018587j 0.0141355+0.00624195j 0.0149881+0.00594227j 0.00552664+0.011232j 0.0173057+0.00629422j -0.0238523+0.00670365j -0.0322326+0.0100268j 0.00783283+0.00914977j -0.0216738-0.0037632j -0.00827463-0.0202696j 0.0173212+0.0160995j -0.004158+0.0148157j 0.00261681+0.00283825j -0.03763-0.0163083j 0.0223586+0.00125994j -0.00336662+0.0115164j 0.0154198+0.0046057j -0.0233411-0.0135277j -0.00264463+0.00645663j -0.0131842-0.00354561j -0.00114895+0.00637086j -0.000280647+0.0182343j -0.0216006+0.00650523j -0.00365315+0.00464137j 0.0137832-0.0141903j -0.0140229+0.0230608j 0.0213741+0.00374884j 0.0186739+0.0317315j -0.0171143+0.00401374j 0.0143506+0.0192085j -0.0148393-0.0155901j -0.029126+0.0121277j 0.00325965+0.00954505j 0.0251307+0.00233485j 0.0216452-0.00148339j -0.0190231-0.00566868j -0.0148838-0.00555462j 0.0222002-0.024374j -0.00477817-0.0298973j -0.0060116+0.0370727j 0.0187786+0.00466287j 0.0233741+0.0108342j 0.00432073+0.0341711j 0.0166339+0.0527882j 0.028123+0.0302771j 0.00910075+0.00301254j 0.0813898-0.015807j 0.0329301-0.00686053j 0.0250052+0.0125118j 0.0985757+0.0166524j 0.0323573-0.00739796j 0.0807735-0.00462127j -0.00155544+0.126188j -0.0409773-0.0229037j 0.0537386-0.0754299j 0.0237566+0.0700558j -0.0498886+0.0193295j 8.93682e-05+0.0377768j 0.106638+0.0467558j 0.00944722-0.010875j -0.00538135+0.0528147j -0.00358574+0.0304225j -0.0314426+0.0346277j 0.0318328+0.0550339j -0.0861014-0.116925j -0.0882805+0.00974004j -0.0399462-0.110371j -0.071353-0.04927j 0.0759229+0.163913j -0.257501-0.143797j 
0.0641652+0.00473598j -0.00411971-0.000905586j -0.009529+0.030915j 0.00529562-0.00340547j -0.00656403-0.0236459j -0.0234959+0.0786203j 0.016136-0.0142931j 0.0155881-0.0222335j 0.0382088-0.0331282j -0.0236137+0.0162044j -0.00272164+0.000613984j -0.0423625+0.00915284j -0.00153039-0.0265853j 0.0201364-0.0284469j 0.00672022-0.0269158j -0.0518926+0.00786614j 0.0326823+0.0081179j 0.0279385+0.0193305j 0.0377831-0.00394347j 0.0130311+0.0364355j 0.008239+0.0336755j -0.0580001+0.0157388j 0.0148325-0.0133537j -0.015759+0.00703848j 0.00379567-0.0311761j -0.0131864-0.0148403j 0.00397176-0.0256857j 0.0353085-0.007489j -0.0178472+0.0184065j 0.00948445-0.00369069j 0.000722708+0.00369427j -0.0115793+0.0205787j -0.00915779-0.0169521j -0.0219831-0.0104652j -0.0169462-0.0134489j -0.0363424+0.0125487j 0.0407522+0.00152103j 0.0160149-0.0348911j -0.000432146+0.0210647j -0.0164402-0.00656773j 0.00629214+0.0122207j -0.00523853-0.0185412j 0.00240888-0.00451475j 0.0333854-0.00589706j 0.0028314+0.00577147j -0.0146564-0.0137316j -0.0065692+0.00164705j -0.0200585+0.00303718j 0.0177585-0.00566275j 0.00161793-0.0106232j -0.0140741-0.0168502j -0.0188405+0.0228732j 0.0129078+0.0110279j -0.0341851+0.0189031j 0.00378906+0.0210187j -0.00935404+0.00452632j 0.0190293+0.00662012j -0.0017892-0.00323676j 0.00221491-0.00302426j -0.0350056+0.00882449j 0.00489715+0.0389643j -0.0200955+0.0158636j -0.0389452+0.0205239j 0.0102269-0.00698923j 0.0287117-0.0219246j 0.0115034-0.0310737j 0.0267373+0.0339858j -0.0117147-0.0523576j 0.0559885+0.0172562j -0.0294535+0.00689002j 0.0109034+0.00577626j 0.0112295-0.0404264j 0.0402551-0.0231576j 0.0806821-0.0254963j 0.0223355+0.00404244j 0.0468721+0.0237965j 0.0118376-0.0236088j 0.0369268-0.0709954j 0.0475131-0.0840573j -0.0672663-0.0656015j -0.0516454-0.0632823j -0.0211967-0.0723153j -0.0837511+0.052j 0.0124098-0.0026615j 0.0827973+0.0336675j 0.000403349-0.0180065j 0.0538488+0.00591822j 0.0576906+0.0306554j 0.0730181-0.060569j 0.00568196-0.0649493j -0.0773638-0.0205717j 0.0689647+0.0401366j -0.0105156+0.0643893j -0.00397035-0.0754491j 0.0144733-0.0457765j 0.082239-0.0570997j -0.0824798-0.047584j -0.0432978-0.0369261j 
0.0186035-0.00535992j 0.069089+0.000539649j -0.0089548+0.00381716j -0.0135553+0.0179703j -0.0133332-0.0722901j 0.0249566+0.0355374j 0.00115352+0.00430878j 0.0121489-0.00349612j 0.0112954-0.0307047j -0.0386008+0.0329172j -0.0342934+0.0222883j 0.0303377-0.0249587j -0.0319647+0.0317843j -0.0177453-0.0219502j 0.0220954-0.0195074j -0.0297345+0.0258012j -0.00938942-0.0089743j 0.0544542-0.027674j 0.00627963-0.0412143j 0.0510848+0.0298335j -0.019607+0.0157258j -0.00663531+0.0155108j 0.00815892+0.00822638j -0.000215598+0.00343758j -0.0331038+0.00647531j -0.030318-0.0112042j -0.0148316-0.00919862j 0.0343016-0.015033j -0.0181837+0.0222997j -0.0076408+0.00730575j 0.0271848-0.00102629j 0.0210603+0.010205j -0.00976377-0.00142718j -0.00918007+0.00933747j -0.00476643+0.0139641j -0.0361084-0.00788719j 0.0138721+0.0038248j 0.00284862+0.00438945j 0.00579182+0.0294889j -0.00808912-7.93636e-05j -0.00223949-0.00509803j 0.0118996-0.000658748j -0.02736-0.0155039j -0.000970004-0.014742j 0.0186633+0.0072842j -0.00327455+0.00452955j -0.0187766+0.0212059j 0.0167992-0.0163314j 0.0415279-0.00635245j -0.00174224+0.0135948j 0.0303687-0.00797264j 0.0559223-0.00150458j 0.000705434-0.0224903j -0.013632+0.0162256j 0.00378047+0.00568737j -0.00118413+0.00843885j -0.00963264-0.0098831j -0.0192909-0.00261814j -0.0131422+0.00155847j -0.0282201+0.0208796j -0.0166668-0.016866j 0.0256372+0.0311839j -0.00777105-0.00351119j -0.00432367-0.00368665j 0.0132746-0.0361483j -0.0446139-0.0263734j 0.0154331-0.00859965j -0.0361979+0.036568j 0.032821-0.0451244j 0.00208229+0.0306903j 0.00773695-0.0382786j -0.0283273-0.000193137j -0.00721356-0.0749618j -0.054793-0.0202899j -0.016639+0.00701041j 0.0361859-0.0380426j -0.0566127-0.0355675j -0.0822617-0.013043j -0.0425453+0.0038691j -0.0667796+0.0709187j -0.0323367-0.00345139j -0.0314114+0.0232584j 0.0313013+0.0480409j 0.108373+0.0299579j -0.0226446-0.0575703j -0.0272608-0.00317614j -0.0488924-0.0284188j 0.0263449+0.0129511j 0.0185663-0.00850828j -0.00731391-0.0322275j -0.0267901-0.179543j -0.151023+0.0785026j -0.133188-0.0456866j 0.0235442+0.0826508j -0.0851882+0.0757222j -0.00702608-0.0812995j -0.0477123-0.0307285j 0.0854253+0.0508528j 
0.0297461+0.00709501j 0.0175052+0.00970572j 0.00331981+0.0234482j -0.00125234+0.0308269j -0.00383697+0.0324799j -0.00882796-0.00388162j -0.0479339+0.0240824j -0.00322219-0.0126148j -0.00968416-0.00791427j 0.0172572+0.000453453j -0.00990083-0.00955747j -0.00519067+0.0067453j -0.0218961+0.00373244j 0.0453567+0.00174999j -0.0552784+0.0128216j -0.0274992-0.015546j -0.00308463-0.0257666j -0.015167+0.0136355j 0.0212587-0.01692j -0.0192238-0.00696617j 0.0118104+0.00157265j -0.0217446+0.0363001j -0.00557089+0.00604957j -0.0332843-0.0122266j 0.00566112+0.0108691j 0.0038597+0.0195922j -0.0102925+0.0354478j 0.0223598+0.00727247j -0.0389124+0.00280793j -0.0167715-0.00861054j 0.00557945-0.00463953j 0.0131689+0.0123959j 0.0151896+0.00701922j 0.035144+0.00854218j 0.0067039-0.00337478j -0.0419958+0.00993736j -0.069746+0.011066j 0.00857817+0.00188677j -0.0334731+0.00226441j -0.0127549+0.0120165j -0.0224771-0.00958763j -0.00487286-0.00885391j 0.0450498-0.00942134j -0.0264462-0.00604321j 0.0488572+0.00696902j 0.00152553-0.0089758j 0.00508379+0.0151456j 0.03552+0.0120364j -0.0265642-0.0205792j -0.0263882+0.00166735j -0.0412094-0.0380142j -0.0224388+0.0360909j 0.0433363+0.00181409j 0.00445942-0.0519476j 0.0199208+0.0198144j -0.0058708+0.0125718j 0.0315344+0.0413087j 0.0134864+0.0119252j -0.0402493-0.0276111j 0.00158622-0.0137327j 0.0149162+0.00616704j -0.0254334-0.0350672j 0.00942933+0.0335548j -0.0267127-0.0155214j 0.0510167+0.0123632j -0.0215232+0.0230499j -0.0310495-0.00710102j 0.0302606+0.00085379j 0.0147361+0.00314168j -0.0309629-0.0138728j 0.0422703+0.00202178j 0.0306179+0.0256108j 0.0510508-0.0138862j 0.0410447+0.0351932j 0.00475267-0.0283665j 0.00358909+0.00740966j 0.0361758-0.00898463j -0.0107478-0.104213j 0.0365123+0.0332997j 0.0356798-0.0120332j 0.0357227+0.0158529j -0.0299342+0.0601316j -0.0328252-0.0505307j 0.0705072+0.00419969j -0.0161173+0.0278594j -0.0568863-0.113019j 0.0214344+0.0228815j 0.0243706-0.0452184j -0.0692213-0.00966157j -0.052452-0.0322404j -0.0568665+0.00860042j 0.0290268+0.0329142j 0.000668831-0.0158788j 0.0316888-0.0574584j 0.0602827-0.00109803j -0.00479355-0.0496075j -0.0597119-0.0274897j -0.0407446-0.0314896j 
-0.0178176-0.00807472j 0.0101562+0.0094294j 0.00458475-0.0190595j 0.00632408+0.028964j 0.0162979+0.00444692j 0.0101816-0.0108559j -0.00924391-0.00507988j 0.0325857-0.0194137j 0.0284619-0.0145748j -0.00728879+0.00572763j 0.0201283-0.00850068j -0.0102231-0.00206998j -0.0342258-0.00771176j -0.0380488+0.0122327j -0.0217112-0.0188514j -0.0171603-0.00387608j 0.00202794+0.0122031j -0.0391807+0.00715639j -0.0139889-0.00384807j -0.0217873+0.0053698j -0.00389481-0.0454255j 0.0289588+0.00117379j -0.0281141-0.00301617j -0.0492135-0.00180415j 0.00766262+0.0030106j -0.0322647-0.0192664j -0.0197688+0.0182892j 0.0367567-0.00791412j 0.0164861+0.00635498j 0.03991-0.0103381j -0.0180205-0.0069462j -0.0084191-0.0191617j 0.0112505-0.0129863j 0.0375825-0.0171395j 0.0405085-0.0120769j -0.00527052+0.00204852j 0.0185653+0.00821678j -0.00855583-0.0113477j -0.0168086+0.0157394j -0.000931778-0.0357123j -0.032195+0.00745624j -0.0138493+0.000473935j -0.0128471-0.0123573j 0.00250418+0.00147787j 0.0254654+0.00975557j 0.00805981-0.0111109j -0.00946575+0.00930022j 0.0247265+0.0150222j -0.0047834-0.00764955j 0.0154001+0.000396972j 0.00813404+0.0438396j 0.0703272+0.00774426j -0.0050818+0.0252006j -0.0287584-0.0483121j 0.00862025+0.00528251j -0.00280425-0.0283887j 0.0305435+0.00445094j -0.00175769-0.0114571j -0.00247949+0.0537521j 0.0200399+0.00796856j 0.0475505+0.0089207j 0.0092422+0.0466111j -0.0224034-0.00710714j 0.025164+0.0384632j 0.0375485+0.00335331j 0.0297098+0.0121184j 0.0362467-0.0403868j 2.52647e-05-0.0252767j 0.030424+0.0245284j 0.0219032+0.0323461j 0.00298518-0.0237843j -0.0242573-0.0415591j 0.0277919-0.00457011j 0.00487358+0.0251537j -0.0884773-0.0569124j 0.038906+0.0602006j -0.0255763-0.00215863j -0.0256324-0.045542j -0.00559536+0.0261733j -0.038745-0.0158741j 0.022731-0.0603903j -0.00699272-0.0377177j -0.0513794+0.0272776j -0.00946028-0.0216759j -0.0636844-0.0814325j 0.0399563-0.0317702j 0.0354491+0.0290974j -0.0104275-0.0138935j -0.00174414-0.0541209j 0.0945574+0.0109156j -0.063492-0.0336432j 0.0331917-0.0195919j -0.00593952+0.0499106j 0.0585888-0.0472659j 0.0117347+0.0319925j 0.059407+0.0142481j -0.0355258-0.0314006j 0.0377001+0.0184928j 
-0.0522629+0.00497814j 0.00212059+0.00303584j -0.00459801+0.005131j -0.0136994-0.0425114j -0.0275411-0.0387963j 0.0409048+0.000294385j 0.0364903-0.0168584j -0.00610391+0.0281078j -0.0261582+0.015632j 0.010921-0.00592408j -0.0330764+0.00168417j 0.0427222-0.00953452j -0.014443+0.0109114j -0.0121137+0.0378473j 0.0236318-0.000197047j 0.0160931+0.0294711j 0.0137463-0.0371182j 0.010456-0.00880088j -0.0148177-0.0371675j 0.0897448-0.00730882j -0.0360791+0.0515202j 0.0434328-0.0082608j -0.0090422+0.00415579j 0.0296442-0.00455258j -0.0390716+0.0399349j 0.000606926-0.00361479j -0.023645-0.00386333j 0.0293868-0.0121648j -0.0298757+0.0120653j 0.000246836-0.00333772j 0.00152248+0.018838j 0.0186814+0.0284533j -0.00147825+0.0196878j -0.0240723+0.0139127j -0.0142193+0.0148255j -0.00573144-0.0178424j -0.0180046-0.00531103j -0.0134128+0.0281775j 0.00412091-0.0271776j 0.00362483+0.000670332j 0.0208591-0.00431851j -0.0231286-0.0190934j 0.0218271+0.00990005j 0.0241706+0.0111261j -0.011772+0.00468095j 0.00401959-0.003139j -0.00558078+0.00535247j -0.00578358+0.0305385j -0.0290717-0.00702942j 0.00318041+0.00310032j -0.00965394+0.0172447j 0.00991591-0.0247421j 0.00233065+0.00322106j -0.00706048+0.005652j -0.0108039+0.0124066j 0.034672+0.00120164j 0.0207567+0.00872131j -0.00476936+0.0177467j -0.00906215-0.00842802j -0.0151929-0.0328499j 0.00674502-0.011504j -0.00912241-0.0509567j -0.0261575+0.0452912j -0.0114385+0.0241025j -0.0242213+0.0345195j 0.00484215-0.00215889j -0.0154901-0.00196675j 0.0411796+0.0656043j -0.0400298+0.0152295j -0.00672135+0.0192936j -0.0693171+0.0134559j 0.0344024+0.0231063j -0.0130924+0.0164218j -0.0244601+0.044786j -0.0198246+0.0189173j 0.0300134-0.0348761j 0.0137604+0.088454j 0.0134557+0.0635561j 0.00537901-0.0175765j -0.0289819-0.0367637j 0.0136278-0.0152044j 0.0599261-0.046378j -0.0128363-0.00523147j 0.0188996+0.0274031j -0.0414725-0.0165121j 0.00952943+0.0305609j -0.00795844-0.0708467j 0.0130551+0.0470602j -0.0744705+0.0697834j -0.0466+0.0311761j 0.100505+0.0202086j -0.0623996-0.10918j 0.112907-0.0537826j -0.118669+0.0345293j 0.0120036+0.00447245j -0.0193439+0.0138148j 0.0523519+0.0347938j 0.0151589-0.0220913j 
-0.0402709+0.00796802j -0.00269242+0.00455205j 0.0116641-0.0385677j 0.0239849-0.0132622j 0.0349059-0.00677837j 0.0385628+0.0239127j 0.00261478-0.0610234j 0.0326756-0.0549624j 0.000953259+0.0147152j -0.0282154-0.0142892j 0.0148916-0.021526j 0.00763317+0.00194545j 0.00440026-0.00568051j 0.0129328+0.0231826j -0.00082493+0.019059j 0.0132389+0.024252j -0.033573+0.0358567j 0.0185482+0.0392677j -0.0238154+0.0180074j 0.0668001+0.0224374j -0.0322657-0.0134389j 0.00925141+0.00269046j 0.0139285+0.0334538j -0.0155116+0.0205646j -0.0299087-0.0661393j 0.0169621-0.0277239j 0.0142581-0.036858j 0.0146868+0.0337488j 0.0122854+0.0214624j 0.00318309-0.0221432j -0.0257439-0.000777194j 0.00829344+0.0657154j -0.0192729-0.000140329j 0.000116005-0.0135874j -0.0470268-0.0287239j -0.00812414-0.063902j 0.0397124+0.0238306j -0.0206021+0.000637915j -0.00596763+0.00709848j -0.00703821-0.000913315j 0.023039+0.0143083j 0.0303186-0.0381373j -0.0193685+0.011463j 0.0572882+0.0324004j 0.0199408+0.026336j -0.072029-0.0310408j -0.0128189-0.0478133j -0.0629513-0.019919j 0.0202585+0.00603286j 0.0235328+0.0385293j -0.019072-0.00760928j -0.0140861-0.00323306j 0.00529683+0.0120805j 0.0277144+0.00145791j 0.00655418+0.010837j 0.00408342+0.00133007j -0.0102086+0.0145396j -0.000643225-0.0184086j -0.00486184+0.00279418j 0.00190885+0.00513419j 0.0244114-0.0372982j 0.0390537+0.0275653j -0.00604152+0.00685802j -0.0146639-0.0770992j -0.0291926+0.0023947j 0.0105333+0.0198065j -0.0180998+0.0157953j -0.0346729-0.00724911j -0.0233004+0.00693245j 0.0620303+0.00854887j -0.005972-0.00232819j -0.0137751-0.031746j -0.000411921+0.00909977j -0.028526+0.0121996j -0.0116186+0.0423302j 0.105414-0.0113146j 0.0116478+0.0126466j -0.0317553-0.0150621j 0.0305591-0.0387376j -0.0522285+0.00695504j -0.00823995+0.036395j -0.00180713-0.134982j -0.0639163-0.0132305j -0.0727829+0.0588715j -0.0165348+0.0254163j -0.0349663+0.0120049j -0.0974454+0.0913036j -0.0768894-0.0365766j 0.129964-0.00718857j -0.00751114+0.0850671j 0.00412009-0.0238619j -0.0187439+0.00942093j -0.0543204+0.0387839j -0.00781585-0.0128557j -0.0401363-0.0762091j 0.0299801+0.05514j 0.0216648+0.0347972j 0.0373883+0.0229385j 
-0.00994544+0.00715634j 0.0838693-0.0268384j -0.000588635-0.0268548j -0.0337711+0.0381026j 0.0104913-0.0284394j -0.0241721-0.0407656j -0.0068219+0.0253433j 0.0198507+0.0226898j 0.0377591+0.0159496j -0.00538729+0.0628068j 0.010458+0.0132225j -0.00339932+0.0280784j 0.00408245+0.0536643j -0.0234532-0.012363j -0.0324384-0.006533j -0.0202417+0.00369917j 0.0033338+0.0196445j 0.0240982-0.0398675j 0.00588114-0.0572892j -0.023996+0.0214357j 0.0200534-0.00584155j 0.0398056-0.0168301j -0.0163168+0.0283198j 0.0162883+0.00835065j 0.0236785+0.00797036j -0.00912918+0.0212496j -0.00868718+0.0384455j -0.00144146-0.00332892j 0.0386208+0.0230764j 0.0218265+0.0360545j 0.0480169-0.000820009j 0.0046002-0.0327309j 0.000609891-0.0170236j 0.00427451+0.00723039j 0.0032623-0.0426335j 0.048398-0.0307977j -0.043741+0.0290707j 0.000438665+0.00899458j -0.00414451-0.00494657j 0.0400548+0.0111227j -0.0232954+0.0369578j -0.0038749+0.00936242j -0.0066664+0.0133821j -0.0170027-0.00200645j 0.0194343-0.00584916j -0.000413345-0.037991j 0.0164655-0.0550421j -0.00397728-0.0360913j 0.0427968-0.00121223j 0.023116-0.0299403j -0.00772014-0.0326124j 0.0237164+0.0223444j -0.00178889-0.00442068j 0.0450946+0.00582154j 0.00100076-0.00231457j -0.00319143-0.00787487j 0.00409084-0.0259237j 0.0123597-0.013612j 0.0107202+0.0137759j 0.0474189+0.0138762j -0.0429993+0.00762795j 0.000261234+0.0355646j 0.0151532+0.0103299j 0.0269864+0.00827031j -0.0324149-0.0258081j -0.0262403+0.0471308j -0.00462246+0.00218368j 0.0680259+0.050664j 0.0395228-0.0219726j -0.00146796+0.0399311j -0.0302683-0.0921985j 0.0281255-0.0207493j -0.045651+0.0292778j -0.0350084-0.0102685j 0.0211249-0.0108699j 0.0315168+0.00934935j -0.0785547+0.0307674j -0.036496-0.00682634j -0.0052645+0.0445759j 0.0247857+0.040306j -0.0524719-0.0211391j 0.0176122+0.0996466j -0.00715928+0.0303829j 0.0241087+0.0452836j -0.0463807+0.0223348j -0.046952-0.00964289j 0.077232+0.0324409j -0.115844+0.0960174j 0.00704727-0.0997056j 0.150511+0.0456115j 0.0274643-0.0524667j -0.0812127-0.117551j -0.0101026-0.0986504j -0.017208+0.0685416j 0.00855722+0.100085j 0.00150805+0.0454223j -0.0179442+0.00646956j 0.057397+0.0426074j 
0.00573087+0.00136644j -0.00878902-0.00491292j 0.016731+0.00199125j -0.0209991+0.000133398j -0.00587222+0.00236782j 0.0027943-0.00633523j 0.00626376+0.00826346j 0.0292141-0.0198405j 0.000687718-0.00620891j 0.0141785-0.0167889j 0.0310193+0.0117809j 0.00755834+0.0136722j 0.0244815-0.00849394j 0.0350701-0.0125199j -0.0184907-0.0179658j -0.0273522+0.0103399j 0.036451+0.00307391j -0.00511344+0.00268526j 0.00771005+0.0145686j 0.00725428-0.026411j -0.0168091+0.0363304j -0.0338469+0.0103592j -0.000444891-0.0512104j -0.0102896+0.0150188j 0.0401983-0.0159694j -0.0150366+0.0189995j 0.0156044-0.0288683j 0.00810816+0.00584112j 0.0421195-0.011633j 0.00517752+0.00542572j -0.00130374-0.0264335j -0.000156968+0.00155226j -0.0351467-0.0166566j 0.0061872-0.0294201j 0.0421416-0.00630903j -0.00146244-0.00437065j 0.0543255+0.0127858j 0.0184484+0.0096022j 0.0152959+0.0479173j -0.00450743-0.0192984j 0.00722775-0.00641714j -0.00463102+0.019821j -0.00495101+0.0155977j -0.0241854-0.0262427j -0.0391654+0.0242863j -0.0494532+0.00387915j 0.0369506+0.0250909j -0.0161678-0.00243487j -0.0506147-0.0060943j -0.0328396-0.0281879j -0.0240217+0.0390586j -0.0608905+0.0423459j -0.0379966+0.0136225j -0.00974897-0.000658377j 0.0143184+0.0306665j 0.0210527-0.0101685j -0.0236277-0.0238243j 0.00403234-0.0517711j -0.00960901+0.0625049j 0.0184087+0.0103386j 0.0508705+0.0466663j -0.0377683+0.0103943j -0.0121162+0.0280319j -0.0111458-0.0147907j 0.0229397+0.0360448j 0.000986027-0.0375749j 0.087257+0.0025034j 0.0524455-0.0978307j -0.0206904+0.0647976j -0.00101483+0.0717301j 0.00492406+0.0169026j 0.00468089-0.02587j 0.053302-0.0108607j 0.0398199+0.0245605j -0.0496012+0.0123818j 0.0188498-0.00157167j 0.0462154+0.073777j 0.0328851-0.0423489j 0.0217601-0.0191889j -0.0447086-0.0611888j -0.0268036-0.0471139j -0.00212588-0.0172663j -0.0721282+0.0279685j -0.0127645-0.0231698j 0.0829542+0.0189292j -0.0140341-0.0165008j 0.0417372+0.0312318j -0.0201337+0.0501732j -0.055955-0.0903511j 0.0597537-0.0142013j -0.0866923+0.0879402j 0.100585-0.0305996j 0.0734051+0.0767498j 0.0255074-0.0349673j 0.0443687+0.00206359j 0.0383737+0.015615j -0.00143293-0.0336597j 0.00429552+0.0279419j 
-0.0195971+0.00297348j -0.0167896+0.000988896j 0.0188035+0.00372469j -0.021742+0.0064111j 0.00202613+0.036885j 0.00537393-0.0450607j -0.0112184-0.00129047j -0.00531599-0.00481917j 0.000414977+0.0188483j -0.00710166-0.0010512j -0.000640994-0.0269572j 0.00916065+0.0415887j 0.0272706-0.0449669j -0.0328096+0.00914951j -0.0236367-0.0110796j -0.00479182+0.0272851j 0.0471383-0.0272013j -0.0172446+0.0140709j -0.0256797+0.0201161j -0.0114065-0.0150357j 0.0332605+0.0256045j 0.0175077-0.0216519j -0.00736312-0.0277823j -0.0361436-0.0268495j 0.0432194+0.0350958j 0.0236524-0.0152644j 0.00869908+0.0045985j 0.00461656-0.0245174j 0.0228109-0.0358666j 0.00244608+0.0080394j -0.0172628-0.00677401j -0.00145091-0.00474223j -0.0154652+0.00406422j -0.0375434+0.00928213j 0.0158833-0.0164337j 0.0236669-0.0233367j 0.0288201-0.00562977j -0.0245365-0.000879183j -0.0352679-0.010489j 0.0183136-0.00232768j -0.00510107+0.0369631j -0.0272603+0.0260104j -0.0131782+0.0404464j 0.00151612+0.0231688j -0.0215539+0.0271971j 0.0359127-0.0533539j -0.00331005-0.0405904j -0.00144387-0.00137955j -0.0139957-0.0185468j 0.00753036+0.00462983j -0.0142157+0.0275231j -0.0357907-0.00898485j -0.00920285+0.00433153j -0.00742036-0.0326323j -0.0283981-0.00388008j -0.0250672+0.00445526j -0.0344271-0.0471729j 0.05361+0.0129176j 0.0235332-0.00396543j 0.0229699+1.74663e-05j 0.0371176+0.0215218j -0.0565491-0.00649833j -0.0172455+0.0276225j 0.0812168+0.00126187j -0.0331662+0.02559j -0.0130877+0.00247299j 0.0168022+0.0298946j 0.067248-0.0974473j 0.0198884+0.0829016j 0.0621886-0.00247971j 0.00469579+0.00888602j 0.0231605-0.02404j -0.00603011-0.0311618j 0.0233741-0.00587416j -0.00558603+0.00833761j 0.0123886-0.00616678j 0.085774+0.0381518j -0.0286796+0.0553667j -0.0325987-0.0173306j -0.003159-0.0131325j 0.00174353+0.0653827j -0.0432669+0.000106222j -0.0133273+0.0448424j -0.0376679+0.022641j 0.0590156+0.0207881j 0.0275157-0.0290396j 0.0496783+0.0158927j -0.0432339+0.0109725j 0.00262844-0.101481j 0.0812708+0.0358462j -0.0488058+0.0937421j 0.0919379-0.0709633j 0.0977693+0.0410795j -0.00215067-0.00660814j 0.0207084-0.0220496j 0.0374433+0.0434976j -0.0024774-0.0365999j 0.0221632+0.0105482j 
