-0.1113+0.226511j -0.218534-0.108639j -0.109334+0.0448498j -0.0276634-0.143787j 0.0394065+0.0518314j -0.00254358+0.0147441j 0.0565866+0.0445207j 0.0333333-0.0362575j 0.0237846-0.0212241j 0.00433065+0.0426245j -0.0456149-0.00996335j -0.0966698-0.0543111j 0.0421498+0.040548j 0.0327942+0.0669114j -0.00119096-0.0151277j -0.0864853+0.05237j 0.000960942+0.0630566j -0.0334387-0.0405233j 0.00895221+0.0371551j -0.0123304-0.0264966j 0.17005-0.0732989j 0.0366306-0.0159463j -0.113392-0.152505j -0.0210257+0.00703314j 0.0260556-0.0723039j 0.0519092+0.165616j 0.16388-0.172775j 0.0639909-0.0527731j -0.166838-0.273189j 0.0751429-0.157903j 0.152876-0.0359167j 0.171201+0.0607988j 0.0495428-0.196672j -0.283505-0.050386j 0.0247892-0.194841j 0.136046-0.18442j 0.03563+0.0200797j 0.0447242-0.0461421j -0.145232-0.063327j 0.0415971-0.016569j -0.0728351+0.0372109j -0.0316576+0.0445047j 0.0145631+0.0172346j -0.0169904+0.00251663j 0.0511555-0.00164647j -0.0968901+0.0123053j -0.0451835+0.0185826j 0.070638-0.0139726j -0.0867101+0.049346j 0.0643772+0.00899868j -0.0735433-0.0263896j 0.0287178+0.0106108j 0.0106055-0.00138302j -0.00781607-0.0108119j -0.037704-0.0215458j 0.015177-0.0516655j 0.0215442-0.015115j -0.0329765+0.0219667j -0.0375252-0.0412908j -0.0220951-0.00939827j -0.0442534-0.0396591j -0.0239635-0.0112822j -0.0251771-0.00367147j 0.00656903-0.00460301j 0.0435533+0.00650028j -0.00677263-0.0234937j -0.000290884+0.00849641j -0.00416939+0.0208627j 0.00601454+0.0129281j -0.00709165+0.021307j 0.00849066+0.0056843j -0.00517692+0.00951569j 0.0212638+0.0433712j -0.00709366-0.0234419j 0.0122172+0.0477538j 0.00329988-0.0242092j -0.00413136-0.01897j 0.00265819-0.0103525j -0.0308398+0.0133024j 0.0023998+0.00156818j 0.0162103+0.0258644j -0.00151979-0.00310155j -0.0171425+0.0345116j 0.0197417+0.00177471j 0.00263116+0.000768667j 0.0110452-0.0191327j -0.00590483-0.0160872j 0.0576169-0.0210129j -0.00410721+0.0171611j 0.0116373-0.0114836j 0.0122881-0.0293643j 0.0109351+0.0121916j -0.0190786+0.0334291j 0.0603219+0.0516669j 0.0607632-0.0480889j 
0.130122-0.140976j 0.191063+0.131918j -0.23606+0.0126862j -0.000343172-0.182403j -0.0457525+0.0771348j 0.0232298-0.103661j -0.238628-0.280962j 0.140998+0.000390388j 0.0896619+0.318806j -0.0319031+0.116076j -0.0174547-0.052023j -0.0419894-0.0490082j 0.0760325-0.188772j 0.140363-0.180742j -0.0211086-0.0296786j 0.255556-0.20669j 0.0587501-0.142826j -0.0263828+0.0890653j -0.12524+0.0957613j 0.0658153+0.0366059j 0.0154805+0.0529578j -0.0580886-0.00735711j -0.0634321-0.0887169j -0.00957+0.0332509j 0.0401828-0.0155591j -0.0123597+0.0467716j 0.0426787-0.0448359j -0.3503-0.0522942j 0.0270175-0.0162768j 0.0502129-0.0262939j 0.0520331-0.0276762j 0.0794017+0.0570244j 0.030325-0.0630587j -0.0636945+0.007279j 0.0247097-0.0269618j 0.0232608-0.0259395j 0.00635346-0.0644876j -0.0400099-0.0128167j -0.0349484-0.0193274j 0.00273527-0.00685256j -0.0124765+0.00567061j 0.00200726-0.00442748j 0.0158663-0.0267991j 0.00553302-0.0137541j 0.0120463-0.0179613j -0.0159507-0.000158202j 0.00217053-0.00108623j 0.0168955-0.00569806j 0.00106606-0.00337307j 0.00435058+0.0095802j -0.0078926-0.00740988j 0.0180619-0.00886327j 0.0108803-0.00647614j 0.00488361-0.00316606j -0.0113872-0.00683444j 0.0079669-0.00706246j -0.0107317-0.0036802j 0.0128037-0.00652928j -0.00819474+0.000478707j -0.00245566-0.0022055j -0.00702269-0.0115994j 0.00166557+0.00454117j 0.00357156-0.000478745j 0.00585258-0.00681852j 0.00293525+0.00576268j -0.000785352-0.00635187j 0.00338669+0.0112717j 0.0170319-0.010827j -0.00430342+0.00840053j -0.00737115+0.00256528j 0.0137241-0.00451456j 0.00609753-0.00225253j 0.00953707-0.0044186j 0.00277894-0.0092283j -0.0191788+0.00844467j -0.0180944-0.01734j 0.014008-0.00125108j -0.00765097-0.00108815j -0.00345112+0.00737332j 0.000425262-0.00660618j 0.0106561-0.00355459j -0.0186874-0.00376105j 0.00336673-0.00621171j 0.00703119-0.00296947j 0.00834904+0.00377132j 0.0129971+0.00744582j 0.00178805-0.0144062j -0.00218092-0.0144677j 0.0153759-0.000339119j -0.0031476-0.00760571j 0.00316323-0.000394632j 0.0001304+0.00202355j -0.00322245-0.0047558j -7.24713e-05+0.00455272j 0.00617368+0.000179262j 
-0.0173459-0.0609461j 0.0712291-0.0208017j 0.0485682-0.0573322j 0.0431153+0.0620523j -0.055901+0.0039292j -0.00559831-0.00853039j 0.0200126+0.00546445j 0.0015234+0.0330804j -0.0282926+0.00643854j 0.0182855-0.0213521j 0.000574715+0.00130476j 0.0115275+0.00933601j 0.00687398-0.0129491j -0.0012541-0.0172431j 0.0168675+0.0110988j 0.0122996+0.0279732j 0.0219547+0.0111254j 0.0601033+0.0231731j 0.0992679-0.0428049j 0.00536773-0.117131j 0.0333951+0.0281513j -0.000468325-0.00387782j -0.0374826-0.0543996j -0.0163723-0.00924551j 0.0113521+0.0041199j -0.0214796+0.00576703j 0.0320834-0.022033j -0.00057713+0.00136385j -0.0335169-0.0678256j 0.0169171-0.0545412j 0.0290651-0.0770915j 0.0533316+0.00585971j -0.0335036-0.00799729j -0.0493001+0.0488511j -0.0206274-0.108567j 0.0328295-0.0808607j -0.000718328-0.0424481j -0.00281629-0.00649967j -0.092233-0.116421j -0.0594228+0.00244486j -0.0732195-0.0266043j 0.103937-0.00246182j -0.00405459+0.044816j 0.0480349+0.0513375j -0.00954664+0.0203688j -0.0338947+0.0540245j 0.0642743-0.00509635j 0.00473533-0.00580235j -0.0949724-0.0038703j 0.0402256-0.0149533j 0.00644333+0.0152444j -0.0172369-0.00464585j 0.157187-0.024052j 0.0665805-0.0368956j -0.0254365+0.0257955j 0.0210056+0.0466884j 0.0210217+0.0383454j -0.0403616+0.0229888j -0.0720508+0.179694j 0.0470981+0.0413801j 0.0160636+0.0415996j 0.0177208+0.0398511j 0.0104877+0.0480407j -0.0651466+0.012474j 0.0191364+0.166995j -0.000652227+0.0849498j -0.0192493+0.0308846j 0.00834659+0.046j 0.0135905-0.0411747j 0.0230416-0.0738054j 0.0268448+0.012038j -0.0110802-0.0201055j 0.0231119-0.022885j 0.0293772-0.0039768j 0.0503075-0.0354516j -0.0555802+0.0199041j -0.0423683+0.0337159j -0.0259289+0.0152171j -0.0273722-0.0174194j -0.0270481-0.00489732j -0.0858536-0.10493j -0.00736724+0.0264171j 0.0873371+0.0519895j -0.022999+0.0466131j 0.0518022+0.00679107j 0.0116115-0.00314598j 0.066821+0.0960658j 0.0659899-0.0218056j -0.0670733+0.0314603j -0.000352395+0.00311957j -0.0201618+0.0131832j -0.00988452+0.0339524j 0.0564971+0.0153902j -0.211254-0.091122j -0.114849+0.186623j 
-0.0193322-0.0704214j 0.0736169-0.0270966j 0.0507361-0.0542157j 0.0508486+0.0588187j 0.0442703+0.0395049j -0.0153401+0.048218j 0.0454154+0.00799205j 0.0203511-0.00768681j -0.000340328+0.00549212j -0.008304+0.0175487j -0.0047491-0.0100193j -0.00748941-0.00362661j -0.0103873-0.0140697j -0.00483827-0.0022613j 0.0101939+0.00209091j -0.011404+0.0131626j 0.0114914-0.0186678j 0.025274-0.0196288j -0.015847+0.020238j -0.0223244-0.0142678j 0.0178396-0.121834j -0.00671601-0.00249061j 0.00508869-0.047551j 0.0856657+0.0139449j -0.0192607-0.0298668j 0.0189026-0.0178984j 0.0341464+0.00167691j -0.0341953-0.00770992j -0.0164309-0.00994084j 0.00637719-0.0175666j 0.0226578+0.00448616j -0.00871574+0.0407134j -0.0545773-0.0458695j -0.0451979-0.0285915j 0.00519403-0.0524821j 0.028249+0.0723067j 0.171898-0.0463945j -0.0702271-0.0900335j -0.0804289+0.0514962j -0.0239433+0.149438j -0.0757021+0.0834109j -0.111666-0.0040514j -0.0510861+0.0432045j -0.012415+0.0329579j -0.030111-0.111341j 0.110157-0.0139014j -0.02944+0.0574807j 0.0180939-0.0550591j 0.0107609-0.0524638j -0.0622614-0.0212405j 0.0262198+0.015269j 0.0504109+0.130691j -0.0315338+0.011581j 0.0503907+0.00987397j 0.102359+0.0626093j 0.110942+0.0121015j -0.134131-0.0238568j 0.129466-0.0168923j -0.00552961-0.0768715j 0.00744537+0.180169j 0.000163753-0.127524j -0.120689+0.0107455j -0.116843+0.0175498j -0.104037+0.0350742j 0.0276808-0.0667863j 0.0511025+0.0657699j -0.0481887-0.0469313j -0.123971-0.000204571j 0.0368325-0.0281237j -0.0271907-0.0863572j -0.0449775-0.0338054j -0.0228605-0.0303224j -0.0131489+0.00644037j -0.0710055-0.0777713j 0.0564815+0.00323049j 0.0233894-0.0453705j -0.0764954+0.114947j -0.0379354+0.0544541j -0.00527768+0.107377j -0.00352597+0.0687267j -0.0773659-0.00721471j 0.117652-0.111082j 0.0846124+0.0256434j -0.00192486-0.102523j 0.0287046-0.145458j -0.0332806-0.0322181j -0.164722-0.0673154j -0.186014-0.00984915j 0.0381136-0.165593j 0.0140861+0.0389588j -0.0141877+0.0259754j 0.0390542-0.0707909j -0.0681685-0.123183j -0.0949154-0.0819714j -0.0717063+0.0844894j 
-0.0183131-0.0520254j 0.0512544-0.019341j 0.0391228-0.0328461j 0.0283777+0.0445451j -0.0514477-0.0508887j 0.0358615-0.0292941j -0.00505767-0.00334025j 0.000321202+0.0292467j -0.0403759+0.0261839j 0.007153-0.0183263j -0.00656909-0.00208642j -0.0183416+0.0122417j 0.00607863-0.0154262j 0.0105085-0.00494981j 0.027014+0.00837174j 0.00222806+0.0166717j -0.00788692-0.000937786j 0.0322473-0.00303434j 0.0660628-0.0125822j 0.0055866-0.0909394j -0.0610115+0.00309152j -0.0185801-0.0257103j -0.0267418-0.0203749j -0.0166241-0.0458097j 0.0303582-0.0192799j -0.0148788-0.0261683j 0.0290063-0.0337048j -0.0154246+0.00264498j -0.0256657-0.00821983j -0.028204-0.0388817j 0.0199305-0.0468722j 0.0422087+0.0388084j -0.0797156+0.0748253j -0.00824323+0.0622694j -0.043533-0.0974885j 0.0831657-0.0418063j -0.0599312+0.00497472j -0.0212548+0.0429081j -0.007148-0.0726973j 0.034046+0.036042j -0.024429-0.00268198j 0.0786988+0.0154154j 0.0170211-0.0334134j -0.100892-0.0900935j 0.0636582-0.0187788j 0.0401041-0.0190664j 0.0283761+0.0772727j -0.00556973+0.00457882j -0.0906561-0.00929904j 0.0188762+0.0187034j 0.0542109+0.0131097j -0.0847265+0.0492963j 0.0692835-0.0143834j -0.0130989+0.0564597j 0.015473-0.0397564j 0.100698-0.0189087j 0.0520688-0.113903j 0.0317204+0.151386j 0.0134525+0.0329139j -0.109399+0.00207122j -0.0277516+0.0461147j 0.00814911-0.0874301j -0.0332691-0.0368888j -0.0342848+0.0383289j -0.00236121+0.132604j 0.00393283+0.00746048j 0.0270565+0.0247612j -0.0619471-0.0386122j -0.0262871+0.0329911j 0.00869924-0.0538985j 0.0691961-0.0762623j 0.0076772-0.00422231j 0.0648368-0.0531852j -0.0846246+0.0226594j -0.0213545+0.00183532j 0.0806249+0.0890178j -0.0326357-0.0508725j -0.0695493-0.0195628j 0.0228984-0.0259331j -0.040694+0.0153475j -0.0282884+0.00714717j 0.0347512-0.0238207j 0.0474618-0.0144233j -0.0728056+0.0191421j -0.0874831-0.05536j -0.00063932+0.112131j 0.0015493+0.131997j 0.148009+0.0352486j 0.0699962-0.0109924j -0.0141608+0.00239578j 0.00555997-0.0527605j -0.0491706+0.0721001j -0.000556165-0.0171291j -0.143168-0.0352981j -0.0576397+0.134068j 
0.0297717+0.0282055j -0.0184485+0.02451j 0.0057503+0.000391337j -0.0138726+0.0103353j -0.00717176+0.0690913j -0.0732487-0.00336613j 0.0102081+0.0194982j 0.00629728+0.0105139j 0.0052162-0.0174261j 0.0093163-0.0161683j 0.0111033-0.000836712j 0.0122961-0.00175423j -0.0106315-0.00101122j -0.015384-0.0214382j -0.0115314-0.000543542j 0.0210973+0.0115541j 0.0382335+0.00473746j 0.0167958+0.0378346j 0.0272085-0.0121812j 0.0125694-0.0211297j 0.128744+0.0267351j -0.00340551-0.0207841j 0.0532384+0.0182037j -0.022759+0.0771417j 0.00224362-0.00030378j -0.0307243+0.056132j -0.0303533+0.0805791j 0.009574-0.00600909j 0.0151457-0.0480996j 0.00315323-0.00990374j -0.0039024-0.0261017j -0.00165381-0.0271386j 0.0297501-0.0461027j 0.00252865-0.0213758j 0.0524387+0.0144562j -0.0589172+0.0169307j -0.00772397-0.153868j -0.0828203+0.0411835j -0.0826132-0.00401453j -0.110542-0.0637229j -0.0517752-0.0493953j -0.00225648-0.0473274j 0.0163484+0.0927385j 0.0761177+0.0925591j -0.113563-0.0244622j -0.0568866+0.0872792j -0.0290463-0.0667949j -0.0279335-0.0131579j -0.0143574-0.0132362j -0.00542624-0.0225479j -0.0242879+0.0184322j 0.0950206-0.0178729j 0.0706582-0.0274121j 0.00404459-0.0126673j -0.0132844+0.0717024j -0.107606+0.0728025j -0.0118661+0.129181j -0.00342979-0.107458j -0.10108+0.10745j 0.139226+0.0645942j 0.0773395-0.0123986j -0.0211789+0.132674j 0.027808+0.0660736j -0.022917-0.055487j 0.0250293-0.0222537j -0.011025+0.0591999j -0.0242755-0.0123521j 0.0825056+0.088481j 0.0658675-0.0744383j 0.0731367-0.0582619j -0.020762+0.0513716j -0.025249+0.00798726j -0.0575132+0.0545239j 0.0949945+0.0179308j -0.0152112-0.0370685j -0.13286-0.0294392j 0.0119474+0.0637953j -0.0271968-0.0501574j -0.0410384-0.00791598j -0.0054068+0.0128184j -0.0305546-0.078875j 0.0322337-0.0305439j 0.0047102+0.106086j 0.0891162+0.0435972j 0.109279+0.0937036j -0.07105-0.207885j 0.068833-0.0363672j -0.108183+0.00195501j -0.226673+0.0685417j 0.0335408+0.0100802j -0.02443+0.0888453j 0.0523022-0.0728205j 0.0388224+0.0522853j -0.0307615-0.0116251j -0.016674+0.0201789j 
-0.0065991-0.0448143j 0.0572504-0.00133169j -0.00354955-0.0107208j 0.0184815-0.000205467j 0.0122579-0.0126311j 0.0197673+0.0297363j 0.0051052-0.00443159j 0.0232192-0.0317565j 0.0252517+0.014921j 0.022329+0.0362116j -0.00362655+0.0302957j 0.0168729-0.0168833j 0.0136383-0.00299659j 0.0313612+0.00594889j -0.0160678+0.00854703j -0.0203942+0.00811524j 0.000726193+0.0249977j 0.000412589+0.0064716j 0.0160012-0.0174969j -0.00460891-0.0142141j -0.0160569-0.0200744j -0.00729556-0.000149778j 0.00943219-0.0224405j 0.0196932-0.00734285j -0.0145368-0.00836402j 0.0202626-0.0130587j 0.0175897-0.0091433j 0.0188623+0.00604209j -0.0185582+0.0024114j -0.00511313+0.00118106j -0.00932939-0.0101064j 0.000620993+0.00334369j -0.014214+0.0396046j 0.00181266+0.0161619j -0.0434667-0.0171572j 0.0278853-0.022214j 0.129305+0.167086j 0.219202-0.11506j 0.0245475-0.017836j 0.0603616+0.0519347j -0.00148737+0.0277773j 0.0499089+0.0592174j -0.00819205-0.0397394j 0.233286+0.164144j 0.0397549+0.118646j -0.0151442-0.0384698j 0.0666028-0.0450333j 0.0578177-0.0458325j 0.0467676-0.0168033j 0.0339908-0.101142j 0.0255622-0.0731488j 0.0162053-0.0653241j -0.0301561+0.0713034j 0.156914-0.182219j -0.0598636+0.0129844j -0.0187802+0.00985722j -0.128237+0.0680368j -0.137247-0.0424679j 0.0322459+0.0130081j 0.0173231-0.0320245j -0.0218238-0.00367414j 0.0384289-0.0063454j 0.0219418+0.00322253j 0.00439428+0.0519093j -0.023659+0.0259338j 0.0569962+0.0379936j -0.0295893-0.138932j 0.012833+0.0983758j 0.130011-0.0495662j -0.114402+0.0518434j -0.130833+0.0433642j 0.083743-0.0719197j 0.0791118-0.0571928j 0.126705-0.0367776j 0.103618+0.00938957j -0.0423663-0.182886j 0.0481253+0.0707693j 0.244375+0.111381j -0.0136474+0.0297401j -0.128045-0.0316924j -0.0440951-0.0562682j -0.0861621+0.272057j 0.0392629-0.066584j 0.00406333-0.0542172j 0.0414717-0.0889603j 0.0837549+0.0760416j -0.0228311-0.0405973j -0.0309174-0.0374656j 0.116308-0.0406988j -0.034249-0.0458445j 0.00804262+0.00103654j -0.0160049+0.0307577j 0.00765899-0.0454995j -0.0322637-0.0259792j -0.0279165+0.0248994j 
0.00680162-0.0163326j 0.0143606+0.00743293j 0.0213205+0.00190348j -0.00519015+0.0223239j 0.00485703+0.00385876j -0.0120042+0.0120509j 0.00775732+0.0191257j 0.00740639+0.00651477j -0.00317373+0.00597667j 0.000806741+0.00947948j 0.00282201-0.00694813j -0.000531114-0.000161402j -0.0018505-0.0065101j 0.0063985-0.0093522j -0.00278075+0.0121225j -0.0113503+0.000859693j -0.002577+0.000262225j -0.0037631+0.0101942j -0.0134975+0.00722945j 0.0100232+0.0100661j 0.0241141-0.0324995j 0.00344278-0.017422j 0.0100376-0.00555021j 0.0198732+0.00377898j 0.00797417-0.0173915j -0.00850215-0.00528277j 0.0170093+0.00265378j -0.0111587-0.00918813j -0.0111144-0.0138192j 0.000601401-0.00891091j 0.0152507+0.0209008j -0.0103474+0.00521992j 0.00373723-0.0179463j 0.00914818-0.0152836j -0.00337573-0.0124644j -0.0138588+0.0329841j 0.068323+0.0183992j -0.00879922-0.0502714j -0.0131341-0.00554888j -0.040999+0.0401178j -0.0495696+0.0401034j -0.0219116-0.0244536j -0.0265763-0.00688647j -0.0134578+0.00725631j 0.0213818-0.0550671j 0.0563976+0.0143373j -0.016095-0.0032806j 0.0220693-0.00839317j 0.0121351-0.0175193j -0.0184952-0.0218924j 0.00155554+0.00764089j 0.00014106+0.0625868j 0.0181596+0.015976j 0.0249557+0.0163225j 0.0117642+0.0429581j 0.0365269+0.038144j -0.0509935-0.0428841j 0.0611859+0.00193357j 0.00570362+0.000128825j -0.0385994+0.0557938j 0.0118852-0.0248917j -0.0209483-0.0166916j -0.0354399-0.00046514j -0.0700897+0.00686609j 0.00928338-0.0179749j 0.0200314+0.0579203j -0.010968-0.0207996j -0.050675-0.034446j 0.010496-0.00828163j 0.0225058-0.0374432j -0.00474906-0.010274j -0.00455573-0.0217154j -0.0166448+0.0211054j 0.011937-0.0512704j 0.0352533+0.0246955j -0.000353296-0.0323865j -0.0674813+0.0326265j -0.0213241+0.0070567j -0.0154044+0.0341957j -0.011581+0.0103429j -0.0302791-0.0165805j 0.0435243-0.0292838j 0.0405501+0.0211979j 0.00187777-0.0879959j 0.0235001-0.0395073j -0.00571382-0.0125178j -0.0622427-0.0298706j -0.0509519-0.0236429j 0.0210504-0.0533245j 0.00574114+0.0134131j 0.00599739+0.00568j 0.0145178-0.0205168j -0.0224486-0.0292019j -0.0271022-0.00856403j -0.00112279+0.0317878j 
-0.00466684-0.0456064j 0.050569-0.00825209j 0.0360947-0.0351617j 0.0244316+0.0407678j -0.0441743-0.0142194j 0.00655639-0.00785015j 0.0069242+0.00439576j -4.91638e-05+0.0242243j -0.0173938+0.00520907j 0.0141907-0.0147618j 0.000497085-0.00293606j 0.0142789+0.00513247j 0.00412298-0.00488035j -0.0071077-0.0146879j 0.0118686+0.00900798j 0.00398904+0.0112131j 0.00923842+0.00676172j 0.0352018+0.0191466j 0.04934-0.0180038j 0.0254712-0.0590266j -0.00802392+0.0258904j 0.00488574-0.0214219j -0.0194354-0.0246756j -0.00996636-0.0160008j 0.0112599+0.011488j -0.0163132-0.0166207j 0.00303243-0.00987167j -0.00458277+0.00889703j -0.0153908-0.00704151j 0.00396842-0.0219445j 0.00887401-0.0412178j 0.0134335-0.00357455j -0.0207291+0.0235838j -0.00850083+0.0209717j -0.0258333-0.0478138j 0.0201889-0.0357516j 0.000953886-0.0257844j -0.0159287-0.00245312j -0.0192337-0.0494345j -0.0281899-0.0101977j -0.0345127-0.0117405j 0.0442402+0.0232118j -0.00775858+0.0141308j 0.01775+0.0301732j -0.0107501-0.0057096j 0.00492136+0.0348224j 0.0477937+0.0228659j -0.022958-0.0126388j -0.054376-0.0340858j 0.0123004-0.00499385j -0.00357605+0.0254856j -0.00529458-0.0102041j 0.0772538+0.00250919j 0.0331031-0.00818447j 0.00981891-0.00941121j -0.0188802+0.0509667j 0.00106832+0.0230185j -0.0354197+0.0115144j -0.0486221+0.0820023j -0.00425809+0.0523945j 0.0222716+0.0505531j 0.00786974+0.017885j -0.00736064-0.00019427j -0.0456781-0.0137021j 0.00208919+0.0758472j -0.018173+0.0584203j -0.00438125+0.0175108j 0.0232452+0.0180796j 0.0166162-0.0292819j 0.0283957-0.0328288j 0.012105+0.0168419j -0.0222184-0.0118538j 0.00463716-0.0193484j 0.0252033+0.024584j 0.0244747-0.0309128j -0.0135695+0.0173565j -0.0137269+0.0117853j -0.0245624+0.00244059j -0.0103114-0.0215636j -0.00814879-0.00749742j -0.0723644-0.056683j 0.00349776+0.00447753j 0.042857+0.0280057j 0.0257968+0.0235982j -0.00362308-0.0154579j -0.0208103+0.0214711j 0.0456648+0.0371983j 0.0120496-0.00321665j 0.00904543+0.0330036j 0.00308867+0.00467275j 0.00155858+0.0131261j -0.0245267+0.0201326j 0.0268017-0.0317475j -0.120942-0.00755711j -0.0314529+0.102077j 
-0.0075637+0.0213496j -0.0216256-0.00597465j -0.0147516+0.0050119j -0.0114617-0.0139352j 0.00298797+0.0193437j 0.007317-0.0190245j 0.00240353-0.00555496j 0.00409697+0.0162925j 0.0127203-0.00827469j -0.0134604+0.00349938j -0.0141575-0.000723092j 0.00451487-0.0204184j -0.00762935-0.00861177j -0.00524994+0.0170709j 0.0112248+0.0123799j 0.00339085+0.00436853j 0.0105763-0.00314951j -0.00489449+0.00207991j -0.0125684+0.00154478j -0.00587445+0.0131182j 0.00638603-0.00168777j 0.0111914+0.00379937j -0.00923274+0.0170836j -0.0105133-0.0178887j -0.00337812-0.00359292j 0.00185229+0.0170648j 0.00470877-0.00759446j 0.00435038+0.0148374j 0.00819594+0.012654j -0.0157647+0.0137487j 0.0032203+0.0170961j -0.0157859+0.00229668j 0.0205488-0.00146727j 0.00309245-0.00832315j -0.0142589+0.00444321j -0.0044586-0.012223j -0.00746508+0.00874121j -0.00702731+0.011934j -0.00251702+0.0180442j 0.0187904-0.00574936j -0.00143996+0.0264412j -0.0374745-0.0102501j -0.0152783+0.0178669j -0.0102064-0.011133j -0.0101066-0.0259397j -0.00502653+0.00133157j -0.016635-0.00074097j -0.00992144-0.00907513j 0.0189361-0.0104202j 0.00632832+0.0110305j 0.00117465-0.00130458j 0.0170283-0.0221805j -0.0116037+0.00445157j -0.0417111-1.38747e-05j -0.0011985+0.0123705j -0.0106975-0.0250992j -0.0213666-0.0171854j -0.000668667-0.0236319j 0.00993514-0.0446881j -0.0144732+0.00397785j -0.0203528-0.00881844j -0.0132066-0.00639164j -0.0103239-0.00232072j 0.00450189-0.0244439j -0.00430166-0.0418756j -0.0112311-0.000571276j -0.00441316-0.00619868j 0.0135838+0.00113116j 0.00156481+0.00411889j 0.0196813+0.0257306j -0.008001+0.0227987j 0.000594701+0.00992729j -0.020118+0.00634059j 0.0094731+0.000534788j -0.0196332+0.0211388j 0.00663831-0.00734868j 0.0120514-0.0106273j 0.00322502-0.0229018j 0.00997169-0.0037434j 0.0183943-0.0148425j 0.0138273+0.0216222j 0.00925929-0.0250096j -0.0218931+0.0111553j 0.0281372-0.0144993j 0.00222624-0.00620948j -0.0138282+0.000795766j -0.0196835-0.0267504j 0.0093472+0.0134769j 0.0134851+0.0227093j -0.0158898+0.000725557j 0.027311+0.000683753j -0.00887724+0.00261895j -0.0117175-0.00460747j 0.0320483+0.00343803j 0.00704533-0.0260348j 
0.00121065+0.0125794j -0.00371675-0.0034709j -0.00285021+0.000506423j -0.00571806+0.00782896j -0.00838488-0.00166667j -0.0119501+0.00778803j 0.000596738+0.0108514j 0.0201288+0.00157447j -0.0127864+0.0250632j 0.00428459-0.00119742j 0.0099156+0.00835892j 0.0139026-0.00598325j -0.0232602-5.50884e-05j 0.0111382-0.00230514j 0.0129027+0.0075926j 0.011377+0.0113308j -0.0136238-0.0194016j 0.00185367-0.00385042j -0.00338645+0.00218273j 0.00419912-0.0114726j -0.0031751+0.000720156j -0.0140755+0.0140096j -0.0130553-0.0129203j 0.0262789-0.00724084j -0.00855016-0.00427926j -0.0146614-0.0063956j -0.00326977+0.0127096j 0.0106787+0.00165997j -0.00327485+0.0128646j -0.011423-0.0166116j -0.0098843-0.000860238j -0.00425-0.0157254j -0.00590716-0.0075582j -0.0102257-0.00934849j 0.0148814-0.00806769j 0.0097602+0.00855314j -0.00824995-0.00660494j -0.0125441-0.000504464j -0.00722856+0.00356077j 0.00316435-0.000489008j -0.00303314+0.00176717j -0.00474734-0.00727249j -0.0266768-0.0240736j 0.0108234+0.0111615j 0.0110896-0.00170912j 0.00520495+0.000823946j -0.000261926-0.000292783j 0.0024187+0.00174685j 0.00702352+0.00494988j -0.00581435+0.0220187j -0.00961602+0.0107585j 0.013749+0.00392277j -0.00389128+0.00694096j 0.0250017-0.0190554j -0.0129032+0.0077168j -0.00164153-0.000770162j 0.0264921-0.00373785j 0.00244882+0.00295975j 0.00658783-0.00434819j -0.00392605-0.000161325j -0.00184614-0.00438602j -0.0119102-0.00311418j -0.0138487-0.00816506j 0.00358076+0.000841487j 0.00150345+0.000892833j -0.00880246-0.00539821j 0.0092683-0.0100984j -0.00916766-0.00406618j -0.00353739+0.00158521j -0.00461632+0.00324031j -0.0110285+0.00771621j -0.00855414+0.00479743j 0.0176457-0.00473464j 0.010883+0.00522528j -0.00901342-0.0127526j 0.00170724+0.00247372j -0.00242259-0.00383368j 0.00556898+0.0184853j 0.000818648+0.00542295j 0.0102654+0.01412j -0.00327801+0.00292297j 0.0123665+0.00445674j -0.00341443+0.0152822j -0.000974211+0.00913209j 0.00197062+0.00136978j -0.00330474-0.00423587j -0.00116772-0.00411375j -0.00174428+0.00622727j -0.00114547-0.000192938j 0.00248644-0.029563j -0.00891518+0.0162897j -0.00178444+0.00497644j -0.000402055-0.00334141j 8.67364e-05-0.00401788j -0.00481318-0.000937188j 
