0.0283503-5.44716e-14j 
0.00224802-2.41655e-16j 
0.0325519-3.03825e-14j 
0.00504366-7.616e-16j 
0.0474785+4.24242e-15j 
0.0146997-4.31604e-15j 
0.12068-1.55747e-13j 
0.0468387-4.89373e-15j 
1.41261-2.62061e-13j 
-0.000183587+1.26696e-14j 
5.05171+5.62491e-13j 
0.0913741+2.41122e-14j 
1.35545+4.12831e-13j 
0.0101181+1.45283e-15j 
0.0532888+1.50907e-13j 
0.0159808+7.20129e-15j 
0.0251166-2.5958e-14j 
0.00148797+1.82055e-16j 
0.0324259+2.9296e-14j 
-0.000555862+4.69066e-17j 
0.024448+4.46728e-14j 
