-0.00388257-0.0303515j 
-0.0100988-0.0042105j 
-0.01657-0.0399785j 
-0.0308973-0.0165125j 
-0.037404-0.0706057j 
-0.031841-0.0744096j 
0.0375977-0.223164j 
-0.0439509-0.235241j 
-0.101386-2.2379j 
-0.160581-0.557937j 
-1.30769e-16-8.9266j 
0.160581-0.557937j 
0.101386-2.2379j 
0.0439509-0.235241j 
-0.0375977-0.223164j 
0.031841-0.0744096j 
0.037404-0.0706057j 
0.0308973-0.0165125j 
0.01657-0.0399785j 
0.0100988-0.0042105j 
0.00388257-0.0303515j 
