-1.89427e-18-8.95412e-17j 
1.81088e-10+9.59482e-12j 
-1.5319e-10-1.03684e-11j 
-1.68981e-10-1.50741e-11j 
9.08398e-11+7.69664e-12j 
8.45423e-09+2.05839e-09j 
1.10301e-09-0.000762605j 
7.40132e-09+1.92094e-09j 
-1.00455e-10+6.50175e-11j 
2.67754e-10+3.18082e-11j 
4.01697e-12+9.71744e-12j 
-1.01746e-10+1.44953e-12j 
-8.17003e-17+4.03822e-15j 
