-1.75806e-05-7.77202e-07j 
-2.11471e-05-1.12183e-06j 
-2.63977e-05-1.75029e-06j 
-3.50768e-05-3.10098e-06j 
-5.2131e-05-6.91325e-06j 
-0.000101326-2.6876e-05j 
-1.23148e-08-0.000781241j 
9.98969e-05-2.64361e-05j 
2.42429e-05-2.3216e-06j 
1.60762e-05-8.0027e-07j 
1.31599e-05-4.99246e-07j 
1.38574e-05-5.12553e-07j 
1.25795e-05-4.17806e-07j 
