-0.14492-0j 0.695261-0j 0.702466-0j -0.00843285-0j 0.116368-0j -0.0104351-0j -0.00608715-0j 0.143998-0j 0.0839991-0j -0.00592558-0j 0.0495496-0j -0.00691317-0j 0.012562-0j -0.00423344-0j -0.00604903-0j 0.0578079-0j 0.0353999-0j -0.0024951-0j 0.0146556-0j 0.0505819-0j 0.00897471-0j 0.020864-0j 0.0128237-0j 0.0052895-0j -0.00456118-0j 0.0359593-0j -0.0051524-0j -0.000465524-0j 0.00908484-0j -0.00420692-0j 0.00107626-0j 0.0406203-0j -0.00425052-0j -0.00368105-0j -0.000525865-0j 0.0331663-0j -0.00303672-0j 0.0102624-0j -0.000429367-0j 0.03351-0j -0.000970245-0j 0.00121576-0j -0.000433816-0j 0.0290205-0j 0.00837923-0j -0.000375696-0j 0.0239407-0j 0.00846606-0j 0.000992666-0j 0.00733182-0j -0.000309933-0j 0.00764918-0j 0.00100295-0j 0.00604845-0j -9.90252e-05-0j 0.000868583-0j 0.00193251-0j 0.000716544-0j 0.000228939-0j 
0.00146448-0j 0.0104351-0j -0.0102431-0j -0.576031-0j 0.000864146-0j -0.0101459-0j 0.813848-0j 1.52206e-05-0j -0.00122091-0j 0.00420692-0j -0.0715529-0j 6.98607e-05-0j 6.19738e-05-0j 0.00300557-0j -0.00417231-0j -0.00118822-0j -0.0511199-0j -0.0052134-0j 1.02914e-06-0j 0.0709642-0j 4.42762e-05-0j 0.0886715-0j -6.14639e-05-0j -7.68006e-05-0j 0.00323826-0j 0.000539709-0j 5.20673e-05-0j -0.0639285-0j -0.00649095-0j 0.00298674-0j 3.97533e-06-0j 8.67789e-06-0j -0.00293179-0j 3.71987e-05-0j -0.0010279-0j 0.000497791-0j -0.00421983-0j -0.000104367-0j -0.0589633-0j -0.000488631-0j -0.00270632-0j 6.39187e-08-0j 0.0578784-0j 6.19978e-06-0j -0.0059868-0j -0.000734364-0j -0.000703305-0j 0.00587665-0j 3.66657e-06-0j -7.45632e-05-0j 0.0833064-0j -0.000451053-0j -3.59911e-06-0j 0.00845847-0j 0.0534272-0j 4.56657e-08-0j 0.0054247-0j -5.18033e-06-0j -3.32232e-06-0j 
-0.000211379-0j 0.143998-0j -0.141349-0j -0.000864146-0j -0.558044-0j -1.52206e-05-0j 0.00122091-0j -0.00982909-0j 0.788434-0j -0.000607217-0j 0.0102624-0j -1.00835e-05-0j -0.122638-0j -0.000433816-0j 0.000602221-0j 0.000170419-0j 0.00733182-0j 0.000752489-0j -0.00203654-0j -0.010178-0j -0.0876168-0j -0.0127176-0j 0.121629-0j 0.151978-0j -0.000467402-0j 0.00744767-0j -7.51527e-06-0j -4.7704e-05-0j -0.0435663-0j -0.000431099-0j -0.0158436-0j 0.00011975-0j 0.000423167-0j -5.36917e-06-0j -7.67024e-07-0j 0.00686921-0j 0.00060908-0j -0.000700495-0j -4.39989e-05-0j -0.00674282-0j 0.000390623-0j -0.000254747-0j 4.31893e-05-0j 8.55533e-05-0j -0.0401826-0j -5.47989e-07-0j -0.00970519-0j 0.0394432-0j -0.0146131-0j -0.000500458-0j 6.21639e-05-0j -0.00622426-0j 0.0143442-0j 0.0567721-0j 3.98678e-05-0j -0.000182-0j 0.0364098-0j 0.0206461-0j 0.013241-0j 
0.0590299-0j -0.00589094-0j 0.00604903-0j 0.00343494-0j 0.00049579-0j -0.00418233-0j 0.00247947-0j -0.000603668-0j 0.00035788-0j -0.351766-0j 0.000426678-0j -0.410394-0j 3.55565e-05-0j 0.745879-0j 0.353334-0j 0.000497791-0j -0.00090472-0j -0.148119-0j 4.14825e-05-0j -0.00042858-0j -7.53933e-05-0j 0.000179662-0j -3.5715e-05-0j 1.49718e-05-0j 0.0018579-0j -0.0451284-0j 0.00209872-0j 0.000189621-0j 3.87062e-05-0j -0.00168611-0j 2.28078e-06-0j -0.0509779-0j 0.00173135-0j -0.00445009-0j 0.0002142-0j 0.0409556-0j -0.0012171-0j 4.37233e-05-0j -0.000172088-0j -0.0420546-0j 0.000395208-0j 2.57642e-06-0j 0.000176706-0j 0.108093-0j -3.51273e-05-0j -0.000454185-0j 0.0295633-0j 3.60699e-05-0j -2.06989e-06-0j -9.27101e-05-0j -0.000124219-0j -0.00959961-0j 2.12544e-06-0j -2.53562e-05-0j 4.03358e-05-0j -5.463e-06-0j 8.2335e-06-0j -1.49413e-06-0j 4.85164e-07-0j 
0.0579438-0j -0.00604903-0j 0.00610923-0j -0.00347053-0j -0.000500928-0j 0.00417231-0j -0.00229426-0j 0.000602221-0j -0.000331148-0j 0.355411-0j -0.000431099-0j -0.402843-0j -3.59249e-05-0j 0.253918-0j -0.362669-0j 0.000488631-0j -0.000307992-0j 0.714551-0j 4.07193e-05-0j 0.000439902-0j -2.5666e-05-0j -0.000866721-0j 3.66585e-05-0j -7.22267e-05-0j -0.00187715-0j 0.045596-0j 0.0020601-0j -0.000191586-0j -3.91073e-05-0j -0.00173135-0j -2.30442e-06-0j -0.0500399-0j 0.00174859-0j 0.00147181-0j 0.000210258-0j 0.0420546-0j -0.00114454-0j 4.29188e-05-0j -0.000176706-0j -0.0424732-0j -0.00422345-0j 2.52901e-06-0j 0.000178464-0j -0.0357502-0j -3.60699e-05-0j 0.000150216-0j 0.027801-0j 3.64289e-05-0j -2.12544e-06-0j 3.06627e-05-0j -0.000116815-0j 0.102588-0j 2.14659e-06-0j -2.38447e-05-0j -0.000431054-0j 1.80682e-06-0j -8.79885e-05-0j -1.40506e-06-0j -5.18477e-06-0j 
-0.0104351-0j -0.04926-0j 0.0505819-0j 0.0584227-0j 0.00837923-0j -0.0711347-0j 0.0421718-0j -0.0102024-0j 0.00604845-0j -0.000426678-0j -0.343279-0j -0.000497791-0j 0.000904539-0j 0.00090472-0j 0.00042858-0j -0.400492-0j 0.727883-0j -0.000179662-0j 0.0010553-0j 0.34481-0j -0.00191797-0j -0.144545-0j -0.000908572-0j 0.000380876-0j -0.000328433-0j 0.00258929-0j -0.000371004-0j 0.00648381-0j -0.0629397-0j 0.000298065-0j 7.74971e-05-0j 0.00292491-0j -0.000306063-0j 0.000786672-0j 0.00732424-0j -0.00234987-0j 0.000215154-0j -0.071098-0j -0.00588429-0j 0.00241293-0j -6.98636e-05-0j 8.75423e-05-0j 0.00604219-0j -0.00620193-0j 0.05712-0j -0.0155302-0j -0.00169623-0j -0.0586528-0j -7.03314e-05-0j 0.150755-0j -0.00424751-0j 0.000550787-0j 7.22187e-05-0j 0.0412314-0j 0.00137922-0j -0.000185623-0j -0.0133884-0j -5.07679e-05-0j 1.6485e-05-0j 
-0.0102431-0j -0.0505819-0j 0.0510853-0j -0.0590282-0j -0.00846606-0j 0.0709642-0j -0.0390217-0j 0.010178-0j -0.00559665-0j 0.000431099-0j 0.346837-0j -0.000488631-0j -0.000913913-0j 0.000307992-0j -0.000439902-0j -0.393124-0j 0.247792-0j 0.000866721-0j 0.00103588-0j -0.353919-0j -0.000652931-0j 0.697311-0j 0.000932575-0j -0.00183741-0j 0.000331836-0j -0.00261612-0j -0.000364178-0j -0.006551-0j 0.0635919-0j 0.000306063-0j -7.83002e-05-0j 0.00287109-0j -0.000309109-0j -0.000260181-0j 0.00718948-0j -0.00241293-0j 0.000202329-0j -0.0697898-0j -0.00604219-0j 0.00243694-0j 0.000746607-0j 8.59316e-05-0j 0.00610233-0j 0.00205121-0j 0.0586528-0j 0.00513641-0j -0.00159511-0j -0.0592366-0j -7.22187e-05-0j -0.0498602-0j -0.0039943-0j -0.00588607-0j 7.29376e-05-0j 0.0387735-0j -0.0147393-0j 6.13925e-05-0j 0.143077-0j -4.77415e-05-0j -0.00017617-0j 
0.000869593-0j 0.0124886-0j -0.0128237-0j 5.06014e-05-0j 0.100133-0j -6.16116e-05-0j 3.6526e-05-0j -0.121921-0j 0.0722801-0j 3.55565e-05-0j -0.000904539-0j 4.14825e-05-0j -0.332409-0j -7.53933e-05-0j -3.5715e-05-0j -0.0010553-0j 0.00191797-0j 1.49718e-05-0j -0.387811-0j 0.000908572-0j 0.704835-0j -0.000380876-0j 0.333891-0j -0.139968-0j 2.73694e-05-0j -0.000656445-0j 3.0917e-05-0j 2.79338e-06-0j 0.00781739-0j -2.48387e-05-0j -0.0880734-0j -0.000741533-0j 2.55053e-05-0j -6.5556e-05-0j 3.15546e-06-0j 0.000595747-0j -1.79295e-05-0j 0.00883068-0j -2.53509e-06-0j -0.000611733-0j 5.82196e-06-0j -0.0994894-0j 2.60312e-06-0j 0.00157233-0j -0.00709456-0j -6.69078e-06-0j 0.000430033-0j 0.00728494-0j 0.0799297-0j -0.0187244-0j -1.82993e-06-0j -0.000139638-0j -0.0820746-0j -0.00512112-0j 5.94202e-07-0j 0.210956-0j 0.0016629-0j 0.0576963-0j -0.0187348-0j 
0.000853593-0j 0.0128237-0j -0.0129513-0j -5.11258e-05-0j -0.101171-0j 6.14639e-05-0j -3.37976e-05-0j 0.121629-0j -0.066881-0j -3.59249e-05-0j 0.000913913-0j 4.07193e-05-0j 0.335854-0j -2.5666e-05-0j 3.66585e-05-0j -0.00103588-0j 0.000652931-0j -7.22267e-05-0j -0.380675-0j -0.000932575-0j 0.239946-0j 0.00183741-0j -0.342712-0j 0.675231-0j -2.7653e-05-0j 0.000663247-0j 3.03482e-05-0j -2.82233e-06-0j -0.0078984-0j -2.55053e-05-0j 0.0889861-0j -0.000727889-0j 2.57591e-05-0j 2.16818e-05-0j 3.0974e-06-0j 0.000611733-0j -1.68607e-05-0j 0.0086682-0j -2.60312e-06-0j -0.000617822-0j -6.22173e-05-0j -0.0976589-0j 2.62903e-06-0j -0.000520029-0j -0.00728494-0j 2.21289e-06-0j 0.000404398-0j 0.00735745-0j 0.0820746-0j 0.00619286-0j -1.72084e-06-0j 0.00149226-0j -0.0828915-0j -0.00481584-0j -6.35002e-06-0j -0.0697709-0j -0.0177708-0j 0.0542569-0j 0.200212-0j 
0.041479-0j 0.00420692-0j 0.00425052-0j -0.0048145-0j -0.000694914-0j 0.00298674-0j 0.00174227-0j 0.000431099-0j 0.000251475-0j 0.00169602-0j 0.000299817-0j -0.00394689-0j 2.49847e-05-0j 0.0012117-0j 0.00173135-0j -0.000697717-0j 0.0002142-0j 0.000714147-0j -5.81431e-05-0j 0.000306063-0j 1.785e-05-0j 0.000126245-0j 2.55053e-05-0j 1.05204e-05-0j -0.255731-0j 0.000217584-0j -0.288878-0j 0.000133242-0j 2.7198e-05-0j 0.470485-0j 1.60266e-06-0j 0.000245787-0j 0.475361-0j -0.206385-0j 0.000150513-0j -0.000400304-0j -0.170259-0j 3.07234e-05-0j -0.000245135-0j -0.000404453-0j -0.0543985-0j 1.81039e-06-0j -0.000247676-0j 0.000175599-0j -5.0038e-05-0j 0.000107532-0j 0.000144862-0j -5.05566e-05-0j -2.94852e-06-0j 2.19499e-05-0j 8.87093e-05-0j 4.6284e-05-0j -2.97907e-06-0j 1.81077e-05-0j 2.8343e-05-0j 1.29341e-06-0j 5.7855e-06-0j 1.06701e-06-0j 3.40914e-07-0j 
-0.000730589-0j 0.00512229-0j 0.00511001-0j -0.00298674-0j -0.000431099-0j 5.1763e-05-0j 0.00421983-0j 7.47135e-06-0j 0.00060908-0j -0.00209872-0j -0.000371004-0j -3.48516e-05-0j -3.0917e-05-0j 0.00445009-0j -0.00204806-0j -6.16095e-06-0j 0.000786672-0j 0.00260082-0j -5.13413e-07-0j -0.00036205-0j 6.5556e-05-0j 0.000459765-0j -3.01708e-05-0j 3.83137e-05-0j 0.316451-0j -0.000269246-0j 0.00508815-0j -0.000164879-0j -3.36558e-05-0j -0.28719-0j -1.98319e-06-0j -4.32916e-06-0j -0.286502-0j -0.0107888-0j -2.65106e-06-0j 0.000244351-0j 0.405757-0j -5.41145e-07-0j 0.000149634-0j 0.000243765-0j -0.264468-0j -3.18873e-08-0j 0.000149275-0j 9.17948e-06-0j 3.05438e-05-0j 5.62126e-06-0j -0.000345231-0j 3.04706e-05-0j 1.79981e-06-0j 1.14744e-06-0j -0.00021141-0j 0.000225018-0j 1.7955e-06-0j -4.31539e-05-0j 0.000137795-0j 6.76133e-08-0j 2.81272e-05-0j -2.54287e-06-0j 1.65741e-06-0j 
