-0.582018-0j -0.0102514-0j 0.822306-0j -0.0722966-0j -0.00120057-0j -0.0516512-0j 0.0717018-0j 0.0895931-0j -0.045438-0j -0.00655841-0j -0.000730589-0j -0.000105452-0j -0.0419089-0j 0.0411378-0j -0.00604903-0j -0.000521958-0j 0.00593772-0j 0.0592111-0j -7.53382e-05-0j 0.037974-0j 0.00854638-0j 0.00548108-0j -0.0336554-0j -0.00594948-0j -0.00049579-0j -0.000530205-0j -9.37279e-05-0j -0.0294484-0j -7.81066e-06-0j -0.0196323-0j 0.0289066-0j -0.0052058-0j -0.000489025-0j -0.00347053-0j 0.00511001-0j -0.000433816-0j -0.0121469-0j -0.000289211-0j 0.0392268-0j 0.000425834-0j 0.0206519-0j -8.64482e-05-0j -0.00214728-0j 0.0364938-0j -7.20401e-06-0j 0.00693438-0j 0.00365077-0j -0.00017894-0j 0.0158979-0j 0.000577865-0j 0.000304231-0j 0.00645125-0j 0.000537604-0j 0.00281037-0j 0.000234198-0j 
0.0590299-0j -0.0718741-0j 0.0426101-0j -0.346847-0j -0.404655-0j 0.735449-0j 0.348393-0j -0.146048-0j 0.00460845-0j -0.0635939-0j 0.0052058-0j -0.0718369-0j -0.00418233-0j 0.00429456-0j 0.0577137-0j -0.0110383-0j -0.0592624-0j -0.00301897-0j 0.152322-0j 0.0009803-0j 0.04166-0j -0.0135276-0j 0.00341342-0j -0.028543-0j -0.00723631-0j 0.00377796-0j -0.0315913-0j -0.00293883-0j -0.00800913-0j 0.00199116-0j 0.00301769-0j 0.0245745-0j -0.00342864-0j -0.0166501-0j -0.0252339-0j 0.00623021-0j -0.00610056-0j -0.00422118-0j 0.00203264-0j -0.00639739-0j -0.00639867-0j 0.0286702-0j 0.0510128-0j -0.00123746-0j 0.00726857-0j -0.0169969-0j 0.0535056-0j 0.0129329-0j 0.000328085-0j -0.00430912-0j 0.0135649-0j 0.0103476-0j 0.00262337-0j -0.00274344-0j -0.000695527-0j 
-0.0596417-0j 0.0717018-0j -0.0394272-0j 0.350441-0j -0.397209-0j 0.250367-0j -0.357597-0j 0.704559-0j -0.00465621-0j 0.0642529-0j 0.00511001-0j -0.0705151-0j -0.00429456-0j 0.00433731-0j 0.0592624-0j 0.00365077-0j -0.0598523-0j -0.002839-0j -0.0503784-0j -0.0104761-0j 0.0391765-0j 0.144564-0j -0.00344879-0j 0.0288388-0j 0.0073113-0j 0.00370845-0j -0.03101-0j -0.00301769-0j -0.00786177-0j -0.0020118-0j 0.00304773-0j 0.0252339-0j 0.00342042-0j 0.0168226-0j -0.0254851-0j 0.00639739-0j -0.00124474-0j 0.00426493-0j -0.00188081-0j -0.00646107-0j 0.0021774-0j -0.0286015-0j 0.0104085-0j -0.00606704-0j -0.00725115-0j 0.0157273-0j -0.0182074-0j 0.00263879-0j -0.00607375-0j 0.00398725-0j -0.00461601-0j 0.0507325-0j 0.0128619-0j 0.0507886-0j 0.0128761-0j 
-0.0675553-0j 0.0419089-0j 0.0244468-0j 0.00420692-0j -0.00979011-0j 0.00300557-0j 0.00429456-0j 0.00177142-0j -0.254392-0j 0.000381632-0j -0.287366-0j 0.000431099-0j 0.468023-0j 0.472873-0j -0.000702115-0j -0.205305-0j -0.000709391-0j -0.169368-0j 0.000307992-0j -0.0541138-0j 0.000254081-0j 8.118e-05-0j 0.0019584-0j -0.0333092-0j 2.88499e-05-0j 0.00216755-0j -0.0368665-0j 0.0017136-0j 3.1931e-05-0j -0.00569987-0j 0.00173135-0j -0.0291455-0j -0.00398779-0j 0.0969456-0j -0.0294475-0j 2.52437e-05-0j 0.000706822-0j -8.3967e-05-0j -0.00232621-0j 2.55053e-05-0j 0.00123694-0j 0.0678258-0j -0.0120219-0j 0.000721548-0j -5.87456e-05-0j 0.0395651-0j -0.0210383-0j 1.04125e-05-0j 0.000188234-0j -3.42683e-05-0j 1.82218e-05-0j -0.0122724-0j 1.06294e-05-0j -0.00320155-0j 2.77294e-06-0j 
0.00975077-0j -0.00604903-0j -0.0035286-0j 0.058053-0j -0.135098-0j 0.0414751-0j 0.0592624-0j 0.0244445-0j -0.000381632-0j -0.246448-0j -0.000431099-0j -0.278393-0j 0.000702115-0j 0.000709391-0j 0.453408-0j -0.000307992-0j 0.458107-0j -0.000254081-0j -0.198894-0j -8.118e-05-0j -0.164079-0j -0.052424-0j -0.00028267-0j 0.00477734-0j -0.0570901-0j -0.000312858-0j 0.00528754-0j -0.000247336-0j -0.0631872-0j 0.000822705-0j -0.000249899-0j 0.00418017-0j 0.000575587-0j -0.0139043-0j 0.00422349-0j -0.0499539-0j -0.000102021-0j 0.16616-0j 0.000335759-0j -0.0504715-0j -0.000178537-0j -0.00972786-0j 0.00172423-0j -0.000104146-0j 0.11625-0j -0.00567458-0j 0.00301741-0j -0.0206049-0j -2.71692e-05-0j 0.0678124-0j -0.0360586-0j 0.00176015-0j -0.0210342-0j 0.000459179-0j -0.00548728-0j 
-0.0419089-0j 0.00072632-0j 0.0592111-0j -0.0052058-0j -8.64482e-05-0j 0.0110383-0j -0.00508015-0j 0.00645125-0j 0.314794-0j -0.000472246-0j 0.00506152-0j -7.59315e-06-0j -0.285687-0j -0.285002-0j 0.00042858-0j -0.0107324-0j 0.000427552-0j 0.403634-0j 1.61004e-05-0j -0.263084-0j -0.00060552-0j 0.000394671-0j -0.00242339-0j 0.041218-0j -3.56999e-05-0j -3.8178e-05-0j 0.000649347-0j 0.00208645-0j -5.62415e-07-0j -0.00141364-0j 0.00208145-0j -0.0354872-0j 3.46479e-05-0j 0.0240438-0j -0.0354021-0j 3.07363e-05-0j 0.00433115-0j -2.0825e-05-0j 0.00282457-0j 3.06627e-05-0j -0.00441347-0j -0.000589305-0j -0.0736659-0j -0.00258562-0j 5.10412e-07-0j -0.0480414-0j 0.0750661-0j 6.38039e-05-0j 0.00114474-0j 4.16098e-05-0j -6.50166e-05-0j 0.0439773-0j -3.80898e-05-0j -0.0194702-0j 1.68637e-05-0j 
0.0244468-0j -0.0592111-0j 0.0683264-0j 0.00303672-0j -0.00693438-0j 0.00216953-0j 0.002839-0j 0.00148784-0j -0.18363-0j 0.000275477-0j 0.406007-0j -0.00060908-0j -0.169368-0j -0.156716-0j 0.000254081-0j 0.290065-0j 0.000235102-0j -0.473365-0j -0.000435148-0j 0.506103-0j 0.000710128-0j -0.000759241-0j 0.00141364-0j -0.0240438-0j 2.0825e-05-0j -0.00306242-0j 0.0520869-0j 0.00123694-0j -4.51138e-05-0j 0.000824626-0j 0.00114454-0j -0.0210383-0j -0.00282457-0j -0.0140256-0j -0.0194668-0j 1.82218e-05-0j 0.000510211-0j 1.21479e-05-0j 0.0032594-0j 1.68607e-05-0j 0.000817702-0j 0.0480414-0j -0.00867787-0j 0.000606041-0j -4.16098e-05-0j -0.0554371-0j -0.0139078-0j 7.51612e-06-0j -0.00601054-0j 4.80155e-05-0j 1.20459e-05-0j -0.0103078-0j 8.92782e-06-0j 0.10223-0j -8.85436e-05-0j 
0.00604903-0j -0.000104835-0j -0.00854638-0j -0.0718369-0j -0.00119293-0j 0.152322-0j -0.070103-0j 0.0890234-0j 0.000472246-0j 0.304964-0j 7.59315e-06-0j 0.00490347-0j -0.00042858-0j -0.000427552-0j -0.276766-0j -1.61004e-05-0j -0.276103-0j 0.00060552-0j -0.0103972-0j -0.000394671-0j 0.39103-0j -0.254869-0j 0.000349786-0j -0.00591165-0j 0.0706454-0j 5.51052e-06-0j -9.31319e-05-0j -0.000301153-0j 0.00111295-0j 0.000204042-0j -0.000300432-0j 0.00508972-0j -5.00099e-06-0j -0.00344846-0j 0.00507752-0j -0.0608232-0j -0.000625148-0j 0.0412098-0j -0.000407691-0j -0.0606774-0j 0.00063703-0j 8.45206e-05-0j 0.0105655-0j 0.000373202-0j -0.00101004-0j 0.00689029-0j -0.0107663-0j -0.126259-0j -0.000165229-0j -0.0823404-0j 0.128659-0j -0.0063074-0j 0.0753747-0j 0.0027925-0j -0.0333709-0j 
-0.0035286-0j 0.00854638-0j -0.00986206-0j 0.0419049-0j -0.0956904-0j 0.0299383-0j 0.0391765-0j 0.0205314-0j -0.000275477-0j -0.177896-0j 0.00060908-0j 0.393329-0j -0.000254081-0j -0.000235102-0j -0.164079-0j 0.000435148-0j -0.151823-0j -0.000710128-0j 0.281007-0j 0.000759241-0j -0.458583-0j 0.490299-0j -0.000204042-0j 0.00344846-0j -0.0412098-0j 0.000442023-0j -0.00747052-0j -0.000178537-0j 0.0892742-0j -0.000119025-0j -0.000165201-0j 0.00301741-0j 0.000407691-0j 0.0020116-0j 0.00279202-0j -0.0360586-0j -7.36427e-05-0j -0.0240391-0j -0.000470454-0j -0.0333651-0j -0.000118025-0j -0.00689029-0j 0.00124462-0j -8.74744e-05-0j 0.0823404-0j 0.00795102-0j 0.00199471-0j -0.0148734-0j 0.000867546-0j -0.0950163-0j -0.0238372-0j 0.00147838-0j -0.017667-0j -0.0146622-0j 0.175216-0j 
0.0237979-0j 0.0294484-0j 0.0171783-0j -0.00892182-0j 0.00344879-0j 0.00211195-0j 0.00301769-0j 0.00124474-0j 0.0018579-0j 0.000268164-0j -0.00633413-0j -0.000914253-0j 0.0017136-0j 0.00173135-0j 0.000247336-0j 0.0014994-0j 0.000249899-0j 0.00123694-0j 0.000216419-0j 0.000395208-0j 0.000178537-0j 5.70434e-05-0j -0.200556-0j 0.000243266-0j 2.02722e-05-0j -0.221975-0j 0.000269246-0j 0.529635-0j 2.24372e-05-0j -0.116991-0j 0.535124-0j -0.000642425-0j -0.204734-0j 0.000141905-0j -0.000649083-0j -5.35354e-05-0j -0.0723845-0j 1.18254e-05-0j -0.119428-0j -5.40902e-05-0j -0.126673-0j 0.000248334-0j 8.77994e-05-0j -0.0738925-0j 2.06945e-05-0j 0.000144862-0j 0.000153649-0j 7.31662e-06-0j -0.0192767-0j 1.20718e-05-0j 1.28041e-05-0j 8.96286e-05-0j 7.46905e-06-0j 2.33818e-05-0j 1.94848e-06-0j 
-0.00420692-0j -0.0052058-0j -0.00303672-0j -0.0746041-0j 0.0288388-0j 0.0176601-0j 0.0252339-0j 0.0104085-0j 0.0315998-0j 0.00453218-0j -0.107733-0j -0.0154516-0j 0.0291455-0j 0.0294475-0j 0.00418017-0j 0.0255023-0j 0.00422349-0j 0.0210383-0j 0.00365765-0j 0.00672185-0j 0.00301741-0j 0.000964076-0j -0.000243266-0j -0.195717-0j 0.000515714-0j -0.000269246-0j -0.216619-0j 0.000642425-0j 0.000570791-0j -0.000141905-0j 0.000649083-0j 0.516857-0j -0.000248334-0j -0.114168-0j 0.522213-0j -0.00136192-0j -8.77994e-05-0j 0.000300833-0j -0.000144862-0j -0.00137603-0j -0.000153649-0j -0.199795-0j -0.0706381-0j -8.96286e-05-0j 0.000526458-0j -0.116547-0j -0.123617-0j 0.000186131-0j -2.33818e-05-0j 0.000307101-0j 0.00032573-0j -0.0721098-0j 0.000190009-0j -0.0188116-0j 4.95685e-05-0j 
