0.989596-0j -0.00150163-0j -0.00857713-0j 0.144225-0j -0.000126353-0j -0.0052491-0j -0.00530349-0j -0.00087485-0j 0.102455-0j -0.000883916-0j 0.103516-0j 0.010402-0j 0.0105098-0j -6.44388e-06-0j -6.51065e-06-0j -0.00383099-0j -0.00474061-0j -0.00276536-0j -0.000618224-0j 0.0480148-0j -0.000765013-0j -7.28583e-05-0j -0.000446257-0j 0.0594153-0j 0.0120668-0j -9.01576e-05-0j 0.0346589-0j 0.000707325-0j 0.0149319-0j -5.25919e-05-0j -3.39409e-07-0j 0.00871027-0j 0.00087527-0j -4.19997e-07-0j 0.000510574-0j -2.44998e-07-0j 
0.00150163-0j 0.958576-0j 0.001238-0j -0.0208039-0j 0.247195-0j 0.000757642-0j 0.000765493-0j -0.0120036-0j 7.73265e-05-0j -0.012128-0j 7.81279e-05-0j 0.0698084-0j 0.0705318-0j 0.0253911-0j 0.0256542-0j 0.000552956-0j 0.000684248-0j 0.000399145-0j -0.00848251-0j 7.28583e-05-0j -0.0104966-0j 0.0465097-0j -0.006123-0j 9.01576e-05-0j -0.000865742-0j 0.0575528-0j 5.25919e-05-0j 0.0145478-0j -0.0010713-0j 0.0335725-0j 0.00223679-0j -0.000624926-0j 0.018002-0j 0.00276789-0j 0.0105012-0j 0.0016146-0j 
0.00857713-0j 0.001238-0j -0.0200522-0j 2.47415e-05-0j 2.06179e-06-0j 0.00432757-0j -0.00419933-0j -0.103336-0j 0.00044168-0j 0.100274-0j -0.000428592-0j 9.01576e-05-0j -8.7486e-05-0j 5.31259e-06-0j -5.15516e-06-0j 0.00315842-0j 7.73559e-05-0j -0.00442437-0j 0.000509688-0j -0.0596237-0j 1.24832e-05-0j -0.00860595-0j -0.000713979-0j -0.0014603-0j 5.20198e-05-0j -0.000210776-0j 0.0835219-0j 6.13059e-06-0j 1.27407e-06-0j 0.0120553-0j 2.79822e-07-0j -7.28702e-05-0j 1.5015e-07-0j 6.85339e-09-0j -8.58783e-06-0j -3.91979e-07-0j 
0.144225-0j 0.0208039-0j -2.47415e-05-0j -0.019566-0j 5.21531e-05-0j -0.000765013-0j 0.000742344-0j 0.00599645-0j 0.0149319-0j -0.00581876-0j -0.0144894-0j -0.144113-0j 0.139842-0j 0.000179489-0j -0.000174171-0j -0.000558335-0j -1.36747e-05-0j 0.000782125-0j 0.00423746-0j 0.00699776-0j 0.000103784-0j 0.0010094-0j -0.00593591-0j 0.000171389-0j -0.0827089-0j 2.47221e-05-0j -0.00980257-0j -0.0147507-0j -0.0020257-0j -0.00141398-0j 1.18298e-05-0j 0.11586-0j -0.000361274-0j 2.89736e-07-0j 0.0206631-0j -1.65714e-05-0j 
0.000126353-0j 0.247195-0j 2.06179e-06-0j -5.21531e-05-0j -0.018944-0j 6.37511e-05-0j -6.1862e-05-0j -0.00152036-0j 6.50656e-06-0j 0.00147531-0j -6.31376e-06-0j 0.018002-0j -0.0174685-0j -0.201661-0j 0.195685-0j 4.65279e-05-0j 1.13956e-06-0j -6.51771e-05-0j -0.00107438-0j 6.13059e-06-0j -2.63137e-05-0j 0.0119938-0j 0.00150501-0j 1.5015e-07-0j -0.000109654-0j 0.000293751-0j -8.58783e-06-0j -0.0563287-0j -2.68563e-06-0j -0.0168011-0j -0.0268367-0j 0.000153605-0j -0.0013796-0j -0.000657284-0j 0.0789061-0j 0.0375933-0j 
0.0052491-0j 0.000757642-0j 0.00432757-0j 0.000765013-0j 6.37511e-05-0j 0.487677-0j -0.512383-0j -0.000424474-0j -0.000259936-0j 0.000445977-0j 0.000273104-0j -5.30592e-05-0j 5.57471e-05-0j -3.12654e-06-0j 3.28493e-06-0j 0.00193292-0j -0.00230013-0j 0.00139525-0j -0.059728-0j 0.000254684-0j 0.071075-0j 3.67605e-05-0j -0.0431139-0j -0.000303068-0j 3.18355e-05-0j -4.37441e-05-0j 0.000183841-0j 3.75185e-06-0j -3.78835e-05-0j 2.65351e-05-0j 1.71248e-07-0j 2.29801e-05-0j -4.46462e-06-0j -2.03781e-07-0j 2.70823e-06-0j 1.23613e-07-0j 
-0.00530349-0j -0.000765493-0j 0.00419933-0j 0.000742344-0j 6.1862e-05-0j 0.512383-0j -0.517287-0j -0.000445977-0j -0.000273104-0j 0.000450246-0j 0.000275718-0j -5.57471e-05-0j 5.62807e-05-0j -3.28493e-06-0j 3.31637e-06-0j -0.00195295-0j 0.00232098-0j -0.00124561-0j 0.0603469-0j -0.000257323-0j -0.0717195-0j -3.71414e-05-0j 0.0384901-0j 0.000305817-0j -3.21654e-05-0j 4.41408e-05-0j -0.000164124-0j -3.79073e-06-0j 3.82271e-05-0j -2.36893e-05-0j -1.73022e-07-0j -2.05155e-05-0j 4.5051e-06-0j 2.05629e-07-0j -2.41778e-06-0j -1.10356e-07-0j 
-0.00087485-0j 0.0120036-0j 0.103336-0j 0.00599645-0j 0.00152036-0j 0.000424474-0j -0.000445977-0j 0.476691-0j 4.33227e-05-0j -0.500839-0j -4.55173e-05-0j -0.000840638-0j 0.000883224-0j -9.95912e-05-0j 0.000104636-0j -0.000322153-0j 0.000383354-0j -0.000232542-0j 0.00244496-0j 0.0060815-0j -0.00290945-0j -0.0834429-0j 0.00176487-0j -0.00723685-0j 0.000249538-0j 0.0992952-0j 0.00438986-0j 8.94757e-05-0j -0.000296945-0j -0.0602323-0j 6.82567e-06-0j 0.000180126-0j -0.000106474-0j -8.1224e-06-0j 6.4587e-05-0j 4.92703e-06-0j 
0.102455-0j -7.73265e-05-0j -0.00044168-0j 0.0149319-0j -6.50656e-06-0j 0.000259936-0j -0.000273104-0j 4.33227e-05-0j 0.480051-0j -4.55173e-05-0j -0.504369-0j -0.00103564-0j 0.0010881-0j 3.19102e-07-0j -3.35267e-07-0j -0.000197277-0j 0.000234756-0j -0.000142402-0j -3.18355e-05-0j 0.00497105-0j 3.78835e-05-0j -3.75185e-06-0j -2.29801e-05-0j -0.00591544-0j -0.0587939-0j 4.46462e-06-0j 0.00358829-0j 7.32305e-05-0j 0.0699634-0j -2.70823e-06-0j -1.74779e-08-0j -0.0424397-0j -8.71426e-05-0j 2.07983e-08-0j 5.28605e-05-0j -1.26162e-08-0j 
0.000883916-0j -0.012128-0j 0.100274-0j 0.00581876-0j 0.00147531-0j 0.000445977-0j -0.000450246-0j 0.500839-0j 4.55173e-05-0j -0.505633-0j -4.5953e-05-0j -0.000883224-0j 0.000891677-0j -0.000104636-0j 0.000105638-0j 0.000325491-0j -0.000386831-0j 0.000207602-0j -0.0024703-0j -0.00614452-0j 0.00293584-0j 0.0843076-0j -0.00157559-0j 0.00730248-0j -0.000252124-0j -0.100196-0j -0.00391906-0j -9.04029e-05-0j 0.000299638-0j 0.0537725-0j -6.89641e-06-0j -0.000160808-0j 0.00010744-0j 8.19605e-06-0j -5.76601e-05-0j -4.39862e-06-0j 
-0.103516-0j 7.81279e-05-0j -0.000428592-0j 0.0144894-0j -6.31376e-06-0j 0.000273104-0j -0.000275718-0j 4.55173e-05-0j 0.504369-0j -4.5953e-05-0j -0.509197-0j -0.0010881-0j 0.00109851-0j 3.35267e-07-0j -3.38476e-07-0j 0.000199322-0j -0.000236885-0j 0.00012713-0j 3.21654e-05-0j -0.00502256-0j -3.82271e-05-0j 3.79073e-06-0j 2.05155e-05-0j 0.00596908-0j 0.0594032-0j -4.5051e-06-0j -0.00320346-0j -7.39893e-05-0j -0.0705979-0j 2.41778e-06-0j 1.7659e-08-0j 0.0378881-0j 8.79329e-05-0j -2.09869e-08-0j -4.71914e-05-0j 1.12632e-08-0j 
