0.70996-0j 0.717317-0j 0.0831455-0j 0.102887-0j 0.0600176-0j 0.0505971-0j 0.00730306-0j 0.0590299-0j 0.0361483-0j 0.00852024-0j 0.0516512-0j 0.00521756-0j 0.00745521-0j 0.021305-0j 0.00307512-0j 0.0367194-0j 0.00649114-0j 0.000540929-0j 0.041479-0j 0.0338675-0j 0.00733253-0j 0.0342185-0j 0.000611044-0j 0.0296341-0j 0.00598698-0j 0.0244468-0j 0.00604903-0j 0.000498915-0j 0.00523861-0j 0.00781088-0j 0.000504085-0j 0.000436551-0j 0.00432163-0j 0.00138078-0j 0.000360136-0j 0.000115065-0j 0.0288474-0j 0.00480791-0j 0.00294423-0j 0.0319283-0j 0.000600989-0j 3.54136e-05-0j 0.0252415-0j 0.00532138-0j 0.0168277-0j 0.0255031-0j 0.00325867-0j 0.000665172-0j 0.00420692-0j 0.0294484-0j 3.91957e-05-0j 0.00280461-0j 0.0104116-0j 0.0025762-0j 0.00425052-0j 0.0171783-0j 0.00171747-0j 0.0026029-0j 0.000525865-0j 0.0182203-0j 0.000350577-0j 0.00490807-0j 0.000531314-0j 3.09869e-05-0j 0.0106285-0j 0.00300557-0j 0.00173527-0j 2.06579e-05-0j 0.00286304-0j 3.1308e-05-0j 0.00277271-0j 0.00106263-0j 0.00175325-0j 0.00303672-0j 0.000613509-0j 0.0018596-0j 0.000216908-0j 0.00177142-0j 3.61514e-05-0j 0.00035788-0j 0.000379589-0j 0.00108477-0j 1.27814e-05-0j 0.000462118-0j 2.10883e-05-0j 0.000221427-0j 0.000282988-0j 2.23675e-05-0j 5.77647e-05-0j 1.30477e-05-0j 3.40382e-06-0j 
0.102887-0j -0.100994-0j -0.569969-0j -0.0100391-0j 0.805282-0j 0.00733253-0j -0.101184-0j 0.000121765-0j 0.00523861-0j -0.00168028-0j -0.0072722-0j -0.0722897-0j 0.100352-0j -0.00908678-0j 0.125392-0j 0.00532138-0j -0.0444973-0j -0.0112811-0j 8.55615e-05-0j 0.00490807-0j -0.000715464-0j -0.00481777-0j -0.000181387-0j 6.11281e-05-0j -0.0410412-0j -0.00693438-0j 0.0402861-0j -0.0104049-0j -0.000511152-0j -0.00444725-0j 0.0102135-0j -0.000129589-0j 0.0579852-0j 0.0371879-0j 0.0147006-0j 0.00942799-0j 0.00418057-0j -0.0329586-0j 0.000426678-0j 6.58605e-05-0j -0.00832674-0j -0.000986448-0j 0.003658-0j -0.000519228-0j 0.00243867-0j -0.00359069-0j 6.72186e-06-0j -0.000131179-0j -0.0288388-0j 6.07452e-05-0j -1.55405e-05-0j -0.0192258-0j 0.00150885-0j 0.000373343-0j 0.0283081-0j -0.00487264-0j 0.000248895-0j -0.000366474-0j -0.0072859-0j -0.00256531-0j -0.00485727-0j -0.000478901-0j 0.00715184-0j -0.000863142-0j -0.00453315-0j 6.19978e-06-0j -0.0118954-0j -0.000575428-0j 0.0384147-0j 0.000847261-0j -0.00197479-0j 0.000153996-0j -0.000497312-0j 0.0202243-0j -0.000120991-0j -0.000261821-0j -0.00300528-0j 0.0357382-0j -1.43335e-05-0j 0.00970519-0j 0.00510952-0j -0.000462663-0j -0.000356028-0j 0.0155687-0j 0.00114975-0j 0.009029-0j -0.000201551-0j 0.000605312-0j 0.00393332-0j 0.00106964-0j 0.000465971-0j 
-0.0503014-0j 0.0516512-0j 0.00598698-0j -0.00728967-0j 0.00432163-0j -0.350536-0j 0.000525865-0j -0.408959-0j 0.743271-0j 0.000613509-0j 0.352099-0j -0.00111504-0j -0.000528209-0j -0.147601-0j 0.000221427-0j 0.00264402-0j -0.0449706-0j 3.89502e-05-0j 0.00298674-0j -0.00239955-0j -0.0507997-0j 0.00246394-0j 4.39989e-05-0j -0.00633304-0j 0.0408124-0j -0.00173208-0j -0.0419076-0j -3.53487e-05-0j 0.107715-0j 0.000562431-0j 3.62972e-05-0j -9.32945e-05-0j 0.02946-0j -0.00956605-0j -2.5516e-05-0j 8.2854e-06-0j 0.00207719-0j 0.000346199-0j -0.0410072-0j 0.00229903-0j -0.00416364-0j 2.54999e-06-0j -0.00178839-0j 0.000383172-0j 0.0012117-0j 0.00183638-0j -0.0453867-0j -0.00460831-0j -0.000298065-0j -0.00208645-0j 2.82233e-06-0j 0.000201949-0j -0.00371241-0j 0.0353057-0j 0.000306063-0j 0.00123694-0j -0.0239209-0j -0.0362532-0j 0.00358475-0j -0.00389383-0j -0.00242879-0j -0.000347742-0j -0.00368094-0j -2.19545e-06-0j -0.000753041-0j 0.04119-0j -0.000618736-0j 1.4875e-06-0j 0.000206157-0j 2.25437e-06-0j 0.000199652-0j 0.0732892-0j -0.0244192-0j -0.000648971-0j 0.00418221-0j 0.0768706-0j 0.00744138-0j -0.000125507-0j -2.56136e-06-0j -0.00247939-0j 0.00780501-0j 0.0148663-0j -4.55742e-06-0j 3.32753e-05-0j 1.51849e-06-0j 0.00150944-0j -0.00394146-0j -4.78012e-06-0j -0.000400194-0j -9.24445e-07-0j 2.45096e-07-0j 
-0.0516512-0j 0.0521653-0j -0.00604903-0j 0.0072722-0j -0.00399882-0j 0.354169-0j -0.000531314-0j -0.401434-0j 0.253031-0j 0.000602221-0j -0.361401-0j -0.000379589-0j 0.000542164-0j 0.712053-0j -0.0010682-0j -0.00267142-0j 0.0454366-0j -3.93538e-05-0j 0.00293179-0j -0.00246394-0j -0.049865-0j 0.00248846-0j 4.31893e-05-0j 0.00209457-0j 0.0419076-0j -0.00162883-0j -0.0423247-0j -3.62972e-05-0j -0.0356253-0j -0.00601051-0j 3.66585e-05-0j 3.08559e-05-0j 0.0277038-0j 0.102229-0j -2.3995e-05-0j -8.85431e-05-0j -0.00209872-0j -0.000349786-0j 0.0414322-0j 0.00225673-0j 0.00420679-0j -2.57642e-06-0j -0.00183638-0j 0.000376122-0j -0.00122425-0j 0.00185466-0j -0.0445516-0j -0.00452352-0j -0.000306063-0j 0.00208145-0j 2.7704e-06-0j -0.000204042-0j -0.000757467-0j 0.0362532-0j 0.000309109-0j -0.00114454-0j 0.0241688-0j -0.036614-0j 0.00368094-0j 0.00132503-0j 0.00245396-0j 0.000346909-0j -0.00371758-0j -2.25437e-06-0j -0.00369202-0j -0.0410913-0j -0.000126245-0j -1.50291e-06-0j -0.000190757-0j 2.27681e-06-0j -0.0036961-0j 0.0149537-0j 0.0225952-0j 0.000220838-0j -0.00417218-0j -0.0261583-0j 0.00151831-0j -0.000615337-0j 2.55522e-06-0j 0.00229419-0j -0.00265597-0j 0.0728866-0j -9.29879e-07-0j -0.000616017-0j -1.40506e-06-0j 0.0074005-0j 0.0729672-0j 1.62663e-06-0j 0.00740868-0j -4.53238e-06-0j -4.53739e-06-0j 
0.00726038-0j -0.00745521-0j 0.0826168-0j -0.100593-0j 0.059636-0j -0.000525865-0j -0.33959-0j -0.000613509-0j 0.00111504-0j -0.396189-0j 0.000528209-0j 0.720062-0j 0.341104-0j -0.000221427-0j -0.142992-0j -0.000381632-0j 0.00644987-0j -0.0770772-0j -0.000431099-0j 0.000346345-0j 0.0072859-0j -0.000355639-0j -0.087068-0j 0.000914095-0j -0.00585349-0j 0.000250005-0j 0.00601056-0j 0.0699503-0j -0.0154489-0j -8.118e-05-0j -0.0718274-0j 0.184617-0j -0.00422527-0j 0.001372-0j 0.0504928-0j -0.0163957-0j -0.000299817-0j 0.00477734-0j -3.05999e-05-0j -0.000331836-0j -0.0279458-0j -0.0101629-0j 0.000258132-0j 0.00528754-0j -0.000174893-0j -0.000265058-0j -3.38679e-05-0j -0.0309303-0j -0.00411311-0j 0.000301153-0j -0.0112483-0j 0.00278678-0j 0.000535841-0j 2.63454e-05-0j 0.00422349-0j -0.000178537-0j -1.785e-05-0j -2.70524e-05-0j 0.0240603-0j 0.000562025-0j -0.0163017-0j -0.00479863-0j -0.024706-0j 0.00874993-0j 0.000108692-0j 3.07363e-05-0j -0.00853818-0j -0.00592839-0j 0.00284484-0j -0.00898473-0j -2.88173e-05-0j 5.4689e-05-0j -1.82218e-05-0j -0.00895541-0j 0.0280704-0j 5.73615e-05-0j 0.0499455-0j -0.00173192-0j 0.0102083-0j -0.0166413-0j 0.0523862-0j 1.10933e-05-0j 0.0181635-0j 0.000459179-0j -0.00605189-0j 0.0101311-0j -2.94115e-06-0j 0.0190511-0j -0.00268604-0j 0.00368435-0j -0.000976824-0j 
0.00745521-0j -0.00752941-0j -0.083473-0j 0.100352-0j -0.0551813-0j 0.000531314-0j 0.34311-0j -0.000602221-0j 0.000379589-0j -0.388899-0j -0.000542164-0j 0.245129-0j -0.350116-0j 0.0010682-0j 0.689818-0j 0.000385587-0j -0.00651671-0j 0.077876-0j -0.000423167-0j 0.000355639-0j 0.00715184-0j -0.000359179-0j -0.0854659-0j -0.000302325-0j -0.00601056-0j 0.000235102-0j 0.00607039-0j 0.0718274-0j 0.00510952-0j 0.000867542-0j -0.0725424-0j -0.0610598-0j -0.00397339-0j -0.0146621-0j 0.0474828-0j 0.175215-0j 0.000302924-0j -0.00482684-0j 3.0917e-05-0j -0.000325731-0j 0.0282354-0j 0.0102683-0j 0.000265058-0j 0.00519025-0j 0.000176706-0j -0.000267697-0j -3.32448e-05-0j -0.0303612-0j -0.00422349-0j -0.000300432-0j -0.0110414-0j -0.00281566-0j 0.000109331-0j 2.70524e-05-0j 0.00426553-0j 0.000165201-0j 1.80349e-05-0j -2.73217e-05-0j 0.024706-0j -0.000191252-0j 0.0164707-0j 0.00478713-0j -0.0249519-0j 0.00898473-0j 0.000532897-0j -3.06627e-05-0j -0.0017421-0j 0.00598982-0j -0.00263234-0j -0.00907416-0j 0.000533486-0j 1.11585e-05-0j 1.68607e-05-0j 0.00304744-0j -0.0280031-0j -1.95195e-05-0j 0.0101907-0j -0.00849128-0j -0.0101838-0j 0.0153983-0j -0.0178265-0j 5.43886e-05-0j 0.00370601-0j -0.00850066-0j 0.00559984-0j 0.0496711-0j 5.44487e-05-0j -0.0064829-0j 0.049726-0j 0.0180637-0j 0.0180837-0j 
0.0338675-0j 0.0342185-0j -0.0079116-0j 0.00490807-0j 0.00286304-0j 0.00241365-0j 0.000348381-0j -0.00561692-0j 0.0017244-0j -0.000810733-0j 0.00246394-0j 0.000248895-0j 0.000355639-0j 0.00101632-0j 0.000146693-0j -0.255285-0j 0.00030965-0j 2.58041e-05-0j -0.288375-0j 0.469665-0j 0.000349786-0j 0.474532-0j 2.91489e-05-0j -0.206025-0j -0.000569684-0j -0.169962-0j -0.000575587-0j -4.74736e-05-0j 0.000249899-0j -0.0543036-0j -4.79656e-05-0j 2.0825e-05-0j 0.000206157-0j 6.5868e-05-0j 1.71797e-05-0j 5.489e-06-0j 0.00137612-0j -0.033426-0j 0.00014045-0j 0.00152309-0j 2.86692e-05-0j 1.68935e-06-0j 0.00120411-0j -0.0369958-0j -0.00400517-0j 0.00121658-0j 0.000155449-0j 3.1731e-05-0j -0.0292478-0j -0.00280213-0j 1.86977e-06-0j 0.0972857-0j 0.000496668-0j 0.000122894-0j -0.0295508-0j -0.00163458-0j -0.000408776-0j 0.000124167-0j 2.50855e-05-0j 0.00086917-0j -8.34411e-05-0j 0.0680638-0j 2.53455e-05-0j 1.47818e-06-0j 0.000507016-0j -0.000285991-0j -0.0120641-0j -4.91681e-06-0j 0.0397039-0j 1.4935e-06-0j 0.000132268-0j 5.0691e-05-0j -0.000166828-0j -0.0211121-0j -5.83777e-05-0j 8.87093e-05-0j 1.03473e-05-0j -0.0123154-0j -3.43994e-06-0j -3.40537e-05-0j 1.81077e-05-0j 5.17471e-05-0j 6.09718e-07-0j -0.00321278-0j -2.00663e-06-0j 1.05628e-05-0j 1.34995e-05-0j 1.06701e-06-0j 2.75557e-06-0j 6.22421e-07-0j 1.62374e-07-0j 
0.0412366-0j 0.0411378-0j -0.00490807-0j 8.50614e-05-0j 0.00693438-0j -0.00298674-0j -0.000431099-0j -4.95983e-05-0j 0.00633304-0j -7.15889e-06-0j -0.00291465-0j 0.000914095-0j -0.000420694-0j 0.0037013-0j 0.000534237-0j 0.315898-0j -0.000383172-0j -3.1931e-05-0j 0.00507927-0j -0.286689-0j -6.16095e-06-0j -0.286002-0j -5.13413e-07-0j -0.01077-0j 0.000347742-0j 0.40505-0j 0.000346909-0j 2.89785e-05-0j 1.30636e-05-0j -0.264007-0j 2.8909e-05-0j 1.08863e-06-0j -0.000491308-0j 0.000320229-0j -4.09424e-05-0j 2.66858e-05-0j -0.00170286-0j 0.0413626-0j -0.000173798-0j -2.68268e-05-0j -3.54763e-05-0j -2.09046e-06-0j 0.0014661-0j 0.000651624-0j -0.000993337-0j 0.00146259-0j -2.738e-06-0j -5.58893e-07-0j -0.0356117-0j 2.43463e-05-0j -3.29331e-08-0j 0.0241282-0j 0.0030434-0j 0.000149634-0j -0.0355263-0j 0.00198476-0j -0.000101382-0j 0.000149275-0j 3.05438e-05-0j -0.00310125-0j -2.06945e-05-0j -0.000591372-0j 3.04706e-05-0j 1.79981e-06-0j -0.00181686-0j 2.48484e-06-0j -0.0739243-0j -1.21944e-06-0j -0.0482099-0j 1.7955e-06-0j 0.000804385-0j 0.000310616-0j 0.000202569-0j 0.0753294-0j 5.07215e-07-0j -0.00031652-0j 6.34042e-05-0j 0.0441315-0j 2.98879e-08-0j 4.13492e-05-0j -6.46094e-05-0j -0.000185432-0j 3.73613e-06-0j -0.0195385-0j 2.43653e-06-0j -3.78512e-05-0j 8.20972e-05-0j -3.80714e-06-0j 1.6758e-05-0j -2.2304e-06-0j 9.87476e-07-0j 
-0.00598698-0j -0.00604903-0j -0.0661567-0j 0.0410412-0j 0.0239407-0j 0.0410524-0j 0.0058879-0j -0.0955348-0j 0.0293292-0j -0.013702-0j 0.0419076-0j 0.00420652-0j 0.00601056-0j 0.017286-0j 0.00247923-0j -0.00030965-0j -0.249125-0j 0.000656445-0j -0.000349786-0j 0.000569684-0j -0.281417-0j 0.000575587-0j 0.000741533-0j -0.000249899-0j 0.458333-0j -0.000206157-0j 0.463083-0j -0.00120771-0j -0.201054-0j -6.5868e-05-0j -0.00122022-0j 0.000529777-0j -0.165861-0j -0.0529935-0j 0.000437044-0j 0.000139638-0j -0.000243266-0j 0.00191785-0j 0.00480248-0j -0.000269246-0j -0.0466186-0j 5.74012e-05-0j -0.000212858-0j 0.00212267-0j 0.000708021-0j -0.000215064-0j 0.00531537-0j -0.0515974-0j 0.00167812-0j 0.000495351-0j 6.35314e-05-0j -0.00558186-0j -8.77994e-05-0j 0.00420217-0j 0.00169551-0j 0.000288955-0j -0.0139775-0j 0.00424572-0j -0.0407913-0j -0.000153649-0j 0.135683-0j -0.00390523-0j -0.041214-0j 5.0226e-05-0j -8.96286e-05-0j -0.00977905-0j 0.000692189-0j -0.000167065-0j -0.00227805-0j 5.07465e-05-0j -2.33818e-05-0j 0.00173331-0j -0.00570445-0j 0.00121133-0j 0.0949273-0j 0.00303329-0j -0.0168256-0j 0.00070661-0j -0.000116883-0j 0.0553743-0j -0.0294447-0j 0.00176942-0j 2.07172e-05-0j 0.000184337-0j -6.81819e-05-0j -0.0171761-0j 0.000461596-0j 3.6255e-05-0j -0.00448081-0j 2.11488e-05-0j 5.51718e-06-0j 
0.0244468-0j 0.0226207-0j 0.00286304-0j -0.00693438-0j 0.0080019-0j 0.00174227-0j 0.000251475-0j -0.00397849-0j 0.00124474-0j -0.000574246-0j 0.00162883-0j 0.000179662-0j 0.000235102-0j 0.000853627-0j 0.00012321-0j -0.184274-0j 0.000223517-0j 1.86264e-05-0j 0.407431-0j -0.169962-0j -0.000494197-0j -0.157266-0j -4.11831e-05-0j 0.291083-0j 0.000206157-0j -0.475025-0j 0.000190757-0j 1.71797e-05-0j -0.000353071-0j 0.507878-0j 1.58964e-05-0j -2.94226e-05-0j 0.000576186-0j -0.000616035-0j 4.80155e-05-0j -5.13363e-05-0j 0.000993337-0j -0.0241282-0j 0.000101382-0j -0.0021519-0j 2.06945e-05-0j 1.21944e-06-0j 0.00086917-0j 0.0522696-0j 0.000579447-0j 0.000804246-0j -0.000219627-0j -4.48312e-05-0j -0.0211121-0j -0.00198476-0j -2.6417e-06-0j -0.0140748-0j 0.000358514-0j 8.87093e-05-0j -0.0195351-0j 0.00229031-0j 5.91395e-05-0j 8.2083e-05-0j 1.81077e-05-0j 0.000574581-0j 1.20718e-05-0j 0.0482099-0j 1.67551e-05-0j 1.06701e-06-0j 0.000425851-0j -0.000202569-0j -0.00870832-0j 7.11338e-07-0j -0.0556316-0j 9.87305e-07-0j -0.00422347-0j 3.65907e-05-0j 0.000233754-0j -0.0139566-0j -4.13492e-05-0j 5.86429e-05-0j 7.46905e-06-0j -0.0103439-0j -2.43653e-06-0j 4.77147e-05-0j 1.19704e-05-0j 4.34633e-05-0j 4.40118e-07-0j 0.102588-0j 2.81162e-06-0j 8.8719e-06-0j -0.000431056-0j 7.05365e-07-0j -8.7989e-05-0j 5.22782e-07-0j -5.1848e-06-0j 
0.000498915-0j 0.000504085-0j 0.0167723-0j -0.0104049-0j -0.00606953-0j 3.55565e-05-0j 0.0703615-0j -8.2745e-05-0j 2.54028e-05-0j -0.163742-0j 3.62972e-05-0j 0.0502687-0j 0.0718274-0j 1.49718e-05-0j 0.0296273-0j 2.58041e-05-0j -0.000656445-0j -0.241237-0j 2.91489e-05-0j -4.74736e-05-0j -0.000741533-0j -4.79656e-05-0j -0.272506-0j 2.0825e-05-0j 0.00120771-0j 1.71797e-05-0j 0.00122022-0j 0.44382-0j -0.000529777-0j 5.489e-06-0j 0.44842-0j -0.194688-0j -0.000437044-0j -0.000139638-0j -0.160609-0j -0.0513154-0j 2.02722e-05-0j -0.00048622-0j 2.06902e-06-0j 2.24372e-05-0j 0.00579024-0j -0.0652348-0j 1.77382e-05-0j -0.000538147-0j -5.90017e-05-0j 1.7922e-05-0j 2.28999e-06-0j 0.00640862-0j -0.000425443-0j -4.12793e-05-0j -0.0722017-0j 0.00141513-0j 7.31662e-06-0j 1.81039e-06-0j -0.000429852-0j -2.40796e-05-0j -6.02184e-06-0j 1.82915e-06-0j 0.00506646-0j 1.28041e-05-0j -0.0168524-0j 0.000990067-0j 0.00511896-0j -0.0570805-0j 7.46905e-06-0j -4.21305e-06-0j -0.000175486-0j 0.189865-0j 0.000577539-0j -0.057672-0j 1.94848e-06-0j 7.46749e-07-0j -2.45761e-06-0j -0.000307101-0j -0.0117904-0j 1.30681e-06-0j 0.00208981-0j -0.000179142-0j 0.132835-0j -0.00687773-0j 0.00365716-0j 7.62306e-07-0j -0.0235445-0j -4.67336e-05-0j 0.0774868-0j 0.00213335-0j 1.98866e-07-0j -0.0412029-0j 0.000556536-0j -0.024035-0j -0.00627012-0j 
