-0.00524564-0j -0.000927306-0j -7.72755e-05-0j -0.00456118-0j -0.000760197-0j -0.000465524-0j -9.50246e-05-0j -5.59938e-06-0j 0.707093-0j 0.714421-0j -0.000462608-0j -0.000467402-0j -0.000377718-0j -0.000381632-0j -5.45189e-05-0j -4.72147e-05-0j -5.50838e-05-0j -4.7704e-05-0j -5.56431e-06-0j -5.62197e-06-0j -2.53975e-07-0j -2.56607e-07-0j -0.00212331-0j -0.00262746-0j -0.00153269-0j 0.0828098-0j 0.102472-0j -0.000265414-0j 0.0597752-0j -0.000176943-0j -3.83092e-05-0j -0.000328433-0j -0.000218955-0j -4.42357e-05-0j -0.000191586-0j -4.74052e-05-0j -1.56397e-05-0j -0.000127724-0j -3.6863e-06-0j -2.7653e-05-0j -3.90992e-06-0j -5.47388e-05-0j -1.93531e-05-0j -3.1931e-05-0j -4.56157e-06-0j -3.25826e-07-0j -1.12893e-05-0j -4.83827e-06-0j -2.66092e-06-0j -1.21428e-08-0j -4.0319e-07-0j -2.82233e-06-0j -1.5026e-08-0j -2.35194e-07-0j -8.76516e-09-0j 
0.000846511-0j -0.00707851-0j -0.00179457-0j -0.144184-0j -0.0058029-0j 7.51236e-05-0j -0.00146606-0j -0.00017368-0j 0.000462608-0j 0.000467402-0j 0.69173-0j 0.698899-0j 6.09539e-05-0j 6.15856e-05-0j -0.000841128-0j -0.00036041-0j -0.000849845-0j -0.000364144-0j -0.00012922-0j -0.000130559-0j -9.85741e-06-0j -9.95957e-06-0j 0.000342648-0j 0.000424005-0j 0.000247336-0j -0.00256273-0j -0.00317121-0j -0.00839002-0j -0.00184987-0j 2.8554e-05-0j 0.115777-0j -0.0103821-0j 3.53338e-05-0j -0.000337669-0j -0.00605623-0j 0.143267-0j 2.52384e-06-0j 2.06114e-05-0j -8.5607e-05-0j 0.0835724-0j -6.0323e-05-0j -0.000417844-0j 3.12309e-06-0j -0.000243742-0j -0.000105933-0j -1.01064e-05-0j 1.8218e-06-0j -7.46459e-05-0j -6.17944e-05-0j -5.65945e-07-0j -1.2506e-05-0j -4.35434e-05-0j -7.00322e-07-0j -7.29519e-06-0j -4.08521e-07-0j 
-0.100732-0j -0.0117557-0j 1.01819e-05-0j 0.000600989-0j -0.014598-0j -0.0118645-0j -0.00120466-0j 7.37783e-07-0j 0.000377718-0j 0.000381632-0j 6.09539e-05-0j 6.15856e-05-0j 0.697868-0j 0.7051-0j -0.00104692-0j -0.00120333-0j -0.00105777-0j -0.0012158-0j -7.05404e-05-0j -7.12714e-05-0j 3.34641e-08-0j 3.38109e-08-0j 0.000279771-0j 0.000346199-0j 0.000201949-0j 4.42357e-05-0j 5.47388e-05-0j -0.00336473-0j 3.1931e-05-0j -0.00681895-0j 5.04768e-06-0j -0.00416364-0j -0.00843802-0j 0.0817294-0j -0.00242879-0j 6.24619e-06-0j -0.000598928-0j -0.00492218-0j -7.07879e-05-0j 3.64361e-06-0j -9.96496e-05-0j 0.101135-0j -0.000741135-0j 0.0589954-0j -8.75955e-05-0j -4.1306e-06-0j -0.000432329-0j -0.00012331-0j -5.10974e-05-0j 1.59996e-09-0j -5.11136e-06-0j -7.19309e-05-0j 1.97985e-09-0j -2.98162e-06-0j 1.15491e-09-0j 
0.0145394-0j 0.00168606-0j -0.0201487-0j -8.67452e-05-0j -0.201444-0j -8.8534e-06-0j -0.00808549-0j -0.00294042-0j -5.45189e-05-0j -5.50838e-05-0j 0.000841128-0j 0.000849845-0j 0.00104692-0j 0.00105777-0j 0.676077-0j 8.58473e-05-0j 0.683083-0j 8.67369e-05-0j -0.00145083-0j -0.00146587-0j -0.000223059-0j -0.00022537-0j -4.03814e-05-0j -4.99695e-05-0j -2.91489e-05-0j 0.000610426-0j 0.000755363-0j -5.04768e-06-0j 0.000440629-0j 0.000984231-0j -0.00325967-0j -6.24619e-06-0j 0.00121792-0j -0.011722-0j -3.64361e-06-0j -0.00403363-0j -2.97437e-07-0j 0.000710455-0j 0.14008-0j -0.00235295-0j -0.000332688-0j -0.0145052-0j -3.6806e-07-0j -0.00846136-0j 0.17334-0j -0.000171102-0j -2.14702e-07-0j -0.000411681-0j 0.101115-0j -1.60304e-05-0j -0.000211728-0j -0.000240147-0j -1.98366e-05-0j -0.000123508-0j -1.15713e-05-0j 
-8.63966e-05-0j -0.139742-0j 0.000183157-0j -7.51236e-05-0j 0.000592256-0j -0.141946-0j -0.0289424-0j 1.77262e-05-0j -4.72147e-05-0j -4.7704e-05-0j 0.00036041-0j 0.000364144-0j 0.00120333-0j 0.0012158-0j 8.58473e-05-0j 0.680995-0j 8.67369e-05-0j 0.688052-0j -0.00255102-0j -0.00257745-0j 1.00607e-06-0j 1.01649e-06-0j -3.49714e-05-0j -4.32748e-05-0j -2.52437e-05-0j 0.000261557-0j 0.000323661-0j 0.000845555-0j 0.000188802-0j -2.91428e-06-0j 6.0323e-05-0j 0.00104632-0j -3.60624e-06-0j -0.00666615-0j 0.000610354-0j 7.46459e-05-0j -0.0144561-0j -2.10364e-06-0j 8.73723e-06-0j 4.35434e-05-0j 0.11398-0j -0.00824894-0j -0.0178886-0j -0.00481188-0j 1.08118e-05-0j -0.000199517-0j -0.010435-0j 0.141044-0j 6.30687e-06-0j 5.77616e-08-0j -0.00024689-0j 0.0822754-0j 7.14763e-08-0j -0.000144019-0j 4.16945e-08-0j 
1.01819e-05-0j 0.0249217-0j -0.0951886-0j 8.8534e-06-0j -0.000212345-0j -0.000174781-0j -0.243301-0j -0.0284898-0j 5.56431e-06-0j 5.62197e-06-0j -0.00012922-0j -0.000130559-0j -7.05404e-05-0j -7.12714e-05-0j 0.00145083-0j 0.00255102-0j 0.00146587-0j 0.00257745-0j 0.659466-0j 0.6663-0j -0.00326472-0j -0.00329855-0j 4.12141e-06-0j 5.09999e-06-0j 2.97499e-06-0j -9.37778e-05-0j -0.000116044-0j -4.95672e-05-0j -6.76924e-05-0j 3.43451e-07-0j 0.00101947-0j -6.13363e-05-0j 4.24999e-07-0j 0.00118885-0j -3.57795e-05-0j 0.00126153-0j -8.82304e-06-0j 2.47916e-07-0j -0.00454082-0j 0.00073589-0j -0.020126-0j 0.00147113-0j -1.0918e-05-0j 0.000858157-0j -0.00561898-0j 0.159505-0j -6.36881e-06-0j -0.0249046-0j -0.00327774-0j -0.000313816-0j 0.197377-0j -0.0145277-0j -0.000388328-0j 0.115137-0j -0.000226525-0j 
-4.6474e-07-0j 1.97594e-05-0j 0.0453395-0j -4.041e-07-0j 1.61985e-05-0j -4.12433e-08-0j -0.000388784-0j -0.310772-0j -2.53975e-07-0j -2.56607e-07-0j 9.85741e-06-0j 9.95957e-06-0j -3.34641e-08-0j -3.38109e-08-0j -0.000223059-0j 1.00607e-06-0j -0.00022537-0j 1.01649e-06-0j 0.00326472-0j 0.00329855-0j 0.63798-0j 0.644591-0j -1.88116e-07-0j -2.32782e-07-0j -1.35789e-07-0j 7.15375e-06-0j 8.85231e-06-0j -2.35145e-08-0j 5.16385e-06-0j -1.56763e-08-0j -0.000156738-0j -2.90977e-08-0j -1.93985e-08-0j 9.42589e-07-0j -1.69737e-08-0j -0.000193954-0j -1.3856e-09-0j -1.13158e-08-0j 0.00216285-0j -0.00011314-0j -1.5997e-05-0j 1.16639e-06-0j -1.7146e-09-0j 6.80397e-07-0j 0.00267639-0j -0.0180837-0j -1.00018e-09-0j -1.97953e-05-0j 0.00156123-0j 0.193268-0j -0.0223775-0j -1.15473e-05-0j 0.239157-0j -0.0130535-0j 0.139508-0j 
0.00480791-0j 0.000849926-0j 7.08272e-05-0j 5.95055e-05-0j 9.91759e-06-0j 6.07326e-06-0j 1.2397e-06-0j 7.30499e-08-0j 0.00262746-0j -0.00257912-0j 0.000424005-0j -0.000416204-0j 0.000346199-0j -0.000339829-0j 4.99695e-05-0j 4.32748e-05-0j -4.90501e-05-0j -4.24786e-05-0j 5.09999e-06-0j -5.00615e-06-0j 2.32782e-07-0j -2.28498e-07-0j -0.580072-0j -0.0102171-0j 0.819557-0j 0.00030771-0j 5.41984e-06-0j 0.000243266-0j -0.000434749-0j 0.000162177-0j 3.51124e-05-0j 4.28476e-06-0j 2.85651e-06-0j 4.05444e-05-0j -0.000343699-0j 6.18452e-07-0j 1.43346e-05-0j -0.000229133-0j 3.3787e-06-0j -4.96087e-05-0j 3.58365e-06-0j 7.14127e-07-0j 2.52482e-07-0j -5.72832e-05-0j 5.95106e-08-0j 2.98637e-07-0j -2.02527e-05-0j 6.31205e-08-0j -4.7736e-06-0j 1.11296e-08-0j 5.26004e-09-0j -5.06317e-06-0j 1.9603e-10-0j -4.21931e-07-0j -1.57244e-08-0j 
-0.000760197-0j 0.00635676-0j 0.00161159-0j -9.40865e-06-0j 7.41755e-05-0j -9.60266e-07-0j 1.87399e-05-0j 2.22007e-06-0j 0.102472-0j -0.100586-0j 0.00317121-0j -0.00311286-0j -5.47388e-05-0j 5.37316e-05-0j 0.000755363-0j 0.000323661-0j -0.000741465-0j -0.000317705-0j 0.000116044-0j -0.000113909-0j 8.85231e-06-0j -8.68943e-06-0j -0.00030771-0j -5.41984e-06-0j 0.000434749-0j -0.567668-0j -0.00999859-0j -3.84638e-05-0j 0.802031-0j -2.56425e-05-0j 0.000530777-0j -6.7748e-07-0j -4.51653e-07-0j 0.000303239-0j 5.43436e-05-0j 9.34882e-06-0j -2.2665e-06-0j 3.62291e-05-0j 7.68782e-05-0j -0.00074991-0j 5.41722e-05-0j 5.34109e-06-0j -3.99209e-08-0j -0.000428432-0j 1.35409e-06-0j 9.07592e-06-0j 3.20223e-06-0j 9.5416e-07-0j -0.000108618-0j 5.08239e-07-0j 1.59858e-07-0j -7.65373e-05-0j 8.95185e-09-0j -1.28229e-05-0j -7.18067e-07-0j 
-0.000600989-0j 0.0102218-0j -8.8534e-06-0j 0.00145704-0j -1.2397e-06-0j 0.000146842-0j 1.49095e-05-0j -9.13124e-09-0j -0.000328433-0j 0.00032239-0j 0.0103821-0j -0.0101911-0j 0.00416364-0j -0.00408704-0j -6.24619e-06-0j 0.00104632-0j 6.13126e-06-0j -0.00102707-0j 6.13363e-05-0j -6.02077e-05-0j -2.90977e-08-0j 2.85623e-08-0j -0.000243266-0j -4.28476e-06-0j 0.000343699-0j -3.84638e-05-0j -6.7748e-07-0j -0.573106-0j 5.43436e-05-0j -2.02722e-05-0j 0.000859757-0j -0.0100944-0j -3.57063e-07-0j 0.000487617-0j 0.809714-0j 1.51433e-05-0j 0.000520779-0j 2.86416e-05-0j -4.22337e-07-0j -0.00121471-0j 8.66472e-05-0j 8.58862e-06-0j 9.17273e-06-0j -0.000688931-0j -7.43882e-09-0j 3.59164e-06-0j -0.000735785-0j 1.52616e-06-0j 5.967e-07-0j -1.39119e-09-0j 6.32612e-08-0j -0.00012242-0j -2.45038e-11-0j -5.07445e-06-0j 1.96555e-09-0j 
0.117185-0j -7.08272e-05-0j -5.90226e-06-0j -4.95879e-06-0j 0.000241725-0j -5.06105e-07-0j -1.03308e-07-0j -6.08749e-09-0j -0.000218955-0j 0.000214927-0j -3.53338e-05-0j 3.46836e-05-0j 0.00843802-0j -0.00828276-0j 0.00121792-0j -3.60624e-06-0j -0.00119551-0j 3.53988e-06-0j -4.24999e-07-0j 4.17179e-07-0j -1.93985e-08-0j 1.90415e-08-0j -0.000162177-0j -2.85651e-06-0j 0.000229133-0j -2.56425e-05-0j -4.51653e-07-0j -2.02722e-05-0j 3.62291e-05-0j -0.574099-0j -2.92604e-06-0j -3.57063e-07-0j -0.0101119-0j 0.000988202-0j 2.86416e-05-0j -5.15377e-08-0j -1.19455e-06-0j 0.811118-0j 8.23501e-05-0j 4.13406e-06-0j -2.98637e-07-0j 1.74057e-05-0j -2.10402e-08-0j -0.00139618-0j 1.45047e-06-0j -2.48865e-08-0j 1.68772e-06-0j -5.26004e-09-0j -0.000116349-0j -9.27463e-10-0j -4.38337e-10-0j 4.21931e-07-0j -1.63358e-11-0j 3.51609e-08-0j 1.31037e-09-0j 
