0.00897562-0.00356879j -0.00470019+0.00986011j 0.00962596-0.00637424j 0.0111824-0.00387173j 0.00238549-0.000474383j 0.000972554-0.00116874j -0.00237712+0.00271721j -0.00982724+0.00200398j 0.0030968-0.00190877j 0.000304846-0.00170029j 0.0116504-0.00340447j -0.0104163+0.00581304j 0.00973287-0.00598559j -0.0138077+0.00466097j -0.0127964+0.00147277j -0.00140543+0.00548722j -0.00029629-0.000528062j 0.00440403-0.00172147j 0.0120015-0.00366903j -0.00648629+0.00279043j -0.010073+0.00298854j 0.00487197-0.0039553j -0.00129325-0.00354323j -0.00336428+0.00246942j -0.00467896-0.0029703j -0.0179448+0.00281754j -0.00525612-0.000744677j 0.00322481+0.00253747j -0.00818243-0.00253683j -0.00476227+0.000368344j 0.0132263-0.000225409j -0.00989108-0.00187807j -0.00302543-0.00478698j 0.002533+0.000244442j -0.00792595+0.00261155j 0.00268319+0.000999462j 0.00667835-0.00495063j -0.00952015-0.00705672j 0.0139481+0.0219831j 0.0187641-0.00018357j 0.012071+0.00168787j 0.00819954+0.00608975j -0.00174775-0.00879717j 0.0033706+0.00595175j 0.00123359-0.0028164j -0.00403853-0.00748418j 0.00334416-0.00011995j -0.000833785-0.00663447j 0.00318589+0.00524859j -0.00167271+0.00123257j -0.00198954-0.00473194j 0.00490076+0.00902536j 0.0020762+0.00313189j 0.00422435+0.00425898j 0.00276595+0.00489559j -0.00432184-0.00950741j 0.000828081+1.30941e-05j 0.00256745-7.51798e-05j 0.000710774-0.00199191j 0.00566319+0.00478391j -0.00353843-0.00431265j -0.0040667-0.0154039j 0.000672842-0.00746782j -0.0048167-0.00694058j 0.00158446+0.00692431j 0.00196479-0.00469148j 0.00297674-0.00131113j -0.000480768+0.00237585j -0.00194712-0.00604885j 0.00196415+0.00838044j 0.00449114+0.00851629j -0.00134192-0.00396458j -0.00205383+0.0103875j -0.00157666+0.00295309j 0.00405547+0.00894525j 0.00155606-4.68793e-05j -0.00258866+0.00877698j 0.00210015-0.00811835j -0.00146946+0.00660215j 0.000534641+0.00617124j -0.00210128-0.00480869j -0.000752905-0.00290143j -0.0031245+0.0124474j -0.00318422+0.00471671j 0.00307534-0.00575744j 0.000715476-0.0058402j 0.00142806+0.00394518j 0.00257434-0.00584885j 0.000528252-0.00731351j -0.00555353+0.00794715j -0.00499024+0.00931915j 0.00232836-0.0157947j 
0.00292819+0.00332024j -0.00707641+0.00890896j 0.0007284+0.000516191j -0.00390871+0.00181224j 0.000977969-0.0011885j -0.00944576+0.00473301j -0.0108135+0.00607832j 0.00720482-0.00120804j -0.000638535-0.000453049j 0.000725658-0.00130475j -0.00379215+0.000913741j -0.00843139+0.00119102j 0.00876593-0.00299379j -0.0100055+0.00605461j 0.0122686-0.00308072j 0.00118793-0.00104523j 0.0179981-0.00374524j 0.0023283-0.000676288j 0.000844804-0.00436951j 0.0113361+0.000895331j 0.00969781-0.00212951j -0.00568052+0.00390533j -0.0249364+0.00145431j 0.00594871+0.00392989j 0.000104528-0.00319523j 0.000552539-0.00335321j -0.00831941-0.00219774j 0.0015629+0.000943637j 0.0144532-0.000842687j 0.00451542+0.00361012j -0.00231481+0.000211836j -0.000664881-0.00404489j 0.0105669+0.0024126j 0.007422+0.00756982j -0.0121022-0.00255541j -0.0029954+0.00401253j 0.0106175+0.0088597j 0.0126381-0.00116931j 0.0137623+0.00510225j -0.00557967-0.012361j -0.00193299-0.00559557j 0.00823922+0.000856466j 0.000791898+0.00199154j -0.00420924-0.000532095j 0.00166076+0.00573899j 0.00257051+0.00305913j 0.00639861+0.0105212j -0.000344113+0.00208396j 0.00160968-0.00692346j 0.000240848-0.000628043j 0.00121829+0.000528486j 0.000288324+0.0108821j 0.00214938+0.00720662j 0.00141881+0.00370691j 0.00478083+0.00315142j 0.00324594+0.0077836j -0.00316333-0.00674865j 0.00483103+0.00902822j -0.000895286+0.00214588j 0.00117252-0.00735998j -0.000656662-0.00342669j -0.0044426+0.000148161j 0.00299539+0.00959018j -0.000291591+0.00184493j -0.00428227-0.0162659j -0.00149327-0.0155169j 0.000209404+0.00742353j 0.00172502+0.00252117j 0.0035717+0.00207968j -0.000313926-0.00113175j 0.00121126-0.00314074j 0.000534337-0.00993142j -0.00481162+0.000571405j 0.00382102-0.00903202j 0.00314303-0.0117781j 0.000647608+0.0145946j 0.000304247+0.000201053j 0.00167227-0.00363163j -0.00068096+0.00147354j -0.00169312+0.00896294j -0.000736958-0.00774028j 0.00341263-0.00740967j -0.00115687-0.00604603j 0.000233988-0.00777438j -0.00393145+0.00353235j 0.00539013-0.00913248j 0.00077423-0.00278792j 0.00143818-0.00592118j -0.000441619+0.00625829j 0.00213383-0.00996601j -0.00225618+0.0132435j -0.00162628-0.00274845j 
0.00141461+0.00403419j -0.00526259+0.00585967j -0.004118+0.00310464j 0.00104247-0.00192744j 0.00755445-0.0044442j -0.00997146+0.00486554j -0.00938534+0.00486147j -0.0046462+0.00391976j -0.0017591+9.73264e-05j -0.0011399-0.000721321j 0.00773566-0.00474615j 0.0145174-0.00533907j -0.00843097+0.00149913j 0.00297744+0.00213643j 0.0164795-0.00308123j -0.00628382+0.00124172j -0.00961705+0.000142224j 0.0156022-0.00233447j 0.00846051-0.00168408j -0.00923291+0.00213221j -0.00418703+0.00284282j 0.0178752+0.00166736j 0.00222715-0.000362877j 0.0135037+0.00284175j -0.00966218-0.00363722j 0.00100356-0.0027937j 0.000375326-0.00155468j -0.00730923-0.00541897j -0.00573095-0.00172518j -0.00457401+0.000665788j -0.00657791-0.00639036j 0.0168562+0.00228536j -0.0104126+0.000715593j -0.00775992-0.00242685j -0.00242079-0.00297326j -0.0134603-0.00487776j 0.0165617+0.00386696j -0.00282442-0.00976082j 0.00475419+0.0021711j -0.00219406-0.00407364j -0.00161039-0.000480777j 0.00384204+0.000154703j 0.0053014+0.00502362j -0.00283625+0.00355077j 0.00504936+0.007756j 0.00180158-0.00205869j 0.00345885+0.00766572j -0.00493542-0.00617517j 0.000142812-0.00160144j -0.000109206-4.05512e-05j -0.0063588-0.00413962j -0.00316324-0.00683081j -0.00424876-0.0094464j -0.00070038-0.00773709j 0.00206833+0.00813022j 0.00171017+0.0102611j 0.00182138+0.00807608j 0.000873071-0.0066926j 0.00160661-0.00152218j 0.00355011+0.0122888j 0.000228953-0.0105244j -0.00346043+0.0059405j -0.000955089-0.00574093j -0.00105659-0.00701738j -0.000562613+0.0103829j -0.00160216-0.00584913j -0.00120769+0.00936597j 0.00152216-0.00414727j 0.00317071-0.00363395j 4.835e-05-0.0153636j 0.000159437-0.00457192j 0.00316353-0.00802485j -0.00297459-0.00479073j 0.00067695+0.00342448j 0.00150636+0.00256671j 0.00345464-0.0141206j 0.00272682-0.0020031j 0.00195825-0.00677361j -0.00205113-0.00786984j 0.00484581-0.0151424j 0.00108208-0.0057027j 0.00125205+0.00372476j 0.00272733-0.00437752j 0.00100358-0.00304991j 0.00201674-0.0126676j 0.0013523-0.00791804j 0.00102857-0.00667902j 0.0015428+0.00116513j 0.00202617-0.00392793j -0.00052647-0.00855427j -0.0010113+0.00796472j -0.00039381-0.000676233j 
0.000663469+0.0041495j -0.00502018+0.00512637j -0.00420722+0.00313742j -0.00487926+0.00166003j 3.76418e-05-0.0011592j 0.00074017-0.000748265j 0.00259976+0.00132914j 0.00811546-0.000723266j 0.0146295-0.00637346j 0.0232919-0.00871232j 0.00203426-0.000815306j -0.00798598+0.00151764j -0.00488774+0.0008567j -0.00647389+0.00148367j 6.42497e-05+0.00149912j 0.0031737-0.00101263j -0.0123357-0.000440696j 0.00567424-0.00322361j -0.0110738+0.0010577j -0.004411+0.00117056j -0.000678585-0.00151097j -0.00699186+0.00160898j 0.00724152-0.00170919j -0.00427971+0.0017886j -0.0138841-0.000375684j 0.0133353+0.000481291j -0.0154692-0.00255189j -0.0182754-0.00465231j -0.00243874+0.00063612j -0.00679004-0.00471812j 0.0114443+0.00148735j -0.0102161-0.00368055j 0.0117117+0.00510827j -0.0119082+0.00327668j 0.0120093+0.00991924j 0.00296753-0.0027252j 0.00748748+0.00294498j 0.00490536-0.00211815j 0.00510152+0.00153755j -0.00382714-0.00414342j -0.00183289-9.35608e-05j 0.00253119+0.000956297j 0.00201192+0.00532457j -0.00449826-0.000221972j 6.94156e-06+0.00070157j -0.00218544+0.0044124j 0.000763768-0.004374j 0.00308983+0.00619568j 0.00634462+0.00887067j -0.00777318-0.00818601j -0.000401356-0.00715928j -0.00147304-0.00211442j 0.00398857+0.0215393j -0.000649921-0.000620534j 0.000209939-0.00113313j 0.00259848+0.00111667j 0.00214146+0.0123184j 0.00169722-0.00538882j 0.00162012+0.000554099j 0.00105815+0.0114225j 0.00188874+0.00153624j -0.00176227+0.00169235j -0.000677994+0.0148892j 0.00162681+0.00555853j 0.00161841+0.0057862j -0.00104064+0.000324245j -0.00232532-0.0114869j -0.000194498-0.00289663j 0.00121484-0.00123405j 4.70841e-05+0.00663278j 1.39366e-05-0.0138914j 0.000962203+0.000347869j -0.000825862-0.00286225j 0.000145134+0.003316j 0.00259476-0.00144165j 0.00205788-0.00837581j 0.000799095-0.0101071j -0.000247351+0.00520898j -0.00558784+0.0167327j 3.85967e-05+0.00484403j 0.00265706-0.0142547j -0.00337338+0.00180011j -0.00290453+0.00493889j -0.0029832+0.00830399j -0.00270104+0.000398759j -0.0011618+0.00511545j 0.00349137+0.000482652j -0.0014637+0.00864481j 0.000480579+0.000703772j 0.000856562-0.00751819j -0.000827478+0.00685601j -0.000483135+0.000102044j 
0.00169915-0.00458868j 0.00273316-0.0010304j 0.00972508-0.00596993j -0.00151695+0.00298353j -0.00265906+0.00378005j 0.00153984-4.60539e-05j -0.00790038+0.00231993j 0.0151054-0.00855698j -0.00900713+0.000352467j -0.00483414+0.0031382j 0.00466774-0.0025769j -0.000900096+1.12994e-05j -0.0173808+0.00431406j -0.00567552-0.000728804j -0.00470189-0.000727182j -8.2356e-05+0.00148085j 0.00696143+0.00281066j 0.016318+0.00214112j -0.0149446-0.00327232j -0.0183029+0.00120077j -0.00863107-0.00208619j -0.010456+3.11352e-05j 0.00512426+0.000908339j 0.014368+0.000364548j 0.00701709+0.000360353j -0.00267176+0.00219267j -0.006309-0.00298357j -0.00945068+0.00388741j 0.00812984-0.00108374j -0.0195972-0.00676653j -0.00677846-0.0039808j 0.00205105-0.000941639j -0.00297054-0.00326234j 0.0092223-0.00223529j -0.0102851-0.00356267j 0.00813851+0.0035945j -0.00876968-0.00100631j 0.00314666+0.00503327j 0.000247716+0.00178794j 0.00239996+0.000328197j 0.00113291-0.000568212j -0.000805641-0.00112652j -0.00833867-0.00920063j 0.00323545-0.00527679j -0.00276386+0.00245403j 0.00342485-0.00111421j 0.0064247+0.00573252j 0.00523976+0.00787856j -0.00330295-0.011311j 0.00161221+0.00806716j -0.00314091-0.00558703j 0.000135765-0.00194453j 0.000538605+0.003232j -0.00506799-0.00624425j -0.00151065-0.00403501j -0.00127468-0.000253618j 0.00279731+0.0193663j -0.000604302+0.0112438j -0.00259174-0.00831698j 0.00157818-0.000534835j -0.000502198-0.00151182j 0.00113664-0.0023055j 0.00190865-0.00431622j -0.00104503+0.00384651j -0.00060872+0.00360653j 0.00234891-0.0113609j 0.0030582+0.000276243j 0.00303703-0.0198146j -0.000611237-1.09004e-05j -0.00205744+0.0124988j 0.00113502+0.00312997j -0.00133767+0.00298417j 0.00277194-0.0146833j 0.00220674+0.00337901j -0.000409189-0.00862517j 0.00316249-0.0114726j -0.00262631+0.00939839j 0.00190226+0.00326082j 0.000340515+0.00436064j -0.0021121-0.00344024j -0.000777855-0.00475803j -0.00316336+0.00477062j 0.00285087-0.0023511j 0.00153999-0.0103333j 0.000377935+0.00822913j 0.00137775-0.00632019j -0.00267487+0.00588856j -9.46719e-05-0.00648565j -0.00127861+0.00466995j 4.72785e-05+0.00633865j -5.64485e-05-0.00302553j 0.000204707-0.00240591j 
0.00268707+0.0146763j 0.00825766+0.00749647j -0.00787114-0.00580334j 0.00362959+0.016221j 0.00116096+0.00497571j 0.00197891-0.00395576j -0.000920335+0.00834528j 0.00248318+0.00802062j 0.000667918+0.00435908j 0.00276673+0.00178399j -0.00322408-0.00748146j -0.00288528-0.00767807j 0.00569681+0.00587409j -0.00976147-0.0113687j -0.00168793+0.00675962j -0.00609325-0.00818269j 0.00480813-0.000328686j 0.0053496+0.00787451j 0.0026608+0.00313324j -0.0129006-0.0120911j -0.000717382-0.00153718j 0.00275139+0.0114803j -0.00253924-0.00375142j -0.000488678-0.0103713j 0.000572258+0.00129894j -0.00309215-0.00346076j -0.00467939-0.00155626j 0.00132217-0.00188234j -0.00210198+0.00986207j 0.00770174+0.00019963j 0.00389838-0.00305041j -0.00366486-0.00366883j -0.010045+0.00860329j 0.00698405-0.00429044j 0.00160432-0.00319742j 0.00397432-0.0166893j -0.00607526+0.00189778j 0.00063195+0.00878056j 0.0187515-0.0180422j -0.00238394-0.00459353j -0.0176486+0.000184232j 0.0106822-0.0188324j 0.00776948-0.00254038j 0.00105676+0.00810089j 0.000871218-0.001685j -0.000488134+0.00271921j -0.00230067-0.00281839j 0.00159068-0.00581076j -0.00123764-0.00059372j -0.0018887-0.000452472j 0.000409345+0.00071716j -0.000821581+0.00278612j 0.00035866+0.00303201j 6.54282e-05-0.00242076j -6.27492e-05+0.00105777j 0.000133272-0.00156623j -0.000579461+0.00145365j 0.00116603-0.00275388j 0.00136144+0.00089112j -0.00148495-0.00283099j 0.000896966-0.00213864j 0.00171255-0.000665596j -0.00153706-0.000386661j 0.000367085+4.26639e-05j 0.000282403+0.000679216j 0.000315559-0.0019975j -0.00187057-4.50919e-05j 0.000835028+0.000412616j 0.00128005-0.000226599j -0.00118248+0.0016053j -8.29913e-05-0.00276756j 0.00297041-0.00272147j -0.00237285+0.00018289j 0.00304658+0.00294386j 0.000281303+9.4602e-05j -0.00179506+8.01081e-05j 0.00206572-0.000694981j 0.00228463-0.000334033j 0.000357709-0.00190089j -0.00194231+0.00157243j -0.00270687+0.00104116j -0.00167681-0.00111969j 0.00448136+9.28984e-05j -0.00380245+0.00697748j -0.00508363+7.43772e-06j -0.00549932+0.00233617j 0.00389191+0.00200165j 0.00320721-0.000396234j 0.00618244-0.00586058j -0.00298832-0.00368663j 0.00827909-0.011433j 0.0156302+0.000344132j 
0.00844654+0.0107244j -0.000817769-0.00941735j 0.00048359+0.00667828j -3.31319e-06-0.00406552j -0.00527965-0.0127039j -0.00418298-0.00941973j 0.000414705-0.00577062j -0.00579209-0.0101274j 0.00101587-0.00451898j 0.00395267+0.00221358j -0.00530226-0.00865379j 0.00406427-0.00482422j 0.000492319+0.00396553j -0.00528614-0.00199665j 0.00149543+0.0054717j -0.0012247+0.00171518j 0.00314611+0.000111621j 0.00352298+0.00364676j 0.00221446+0.0106209j 0.00337085-0.00863132j 0.00417809+0.00725457j -0.0014718-0.0140069j -0.00992995+0.0027001j 0.00573588-0.00613923j -0.00916469-0.011451j 0.00204605+0.0236777j -0.00630341+0.010399j -0.00816956+0.00148018j 0.00393113+0.00493249j -0.000720328+0.00130035j 0.00103848-0.00180441j 0.00137059+0.00764185j -0.00318176-0.0129655j 0.00502731-0.0029054j 0.000567073+0.00677117j 0.00516924+0.000780402j 0.0163092-0.00931368j -0.000431547-0.00341473j -0.00786055-0.000574046j -0.00744784+0.0112796j -0.0147549+0.0205923j -0.0148058-0.00197137j -0.00044006-0.00570794j 0.00453511-0.00208388j -0.00139979+0.000114719j 0.00241003+0.00353488j -0.00158604+0.00389697j -0.00205126-0.00102723j 0.000327108-0.00062885j -0.00022933-0.000692641j 0.00138239-0.00064164j 0.00163648+0.00341898j -0.00020811+0.000434052j -4.23738e-05+0.00302587j 4.23534e-05-0.00103406j 0.000361912+0.00270858j 0.00041301-0.00109085j -0.00228033-0.000118885j -0.000437602+0.000689802j -0.00125938-0.000585083j 0.00116988-0.00187426j 0.000452936+0.00233169j -0.00197883+0.000605087j -0.00055795-0.000770398j 0.000483425+0.00037338j -0.000446338-0.00135312j -0.00212187-0.000798049j 0.000738457+0.000963896j -0.000478173-0.0012898j 0.000340307-0.0027146j -0.000438943+0.0013711j 0.000849614+0.00153173j 0.00430748+0.00114001j -0.00200053+0.000748279j -0.00137988-0.00275431j -0.002198-0.00359049j 0.00159118-0.00164785j -0.00207388+0.00265681j 0.00403252+0.00206867j 0.000173763+0.00037962j -0.00163797+0.000140235j 0.00330772-0.00359232j -0.00133421+0.00437667j -0.000782092-0.0028569j -0.00146119-0.00203592j -1.06781e-05+0.00292716j 0.00155101-0.00541844j 0.00755337+0.00276267j -0.00817005+0.00141457j -0.0013415+0.00585861j -0.0116302-0.00231627j 0.00849828-0.0110927j 
-0.0042766-0.00812346j -0.000223379+0.00370744j 0.00448682+0.00819914j 0.00371763+0.00137017j 0.00115098-0.0010697j 0.00559426+0.0106521j 0.00236262+0.00181724j 5.60337e-05-0.00784989j -0.00348306-0.0108038j -0.00103252-0.000187015j -0.000924862-0.00387177j -0.00025538-0.00428527j -0.00167003-0.00518882j 0.00377554+0.00452163j -0.00186602+0.00174311j 0.00335599+0.00259809j 0.0014693-0.00320677j -0.00453323-0.0100318j -0.00171476-0.0124048j -0.00624486-0.0162031j 0.0059358+0.00975367j -0.00608918+0.0079907j 0.000398055-0.0176246j -0.00168172-0.0104572j 0.0019251-0.0243721j -0.000911023-0.0076837j 0.00435475+0.0059957j 0.00269691-0.000678031j -0.00360947+0.0315686j -0.000138339-0.0100771j 0.00459571-0.0139192j 0.00313634-0.00591457j -0.000112406+0.00758933j 0.00695014-0.0107409j -0.00127914+0.0025297j 0.0102425-0.00863548j 0.00522055+0.00443576j 0.0129299-0.0226318j -0.00573317+0.00247364j -0.00560109+0.00658018j 0.00371791-0.00643711j 0.00430532+0.000981788j -0.000373074+0.000636556j 0.000882587+0.000474223j 0.000233465-0.000735234j -0.00229239-0.00213438j 0.000679152-0.00045156j -0.000473841+0.00176651j 0.00128435+0.00133964j 0.00114086+0.00188766j -0.000160374+0.00126366j -0.000752624-0.000484458j 0.000412099-0.000777757j -0.00044555+0.000774178j 0.000788693-0.000504856j -0.000564127-0.000356646j 0.000142687+1.35981e-05j 0.000413804+0.00161976j -0.00121026-0.000144844j 0.0011431+2.61839e-05j -0.000666626+0.000226j -0.0010752-0.000924789j 0.0005926+5.64189e-05j 4.63595e-05-3.75663e-07j 9.11255e-05+0.000243457j -0.000714415-5.57106e-05j 0.000455913-0.000296921j 0.000235273+0.000433283j 0.000587719+0.000674345j -0.000291165+0.000533303j -0.000467056-0.000378481j 0.000822875-0.000185127j -0.000515515+0.000147339j 0.000906585+0.00220431j 0.000283871-0.000876869j -0.00180498+0.00114789j -0.00010707+0.000133559j 0.00103174+0.000526249j 0.00036279-0.00209452j -0.00112094+0.00147482j 0.0010431-0.00105388j -0.000717388+0.00136363j -0.000244705-0.00110169j 0.000411829+0.00164176j 0.0018681-0.00127535j -0.00295017+0.000951132j -0.00112363+0.00099698j 0.00120018-0.000257817j 0.000387813-0.00282747j -0.0041671+0.00246097j 0.00131579+0.0013978j -0.00376132+0.00270839j 
0.00128725+0.0028581j 0.000468087-0.00105504j 0.000958264+0.00346544j 0.00136473-0.000108947j 0.00105932-0.00243014j 0.00637892+0.0203905j -0.00515786-0.00580016j -0.00376595-0.0059996j 0.00608812+0.0105503j 0.000356513+0.00485595j 0.000107312+0.00113544j -0.00546918-0.00831346j -0.000541462-0.000125558j -0.000102851-0.00127236j -0.00164429+0.0145974j -0.00429844-0.0234368j -0.00218165-0.0117246j 0.000810312+0.00394763j -0.0052244-0.011964j 0.000713023+0.00707343j -0.00058081+0.0223833j -0.00180907-0.00478625j 0.00171069+0.0137961j -0.0039236+0.0141422j -0.00251017+0.00924638j 0.00145863+0.00964277j 0.00192793+0.000171704j -0.00392923+0.00754556j -0.00108483-0.00352454j -0.00618601+0.0129722j -0.000489716+0.00679149j -0.0032758-0.00446076j 0.00182722-0.0105261j 0.00717462-0.0052368j 0.0124218-0.0291118j -0.00604459+0.000834197j 0.00209726+0.000172146j 0.00411877-0.00891217j 0.0013604-0.000742671j 0.000466287-5.45323e-05j -0.00164772+0.00180102j -0.000297762-0.00121026j 0.000164915-0.00201929j 0.001586-6.64444e-05j 0.000400083-0.00080308j -0.00161651-0.00146926j 0.000660183+0.000879599j -0.000962848+7.13331e-05j -9.3079e-05+0.000440232j -0.000497107-0.000962966j 0.000676558+0.000794104j -0.000111163+0.00045822j -0.000597371-2.07834e-05j -0.000113509+0.000769466j -9.06587e-05+0.000127756j 3.22173e-05-0.000339951j 2.70161e-05+0.000527046j 0.000404493+0.000373367j -0.000233205-0.000616548j -0.000631168+0.000228682j 0.000310385-0.000770884j 4.02938e-05+0.00106557j -0.000591856+0.000454574j 0.000422971-0.000110507j 9.18343e-05+3.6768e-05j -0.000888469-0.000127764j -0.000469612-0.000198236j 0.000464769+2.29127e-05j 0.000581713+0.000491864j -1.18336e-06+0.000189674j 0.000683464-0.000293426j 2.02788e-05+0.000716414j -0.000253876+0.000201371j 4.67458e-05-0.000190033j -0.000893666+0.00063332j 2.64369e-05-0.000474033j -0.000643515+0.000633756j -0.000707173+0.000817576j 0.000362609-0.00022428j 4.2714e-05-0.000205139j 0.00055113-0.000140388j 0.00182856-0.00152178j 0.000417162+0.000663772j 0.000177401+0.00026151j -0.000318795-0.000876617j -0.000728667+0.000190532j -0.00245488+0.00197309j -6.68192e-05-5.19308e-05j -0.000718318-0.000476585j -0.000684454+0.000772332j -0.000142787-0.000870113j 0.00141357-0.000529603j 
0.00305995+0.00390003j -0.00116059-0.00532818j -0.0037856-0.0080773j -0.00279892-0.00185994j 0.00067267+0.000423789j -0.00542211-0.00905794j 0.000864076-0.00182092j -0.00583228-0.012082j 0.00505711+0.00511493j 0.00171902+0.00916017j 0.00712729+0.0155533j -0.000175995+0.00847794j -0.00261472-0.00982692j 0.000543591+0.00752331j 0.00480848+0.00704552j 0.00102439-0.00345985j -0.000215901+0.0168241j -5.51842e-05-0.0158135j 6.69663e-05-0.0225336j 0.000344194-0.0146884j 0.00297-0.0112317j 0.00542241-0.00296164j 0.000631084-0.000808154j -0.000902744-0.0156654j -0.00164572+0.00239277j 0.00269942-0.0248842j -0.00282469-0.00229292j -0.00274431+0.00209928j -0.00672826+0.0238486j -0.00117228+0.00926796j -0.00266457+0.000720337j -1.79512e-05-0.0110523j 0.00598004-0.0184949j 0.00580623-0.00962033j -0.00293071+0.00479143j -6.98289e-05-0.00025293j -0.00267653+0.00348081j -0.00263521+0.00966459j 0.00282896-0.00187742j 0.000928261-0.00328544j -0.00152083+0.00421051j -0.00448399+0.0017968j -0.000261965+0.000388169j -0.0011256-0.00124839j 0.000204404+0.00075939j 0.00162581+0.000843225j -0.000942289+0.000155002j -0.000246304-0.00195934j -0.00125772-0.000124532j -0.00117389-0.00171897j -0.000255485-0.00163416j 0.00124718+0.000782483j -0.000605094-0.000166416j -0.000140257+0.000618749j -0.000312923-0.000473548j 0.000137378+0.00105251j 0.000295276-0.000741677j -0.00107204-0.000380189j -0.000383413-0.000737068j -0.000311266+0.000609085j 1.47586e-06+0.00107598j 0.000354207+0.00115513j -0.000103693-0.000697585j 6.99632e-05+0.000225566j -0.000253078+2.18628e-05j 0.000535652+0.000303062j 0.000350884-0.000217861j -5.73247e-05+0.000412192j -0.00030963+0.000498207j -0.00035201+0.000502692j -0.000321591+0.00126855j -0.00027378-0.000662765j 0.00100511+0.000148229j 0.000664364-0.000707724j -0.000147525-0.000856793j -0.000162622-5.06088e-05j -6.98643e-05+0.000488787j -0.000773498+0.00018694j 0.000629217+0.000675771j 0.00122766-0.00143681j 0.000432288-0.00054672j 0.000115762-0.000110783j 6.37734e-05+0.000482354j -0.00116146+0.000278716j 0.00117348-0.000549186j 0.000521556-0.000321591j 0.000869625-0.00101507j -0.000517488+0.00108532j -0.00017639+0.00114475j 0.00199991-0.000805j -0.00215128-0.000246597j 0.00158667-0.00217251j 
-0.00214723-0.000933381j 0.00259158+0.00627654j 0.00092108+0.00578113j 0.00412816+0.0098842j -0.00360623-0.000873613j -0.00270727-0.012126j 0.0047412+0.00440983j 0.000682456-0.00137135j -0.00425318-0.0160146j -0.00267677+0.00224054j 0.00148887+0.00937267j -0.00286399-0.0221589j -0.00639363-0.0173683j -0.000891577-0.00024857j 0.00149039+0.017993j -0.00170638-0.00805135j 0.00340014-0.0153479j 0.00301564+0.00964131j -0.00235982+0.0172551j -0.00494992+0.014543j 0.000711743+0.00204851j -0.000571843-0.0339599j -0.00122896+0.00946371j 0.000137529+0.0185647j -0.00302297+0.00759872j 0.00206806-0.00561283j 0.000467161-0.00335486j 0.00473034+0.00138135j -0.00221365-0.00526032j -0.00513966+0.0207197j -0.0071044+0.00749575j -0.00079692-0.000294983j 0.000134279+0.00301288j -0.00394486+0.00684589j -0.00433884+0.0158593j 0.00380414-0.00502491j -0.00112576+0.00133319j 0.00348149-0.0058987j -0.0015386-2.97859e-05j -0.000677768+0.00460069j -0.000145538-0.00328126j 0.00459694-0.00242806j 0.0020729+0.00121415j 0.000941831+0.00315316j -0.00074159-0.000847939j -4.71389e-05+0.0013493j -0.0012156-0.00171889j -1.2068e-07-0.000532122j 0.000619624+0.00132151j 0.000505829+0.00174459j -9.33124e-05+0.00042889j -7.30939e-05+0.00126417j 0.000666396-0.000792237j -9.87981e-06-0.0013307j 0.000196753-0.000226233j 2.54566e-05+0.000462485j -0.000642275+0.00158673j 0.000347962+0.000123051j -0.000344259+0.00071004j 0.000731224-0.000638583j 6.28996e-05-0.0012683j 5.69325e-05-0.000824283j -0.000524735+0.00113645j 3.23939e-07+0.00135543j -0.000570728+0.000538392j 0.000364646-0.000197406j -0.000830879+0.000390664j -7.41864e-06-0.000432996j 0.000209569+0.000162718j -0.000240561-0.000341725j -0.000245898-0.000707994j -0.000409471+0.000968744j -0.000424888+5.62453e-05j 0.000680519-7.91278e-05j 0.000629448+0.000146163j -0.00074305+1.80396e-05j 0.000426342-0.000351111j 0.000654522-0.000218867j 0.000654122-0.000645212j -0.000314945+0.000535168j 3.45652e-05+0.000387009j -9.55596e-05-8.07813e-05j -0.000853957+0.00039851j 0.000556072+0.000605881j -0.000593141+5.8989e-05j -0.000652753+0.000602076j 0.00109248-0.000643296j 0.00102222-0.000376231j 0.00111812-0.00147808j -0.00169114+0.000240679j 0.00215575-0.000909292j -7.49767e-05+0.0016655j 
