0.0140237-0.00733598j 0.00492926+0.00370984j 0.0112147-0.00681166j -0.0106055+0.00036601j -0.00105047+0.00374224j -0.00139484+0.00292491j 0.0103846-0.00165509j 0.00119938-0.00487636j -0.0032775-0.00179834j 0.00251087-0.00264274j -0.00209925+0.000267274j -0.00139803+0.00164811j -0.00571656+0.000678472j 0.000435535+0.000106478j 0.00267764-0.00229997j 0.00380281+0.00118629j 0.000665611-0.00215302j 0.00234471+0.000776439j 0.00229695-0.00315385j -0.00956794+0.00175222j 0.00823078-0.00378592j -0.00289142-0.00227319j -0.000805694+0.00115158j -0.00320369+0.000989987j 0.000496354+0.00283249j 0.00248241-0.000299505j -0.00392536+0.00505901j -0.00904944+0.00540044j 0.00194777-0.00295256j 0.00286828+0.00126215j 0.00313909-0.00276201j 0.00459715-0.000348893j -0.00272859+0.0016175j 0.00157882+0.00159232j -0.00493409-5.4736e-05j 0.0015106+0.00848186j 0.00307675-0.00213431j -0.0016598+0.000407958j -0.0128818+0.00552794j -0.010161+0.00262809j 0.00659616-0.00392361j -0.00481849+0.000659619j 0.0054813-0.00164167j 0.00505201-0.00341668j -0.00879198+0.00175931j 0.00761539+0.00214608j -0.00404222-0.00522176j -0.00301554-0.0023342j 0.00263478+0.00365803j -0.0108176+0.00327961j -0.00651587+0.00162992j -0.00118401+0.00464213j -0.00815992-0.00122299j -0.00217699-0.00106732j 0.00499255-0.00557518j 0.0077161+0.00709548j -0.000393095-0.00711293j -0.00186682+0.00235839j -0.00616207-0.00320787j -0.00435621+0.00278735j -0.00643801-0.0106739j 0.00109709-0.0062303j 0.00753208-0.000528465j 0.00177647-0.00959102j -0.000245998-0.00345611j 0.000488819+0.00496754j -0.00952081-0.0125465j 0.00917842-0.00315583j 0.00863429+0.0190863j 0.015648+0.00343697j 
0.000608321+0.00570216j -0.013225+0.00663431j 0.00454178+0.000292731j 0.00229715-0.00150238j -0.00541233+0.00459645j -0.0101293+0.00174221j 0.00718717-0.000706281j -0.000531368-0.00184265j -0.00720807+0.00136282j -0.0073038+0.00218633j 0.00929765-0.00261571j 0.005103+0.00238764j 0.00545473-0.00421359j -0.00556281+0.00357562j -0.00626231+0.0035036j 0.00662594-0.00141295j -0.00420497+0.00109074j 0.00790756+0.000135172j -0.00346151-0.0012783j -0.00225217+0.00164401j -0.00332067-0.00178364j -0.00394768+0.00426958j 0.000784531-0.00137846j -0.00140501+0.00241684j 0.00413515-0.00288072j 0.000221683-0.000704536j -0.00151208-0.000917147j 0.00479859-0.00348907j 0.00155061-0.000490285j -0.000708818-0.000600891j -0.000164286-0.000816122j 0.00385134-0.00220557j 0.00706253-0.000356544j -0.000673267-0.00265363j 0.00434306-0.00352124j 0.00513964+0.00412093j 0.00599725-0.00682484j 0.0038156+0.00223647j -0.00902174+0.00420661j -0.00296083-0.00179675j -0.00539254-0.00100245j -0.00425394+0.00102583j -0.0110291+0.00343054j -0.00992223-0.0007993j -0.00999752-0.00140129j 0.00213075-0.0024448j 0.0163155-0.00247408j 0.00505788-0.000798111j -0.00602004-0.00352651j -0.00174874-0.00959992j -0.00325024+0.00311377j 0.00205705+0.00184825j 0.0066436+0.00156514j 0.00145995-0.00215827j 2.577e-05-0.00603519j -0.00162898-0.00773721j -0.0144468-0.00363189j 0.0046865+0.00311703j -0.00487482-0.00736341j -0.00036169+8.96301e-05j -0.00144971-0.00175864j -0.00715113+0.000708954j -0.00942264-0.00736118j 0.00238425+0.00953752j -0.00584455-0.00962595j -0.0152098-0.000146196j -0.00437773-0.00981633j 0.00750023+0.00644415j -0.0162968-0.00444412j 0.0049211+0.0163741j 
-0.00538124+0.00429946j -0.00841089+0.00269123j -0.00954769+0.00317859j 0.000902541+0.00303448j 0.00642614-0.00198549j -0.00541522+0.00163795j -0.00271614-0.00167158j -0.00576549+0.00353148j 0.00834313-0.000493422j 0.000386366+0.00116531j 0.00241152-0.00122149j 0.00579866-0.00291933j 0.00174077-0.00136608j 0.00368488-0.00201423j 0.000270281+0.00174001j -0.00201221-0.00118477j 0.00187007+0.00113374j -0.00143148+0.000690523j 0.0122829-0.0034272j 0.00185706-0.000287771j 0.00677498-0.00210991j -0.00203471+0.00176851j 0.00564197-0.00230849j 0.000681064-0.00321683j -0.0024654-0.00142067j -0.00460863+0.00261294j 0.00617541-0.00435419j 0.00184545-0.00179727j -0.000932816+0.00225578j 0.00373411-0.00135813j -0.0106425+0.00487544j 0.00391671-0.000922842j -0.00472136+0.00132934j 0.00584459-0.000924478j 0.00849009-0.003822j 0.00157523+0.0122988j 0.00680648-0.000344216j -0.00478616+0.000682897j 0.00262908-0.00277723j -0.00406186+0.00118372j -0.00694544+0.000123145j -0.00742114-0.00088369j 0.014243-0.00314704j 0.00628936-0.00638276j -0.0129294-0.00153004j 0.00356962-0.000652175j -0.00857788-0.0031608j -0.0123808+0.00273318j -0.0196601-0.00492949j -0.0138944-0.00153582j -0.00502398-0.00135139j 0.00561132+0.00370925j -0.00640434-0.00175165j -0.00684803-0.000378764j -0.00359171+0.00136297j -0.000919328-0.0011158j 0.00179488-0.00172984j 0.00384059-5.33977e-05j -0.00580595-0.00760684j 0.00685823+0.00367043j -0.00305976-0.00190568j -0.00795199-0.00986208j 0.00227661+0.0091802j 0.00465544+0.00234612j -0.00164431+0.000952529j 0.00627681+0.00133862j -0.00454652+0.0031806j -0.0130416-0.00916139j -0.00798874-0.00552125j -0.000454902+0.00226177j 
-0.00171097-0.000877834j 0.00639577-0.00369436j 0.00863712-0.00313671j 0.00324685-0.00419564j -0.00533665+0.000464243j 0.0098396-0.00465419j -0.00528649+0.00168098j -0.00378608+0.00250186j -0.00600514+0.00140529j 0.00210645-0.000432978j -0.00103019-0.000311274j 0.00234725-0.0033842j -0.00388567+0.000604163j 0.00122562-8.60708e-05j 0.00300507-0.00216038j -0.00156068-0.000337478j -0.00102282-0.00081475j -0.0069766+0.00034854j -0.0036331+0.00257395j 0.00411503-0.00174427j -0.00919004+0.00404501j -0.000615467-0.00145838j -0.00394276+0.00234031j 0.00216337+0.000894355j -0.00136828-0.000202446j 0.00714543-0.00414175j -0.00433726+0.0018167j -0.00486379+0.00433253j -0.00679711+0.00160157j -0.0138942+0.000790065j -0.00519204+0.00227467j -0.000466224-0.0030532j -0.0040365+0.00190137j 0.0200541-0.00408789j 0.0178368+0.00170844j -8.43647e-05-0.0059442j 0.0158838-0.000201029j -0.00281394+0.000777047j 0.0110279+0.00193291j -0.00931274+0.00226233j -0.00483771+0.000208783j 0.00122627-0.000539553j -0.00818715-0.00221251j 0.00899422+0.0066218j -0.0112663+0.00116259j 0.0177171+0.00178068j 0.0157861+0.0043999j 0.0028282-0.000704834j -0.023625-0.00350981j -0.00645327-0.00348003j -0.0110093-0.00446508j 0.00549705+0.00258305j -0.00295958-0.00315441j 0.00706363-7.41577e-05j 0.00151974+0.000208512j 0.00135453+0.00346618j -0.00201995+0.00467101j 0.00430824+0.00104387j -0.00389359-0.0014737j 0.00897723+0.00354925j -0.00144766-0.0023443j -0.00342778-0.0012111j -0.00601739-0.00226326j -0.000936591-0.000396533j 0.00594315+0.00576462j 0.00764274+0.00285789j 0.00327568-0.00190609j 0.0121438+0.00583955j 0.00362991+9.05514e-05j -0.00387662-0.00399717j 
0.00199001-0.00223489j 0.00633909-0.0024252j 0.00094601-0.00115639j -0.00228055+4.07609e-05j 0.00256836+0.00025797j -0.00622213+0.00434695j 0.00105194+0.00133602j 0.0045212-0.000846505j 0.00601741-0.00131714j -0.00641134+0.00338967j -0.00733291+0.00115484j 0.00231259+0.000988354j 0.00956119-0.00235397j 0.00545063-0.00199577j 0.0111732-0.00188961j -0.0105347+0.00625694j -0.00098946+0.00110599j -0.00577545+0.00201673j -0.00841537+0.00474022j -0.00214708+0.00386524j -0.00464987+0.00031264j -0.000274523-0.000531239j -0.0075737+0.00406466j -0.0115287+0.00280709j -0.00201082+0.00268726j -0.00626513+0.0012863j -0.000963926+0.00126835j -0.00304688+0.000683802j 0.00744747-1.23401e-05j 0.00489628+0.00104703j -0.00357408-0.000962075j 0.0120951-0.00127169j 0.00757732-0.00247042j 9.90233e-05+7.60398e-05j 0.00977134-0.00186039j 0.00317458+0.0155951j -0.00766681+0.000308017j 0.00611825+5.62729e-05j 0.014696-0.000275291j -0.000726674-0.00240741j -0.0112771+0.00191774j -0.00206903+0.00236422j -0.00524819-0.00445087j -0.00271385-0.000134256j -0.00171376-0.000356874j -0.0052957-0.000489558j 0.00470351+0.000539105j -0.00967698-0.00371746j 0.00794948+0.00139208j -0.00296378-0.000181799j -0.00733874-0.00286047j -0.00559801-0.00304164j 0.0033313+0.000443229j 0.00415985+0.00104833j 0.0146638+0.00716462j 0.00803146-0.00196762j -0.00415063-0.000925747j 0.0112308+0.0104546j 0.00593473+0.00274878j 0.000847464+0.00074025j 0.00582736+0.00137041j -0.00294546+0.00253471j 0.00736738+0.0045615j 0.0121441+0.00267742j -0.00352195-0.00380177j -0.00396587+0.00050613j -0.000685515-0.000906394j 0.00109492-0.000801007j 0.00450044+0.00334649j -0.000885209-0.0019133j 
-0.000427094+0.00138903j -0.00596134+0.00273287j -0.000902001+0.000637248j -0.000408079+0.00128678j -0.00309044+0.000205664j 0.00138497-0.00270768j -0.00401554+0.000587451j -0.00535299+0.00203873j -0.00317157+0.000245379j 0.00887333-0.00403866j 0.000177934-0.000811855j 0.00762879-0.00345321j 0.000275733-0.00297623j -0.0010004+0.00163243j -0.00238732+0.00185915j 0.0116063-0.00172671j -0.00241487+0.00063272j -0.00937906+0.00429617j 0.000981605-0.00131856j -0.00947475+0.00329263j -0.00351699+0.000470247j -0.00786344+0.00327214j -0.0105074+0.00163614j -0.00504851+0.000771611j 0.0107373-0.00253607j -0.0100374+0.00303902j 0.00291927-0.000544964j -0.00777819+0.000301889j 0.0161588-0.00495319j -0.0163719+0.00194496j -0.00087757+0.00219435j 0.00292678+0.000483716j 0.0074673+0.000934258j -0.00552649-0.00235808j 0.0012406+0.00173015j -0.00123078+0.00130297j -0.00158379+0.000413322j -0.00111054-0.00184958j 0.0106427+2.79444e-06j 0.00307511+0.00240632j 0.0197655-0.000319263j -0.000896432-0.00135617j 0.00932331+0.00143994j -0.00434343+0.000444536j -0.00127932-0.00153467j -0.0146405-0.004619j -0.00723785-0.000192073j 0.00368817+0.000644053j 0.0117557+0.00303035j -0.00476424+0.000455162j -0.00581456-0.00207183j 0.0039762+0.00390423j -0.00224471-0.00257763j 0.0142387+0.00924681j -0.00149829-0.00320369j -0.00082247-0.00162533j -0.000587657-0.00017951j 0.00298913+0.000644747j 0.0026801+0.000832757j 0.0138594+0.00399172j -0.00103754-0.00257026j 0.00435202+0.00118641j -0.00437378-0.00094833j -0.00522548+0.00154015j 0.00780512+0.00435766j 0.00115171-0.0020105j -0.0010611-0.000311213j -0.00205423-0.000512972j -0.00364792-0.00212289j 0.00165377+0.00229457j 
0.00222288-0.000789271j -0.00174071+0.00189444j 0.00763582-0.0036638j -0.00367116-0.000616724j -0.0047758+0.0006588j 0.00890945-0.00592368j -0.00656734+0.000635723j -0.0104783+0.00331086j 0.00369839+0.000126721j -0.00363023+0.00176319j 0.00968377-0.00174753j 0.00164483-0.000258055j 0.00283759-0.00443623j 0.00474438-0.00388716j -0.00168717-0.0016944j 0.000597581-0.00248483j -0.00901181+0.00333666j -0.00216965+0.000971516j 0.00672086-0.00172371j 0.00911526-0.00367815j -0.00215281-0.00145705j -0.0156233+0.00308662j 0.0121486-0.00104588j -0.0105733+0.00288302j -0.0158782+0.00136727j -0.00423724+0.00126928j -0.0057656+0.00522256j -0.00294542-0.00205978j -0.00671979+0.00132296j 0.000411736-0.00053785j 0.0030195+0.000912743j 0.00949681-0.00128819j 0.00415772-0.000833251j -0.0153082-2.4088e-06j -0.0101968+0.00327522j -0.000356638+0.0165421j -0.0183187-0.00424037j 0.00545001+0.00171492j -0.00391914+0.000372951j 0.00554682+0.00277497j 0.0124383+0.00128892j 0.00730028-4.52276e-05j -0.00449753-0.00384232j 0.00247345+0.000878419j 0.0113978+0.00240988j -0.00280123-0.00191165j -0.0071062+0.000460917j -0.00589816-0.000504364j -0.000477135+0.000376246j 0.0147738+0.00447309j -0.00125815-0.00401771j -0.00225814-0.00274878j -0.00166892+0.000763473j -0.00213952-0.00262931j -0.00235867-0.00295242j -0.00358927-0.000832337j 0.000673457+0.000673769j 0.00805168+0.000487919j -2.02763e-05-0.00347307j -0.00148809+3.19194e-05j 0.0114688+0.00555336j -0.00964743-0.00328747j -0.00440907-0.00138131j -0.00419031-0.000608861j 0.00926695+0.0058779j 0.0058637+0.00169591j -0.00193704-0.00270789j 0.0037108+0.000933617j -0.000688945+0.00049579j 0.00157859+0.00102356j 
0.000581756+0.000586921j -0.00387536+0.00195651j -0.00160872+0.000795176j -0.001172+0.00138456j -0.0015506+0.00154182j -0.00423773+0.00055919j -0.00103802+0.00118451j -0.00178588+0.000537763j -0.00512967+0.00313206j 0.00352191-0.00419267j -0.0107866+0.0030992j 0.00538618-0.00278473j 0.00540021-0.00482895j 0.00342525-0.000793136j -0.00467905+0.000308144j 0.00585913-0.00126597j 0.0153718-0.00788371j 0.00178805-0.0014983j 4.25874e-06+0.00214114j -0.00713529+0.00148103j -0.00885331+0.000669325j -0.0163236+0.00390479j -0.00076017-0.0015938j -0.00265788+5.1945e-05j -0.0140484+0.00259471j 0.00306956+0.000279853j -0.00385196-0.000907042j -0.00628663-0.000352782j -0.00303698-0.000252495j 0.0129177-0.00054155j -0.000191776+0.000218042j -0.0137562+0.000985608j 0.000807729+0.000873164j -0.00260798-0.00211338j 0.00436688-0.000858769j 0.000347626+0.00370297j -0.00373045+0.00189079j 0.00805718-0.000158112j -0.00467104-0.000419698j 0.00108399-0.000618334j -0.0115942-0.00344905j 0.0192468+0.00529755j 0.0102444+0.00265719j 0.00144662-0.000481838j 0.0112164+0.00180689j 0.00985418+0.000728233j -0.00956585-0.00143371j 0.0148363+0.00414253j 0.00497212+0.00175421j -0.00207024-0.000218828j -0.0111474-0.00554192j 0.00481026+0.00128311j 0.0102822+0.00406017j -0.000975463+0.000761397j 0.00571434-0.00214661j -0.00395125-0.000398234j 0.00154623+0.00167716j 0.00214022+0.00132586j 0.00693144+0.00188726j 0.00566071+0.000407162j -0.00497994-0.00202786j 0.00242655-0.00113503j -0.000711821+0.000632191j 3.88941e-05+0.00158462j 0.00285062+0.00079643j -0.00167493-0.00069878j -0.00100985-0.000523393j -0.00240954-0.000928066j -0.00199345-0.00070561j 0.00153309+0.00179245j 
-0.00317518-0.000467721j 0.00851211-0.004827j 0.00579312-0.00318314j 0.00269894-0.003098j 0.00136237-0.00155653j 0.00116318+0.000787106j -0.00876244+0.00346016j -0.000875504+0.00477764j 0.00608591-0.00179578j -0.0116413+0.00555725j -0.00636755+0.00158613j 0.00105052+0.000848285j 0.0121465-0.00346457j -0.00167169+0.0022969j -0.000677005-0.00355787j 0.0091533-0.00443627j 0.00158165-0.00165512j -0.00317913+0.000749041j -0.000224746-0.00100887j -0.00828061+0.00563414j 0.00426386+0.000802551j 0.0111361-0.0041854j 0.0104453-0.000926211j 0.00474298-0.000930888j 0.00133643+0.00116049j 0.00248918-0.00285652j 0.00151366+0.00112843j 0.00336461-0.00209358j 0.00125152-0.00121772j -0.0153715-0.00159239j 0.00351337-0.000689281j -0.0205074-0.00279082j 0.0032595+0.000368372j -0.00281016+0.000545893j 0.013963+0.00113614j -0.0017634+0.0118171j 0.00726701+0.00276687j 0.00306642+0.00213949j -0.0136463-0.00141983j -0.0127605-0.00324253j 0.0026729+0.000704701j -0.00365844-0.00417773j -0.00237513-0.00218947j 0.000654233+0.00280397j 0.00180122+0.00189433j -0.00438528-0.00088833j -0.00496704-0.00151133j 0.000920392+0.00156232j 0.0024395+0.00090852j -0.0114006-0.00150531j 0.00725619+0.000707228j 0.00216513+0.00259146j 0.00504495+0.000591219j -0.0026033-0.0042279j -0.0117797-0.00192168j -0.00623771+0.000620011j -0.00976368-0.00326768j 0.00636521+0.00464069j 0.00310496+0.00270801j 0.00113828+0.000123189j 0.00172571+0.00114179j -0.00716691+0.000626108j 0.00382395+0.00145746j 0.00584912+0.000191387j -0.000393827+0.000188086j 0.0032212+0.00128011j 0.00111281-0.000185105j 0.0067861+0.00259605j 0.00380403+0.000469289j -0.00450305-0.0039779j 
-0.00749791+0.00334461j 0.00375282-0.0044107j 0.00784646-0.00196327j 0.0103333-0.00603196j 0.0020313+0.000571806j -0.00474231+0.00296989j 0.00421394-0.000689134j -0.00157713+0.00297208j -0.00879423+0.000186863j -0.00744497+0.00371976j -0.00072452-0.0011703j 0.00959957-0.00409438j -0.00564136+0.0053162j -0.0128579+0.0047868j 0.00371756-0.00101822j -0.00302587-0.00117651j -6.99738e-05-0.00280196j -0.00111797+0.00124767j 0.00156511-0.00094729j 0.00944336-0.00109727j 0.016794-0.0044434j -0.0173479+0.00204241j -0.000360823+0.00367006j -0.0182451-0.00226875j -0.012867+0.00191329j -0.0217496+5.50726e-05j 0.00110226+2.10853e-05j -0.00963004+0.00140993j 0.010456+0.000982801j 0.010169-0.000815356j 0.0137531-0.000459632j -0.00963164-0.00415905j -0.00119468+0.00354187j -0.0159495-0.00434345j -0.0152666-0.00262888j 0.00265076-0.00947755j -0.0125128+0.000218858j -0.00196839+0.000510039j 0.00501817+0.00138555j 0.00206075-0.00077162j 0.00478508+0.000524479j 0.00131073-0.00159338j 0.00288587-0.00117987j 0.00388045+0.00189722j 0.00521826+0.00352859j -0.00408118-0.00052571j -0.0023513+0.00181844j -0.00149606+0.000733778j 0.00165679-0.00107714j -0.00171981-0.00149978j 0.00502094+0.00342842j -0.0024901+0.000851034j 0.0011105-5.10099e-05j 0.00121672-0.000709996j -0.00251531+0.00304744j 0.00140139+0.00130098j -0.00276849+0.000775004j -0.00414487-0.000414132j -0.0015789+0.00139945j 0.00410722+0.00121112j -0.00886705-0.00436708j -0.00294283-0.000453968j 0.00319636+0.000785515j 0.00544556+0.0012491j -0.00543726-0.00259753j 0.0039894+0.00202579j 0.00205952-0.000241755j 0.00778917+0.00400006j -0.000130534-0.00219316j -0.00524964-0.00192892j 
-0.00262075+0.00307793j -0.00408525+0.00120028j 0.00871756-0.00481224j 0.0004645-0.00192351j 0.00879336-0.000874166j -0.0049789+0.00236957j 0.00246473-0.0030849j -0.009804+0.00657236j 0.00324654-0.006499j 0.00765579-0.00522713j -0.00622051+0.00358522j -0.00383933+0.00302746j -0.00156833+0.000763423j -0.00647558+0.000322652j -0.00197751+0.00337587j -0.0050466-0.00126282j -0.00652796-0.000183658j 0.012511-0.00254768j -0.00423403+0.00367952j -0.00417119+5.0672e-05j -0.0186227-0.00100569j 0.0132538-0.000931936j 0.0115312+0.00069001j -0.0144452+0.00161663j 0.00768858-0.00138866j 0.00931057+0.00218179j 0.0141415+0.00346758j -0.0189199-0.00290146j -0.0047395+0.00179847j 0.00261709+0.00115657j -0.00739943-0.00334016j -0.00126271-0.000656684j -0.00726992+0.00160258j 0.00644318-0.00375291j 0.00236224+0.00178546j 0.00217709+0.00463608j 0.00647875-0.000593837j -0.00917229-0.0027773j 0.00114776-0.00175052j -0.00466746-0.00404071j 0.00122856+0.000679232j -7.95639e-05-0.00173559j 0.00612928+0.00281138j 0.00294017+0.0023067j 0.00404336-0.000356123j -0.00382304-0.000664916j 0.00121788+0.00178591j -0.00188+0.000122185j 0.000957558-0.00136356j 0.0124179+0.00170265j -0.000515093+0.000408362j -0.0118516-0.00388991j 0.00485647+0.00145919j 0.0042544+0.00145515j -4.99182e-05+0.000938452j -0.00297625-0.00134696j -0.00244938-4.60724e-05j -0.00600697-0.00202242j 0.00347317+0.00202013j 0.0029792+0.000283569j -0.00590235-0.00199657j -0.00502578-0.00252609j 0.00356255+0.00170638j 0.00192828+0.000258646j -0.0012366-0.00020808j 0.00517765+0.002054j -0.00172605-0.00164816j 0.00291781+0.000531576j -0.00285378-0.00105935j -0.000250658+0.00129301j 
