0.122069+0.0809639j 0.122095-0.414095j 0.00768846-0.00313171j -0.00763256+0.0214541j -0.157887-0.0646624j -0.00620931+0.00563858j -0.0177008-0.00255313j 0.00230521-0.000747302j 0.00521324+0.00669236j -0.00373794+0.0224571j -0.0133358-0.00521837j 0.00896587-0.0202125j 0.0534005+0.0200746j 0.041494+0.0267133j -0.00166606+0.0430334j 0.000483054-0.00295561j -0.00042808-0.00229742j 0.0157386-0.00427679j 0.0136857+0.00401597j 0.0234656+0.00443063j -0.00977311-0.0043318j -0.0255798-0.0125704j 0.00607243+0.0145006j 0.00298274+0.0140239j 0.00844186-0.0216317j -0.0102124-0.0250019j 0.00672544-0.0161706j 0.00988962+0.0514226j -0.0225492+0.0125403j 0.00196502-0.0141207j 0.0337834+0.0402009j 0.00432687-0.038691j -0.0281428+0.0171151j 0.0133505-0.04294j -0.0271571+0.0151293j -0.0158777-0.00259756j 
-0.0343861+0.192262j 0.347271+0.118024j -0.0214369-0.00634788j -0.0958406+0.00299906j 0.0353294-0.127303j -0.00577425+0.00280483j 0.00938449-0.00283327j -0.0295634-0.0155112j -0.00806313-0.0313086j 0.000765822-0.00829605j -0.0150206+0.000871015j -0.0316579-0.00918056j -0.0156617+0.00805285j 0.00724275+0.0570367j -0.0260654+0.0148602j 0.000206167-0.000866852j -0.0060699+0.00876209j 0.00651318-0.00955779j 0.0157624-0.00677773j -0.0254649-0.00949379j -0.0169177-0.00916897j 0.0170063+0.0164016j 0.0107917-0.00637053j -0.0198015-0.0336349j -0.00535988-0.0303025j 0.00690897+0.0121517j -0.00182357+0.00176661j 0.0304253+0.0327471j -0.00847173+0.0259806j -0.00296127+0.0231879j 0.00344161-0.0294282j -0.00491427-0.0151216j -0.0199987+0.0466415j -0.0236365+0.0117886j -0.0202115+0.0129634j -0.000191313-2.09902e-05j 
-0.479-0.183461j 0.180979-0.10214j 0.0371659+0.0107081j 0.0831872-0.226245j -0.0536044-0.097791j 0.00305151-0.0233004j 0.00951142+0.000755093j 0.0550242-0.0130769j 0.0156474+0.031936j 0.0122151+0.0297625j 0.00726854-0.0526032j 0.00552463-0.113793j 0.115176-0.00676071j 0.0110486+0.0611614j -0.0126396+0.0568546j 0.0014865+0.00030691j 0.00186053-0.0119784j -0.00218447+0.0169553j -0.0242402+0.00966334j 0.00915158-0.0272862j 0.027283-0.0151813j -0.00930058+0.0246471j -0.0129409-0.00116881j 0.0420587+0.00990253j -0.0088344-0.025429j -0.0194787-0.00958193j 0.0103417+0.00460404j 0.0405109+0.0464039j -0.00640179+0.0310517j 0.0100931-0.0023512j 0.0687935-0.0742094j -0.00392612-0.0076392j -0.0122818+0.0446758j -0.0746646-0.0147281j 0.00230586+0.0178596j 0.000866308+0.019593j 
-0.317243+0.407256j -0.184294-0.150895j -0.0213072+0.0751346j -0.164271+0.0284325j -0.000322499+0.0782863j 0.0101133-0.0302137j 0.0432438-0.039803j 0.014756+0.0444242j -0.0478863+0.0422424j -0.0422976-0.0692633j 0.0465522-0.0408628j -0.0215476+0.0710913j -0.0709173+0.0346843j -0.0116914-0.00663586j -0.0169881-0.0254609j 0.0086745+0.00515385j 0.0073171+0.00316091j -0.00963575+0.04266j -0.02418+0.00744263j -0.0085034+0.0228747j 0.0432569-0.0132422j 0.00951016-0.00621983j -0.0351376+0.000991845j -0.0112359+0.0207069j 0.0376203+0.00718605j 0.0207748-0.00949964j 0.0251544+0.0385049j -0.0417146+0.0891578j -0.0108882-0.0218385j 0.0290453+0.0165045j 0.0776935+0.0424674j 0.0496392-0.0158109j -0.0394112+0.0188559j 0.010243-0.0601247j -0.02951+0.00794331j -0.0195983-0.00123275j 
-0.193686-0.323323j -0.121086-0.0536259j 0.112215-0.0256307j 0.00551767+0.11884j 0.0125849+0.0701854j -0.0189399-0.000368413j -0.0272701-0.0293996j 0.0161762-0.00091988j 0.0173548+0.0760262j 0.0570364-0.127549j 0.147974-0.0322283j -0.00402+0.0518118j -0.00900571+0.0588375j 0.0162783-0.0249627j -0.00309375+0.00134197j -0.00205298-0.00183719j -0.00449096-0.0127661j 0.0131315+0.00227756j -0.000868013+0.035488j -0.0132914+0.0260733j -0.0232321-0.00225582j -0.0179628+0.0117594j -0.0645088+0.0397823j -0.00777189-0.00822372j 0.00914264+0.0649302j -0.0714399-0.00630036j 0.0241899+0.0390465j 0.0128338+0.0545069j 0.0699581-0.0146084j 0.00120553-0.0620403j -0.00299799-0.054688j 0.0621728-0.0148141j 0.0239623+0.0114591j -0.0160742+0.026406j 0.00477143-0.00629076j 0.0090399+0.0022729j 
-0.021243+0.0253354j -0.147507-0.113864j -0.20449-0.209959j -0.136273-0.00044119j 0.0618163+0.0384716j 0.0134076+0.0389224j 0.0141934+0.0355707j -0.111654+0.00406137j -0.0477962-0.103865j 0.0196279-0.071493j 0.065341+0.0384064j 0.0158114+0.00244339j -0.02532+0.0862002j -0.0058799+0.0799877j -0.064862+0.016674j -0.0165513+0.00049515j -0.00208542-0.0198998j -0.0324257-0.0407596j -0.013677-0.00412336j 9.11457e-05-0.0128504j -0.0270746+0.0572997j 0.0381773+0.00642714j 0.0075044-0.0120669j -0.0131979-0.00584545j 0.00477996-0.0180518j 0.0364243+0.0272965j 0.00896212+0.0133556j 0.0352441+0.0227476j -0.00482678-0.00598042j 0.0156683+0.043619j 0.0776137-0.0371732j -0.022356-0.00167524j 0.00836543+0.0453375j -0.0514054-0.03024j 0.00956124+0.0343805j -0.0090829+0.0189982j 
-0.125355+0.0687144j -0.206969+0.298637j 0.0318874-0.087741j 0.094221+0.11422j -0.0939629-0.0783263j -0.000539034+0.00258672j 0.0257727+0.00491814j -0.048176-0.0188967j 0.00346654-0.0477091j -0.0736685-0.0683024j -0.0413003-0.119098j -0.0892298-0.0404685j -0.0317399-0.0777918j -0.0439843+0.0588945j -0.0167907-0.0174172j -0.00130475-0.00582612j 0.0239797+0.00653991j -0.00928799-0.0186578j -0.0240212-0.0337025j -0.0220824+0.0145022j -0.0230644+0.0123547j -0.00109473+0.0269857j -0.0396801-0.0240018j -0.0359451+0.00388215j -0.047135-0.022131j -0.031295-0.00612168j 0.000271889+0.0189783j -0.067295-0.0634151j 0.0196492+0.0650627j -0.0015993+0.0346167j 0.0864835+0.0318471j -0.0431405+0.0893859j -0.00917635-0.0067547j -0.0304412-0.0495451j 0.0293195+0.00993845j -0.00759539+0.0176486j 
-0.0716593+0.028793j -0.0656465+0.228005j 0.0940293-0.0139613j 0.0707973+0.00277183j 0.0756419+0.0483819j 0.00955712-0.0272982j 0.0729682+0.0113901j -0.0120155-0.0491019j 0.00325575-0.100582j -0.040927-0.00600311j -0.0412206+0.0278225j 0.0337692+0.0384503j 0.0835735+0.0251074j 0.121015-0.0210187j 0.0409736+0.0717568j 0.00556319-0.00987382j 0.037616+0.0157942j 0.00808514-0.00759622j -0.0355252-0.0494725j -0.0215286+0.0188003j -0.0246398-0.018723j 0.0162993-0.00622718j -0.00508412-0.0916881j -0.0239499+0.0194083j 0.0209788+0.0663287j 0.045911-0.0129889j -0.0533277+0.0870846j 0.0950579+0.0309854j 0.0264548-0.0459225j 0.0229193+0.00142232j -0.0438909+0.067776j -0.00261148-0.0743733j 0.0564075+0.0584182j 0.074569-0.000128784j -0.027824+0.055906j -0.023273-0.0160829j 
-0.108529-0.0435909j 0.0297631+0.109938j -0.195905+0.0768433j 0.0974396-0.030714j -0.0485842+0.0732301j -0.00727117-0.0370237j 0.033878-0.0410084j 0.0366481-0.00771265j 0.0035443+0.0211127j -0.0671023+0.000501185j -0.0406048-0.0306438j 0.00264898+0.0635002j -0.0735826-0.0682856j -0.0575515-0.107818j 0.045263-0.0815888j -0.0088161-0.00767245j -0.00102697-0.0341983j 0.0155277-0.0143102j -0.0206855+0.0321058j 0.0348524-0.0497536j -0.0160869-0.0172939j -0.00252492-0.00484983j 0.0218414-0.0155396j 0.0845728-0.013531j -0.00332006+0.00336727j 0.0181855-0.00342445j -0.0211701-0.0170111j 0.0152786-0.0136178j -0.0189949-0.0104094j 0.00135408+0.00327299j 0.0275299+0.0650985j -0.0308729-0.0233998j 0.00579611-0.00104156j 0.0276742-0.047811j -0.00550856+0.0256847j -0.0186253-0.000128057j 
0.22771-0.242259j 0.0123387-0.0326387j 0.0489063+0.216002j -0.0933511+0.00205202j 0.022417+0.00824985j -0.0308247-0.0720819j 0.100322-0.102921j -0.0149517-0.0454792j -0.0927331-0.0194715j -0.00719507-0.0281439j 0.0420039-0.0347605j -0.044329-0.080922j 0.0142657-0.0463549j -0.0262296+0.0434992j -0.0125633+0.00240162j -0.00438573-0.0120542j 0.0320778-0.0186714j -0.000426863-0.0179734j -0.0565974-0.00993822j 0.00250298-0.00323843j -0.0191201-0.000451439j 0.0381381+0.0803554j -0.0378829+0.00739957j 0.028168+0.00326159j 0.0606745-0.0134566j -0.0259004+0.0839167j 0.0529338+0.0586109j 0.0264443-0.0796193j -0.00144121-0.03943j -0.0722086+0.0475674j 0.0231814+0.0358186j -0.0633152+0.00297214j 0.0158403-0.0195886j 0.00313628-0.0302645j 0.0181166+0.0167384j -0.00878635+0.0063536j 
0.0972526+0.158897j -0.0944677+0.15591j -0.0570501+0.0548163j -0.0343816+0.000176226j -0.0592228-0.052918j -0.0798199+0.066519j -0.119352-0.063075j -0.118972-0.0354558j -0.0115325-0.00896731j -0.00727831-0.00335161j 0.00715666-0.00587344j 0.0130761-0.0115874j 0.119257-0.0363226j 0.117875-0.064732j 0.0805676+0.0658523j -0.0152035+0.00889068j -0.041208+0.000149648j -0.0174467-0.0485558j 0.0622754+0.0105623j -0.0246425-0.0263486j -0.0451208+0.0575221j -0.0427012+0.0193089j -0.00544592+0.0121713j -0.0333271-0.0722568j 0.0245753+0.0196554j -0.0552795-0.000994665j -0.0259909+0.0185905j -0.0356405+0.0712476j 0.00857972+0.0126126j -0.0409241-0.0194184j 0.0437643+0.0598643j 0.0266606-0.0245436j -0.0615839+0.00816232j 0.0187735-0.0484626j -0.0399654-0.00149748j -0.0148475-0.00854065j 
