-0.0107474+0.0047227j -0.00597581-0.0112854j 0.000891747+0.00980985j 0.0106226-0.000430898j 0.000574529-0.00562216j 0.00830051+0.00473877j 7.40828e-05+0.00255769j -0.00192711+0.000973895j -0.00505772-0.0067864j -0.00468958+0.00360379j -0.00341826+0.000140769j 0.00145217-0.00682354j 0.00518039+0.000367777j 0.000698559-0.00634116j 0.00189638+0.0042562j -0.00287746-0.00105763j -0.00774606+0.00100589j 0.0010629-0.00207361j -0.00391574-0.00129859j 0.00397018-0.00271478j -0.00405356-0.000869411j 0.0057605-0.0018699j 0.000105708-0.00415766j 0.00563796+0.00107289j -0.00026181+0.00223171j 0.00777335+0.0107747j -0.01299+0.00392295j -0.00680462-0.0034305j 0.00271156+0.000741315j 1.99524e-06-0.00586305j 0.00281699+0.00909262j -0.00198138+0.00152115j 0.00133617-0.000982365j 0.00216456+0.00483644j 0.00405763-0.0064707j 0.000980393+0.00215359j -0.00968451+0.00981533j -0.00144269-0.000552297j 0.00220297-0.00758525j -0.00374814+0.00267478j 0.00497827+0.00118566j -0.00242589-0.00158434j 0.00316375-0.00347849j -0.00390522+0.00664656j 0.00233393+0.0126706j 0.0123453+0.00743547j 0.0045983-0.00422802j -0.00567396+0.000779127j 0.020243-0.00620337j 0.00332581+0.0185258j 0.0155966-0.0150126j -0.0166457-0.0149717j 
-0.0042614-0.010114j 0.00980185-0.00519221j -0.00830851-0.00197024j -0.00168059+0.00835013j 0.00495654+0.000935641j -0.00182238+0.0111566j -0.0101907-0.00205228j -0.00122462-0.00464351j -0.00328507-0.00156462j -0.000671102-0.00156146j 0.00165045+0.0092748j -0.00512201+0.000959329j 0.00518745+0.00232972j 0.00630546-0.00028072j -0.00230406-0.000561205j -0.00905125+0.00333764j 0.00310292-0.00484518j 0.00501589+0.00133862j 0.00198261+0.00445775j 0.00105455-0.00536734j 0.00405282+0.00400547j -0.0054843-0.00352326j 0.00400459-0.00568944j 0.00168009+0.00924834j -0.00833923-0.0029579j -0.0117987+0.00787254j -0.0032611+0.00325249j -0.0010679+0.000829801j -0.00157812-0.00155873j 0.00078009+0.00168861j -0.00112571-0.00461955j 0.000454362-0.0052477j -0.00108854-0.000283461j 0.000498801+0.000656558j 0.0043597-0.000795244j -0.00303465+0.00429946j -0.00559035-0.00854532j -0.000173825-0.00291511j 0.000818213-0.00216495j -0.00191721-0.00506369j -0.0121406+0.0025152j -0.00638698-0.00475624j 0.00710976+0.00214944j 0.00279143-0.0020985j -0.000259168+0.00985837j -0.00873769+0.00841962j 0.0194982+0.0110268j 0.00125666-0.00455737j 0.00642152+0.0152541j -0.0102355+0.00604933j 0.0162217+0.0176646j 0.0188228-0.0155874j 
0.00486195+0.00734946j -0.0074145+0.00548661j -0.007195-0.00485229j 0.00348313+0.0103642j 0.00298118+0.0173582j -0.00778448+0.0202318j 0.000100929+0.0137286j -0.00933523+0.00689547j 0.00345647+0.00502252j 0.00357638+0.00194378j -0.00219233+0.00955547j -0.0218503-2.72723e-06j 0.00417481+0.00535212j 0.00182704+0.00652489j -0.0037834+0.00672462j -0.00269611+0.00230806j -0.000772309+0.00512844j 0.00396114-0.00489184j 0.00324046+0.0062777j -0.013427-0.00499191j 0.00181941+0.00535429j -0.00481343+0.00470831j -0.000986388-0.00247034j -0.00166643-0.000879746j 0.0121846-0.00713437j 0.00223029+0.000785657j -0.00402751+0.00480191j 0.00169158-0.00512287j -0.00270983+0.00642735j -0.000900612-0.00611643j 0.00141483+0.000163195j 0.00526556-0.000433491j -0.00394236-0.00382688j -0.00539527-0.00661529j 0.00354155-0.0059746j -0.00265127+0.00279934j 0.00836098-0.00583637j -4.65513e-05-0.00169157j 0.00512757+0.0114648j 0.00475577-0.00232419j -0.0105009+0.00603537j 0.00260289+0.000541231j -0.000204034+0.00691053j 0.00793135-0.0110224j -0.010836-0.000776344j -0.00306058-0.00656708j 0.00602321+0.00378597j -0.0119375-0.000527641j 0.00280483+0.0157833j -0.00988731+0.00464544j -0.00495391-0.00915864j -0.00976993+0.00484565j 
-0.000365388+0.00312498j -0.0101751+0.000427753j 0.0071626-0.00209721j -0.00419874-0.000734067j -0.00895638-6.09302e-06j 0.00676857-0.00200075j 0.0016917-0.000792886j -0.000857759-0.00172069j 0.0026841-0.000702609j 0.00242197-0.00095103j 0.0169684-0.00515457j 0.0101437-0.00476409j -0.0049844+0.00226953j -0.0154171+0.00269577j 0.00522245-0.00261967j 0.00374045-0.00221772j 0.00152473+0.00575375j -0.00779297-0.000250668j 0.00606285-0.00271603j 0.000165057+0.00388948j 0.0108187-0.00310657j 0.0107424+0.00145445j 0.0112511-0.00779426j 0.0135704-0.00391097j 0.0117635+0.00280903j -0.0105047+0.0012997j 8.7175e-05+0.000257474j -0.00589067+0.00296867j 0.0109017+0.00164953j 0.00703566+0.00175926j 0.00564688-0.00455878j 0.004632+0.00109631j 0.00142215+0.00329613j -0.00499796-0.00653464j -0.000646517+0.00354672j -0.00291994-0.00502523j 0.00429197+0.00366747j 0.00642457+0.00251795j 0.00654137+0.0114027j 0.00193755-0.00372143j -0.00557541-0.00764377j -0.00119454-0.00333753j -0.0063088+0.002141j 0.00579522+0.00559803j -0.00634859-0.00500109j 0.001138-0.00301265j -0.00542787+0.0173176j -0.00439245-0.00706182j -0.0112362+7.96898e-05j -0.00743368-0.00640351j 0.000756999+0.00327579j 0.00504562+0.00298925j 
0.0117316-0.00450887j -0.00518708+0.00457056j 0.00247385+0.00362459j -0.00839001+0.000347815j -0.0113254+0.00136653j -0.0022189-0.00666526j 0.00388603-0.0036179j 0.0132815-0.00333236j -0.00407249+0.000737187j 0.0112198-0.00665583j 0.00228397-0.0018741j -0.00476363+0.00675015j -0.00147801-0.00491361j 0.00177039-0.00133383j 0.000845046-0.00116717j 0.0128061+0.00334994j -0.00262679-0.00224254j 0.0173885-0.000530553j 0.00617189-0.000784887j -0.00481578-0.00261526j -0.00199398-0.00556724j -0.00654741-0.000252955j -0.00488745-0.00598755j 0.00901866+0.00624027j 2.40057e-05-0.00160894j -0.00715067-1.86977e-06j -0.0107009-0.00980006j -0.0122876-0.00446138j 0.00240975-0.00124074j -0.0102724-0.000359066j 0.00579642+0.00735633j 0.00149295+0.00199069j -0.00210375-0.00207987j 0.00806878-0.0031083j -0.00429113-0.00256366j -0.000107412+0.00635231j -0.00173106-0.00215502j -0.0109978+0.000252401j -0.0040402+0.00107342j -0.00109621+0.00391305j 0.00505671+0.0107392j -0.00268851-0.0108775j -0.00238634-0.00592573j -0.00884288-0.00258886j -0.000984441+0.00492941j -0.00628197+0.00607466j -0.0041876-0.00227598j -0.00515118-0.00498712j 0.00405284+0.00536455j -0.0107022-0.00358904j 0.00436876+0.00789775j 0.00847544-0.000675934j 
1.44554e-05+0.00211873j -0.00294195-0.000206091j 0.00427926-0.00473297j -0.00678699-0.000420817j 0.00415089-0.00914149j 0.0112072-0.000345189j -0.0154724+0.00788217j 0.00733676-0.00839374j 0.0184242-0.0045518j 0.00630065-0.000512135j -0.00906111+0.000823094j -0.000598695+0.00106663j -0.00936619+0.00686523j 0.00349912+0.000635932j 0.00461586-0.00515748j -0.00937991-0.00336725j -0.0105547-0.00120258j 0.00743075-0.00276099j -0.00605774+0.0036786j 0.0148886+0.00027036j 0.0100927-0.00259202j -0.0108836-7.62287e-05j -0.00257654+0.00289553j 0.00974695+0.00227188j -0.000890625-0.00748651j 0.0151279+0.0100329j 0.00118142+0.000574613j -0.00712626-0.00321898j -0.000558682-0.0019823j 0.00348164+0.000701274j -0.00369575+0.00562049j -0.00191806-0.00122192j -0.000603122-0.00347472j -0.0017428-0.0102554j 0.00660986+0.00130271j 0.00106435+0.00163288j 0.000205611+0.004226j 0.00851281-0.0060736j 0.00616503+0.00831549j 0.00101661+0.00218821j -0.00171747+0.00660195j -0.00185455-0.00259683j 0.00167837+0.00517547j 0.0039632+0.00136435j 0.000274137-5.60556e-05j 0.0130774+0.00227794j 0.010841+0.00318673j -0.00155983-0.0103688j -0.00681308-0.00415621j 0.00220959-0.000534476j 0.00345463-0.00165286j -0.00208028-0.00249478j 
0.0028397-0.00014815j 0.000144132+0.00221348j -0.00390545+0.00238126j 0.00659711+0.000602298j 0.0014634+0.00470547j 0.00356165+0.000517588j 0.00345889-0.000545981j 0.00085591+0.000958658j -0.00626555+0.00258217j 0.0153955-0.00225422j 0.00447637+0.00125636j -0.00134806+0.00264372j -0.0234657+0.00222602j 0.0054162+0.000935856j -0.0158942+0.00554682j -0.00585109+0.00371456j 0.00483916+0.000403493j -0.0257212+0.00101892j -0.00824806-0.00239051j 0.0145368-0.00583397j -0.00439329-0.00322499j -0.0192364-0.00525296j 0.00316615+0.00372404j 0.00954748+0.00278273j 0.00191945+2.24244e-05j 0.000251767-0.000432337j -0.00742365-7.75991e-05j -0.00263841-0.000471057j 0.0129448+0.00315496j 0.00308485+0.000361389j 0.00187628-0.00314704j -0.00434733-0.00245753j -0.00446172-0.00184494j -0.00200892+0.00130523j -0.00148759+0.00141539j 0.00348586+0.00191101j 0.00151288-0.00296962j -0.00179373-0.00184297j -0.00268172+0.00146728j 0.00429823+0.00180378j -0.00121401-0.000954139j -0.00162236+0.000801784j -0.00570052-0.00545098j 0.00391465+0.00586925j 0.000875106-0.000500658j 0.000705642+0.0029045j -0.0031188-0.00338414j -0.00256507+0.00252179j 0.000937389+0.00221646j -0.00240781+0.00157507j -0.00230243-0.000842676j -0.000829034+0.00199646j 
0.00828291-0.00333037j 0.00194987+0.0039162j -0.00581608-0.00234307j -0.00239953+0.00457619j 0.00209458+0.00137675j 0.00413408+0.0064578j -0.0159708+0.008518j 0.00242432+0.00393502j -0.0157563+0.00877033j -0.00378806-0.00444364j -0.00809836+0.00407824j 0.00781228-0.00393487j 0.00136572-0.00197615j -0.00943827+0.00151877j 0.00977392+0.000620532j 0.00322885+0.00349517j -0.0251108-0.00265379j -0.0201477-0.00193523j 0.00748348-0.00320982j -0.00445685-0.00398448j 0.00085615-0.0023026j 0.00594427+0.0028786j -0.00451504-0.00385361j -0.000567369+0.00413883j 0.0067175-0.0022266j 0.00516887+0.00123839j 0.0143301+0.00607563j 0.00475414+0.000317167j 0.00360843+0.000368847j 0.00127511-0.000974227j -0.00621215+0.00268852j 0.00108956+0.000519833j 0.00260269+0.00221995j -0.00452932-0.000660134j 0.00468583+0.00307311j 0.00105793+0.0035174j -0.00159221+0.000606968j -0.00127421+0.00340844j -0.00414684-0.00496489j -0.00172701-0.00511389j -0.00124913+0.00189778j 0.00187011-0.00372682j 0.000789859-0.00267682j -0.00056079+0.00333732j -0.000137025+0.00351816j 0.00175784+0.00341114j -0.00353716-0.00526366j -0.0054793-0.00138909j 0.000342727+0.00209742j -0.00354423+0.000173416j -6.40313e-05+0.00183045j 0.00216059+0.000160825j 
-0.00467494-0.00063721j 0.00592548-0.00336815j 0.00149841-0.0210307j -0.00481758+0.00442721j -0.00486034-0.00206801j 0.00449945+0.0165821j 0.00669277+0.010851j 0.00236979+0.00619324j -0.0050622+0.0105118j -0.00189602-0.0055499j 0.000874904+0.0071649j 0.00516648-0.00120074j -0.00121033+0.00762321j 0.00357204-0.00272977j -0.00803273-0.000338026j -0.00337502+0.00277614j 0.00562806-0.00196875j -0.00162939-0.0059466j 0.00207344-0.00840485j 0.0012945+0.00659199j -0.00556123+0.00398688j -0.00394155+0.00352163j 0.0129258-0.00414232j -0.00440304-0.00454883j 0.00493977-0.00217721j -0.0106597+2.485e-05j -0.00127643+0.000111577j 0.00368211+0.00144377j 0.00357029-0.000606599j -9.14891e-05+0.00370801j -0.00585936+0.00862383j -0.000246648-0.00192044j 0.000638502-0.00330686j 0.0030911+0.000373142j 0.000828713-0.00701502j -0.00182258+0.0067715j 0.00246745+0.00439976j 9.55688e-05+0.000182807j 0.00196973+0.00666658j 0.00113057+0.00227777j -0.00237816+0.00808779j 0.0114296-0.00432451j -0.00357238-0.00497905j 6.97724e-05-0.00295962j -0.00818642+0.0027885j -0.00204135+0.00207112j -0.00308412-0.000571794j 0.0152642-0.00647008j -0.00789148-0.00658006j 0.00458372-0.00434217j 0.0109218+0.0070007j 0.00640046-0.0109846j 
0.00340332+0.00122164j -0.00370997-0.00711222j -0.00915759+0.00680564j -0.00249119-0.00651612j -0.0133909-0.0104711j 0.0026411-0.00930467j -0.000950342-0.00643177j 0.00280132-0.0109439j -0.0109663-0.00389259j 0.000543661+0.00508754j -0.00741664-0.00406553j -0.00977224-0.0037321j 0.00391164+0.00731513j 0.00858131-0.00309648j -0.00966242-0.00700635j 0.00500047-0.0114288j -0.012763+0.000918225j -0.00841533-0.00693695j -0.0124669+0.00691052j -0.0151937+0.00415479j -0.00866718-0.00504477j -0.0025877-0.00273863j 0.000524244-0.00242699j 0.00656905-0.00869471j 0.0145616-0.000731629j -0.00755619+0.00536943j 0.00657919-0.00339065j 0.00928301-0.000901599j 0.00185434+0.00122535j 0.0029225+0.00218881j -0.0115891+0.00298284j -0.00677971+0.00614898j 0.00414996-0.00303811j 0.00467066-0.00297244j -0.00768053+0.00193092j 0.00505574-0.00101941j -0.00205608+0.00401022j 0.00460379-0.00182315j 0.00226603+0.0116235j -0.00978769+0.000353333j -0.00721355-0.00464992j -0.000689291+0.00546442j -0.00449405+0.00197952j 0.00573673+0.00279106j 0.00604938-0.000806206j 0.0108754-0.00567993j 0.00548248+0.0107152j 0.00415016-0.00898801j 0.00443614-0.00305932j 0.00441675-0.0029251j 0.00993604-0.00168723j -0.00149616-0.00254426j 
-0.000426873+0.00578969j -0.0018698+0.00566547j -0.00531833-0.0109309j 0.00226966-0.00254135j -0.00610865-0.00118688j 9.78699e-05+0.00932162j 0.0019984+0.010431j 0.0050837+0.00434708j -0.00135258+0.0125144j -0.00479726-0.00519148j -0.0050532+0.00322454j -0.00127026-0.000391234j -0.00268807-0.00233653j -0.00122823-0.0021276j -0.00276927+0.0026726j 0.00944187+0.0012943j -0.00478639+0.000466205j 0.00582764+0.000367199j -0.00340976-0.0132267j 0.00606534+0.0074388j -0.00506435-0.0101325j -0.00439182+0.00641023j -0.0122712-0.00202186j -0.0010423-0.00477911j 0.00117425-0.00376553j 0.00556914-0.00482358j -0.010766+0.00785094j -0.0015383+0.00671499j -0.00548271+0.00172866j 0.00216428-0.00345927j 0.0119506-0.010475j -0.00428055-0.00212959j -0.00138701+0.00393714j 0.00727115+0.00238606j -0.00922279+0.00486115j 0.0110839-0.00132476j 0.00291932-0.0067616j -0.00471056+0.00351887j 0.000618968-0.00423201j 0.00460356-0.00639001j 0.010421-0.00401163j -0.0121505-0.00819918j 0.000284892+0.00552965j -0.00383721-4.43293e-05j 0.0184115+0.0108203j 0.00714428+0.00169795j -0.0113129+0.00746058j 0.00191277-0.00134751j 0.000241686-0.00422374j 0.0124957-0.00110028j -0.00971302+0.00127143j -0.00396696+0.0061645j 
