0.0270513-0.00334997j -0.0163143+0.0169523j -0.00674286+0.0178274j 0.047281-0.00508952j -0.00494649-0.00108219j 0.0153016+0.0080055j -0.0209196+0.0205004j 0.0120892+0.0179274j -0.066104+0.00730087j 0.0264404-0.00648477j 0.011187+0.0073991j -0.000651391-0.000552453j 0.0176727+0.000211038j 0.0124337-0.000906025j 0.0013374-0.00224492j -0.00151199+0.00916741j -0.0273369+0.0124536j -0.0212247+0.0174694j 0.0366008-0.00982148j 0.0247626-0.0130882j 0.0127633-0.01884j -0.0192847+0.0270973j -0.00416679-0.00157679j -0.00353461+0.0129527j 0.00483084+0.00700093j 0.00912781+0.0188547j -0.00548848-0.0024407j -0.00916792-0.00658955j 0.022971-0.0036771j -0.052714+0.000954849j -0.0169049+0.0145231j -0.032335-0.00786168j 0.0263824-0.0252058j 0.00603207+0.00775898j 0.0341013-0.00788289j 0.0130483-0.0150524j 0.0047787-0.00161328j 0.0305652-0.0190685j 0.0256882-0.0126703j -0.0331813+0.00891537j -0.0140279-0.0226594j -0.0298102+0.0148815j 0.000984879-0.0157079j -0.000681541-0.00232177j -0.00384488-0.0227782j 0.0149664-0.0219241j 0.000237964-0.0126192j 0.0363263+0.0230809j 0.0193282-0.0389059j 0.0760157+0.00971211j -0.0182894-0.0126488j 0.056036-0.00699488j -0.000538827-0.00540861j 0.0241755+0.00278328j 0.04643+0.00351755j -0.0261488+0.044766j 0.106396-0.0148831j -0.0582619-0.00251481j 0.000914937+0.00204375j 0.0325177-0.0248931j -0.00560229+0.0393835j -0.000662272-0.0242972j 0.0608452-0.0144848j -0.0347165+0.0406724j 0.0059705+0.0497201j -0.058843-0.0233018j 0.0395281-0.0364747j 0.00646222+0.0251944j 0.0608688+0.0232735j -0.0839962-0.0323813j 0.0647979+0.00481167j -0.0329314+0.087152j -0.134807-2.24913e-05j -0.0350826+0.00157675j -0.047511-0.0341714j 0.0863004-0.0200579j 0.00324592+0.00226601j 0.063526-0.0327408j 0.0502074-0.0220803j -0.0460688+0.0238385j -0.0143949+0.0133624j -0.00718225+0.00810406j -0.0428488-0.0543101j 0.0716481-0.0045785j 0.0312749-0.0106079j -0.000278903+0.02312j -0.00552654-0.0130803j -0.00652404+0.00469665j -0.021632-0.0257734j 0.0208108-0.0287153j 0.0221802-0.00769425j -0.0252805-0.000334262j 0.0483745-0.021349j 0.00840286+0.0396191j 0.0652863+0.0222559j -0.14746-0.0257658j -0.317942+0.0262003j 
0.0169142-0.0175453j 0.0253507-0.00200536j 0.0411449-0.00609385j 0.0156079-0.021511j -0.00027106+0.008894j 0.0149955-0.00520195j 0.0332265+0.000485629j 0.0380367-0.00640703j -0.0123689+0.035719j -0.00892077-0.00513336j 0.0165065-0.00635918j -0.010986+0.0026357j 0.00857452-0.0161427j -0.00824398-0.00998549j 0.0010518+8.45171e-05j 0.0193759-0.00198215j 0.0172227+0.00574841j 0.0329039-0.00308846j -0.0137451-0.0158068j -0.0109367-0.00838023j -0.0362218-0.00438567j 0.0491105+0.01121j -0.00587396+0.00188164j 0.017872-0.00224212j 0.00561788+0.000225535j 0.0240167-0.011364j -0.0119272-0.00480061j -0.0018247+0.0014775j -0.00204303-0.0115859j -0.025074+0.0307618j 0.0198848+0.00611639j -0.010124+0.0113476j -0.0315816-0.0111273j 0.0212359-0.00346443j 0.00491668-0.0158954j -0.0188218-0.00718575j -0.00417332+0.000562603j -0.0327695-0.0077701j -0.0160655-0.0106417j 0.0112579+0.0211029j -0.050594+0.00468675j 0.0221771+0.00762576j -0.0353595+0.0074456j -0.00515005-0.00886641j -0.0441319+0.00888099j -0.0369596+0.00126265j -0.0282009+0.0143376j 0.0616267-0.0253761j -0.0569139-0.00430272j 0.044612-0.0396267j -0.0295028+0.0136337j 0.00237218-0.0218333j -0.00220097+0.00816404j -0.000385148-0.0221348j 0.0129607-0.0247686j 0.0716772+0.00623221j -0.0214313-0.0588564j -0.0239152+0.0278686j 0.006944-0.00771826j -0.0429144-0.0260615j 0.0666359-0.00408406j -0.0487191+0.00783236j -0.0147379-0.0337985j 0.0691832+0.00316451j 0.0879815-0.00597258j -0.0591048+0.0437544j -0.0587684-0.00850743j 0.048072-0.0174098j 0.0382447-0.0285576j -0.0743941+0.0464783j 0.0132963-0.041028j 0.155408+0.00753937j -0.00423002+0.0744786j -0.00233415+0.0212256j -0.0698879+0.0368871j -0.024631-0.0465325j -0.00198129+0.00632687j -0.0489952-0.0454113j -0.0369571-0.0269815j 0.0330292+0.0132273j 0.0164582-0.00233826j 0.0402986-0.00776213j -0.0983855+0.014439j -0.00804464-0.0445275j -0.0360085-0.00654553j 0.00186464+0.0137546j -0.0139424+0.00692757j -0.0119961-0.0129214j -0.0291963+0.0190779j -0.0349107-0.0129621j -0.00383314-0.027058j -0.0461093+0.0164693j -0.0297673-0.00411071j -0.0303971-0.0269988j 0.00290153+0.0388153j -0.314299+0.0249587j 0.158217+0.0240538j 
-0.0141404+0.0268518j -0.00651442+0.00178386j -0.00756655-0.00243826j -0.0230938+0.019424j -0.0237414-0.019966j -0.0261427+0.0102093j 0.0161892+0.00596209j -0.0409397+0.0105687j 0.0337668-0.0421494j -0.0509777+0.00931966j -0.0149136+0.00880577j 0.0042441+0.00944813j 0.0333005+0.0162568j 0.0102136+0.00927818j -0.00332792-0.00358353j 0.00511615+0.00449397j 0.0669356-0.00814887j 0.05649-0.00530981j -0.0379922+0.0129777j -0.0348862+0.00821365j -0.0315201+0.0136164j 0.00702029-0.0141055j -0.0211379-0.00254887j 0.0387611+0.009834j -0.0129724+0.0296422j 0.019373-9.44717e-05j 0.0548369+0.0114042j -0.0571238+0.0160165j -0.00950715+0.0206312j 0.00910917-0.052888j 0.0132257+0.0033762j 0.0486678-0.0237929j -0.00749269+0.0148751j -0.035516+0.0136714j -0.0306067+0.0118717j -0.0178279+0.0118759j -0.0398549-0.000117966j 0.0215452+0.00210741j 0.0343997-0.00603589j -0.0377534-0.0162116j 0.0447505-0.00755416j 0.0808567-0.0522993j -0.0438115+0.0122948j 0.0570089-0.0120536j -0.0256867-0.00929461j -0.00714322-0.00141955j -0.0606696-0.0189688j 0.0220508+0.0183448j -0.0865446+0.0583325j 0.0125912+0.048114j -0.0318325+0.0305139j -0.0200083+0.0283786j -0.0279914-0.0041425j 0.113765-0.0281132j 0.0255897-0.0225129j -0.0397865-0.0310133j 0.0249426-0.041652j -0.0280865-0.050211j 0.0409621-0.00589513j 0.0806657-0.0156605j -0.00687686-0.0235264j -0.0341732-0.0137998j 0.0242262+0.0309478j 0.0342542+0.0289272j -0.0303435+0.00514898j -0.103212-0.0346127j -0.0841008+0.031811j 0.0836947+0.00419355j 0.00373305-0.00719936j -0.01597-0.0409633j 0.0337949-0.00556506j 0.0656449-0.00627621j 0.0109376-0.0368613j -0.0152199+0.0028658j -0.00960604-0.0484749j -0.0281374+0.00740639j -0.0307728+0.0337995j 0.0142311+0.0142251j -0.0187079+0.0332544j 0.00110473-0.00431828j -0.00911911+0.0150138j 0.0300507-0.00225737j -0.070325+0.0243813j 0.0299895+0.0225013j -0.0338885-0.00590384j 0.00550641-0.032726j -0.0232806+0.0666094j 0.0313065-0.00658204j -0.0614394-0.0115598j 0.0268396+0.0284828j -0.0448733-0.0206151j -0.00493588-0.0130216j -0.0117272+0.042025j 0.0399431+0.040354j -0.295717+0.00354343j -0.120225-0.0198251j 0.0808901-0.0363777j 
0.0107466+0.000150162j 0.0148289-0.0407887j 0.0294146-0.0358772j 0.0348392+0.00525856j 0.0215574-0.00533673j -0.0101311-0.0295175j -0.00336131-0.0404135j 0.0322178-0.0396855j -0.0421845-0.0135115j 0.0225638-0.00179858j -0.0142409-0.0246386j -0.013565+0.00491679j 0.00725356+0.0154726j 0.00792208+0.0112408j -0.0141623+0.0157288j -0.00335074-0.0141163j -0.0172204-0.0240848j 0.0104219-0.0242118j 0.0126011+0.0202138j 0.0119465+0.0208585j -0.0048866+0.014584j -0.00242402-0.0673157j -0.0165158-0.0226994j -0.0373085-0.0182488j -0.0490913-0.0366129j 0.00281836-0.00306835j -0.0589604+0.0432963j -0.00310424-0.010308j -0.00079473+0.00704656j 0.0060405+0.0301548j -0.00336691-0.0604828j 0.00449042+0.0588537j -0.0166284+0.0338876j -0.0165144-0.0235603j 0.0431851-0.0202269j 0.0135564+0.00380417j 0.00469952-0.0250084j -0.00800036+0.0391083j 0.0376084+0.0206435j -0.00293846-0.00640115j -0.0203763+0.0335041j 0.0339036+0.0137656j -0.0122605-0.00475457j -0.00612539+0.000410085j 0.002298+0.0241707j 0.0159333+0.0334951j 0.030169-0.000397659j 0.0257503-0.0347601j -0.0570881+0.011332j 0.0522215-0.012177j -0.0528787+0.0153186j 0.0253875+0.00704427j -0.0315423+0.0231985j 0.0383993+0.0362762j 0.0939211-0.00664977j 0.038464-0.0800436j 0.181015-0.010907j -0.00432718-0.00627669j -0.00183047+0.0147069j 0.0603758+0.05258j 0.0229945-0.052554j 0.00141543+0.0245409j 0.0347038+0.00624578j -0.0447693-0.0508167j 0.0217131-0.0857063j -0.0261999+0.0158575j 0.0152334+0.00825355j 0.00460778-0.0125251j 0.0659221-0.0276571j -0.0491666+0.0579967j 0.0693898+0.00135642j -0.0209508-0.0726667j -0.100642+0.0223591j -0.0344146-0.0116621j -0.0363685+0.0567809j 0.0761618-0.0178439j -0.0291479-0.0115011j 0.0569713+0.0234706j 0.0352851+0.00667467j -0.00669217-0.0272656j -0.0271452-0.0110807j -0.00695526+0.00184469j -0.028602+0.047474j 0.0727069-0.00196603j 0.0220136-0.024849j -0.0314425+0.0152574j -0.0340072+0.0244803j 0.0434028+0.0185738j 0.0163861+0.035606j 0.0300653+0.00301473j 0.029529+0.00305846j 0.00744448+0.0970268j -0.0361965+0.0714879j -0.136381-0.0345824j -0.0199932-0.0587096j -0.206414+0.0848957j -0.194407-0.052045j 
-0.00143034+0.026082j 0.0271725+0.00618979j 0.0317259+0.0294753j 0.00277492+0.0416993j -0.00473646-0.015801j 0.000136644+0.018511j 0.0107832-0.00604501j 0.046586+0.0134085j -0.00105122-0.0501495j 0.000619983-0.00573053j 0.00515814+0.0341736j 0.000366398-0.00866631j -0.0149535+0.0277275j -0.0233984+0.0142372j 0.0232898+0.0190178j 0.00827851+0.0250616j -0.0238195+0.00702758j -0.00152587-2.59064e-05j -0.00480774+0.0137179j 0.015259-0.0123576j -0.0199509-0.0270853j 0.00190761+0.0106785j -0.0236218+0.00613664j -0.0138816+0.0422791j -0.0221622+0.0362891j 0.0479494+0.0540704j 0.00833543+0.0508831j 0.0214092-0.0786857j 0.00349362+0.0320353j 0.025603-0.0349697j -0.0561067-0.0452942j 0.0292639-0.0375255j -0.0336606+0.0535512j 0.0175487+0.0186934j -0.0202821+0.0119842j -0.0305686-0.00598573j -0.0131177+0.0119979j -0.0399529+0.0373721j -0.038573-0.00442362j 0.0559441-0.0505995j -0.0961668-0.00211329j 0.0273263+0.0141655j -0.0481304-0.0203589j -0.0674233+0.0533032j -0.0431913-0.00453429j -0.00178654-0.0143333j -0.0120019-0.0313553j 0.029941+0.0326446j -0.0577166-0.00613157j 0.0353079+0.0124083j -0.0189677-0.0495981j 0.00910926+0.0291329j 0.0308651+0.0237472j -0.0312042+0.0581902j -0.0113077+0.0382473j 0.0917316-0.0155276j -0.0482812+0.0815758j 0.0018418-0.0298179j -0.00176329+0.0151013j -0.080285+0.0448718j 0.0736858+0.0215098j -0.0311282+0.0014479j -0.0637996+0.039152j 0.0418669-0.0314092j 0.0846087-0.00115198j 0.0151728-0.0521216j -0.0404544-0.00845276j -0.00630012+0.024997j 0.0579203+0.032154j -0.0355677-0.0489355j -0.0155528+0.0544556j 0.123687-0.0100178j 0.00383289-0.0822475j 0.000652274-0.0119189j -0.0409403-0.0218625j -0.0314335+0.0516816j 0.0157824-0.0202195j -0.0482588+0.0480711j -0.0335615+0.0298477j 0.0392442-0.0376486j 0.00579918+0.0144686j 0.0208525-0.00171987j -0.0584689-0.0212392j -0.0268087+0.0337313j 0.000944432+0.0103909j 0.0349227+0.00956531j 0.0163962-0.0135069j -0.0075379-0.00533637j -0.0142134-0.00553307j -0.00697206-0.00313286j 0.0116859+0.0287068j 0.0626098-0.104617j 0.0377817+0.095976j -0.046201+0.0454544j 0.103757-0.0490647j -0.162965-0.0731545j 0.203222-0.0765939j 
0.0213786+0.0128855j -0.0113694+0.00527902j -0.0164893+0.00626971j 0.0103027+0.0413741j -0.01983+0.00314829j 0.00384282+0.0139016j 0.0151814-0.0325682j -0.0135489+0.0341141j -0.0329625-0.0490188j 0.00285412+0.029361j -0.0041816+0.00369825j 0.0179237-0.00211722j 0.0237305-0.00402293j 0.00620477-0.00124299j -0.023961+0.0287371j 0.000301161-0.0131095j -0.000509679-0.0605225j 0.00222534-0.0572383j 0.0103288+0.0424138j 0.0064785+0.0602802j 0.0188048+0.0410189j -0.0247779-0.0368505j -0.00118721-0.00907124j 0.00185678-0.0304988j 0.0165985-0.0270433j -0.0426594+0.0247251j -0.00733348+0.0224385j 0.0619129+0.0529068j -0.00679058+0.0131323j -0.0701564+0.0167942j 0.0629003-0.066622j -0.00383195+0.00629752j -0.0329626+0.0114985j -0.000622028+0.000160986j 0.00352742+0.0123603j -0.00328239+0.00810495j -0.0323147+0.00888658j 0.0143442-0.0135329j 0.0137411-0.0199098j -0.00823157+0.0145484j -0.0082479-0.0268469j -0.0854337-0.015044j 0.0143393+0.0015265j -0.0424403-0.0484199j -0.0300708+0.00175627j -0.0107878+0.0285076j -0.0207607+0.0232135j 0.0503097-0.022232j 0.0510825+0.0362193j 0.107516+0.0136891j 0.0529596+0.00564466j 0.0412377+0.0218863j -0.0152846+0.0141491j -0.0395681-0.0437896j -0.0283666+0.00211404j -0.0326147+0.0260075j -0.0630427+0.0509076j -0.0736909+0.0207688j -0.00635089-0.0128672j -0.0147982-0.0261292j -0.0140179+0.00462523j -0.0335404+0.0226679j 0.04805-0.0106103j 0.0653721-0.0363148j 0.0411011+0.00821461j -0.0712419+0.0612511j 0.0186137+0.0619437j 0.0228622-0.0618625j 0.0160748+0.0191038j -0.0679106-0.00134405j 0.0221285-0.00526585j 0.0466073-0.0754717j -0.0411201-0.0387833j -0.0370623+0.00167675j -0.0562115-0.00233049j 0.00686785+0.0560966j 0.0476517+0.0116957j 0.00503813+0.0258992j 0.0158842+0.018366j -0.012381-0.00329931j 0.0107049-0.00643006j 0.010857-0.00988628j -0.0135009+0.0326831j -0.0111966+0.000236139j 0.00908174+0.0528462j 0.0356408-0.00836239j 0.0121122+0.00582638j 0.0206914-0.0389574j -0.0533722-0.0231389j -0.0140346+0.04309j 0.00244674-0.0185847j 0.0399204+0.0292246j -0.0508029+0.0947048j 0.198141-0.0421766j 0.0890459+0.00370458j -0.0883808+0.0237164j -0.06113-0.0582326j 
0.00567626-0.0112043j -0.00947578+0.0314434j -0.0238981+0.0431652j -0.0259373+0.0360177j 0.00180276+0.0375474j 0.0193598+0.0278856j 0.0120409-0.0246533j -0.0192408+0.0444068j 0.0329424-0.0145431j -0.0192946+0.031618j 0.0203692+0.0256802j -0.0161469-0.034997j -0.0190753-0.03312j -0.0235794-0.0233264j 0.0216869+0.0303427j -0.0108938-0.0046073j 0.0164978-0.0420104j -0.00970318-0.0477568j -0.012612+0.040891j 0.00605595+0.0264127j 0.025564+0.00269993j 0.0513536+0.0233932j 0.0395615+0.0303652j 0.0236698-0.0319062j -0.0387556-0.0315758j 0.0490571+0.0135748j 0.000989526-0.0356301j 0.0288817+0.0293075j 0.000192037-0.015148j 0.0143612+0.0253757j 0.0244434-0.0320514j -0.0211973-0.0435699j 0.000506225+0.00471966j 0.00812109+0.0159458j -0.00446693+0.0354279j 0.000810428+0.000471025j 0.0333807+0.040623j -0.0358645-0.00966571j -0.012326-0.0062314j -0.0123495+0.0130831j 0.000786727-0.0408518j 0.0481777-0.0195993j -0.0187024-0.000459622j 0.067578-0.0353409j -0.0288937+0.0261537j 0.0208701+0.00778476j -0.026422+0.0648767j -0.00457321-0.00703535j -0.0279122-0.0129684j -0.0406355-0.0236101j -0.0464038-0.0275451j -0.0581517+0.0245463j -0.0175551+0.035396j 0.0615165-0.0471585j -0.0092126+0.0517939j 0.0439645+0.0525843j 0.170827-0.006798j 0.131054-0.0395127j 0.0414793-0.0525903j 0.0270396-0.05342j 0.036025+0.0388754j 0.0219209+0.0220192j -0.0345568+0.00500909j -0.0315645-0.0462311j -0.0115769+0.0630467j 0.0616875+0.0180012j -0.0146042+0.0315251j 0.00159561-0.0462956j 0.0337093+0.0165974j 0.0418081-0.0378927j 0.0197628+0.0012759j -0.0228591-0.0111927j -0.0103763-0.0448095j 0.00678609+0.0163063j 0.0703847-0.0228534j 0.032064+0.0569302j -0.0451684+0.0441575j 0.0196722-0.0282023j -0.0258775+0.0543252j 0.0080584-0.0287606j 0.010021-0.000909993j -0.00766762+0.0159641j -0.028568-0.0020423j -0.0351716-0.0206515j 0.0746212+0.0447972j 0.0349456-0.0133674j -0.0428943+0.0312648j -0.010627-0.0963532j -0.0374974-0.00777641j 0.0288506+0.00284996j -0.113188+0.00945086j -0.00784888-0.00913354j -0.012671+0.032673j -0.131181-0.0534392j -0.175001+0.0619019j 0.0438166-0.0224925j -0.0144505-0.0139319j 
-0.0124865+0.017924j -0.00597644-0.0045256j -0.0106052-0.0100523j 0.00488123+0.00825319j -0.00364902-0.0151044j 0.000714506+0.00419822j -0.056938+0.00149167j -0.00547655-0.0149837j 0.0388698-0.0317002j 0.0122134+0.0039631j 0.000949308-0.0105003j 0.0274257-3.77726e-05j -0.0663824+0.00571798j -0.0602589+0.0118378j 0.0457375-0.0231835j -0.0177235+0.0216609j -0.0159318-0.0151074j -0.0266092+0.00890093j -0.0342289+0.0363738j 0.0177209+0.00176526j -0.0594392+0.0169355j 0.0275104-0.058059j 0.0104372+0.0457784j 0.0373666-0.0146472j 0.0436023+0.0182823j -0.0325974-0.0344371j 0.0011335+0.00925912j -0.0460426+0.0687554j 0.0156365-0.0114561j -0.0455276-0.00797576j -0.0516363+0.0402738j -0.0249373+0.0181021j 0.0749767-0.03385j -0.0279649+0.00996739j -0.0612373+0.0218304j -0.0365851-0.0363024j -0.00634648+0.0113757j -0.0118609+0.0326254j -0.0116228+0.00745928j 0.0317902-0.0258245j -0.0713466-0.00446988j 0.0308315-0.0731419j 0.0437873-0.00762302j -0.0329003+0.0235536j -0.0190918+0.0265462j 0.0891555-0.0215373j 0.0620999+0.00439488j -0.0125391+0.0353657j 0.0197345+0.068088j 0.0545931-0.0334486j -0.0763282-0.0305834j 0.0611107+0.00439814j 0.0718847+0.0180512j 0.0133945-0.033109j -0.0429976-0.0295675j -0.0294381-0.0385487j 0.016381-0.0383454j -0.0449632-0.00435856j -0.0127497-0.021765j -0.0540243+0.0148075j -0.00370935-0.0109041j 0.0371629-0.00354451j -0.0499518+0.0115662j -0.073308-0.000952549j -0.0150015+0.0113422j 0.0476862+0.0151292j -0.0101108+0.00899678j -0.0593096-0.0137032j 0.0393198-0.0441466j -0.027499-0.00300073j -0.00223139-0.0137345j 0.0162616-0.0301591j -0.011658+0.0190954j 0.00333551+0.0199894j -0.0277499-0.00303575j 0.00926196+0.00707001j 0.0114776+0.00244596j -0.0118324+0.0215855j 0.00033497+0.027515j -0.00645709-0.0498791j -0.0161559+0.0127327j 0.0125928-0.00996267j -0.0422242+0.0383282j -0.0183515-0.0127041j 0.0468804+0.018753j -0.0166542+0.0175087j 0.0206548+0.0559359j 0.0345477+0.00821355j -0.0947551-0.00719955j 0.118323-0.00316118j 0.135587-0.0218514j -0.00576062+0.0533401j 0.0351446+0.0154565j -0.0631946+0.00622482j 0.0656233+0.00726624j 0.0376632+0.0257002j 0.0252014-0.014425j 
0.000558878-0.00943154j -0.016867-0.0132318j -0.0329925-0.0229014j -0.0186616-0.0211789j -0.00966453+0.00219748j -0.00937029-0.0230918j -0.00888985+0.0174262j -0.0517123-0.023973j 0.0298944+0.0279856j -0.0201548-0.0214174j -0.0167269-0.0277451j 0.0224183-0.0263615j -0.0156822+0.0159162j -0.0175268+0.00242998j -0.00832307-0.0210442j -0.0188767-0.00593096j 0.0177673+0.0391577j 0.00336918+0.0614355j -0.0334675-0.00875136j 0.0104479-0.0360331j -0.00581139-0.0534015j 0.0300838-0.00854312j 0.0111471+0.0287335j 0.0504927-0.0253356j -0.0452154-0.097581j -0.0139847+0.0790432j 0.0173763-0.0843205j 0.0103066-0.0979516j -0.00531895+0.00689013j -0.0451693+0.0378476j 0.035027-0.0100727j 0.00282461+0.0448321j -0.0123412+0.0208508j -0.079624-0.00441414j -0.0390607+0.0475895j -0.0250041+0.05066j -0.0617194+0.0423927j -0.00459274+0.0137451j 0.0487083+0.0367951j -0.0293716-0.0213461j 0.0479248+0.0144298j 0.0110076+0.0442688j 0.0227146-0.04403j 0.00797107+0.0385356j -0.0367348+0.000162806j 0.0371597+0.00212345j 0.00142251-0.000785539j 0.01331-0.00319195j 0.00564546-0.0262848j 0.0818261-0.0327749j 0.00137247-0.0854725j 0.0176696-0.0472445j -0.0248297-0.00596476j 0.0526007+0.0291183j -0.0290698+0.029783j -0.0893765+0.0502391j -0.00173817+0.0851932j -0.0673952+0.0431015j 0.0130501+0.0308706j 0.036461+0.0393458j -0.0657849+0.0543171j -0.0148867-0.0087914j 0.0327474-0.019805j 0.0154291-0.0022443j -0.0256572+0.00257787j -0.0518567+0.010647j -0.0120455-0.0335829j 0.0414616+0.00574734j -0.00617551-0.0155858j -0.0049894+0.0094321j 0.0186237+0.000652581j 0.0127445-0.0112355j -0.0161302+0.0145773j -0.00639956+0.00645729j -0.0266117-0.00760663j -0.0144123+0.0289119j -0.000295714-0.0481676j -0.00353984+0.0405149j 0.029487-0.00904417j 0.00468166-0.0114572j 0.00860949-0.00545539j 0.0325632+0.0221767j -0.0117396-0.0147483j -0.00321665+0.00560374j -0.0153008+0.00166055j -0.0466811-0.00529224j 0.0776378-0.118299j -0.0347481+0.0204884j -0.0449358+0.0145307j 0.0888469-0.0402587j 0.0164939+0.0315734j 0.0154253+0.00841479j 0.0216199+0.00574667j 0.12091-0.0322065j -0.118181-0.0564297j -0.0172233+0.00514617j -0.0191094+0.00502841j 
-0.00803046+0.00850854j -0.00197047+0.00862278j -0.00846726-0.0226351j -0.00471349-0.0184214j -0.0249646-0.00634411j -0.01142+0.0115828j -0.00304928+0.025941j -0.010206+0.00298006j 0.0220546+0.0126718j -0.00755557-0.000749949j -0.0431667-0.00228356j 0.0436504+0.0128743j -0.0196018+0.00824165j -0.0063263+0.000923037j -0.0341598-0.0176665j -0.00941139+0.000689511j -0.00956779+0.0115855j 0.0302652+0.00320321j -0.0314324-0.0196488j 0.0268726+0.00871839j 0.0373294+0.0149573j -0.0173202-0.00511604j -0.0344672+0.0424537j 0.0157863-0.00461441j -0.0164422+0.00127299j 0.0176588+0.0316735j 0.0219507-0.0246561j 0.0118255+0.0252256j 0.0083394+0.0133436j 0.00671257+0.00408517j -0.0154581+0.0223194j 0.0542474-0.00779506j -0.053877+0.00359918j -0.0397088+0.00656235j -0.0233808+0.0206916j -0.00641549+0.0269721j -0.060411+0.0415225j -0.0260086-0.0239553j -0.0358261-0.019988j 0.0491256-0.0224282j 0.0136366-0.00417063j 0.013785-0.0143839j 0.0210281-0.0131631j -0.0716073+0.0259854j -0.0416558-0.018546j -0.00160523+0.0107808j 6.57764e-05-0.0339583j -0.0044987-0.0220238j 0.0284916+0.0565282j 0.0565407-0.0152122j 0.0377121-0.0185443j -0.0052154-0.0373128j -0.0627573+0.0252777j -0.0683751-0.0236034j -0.0378887-0.0608288j 0.0555053+0.0123533j 0.103577-0.0473801j 0.121947+0.0137617j 0.00990881+0.0303643j 0.000717856-0.0302852j -0.00162755+0.0131139j 0.0100195-0.0175179j -0.0383661-0.0270165j 0.0168988+0.0499383j 0.00295094-0.0029608j 0.0744615+0.0303606j 0.0420985-0.000887711j -0.0369199-0.00616034j 0.023525-0.0629227j 0.0563756+0.0222315j -0.0347068-0.0392052j -0.0207777-0.0324482j 0.00722201+0.0461478j -0.0101849+0.0400227j 0.00270184-0.00831364j 0.0133038-0.0192686j -0.0222499+0.00717825j 0.0336086+0.0114833j -0.00601008-0.017759j 0.0519955-0.00389974j -0.0116949+0.00860734j -0.011568+0.00713818j 0.0338295+0.0461147j -0.0459562-0.0270778j 0.0519379-0.00529006j -0.0366381+0.00836664j 0.0157952+0.00588226j 0.015394-0.00690333j -0.00194629-0.0168266j 0.0936117-0.0254699j -0.0859212-0.0315385j 0.0196096+0.0308738j -0.00832306-0.111354j -0.104019-0.00892447j 0.0322624+0.0150304j -0.045673+0.021316j 0.0299326+0.0378778j 
-0.0105396+0.00467698j -0.00243494+0.0154065j -0.0137396+0.0197114j -0.00906659+0.000619941j 0.00753065+0.000364818j -0.00662118+0.0153619j -0.00957892+0.0122238j -0.0124837-0.00508617j 0.018135-0.00635274j 0.00362597-0.00259113j -0.0141539+0.0121741j -0.000248463-0.0133719j -0.0275116+0.00595615j -0.0252897-0.000275928j -0.0014448+0.00767194j -0.0242064+0.0117137j 0.00784749-0.0107991j 0.015957-0.00562089j -0.0222153+0.0255843j 0.00160784+0.00257589j -0.00524109-0.0307272j -0.000332765-0.00270948j 0.0384159+0.0107027j -0.0251288+0.00813395j -0.0438729-0.00834361j -0.0281345+0.00216387j -0.0712837+0.0322882j 0.0457749+0.0494586j -0.0268649-0.0143123j -0.000353358+0.00780826j 0.0441688+0.00260826j 0.0275071+0.0378781j -0.0133038-0.0186645j -0.0330705+0.0140529j -0.00210223-0.0118263j -0.0143962-0.0345369j 0.00147691-0.00761003j -0.0541362-0.00332844j -0.00490722+0.00369965j -0.003475+0.00967219j -0.0192264-0.0408602j 0.0308746-0.0187814j 0.00865924-0.0462971j 0.0116034-0.0200268j -0.0366767-0.0102163j 0.0141262+0.000116555j 0.0353738-0.0142194j 0.00785037+0.037531j -0.00134119-0.0245631j 0.0155975+0.00641634j -0.0583908-0.0197723j -0.0093296-0.00129372j 0.0138207+0.0209525j -0.00225693+0.00533283j -0.0188719-0.00459755j 0.026093-0.00557516j -0.00285761-0.0822161j -0.00556333-0.036171j -0.0104714-0.00548718j -0.0231541-0.00983716j 0.019889+0.0173572j 0.000733096-0.0400456j -0.0232367-0.0232788j 0.00468975+0.046789j 0.0309032+0.0411321j 0.033326-0.021705j -0.0249054-0.0468281j -0.0127249+0.0138538j -0.0092287-0.00814272j 0.00428058-0.0234294j 0.00264076-0.00392674j 0.0278216+0.0883702j 0.0417443+0.0446166j 0.0174793-0.00541775j -0.00271273-0.027586j -0.0120815-0.0393944j -0.0142944+0.0190681j -0.0241532-0.0436684j -0.0153794+0.00697198j 0.0309339-0.00924311j 0.023705+0.0130273j 0.0185499+0.000676037j -0.0294435-0.0348773j -0.0330408-0.03623j 0.0119761-0.0106074j -0.00336256-0.00225894j -0.0181561+0.0248881j -0.0129191-0.00759863j -0.0504667-0.023676j 0.0153803-0.022341j 0.0102086-0.00332017j -0.0211555-0.0936495j 0.0126482-0.0510119j -0.0279954+0.0325601j 0.0300752+0.0352038j -0.0327349-0.0394638j -0.0246651+0.0290948j 
