-0.715067-0j 0.70191-0j -0.00147502-0j -0.0837436-0j 0.118317-0j -0.000122148-0j 0.00729508-0j -0.000846266-0j 0.0505418-0j 0.00911537-0j -0.0509611-0j -0.0364084-0j -0.0073556-0j -0.00525509-0j 0.0631532-0j -0.00603005-0j -0.000105121-0j -7.51019e-05-0j 0.0059191-0j 0.00851957-0j -6.25849e-06-0j 0.000493258-0j -0.00653784-0j 0.000709965-0j -0.000502504-0j -8.76006e-06-0j 0.00546389-0j -0.0341111-0j -0.000594653-0j -0.00042484-0j 0.0334835-0j 0.048194-0j -0.0369836-0j -0.00054482-0j 0.000455324-0j 0.0309084-0j 
-0.0713607-0j 0.0732757-0j 0.489184-0j -0.401765-0j -0.290009-0j -0.0832111-0j 0.0716418-0j 0.00603005-0j -0.00519166-0j -0.0300325-0j 0.00516862-0j -0.0109594-0j -0.0713238-0j 0.151234-0j 0.00217636-0j 0.0284655-0j -0.0354313-0j 0.0751279-0j -0.0292293-0j 0.0205474-0j 0.0190467-0j -0.00741031-0j -0.0313657-0j 0.00520926-0j 0.00721666-0j -0.00898266-0j -0.00667204-0j -0.00340415-0j 0.00423718-0j -0.00898445-0j 0.0034955-0j -0.00245724-0j 0.00375098-0j -0.00795193-0j -0.00169152-0j 0.000797901-0j 
-0.0732757-0j 0.074005-0j -0.488011-0j 0.405928-0j 0.268346-0j -0.0816801-0j -0.0735345-0j 0.0059191-0j 0.00532881-0j 0.144882-0j -0.00522218-0j -0.0037309-0j 0.0720629-0j 0.0514843-0j -0.0104991-0j 0.0292293-0j -0.0347793-0j -0.0248476-0j -0.0295202-0j 0.0193226-0j -0.00629944-0j -0.00748407-0j 0.0316907-0j 0.00489873-0j 0.00741031-0j -0.00881738-0j 0.0713017-0j -0.0034955-0j 0.00415922-0j 0.00297149-0j 0.00353029-0j -0.00231076-0j -0.00378985-0j 0.00803433-0j 0.0180766-0j -0.00852688-0j 
-0.00731261-0j -0.00729508-0j 0.00144213-0j -0.0832111-0j 0.117565-0j 0.00567985-0j 0.333778-0j 8.7954e-06-0j 0.000516864-0j -0.423863-0j 0.000529648-0j -0.00112306-0j 0.342033-0j -0.725242-0j -0.000656362-0j 0.00589559-0j -0.000104452-0j 0.000221479-0j 0.00588146-0j -0.00832961-0j -0.00264672-0j -0.0702847-0j -0.00649627-0j 0.0995405-0j -0.0704535-0j 0.00124823-0j 0.00542914-0j -0.000348836-0j 6.18034e-06-0j -1.31047e-05-0j -0.000348-0j 0.000492854-0j 0.000384377-0j 0.0776317-0j -0.0648793-0j -0.000321237-0j 
0.0506632-0j 0.0505418-0j 0.000104506-0j -0.00603005-0j 0.00851957-0j -8.7954e-06-0j -0.000516864-0j 0.00586293-0j 0.344536-0j 0.000656362-0j 0.353058-0j -0.748618-0j -0.000529648-0j 0.00112306-0j -0.437525-0j -0.041106-0j 0.000728276-0j -0.00154422-0j -0.0410075-0j 0.0580768-0j 1.33749e-06-0j 3.55176e-05-0j 0.0452941-0j -5.03017e-05-0j 3.5603e-05-0j -6.30778e-07-0j -0.0378538-0j 0.00241681-0j -4.28186e-05-0j 9.07919e-05-0j 0.00241102-0j -0.00341459-0j -0.00266305-0j -3.92304e-05-0j 3.27861e-05-0j 0.00222559-0j 
-0.00433523-0j -0.0040114-0j -0.117565-0j 0.0485398-0j 0.135664-0j 0.455606-0j -0.186529-0j 0.000705518-0j -0.000288845-0j -0.097755-0j -0.000308961-0j -0.000220733-0j -0.19952-0j -0.142544-0j -0.000151376-0j 0.00349516-0j -0.00837858-0j -0.00598594-0j 0.00323409-0j 0.00976861-0j 0.0715332-0j -0.038648-0j 0.00378949-0j -0.116737-0j -0.0417679-0j 0.100126-0j -0.0104442-0j -0.000206805-0j 0.000495752-0j 0.000354182-0j -0.000191358-0j -0.000577999-0j -0.00022422-0j -0.0452852-0j 0.12481-0j 0.000617974-0j 
0.0416095-0j 0.0420407-0j 0.00603005-0j -0.00972019-0j 0.00351753-0j -0.000996065-0j 0.000436937-0j 0.663967-0j -0.291258-0j 0.000180227-0j -0.285314-0j -0.203838-0j 0.00042802-0j 0.000305792-0j -0.120138-0j 0.0673414-0j -0.0413477-0j -0.0295402-0j 0.0680392-0j -0.0243694-0j 2.55855e-05-0j -5.89305e-05-0j -0.0366032-0j 2.1107e-05-0j -5.83261e-05-0j 3.58123e-05-0j -0.00778615-0j -0.0039593-0j 0.00243102-0j 0.0017368-0j -0.00400033-0j 0.00143279-0j 0.00215207-0j 3.17029e-05-0j 6.74378e-06-0j 0.000457783-0j 
-0.00600582-0j -0.00606806-0j 0.0832111-0j -0.134133-0j 0.0485398-0j 0.643234-0j -0.282163-0j 0.000996065-0j -0.000436937-0j -0.116386-0j -0.00042802-0j -0.000305792-0j -0.276405-0j -0.197473-0j -0.000180227-0j -0.00965838-0j 0.00593025-0j 0.00423678-0j -0.00975847-0j 0.00349516-0j -0.0506303-0j 0.116616-0j 0.00524978-0j -0.0417679-0j 0.11542-0j -0.0708677-0j 0.00111672-0j 0.000571476-0j -0.000350887-0j -0.000250686-0j 0.000577399-0j -0.000206805-0j -0.000310624-0j -0.0627359-0j -0.013345-0j -6.60753e-05-0j 
0.0300354-0j 0.0277918-0j -0.00851957-0j 0.00351753-0j 0.00983113-0j -0.000705518-0j 0.000288845-0j 0.470291-0j -0.192542-0j 0.000151376-0j -0.205951-0j -0.147138-0j 0.000308961-0j 0.000220733-0j -0.100906-0j -0.0243694-0j 0.0584182-0j 0.041736-0j -0.0225491-0j -0.06811-0j -3.61486e-05-0j 1.95303e-05-0j -0.0264216-0j 5.89918e-05-0j 2.1107e-05-0j -5.05974e-05-0j 0.0728205-0j 0.00143279-0j -0.00343467-0j -0.00245385-0j 0.00132576-0j 0.00400449-0j 0.00155344-0j 2.28844e-05-0j -6.30717e-05-0j -0.00428145-0j 
0.00603005-0j -0.0059191-0j -0.000588376-0j 0.0666327-0j 0.0471962-0j 0.000196435-0j 0.00588146-0j 0.00136961-0j 0.0410075-0j 0.00734902-0j -0.0413477-0j -0.0295402-0j -0.00593025-0j -0.00423678-0j 0.0512398-0j -0.461631-0j 0.00403446-0j 0.00288236-0j 0.453137-0j -0.326975-0j -7.595e-06-0j -0.00119401-0j 0.250918-0j 0.000861578-0j 0.00121639-0j -1.06308e-05-0j -0.2097-0j -0.000573782-0j 5.01462e-06-0j 3.58261e-06-0j 0.000563225-0j -0.000406413-0j 0.000311877-0j -0.000661167-0j 0.000552559-0j -0.000260646-0j 
0.00519166-0j 0.00532881-0j 0.0345761-0j 0.0292293-0j 0.0193226-0j -0.00588146-0j 0.00520999-0j -0.0410075-0j 0.0363258-0j 0.0104324-0j 0.0361792-0j -0.0767138-0j 0.00518897-0j -0.0110026-0j 0.0727379-0j 0.199252-0j 0.240951-0j -0.510909-0j 0.204516-0j 0.131719-0j 0.00134624-0j -0.000538899-0j -0.219553-0j -0.00034708-0j -0.000525028-0j -0.000634905-0j -0.493978-0j 0.00024766-0j 0.000299489-0j -0.000635032-0j 0.000254202-0j 0.00016372-0j -0.000272892-0j 0.000578521-0j 0.00130163-0j -0.000613988-0j 
