-0.241563-0j -0.000210829-0j -0.0282863-0j 0.935561-0j -0.000173532-0j 0.00361903-0j 0.00205824-0j -0.000100073-0j 8.79016e-06-0j -0.00018332-0j -0.00463154-0j 0.00146062-0j 0.00147576-0j 7.89388e-06-0j -0.0247267-0j 0.195967-0j -0.00557885-0j -0.00563666-0j 0.197998-0j -0.024983-0j 0.00125252-0j 0.00126549-0j -6.08982e-05-0j -6.15293e-05-0j -0.000115215-0j -0.000116409-0j 4.21964e-07-0j 4.26336e-07-0j -0.000385554-0j -1.09523e-05-0j -0.00038955-0j -1.084e-05-0j 5.06356e-06-0j 5.11604e-06-0j 
-0.0287357-0j 0.000588026-0j 1.75996e-05-0j -0.00361903-0j -0.140932-0j 0.966102-0j 0.000121788-0j 0.00170712-0j -7.4587e-05-0j 0.0005113-0j 1.42727e-06-0j -0.00819002-0j -0.00827489-0j -6.69818e-05-0j 0.140036-0j -0.000245127-0j 1.07345e-05-0j 1.08458e-05-0j -0.000247667-0j 0.141487-0j 7.41127e-05-0j 7.48808e-05-0j 0.00103885-0j 0.00104961-0j 0.000321349-0j 0.000324679-0j -3.58048e-06-0j -3.61758e-06-0j 7.09658e-08-0j -0.0179448-0j 7.17012e-08-0j -0.0177608-0j -4.29658e-05-0j -4.3411e-05-0j 
-0.00802774-0j -0.200005-0j -0.00291942-0j -0.00205824-0j -8.79016e-06-0j 0.000121788-0j 0.959125-0j 0.00148523-0j -8.61257e-05-0j 0.00119328-0j -0.000316445-0j -0.0144016-0j -0.0145508-0j -7.73439e-05-0j -0.00040874-0j -0.000210216-0j 0.172102-0j 0.173885-0j -0.000212394-0j -0.000412976-0j -0.00400482-0j -0.00404632-0j -6.20157e-06-0j -6.26584e-06-0j 0.000749968-0j 0.00075774-0j 0.00120922-0j 0.00122176-0j -1.96949e-05-0j -3.69218e-07-0j -1.9899e-05-0j -3.65431e-07-0j -4.96126e-05-0j -5.01267e-05-0j 
-0.00119605-0j -0.0144938-0j 7.32514e-07-0j -0.000100073-0j -0.0117798-0j -0.00170712-0j -0.00148523-0j 0.99004-0j 0.000596696-0j 8.64731e-05-0j 4.74743e-08-0j 0.100413-0j 0.101453-0j 0.000535854-0j -0.000122429-0j -5.07485e-06-0j -8.69699e-05-0j -8.78712e-05-0j -5.12744e-06-0j -0.000123698-0j 6.20157e-06-0j 6.26584e-06-0j -0.00413391-0j -0.00417675-0j 5.43479e-05-0j 5.49111e-05-0j -0.00837775-0j -0.00846457-0j 1.96571e-09-0j -0.000743467-0j 1.98608e-09-0j -0.000735842-0j 0.000343726-0j 0.000347288-0j 
0.0165714-0j 0.0993558-0j -2.04042e-05-0j 2.97065e-05-0j -0.00170712-0j 0.000166571-0j 0.000292904-0j 0.00204222-0j 8.64731e-05-0j -8.43753e-06-0j -2.3553e-08-0j -0.688337-0j 0.675672-0j 1.10534e-06-0j 0.00169627-0j 0.00014136-0j 0.00181376-0j -0.00178039-0j -0.000138759-0j -0.00166506-0j -8.59233e-05-0j 8.43423e-05-0j -0.000599085-0j 0.000588062-0j -0.000372559-0j 0.000365704-0j -0.0012141-0j 0.00119176-0j -8.22748e-08-0j 0.000104676-0j 8.0761e-08-0j -0.000106638-0j 4.98127e-05-0j -4.88962e-05-0j 
-0.00145559-0j -0.00576145-0j -0.00017244-0j -0.00018332-0j 7.4587e-05-0j -0.0005113-0j -0.00119328-0j 8.64731e-05-0j -0.143154-0j 0.981332-0j -1.39844e-05-0j -0.00041486-0j -0.000419159-0j 0.000656285-0j -7.41127e-05-0j -1.24167e-05-0j -0.000105177-0j -0.000106267-0j -1.25454e-05-0j -7.48808e-05-0j 0.142244-0j 0.143718-0j -0.010308-0j -0.0104148-0j -0.00314856-0j -0.00318119-0j 3.50814e-05-0j 3.54449e-05-0j -6.9532e-07-0j 3.13292e-06-0j -7.02525e-07-0j 3.10079e-06-0j 0.000420977-0j 0.000425339-0j 
-0.000386007-0j 1.60829e-05-0j -0.308552-0j 0.00463154-0j -4.09488e-08-0j 1.42727e-06-0j -0.000316445-0j -4.74743e-08-0j -4.01214e-07-0j 1.39844e-05-0j 0.905079-0j 1.15806e-06-0j 1.17006e-06-0j -3.60305e-07-0j -1.96539e-05-0j -0.0222176-0j 0.00265727-0j 0.00268481-0j -0.0224479-0j -1.98576e-05-0j -0.000192569-0j -0.000194564-0j -2.88899e-08-0j -2.91893e-08-0j 8.78908e-06-0j 8.88016e-06-0j -1.92599e-08-0j -1.94595e-08-0j 0.237448-0j -1.71999e-09-0j 0.239909-0j -1.70235e-09-0j -2.31119e-07-0j -2.33514e-07-0j 
-0.00205824-0j -0.025189-0j 0.0231888-0j 0.000113464-0j -7.35469e-07-0j 2.18322e-07-0j 0.00350026-0j 1.76882e-06-0j -7.20609e-06-0j 2.13911e-06-0j 5.40444e-05-0j -0.00181376-0j 0.00178039-0j -9.21118e-08-0j -0.000104797-0j 0.00166974-0j -0.66654-0j 0.654276-0j -0.00163902-0j 0.000102869-0j -0.0010268-0j 0.00100791-0j -5.18883e-07-0j 5.09335e-07-0j 9.44524e-05-0j -9.27145e-05-0j 0.000101175-0j -9.93137e-05-0j 0.000316074-0j 3.00129e-08-0j -0.000310258-0j -3.05755e-08-0j -4.15106e-06-0j 4.07468e-06-0j 
-0.0352528-0j -2.04042e-05-0j 0.0938238-0j 0.00398564-0j -1.25741e-05-0j 4.98545e-06-0j 4.27543e-06-0j -1.03214e-07-0j 6.36935e-07-0j -2.52535e-07-0j 0.000451868-0j 0.00014136-0j -0.000138759-0j 8.14161e-09-0j -0.00360851-0j -0.650011-0j -0.00166974-0j 0.00163902-0j 0.638051-0j 0.00354212-0j 0.000182787-0j -0.000179424-0j -4.41268e-06-0j 4.33149e-06-0j -1.11507e-05-0j 1.09455e-05-0j 3.05755e-08-0j -3.00129e-08-0j 0.00399928-0j 7.71012e-07-0j -0.00392569-0j -7.85464e-07-0j 3.66906e-07-0j -3.60155e-07-0j 
0.137802-0j 0.000121788-0j -0.000259084-0j 0.000502899-0j -0.0144419-0j 0.00284809-0j -8.31307e-06-0j 2.49e-06-0j -7.64322e-06-0j 1.50733e-06-0j -3.99727e-07-0j -0.00169627-0j 0.00166506-0j -9.76993e-08-0j -0.671543-0j 0.00360851-0j -0.000104797-0j 0.000102869-0j -0.00354212-0j 0.659187-0j -0.000355408-0j 0.000348868-0j 0.000106455-0j -0.000104496-0j 6.65559e-05-0j -6.53313e-05-0j -3.66906e-07-0j 3.60155e-07-0j -1.74782e-06-0j 0.00178653-0j 1.71567e-06-0j -0.00182002-0j -4.40287e-06-0j 4.32185e-06-0j 
0.00698027-0j -0.00119328-0j 0.00253849-0j 2.5474e-05-0j 7.64322e-06-0j -1.50733e-06-0j 8.14512e-05-0j 1.26129e-07-0j -0.0146695-0j 0.00289299-0j 3.91651e-06-0j -8.59233e-05-0j 8.43423e-05-0j 9.57254e-07-0j 0.000355408-0j 0.000182787-0j 0.0010268-0j -0.00100791-0j -0.000179424-0j -0.000348868-0j -0.68213-0j 0.669579-0j -0.0010563-0j 0.00103686-0j -0.000652112-0j 0.000640113-0j 3.59493e-06-0j -3.52878e-06-0j 1.71251e-05-0j -3.11903e-07-0j -1.681e-05-0j 3.17749e-07-0j 4.31391e-05-0j -4.23454e-05-0j 
