0.002708-0.00461196j 0.00139395-0.00230737j 0.00263248-0.00649391j 0.000887035-0.00283519j 0.00185115-0.0043361j -0.00118298-0.00637254j 0.00185092-0.00346977j -0.00199886+0.00456797j -5.57962e-05+0.0036552j 0.00259063+5.96539e-05j 0.000169188-0.00663331j -0.00279883+0.00249376j 0.00135748-0.000137077j 0.00267488-0.00386378j 0.000137708-0.00206306j 0.000252657+0.00137606j -3.14331e-06+0.0019726j -0.00107042-0.000143366j -0.000364349+0.00286173j -0.00188585-0.00117402j 0.000454219+0.00306156j 0.00287731-0.00335386j -0.000853317-0.00243064j 0.00103818-0.000237556j -2.00235e-05-0.00252136j 0.00182663+0.000283585j -0.000587356-0.00262589j 0.000699884-0.00602932j 0.000681131+0.000339875j 0.000828075-0.00451353j 0.00168845-0.00121303j -0.00107836-0.000191304j 0.00114987-0.00287259j -0.00258728+0.000701381j -0.00073135-0.00308372j -0.000169672-0.000431382j 0.000334357-0.000410287j 0.00376224-0.00206661j 0.000987226-0.0016347j 0.000312134+0.00132271j -0.00088999-0.000855314j 0.00223657-0.00142284j -0.000671787+0.00621266j -0.00331997-0.000375742j 0.00615238-0.011359j 0.00604352-0.00193284j -0.000350688-0.00651411j 0.00584269-0.00545616j 0.00848024+0.000161412j 0.00489512+0.0209613j -0.00405721+0.0211409j -0.00728354-0.0231117j -0.0178944+0.00411057j 0.0841112-0.0108782j -0.129968-0.0574643j -0.185321+0.0698247j 
0.00142501-0.00238198j -0.00281048+0.0046301j -0.00115748+0.00277493j 0.00268362-0.00723256j -0.000265393+0.00784661j 0.00188592-0.00387852j 0.00224945-1.34933e-06j 0.00150417-0.00408174j 0.00103156+0.00201619j -0.000574869+0.00163698j 0.00337601-0.00103133j -0.00149786-0.00209853j -0.00275551+0.00235728j 0.000718792+0.00545382j -0.00096718-0.00150176j -0.000586873+0.00319551j 0.000182523+0.00219605j 0.00153121-0.00292233j -0.00213494+0.000187054j -0.00131772-0.000408847j 0.00105179+0.0030534j 0.000429869+0.00203655j 0.0015687-0.00223301j -0.000691944-0.000597059j 0.000978568-0.00196105j -0.00186896+0.00297556j 0.000727405-0.000485497j 0.00123702-0.000327702j 0.00153994-0.000903016j 0.000683425+0.00159634j 5.56654e-06+0.00268546j -0.000362738+0.00103864j -7.9481e-05+0.00127795j 0.000623519-0.00200249j 0.0034892-0.00220974j 0.0022349+0.000494248j -0.00315406-0.00247757j 2.92063e-05+0.0017474j 0.00215563-0.00172394j -0.000737783+0.00427076j 0.00121633+0.00425045j -0.000271833-0.000440617j -0.00116418+0.0039677j -0.000458646-0.00326094j 0.00634277+0.00140099j -0.00739455+0.0121347j 0.004202-0.00600447j -0.000415021-5.97208e-05j 0.00388885+0.00544234j -0.0109356+0.0105461j -0.00519507-0.0303555j -0.00591823-0.0205027j 0.0817321-0.00635897j 0.0151839-0.00769463j 0.184894-0.0691917j -0.130164-0.0573886j 
0.00014784-0.0023106j -0.00334765+0.0041269j -0.00271924+0.000734173j -0.00201033-0.00391282j 0.000240525+0.00525911j 0.000749714-0.00507899j -0.00150596+0.00200779j 0.00583686-0.00781361j 0.00645531-0.00752387j 0.00522718+0.00153738j 0.000827024+0.00105458j -0.000146775-0.00362445j -0.00397242+0.00574945j -0.00255988-8.27964e-05j -0.00150653+0.00348622j -0.00060863-0.00431713j 0.00115287+0.000850718j 0.00355183-0.00510417j -0.00302209-0.00169763j -0.00419458+0.006118j 0.00777004-0.0101162j 0.000509062+0.00350842j -0.00117369-0.000118125j -0.00337658+0.00316992j -0.00329922+0.00483756j -0.00287679+0.00448174j -0.00336121+0.00102865j -0.00701077+0.00519701j 0.00244661+0.0014201j -0.0025601+0.00283732j -0.00602518+0.00695902j -0.00203416-0.000671475j -0.00437227+0.00160422j -0.00224634-0.00550105j 0.00560012-0.00310687j -0.0036266-0.00618223j -0.00181111+0.0110974j -0.00360698+0.00308224j 0.00466866-0.00231333j 0.00104127-0.0031262j 0.00176677+0.00126906j -0.00260267+0.0186783j 0.00236134-0.00416903j -0.00510516-0.00673494j 0.00963716+0.00688875j -0.0006471+0.00840639j -0.0227545+0.0158602j -0.0304161-0.0105769j 0.00940512+0.00557008j -0.0789608+0.0341919j 0.023952+0.016675j -0.0854672+0.0118579j 0.0805445+0.0651143j -0.194482+0.0789579j -0.00154619-0.0197501j 0.0200698-0.00639659j 
0.00366145-0.00534973j -0.000827083-0.00185953j -0.00361847-0.00171535j 0.00113559-0.001434j -0.000284261-0.00279368j -0.00160599-0.00305288j 0.00394766-0.00762944j 0.00435166-0.00592716j -0.00187031-0.00358479j 0.00609681-0.00343057j -0.00512209-0.00205874j -0.00439897+0.00216026j -0.00291987+0.00474295j -0.00238554+0.000835894j 0.00363275-0.00160559j -0.002841+0.00105846j 0.000554718-0.000939556j -0.00230816-0.000194852j -0.00275193+0.00571275j -0.000871717-0.00268023j -0.00105008-0.00413456j 0.00219216-0.00191228j 0.0020747-0.000998914j 0.00368312+0.00299343j -0.000702244+0.00153498j -0.0010003+0.00465546j 0.00671342-0.00103027j 0.00111243+0.000270886j 0.00355083-0.000904698j -0.000441505-0.00363416j 0.00286749+0.00528558j -0.0044936+0.000461472j -0.00116818+0.00230058j -0.00351538+0.00740539j 0.00152433-0.00272657j 0.00143878+0.00912595j 0.000788232-0.000853834j 0.00372731+0.000615153j 0.00612714-0.00632866j -0.00490533-0.0023731j 0.00650492+0.00813701j 0.00693603+0.000518058j 0.00814924+0.0193641j -0.0184137+0.000649186j -0.00842059-0.016063j -0.0135303+0.00477953j -0.0013035+0.0117816j -0.00542973+0.0215884j 0.0989888-0.00385805j -0.014372-0.0208201j -0.00022534+0.0228297j 0.00344562-0.0162636j 0.18023-0.0649319j 0.0835222+0.0647164j 0.0258152-0.000907003j -0.00478382+0.0227715j 
0.000754876+0.00182787j -0.000434161+0.00344743j -0.000965277-0.00137186j 0.000372607-0.00263557j -0.00158437+0.00210664j 0.00578013-0.00679168j -0.0014487+0.00264752j 0.00356652+0.00338189j -4.26488e-05+0.00440124j 0.00332529+0.000341026j 0.0047738-0.00618954j 0.000133542-0.00102806j -0.00490772-0.00229004j -0.00346843-5.3475e-05j 0.00311934-0.00122816j -0.00506054+0.00367531j -0.00264299+0.00321277j 0.00154233-0.00306621j -0.0023846-0.00225861j -0.000459733+0.00359543j -0.00149454+0.00539216j -0.000621896-0.0013289j 0.00579928-0.000255164j -0.00372827-0.00260198j 0.00162953-0.00538981j -0.00331673-0.00160219j 0.000226358+0.00487542j 0.00180069-0.00291483j 0.000757998-0.000200157j 0.00167672+0.000721891j -0.00404132+0.000951202j -0.000927063-0.000291079j 0.0025017-0.00363483j -0.00471029-0.00301326j 0.00110979+0.000848373j -0.00784097-0.0024111j 0.00639003-0.0043271j -0.00250475-0.00741762j 0.00619674-0.0059118j -0.0016282+0.0145741j -0.00685078+0.0122608j 0.0039292-0.00574372j -0.0183084+0.00329853j 0.00215662-0.0056269j 0.0239322-0.0164627j 0.00806875+0.00385565j 0.00315546-0.00332989j -0.0164214-0.014736j -0.0216137-0.00147547j -0.036019+0.00967195j 0.0260963-0.011204j 0.109907-0.0240531j -0.000718886-0.0100812j -0.00707011-0.0355341j 0.0669791-0.113219j 0.0753551+0.159373j 
-0.000366871-0.00219252j 0.00163744+0.00198057j 0.00144675-0.00194986j 0.0026297+0.000902931j 0.00218247-0.00505991j 0.00282703-0.0016626j 0.00521729+0.00113775j -0.000598714+0.0035629j -0.00548531+0.00033589j 0.00115846-0.00223972j -0.00227828-0.000694081j -0.00473379+0.00140879j -0.000794757-0.00150958j 0.000839161-0.00569241j 0.00389847+6.05209e-05j 0.000697563-0.00163701j -0.00239543+0.00173469j -0.00317696+0.000770388j -0.00405823-0.00139934j 0.00140239+0.00279555j -0.0022902-0.000737685j 0.00659803-0.00138963j 0.00120231-0.000198256j 0.000247729-0.000566322j -0.00117258+0.00163714j 0.00589955-0.000640974j -0.000492245-0.00307949j 0.00348324-0.000540868j -0.00119309+0.00269213j 0.00271909-0.000347453j 0.00251475+0.00232386j -0.00170521+0.00133693j 0.00260266-0.0048877j -0.00195631+0.00159399j 0.00211549-0.00125509j 0.000127978-0.000113334j 0.00522846-0.00328177j -0.00107687-0.00559095j -0.00399989-0.00395075j 0.00108814+0.000254933j 0.0060775+0.000659047j 0.00751181+0.00586765j -0.000202879-0.000805507j -0.00524698+0.00235238j 0.00151461+0.00368205j 0.0228066-0.0174627j 0.00473303+0.00514129j -0.00873386-0.00835908j 0.00338431-0.0150972j -0.0188331+0.0108153j -0.0629467+0.0138607j 0.0314241+0.0212556j 0.00637134+0.0400137j -0.0085885-0.0185771j 0.076351+0.181522j -0.0727216+0.119827j 
0.00171227+0.000248965j 0.00147355-0.00136195j -0.00443887+0.0041657j -0.000150658+0.00164588j 0.000820932-0.00315j -0.00296974+0.00900764j 0.000842821-0.00840689j 0.000340873-0.00371352j -0.00207573-0.00596835j 0.00177768-0.00245789j -0.00379494+0.000402778j -0.00190979+0.00432985j -0.00113683+0.0032233j 0.000730895-0.00286502j -0.00292301+0.00292654j -0.000582038-0.00154848j 0.00127353-0.0077556j 0.000683045+0.00439893j -0.00168152+0.00543j -0.00408309-0.00578703j 0.00130646-0.0064943j 0.000642224+9.33666e-05j 0.00116234+0.00101337j 0.00580937+0.00254883j -0.00498739+0.00227464j -0.000215404+0.00491689j 0.00290064-0.00683299j -0.00613968-0.000693436j 0.00418805-0.00402674j -0.00814108-0.00600404j 0.000152253-0.00491551j -0.00815734-0.00316015j -0.0042448+0.00510463j 0.00143474+0.00785367j 0.00427646+0.000316132j 0.00586168+0.00418058j 0.00266832+0.0157187j 0.00281776+0.0110258j -0.000460197+0.00505529j -0.00447316-0.0187526j 0.0131848-0.0255961j -0.00834162+0.00499949j 0.021081-0.00565297j -0.0238025+0.0107383j -0.0131596-0.00422167j -0.0298049-0.00643824j -0.02345-0.00954135j 0.0481386+0.0213656j 0.0180835+0.0296566j -0.00684291+0.017637j 0.022752+0.0509926j -0.168319+0.0538995j -0.0194849-0.0391612j -0.019916-0.014109j 0.0307907-0.0436748j 0.0225181+0.100867j 
0.00196019+0.000425255j 0.00222463-0.00324637j 0.00257406-0.00441584j 0.000341349+0.00590859j 0.00245692-0.0119985j -0.000274196-0.00421331j 0.00364207-0.00345122j -0.000669066+0.0016555j -0.000328704-0.00344128j 9.49518e-05+0.00306566j -0.00190319-4.80417e-05j -0.00285995+0.00373736j 0.00385303+0.00240587j 0.00224916-0.0160988j -0.000370194-0.00161603j 0.00506275-0.00974163j -0.00297703+0.00600829j -0.00242878+0.000855976j -0.00664657+0.0040663j 0.00722976-0.00127037j -0.0030828-0.00196289j 0.00808483-0.00539891j -0.00924739-0.00455753j -0.00445201-0.000441934j 0.00539934+0.00479208j 0.00646316+0.00110771j 0.00403203-0.0203736j 0.00379415-0.0131116j -0.00330731+0.0100451j 0.00310894-0.0104234j 0.00464768+0.00286365j 0.0021063+0.00596417j 0.00146119-0.0073332j -0.00195418-0.00145987j 0.00454866-0.0218829j 0.00560243-0.00637516j 0.000918832-0.00960684j -0.00774267-0.010159j -0.0138044-0.00618019j 0.00418549-0.0109898j 0.00151093-0.00592051j 0.0207569+0.0290781j 0.017017+0.0194138j 0.00745767-0.00824156j -0.0164679+0.037011j 0.0502362-0.0252599j 0.0470926-0.0170812j 0.00701415-0.0191146j 0.0289188-0.0428132j 0.0641409+0.0421838j -0.147705+0.0459558j 0.00144444-0.0445087j -0.00301602-0.0146364j -7.14163e-05-0.00240556j -0.0029857-0.0568166j 0.00889674+0.000918935j 
-0.00412623+0.00518204j 0.00265978+1.03185e-05j 0.00518661+0.00446013j -0.00144883+0.00452233j -0.00122987+0.000897536j -0.00587085+0.0150963j -0.000327849+0.00387553j -0.00560139+0.00406814j 0.00337501-0.00602984j -0.00733022+0.0065015j 0.00511605+0.00650145j 0.00172856+0.00160535j 0.0083659-0.00822665j 0.00138613-0.00656357j -0.00430787+0.00691636j 0.00490753-0.0112667j 0.000457517-0.0021366j 0.0038697+0.00389533j 0.000201736+0.00144244j 0.00451035-0.00310068j -0.00618641-0.00188206j -0.00226833-0.00457636j -0.00825172+0.00776293j 0.00176296-0.000808694j 0.00585761+0.000715363j 0.000897766-0.0105834j -0.00486139+0.00626818j 0.00317685+0.000722864j -0.00243448-0.0035868j 0.00779101+0.00278475j 0.00819172-0.0142876j 0.00771209+0.00343885j -0.0129954+0.0104309j 0.00880396-0.000697067j 0.0019192+0.00337135j 0.00293195-0.0055572j -0.0124221+0.014491j 0.00771163-0.00327764j -0.0161445+0.0216602j 0.00216567-0.0320322j -0.0331984+0.00177311j 0.00339186-0.0141464j -0.0127882+0.00420426j 0.0727087-0.00951098j -0.0411638+0.019114j 0.0366228+0.0224357j 0.0281823+0.000324121j 0.0273802-0.0127881j -0.0194818-0.0500517j 0.142146-0.0622876j 0.0605812+0.0403571j 0.018765-0.00507031j 0.0247196+0.0275013j 0.019644-0.0341603j 0.00263915+0.0161333j -0.00247396+0.0325664j 
-0.00218103+0.00333407j -0.000186094+0.0041185j 0.00234782-0.00272262j -0.00421526+0.00220159j -0.00205176+0.00419944j 0.00316791-0.00802421j -0.00275108+0.0052752j 0.00184866-0.00524329j 0.00369531-0.00584739j 0.00813782-0.000229348j 0.00610376+0.00183573j 0.004583-0.00717889j 0.00586068-0.00741165j -0.00155875+0.00203492j 0.00724641-0.00197911j -0.00371869-0.00688913j 0.00564414+0.00842585j 0.00145967-0.00621946j 0.00245619-0.00212941j 0.00537797+0.00751125j -0.00244989-0.00180413j -0.00895742-0.00376578j -0.00295654+0.00517141j -0.00338019+0.00130839j 0.00801841-0.00475202j -0.0101359-0.00173841j 0.00625541+0.000701179j 0.00795267-0.00354251j -0.00270478+0.00504032j 0.0209509-0.00112041j 0.0083174-9.95631e-05j 0.0168153+0.0026867j -0.00793446+0.00378543j -0.00572917-0.0107158j -0.00850012+0.00390121j -0.0165982-0.0133318j 0.00184611+0.000930895j -0.00841471-0.00647815j 0.00298756+0.00608101j -0.0153837-0.00362677j 0.0132766+0.0131279j -0.00662979+0.0162287j 0.00937572+0.0376175j 0.0680629+0.00610318j 0.0194285-0.0157553j -0.00632717+0.0177499j -0.06608+0.0300152j -0.000620623-0.0272572j -0.143621+0.0318326j -0.0131192-0.0497404j -0.0302481-0.00194533j -0.0437109-0.0549107j -0.0517247-0.00843996j -0.0163244+0.0287133j -0.00803842+0.0029104j 0.00447168+0.00175896j 
0.00299559+0.00350477j -0.000605161-0.00411402j 0.00235032-0.00119385j -0.00215973-0.00272945j -0.0043201+0.00666252j -0.00555774-0.000909413j -0.00293573+0.00373142j -0.000168235+0.00313756j 0.00931853+0.0023399j 0.00270288+0.00671361j 0.00645075-0.00390454j -0.00144779-0.00318033j 0.00350714+0.000271117j 0.00211323+0.00440586j -0.00520645+0.00412945j 0.00108341+0.00151098j -0.00120371-0.00119072j 0.00631138-0.00337675j 0.00241213-0.0056272j -0.00468609+0.0050492j -0.000225759+0.000864472j 0.00256672+0.00619786j -0.0114094+5.17715e-05j 0.00274877-0.000344069j 0.00998375-0.00171071j -0.00389077+0.000555845j 0.00299996+0.00851818j 0.00250775+0.00704584j 0.00558726-0.00600825j 0.00585851+0.00973633j 0.00586436+0.00154976j 0.00637792-0.00264778j -0.0030947-0.00545896j 0.0153487-0.0122638j 0.0109397-0.0080962j 0.00576056-0.00321122j -0.00987359+0.00763875j 0.00371515+0.0028701j -0.0181453+0.00222268j 0.0112803-0.000514385j -0.0149124+0.0171292j 0.0139805+0.00267181j -0.00497452-0.00785998j 0.0148838-0.00362704j -0.0149596+0.0141618j 0.023354+0.00144768j 0.0318593-0.0249388j 0.0778335+0.00701952j 0.00604846+0.0271852j 0.00414357+0.00695087j -0.000754053+0.00422355j 0.0055074+0.0364915j -0.0305486+0.102061j 0.0864084+0.117865j -0.010271-0.00655237j -0.0123021-0.0267945j 
