9.52968e-05+0.00469359j -0.00785915-0.00432099j 0.0048229+0.00338723j 0.00014539-0.0010496j -0.000219408-0.00245522j 0.000354655+0.00395482j 0.00724582+0.0272091j -0.00084597-0.00403289j -0.00138693-0.0142682j 0.00607304+0.02016j -0.00119279-0.00496886j 0.00138351-0.00360876j 0.00221547+0.0062853j 0.000289267-0.00262356j 0.00232625-0.00312409j -0.0109225+0.0323093j -0.0010829+0.0179018j -0.00404413-0.00454719j 0.00260809-0.0128407j -0.00505839+0.00409244j 0.00307605+0.00328091j 0.000604565+0.00630339j -8.22863e-05+0.00123471j -0.000129878-0.00133237j -0.00124716-0.00364019j 0.00121507+0.00235413j 8.04995e-05-0.00621713j 0.00556151+0.000929486j -0.00202378-0.00345333j -0.00029952-0.000688675j 0.000868382+0.00248437j -0.000973168-0.00400118j 0.000738405-0.00373366j -0.00259019+0.00193218j 0.000108296+0.00584473j -0.00199374-0.00822829j -0.0126995+0.00132557j -0.002789+0.00347852j -0.000509635-0.000221612j 0.00142744+0.00398709j 0.000838836-0.00383173j -0.00594296-0.00496309j -0.00787336+0.00241601j -0.00355019-0.00106178j -0.00825655+0.00334379j -0.00324041-0.00490873j -0.00304193-0.00670065j -0.0052584+0.00346622j -0.00792881+0.00494346j -0.00146552+0.00073664j -0.00131761-0.0018013j -0.00996644-0.00294659j -0.00675446+0.00353667j -0.00096216+0.00376498j -0.00214657+0.00403531j 0.000684194-0.0102161j 0.0169816+0.000940046j -0.00455636-0.0043531j 0.00182782-0.0112413j 0.00215789-0.00779918j -0.00169393-0.000873305j -0.00218742-0.00346392j -0.00151329+0.000808962j 0.000334844-0.000882082j -0.00181962-0.00137463j -5.91109e-05-0.00145133j -0.000111385-0.00111504j 0.000124781-0.0016279j -0.000829195+7.10149e-05j 2.0426e-05+0.00374071j -4.92295e-05+0.00117153j 0.000870149+0.00158234j 0.000451837+0.00485029j 0.0011341+0.000876159j -0.00043747+0.00295639j 0.00432788+0.00316299j -0.000836141-0.00257123j 0.00066943-0.000570004j -0.00291824-0.000312986j 0.00109968-0.000328552j 0.0020672-0.00130684j 0.00132054+0.00122498j -0.00534947+0.00582055j -0.00111897+0.00210299j 0.000612139-0.000536148j -0.000652901-0.00193482j -0.00327788+0.00157622j 0.00496187+0.00419004j -0.00286162-0.00200392j 0.00143408-0.000156816j 0.00104985-0.00181663j -0.00118928+0.00285186j -0.00413806+0.00433275j 0.00239913+0.00598088j 0.00531544-0.00246739j 
-3.12225e-05-0.00142306j -0.00135297-0.00135367j 0.000183817+0.000638445j 3.452e-06+0.000682572j -0.000772229-0.000543526j 0.000413789+0.000751192j 0.00297016+0.00157074j -0.000400006-7.56097e-05j -0.00124501-0.00117066j -0.000193666+0.00806325j 0.000579134-0.00211186j 0.000549305-0.000943002j 0.00190821-0.00291615j 0.00200916-0.00593483j 0.00148238-0.00236034j -4.84866e-05+0.000939895j 0.00114339-0.000283445j -0.000245127-0.00210669j -0.000750974+0.00369275j -0.000831088-0.000801828j -0.00117035-0.00939575j 0.000785589-0.0134137j -0.000266182+0.00839459j -0.00211453+0.0108647j 0.00479029-0.000787251j -0.000723664-0.00625325j -0.00213686+0.0154543j -0.0508317+0.00382601j 0.00756311+0.0211823j 0.0015806+0.0145566j -0.00190656+0.00553658j 0.00251997+0.0199188j 0.00442126+0.00470081j 0.000270716+0.0100998j 0.00155143+0.0120346j -0.00249487-0.00417384j -0.000330562-0.00176157j 0.000602083+0.00277451j -0.000209777-0.000783625j 0.000649642+0.00254691j 0.000229085-0.00461467j -0.00041443-0.00424131j -0.000158686+0.000630544j -0.0001494+0.000107026j -0.00145748+0.000971251j 0.000242116+0.000300114j -0.000809388-0.00321766j -0.00155196+0.00155773j 0.000696511-0.00140606j -0.00223014+0.00175715j 0.00149916-0.00277216j -0.00197952-0.00105073j -0.000361385+0.00160349j -2.04167e-05+0.00129473j -0.000297443+0.00118264j -0.000350975-0.00279045j 0.00269379-0.00021904j -0.000735772-0.00178915j 0.000533069-0.00117936j 0.000308244-0.000816727j -0.000270735-0.000414353j -0.000343412-5.41288e-05j -0.000257684-0.000174888j 0.000255443-0.00134812j -0.000766143+2.4136e-05j 0.000578277+0.00103354j -0.000961694+0.000236976j 0.00181149-0.000485738j -0.00116336-0.000854703j -0.000122343+0.00035625j 0.00117283-0.000735567j 0.00138518-0.000300273j 0.00164736-0.00136984j 0.00174274+0.000852268j -0.00270838-0.000171783j 0.000682169+0.00208819j 0.00212682-0.000449011j -0.000546855+0.000281415j -0.000251344+0.000386526j -8.31029e-06-0.000464251j 0.000850118-0.00234616j -0.00198549+0.000657861j -9.54116e-05+0.000813198j 0.000557042+0.000883643j 0.000593968-0.000909185j 0.000641653+0.00060619j -0.000284613+0.000588601j 0.000713313+0.00136777j -0.000147063-0.00133359j -0.000236613+1.15325e-05j 0.000246277-0.000308333j -0.000109536+0.00115585j -0.000726354+0.000974138j 0.000292794+0.00162521j 0.00095446-0.000376416j 
0.00638814-0.0103029j 0.0139423+0.0111033j -0.0106325-0.00395213j -0.000319158-0.00956226j 0.0019209+0.00687007j -0.00187507-0.00782897j -0.00902425+0.00633598j 0.000266398-0.0036999j 0.00808043-0.00432608j -0.0179387+0.00552284j 0.00602084+0.00103579j 0.00237321+0.00166254j -0.0115759-0.00284975j -0.00120606-0.00315631j -0.00750423+0.00341817j 0.0215946+0.012877j 0.0202181-0.0114249j 0.00645139+0.0197349j -0.00514406-0.00937258j 0.0174849+0.0134775j -0.00919572-0.00141354j 0.000474993+0.0124911j -0.00190075+0.00882612j 0.000997375-0.00969232j 0.0018962+0.0153881j -0.00360969+0.00019954j 0.00164101+0.0074743j -0.000674812+0.00492491j 0.000947605+0.0034067j 0.00102007-0.00420402j -0.00522263-0.00941134j -0.0027068-0.00357837j -0.00851238+0.0162881j 0.0165914+0.00168264j 0.00070848+0.0102264j -0.00346235+0.0103317j -0.00457774+0.00444455j 0.00239474+0.00637285j 0.00803593-0.00539011j -0.000188867+0.00225101j 0.00494122-0.00503903j 0.0046095-0.0031589j -0.0090804-0.00126451j -0.000768286+0.0057261j -0.00319982+0.000468138j -0.00043052-0.00418749j 0.00574044-0.00548246j -0.0010056+0.00291145j -0.0058844-0.00121509j -0.00104431+0.00305772j 0.000546898+0.00184795j -0.000861295-0.00640796j 0.00246596+0.00161962j -0.000316362-0.00423364j -0.00223463+0.00570561j 0.00122333+0.00152281j 0.000249404+0.0114175j -8.23219e-05-0.000459089j 0.00427684-0.000752449j 0.00671242+0.00118231j 0.00471129-0.000385672j 0.00152425-0.00153602j -0.000828786+0.0041734j -0.000157624-0.000470916j 0.00020327+0.00192071j 0.00171457+0.00197755j 0.00283745+0.00340652j 0.00231106+0.00381113j -0.000439121+0.00146286j -0.000203225-0.00539354j -0.000305+0.0020207j -2.02554e-05-0.000260513j 0.000265799-0.00261591j -0.00192692-0.00557156j 0.0032217-0.00202123j -0.00153149-0.00514768j -0.000438242-0.000852936j 0.00188476-0.00256502j 0.00636698+0.00357596j -0.000989819-0.00251536j -0.000526899-0.0026808j 0.00170264+0.000996045j 0.00805654-0.00431316j -0.0021126-0.000722833j -0.000141601-0.00257334j -0.00339488+0.0018077j 0.00842463+0.00230755j -0.00664141-0.00778745j 0.00228508-0.000771515j -0.00104593-1.41426e-05j -0.000778402+0.00156564j 0.000642309-0.00182674j 0.00839009-0.00256434j -0.0116558-0.00789963j -0.0111608+0.00510928j 
0.00407444-0.0110361j 0.00620214+0.00368774j -0.00639637-0.00367671j -0.00422286-0.00384002j 0.00545754+0.0107264j 0.00135928-0.000392652j -0.00910444+0.00232175j 0.00692478+0.000542928j 0.00860071+0.00344004j -0.00836855+0.0187793j 0.00653234+0.00696803j -0.00493702-0.00841223j -0.00976303-0.00106564j -0.00107806-0.013717j -0.0039183+0.00068235j 0.021297+0.00469483j 0.0104405-0.0254174j 0.00231895+0.00242535j -0.00642034+0.00594218j 0.0127312+0.00517306j 0.00750469+0.000122101j -0.00187195-0.00245132j -0.0127854-0.00886158j 0.00698017-0.00437952j 0.0104843-0.000629572j 1.93109e-05+0.0104652j 0.00331822-0.00376036j 0.00563282-0.00237806j -0.000294799-0.00218975j -0.00871224-3.47082e-05j 0.00684508+0.00142906j 0.0137922+0.00364316j -0.000445664-0.0101657j -0.00101587+0.014809j 0.00491846+0.00862263j -0.00268331-0.00399941j -0.000618347+0.00198303j 0.00357653+0.0045661j 0.00368349-0.00067391j 6.58893e-05-0.00172127j 0.0072285-0.00248862j 0.00025322+0.00290086j -0.002385-0.00316783j -0.00381694-0.00804213j 0.00307865-0.000880901j -0.000431187-0.00307955j 0.00180476+0.00252865j -0.00200404-0.00344423j -0.00287555-0.00165308j -0.00232905+0.00211628j 0.0018906+5.71437e-05j 0.00159659+0.002554j -0.00105156-0.00120695j -0.00106785-0.00124583j 0.00178459-0.00186462j 0.00407719-0.0008939j -0.00474435-0.00489168j -0.00110901-0.00457489j -0.000371317+0.00270894j -0.00401773+0.00554142j 0.00412121-0.00204117j -0.00270786-0.000289144j 0.00361322-0.00317517j 0.00478404+0.00382608j 0.00143289+0.001608j -0.00328102-0.00648321j -0.00903298+0.00164162j -0.000181824-0.00173919j -0.00281399+0.00146421j 0.00361758+0.00786988j 0.0053877-0.00405176j -0.00172342-0.000226027j -0.000780976+0.00232418j -0.0024149+0.00549694j -0.00999506+0.0051087j 0.000527041+0.00246358j 0.00195095-0.00196451j -0.00464067-0.000145245j -0.00442003-0.00724098j 0.000944804-0.000653538j 0.00355733+0.0064168j -0.00924322+2.50884e-05j -0.00500201+0.00331396j 0.00435159-0.00302599j 0.00438188+0.00563127j 0.00370508-0.0100602j -0.00327017-0.00466303j -0.00280571+0.00166653j -0.00283062+0.00189964j -0.000168932+0.000662838j 0.00137997+0.00289538j -0.000526793-0.00578755j -0.00466857-0.00381325j -0.00355703-0.00360519j 0.00325644+0.0051129j 
-0.0053287+0.00312561j -0.0155746-0.00268098j 0.0295815+0.00326966j 0.00508306+0.00554347j 0.00320414-0.00159789j 0.0029726+0.000950273j -0.0114275-0.000179355j 0.010765+0.000300265j 0.00228102+0.000326085j -0.00502481-0.010981j 0.00781498-0.00347624j -0.0024498+0.00248196j -0.00825697-0.000481483j -0.0126505+0.00225618j -0.00538126-0.011407j 0.00936589+0.00839749j -1.31451e-05-0.00218719j -0.00125654+0.00131716j 0.0025924+0.00222726j 0.00293561+0.00596588j 0.00477782-0.00822944j 0.00570829-0.00131403j 0.00672624+0.0069653j 0.000115373-0.00503329j 0.00298042-0.0015805j -0.0054334+0.00366075j 0.00446201+0.00202767j -0.000571065-0.00113292j -0.00341659+0.0035313j -0.00737748+0.00443999j -0.00130267-0.0106238j 0.00467138-0.00755248j 0.00892208+0.00957467j 0.00198738-0.00698266j 0.00377671+0.000271817j 0.00112899+0.00648961j -0.000753725-0.00527379j -0.00702717-0.00882452j -0.00205573-0.0029699j -0.00485661+0.00112845j -0.00188295-0.00159979j -0.00359099-0.00426837j 0.00101721+0.00266361j 0.00168833-0.0083544j -0.00250357-0.00348596j -0.003367-0.00159632j -0.00471827+0.0017457j 0.00216074-0.00149478j 0.00155379-0.000158736j -0.00246525-0.000844354j 0.0011524-0.000879488j -0.00130237+0.00429174j -0.00606856-7.58603e-07j -0.000197646+0.0095287j 0.00254628-0.000209246j 0.00721606-0.00323426j 0.00510126-0.00617926j 0.00301471-0.00371088j 0.000353797-0.00354496j -0.000636229-0.00155892j -0.0118613-0.00136802j 0.000601676-0.00148491j -0.00538849+0.00473482j 0.00376606-0.000183959j -0.00363644-0.0020437j -0.00204204-0.00304822j 0.00328766+0.00205191j 0.00619496-0.000169159j 0.000246053+0.00402897j 0.00317686-0.00102298j 0.00021774-0.0012308j 0.00301187+0.00148378j -0.00192783-0.00311926j -0.00252426+0.00574665j -0.00137283-0.00169853j -0.00256252-0.00885707j -0.00512375-0.00260426j -0.00246253+0.00118042j 0.0032101-0.000849245j -2.04138e-05+6.88993e-05j -0.00114636-0.00212606j -0.00162399-0.000205325j 0.00379958-0.00441938j -0.000939557-0.00305662j -0.000189555+0.00383942j -0.00296343+0.00464568j -0.00215587-0.00616807j -0.00429521-0.00442212j 0.00504798-0.000382915j -0.000252584+5.08285e-05j 2.94553e-05+0.00102426j -0.00183366-0.0013241j 0.000866409-0.0052315j -0.00368796-0.00242853j -0.00392846+0.00479139j 
-0.00836731+0.00175535j -0.01646+0.0033735j 0.0176985-0.00360447j -0.000230674+0.00565198j -0.00207261+0.00186152j -0.00482891-0.00374432j 0.00497824+0.0109608j -0.00151297-0.00256203j -0.00399977+0.00452258j -0.0110725+0.0122617j -0.0111898+0.000673092j 0.00360699+0.00810793j 0.0022116+0.00974129j 0.0162279-0.00224764j -0.00738449+0.00654195j 0.00244534-0.0140223j -0.00393293+0.00319906j 0.00619049-0.00225046j -0.00429349+0.00188734j 0.00174855-0.00543216j 0.0025472+0.00612633j -0.00448709+0.00864862j -0.00803541+0.00317616j 0.00300347+0.00347065j -0.00162557+0.0103839j 0.00518513-0.00768478j -0.00308297+0.00651751j -0.000512997+0.00346142j -0.000712532-0.00565369j 0.00322197-0.0112622j 0.00426892+0.0040763j -0.00555235+0.0081343j -0.0122087-0.000803938j 0.00983612+0.00203774j 0.00282409+0.00144396j -0.0111183+0.00774689j 0.00287011-0.00295423j 0.00166938-0.00825388j 0.0003074-0.000682638j -0.00620897+0.00164992j 0.000174587-0.00182377j 0.000699986-0.000189552j -4.52612e-05+0.00184838j -0.00142709-0.00498748j 0.000723956-0.00437082j 0.00169639-0.00233037j -0.00470476+0.00091908j 0.000403243-0.000626229j -0.00114737-0.00124574j -0.00301338-0.00239796j 0.00248582-0.00041249j 0.00245567+0.00328773j -0.00214584-0.00415119j -0.00221734+0.00560106j 0.00256284-0.00248482j 0.0073266-0.00133682j -0.00231211-0.00041306j 0.00232783-0.00265448j 0.00639433+0.00269972j 0.00344872+0.00234574j -0.00369627-0.00586241j 0.00277582+0.00116145j -0.00640714-0.00335986j -0.00250824+0.00319187j 0.00245575-0.00160642j 0.00322472+0.00167598j -0.00299873-0.00259912j -0.00380229+0.00787053j -0.00280588-0.00545925j -0.00308956+0.00461654j -0.00383182+0.00207752j 0.000894641-0.00106005j 0.00375966+0.00111694j -0.00233068-0.00358453j 0.00353582-0.0015219j 0.00939659+0.00137951j 0.0036635-0.00148942j 0.00418683-0.00480524j 0.000618289+0.00509946j 0.00307198-0.000399747j 0.00251892+0.00110978j 0.00350466-0.00698792j 0.00129349+0.00503543j 0.000822738+0.000600836j -0.00630342-0.00105075j -0.00192303-0.0010977j 0.00298452+0.00425397j 0.00828055-0.00366738j -0.00139265+0.00294409j 0.000751009-0.000864959j 0.000278761-0.00130766j 7.07523e-05+0.00064177j 0.000770664+0.00461762j 0.00239681-0.000643516j 0.00123063-0.00548849j 
-0.00127935+0.0024372j -0.000644275+0.000455309j 0.00403271+0.00148574j 0.000649186+0.000826585j 0.00181257+0.00384879j 0.00265736+0.00256361j -0.00495635-0.00824437j 0.00404763+0.0124474j 0.00207056+0.0103734j 0.00615605+0.017308j 0.00562466+0.0168189j -0.000623185-0.00940834j -0.00321031-0.0010645j 0.0012192-0.0277371j 0.00266751-0.00347201j 0.00236935+0.00308651j -0.000654393-0.0023412j -0.000861043+0.000263618j 0.00157795+0.00227962j 0.000211167+0.00142357j -0.0103742+0.00254814j -0.00487596+0.00240554j 0.00749112-0.00240487j -0.0073978+0.000284286j -0.0135649+0.00102124j 0.0041782+0.000279616j -0.0043704-0.000866425j -0.000326346-0.00237416j 0.00701377+0.00271224j 0.0170294+0.00477269j -0.0103141-0.00254506j -0.0199401-0.00554351j 0.00209766-0.0014025j -0.000673748-0.00334602j -0.00385329-0.000585265j -0.00621421+0.000892893j -0.00336142-0.000393592j -0.00370377-0.000599676j -0.00218208-0.000163964j -0.00424902+0.0011238j -0.00330104-0.000465061j -0.0031623-0.00193144j -0.000187892+0.00154175j -0.000383076+0.00043145j -0.00220449-0.00113732j 0.00121545+0.00316998j -0.00126614-0.00150073j 0.00203411-0.000229374j 0.00187357-0.00180204j 0.00255958-0.00295253j 0.00206508+0.000531669j -0.00075424+0.00140035j -0.00190902+0.0005928j 0.00160058+0.00196968j 0.000934382+0.000413033j 0.000967324+0.00124859j -0.00272674-0.00188599j 0.00197679+0.000240664j -0.00158351+0.00313029j -0.000606473+0.00155916j -0.00175654+0.00251253j 0.000461073+0.0012296j 0.000128941+0.000432668j -0.00410184-0.00731078j -0.000213263-0.000639713j -0.00256837+0.00718782j 0.00864293-0.00367421j -0.00575309-0.00416134j 0.00821478-0.00183671j -0.00423685-0.00916988j -0.00735721-0.00135717j 0.00357921-0.00114458j -0.00102749+0.000255488j 0.00631975-0.00358605j 0.00775438+0.000504186j -0.00593342+0.00214178j -0.00151853+0.00355654j 0.00720444+0.00522731j -0.00124069+0.004633j -0.000345348+0.00248307j -0.00357821-0.0030745j 0.0102909+0.00342813j -5.21342e-05-0.00449422j -0.00357787-8.99949e-05j -0.000464227-0.00856258j -0.00214369+0.00635038j -0.00503101+0.00416179j -0.000943796+0.00466441j 0.0014045-0.00482585j 0.000157613+0.000432019j 0.000711138-0.000567174j -0.0012307+0.00238629j -0.00152618+4.42262e-06j -0.000853518+0.0017964j 6.61749e-05+0.00130331j 
-0.00496524+0.0113876j -0.011965-0.0127279j 0.00941757+0.00581447j -0.0046572+0.00243753j -0.00948486-0.0171615j 0.0103058+0.00616051j -0.00478332-0.0045097j 0.00814322+0.0108043j -0.0132497+0.000637205j 0.00528063+0.00838226j -0.00435836+0.00695524j -0.00800307-0.00261814j 0.00148588+0.00858271j 0.0100032-0.010145j -0.0139319-0.00539059j 0.000471821-0.00916794j -0.0376096+0.0183788j 0.0123096-0.00851185j 0.00400552+0.00122833j -0.00799835-0.0193147j 0.00879927+0.00149823j 0.00327469-0.00919281j 0.00252981+0.00256955j -0.00148532+0.0098788j 0.00225576-0.0146695j 0.000896353-0.00658576j 0.000873077-0.00550574j 0.0018096-0.00316167j -0.00569619-0.00376036j -0.00745456+0.000447269j 0.00452637+0.0111533j 0.00769675+0.0055783j 0.00293782-0.00556266j -0.00372679-0.00652732j 0.00322412-0.0143823j 0.0167067-0.00616783j 0.00719639-0.00218178j 0.000743331-0.00273073j -0.00520685+0.00364303j 0.00684297-0.00275427j -0.00648162+0.00585051j 0.00135621+0.00509537j 0.00399065+0.00117112j 0.00191351+0.00597735j -0.000483331+0.00391779j -0.00112163+0.00133911j -0.000783588-0.000246718j 0.000857241+0.00251541j 0.00435582+0.00328389j 0.00365373+0.00233866j -0.00489371-0.0028688j 0.0013332-0.0025641j 0.00650566+0.0063281j -0.000678812-0.00113237j -0.00318583-0.000115478j -0.00876782-0.00130804j 0.00658467+0.00181031j -0.00615371+0.00402874j -0.00348117-0.00138263j 0.00874569-0.00485502j -0.00244316+0.00211308j 0.00132123+0.00541564j -0.000200476-0.00128367j -0.000848228+0.00324097j -0.00706138+0.00721141j 0.0041296-0.00081109j 0.00237533+0.00302559j 0.00604251+0.00228032j -0.00342772+0.000447276j -0.000431176+0.00319738j 0.0020047+0.00203471j -0.00408831-0.000400567j -0.000417985+0.00278199j 0.000104812+0.000950188j 0.000158703+0.00225401j 0.00170752+0.00490763j -0.00102485-0.0003397j -0.00178801-0.00143043j -0.000248188-0.00255735j -0.000831892-0.00051016j 0.00196684+0.00130396j -0.00392996+0.00237756j -0.00150676+0.00676529j -0.0026748+0.00356398j 0.00085935+0.00571277j 0.00169998+0.00210577j 0.00468936+0.000398615j 0.010263+0.00364187j 0.00198288+0.00645341j 0.000844542-0.00133001j 0.0013672-0.00467235j -0.00254306+0.00597201j -0.0037055+0.00663461j 0.00413832+0.0133917j 0.0114505-0.00575316j 
0.00221311+0.00371849j 0.00958344-0.00859284j -0.00532995+0.0101091j -0.00554757+0.00551631j -0.00333019-0.00630241j 0.0198146-0.00131305j -0.00718169+0.00159416j 0.0062406-0.000812475j -0.0230698+0.00518518j -0.00227659+0.0024463j -0.00277352-0.00110012j -0.0078639-0.00260569j -0.00859603+0.00145101j 0.00870844+0.00289435j 0.00108134+0.000195494j 0.00970759-0.000784297j -0.0258768+0.0153885j -0.0030572-0.0149276j -0.00010341+0.00954765j -0.0144102-0.00815534j 0.0071002+0.00108571j -0.00196043+0.00362454j 0.00426858+0.00854568j -0.00480724+0.00810133j -0.00385923-0.00927465j -0.00226804-0.0111931j -0.00513625+0.000537546j -0.00157975+8.2666e-05j -0.00144054-0.00220192j 0.00172159-0.00324586j 0.0150659-0.00330808j 0.00568416+0.00682251j -0.0054627+0.00712162j -0.00853448-0.0158241j -0.00602854-0.0165672j 0.0073838+0.00236322j -0.00169814-0.00350563j -0.00545087-0.000259145j -0.00853982+0.00394266j 0.00548154+0.00311783j -0.0114811+0.00481306j 6.47908e-05-0.00291647j 0.00634424+0.00115602j 0.00200806+0.00536585j -0.00221417+0.00249475j -0.000240817+0.00593818j -0.0018086+0.000915002j -0.00190127-0.00157859j 0.0033168+0.00272477j 0.00170401-0.00120081j -0.0023198-0.00522577j -0.000738394-0.00338484j -0.00441503-0.00159573j -0.000733267-0.00282568j -0.00481612-0.00409085j -0.00673954-0.00333139j -0.00240361+0.0006605j -0.000145194+0.00376152j 0.00520826-0.00678005j -0.00263965-0.00927836j -0.00459615-0.000689276j 0.00377538-0.00257457j -0.00540491-0.00041616j -0.000511525-0.00260244j 0.00580403-0.00979104j 0.00117523+0.00157294j 0.000123221-0.00182389j 0.000955072-0.00302597j -0.000483337-0.0011335j 0.0016837+0.00271022j -0.000322063+0.00265942j -0.000164817+0.00282507j 0.00468125-0.00374486j -0.000687975+0.00175716j 0.00496133-0.00577402j 0.00200325-0.00344472j -1.64598e-05-0.0021895j -0.00108282-0.000519357j -0.00119791+0.0067254j -0.000637251-6.11538e-06j 0.00188964-0.00716989j -0.000149876-0.00138378j 0.00119021-0.00317168j 0.00162961-0.000461713j -0.00421044-0.00170181j -0.00201652+0.00395458j -0.00484835-0.00402529j 0.00016085-6.17668e-05j 0.00311735-0.0073866j -0.00091935-0.000193404j -0.00261454-0.00338778j 0.000994787+0.00495395j -0.00115324+0.00366091j 0.0170386+0.00872968j 0.00196371-0.0117814j 
-0.00388729-0.0193466j 0.000471086-0.0108627j 0.00644577+0.0195008j -0.00714099+0.00364789j 0.00175172+0.00779776j -0.000862814-0.00785692j 0.00238635-0.0043458j -0.00425104+0.00265772j -0.00403333-0.0017475j -0.0114098-0.000271525j 0.018987-0.00110637j -0.000270764+0.0032091j 0.00640599+0.00115028j 0.0027962+0.000367893j 0.0231703+0.00582169j 0.00407369+0.00261577j 0.0228653-0.00450639j -0.00574424-0.000193103j -0.00127225-0.000640866j 0.00164277+0.00776404j -0.00107278-0.00460818j 0.00252145+0.000373327j 0.00137341-0.00530703j 0.00199507-0.00540583j -0.00242122+0.00680011j -0.00372035+0.00774916j -0.00105052+0.00170992j 0.00196689+0.00241596j 0.000735454-0.000684491j 6.14032e-05-0.00395681j 0.000682368-0.00158905j 0.00167324+0.00111022j -0.00445346-0.00646005j 0.00214772+0.00769192j 0.00214661+0.00507413j -0.00458229+0.00559949j -0.00709465-0.000146027j -0.00490048+0.0063058j 0.00377164+0.000581371j 0.000199562+0.00560286j 0.00272965+0.000289942j -0.000411024+0.00310996j -0.00189172-0.00548483j -0.00646764-0.00241407j -0.00337589+0.00122945j 4.14279e-05-0.00272229j 0.00387505+0.00308463j -0.000664327-0.00260601j -0.00181551-0.00347113j -0.00406308+0.00120259j 0.0024404-0.00198523j 0.00285889-0.00153032j 0.00235378+0.00602757j 0.00624125-0.000782605j -0.00266065+0.000866613j 0.00375307-0.00421565j -0.0106461-0.0053122j -0.00418083-0.00536538j 0.00497739+0.00279003j 0.0043577-0.00118468j -0.000648564+0.00857657j 0.00535505-0.00108781j -0.000840935+0.00402774j 0.00308144-0.000457511j 0.00478234+0.0106803j -0.00119766-0.00108894j -0.000639444-0.00579405j 0.00387313-0.00399676j 0.00296248-0.000398919j -0.00126051+0.00277564j 0.00420657+0.00507259j -0.00371338+0.00211306j -0.00299242-0.00733795j 0.00808517-0.00496756j -0.00137246+0.00385458j 0.00105239+0.00423602j 0.000639722-0.000888787j 0.00136546-0.00360927j 9.05866e-05-0.0025466j 0.000541493-0.00189701j -0.00133385+0.00104801j -0.000793677+7.62433e-05j 0.00396794-0.00425137j 0.00237766-0.000625332j 0.00484153+0.00131697j 0.00628272-0.000724969j -0.00246299+8.10986e-05j -0.000922123-0.00433444j 0.00387113-0.00587811j -0.00241835+0.000878899j 0.00129704+0.00175158j 0.00268638+0.00113237j -0.000407644-0.0014011j -0.00228905-0.00176267j -0.000234605+0.00443279j 
-0.00701717+0.00356711j -0.0114817+0.00145033j 0.0186728+0.00634589j 0.00423639+0.0101372j 0.00299943+0.00964064j -0.000928505+0.0113022j 0.0020138+0.0116998j 0.00118175-0.00282596j -0.00190645+0.00575619j -0.000599812-0.0118066j -0.00140237+0.0214448j 0.00161577-0.00575747j -0.0105848+0.0134827j -0.00570445+0.00824493j -0.00355368+0.00830579j -0.00733991+0.00520944j 0.00116349-0.0130139j 0.00158741-0.0158122j -0.00253943+0.00787627j -0.000344164+0.00113051j -0.00588957+0.00397346j 0.00135907-0.00134739j -0.00126739+2.8293e-05j -0.00272235-0.00326944j 0.00024084+0.00213823j -0.00173646+0.000962718j -0.00141485-0.00130617j -0.00234521+0.0015081j -0.00051117+0.000936695j 0.00067256-0.000635176j -5.89915e-05-0.000458961j -0.000114631-0.000520438j -0.00117448+0.00181871j -0.000750769+0.000883j -0.000411193+0.00167521j 0.000579578-0.00136428j -1.44076e-05+0.00281558j 0.00288674+0.00379451j 0.00128757-0.000977701j 0.00581882+0.00123761j -0.000231261-0.00116338j 0.00279505+0.000393519j 0.000373502-0.00392561j -5.79547e-05+0.00580914j 0.00111267+0.00269822j 0.000979231+0.00163318j 0.00451676-0.00130331j -0.00273823-0.000384448j -0.00153119+0.00269698j -0.0013591+0.002612j -0.00283208+0.000668729j -0.000224027-0.00426294j 0.00295054+0.00253111j 0.00227277-0.00742853j -0.00365168+0.000333109j -0.00544236+0.000233796j 0.000959479+0.00362557j -0.00101198+0.00441374j 0.000951412-2.63087e-05j -0.000439778+0.000237486j 0.00610042-0.000257659j -0.00127631-0.000755684j 0.00276119-0.000510992j -3.16501e-05+0.0011396j -0.000620532+0.000948994j 0.000376501+0.000327816j 0.000367907+0.00202001j 0.000180259+0.00109401j -0.00139978+0.00283888j -0.00127603-0.00255263j -0.00180025+0.00413062j -0.000918171-0.00523032j 0.0143668-0.00437016j 0.00595992+0.012513j -0.00892616-0.00549705j -0.00467378+0.00482095j 0.000752461+0.00247247j 0.0031088-0.000764298j 0.00168842+0.00436317j 0.00117095-0.00072674j 0.00164496-0.00412305j -0.00253001+0.00269393j 0.0017046+0.00212775j 0.00096671+0.00156184j 0.00118106+0.000470791j -0.000210728+0.000832224j 0.00192129+0.00182452j -0.00253189+0.00284835j -0.00125465-0.00211224j -0.00155743-0.0013601j -0.00276372+0.00298088j -0.00125292+0.00276111j 0.00120394+0.00119107j -0.00063007-0.000246276j -0.00178561-0.000158546j 
