-0.168255-0.0599698j 0.0143167-0.0176221j -0.0313432+0.0212805j 0.00440528-0.00415728j -0.0130647+0.00690618j 0.0118981-0.00633623j -0.00755912+0.00359382j 0.0330326-0.00525316j 0.0201697+0.00316555j 0.00180872-0.00067587j -0.00815953+0.00342047j 0.00324664-0.000497996j -0.00349121+0.000121029j 0.00550208-0.00211915j -0.0137286+0.00240252j -0.0109849+0.00127563j -0.00155151-0.00144898j 0.00076728-5.96644e-05j -0.0125782+0.0033196j 0.00290271+0.000889851j -0.0311799-0.0146284j 0.00264174-0.00345175j 0.0177076+0.0173598j 0.00182164+0.00481653j 
-0.115478+0.337241j -0.0175786-0.015696j 0.0358079+0.0433215j 0.000849276-0.00155898j -0.00194557+0.00666631j -0.00248472-0.00790401j -0.00311584+0.00119658j -0.0121611-0.0291714j -0.000579194-0.0171799j 0.00251667+0.000687929j -0.00658692-0.00137376j 0.000901801+0.00117633j -0.00220182-0.000728992j 0.00511854+0.00217054j -0.00597927-0.000805354j -0.000869242-0.00303178j -0.000790669-0.000793395j 0.0032912-0.0020393j -0.00459525-0.00867222j 0.00072774+0.00104984j 0.00236124+0.0118368j -0.000317142+0.00285889j 0.00333491-0.00384654j 0.000671282+8.37598e-05j 
0.0514255+0.0756336j -0.0254886-0.0362059j -0.00916807-0.00484282j -0.00879995-0.0102427j 0.0158995+0.0341596j 0.0063686-0.0171283j -0.00832949+0.0261996j 0.0101457+0.0102972j 0.00351231+0.00654802j -0.00202482-0.000854163j 0.0108882+0.0135239j 0.00307847-0.00225861j 0.00499781+0.00980399j -0.00861861-0.0131932j -0.00374499+0.0189405j -0.0112919+0.00416618j 0.00118423+0.0114386j -0.00692107-0.00984704j -0.0183421+0.015885j 0.00317268-0.00615151j 0.00344951-0.0142163j 0.00782396-0.00420365j -0.00296559+0.00501435j -0.00106094+0.000117553j 
-0.305237-0.0603673j -0.0191693-0.00561074j -0.0151426+0.0211113j -0.00915774+0.00266768j 0.0188247+0.00452193j -0.00228809+0.0110528j 0.0101629-0.0138979j 0.000913873-0.0110799j 0.000280036-0.00438267j -0.00220769+0.000449948j 0.0107503+0.00304549j 5.34579e-05+0.00434966j 0.00376547+0.00993388j -0.00882419-0.00485187j 0.00516665-0.00682886j 0.00693722-0.00664328j -0.00430514+0.0178469j 0.00172585-0.00255776j 0.0127588-0.00648135j 0.00279296-0.00628795j 0.00721543-0.001317j -0.00286118+0.000105681j -0.00749315+0.00014903j -0.001774-0.000419232j 
0.202514+0.104304j -0.0016288+0.00413111j 0.0253378-0.0243745j 0.00108806-0.00234086j -0.00351419+0.00739111j -0.00354371+0.0171262j 0.00898991-0.0182907j -0.000262448-0.00450473j 0.00320642-0.00207834j 0.00049689+0.000121823j -0.0015907+0.0017959j 0.00344298+0.00565558j -0.00407055+0.0113005j 0.0017843-0.00140422j -0.000135805-0.0182883j 0.00366859+0.00147865j -0.0146011+0.0223133j 0.00174974+0.00945819j 0.0125213-0.00223765j 0.00879897-0.00724023j -0.0222055-0.00734401j -0.00663538-0.00295319j 0.0134038+0.00976541j 0.00135161+0.00399989j 
-0.0282765-0.139822j 0.0396148-0.022117j -0.00709239-0.0235227j 0.000864359-0.00383018j -0.0099147+0.00740962j 0.0136278-0.000108856j -0.0190617-0.00535301j -0.010372-0.00304605j -0.00519266-0.0061487j -0.00236113+0.00185856j 0.00551696-0.00180275j -0.00128116+0.00112778j 0.00339702+0.000870969j -0.00224108-7.65866e-05j 0.0149593-0.00507959j -0.0152953+0.00529186j 0.003159+0.00393883j -0.0192347-0.0017705j -0.00681907-0.00639545j -0.000144351-0.00167448j -0.00449692+0.0186512j -0.00152046+0.00563611j 0.00747156-0.0109307j 0.00313806-0.000867226j 
0.0612351+0.184132j -0.0466296+0.0375715j -0.0232403+0.00917746j 0.00397157+0.00361868j 0.00242609-0.0126097j -0.00430923-0.000446614j 0.00536204+0.00121488j 0.00799536+0.00192859j 0.00411417+0.00354078j 0.00143817-0.00337615j -0.00652275+0.00792742j 0.00285872+0.00640107j 0.00295036-0.00330475j 0.0108328-0.0107254j -0.00125776-0.0128528j -0.00914382-0.00158492j 0.0168389-0.00731279j -0.00681287+0.000854088j -0.00993987-0.00869826j -0.00662237+0.00132684j -0.0106759+0.00113382j 0.000505994+0.00326636j 0.0080035+0.00330093j 0.00173574+0.00133975j 
0.105164+0.149723j 0.00173109+0.0208966j -0.00581965-0.0222211j 5.7397e-05+0.00375556j 0.0109798-0.00666329j 0.0278209+0.00326728j -0.0253049-0.0154308j 0.00666397-0.00491449j 0.00778261-0.00238873j -0.00148106-0.00172078j 0.00358448+0.00281958j -0.000353489-0.00242951j 0.0103333+0.0009588j -0.000110459-0.000441545j -0.00127842+0.00838672j 0.000738264+0.00682865j 0.0204273+0.00856429j 0.000797621+0.00312359j -0.00239598+0.0152083j -0.00697723-0.0081443j -0.00240113-0.0097811j 0.00280415-0.00630675j -0.00172467+0.00348674j -0.00126437+0.000407994j 
0.0067446-0.196243j -0.0143393-0.0152052j -0.0141065-0.00420933j 0.00398072-0.000320529j -0.0062633-0.00306794j -0.000446014+0.00549783j 0.00296742-0.0172777j 0.00233682-0.0322217j 0.00790052-0.0191996j 0.00129209-0.00221511j -0.00968977+0.00531848j -0.00101989+0.00159353j 0.00495461+0.00274419j 0.014435-0.00169199j -0.00536671-0.00547523j 0.00764845+0.00416257j 0.0179381+0.0116269j 0.00757533+0.0070448j 7.20946e-05+8.36339e-05j -0.00602539-0.00808057j 0.00632329+0.0119082j 0.00121395+0.00111784j -0.00209906-0.0086158j -0.000195307-0.00113965j 
0.19649-0.107059j -0.00679719-0.00224401j -0.0176513+0.0141791j -0.0137754+0.0043086j 0.0379306+0.00367538j 0.0150174-0.00123952j -0.00985476-0.0044186j 0.00100888-0.00936106j 0.00234857-0.00531452j 0.0025377+0.00520349j 0.00877098-0.0186544j 0.0025054-0.00785318j 0.000764278-0.0057476j -0.019695+0.0146802j -0.0076903+0.0119986j -0.00420369-0.0153736j -0.0083107-0.00782527j 0.00262001-0.0141879j -5.27683e-05-0.0170359j 0.00227927+0.00681694j -9.72691e-05+0.00286643j -0.00314569+0.00523526j 0.000823252+0.00210686j -4.31092e-05+0.00109857j 
0.244987+0.00624732j 0.033807+0.0431579j -0.0242607+0.0444285j -0.000202587-0.0122424j -0.0124138+0.0170442j -0.00211727-0.00495913j -0.00377392+0.00587104j -0.00675007-0.0176165j -0.00196756-0.0117561j -0.00298249+0.00131492j 0.00723226+0.0040959j 0.00270286+0.0029338j -0.00126242+0.00335995j -0.00542878-0.00864892j 0.000396965-0.00760461j 0.00189244+0.00674167j -0.00642057+0.000269489j -0.00270279+0.00779482j -4.04371e-05+0.00855308j 0.00250755-0.00024799j 0.0077647-0.00503823j 0.00189045-0.00265131j -0.00610978+0.00211533j -0.00147924+0.000300135j 
