-0.0122249+0.0208812j -0.0129379-0.0033763j 0.0103133-0.0138844j -0.0303514+0.00895134j 0.00952542+0.00754715j 0.000219824+0.00352584j 0.0109408-0.00485117j 0.015992-0.0080817j 0.0131001+0.00276213j -0.000947152+0.00221559j -0.0228149-0.000403124j 0.00707325-0.00201291j -0.0234146-0.0132231j -0.0037258-0.00256673j -0.00159531+0.00814787j 0.00041624+0.00213995j 0.00264468-0.00322804j -0.00763709+0.00465915j 0.00576401-0.000597693j 0.00452806+0.000420867j -0.013956+0.0013351j 0.00437147-0.00184844j -0.00695577-0.0115364j -0.00578874-0.00434797j 0.00268212+0.000610051j 0.0178453-0.000465221j -3.18123e-05-0.00198357j -0.00705608+0.00212712j -0.00439519-0.00405194j -0.00703463-0.0201435j 0.00433108+0.00181418j 0.00483254+0.00431766j -0.00156183-0.00134317j 0.00695229-0.00551849j 0.00271884-0.00184656j 0.00223175+0.00217187j 
0.0314142+0.0326488j 0.001708+0.0302968j -0.0113459-0.010064j 0.0117478+0.0336948j 0.0023979-0.0132502j 0.000201068-0.00138349j 0.00153674-0.00143901j -0.00139663-0.00232565j -0.00443662-0.00994648j -0.00036816-9.22145e-05j -0.00310306-0.00207109j -0.000346017-0.00197192j -0.00117373+0.01052j 6.55222e-05-0.00116377j 0.000934986+0.00132676j -0.000748926+7.6235e-06j 0.00171947+0.00208839j -0.00453877-0.00447273j -0.000998033+0.00292137j 0.000209769+0.00343222j 0.000836121-0.00892503j 0.0114338+0.00521727j 0.010078-0.000571088j 0.00333262+0.000247117j -0.00176096-0.000470379j -4.83247e-05+0.0181829j 0.000613909+0.00217734j -0.000699372-0.00117914j -0.0014059-0.00307672j 0.0148508-0.00443093j -8.87776e-05-0.000183068j -0.000940965+0.00531637j 0.000436814-0.00182248j 0.00513001-0.00257135j 0.00178372+0.000300045j 0.000564605+0.00119148j 
0.000773704+0.00113213j 7.14287e-05-0.00136193j -0.00234342+0.00648699j 0.0142526-0.0133851j -0.00866568+0.00422958j -0.00273073-0.000132703j 0.00356242+0.0123655j 0.000588342+0.0086821j 0.00951278-0.026999j -0.00117798+0.000344896j 0.0131248-0.0321939j 0.000617277-0.000639678j -0.01614+0.00997553j 0.0062772-0.00329612j 0.000310464+0.00260696j -0.000689775+0.00286529j 0.00190942+0.000828109j -0.00945151-0.00408167j 0.00103336-0.00131907j 0.00114032+0.00303572j -0.00173389-0.00280723j 0.0136061+0.0227963j -0.0112553+0.00154425j -0.0116069-0.00389822j -0.00103839-0.00170638j -0.00986618-0.0046919j -0.00106791+0.000436026j 0.00317928+0.00418833j -0.0064618-0.0149955j -0.019402-0.00824869j 0.00113152+0.000506769j -0.000753677+0.000344902j 0.00235815+0.000635338j -0.00185771-0.00571176j -9.75934e-05+0.000104424j 0.000916792+0.000411587j 
0.0467444-0.0120117j 0.0394713+0.000504838j 0.00183+0.00388014j 0.00234151-0.0159463j -0.00241947+0.00870271j 0.000581216+0.00230476j 0.00679754-0.00462968j 0.00970954-0.00498406j 0.00233631+0.00916539j 0.000301866+0.000123723j -0.0211518+0.00698997j 0.00130714+4.36094e-05j -0.0126536-0.0102674j -0.0044062-3.97183e-05j 0.00360556+0.00356025j 0.00126638-0.000497413j -0.00107354-0.000309867j 0.00220188-0.00104001j 0.000843504-0.00128579j -0.000321055-0.000735762j 0.000390995+0.00302083j -0.00582378+0.00597306j -0.00494584-0.00141572j -0.00179776-0.00284293j 0.00179139-0.000660124j -0.000569323-0.00907449j -0.000579379-0.000896682j -0.00100639+0.00193449j 0.00196931-0.00342033j -0.00571953-0.00288486j 0.000930494+0.000404554j -0.000515286-0.00116802j 0.000337525+0.000707495j 0.000878521-0.000652174j 0.000144337-0.000150884j 0.000537833+0.000328083j 
0.00190274+0.0021976j 0.00250818+0.000921509j -0.00647575-0.00219742j 0.0147852+0.0124137j -0.00547199-0.00672528j -0.00200625-0.000184624j -0.00460521+0.00593477j 0.00126075+0.00629645j 0.0202767+0.0241496j -0.000189602+0.000536294j 0.0125414+0.00228804j -0.000235787+0.00206298j -0.0099471-0.0378764j 0.000227069+0.0022762j -0.00188882+0.00537156j -0.000120631+0.00241162j 0.000831767-0.0021022j -0.00701321+0.00654519j -0.000800506-0.00186128j 0.00230271-0.00117459j -0.00304781+0.00163876j 0.0222311-0.0103543j -0.00288065+0.0105869j -0.00685165+0.00986894j -0.00258942-0.000227523j -0.00671178+0.00973591j -0.000954605-0.000421354j 0.00423765-0.00341719j -0.015465+0.00558084j -0.0117411+0.0155234j 0.000826989+2.53596e-05j 0.00117232+0.0013876j 1.23821e-05-0.00226542j -0.00579385+0.0025363j -0.000370783-0.000170691j 1.80605e-05-0.000363163j 
0.0105342-0.0440306j 0.00456451-0.0355294j -0.00306769-0.0130006j -0.00441577+0.0310763j 0.00543478-0.0118669j -0.000128016-0.00170484j 0.000845566+0.00137945j -0.000987693-0.000119837j 0.000500371-0.00855548j -0.00026231-0.000338319j 0.00122548-0.00403414j 0.00040653-0.00105443j -0.00334631+0.00676773j 0.000826107-0.000928943j -5.30498e-05+0.000850224j -0.000721492+0.000824362j 0.00225004+0.00105398j -0.0065238-0.00125884j 0.000324847+0.00243073j 0.00167552+0.00291968j -0.00278766-0.00816228j 0.0131548-0.000554511j 0.00691639-0.00321987j 0.00165517-0.000198726j -0.00231178+0.000422728j 0.00617096+0.0163392j 0.000303614+0.00154004j -0.00110091-0.00112135j -0.00290333-0.00155252j 0.00994294-0.00804082j 6.02712e-05+5.40179e-05j 0.00191025+0.0053444j -0.000445368-0.00175444j 0.00350653-0.00335662j 0.00153215-0.000420893j 0.000715219+0.000844701j 
0.0197968+0.0117624j 0.0183761+0.00190535j 0.0151984-0.00141981j -0.0352839-0.00148716j 0.0130924+0.000626143j 0.00110438-0.0024478j -0.0130954+0.0078526j -0.0143272+0.00724921j 0.00280625-0.0093796j 0.00239767+0.000994368j 0.0303458-0.0123311j -0.00153654-0.000778791j 0.0140987+0.00391724j 0.00493286-0.000397179j -0.00466494-0.00170935j -0.002385+0.00222963j 0.00211167-0.00227325j -0.00533235+0.00926098j 0.00196363+0.000313006j 0.0015836-0.00157034j -0.00985681+0.00220266j -0.000707679-0.0197798j -0.00115411-0.0047274j -0.00151251+0.000746659j -0.00107131+0.00414236j 0.0157813-0.00407819j 0.00285621-0.000204187j -0.000703556-0.00176626j -0.00171376+0.00618853j -0.00931161-0.00438514j -0.000542105+0.000976225j 0.00379549-0.00319312j -0.00120844+0.000553594j -0.00485695+0.000303865j -0.000892627-0.000642118j -0.000247549-0.000698337j 
-0.00216964+0.0189623j 0.0107704-0.0215001j 0.00464665-0.01787j 0.00696468+0.000294312j -0.0216471+0.0149643j -0.0012577+0.00655844j 0.00225936-0.00802777j 0.00710603-0.0141436j 0.00549963-0.0070122j -0.00741683+0.00690379j 0.0101996-0.000115647j 0.0146561-0.00782537j 0.01816+0.00257129j 0.00506923-0.00358362j -0.0233123+0.00103825j -0.00371455+0.0024816j 0.00440244-0.00578282j -0.00483872+0.00860919j 0.00683199-0.00371139j -0.0017331+0.000453418j -0.0108684+0.00965552j -0.00599662+0.00192348j -0.00675534+0.000257372j -0.0132653+0.00603884j 0.00670558-0.00235352j -0.0089166+0.00133924j -0.00471827-0.00480954j -0.016578+3.22599e-05j -0.00277737+0.00220281j 0.00860847+0.00988336j 0.0131234+0.00272407j -0.00518049+0.00716164j 0.000406301-0.00294499j 0.022503+0.00787253j 0.00575387+0.00101578j 0.000751335+0.00524042j 
0.0509485+0.0108817j -0.0531957-0.0217885j -0.0314991-0.00727301j 0.00434007-0.00158227j 0.0256898+0.0279089j 0.00463366-0.000132603j -0.00463898-0.00650136j -0.0145004-0.0093694j -0.00975339-0.0071276j -1.03203e-05+0.00352315j 0.00239352-0.000167809j -0.00867668-0.0110251j -0.00410558-0.00954036j 0.00078342-0.00018122j 0.00343715+0.0147365j -0.00269384+0.000907593j 0.00160086+0.000897611j -0.0055029+0.0027707j -0.00245324+0.000592992j -0.00418623-0.0011146j -0.00375402+0.000377994j -0.003349-0.00317502j 0.00717162+0.0040641j -0.001646+0.000465943j -9.1403e-05+0.00248129j 0.000208546-0.00500923j 0.00611292+0.00382509j 3.98972e-05-0.00102799j 0.00170641-0.00144266j -0.00686626+0.000792941j 0.000433455+0.00134987j -0.00605584-0.00629684j 0.00313816+0.0018523j 0.00137415+0.000623532j 0.000420622+0.00195212j 0.000688034+0.00196673j 
0.00219292-0.0176713j -0.00421161+0.0168476j -0.00398181-0.00955734j 0.000812028+0.00124691j -0.0027981+0.0100989j 0.00745383+0.00476823j -0.0147956-0.0167993j -1.51618e-05-0.00966811j 0.012753+0.0124199j 0.00973685+0.0233557j -0.000762405-0.0130441j 0.00545912+0.00584735j 0.00419061+0.011537j -3.38673e-05-0.022646j -0.00176812+0.00532851j 0.00336666-0.00290596j -0.00303556-0.00294307j 0.0174053+0.00872047j 0.00288675+0.00511269j 0.00988674+0.0028018j -0.00253886+0.00717053j -0.00158823+0.00571078j 0.000152052-0.0183752j 0.00998444+0.00147765j 0.0125032+0.00269517j -0.00169713+0.00208187j 0.00740509-0.0137864j 0.00486731-0.00352167j -0.0160408-0.00896438j 0.000406884+0.00554157j -0.0047041+0.00304117j -0.00450334+0.0154174j -0.000604151-0.0106028j -0.00796605-0.00256719j 0.00230271-0.00270965j -0.000291411-0.000861141j 
0.0257677-0.0448986j -0.0318898+0.0411179j 0.00608736+0.0134204j -0.00109185-0.00363081j 0.00204079-0.0159138j -0.00344442+0.00309225j 0.00373089-0.00062824j 0.00788905-5.70348e-05j 0.00345325+0.00419968j -0.00591745+0.00339085j 0.00254714-0.000625416j 0.0063435+0.000460861j 0.00166513+0.00275672j 0.00424706-0.00111062j -0.00764157-0.0015408j -0.00119666+0.00298568j -0.00152869-0.00515271j -0.00920473+0.000358976j -0.000622027-0.00177111j -0.00230456-0.00686757j -0.0055508+0.0180281j -0.00115289+0.00348866j 0.00872579-0.00412971j 0.000195415-0.00150245j 0.00404573-0.0172247j -0.00312657+0.00141329j 0.0123079-0.00543911j -0.000261376+0.00536712j -0.00808657+0.0142064j -0.000419633-0.00484037j 0.000884637-0.00671177j -0.0136875+0.000377968j 6.35923e-05+0.00224717j 0.00760591-0.0101173j 0.00271467+0.00107655j 0.00227033-0.000229945j 
