0.00988927+0.0327983j -0.0183543-0.0067808j -0.0146964+0.00848259j 0.0113395+0.0502719j -0.00143411+0.00612325j 0.00482139-0.0118319j 0.0148518-0.00284265j 0.0158467-0.00960421j 0.022404+0.0753088j -0.00062898+0.00757731j 0.000835643-0.00615432j 0.00334644+0.0139458j 0.00489316+0.0293392j -0.0108634-0.019842j 0.0254634+0.0270544j 0.00666457-0.012557j -0.0160414-0.026837j -0.010529-0.0237355j -0.0205306-0.0125786j 0.026602+0.0302806j 0.0079137+0.0135727j -0.00775229-0.0183117j 0.0150182-0.00532259j 0.00332967-0.0045444j 0.00735572+0.00413374j -0.00858973+0.00335346j 0.00876484-0.0157244j 0.00310477+0.034781j 0.00208889-0.000248196j -0.0192772+0.0102459j -0.000852587-0.0160162j -0.0132298-0.0165157j 0.00268539+0.00340671j 0.00121711-0.0239288j -0.00731397+0.00614214j 0.00202158+0.0134315j -0.0024245-0.0188172j -0.0148733-0.00588876j -0.0177831+0.00210241j 0.00464375+0.0201722j 0.000646813-0.00900236j 0.00016585+0.0131943j -0.00747562+0.000894344j -0.0146454+0.000135688j 0.00630718-0.0208034j -0.00121726-0.00829883j -0.00767445-0.0151667j 0.00375762-0.00633527j -0.0097736+0.0376117j 0.0151817+0.0327704j 0.0104497+0.00668604j 0.00205492+0.0467073j 0.0146884+0.0321431j 0.00557792+0.0188813j -0.0213557-0.034371j 0.00898872+0.0139976j 0.00968546-0.0141167j 0.0152068+0.00260021j 0.00743016+0.0676858j -0.0196518-0.0243656j -0.0107863-0.0223805j -0.0322206-0.022391j -0.0119436+0.0151851j -0.0250487-0.0266329j -0.00181503-0.00118614j -0.0470592-0.023012j -0.025835+0.00254162j 0.0195294-0.0407578j -0.00952825+0.0133593j 0.0118707-0.00267961j 0.013099-0.0477496j -0.0112867-0.00328787j -0.0275112-0.0219231j 0.0269585+0.0702764j -0.0632252-0.0413914j -0.0308935+0.0432735j -0.0718372+0.0961361j -0.0339583+0.0354958j 0.0339861+0.113175j 0.015722+0.100135j 0.0436475+0.107068j -0.0079441+0.0453682j -0.00996198-0.098022j 0.0906095+0.0205336j 0.00836805-0.0990661j -0.0238064-0.0224985j 0.0120753-0.00378238j -0.0250608+0.0108095j 0.0346449-0.0102768j -0.0258294-0.0331682j 0.000621861-0.0269656j -0.0085353+0.0404345j -0.0396146-0.0579262j 0.0346936-0.0106574j -0.0165971+0.0539382j -0.0452739+0.119175j 0.0423503+0.337668j 
0.0187663+0.00757582j 0.00864687+0.0325792j 0.0140807+0.0394088j 0.0217411+0.0041753j 0.00925819+0.00554289j -0.00370977-0.00761682j -0.0141793-0.0396795j -0.00962756-0.0360181j 0.0330659-0.0077795j -4.78816e-06-0.00286572j -0.0055479-0.00878389j 0.0026508+0.00644197j 0.0187088+0.00939623j -0.0163257+0.00736652j 2.20991e-06-0.0462474j -0.00922565-0.0152685j -0.018186+0.0123456j -0.00749736+0.0132199j -0.00706556+0.0361211j 0.00367213-0.021888j 0.00420064-0.0232387j -0.00481159+0.00742401j -0.00520675-0.0276824j -0.000718311-0.00821704j -0.00666385-0.0156457j 0.00124423+0.0171965j -0.0126392-0.0286195j 0.016231+0.00832795j -0.00212207-0.010597j 0.00754148+0.0300905j -0.00984328-0.00685794j -0.00635814+0.0192753j 0.00744124+0.000849912j -0.0160258-0.0128231j 0.00284104+0.0197046j 0.00793223+0.00289491j -0.00999229-0.0126624j -0.00198998+0.020002j 0.00590418+0.0237038j 0.0058675+0.00397021j -0.000165042-0.00254369j 0.00342608+0.000632318j 0.00369495+0.0150451j -0.00108971+0.0265877j -0.0136006-0.0222443j 0.00342783+0.0056701j -0.0130521+0.00142808j 0.00212811-0.0104841j 0.025143+0.0301846j 0.0099604-0.0201048j -0.0037606-0.0238867j 0.0225194+0.00542134j 0.00890167-0.0110068j 0.00873129+0.00451506j -0.0129815+0.0306315j -0.000691435-0.00987323j -0.00915221-0.0199342j -0.003015-0.0167789j 0.0352305+0.00435356j -0.0127028+0.0272002j -0.00884141+0.0208318j -0.011171+0.0566486j 0.0155146+0.01412j -0.00232172+0.0275506j -0.00643535-0.00669665j 0.000206753+0.0756459j 0.0129019+0.0534853j -0.0325845-0.0428119j 0.00549385+0.0267101j 0.00948402-0.00485258j -0.0300513-0.0252385j -0.00521968+0.0128764j -0.0072349+0.0336887j 0.0345052-0.0379441j -0.00235268+0.110775j 0.0291375+0.0710666j 0.0758619+0.143466j 0.0212298+0.0721065j 0.0735601-0.0408794j 0.0507293+0.00226043j 0.0605435-0.0570273j 0.0183448+0.00742812j -0.0708104-0.00882023j -0.00346728-0.159294j -0.0475568-0.0106145j -0.024163+0.0149389j -0.00321395-0.0304126j 0.0139912+0.0110436j -0.00862544-0.0468106j -0.0199794+0.0253084j -0.0315533-0.00315399j 0.0345032+0.052715j -0.0162471+0.0465514j -0.0268364+0.00666309j -0.033819+0.00881553j 0.0402602+0.330694j 0.0439549-0.131827j 
-0.0243562-0.0102353j -0.0125352-0.0135455j -0.0100991-0.0162781j -0.0193688-0.030705j -0.0136674+0.0163455j 0.00909664+0.0202474j 0.0172931-0.0154181j 0.0178841+0.0326112j -0.0384149-0.0610342j -0.00752575-0.0232618j -0.0010584-0.00653538j -0.00598264-0.0495573j -0.0206969+0.0102347j 0.009834-0.0162764j -0.00864414-0.0556375j 0.0108442+0.0064415j 0.0141559-0.0118235j 0.00720089+0.0216929j 0.0156894+0.0314697j -0.0221915-0.0874696j -0.0112194-0.00633229j 0.00461331+0.0112279j -0.00423995-0.0216157j 0.00110827+0.0250222j 0.00440275-0.014161j -0.00895347-0.0150061j 0.00492888-0.0302006j -0.0315509-0.0520351j 0.00603582-0.0120818j -0.0121736-0.00266808j 0.0194571+0.0250867j 0.00706624+0.00857004j -0.0163516-0.00326479j 0.0154318-0.00873459j 0.0107029+0.0288481j -0.0154632-0.000925642j 0.0205312+0.022318j 0.00782421+0.00574533j 0.00459545+0.026941j -0.0254978-0.0451889j 0.0122869+0.0126635j -0.0153219-0.0227353j 0.0186821+0.0411667j -0.000134082-0.030262j -0.00123417-0.0283102j -0.00982453-0.00779533j 0.0134386-0.0212804j 0.00485581+0.0502458j -0.000902472+0.0468616j -0.0264074-0.0288073j -0.0128432-0.0517442j 0.00125074+0.0218306j -0.0241563-0.0461707j -0.0222907-0.00327182j 0.0139095-0.0201804j -0.0345194-0.0632312j -0.0115628+0.00487806j -0.00742066+0.00723138j 0.00402245+0.0159851j 0.0112024-0.00988431j -0.00972605+0.000291822j -0.0127624-0.0433575j 0.0306643+0.0343702j 0.05126+0.071747j 0.0311499-0.02529j 0.0139725+0.0340603j -0.0409915-0.058179j 0.0155981-0.0664516j -0.0224729-0.0474306j -0.0333752+0.100955j -0.0188843-0.0827356j -0.00429911-0.0163742j 0.0471456+0.0611696j -0.0228373+0.012698j -0.016569+0.0728348j -0.0708766-0.0417137j -0.0349871+0.0472128j -0.0672792-0.0324234j 0.00432075+0.0361634j -0.016485+0.0368299j -0.0556118-0.026857j 0.000886443+0.00478585j 0.0466781-0.0658648j -0.00711465-0.0943937j -0.000504518-0.00765616j 0.019253+0.0152338j -0.0341624-0.0159318j 0.0712797+0.0669662j 0.0193634-0.0350163j 0.0281908-0.0209704j -0.0169632-0.0019674j -0.0166343+0.0175378j 0.044975+0.00400147j 0.0491581-0.0529443j -0.0329149-0.32745j -0.0248299+0.120819j -0.049941-0.0740558j 
0.0119162-0.00556844j -0.0463942-0.0232942j -0.0370336-0.0385536j 0.00736333-0.0370905j 0.00647435+0.0112623j 0.0217645-0.00736151j 0.0300403+0.00911205j 0.0367035+0.0284394j 0.0206234-0.0470294j -0.00834348+0.0117054j -0.0013712-0.000354805j -0.0175896-0.0260536j 0.00818106-0.0180572j -0.00878086+0.0112227j 0.0332084-0.00213863j 0.00830394+0.00947248j -0.0264259+0.0187382j -0.00259529+0.00782783j -0.0254982-0.021242j 0.0206559-0.0144935j -0.00171541+0.0128931j -0.014282-0.00109091j 0.0145554+0.0124171j 0.0192884+0.00458968j 0.00568986-0.00866322j -0.0250403-0.00347949j 0.014569+0.0293405j -0.0196388-0.0104755j -0.00397479-0.00761457j -0.0248378+0.00505202j 0.014751-0.00159778j -0.00363748+0.00522394j 0.00677709+0.0107404j 0.000607087+0.00858765j -0.00206311-0.0218256j -0.00395144+0.00105354j 0.0195643+0.00799474j -0.0153597-0.00594082j -0.00263166+0.0020128j 0.0073977+0.0147092j 0.0287235+0.00440479j -0.0165753+0.00392189j 0.0158414-0.027119j -0.0119111-0.0276253j 5.54251e-05+0.0312252j 0.0118968+0.035208j -0.0264803+0.00255725j 0.0281865+0.0157072j -0.0104311-0.0474205j -9.47332e-05+0.0165173j -0.00719757+0.0134178j 0.0147543-0.0550217j 0.00480753-0.0288085j 0.0212372+0.0130339j -0.027031-0.00746576j -0.0346333+0.024846j 0.0284295+0.0633158j 0.0594984+0.0388023j -0.00488768-0.113531j -0.0217943-0.0282042j 7.7869e-05+0.0475201j -0.0370165+0.0459546j -0.0364944-0.0668303j -0.00140255-0.0278384j -0.0213098-0.0493433j -0.047924-0.00327889j -0.0980293-0.0129188j 0.0305172+0.0332281j -0.0464226+0.00322405j 0.0347297+0.0601976j -0.0141431+0.0557941j -0.0240916+0.0163062j 0.0002027-0.010414j 0.0464636-0.0259253j -0.0523253+0.04789j -0.065268+0.0144189j -0.109159-0.0955578j -0.0601668+0.00912481j 0.0268998-0.133689j 0.0170444-0.0621165j 0.0149455-0.0550924j -0.0229272-0.0536408j -0.016189+0.0844675j 0.0838976-0.0184061j 0.0371268+0.0837049j 0.00951128+0.052247j 0.032697+0.0231606j -0.00288215-0.0662603j 0.0490347-0.0399751j -0.0015008+0.0342274j -0.00681135+0.0480726j -0.0973227-0.00424743j -0.0917904-0.0207437j 0.0290397-0.134529j -0.0685341+0.0477098j -0.112005-0.183543j 0.0481838-0.200476j 
-0.0270256-0.000678757j -0.0158776+0.0238439j -0.039167+0.018806j -0.0540383-0.00448044j -0.0141071+0.0118221j 0.0207838+0.00110294j 0.00557861-0.0147072j 0.0135391-0.037675j -0.0570494-0.000864569j -0.0127661+0.00378944j 0.0321032-0.00473916j -0.0117867+0.00882621j -0.0141529-0.00320289j 0.0254482+0.0393041j 0.00735655-0.0213389j 0.0117177-0.0203102j 0.0110727+0.0176192j 0.0159021+0.00820001j 0.0315223+0.0136864j -0.00130564+0.0165788j -0.00159971-0.0347302j 0.029958-0.00684778j 0.00784868-0.00732998j 0.00260988-0.00588095j 0.00705661-0.0179447j -0.0166695+0.0104949j 0.00710358-0.00326145j -0.0179816+0.0172255j -0.00449611-0.00425177j -0.0412573+0.0308921j 0.012948-0.0212977j 0.0128875+0.0301077j -0.00658769+0.0115104j 0.0166719-0.0115812j 0.0140287+0.000568903j 0.000387948-0.0010024j -0.00145635-0.00841828j -0.00452315+0.0132199j -0.024551+0.0296532j -0.01437+0.0518028j -0.0122705+0.0228609j 0.00997102-0.00559187j -0.0162548+0.0174492j 0.0050482+0.0696442j 0.00619223-0.0149951j -0.0188037+0.03373j 0.00667675-0.0120275j -0.0258377-0.0329496j -0.0205157+0.0108723j -0.0582256-0.0589413j -0.021783-0.018517j -0.0259777+0.0235513j 0.0112483+0.0244851j 0.0196875+0.040274j 0.00191453+0.0432712j 0.0136766-0.0139834j -0.00908955-0.0194725j -0.00926008+0.027003j -0.0420147-0.0136523j 0.0622588+0.0512032j 0.0165213+0.0360304j -0.0120936+0.0892605j -0.038508-0.0387971j -0.000154025+0.00883537j -0.00796563-0.0193036j -0.00625789+0.0700964j 0.0355059+0.0474659j 0.0171574-0.00611895j -0.0202984+0.0284819j 0.0158636-0.0911675j 0.040864-0.00627922j -0.0149884+0.00739395j 0.0279901+0.034992j -0.042747-0.019375j 0.0442548+0.0734144j -0.0174992+0.10353j -0.0762525+0.104711j -0.00822475+0.0934493j -0.101755-0.0446708j -0.0786087-0.00795813j -0.103849-0.0513841j -0.0177808+0.0134069j 0.0551221+0.0323867j -0.0330289-0.0949558j 0.0856636-0.0297029j 0.0106321+0.0201897j 0.0191768+0.0185162j -0.00610815-0.00657735j 0.00673703-0.0698234j 0.0189483-0.00842685j 0.0178617-0.00937272j -0.102972-0.06387j 0.135356-0.013873j 0.00895697-0.0151746j 0.0345847+0.138728j -0.0578919+0.193794j -0.121805-0.138039j 
0.00219674+0.0297973j -0.00583098-0.0172346j -0.00521142-0.0186591j -0.0282664+0.00866017j 0.007638+0.008313j 0.0085814-0.000299798j -0.0265875-0.019042j 0.0186581+0.0171935j -0.0458082+0.0292764j -0.00970555-0.00199432j 0.00963951+0.0166153j -0.0255312-0.0212262j 0.013981+0.0345866j -0.00664208-0.0166067j -0.0440383+0.0285203j -0.0023862-0.0051925j 0.00347572-0.0339305j 0.0351274-0.014831j 0.0488035+0.0030533j -0.051084+0.0123538j 0.0189772+0.029462j 0.0161726+0.00300909j -0.0312441+0.00235391j 0.0140951-0.00589309j 0.00144323-5.01442e-05j -0.0021756-0.0113723j -0.0395344-0.000319903j -0.0255858+0.0257012j -0.0143563-0.00458459j -7.03893e-05-0.0187402j 0.018875-0.0104245j 0.01018-0.022699j -0.020848+0.0144351j 0.00193507-0.0239131j 0.0309822+0.0111771j 0.0155654+0.0259495j -0.00618642-0.0230317j 0.0147985-0.0316594j 0.0143371-0.0206072j -0.0263677+0.00571333j -0.0234466-0.0299058j 0.00735408+0.0381202j -0.00642001-0.0371253j -0.0386524-0.0307027j -0.0187186-0.00355831j -0.0244743-0.00171722j 7.64136e-05-0.0169365j 0.0328018-0.0314463j 0.0343977+0.023317j 0.0323695+0.0178527j -0.0291475-0.0132299j -0.00884539+0.0171968j -0.0426793+0.0604097j -0.0209922+0.0573133j -0.027554-0.0792972j -0.00806691+0.0544232j 0.0170524+0.022817j -0.00951524+0.00741917j -0.00414433-0.0099278j -0.0398912+0.00422998j 0.00286809+0.0047527j -0.0282234-0.0382709j 0.0359978-0.0422069j 0.0395157-0.0734798j -0.0136712-0.0405389j 0.0274544-0.042291j -0.0351245+0.0621861j -0.05383-0.0397144j -0.0156642-0.00204925j 0.109525+0.0884209j -0.0513105-0.0110802j 0.00232367-0.0266495j 0.0343975-0.00923921j -0.00297938+0.0556831j 0.0905205+0.0184502j -0.0204725+0.0593201j 0.0547336+0.0194718j -0.00817271+0.0549725j -0.00485722-0.000615082j 0.0280833+0.0402028j -0.0203788+0.0575918j -0.00865826+0.00116981j -0.0507021-0.0461579j -0.0850746+0.0220111j 0.0164282+0.00144332j 0.0303148+0.006914j -0.00231883+0.0476283j 0.05668-0.0128376j 0.0183117-0.0453391j 0.041413-0.00358492j -0.0356387-0.00299872j 0.0822115-0.0167018j 0.0624319+0.0596955j -0.0749124-0.195617j -0.0590839+0.0367348j 0.0612106+0.00637139j -0.030704+0.137926j 
0.0275278+0.00860297j -0.0353403-0.0164722j -0.0492057-0.0292758j -0.0337863-0.0205889j 0.0306747-0.00604409j 0.0229504-0.0157579j -0.0202419+1.54669e-05j 0.0212392+0.0122562j -0.0218421-0.0189061j -0.0141263+0.00770629j 0.0231174-0.022875j -0.0435515-0.0055433j 0.0353509-0.0191247j -0.00241938+0.000770225j -0.011687-0.00401224j 0.00336279+0.0251241j -0.0285108+0.00340246j 0.0385583-0.0113243j 0.0219861-0.00960285j -0.0203046-0.0208721j 0.0113137-0.0216856j 0.01971+0.0142322j 0.00504272-0.00139502j 0.0453367-0.00280593j 0.000642095-0.0095716j -0.0122834-0.00310508j -0.021961+0.0102641j -0.0163565+0.0106019j -0.0346235+0.00167653j -0.0068138+0.00539184j 0.00880587-0.000970989j 0.0203834-0.0137868j 0.0193127-0.00502273j -0.0110906+0.000204495j 0.0129265-0.0113743j 0.0328801+0.00520817j -0.000227908+0.0032034j -0.00128769+0.0326925j -0.00285538-0.00965594j 0.00912118-0.00225278j 0.000354583+0.0242901j 0.00844537+0.0158627j -0.00312134-0.0137358j -0.0321199-0.0504932j -0.0177886-0.0173595j 0.0165042-0.00236726j -0.019213+0.0247317j 0.0473109+0.0149664j -0.00185454-0.01103j -0.02282-0.0608006j -0.0468412+0.0128625j -0.00599996-0.00961375j -0.030627-0.0957973j 0.0513336-0.034899j -0.053318+0.0196164j -0.0125787-0.0137043j 0.0254626-0.033032j 0.0462065-0.0269661j -0.0469007+0.0119756j -0.0472641-0.069481j 0.0111211-0.03419j -0.0691018-0.0370436j -0.00439278+0.0960488j 0.0663165+0.115247j -0.0663627+0.0483121j -0.0209406+0.00859538j -0.0105475+0.00344438j -0.0399558+0.00374364j -0.0413441+0.0149542j 0.0659493-0.113982j -0.00957267-0.00364383j -0.0365751+0.0294129j 0.0298764+0.0280885j 0.0253339-0.0212004j 0.0653858-0.0711518j -0.0370584-0.070826j -0.0223648-0.00758238j -0.0708787-0.107887j 0.0114313+0.0744317j -0.0240768-0.0210986j -0.0244952+0.0130528j 0.00619906+0.0106434j -0.060589+0.0844973j -0.0238499+0.0360801j 0.0469934-0.0937606j 0.00727511-0.00719503j 0.0420564-0.0540015j 0.0755662+0.0583403j 0.00446417-0.0283734j -0.0093221-0.0286322j 0.00654078+0.0727371j 0.00659413+0.0181671j 0.0132114+0.00946062j -0.0793453+0.156328j -0.0956952-0.16463j -0.0199228-0.064999j -0.0109503+0.0114511j 
0.0218426+0.0167649j 0.00207338+0.011309j -0.0059497+0.0130154j 0.00154475-0.00819102j 0.0141708+0.00450995j 0.000610466+0.00515036j -0.0160906-0.0685076j 0.00604553-0.0138545j 0.0213924+0.022904j -0.0096781-0.0211923j 0.00890447-0.0129205j 0.00271742-0.019597j 0.0223498+0.056393j -0.00598359-0.0495583j 0.0188904+0.015545j -0.015923-0.00145703j -0.0393985-0.0682141j 0.00730648+0.00504189j -0.0109908-0.0116297j 0.00505936-0.041721j 0.0343577+0.00111121j -0.0120999+0.0228891j -0.0170557-0.0310299j -0.0055798-0.0351218j 0.0241816+0.00274229j -0.0202557-0.0175951j 0.0178858+0.0093055j 0.0167568+0.0115954j -0.000791745-0.0215286j -0.0101354-0.0368197j 0.0131472+0.0283592j -0.0284717-0.0342006j 0.0180256+0.0269917j -0.0117678-0.0277919j -0.0147876+0.00464107j -0.0279321-0.0243804j -0.00455687+0.00151785j -0.0404172-0.0461128j -0.0349469-0.044034j 0.0131739-0.0217378j 0.0327424+0.0154733j 0.0186398+0.0365283j -0.0267331+0.0367779j -0.0357567-0.0454291j 0.0164687+0.00911039j 0.0178606+0.015401j -0.0198111-0.0190978j -0.0607787+0.0218436j 0.0208355+0.0092459j 0.0252106-0.0267912j -0.0282208+0.00713211j -0.0348922-0.0251731j 0.0144547-0.00958872j -0.0179495+0.00756002j -0.0161447+0.0112709j 0.0348579-0.0565053j 0.0468571+0.0270961j 0.0268768-0.0465621j -0.0302231-0.0412548j 0.00075658+0.0921063j 0.0237009+0.0218817j -0.0209112-0.0138372j -0.0155664+0.0814658j -0.0565504+0.0245377j 0.0118765+0.00689171j 0.0173457+0.00960997j 0.0522936+0.12833j 0.00950238-0.0460606j 0.04653-0.0343967j 0.0569571+0.0958372j 0.0165982+0.0142632j -0.00868901+0.00121991j -0.0453766+0.0380496j -0.0278392-0.00502278j 0.0250913+0.0286093j 0.0117541-0.0259501j -0.0353622-9.42891e-05j 0.00808482-0.0319912j -0.0392917+0.0230485j 0.0198649-0.0275216j 0.0603142+0.0372504j -0.0376469-0.00314795j 0.0151511-0.0439642j 0.0514076+0.0183231j 0.0307591+0.023175j 0.0187515+0.0242322j 0.0694645-0.0357762j -0.0530516+0.00139329j -0.0190218+0.0822745j 0.0357427+0.15891j 0.0194874+0.161956j -0.0504271-0.0264845j 0.0115291+0.0651901j -0.0321702-0.080422j 0.0238248-0.0859495j -0.0316255+0.0423312j 0.00681492+0.0290227j 
0.00975065+0.00518375j 0.00876991-0.0229706j 0.0166902-0.034779j 0.012528-0.0232444j 0.00600414+0.00309144j -0.0159605+0.00809644j 0.00268921+0.0111022j -0.0072376+0.034772j 0.0189271-0.040366j 0.0226778+0.000433172j 0.00207729+0.0266998j -0.00304843-0.0542884j -0.00635906-0.00827732j 0.00292239+0.00900918j 0.00771277-0.0216215j -0.00436422+0.00181633j 0.0202331+0.0108158j -0.0143861-0.0114074j -0.0356363+0.0292094j 0.00674393-0.0274449j 0.00412486-0.00800077j -0.0225421+0.00154424j 0.0305934+0.0170194j -0.00395228+0.0260159j -0.0249623-0.0347088j 0.0267542+0.00357848j 0.027019-0.0169067j 0.0222394-0.0165316j 0.0172096+0.0205372j 0.0368839+0.0145977j -0.0353033-0.0183133j 0.00240548-0.00183495j 0.0305154+0.0210704j -0.00564485-0.0217922j -0.0269947+0.0311117j 0.0162114+0.0430258j 0.0161164+0.0190178j -0.000265635+0.0104502j 0.0133334+0.0347302j 0.00116059-0.0594135j -0.0128017-0.0329491j 0.00105113+0.00330141j -0.00042935-0.00365801j -0.0183745-0.0191088j 0.0411189-0.0334055j 0.0628563-0.0445763j 0.0317973-0.0163075j -0.0132141+0.0209147j -0.019004+0.0179367j 0.00636916-0.0698467j -0.00996642-0.0374131j 0.0192376+0.0443195j 0.0124331+0.0369132j 0.0596271+0.0736389j -0.0762628-0.0721426j 0.0401213+0.0460343j 0.0232002-0.0238567j 0.0220541+0.0213919j -0.0665194+0.0161806j 0.0135682-0.0271669j 0.0347407-0.0265161j 0.0027404-0.104085j -0.0761115-0.0575313j -0.0779665+0.00449177j -0.0349926-0.0441358j -0.0594079-0.0509894j 0.00296261-0.0036951j -0.0066557-0.0403711j -0.026683-0.0625775j 0.0255652+0.0187032j -0.00110117-0.0304416j 0.00432681-0.0374995j 0.0158841+0.0254365j 0.0662729+0.0498875j 0.00385614+0.0145439j 0.0606672-0.0184809j -0.0110595+0.0243966j 0.0758839+0.0144874j -0.0514147+0.0150398j -0.018217+0.00283603j 0.0077497+0.00194711j 0.0299705+0.0115452j -0.0219709-0.0287987j -0.0135644-0.0294719j 0.0292085+0.0129224j 0.0236194-0.0374822j 0.0830563+0.0107259j -0.110252-0.0690132j -0.00334673-0.0390523j -0.0695398-0.17789j 0.0243568-0.00656987j 0.00630764-0.0345248j -0.00909512-0.0388839j -0.0599608-0.103109j 0.0620773-0.108962j 0.00718215+0.0195493j 0.0134631+0.0309961j 
0.0062781+0.0113485j -0.0122459-0.0087789j -0.0073623+0.00156472j 0.0110386+0.0263753j -0.00957439-0.00696816j -0.00499721-0.0167044j 0.0388439+0.0126548j 0.0210613+0.0429875j -0.0182091+0.00502067j 0.00762729-0.0030367j 0.000262676-0.0146692j 0.0142139+0.0135559j -0.0281722+0.00817384j 0.0274571-0.016161j -0.0248425-0.00300014j 0.00437248-0.000633202j 0.0146009-0.00923456j -0.00850976-0.0101044j 0.0159073+0.0103832j 0.0353518+3.52112e-05j -0.0180306+0.0240957j -0.00490857-0.010256j 0.0183164-0.0377927j 0.0160859+0.000687702j -0.0122247+0.0377477j 0.00574593-0.0324274j 0.00150798-0.0111022j 0.0137553-0.00264054j 0.00898603-0.000375885j 0.017607-0.0111463j -0.00916325+0.0281939j 0.00239227-0.0303851j -0.0129431-0.0119337j -0.00400516-0.00589569j 0.00801712+0.0152423j 0.0161237-0.0405401j -0.0134279-0.026288j 0.0103679-0.00691057j 0.0147251-0.0304632j -0.00443238+0.00182996j 0.0132242+0.0543777j -0.0202333+0.00916266j -0.0409365-0.049689j -0.0128793-0.0524168j -0.0235306-0.0317898j 0.00927347-0.00356201j 0.00397288-0.0359308j -0.0275813-0.0807782j 0.00752671+0.0750708j 0.0181947+0.0820698j -0.0225265-0.0533107j 0.00534656-0.0281576j -0.0190214-0.0371536j 0.000591146-0.0632843j -0.00691783-0.0151777j 0.0510481+0.0276364j 0.00186394+0.0224399j 0.0336685+0.0290172j -0.000123431+0.0483498j -0.066166-0.0597547j -0.0294595+0.00395132j 0.0354925+0.0115516j -0.0839166+0.0230665j -0.0170566-0.0146981j -0.0307691+0.0384026j 0.000492729+0.0710373j -0.0634266-0.0357669j 0.0385177+0.00231805j 0.0403159+0.101753j -0.0287246+0.0459629j 0.0029044-0.0527816j 0.00348626+0.0151917j -0.0518235-0.0611327j -0.0140307-0.0426114j 0.00828167+0.0222056j 0.0225797+0.00455672j -0.0359285+0.023432j 0.0255299-0.0175606j -0.0737716-0.00081778j 0.00927191+0.0460344j -0.0475604+0.0281171j -0.0278052-0.0613229j 0.0494674+0.016007j -0.00300904-0.0284833j 0.0445318+0.0111152j 0.00454949+0.00981474j 0.00568677-0.0143846j -0.0377091-0.0198233j -0.0532127-0.106781j -0.0199677+0.165992j -0.03948-0.127831j -0.0054834+0.0635081j 0.0624143+0.00792752j 0.0061463-0.00700964j 0.0308375-0.0365467j -0.00871962-0.0253508j -0.0396383+0.0423359j 
-0.00697459+0.00111188j 0.00142044+0.00673435j 0.0127274+0.0108443j 0.00119831+0.00395639j -0.00166465+0.0152911j -0.00575388-0.00499381j 0.00796392-0.00314391j 0.0151055+0.00304438j -0.0148183+0.00451839j 0.00554793-0.000545747j -0.00991298-0.00502407j 0.00545738-0.00243231j -0.00546748+0.0110923j 0.01372-0.00801826j -0.0162455+0.0142203j -0.0058913-0.0069637j 0.0243224+0.00128037j 0.00282621+0.00606674j 0.00736316-0.0377393j 0.00430719-0.0100991j -0.0114333+0.0208346j -0.025239-0.0285627j -0.0336673-0.010147j -0.00753194-0.00849878j -0.0023579+0.00771645j -0.0155273-0.00486158j 0.00205489+0.0197063j -0.00285663-0.0073046j -0.00468241-0.0111902j 0.0188025+0.0230637j 0.000335855-0.0163516j 0.00398478+0.00580765j -0.00501376+0.0244713j -0.00780713-0.00170637j 0.0101434-0.0188791j -0.0268214-0.0266767j 0.00336717+0.00811749j 0.00558006-0.0105491j 0.022211-0.000978333j 0.0241369+0.0319027j 0.030633-0.00439087j -0.0257789+0.00815298j 0.0182119+0.034223j 0.0151531+0.0094403j -0.00293274+0.0399828j 0.0250989+0.0265773j -0.0214409-0.00968813j -0.0371565+0.0271729j 0.0298613-0.031028j -0.0135484+0.0356968j -0.0380057+0.02545j 0.0197701-0.00469899j 0.00523563+0.0184811j 0.00203728+0.0151846j -0.0128144-0.0293575j -0.0210443-0.0192555j 0.0122458+0.0377252j 0.0562466+0.035792j -0.00485574-0.0492752j 0.0391614-0.00176309j 0.0304645+0.016518j 0.023083-0.00982934j -0.0395505+0.0399531j -0.02312+0.00633045j 0.0131198-0.0128174j 0.0479691-0.0196551j -0.0457517-0.0096365j 0.0114287-0.00876481j 0.0112044-0.019946j -0.0175393-0.0068971j -0.0491688+0.0144082j -0.0148513+0.0027628j 0.0422564+0.0145618j -0.0291033+0.0310376j 0.049179-0.0185687j 0.0145962+0.0071379j 0.0230403-0.0181417j 0.0679582-0.020623j -0.0672507+0.0551715j 0.0194216+0.0176885j -0.0460516+0.0355609j -0.00286303+0.0293484j 0.0341359-0.029115j -0.0456953+0.0732087j 0.0164797-0.00553733j 0.00760536-0.0253542j 0.00983307+0.045591j -0.0498309-0.0190335j -0.0266313+0.0399709j 0.00237185+0.0131531j -0.0145578+0.0174942j 0.107868-0.0139843j -0.0111236-0.0278104j -0.0234246+0.00901472j 0.0348675-0.00960029j 0.0474513-0.042587j -0.00979248-0.0388236j 
