-0.0197075-0.0487804j 0.000970524+0.00209467j -0.00444805-0.0264875j 0.00161284+0.0480371j -0.00502164-0.0238518j 7.15082e-05-0.0201753j 0.00897328-0.0540976j 0.00118527-0.0372491j -0.000164218-0.0144491j 0.0265076-0.0255168j 0.0272462+0.022276j 0.00903119+0.0353209j -0.0137268-0.0365689j 0.00890368-0.0166188j 0.000413118-0.0198713j -0.0382611+0.0187196j 0.00113699+0.00936445j -0.0254726+0.0133891j 0.00843314+0.0397503j -0.00520173-0.00103803j 0.00617118+0.0130526j 0.00215492-0.0248j -0.00958496-0.0254615j -0.0121722+0.00238463j -0.007722+0.0358828j 0.0200179-0.00817191j 0.0102091+0.0233172j -0.0111003+0.019418j -0.0375066+0.0140355j 0.0153053-0.00711796j 0.0138846+0.00175889j 0.0055532+0.0140733j -0.020674+0.0308682j 0.0142703+0.0220347j -0.0153595+0.00509689j -0.0195893-0.00822764j 0.0223997+0.0233401j -0.0254795+0.0250137j -0.00647541-0.0194242j 0.01073+0.0384889j 0.0217719+0.0174031j 0.0172292-0.00192782j -0.00808425-0.00170433j -0.0083366-0.00498686j 0.0115706-0.0215858j 0.0242472-0.0321706j -0.0241424+0.0149221j 0.0166273+0.0359142j 0.00262098+0.0191416j -0.000573619-0.0592013j -0.018241+0.025214j 0.0244505-0.0180856j 0.0175132+0.00783137j 0.0278735-0.036949j 0.0446274-0.0542917j 0.0286136-0.0279083j -0.0204154+0.0397309j 0.0519932-0.0905157j 0.146764-0.113148j 0.0544537-0.164287j -0.1204+0.0541755j -0.135956+0.129914j -0.105359+0.124757j 0.0228873+0.0115672j 0.0302394-0.0105375j -0.0335127+0.0480118j 0.0382289-0.0691401j 0.00686043+0.00359418j 0.0461655-0.0813958j 0.0378905-0.0275946j -0.122137+0.217802j 0.142197-0.0696243j 
-0.000335711+0.00214521j 0.0210791+0.0505343j 0.00618028+0.0401302j 0.00470071+0.0227034j -0.00124764+0.024858j -0.00136324+0.0478593j 0.00562663-0.0381437j -0.00266284+0.000147748j -0.0182849-0.00387105j -0.017328-0.0141786j 0.0309526-0.0473669j 0.0173815+0.0361005j 0.0256732+0.0181997j -0.0244528+0.0566094j -0.0190966-0.0227676j 0.000870636+0.033687j -0.00314273+0.00098612j 0.0269221-0.0036625j 0.0138359+0.0151899j -0.0171293+0.0174153j -0.0110417-0.00766653j -0.0186802+0.000731396j -0.0224961-0.00485819j -6.65811e-05-0.00686952j 0.013461-0.0533758j -0.0116173-0.0250767j -0.00921169-0.0208446j 0.0064684+0.0271886j 0.00198086+0.0123189j -0.0213189-0.0104312j -0.0100246+0.0146164j 0.0117463+0.00975197j 0.00794697-0.00716093j 0.0152484-0.00265965j 0.0156423+0.0115979j 8.40687e-05+0.029597j 0.019539-0.00789117j -0.021855+0.00248771j -0.00429087-0.0248351j 0.00633708-0.0281806j 0.00648465-0.00708666j 0.0372677-0.0026569j -0.00471239-0.0265187j 0.0118334-0.0287897j -0.0296867-0.00549486j -0.00453126+0.0063093j -0.0366356-0.00505673j 0.000308927-0.0183041j -0.0301015+0.0436548j 0.0169629-0.0340166j 9.3431e-05+0.0147318j -0.0276429+0.0469448j -0.0124193-0.0310491j -0.00848282+0.052552j -0.0166409+0.0503772j -0.0020234+0.0110041j -0.0601206+0.0474554j 0.0356451-0.043054j -0.000617028+0.0737301j 0.178489-0.120163j 0.132916-0.208389j 0.0280639-0.0704887j -0.0974418+0.0644815j -0.10429+0.088005j 0.00474944+0.0233572j -0.0236819+0.0436619j -0.0317027+0.0397277j 0.0322302-0.0652703j 0.0316031-0.0289777j -0.0416817+0.078238j -0.144268+0.070691j -0.122288+0.21534j 
-0.0434614+0.00758538j 0.00726939+0.0133962j -0.00592577+0.00392556j 0.0186257-0.00721509j -0.00952117-0.012624j -0.0330852+0.0136613j -0.0304288+0.00773615j -0.00237039+0.0138566j -0.0583956+0.00782488j 0.0106923-0.00894676j 0.0358743-0.00252223j 0.0482645+0.00685695j -0.0031343-0.0127877j -0.0231481-0.0145865j -0.0514968-0.00172815j 0.000699499-0.0218199j -0.014721-0.0240016j 0.0110545-0.0178151j 0.0257917-0.0178567j -0.0363454-0.00430421j -0.00488706-0.00244304j -0.00572222-0.0171935j -0.0115966-0.0151001j 0.0149282-0.0222013j 0.0241769-0.000164724j -0.0214631-0.00968159j -0.0299053-0.00747679j -0.0026377-0.0103168j -0.00736961-0.021878j -0.0142476-7.41741e-05j 0.0218685-0.000261543j 0.00282767+0.0198011j 0.00969296-0.000261112j 0.0452518+0.0242254j -0.012449+0.000522483j -0.00559955-0.00366785j -0.0326901+0.0205042j 0.0217644+0.000178389j -0.0208678+0.0160122j 0.0163707+0.0357687j -0.00948328+0.0178746j 0.0342118+0.0159715j 0.0235485-0.00398506j -0.0116979+0.00835137j -0.024671-0.00688073j -0.0606519+0.0307726j 0.0395184-0.0657173j -0.0215616+0.0440421j -0.00865095-0.00921497j 0.00206072-0.00777414j 0.0127666+0.00804275j -0.0491028-0.064605j 0.0579297+0.0355913j -0.08282+0.0150124j -0.0541621+0.00916496j -0.0751929+0.0255184j -0.0497782-0.0370273j 0.0482577+0.0132514j -0.0340506+0.0757371j -0.00124152+0.0454826j 0.121875+0.00364321j 0.105797-0.0377497j 0.016324-0.0882605j -0.0109993-0.0328789j -0.0525996+0.066357j 0.0214383-0.00207556j -0.0503726+0.0327894j 0.00633075+0.0178977j 0.0733027-0.00965259j -0.0390963-0.0844368j 0.0345024-0.0396867j -0.0539695+0.0454227j 
-0.00887696-0.01246j -0.0440536+0.0111456j -0.0163879+0.00732041j -0.004851-0.000729247j 0.0199902+0.00165648j -0.0332583-0.00810455j 0.0300417-0.0195172j -0.00362718+0.0276704j 0.0115082-0.0209375j 0.0707492+0.00445644j 0.0460104-0.0282479j -0.03408+0.00277219j -0.0244524-0.00853844j -0.0144437+0.00576174j 0.0113481-0.00261193j -0.0402198-0.0178148j 0.0345518-0.0101681j 0.0117667-0.0215172j 0.0250482-0.0089341j -0.0205719-0.0140284j 0.0304201+0.0181149j 0.00230156+0.0135929j 0.00155879+0.0212601j 0.0157267+0.00631842j 0.0259165-0.0016266j 0.0546009+0.012765j 0.0238552-0.0274181j 0.00526194-0.00303469j -0.0296113-0.0325704j 0.0102715+0.00932387j -0.00110466+0.0228774j 0.00908539-0.00712496j 0.0305136-0.0222906j 0.0193312+0.0138346j -0.00257376-0.0314949j -0.0234825-0.0181512j -0.0169927-0.0308019j -0.0543284+0.0145101j -0.0287916-0.00542106j 0.0171187-0.00236348j 0.00507763-0.00144235j 0.0255133-0.0122921j 0.00180828+0.0171808j 0.00999907-0.0307244j 0.0223468+0.0361355j -0.0312297+0.00202773j 0.0445133+0.0294177j -0.0470278-0.0115522j -0.0476184+0.037565j 0.0505483+0.0167365j -0.030964-0.0140531j 0.0772009-0.00424377j -0.0154267+0.0661627j -0.0144046-0.0125095j 0.0355964+0.0181556j 0.00309635-0.0272862j -0.0252161+0.000475448j 0.0973279+0.0530931j 0.0252225+0.0730701j 0.142674-0.0811855j 0.0424134-0.092409j -0.0600182-0.0588417j -0.0793531+0.00235818j -0.0521313+0.0942426j -0.0428114-0.00521228j -0.081656+0.0343478j -0.0255311+0.022642j -0.0300283+0.00569742j 0.0427366+0.082108j 0.0532457+0.000918018j -0.0659324+0.0476323j -0.0391631+0.0486585j 
-0.0134998+0.0107628j 0.0073917+0.00577868j -0.00753913-0.000855605j -0.032504-0.0102798j -0.0554844-0.0241999j -0.00460455+0.0274082j 0.0069472+0.0183094j 0.00427198-0.0142819j -0.00743232+0.0234764j -0.0168126-0.0131669j 0.0290403+0.001388j 0.0217588-0.00155775j -0.0179136+0.00540766j -0.0109529+0.00365646j 0.00955059+0.0119417j -0.0103272-0.00381788j -0.0490591-0.0132838j -0.0347003-0.0316817j 0.000954863+0.00253493j -0.0138525+0.0326549j -0.0296925-0.0275482j 0.00993717+0.00683119j -0.0115127-0.0106908j 0.00496976-0.0128929j 0.00991101+0.00822458j -0.0152608+0.00584371j 0.00611543+0.0363653j -0.0158237-0.0270223j -0.0105105-0.00424145j -0.00803427-0.0023523j -0.0208117-0.0114736j 0.0075014+0.0137749j -0.0384469-0.0469019j 0.0134782-0.00648572j -0.0271187-0.0241383j -0.0163474+0.00616978j 0.0280974+0.0248924j 0.0186984-0.0267898j 0.0585924+0.0243919j -0.0134673-0.00535941j -0.0120562-0.00992608j 0.0448067+0.0578903j 0.00692697-0.0157636j 0.00754036+0.0237962j -0.0494893-0.0412465j 0.0424582+0.0156161j -0.0115226-0.0203975j 0.00644702+0.0984913j 0.00995746+0.0248721j -0.0433321-0.0218859j 0.0314612-0.0286459j -0.084577-0.0325739j -0.0367265+0.0252211j 0.0357438-0.0120757j -0.0525024-0.0830719j 0.0120901+0.0228324j -0.0275599-0.0579995j -0.0632972+0.0576724j -0.0471992+0.0804672j 0.0682449+0.0795399j 0.136118-0.0153295j 0.0550895-0.0756084j -0.0473938-0.0554162j -0.0626626-7.16033e-05j -0.0047424+0.00739688j 0.0354804-0.00534824j -0.00564506-0.0239969j 0.0413446+0.129635j -0.0604768+0.0110925j -0.0565304+0.0372351j -0.0193179-0.0472365j -0.0714726+0.0268296j 
0.0134272-0.0217486j 0.00761877-0.013485j 0.0426792-0.00793024j -0.0557533-0.017044j -0.012948-0.0464618j -0.00119372-0.0170885j 0.00424306-0.0267474j 0.0432138-0.0203145j 0.0189224-0.0247123j -0.00888152+0.012697j -0.0512021-0.00553146j -0.00964688+0.0284673j -0.00445879-0.00206336j 0.0332754+0.0037048j 0.0240448+0.0163797j 0.0107027-0.00564673j -0.0410104-0.0438464j -0.0309425-0.0439338j -0.050836+0.0104275j -0.0492294+0.0103433j -0.0247822-0.0217723j 0.0359487+0.0151574j 0.0469358+0.0144016j 0.00244987+0.0125091j -0.0388943+0.0222552j -0.00689331+0.00687361j -0.00468255+0.0295412j 0.00723178-0.0372984j -0.0260094-0.0292202j -0.0106367+0.00127795j -0.0240987-0.0218517j -0.00406017+0.0259164j -0.0213644+0.000193988j -0.00315054+0.0224976j -0.0152353-0.0251226j -0.0223637+0.0204461j 0.0492629-0.0356751j 0.0242194+0.0245729j 0.0459787+0.0416875j -0.027896+0.0175162j 0.039595-0.0508757j 0.0309802+0.0687286j -0.0472242+0.101153j -0.0144754-0.00926045j -0.0644053+0.00935947j 0.0507143+0.00801833j -0.0668974+0.0911845j 0.0290276+0.0382838j 0.0654581+0.044602j -0.0223954+0.0164635j 0.0146395-0.0686309j -0.0923347-0.0328534j 0.00993196+0.140817j 0.0573672-0.0393386j -0.00352055-0.0310454j 0.00191293-0.00956624j -0.0323351-0.0184957j -0.00991014+0.0798949j 0.0956268+0.0472954j 0.0733834-0.114205j -0.0351587+0.00567907j -0.078023-0.0149124j -0.137781+0.0230816j -0.0120636+0.117016j 0.0672207-0.0869693j 0.0703145+0.00507939j 0.014528+0.0570857j 0.0454665+0.0895374j -0.000193943+0.0686225j -0.0425545+0.0209358j -0.0856881+0.0694404j 0.0354275-0.00587029j 
-0.00756878+0.0357081j 0.0324117-0.0443622j 0.0347852-0.0158234j -0.0136902-0.00782435j -0.0218193+0.0232405j -0.0183378-0.028741j -0.0362672+0.00678019j -0.00181394-0.00280968j -0.0378005+0.0424197j -0.0610444+0.0662679j -0.0273494-0.00543708j 0.0395572-0.0289908j 0.0335657+0.00618074j 0.0390917-0.0135314j -0.031993+0.0335707j 0.0443662-0.0280765j -0.019335-0.0061389j -0.0150936+0.0167116j -0.00266484+0.0174479j -0.0280866-0.023164j -0.036211+0.0474583j 0.0508876-0.0163461j 0.0206528+0.0184316j 0.00330357+0.0221843j 0.0049635+0.0311007j -0.0207971-0.0120764j -0.0107961-0.012222j -0.0265681+0.00137845j 0.0112234-0.0310697j -0.0299323-0.02022j -0.0140565-0.0345142j -0.0185495-0.00788765j -0.0421375+0.0544883j -0.0157007+0.0242311j -0.0569284+0.0366765j -0.0438575+0.0322623j 0.0313538-0.0828209j 0.0414717+0.00783545j 0.00276315-0.0221966j -0.0157727-0.0200877j 0.0489335-0.0216147j 0.081343-0.0315682j 0.0121346+0.0671705j -0.0406919-0.0199429j -0.0347811+0.0277642j -0.024015-0.00553009j 0.0297788+0.058007j 0.0911612-0.11351j 0.0711314+0.0194196j -0.0261567+0.0853061j -0.0193924-0.0697603j -0.0712816+0.0572855j 0.114948+0.0776008j -0.0769436-0.0175922j -0.0947345+0.0609324j -0.0837257-0.0484284j -0.0407877+0.0141354j 0.013902+0.128029j 0.0606287-0.0448875j -0.102729+0.0572705j -0.040095+0.0403202j 0.00383373-0.00489718j -0.0198355+0.0193181j 0.144323-0.00603528j -0.0361942-0.109911j 0.0764259-0.0120551j -0.052949+0.049692j 0.0953614-0.0473327j 0.0507106+0.0823588j 0.00132373+0.0579192j 0.039095-0.0350171j 0.037534-0.0601691j 
-0.0213601+0.0404728j -0.0094577+0.0288299j 0.019874-0.00940791j -0.0162681+0.00982552j -0.000822144+0.0128979j -0.0483764+0.0446286j -0.0242692-0.00403174j -0.0235429+0.0211641j -0.0365513+0.0371193j 0.0490777-0.0329027j 0.00261688-0.0335404j 0.0119292-0.0332726j 0.00834021+0.0333884j 0.041272+0.00365117j -0.0198295+0.0281252j -0.0121176-0.00571694j -0.00889044-0.00568203j -0.0143447+0.00101751j 0.0207558+0.0290206j -0.0601559+0.0102429j -0.0245325+0.0400485j 0.0403726-0.0096783j 0.00305028-0.0183483j 0.0293752+0.0143089j 0.0275628+0.0193391j 0.0211572-0.00717512j -0.00932185-0.0237205j -0.0411575+0.0293766j -0.0136103+7.26001e-05j -0.00319803-0.0213231j -0.0289767-0.0239529j 0.0161723-0.0331343j 0.0487482-0.0404735j 0.021688+0.00782311j 0.00265184-0.0068014j -0.00914694-0.00903376j -0.0306862-0.0174475j 0.0142213-0.0218596j -0.00957651-0.0361684j 0.0202072-0.0577051j 0.0146201+0.0360781j 0.0964013-0.0275032j 0.114674+0.0101431j -0.0477515-0.0348407j 0.0255872+0.0239652j -0.0232652+0.0168428j 0.10617+0.0331551j -0.0454153-0.130196j -0.0294347+0.0174078j 0.0609211+0.0125822j -0.0592076-0.00114969j 0.0129348+0.111285j 0.13902-0.0924837j -0.0592138+0.070508j 0.0570151+0.0541296j -0.0470318-0.00404986j -0.0278453+0.0559773j 0.099687-0.0218359j 0.052368-0.0162481j 0.0125194+0.0411893j 0.0274413-0.119023j 0.000695469-0.0570339j -0.069803+0.0183865j 0.0692988-0.000715723j -0.108888-0.0505256j -0.0484159-0.00357546j 0.0282735+0.0330355j 0.0105204-0.0932321j 0.119462-0.0519905j -0.0108299+0.0445703j -0.0129211-0.030211j 0.0154938+0.0648504j 
-0.0099268+0.0137713j 0.00562055-0.0217349j 0.00733417-0.00281613j -0.0290918+0.00511374j -0.0136241+0.00865969j 0.0248181-0.00142558j 0.0106845+0.0141641j 0.0352945+0.00363412j -0.0561532+0.0175309j 0.0215895+0.0235771j -0.0119302-0.0296211j 0.00925351+0.00643903j -0.00698671-0.0309554j -0.000447694-0.0113745j -0.0450575-0.0310112j 0.040909-0.0133032j -0.0436399+0.00300243j -0.0513905-0.0148028j -0.0273718-0.0493868j 0.0358492+0.0364341j -0.0389835+0.0178024j 0.0580487-0.00126687j 0.0317276+0.0166851j 0.0219701-0.0283315j -0.0217087-0.0151579j 0.00862049+0.0132085j -0.0438021-0.0117753j -0.020972-0.0230971j 0.0208289-0.0215097j 0.00436023-0.00507047j 0.0471223+0.0259039j -0.0400395+0.0517327j -0.0891867+0.00613316j 0.0264111+0.00387283j -0.0450377-0.0292967j -0.00493406-0.0204136j 0.0323179-0.0517191j 0.0210238-0.013492j -0.0199182+0.00690341j 0.0358262+0.0697654j 0.012482-0.0762223j 0.0234531+0.00295138j 0.0137638+0.0121141j 0.0188746+0.0582783j 0.0140873+0.0730852j -0.0802948+0.00977165j 0.0171867+0.00332968j 0.0440363+0.068868j -0.0405008-0.0400924j -0.0148775+0.0230279j 0.0450323-0.0113297j -0.0694932-0.024656j 0.0232649+0.0448887j -0.0802213-0.0198331j -0.0488649+0.0217214j -0.00911969+0.0358692j -0.0639771-0.0359161j -0.0256622+0.0641868j 0.0724178+0.0900145j 0.0152837-0.0419551j 0.0451369-0.00227689j 0.0666108-0.0918872j -0.0549741-0.0376967j 0.00832763+0.0499099j 0.0226425+0.0545082j -0.00212321-0.0633583j -0.0567966+0.0499376j 0.0769258+0.0113416j 0.00756893+0.0440795j -0.0596109-0.00885121j -0.0432797-0.00467845j -0.0392765+0.0196672j 
-0.00704523-0.00195938j -0.0136087+0.00205577j -0.0100284+0.020447j 0.0347424-0.0206501j 0.0128629+0.00793244j 0.0212834-0.0171517j -0.0515746-4.22469e-05j -0.0280878+0.0189808j -0.0132757-0.0337384j 0.0602079+0.0131575j -0.0211403-0.0192564j 0.0140845-0.00983925j 0.00415215-0.011461j -0.0313053+0.000303106j -0.00643097+0.000930551j 0.0275056+0.00196265j -0.00844897-0.00122583j 0.0145315-0.00927152j 0.0488606+0.000115804j 0.0493388-0.0187818j 0.00202179-0.00759169j -0.0461986-0.011029j -0.00932043+0.0379957j -0.017164+0.0348409j 0.0261468+0.0177365j 0.0291809+0.0406395j 0.0377007-0.0192198j 0.0674197+0.00347216j -0.0152016-0.00602317j -0.010797-0.0282606j 0.000209714-0.00290981j 0.00166127+0.0308051j 0.069865-0.0398041j 0.00593215-0.00949553j 0.0507471+0.0355935j 0.0596549+0.0041889j -0.0249129+0.0054172j -0.088368-0.00266683j -0.0261905+0.0479203j 0.104439-0.0218446j -0.0527316-0.134478j 0.0120213+0.00927839j 0.0164237+0.0412085j 0.087095-0.0358315j 0.0768416-0.00475781j 0.0357825+0.107239j 0.000874007+0.0566465j 0.115009-0.00123142j -0.0621427+0.146942j -0.0413593-0.00391796j -0.00983938-0.0396494j -0.0165502-0.097556j 0.0163156+0.0672297j -0.000128092+0.0461129j 0.0132301-0.0544766j 0.0873074-0.0218227j -0.0119248-0.0238027j 0.00595628+0.0345123j 0.055615+0.0317156j -0.0630453-0.0207561j -0.038924+0.0341274j -0.0727652-0.0603571j 0.0312455+0.0599493j -0.0217904+0.0821073j 0.0564479-0.037876j -0.0799826+0.0703635j 0.0499668+0.0628409j 0.0360555+0.0222907j 0.0476591+0.0270333j -0.0243825-0.0495568j -0.00928531-0.0168635j 0.0789728-0.00653788j 
6.77377e-05+0.0211782j 0.0175701-0.0338718j 0.0535992-0.0438271j -0.00131484-0.0261395j 0.0308326-0.0390424j -0.00305391-0.0015938j -0.0119658+0.00245737j -0.0158866-0.0135493j -0.0405068+0.00698926j -0.00446547+0.0160217j -0.0437665-0.0016271j 0.0200351-0.0343386j 0.0411055-0.0372221j 0.0360864-0.0180738j -0.0602185+0.0514217j 0.0527708-0.0316534j 0.0255866-0.0328094j 0.0285909-0.0323716j -0.067999-0.0144262j -0.0236196+0.0575831j -0.04136+0.0272574j 0.023325-0.0106606j 0.0256-0.0509197j 0.00994414-0.0198796j -0.0388507+0.0433343j 0.00234791+0.0610794j -0.00817132+0.0158103j 0.00588117-0.0102336j 0.0353479+0.00404918j 0.0227758+0.0063761j 0.0339655-0.0456775j 0.00134613+0.0364544j 0.0449865+0.0599694j 0.0173305-0.0206348j 0.00938838+0.0146797j -0.0037818+0.0186518j 0.0388865-0.0193921j 0.00193739-0.0271212j -0.0840951-0.00999623j 0.0303575+0.0710987j 0.10111-0.00292721j -0.0128665-0.0115158j 0.0125497+0.0405514j -0.0126479+0.0878071j 0.00824547+0.118491j -0.142601+0.029735j -0.00692608+0.0140793j -0.0586239+0.116435j -0.123026-0.116706j 0.0351817+0.0190588j 0.0386049-0.00839384j 0.0715065+0.0330684j -0.00803322-0.0130404j -0.0716632+0.0124772j 0.125821+0.056549j 0.00898225+0.108597j 0.0181836+0.0376751j -0.0255653-0.05038j 0.068698-0.0637036j -0.0106996-0.0560779j -0.0543386+0.0218376j 0.0638682-0.00417297j -0.0818465+0.0450861j 0.00427973-0.000863914j 0.00536692+0.0423828j -0.0700614-0.100588j -0.0153443+0.0490575j -0.075733+0.00874245j 0.0151102-0.0234241j -0.016334+0.00163491j -0.0414084+0.0561314j 0.00728629-0.0576519j 
