0.233536-0.034708j -0.0354945-0.313024j 0.409787-0.205721j 0.0773545-0.141641j 0.373437+0.372739j 0.173767+0.168261j -0.234704+0.388794j 0.198812+0.056679j 0.0658563+0.0881435j 0.0111024-0.077846j 0.0329803-0.054785j -0.00176089+0.0852527j 0.0737862+0.0352878j -0.0472943-0.0468829j -0.0828439+0.102009j 0.0836886+0.0122229j -0.0280299+0.00891367j 0.0268+0.0295046j 0.0415828+0.034333j 0.0133997+0.026477j -0.0138551+0.00529005j 0.00332666+0.0347372j -0.0298231-1.27258e-05j -0.0147428+0.0239502j 0.00155655-0.0248084j 0.0136346+0.0240785j -0.0132358-0.0264066j -0.00599032+0.0239409j 0.00193938-0.0168182j -0.0365594+0.0411268j 0.0437826+0.0209866j 0.0105527-0.024563j 0.0194196-0.0322409j -0.0361224-0.0187127j 
-0.134055+0.156716j 0.14717+0.153395j 0.0586854-0.0922037j -0.0556068+0.00924135j 0.187049+0.0754256j 0.0230889+0.0153388j -0.00645405+0.14861j -0.0947574+0.137496j -0.0134041-0.224951j 0.289344+0.0620593j -0.09563-0.31632j 0.106336-0.0147052j 0.175367-0.131601j 0.258259-0.106057j -0.0246936-0.180413j -0.119009+0.0312672j 0.110326-0.125696j -0.00714893-0.133079j 0.0225648-0.0103744j -0.0649687-0.0542119j -0.017338-0.0356249j 0.113807+0.0150456j 0.11151+0.0476143j 0.070421+0.00723911j -0.0677712-0.00334024j -0.115847-0.0348605j 0.0335446-0.00515696j 0.0321596-0.0258356j 0.0262494+0.00954133j -0.0207324+0.0294336j -0.0632016+0.0253161j 0.0940481+0.172431j -0.13467+0.0965728j 0.130166+0.139778j 
0.0719909-0.00347119j -0.0219227-0.0737467j -0.0516186+0.00799995j -0.000108443-0.01247j 0.0186423-0.0736794j -0.00906308+0.00802482j -0.0285152-0.0111897j 0.0486298+0.136598j -0.102507+0.143925j -0.146919-0.0548478j 0.228526+0.182071j -0.145694+0.00460898j -0.161253+0.0765837j -0.177949+0.0892295j 0.0880503+0.0983889j 0.0488863+0.0458656j -0.121861+0.372753j 0.0962438-0.06385j -0.00243335-0.13646j -0.0828806-0.00843955j -0.064067-0.000713257j 0.090121+0.12714j -0.0925324-0.0266746j -0.0463586-0.00513027j 0.050036+0.0504031j -0.0285324+0.052109j 0.104564+0.02779j 0.078262+0.00483354j 0.025849-0.035244j 0.0178531+0.0832455j 0.0232024+0.00847568j 0.157047+0.146185j -0.101761+0.0324256j 0.0985433+0.13679j 
0.0874213+0.023117j 0.0528495-0.066767j -0.026812+0.0735691j -0.0502664-0.0122278j 0.010941-0.00604082j -0.0251078-0.0251137j 0.023615+0.061756j -0.0377376-0.140856j 0.10032+0.0571797j -0.0314956-0.0454298j 0.0635182+0.076312j -0.0555225+0.0067465j -0.11131+0.0426997j -0.00588645+0.0259181j -0.0926792-0.0720187j -0.120068-0.0631438j 0.0813919-0.12338j 0.0253364-0.178769j 0.211295-0.0720351j 0.0988707+0.091465j -0.100161+0.0214511j -0.0322822+0.0510382j 0.00674965+0.00188364j 0.126601+0.0415735j 0.0169045+0.0134857j 0.0153934-0.0829805j -0.192349-0.126394j 0.147586-0.0470462j 0.138055-0.174485j -0.0677715+0.0248595j -0.15082-0.0512679j -0.0508627+0.253633j 0.133355+0.0720339j 0.0649465-0.0732126j 
-0.0439304+0.104624j 0.0736125+0.00334251j 0.00654797-0.0521922j -0.0437625+0.0642657j 0.123871-0.0390373j -0.0970519-0.0530069j 0.0616412+0.0528498j -0.0641458+0.0302117j 0.00100056-0.0116073j -0.0194581+0.0803428j 0.131932+0.0194722j -0.0890251-0.00947891j 0.0401573+0.143656j 0.0347104-0.018102j 0.0127101-0.11011j 0.0228667+0.0573479j 0.0438772+0.0378329j -0.163029+0.356052j -0.0483902+0.0554337j -0.0850941-0.0175107j -0.0316923+0.167449j -0.296644-0.15308j 0.0508122+0.00687545j -0.167559-0.0394447j -0.0574827-0.0256494j 0.0687188+0.00777587j -0.120197-0.0317086j -0.0239048-0.197503j 0.268446+0.0854465j -0.0190509+0.283219j 0.297683-0.0735653j -0.00888489+0.170523j 0.0595175+0.00768441j -0.0175568-0.0517953j 
-0.0454344+0.0993894j 0.121828+0.00194729j 0.0200474+0.0579214j 0.0202519-0.06956j 0.0375781-0.026944j -0.0127373-0.0428264j 0.0505704+0.0256448j -0.0455605-0.00735267j 0.0619718+0.0446216j -0.00347783+0.0235476j 0.0169888-0.0108113j -0.0513884+0.0742555j 0.155002+0.0428288j -0.159833-0.118513j 0.0800377+0.174283j 0.130238-0.154415j -0.011301-0.0256349j -0.199199-0.0482034j 0.241204-0.0718435j 0.0141739+0.134042j 0.193894-0.109407j 0.102054+0.0732499j -0.0761421+0.0132423j 0.0768514+0.165933j 0.359453-0.0455212j -0.160437+0.244431j 0.0900884+0.257207j -0.0417015-0.26996j 0.0785379+0.231031j 0.0932612-0.145027j -0.0514698-0.0566696j -0.10316+0.0655952j 0.00578034+0.0341055j 0.0196781-0.0226211j 
-0.0473497-0.061448j -0.0647113+0.0361789j 0.0517748-0.0566657j 0.0436122+0.038263j -0.0157105-0.00265622j -0.0141164+0.0393717j 0.0188801-0.0563045j -0.0477404+0.129976j -0.0329796-0.0828329j 0.033218+0.0203423j 0.00986519-0.117149j 0.048824+0.0125361j 0.0942038+0.00999077j 0.0104811-0.0165966j 0.0335506+0.0969461j 0.0335808+0.121306j -0.163484+0.0720519j -0.113473+0.0586956j -0.186105-0.0406333j 0.0260756-0.0857443j 0.0928614+0.0827759j 0.0194668-0.0223425j -0.0324232+0.0542151j -0.0945664-0.07801j 0.0135206-0.0553184j -0.0522552+0.0471329j 0.0443284+0.209429j -0.113811+0.00156911j -0.114736+0.027344j 0.0331911-0.0155415j 0.125082+0.0846505j 0.110776-0.208021j -0.0592768-0.0482544j -0.105495+0.0352351j 
-0.0116668+0.0546439j 0.026509+0.0352486j -0.0317334-0.0298534j -0.034361+0.00887051j 0.0775679-0.0270582j 0.0107956+0.0132231j -0.0304426+0.0305876j -0.0217287+0.17538j -0.108851-0.011803j -0.00355-0.0304493j 0.147948+0.0217731j -0.0469959-0.0178249j -0.0437194-0.0664131j 0.0198419+0.0330214j 0.0459341-0.0078801j -0.0662717+0.094927j -0.0787615+0.236308j 0.136995-0.14937j -0.00386331-0.074305j -0.0640801-0.0661646j -0.0792459-0.0331247j 0.095606+0.0654282j -0.0120142+0.027272j -0.00314933+0.0309311j -0.0464343-0.0514348j -0.0559443-0.110536j 0.0945854+0.0116436j 0.13092-0.0318097j 0.0376635-0.093379j -0.0210783+0.0889291j -0.0289694+0.0255565j 0.170474+0.0781138j -0.181465+0.13658j 0.121847+0.0810219j 
0.0253712-0.0509566j -0.0537885-0.0141202j 0.00249016+0.0231005j 0.00816204-0.0011333j -0.08029-0.00120986j 0.0503028+0.0165878j -0.0324667-0.030546j 0.0762353-0.0145231j -0.00340799+0.00427506j -0.00272696-0.0124833j -0.0957685-0.0553758j 0.0664632+0.0152437j -0.0473634-0.0532728j 0.00821896+0.00817096j -0.0318951-0.0198473j -0.00289411-0.0148043j 0.0101572-0.0223072j 0.0864415-0.0944586j -0.0585404-0.048217j 0.0936547+0.0369738j 0.0326736-0.0327935j 0.0829964+0.0255682j -0.00385037-0.0647848j 0.0524745-0.0282143j -0.00570174+0.0191176j 0.0349219-0.0481309j -0.0282345+0.0454574j 0.0224619+0.149136j -0.0979094-0.0688653j -0.0275869-0.0677942j -0.0882723+0.0792241j -0.0956924-0.0714876j 0.0247422-0.0125399j -0.0262326+0.0258908j 
-0.0297241+0.0526588j 0.072872+0.0619093j -0.0182968-0.0104317j -0.0203569-0.0466853j 0.0206265-0.0212902j 0.000220515-0.0101167j 0.0105224+0.0308353j -0.0469416+0.0475587j -0.0448998-0.0362935j 0.0328257+0.035806j 0.051144-0.0540883j -0.0161804-0.012863j 0.0317879-0.0150384j -0.00937317-0.0231548j 0.0254356+0.0113602j -0.0201911-0.0134255j -0.0261411+0.0137794j -0.00565309-0.118145j 0.0492311-0.0535777j -0.0861507-0.00169066j 0.0343593-0.0320775j 0.0515177+0.0219305j -0.0206386-0.00680227j 0.0154812+0.085858j 0.0222765+0.0347385j -0.0118601+0.0404346j 0.0654133+0.0335669j -0.0107623-0.0724481j 0.0457115+0.0436373j 0.00819489-0.0232477j -0.0117637+0.0274169j 0.0724474+0.0793287j -0.055771+0.0603695j 0.0434677+0.0675767j 
0.00114123+0.0276464j -0.000559048+0.0129674j 0.00486411+0.0133759j 0.0143114-0.0406708j 0.0338982-0.0220485j 0.00898044+0.017937j -0.00210559-0.0232497j 0.00123742-0.00206865j -0.00514116+0.0392943j 0.0429975+0.0111001j -0.0214825+0.0232524j 0.0315754-0.0221625j -0.0158161+0.00180643j 0.00221015+0.0280643j 0.00817808-0.0107078j 0.0016542+0.00606729j 0.00821177+0.0132662j -0.0149583+0.0237211j -0.00661202+0.0132397j -0.00277408+0.00713998j 0.0258334+0.000345635j 0.0202979-0.0173455j -0.0623838-0.00854979j 0.0309568+0.0511219j -0.000100851-0.00642382j -0.0389055-0.0395249j -0.000313731-0.0149736j -0.0265585+0.0415762j 0.00779569+0.0119665j 0.00639617+0.00706515j 0.0260786-0.0131245j -0.00910654+0.00197879j -0.00962173+0.00160727j 0.00074977+0.0101384j 
