-0.205129-0j -0.227036-0j 0.532706-0j -0.119659-0j 0.538226-0j -0.209403-0j -0.074035-0j -0.122152-0j -0.129561-0j -0.0755774-0j -0.0197162-0j -0.0273256-0j -0.0298208-0j -0.0230991-0j -0.0233385-0j 0.062583-0j 0.0774426-0j -0.0173955-0j 0.0451748-0j -0.0150649-0j -0.0215258-0j -0.0107629-0j -0.00887895-0j -0.0108744-0j -0.0049136-0j -0.00108335-0j -0.0180175-0j -0.0026006-0j -0.0194611-0j -0.00280897-0j -0.0148636-0j -0.00214538-0j -0.0150177-0j -0.00216762-0j -0.0132945-0j 0.0631306-0j -0.00191889-0j 0.00911211-0j -0.016451-0j -0.0023745-0j -0.00959644-0j 0.0445712-0j -0.00138513-0j 0.0272942-0j 0.0064333-0j -0.00867046-0j 0.00393958-0j 0.0389998-0j -0.00125147-0j -0.00876031-0j 0.00562914-0j 0.0160866-0j -0.0107291-0j -0.00126444-0j 0.0023219-0j -0.00268229-0j -0.00154862-0j -0.0088511-0j -0.00542017-0j -0.000387155-0j -0.00127755-0j -0.00282797-0j -0.000782334-0j -0.00387235-0j -0.000408182-0j -0.000558926-0j -0.00142864-0j -0.000206206-0j -0.000272785-0j -3.93731e-05-0j 
0.239317-0j 0.0045892-0j 0.209403-0j -0.688684-0j -0.204241-0j -0.00832416-0j 0.0863742-0j 0.545955-0j -0.145917-0j -0.25841-0j -0.11262-0j 0.0318798-0j 0.000602783-0j 0.026949-0j -0.0262847-0j -0.0483803-0j 0.000527435-0j -0.00173463-0j -0.0345928-0j -0.0345645-0j 0.0476768-0j 0.000217556-0j 0.059703-0j -0.0247143-0j -0.0224335-0j -0.00743014-0j 0.0210204-0j 0.00303403-0j 0.000393376-0j 5.6779e-05-0j 0.0173409-0j 0.00250295-0j -0.0169135-0j -0.00244125-0j -0.0305024-0j 0.0106191-0j -0.00440264-0j 0.00153274-0j 0.000332533-0j 4.7997e-05-0j -0.0218098-0j -0.000596982-0j -0.00314797-0j 0.0107291-0j -8.61669e-05-0j -0.049902-0j 0.00154862-0j -0.0147993-0j -0.00720274-0j 0.0486721-0j -0.0021361-0j -0.0185323-0j -0.000426504-0j 0.00702521-0j -0.00267491-0j 0.00312933-0j -6.15606e-05-0j 0.0395599-0j -0.00610441-0j 0.000451681-0j 0.00570997-0j 0.0253915-0j -0.000881095-0j -0.0132401-0j 0.00366495-0j -0.00191105-0j -0.00816045-0j -0.00117786-0j -0.00218363-0j -0.00031518-0j 
0.146551-0j 0.162203-0j -0.377396-0j 0.0854883-0j 0.129561-0j -0.440296-0j 0.660765-0j 0.0872693-0j 0.0821729-0j -0.158911-0j 0.014086-0j 0.0195223-0j 0.021305-0j -0.0485688-0j 0.0166738-0j 0.0150649-0j -0.0548643-0j 0.0124279-0j 0.0108744-0j 0.00955477-0j -0.0452608-0j 0.0960593-0j 0.00634343-0j 0.006897-0j -0.0103315-0j 0.00077398-0j 0.0128723-0j 0.00185796-0j 0.0139037-0j 0.00200682-0j -0.0312527-0j -0.00451094-0j 0.0107291-0j 0.00154862-0j 0.00949801-0j 0.00650285-0j 0.00137092-0j 0.000938605-0j -0.0345904-0j -0.0049927-0j 0.00685603-0j 0.0107291-0j 0.000989583-0j 0.00583273-0j 0.00154862-0j -0.0182307-0j 0.000841882-0j -0.0276295-0j -0.00263138-0j 0.00625867-0j -0.00398798-0j 0.00387235-0j 0.00680485-0j 0.000903361-0j 0.000558926-0j 0.061075-0j 0.000982195-0j -0.0186106-0j 0.0483752-0j 0.00881542-0j -0.0026862-0j 0.0020204-0j 0.00698235-0j 0.002456-0j 0.000291619-0j 0.000354493-0j -0.00300389-0j -0.000433574-0j 0.000194887-0j 2.81295e-05-0j 
-0.209403-0j 0.223735-0j 0.178011-0j -0.122152-0j 0.185015-0j -0.200483-0j 0.371433-0j -0.111958-0j -0.389017-0j 0.354269-0j -0.365856-0j -0.0278948-0j 0.0293872-0j 0.0229091-0j 0.0238104-0j -0.0215258-0j -0.0249818-0j 0.0171426-0j -0.0139509-0j 0.0452608-0j -0.0213359-0j -0.0521262-0j -0.0428396-0j 0.0293335-0j 0.0511012-0j -0.0307442-0j -0.0183928-0j -0.00265478-0j 0.0191781-0j 0.00276812-0j 0.0147414-0j 0.00212773-0j 0.0153213-0j 0.00221145-0j -0.0135714-0j -0.00929171-0j -0.00195887-0j -0.00134114-0j -0.0157503-0j -0.00227336-0j -0.00879563-0j 0.0147993-0j -0.00126954-0j 0.0276295-0j 0.0021361-0j 0.00859913-0j 0.00398798-0j -0.0130245-0j 0.00124118-0j 0.00893745-0j -0.00187993-0j -0.0261515-0j -0.0311174-0j 0.00129001-0j -0.00377465-0j 0.0188554-0j -0.00449142-0j 0.00788154-0j -0.0271766-0j 0.00272154-0j 0.0011376-0j -0.0302725-0j -0.0039226-0j 0.0549869-0j -0.00436946-0j 0.00793667-0j 0.0257552-0j 0.00371744-0j -0.0109587-0j -0.00158175-0j 
0.0863742-0j -0.280171-0j 0.0755774-0j 0.0503849-0j 0.36091-0j -0.25841-0j 0.0311741-0j 0.061579-0j 0.257847-0j -0.442753-0j 0.261044-0j 0.011506-0j -0.0368-0j 0.0097264-0j 0.0464471-0j 0.00887895-0j -0.0322-0j -0.0214666-0j 0.00767323-0j 0.00634343-0j 0.0428396-0j -0.0132818-0j -0.0520153-0j 0.00548202-0j -0.0385217-0j 0.0926102-0j 0.00758665-0j 0.00109504-0j -0.0240157-0j -0.00346636-0j 0.00625867-0j 0.000903361-0j 0.0298875-0j 0.00431388-0j 0.00559792-0j 0.00383264-0j 0.000807991-0j 0.000553193-0j -0.0203012-0j -0.00293022-0j 0.00483775-0j -0.0185323-0j 0.00069827-0j 0.00387235-0j -0.00267491-0j 0.00365089-0j 0.000558926-0j 0.0261515-0j 0.000526961-0j 0.0174343-0j 0.00377465-0j -0.0317528-0j -0.0132401-0j 0.00251643-0j -0.00458313-0j 0.00112944-0j -0.00191105-0j 0.00446201-0j 0.010787-0j 0.00016302-0j 0.000644036-0j -0.0221708-0j 0.00155696-0j -0.0226853-0j -0.00320007-0j -0.00327434-0j 0.0189153-0j 0.00273018-0j 0.0672206-0j 0.00970245-0j 
0.026399-0j -0.116158-0j 0.0230991-0j 0.0153994-0j 0.0233385-0j 0.026949-0j 0.0095279-0j 0.0157202-0j 0.0166738-0j 0.0097264-0j 0.00253737-0j -0.165814-0j -0.180955-0j 0.557235-0j 0.56301-0j -0.127955-0j -0.158336-0j -0.105557-0j -0.0923625-0j -0.0914152-0j -0.13062-0j -0.0653102-0j -0.0538781-0j -0.065987-0j -0.0298161-0j -0.00657383-0j 0.00231875-0j -0.0318959-0j 0.00250453-0j -0.0344515-0j 0.00191287-0j -0.0263128-0j 0.00193269-0j -0.0265855-0j -0.00680178-0j 0.00117139-0j 0.093563-0j -0.0161132-0j -0.00841677-0j 0.115778-0j -0.00490978-0j 0.00193269-0j 0.0675374-0j 0.00118353-0j -0.0265855-0j 0.00111584-0j -0.0162802-0j 0.00169111-0j -0.0153491-0j 0.0011274-0j -0.0232623-0j 0.000697546-0j 0.00138078-0j -0.0155082-0j -0.00959521-0j 0.000345196-0j -0.0189936-0j 0.00113909-0j 0.000697546-0j -0.0047484-0j -0.0156689-0j 0.000363944-0j -0.00959521-0j 0.000498351-0j -0.00500629-0j -0.00685515-0j 0.000183858-0j -0.00252909-0j 3.51059e-05-0j -0.000482905-0j 
-0.0298208-0j -0.00057185-0j 0.0774426-0j -0.0173955-0j -0.0755338-0j -0.000527435-0j -0.0107629-0j 0.0345928-0j 0.0181824-0j 0.0322-0j 0.0140334-0j 0.187306-0j 0.00354159-0j 0.158336-0j -0.154433-0j -0.428983-0j -0.00919724-0j 0.00206593-0j 0.603218-0j 0.103264-0j -0.142438-0j 0.00127823-0j -0.178368-0j -0.145206-0j -0.131806-0j -0.043655-0j -0.0026193-0j 0.0360303-0j -4.90178e-05-0j 0.000674273-0j -0.00216082-0j 0.0297235-0j 0.00210756-0j -0.0289909-0j -0.00193269-0j 0.00917767-0j 0.0265855-0j -0.126245-0j -4.14362e-05-0j 0.000569983-0j 0.00271767-0j 0.000112264-0j -0.0373834-0j 0.00396792-0j -0.00154427-0j -0.00126048-0j -0.0545814-0j -0.00547317-0j 0.0173387-0j 0.00122941-0j 0.0752872-0j -0.00685374-0j -2.70242e-05-0j -0.0169113-0j 0.0942778-0j -0.00038994-0j 0.000371735-0j 0.00250659-0j 0.000760657-0j 0.00536388-0j -0.0344798-0j 0.00160886-0j -0.0104634-0j 0.00164983-0j -0.0221309-0j -0.0226945-0j 0.00101686-0j -0.0139875-0j 0.000272098-0j -0.00374289-0j 
-0.0243486-0j -0.026949-0j 0.0206985-0j 0.0700681-0j -0.0215258-0j -0.0474901-0j 0.0431889-0j 0.0285143-0j 0.0452608-0j 0.00871558-0j -0.0023403-0j 0.152935-0j 0.166901-0j -0.1256-0j 0.13062-0j -0.232092-0j -0.141881-0j -0.48029-0j 0.0851888-0j 0.488002-0j 0.230182-0j -0.296044-0j -0.0977274-0j -0.17912-0j -0.0267174-0j 0.00606325-0j -0.00213865-0j 0.0294186-0j -0.00231001-0j 0.0317757-0j 0.00171407-0j -0.0235782-0j -0.00178258-0j 0.0245206-0j 0.00310337-0j -0.00108041-0j -0.042689-0j 0.0148617-0j 0.00189713-0j -0.0260963-0j -0.00113909-0j 0.00350563-0j 0.0156689-0j 0.00321266-0j -0.0482223-0j -0.0049326-0j -0.0441923-0j 0.00151536-0j 0.0678512-0j 0.00512975-0j -0.0208447-0j -0.000643368-0j -0.00737104-0j -0.0705631-0j 0.00884996-0j 0.00219244-0j 0.101394-0j -0.00200733-0j 0.00316189-0j -0.0301584-0j 0.0276121-0j 0.000660143-0j -0.043494-0j 0.00135276-0j -0.00908071-0j -0.0186082-0j 0.00016475-0j -0.00226625-0j -3.23793e-05-0j 0.000445399-0j 
0.0246009-0j -0.0262847-0j 0.0215258-0j -0.0707942-0j -0.0217358-0j 0.0476768-0j 0.00887895-0j -0.0258668-0j -0.0155288-0j 0.0428396-0j 0.0429812-0j -0.15452-0j 0.162787-0j -0.13062-0j 0.131895-0j 0.234497-0j 0.142438-0j -0.468452-0j -0.0772791-0j 0.167533-0j -0.239239-0j 0.0587529-0j 0.466684-0j -0.0552108-0j -0.291363-0j -0.170304-0j 0.00216082-0j -0.0297235-0j -0.00225307-0j 0.0309925-0j 0.00178258-0j -0.0245206-0j -0.00179997-0j 0.0247598-0j -0.00313553-0j 0.0010916-0j 0.0431314-0j -0.0150157-0j -0.00190459-0j 0.0261989-0j 0.00103332-0j 0.00341923-0j -0.0142141-0j 0.00110292-0j -0.0470338-0j -0.00512975-0j -0.0151714-0j -0.00157498-0j 0.0705631-0j 0.00517979-0j 0.0216649-0j 0.00307232-0j 0.00244281-0j -0.0712515-0j -0.0422618-0j 0.000321684-0j -0.0336025-0j -0.0018743-0j -0.000649645-0j -0.00442498-0j 0.0257823-0j -0.00699415-0j 0.0089363-0j 0.00219497-0j 0.0962092-0j -0.0301933-0j 0.00311442-0j -0.0428409-0j 0.00128744-0j -0.0177096-0j 
0.021305-0j 0.000408549-0j -0.0548643-0j 0.0124279-0j -0.0181824-0j -0.001109-0j 0.0960593-0j -0.0247143-0j -0.011532-0j 0.0677045-0j -0.0100259-0j -0.133818-0j -0.00253023-0j 0.332921-0j 0.110332-0j -0.103264-0j 0.00651581-0j -0.00147597-0j 0.145206-0j -0.0654944-0j -0.299495-0j -0.0114082-0j 0.127432-0j 0.0920954-0j -0.277138-0j 0.0311886-0j 0.00187132-0j -0.0257413-0j 3.502e-05-0j -0.000481724-0j -0.00454339-0j 0.0624974-0j -0.00150571-0j 0.0207121-0j 0.00138078-0j 0.000945357-0j -0.0189936-0j -0.013004-0j -8.71249e-05-0j 0.00119846-0j -0.0019416-0j 2.70242e-05-0j 0.026708-0j 0.000847938-0j -0.000371735-0j -0.00265031-0j -0.011664-0j 0.00387748-0j 0.0364568-0j -0.000878332-0j -0.0533373-0j -0.00164983-0j 1.71398e-05-0j 0.012082-0j 0.0226945-0j 0.00887884-0j -0.000235769-0j 0.00527043-0j -0.00678889-0j -0.122134-0j -0.0724982-0j -0.00114942-0j 0.0933858-0j -0.00104639-0j 0.0158111-0j 0.0143937-0j 0.00213807-0j -0.0294106-0j -0.000194396-0j 0.00267405-0j 
-0.0175758-0j 0.0378945-0j 0.014941-0j -0.0102525-0j -0.0139509-0j -0.0339563-0j 0.0311754-0j -0.0402328-0j 0.0293335-0j 0.00753205-0j 0.0737384-0j 0.110394-0j -0.234688-0j -0.0906631-0j 0.084655-0j 0.0851888-0j 0.199506-0j -0.136902-0j 0.236383-0j -0.17912-0j -0.0758572-0j 0.416284-0j 0.0429454-0j -0.497026-0j 0.245627-0j -0.425576-0j -0.00154376-0j 0.0212355-0j 0.00324824-0j -0.0446817-0j 0.00123728-0j -0.0170197-0j -0.00115529-0j 0.0158918-0j -0.00113909-0j -0.00077988-0j 0.0156689-0j 0.0107278-0j -0.00266767-0j 0.0366955-0j -0.00316076-0j 0.00250659-0j 0.0434784-0j 0.00231902-0j -0.0344798-0j 0.000721749-0j -0.0318997-0j 0.000982102-0j -0.00992814-0j -0.00067392-0j -0.0135095-0j -0.000556002-0j -0.00527043-0j 0.00927022-0j 0.00764818-0j 0.00158259-0j 0.0724982-0j 0.00283228-0j 0.00204922-0j -0.0217695-0j -0.0389598-0j 0.00308605-0j -0.0281884-0j 0.00116906-0j -0.0424507-0j -0.0160813-0j -0.00519098-0j 0.0714054-0j 0.00418817-0j -0.0576111-0j 
