0.0117096-0.0078739j 0.0206033+0.0060526j 0.032716-0.0108528j -0.0165832+0.0191695j -0.0168565-0.00306715j 0.0164106+0.00405783j 0.0282541+0.00679986j -0.0076084-0.00594228j 0.0172973+0.00533036j 0.00219768+0.00805409j 0.0180265+0.00536217j 0.011127-0.00871834j 0.00135844+0.0156842j -0.00189537-0.0198144j -0.00575081+0.00752811j -0.0129319-0.00903491j -0.000383086-0.000240253j -0.0191136-0.00339866j 0.00484651-0.0034981j -0.000363177-0.0109827j 0.0175772+0.0043091j -0.0104016+0.0265238j -0.00162375+0.0144866j -0.00125961-0.0154257j 0.00637859-0.00643641j -0.015618-0.00849743j 0.000281466+0.00610076j -0.00853232+0.0077464j -0.00909264-0.015708j 0.00792651-0.00376309j 0.00276971+0.00958012j -0.00596329+0.00998314j 0.0124095+0.000987084j -0.00500871+0.0116578j -0.00459055+0.0024333j 0.0381014+0.00023084j -0.00723522-0.0127384j -0.0149119+0.00471827j -0.0022544-0.0187386j 0.00315961+0.0245701j 0.00446822-0.00309384j -0.00936395+0.0128275j -0.0345134-0.00714659j 0.0118962-0.00400827j 0.0430022-0.0159529j 0.00456773-0.0101788j 0.00443847+0.0351347j -0.0128569+0.0202446j 0.0207733-0.0208367j -0.0117357-0.0100413j 0.00754502+0.00837499j 0.0125594+0.00871633j -0.00795214+0.00170713j -0.0148249-0.0116988j -0.0151829-0.00495837j 0.0112158-0.00551511j 0.00706796-0.00867311j 0.0185384+0.0066588j -0.00648003+0.0284783j 0.0160339+0.00176241j 0.00630635-0.0195409j -0.037102-0.0227464j -0.0167268+0.00173864j -0.00214153-0.0174706j -0.0197741+0.00394887j 0.00912075+0.0115936j -0.0386196-0.0895463j -0.0737292+0.0196831j -0.0372597-0.0283329j -0.0464259-0.0198072j 
0.0196037+0.00543366j -0.0103519+0.00995421j 0.0132333-0.0190891j 0.039049-0.0116583j 0.00240221+0.00419272j -0.0220393-0.00536037j 0.0218375+0.00327888j 0.0251028-0.00454558j -0.00432843+0.00276902j 0.0182371+0.000851887j -0.00839198-0.00118606j 0.0227015+0.0173675j -0.0217724+0.0055037j 0.00995424-0.00556817j -0.0157322-0.00465502j 0.00712287+0.00759631j 0.00202771+0.00629758j 0.00326395-0.0113929j 0.0190298-0.00691202j 0.00795916+0.00324462j 0.00251156+0.0176013j -0.0179846+0.00609616j -0.0122743+0.00547312j 0.00787113+0.0142167j 0.0145606+0.00307465j 0.0134971-0.0177821j -0.00174352+0.00771692j -0.0194545-0.0146553j 0.00717532-0.00884896j 0.00327321+0.0101119j -0.0129247-0.000395515j -0.0184528+0.00788965j 0.00920777+0.00154644j -0.0035699-0.0184758j 0.00373845-0.0106171j 0.00581651+0.0186786j 0.0057799-0.0228778j 0.00188582+0.0055062j 0.00882112+0.00630527j -0.0341211+0.00278566j 0.0102858-0.00409023j -0.0175668-0.013622j 0.0303592-0.0281097j 0.00332705-0.00763999j 0.0245871+0.0353143j 0.0134883+0.0020194j -0.0189594+0.0135344j -0.0178481-0.0144075j 0.00427035+0.0258072j 0.0232549-0.0204665j -0.00890034+0.00355804j 0.00286482+0.00160256j -0.0153263-0.00217482j 0.00712591+0.00890035j -0.0055377-0.0157212j -0.01192-0.0174553j -0.0116573-0.00919593j -0.0047555-0.0224189j 0.00375776+0.0115892j -0.0107751+0.00709459j -0.0313074-0.000665278j -0.0150716+0.0107619j 0.00801667+0.0353478j 0.00757079-9.47733e-05j 0.00414755-0.00867817j -0.00570864+0.00521851j -0.0805427+0.0171186j 0.0403453+0.087534j 0.0509446+0.0194537j -0.0364311-0.0277885j 
-0.0218719+0.00337324j -0.0078713-0.0110215j -0.00776122+0.0250041j -0.0243628-0.00712309j 0.0144627-0.00548803j 0.0143191-0.015895j 0.00023439+0.00541438j 0.00586575+0.00806906j 0.0112565+0.00857458j -0.035817+9.51718e-05j -0.00108958-0.00159736j -0.0150472+0.00838539j 0.00313187+0.00714174j 0.0139758-0.00162489j 0.0149095+0.0101686j 0.00427898+0.0222899j -0.0131114+0.0138013j -0.0156861-0.00476927j -0.00989183-0.0169778j 0.000804759-0.00401742j -0.00976176-0.0121575j -0.0178393-0.022305j -0.00933085-0.021952j -0.0236106+0.0119472j -0.00809774-0.00348897j 0.00449383+0.00975793j 0.000921699+0.0202733j 0.0118978+0.026279j -0.0110573-0.00172835j -3.90167e-05+0.000775087j 0.019162+0.00233046j -0.0123073-0.0130248j 0.00965063+0.00469951j 0.00322298+0.00757518j -0.0069887+0.00115086j 0.0131527-0.00450079j -0.00650049-0.00263543j 2.79155e-06-0.0347554j -0.0024483-0.0330655j -0.0130068-0.0114679j 0.0109075+0.00543432j 0.00178455-0.00762071j 0.0235108-0.00786775j 0.0295487-0.00546486j -0.0103138+0.00411139j 0.0149209-0.0125674j 0.000260272-0.0123177j -0.0179168-0.0163185j -0.0201575-0.0187734j -0.0111311+0.00770474j 0.0175598-0.0211229j 0.000709297-0.0112405j 0.0164345-0.013523j -0.00856511-0.00271994j -0.000571602+0.0130821j -0.00168883-0.0170803j -0.00452288+0.0280572j 0.0296073+0.0216858j 0.0130296+0.00871418j 0.00210882+0.0116233j 0.00460568-0.0242752j 0.00194234+0.0119991j -0.0475586+0.00287718j -0.0542482-0.0390217j 0.034884-0.0694724j 0.0359628+0.00432371j -0.0038691+0.0191662j 0.0153765-0.0351572j 0.00867206+0.0251758j 0.0218717+0.00448593j 
-0.00809271-0.00823791j 0.0209321-0.00366089j 0.0155775+0.0143384j -0.00729193+0.0239203j -0.019958+0.0210588j 0.00405985+0.00286073j -0.0114364-0.0154709j 0.0137941-0.00579603j 0.0119047-0.00706068j 0.0157643+0.00427963j 0.0261958-0.00599319j -0.00579363-0.014355j -0.00236098-0.00688649j 0.00244452+0.00853777j -0.0158988-0.0198546j -0.0222869-0.0162152j 0.0141345-0.00782411j 0.00163707-0.00300876j -0.0132176+0.0120797j 0.00196636-0.0103647j -0.00340508-0.0162299j 0.0120666+0.0171848j 0.0226398+0.0114558j -0.00448598+0.00179683j -0.00674793-0.0209187j -0.0227607+0.00257013j -0.00869702-0.0255788j -0.0155234+0.00133801j 0.00089286+0.00335446j 0.00059545-0.0118083j 0.00646112+0.0177749j 0.0072086-0.00564258j 0.0154195+0.0131904j -0.00308165+0.0338811j 0.00406516-0.000467678j 0.0119922+0.0145985j -0.00870478+0.0151911j 0.0202069-0.0147821j -0.00290328-0.00436478j 0.0189072-0.0262363j -0.00447526+0.00598517j -0.000376003-0.00504433j 0.00475994+0.0153035j -0.00888635+0.0181023j -0.0192667-0.0290983j 0.00613112+0.0186799j -0.00979061+0.0259804j 0.034175-0.00904342j -0.0125308-0.0149538j -0.0238163-0.0020307j 0.0153537-0.0100388j 0.00115941+0.0107812j -0.0328326-0.0206073j -0.00958602+0.0109438j 0.0115885+0.00212837j -0.0233209+0.0205679j 0.0113407+0.0183209j 0.00784078-0.0169415j 0.00643443+0.0229563j 0.000181189-0.00859184j -0.0041937+0.00805394j 0.0237089+0.00266401j 0.029344+0.0328169j -0.0409488+0.0386394j -0.0670858-0.0105137j 0.0160504-0.0384153j 0.0181304-0.0434543j 0.00305106-0.0436986j -0.0255892+0.000290459j 0.00969471+0.0231744j 
0.0124992+0.0136528j -0.0198013+0.0120634j -0.00071278-0.0170777j 0.0561243-0.0275227j 0.00840172+0.0140485j -0.0333244-0.0127494j 0.0188973-0.00652538j 0.0358018-0.00580377j -0.00673837+0.0060723j 0.0193017-0.00238173j -0.012042-0.00406303j 0.0253531+0.027771j -0.0215279+0.00536043j 0.00686075+0.00163098j -0.020814-0.0117453j 0.00676242+0.00980638j 0.00289349+0.0135793j 0.0159433-0.0145416j 0.0192324-0.0180723j 0.00746779+0.00521898j -0.00143178+0.0200192j -0.0194629+0.000634905j -0.0106638+0.00339246j 0.0100528+0.0352004j 0.016928+0.000517102j 0.0256998-0.0114552j -0.000954749+0.00697157j -0.0202548-0.0208447j 0.00891284-0.00236852j 0.00427582+0.0147861j -0.00336929+0.00129406j -0.0201791+0.0149107j 0.0149752+0.000974215j -0.00538756-0.0233826j 0.00814888-0.0195541j -0.010384+0.027008j 0.0116176-0.0278246j 0.00707057-0.000747151j 0.0106+0.0140002j -0.0440478-0.00947167j 0.0217302-0.00290052j -0.027979-0.0243486j 0.0563118-0.0433769j 0.00846615-0.00875592j 0.0190513+0.050443j 0.0273219+0.0109069j -0.0263492+0.00703404j -0.0126237-0.0334649j 0.00713327+0.0584461j 0.0469657-0.00547628j 0.00269266-0.000654505j -0.0192151+0.00517368j -0.0215262+0.00696753j 0.0323923+0.0269789j 0.0322216-0.0359493j -0.0164193-0.0464194j -0.021149+0.0133454j 0.00494407-0.0202913j 0.0136922+0.0232051j -0.0335687+0.00210745j -0.0524987+0.0100588j -0.0113237+0.027188j 0.00277223+0.0612455j -0.0109235-0.0107329j 0.0248278-0.00861458j -0.0186591+0.00657249j -0.101415+0.0520236j 0.077682+0.098732j 0.0667114-0.013781j 0.0171217-0.0352957j 
-0.0188233+0.00923435j -0.01834-0.0129514j -0.0520848+0.0215557j 0.00572928-0.0281398j 0.0185241+0.00374482j -0.0154562+0.00136552j -0.0428644-0.0159482j 0.00384297+0.00650123j -0.0230776-0.00848278j -0.00751776-0.0112167j -0.0155172-0.00345825j -0.0100451+0.00695463j 0.00452026-0.0257693j 0.000848113+0.0289009j 0.00745118-0.0149513j 0.018582+0.000913171j 0.00360543-0.00519973j 0.024374+0.00438308j -0.00850732+0.00652495j -0.0056948+0.0123378j -0.0282718-0.00935682j 0.0140205-0.0471867j 0.00303038-0.0249036j 0.00181357+0.0232573j -0.00808+0.0125559j 0.0115658+0.0215427j 0.00100476-0.0136044j 0.0217928-0.00773475j 0.0144973+0.0280147j -0.011587+0.00114184j 0.00535236-0.00691584j 0.0147314-0.0170739j -0.0194996+0.00236678j 0.00782344-0.00783943j 0.00605667-0.00542111j -0.0595787-0.0119723j 0.00241907+0.0315839j 0.0206507-0.00863201j -0.00801356+0.0296j 0.0151368-0.0404603j -0.00765245+0.0129211j 0.0180215-0.0113719j 0.0359839+0.0173638j -0.0175715+0.0159099j -0.0707661+0.00955076j -0.0178062+0.0191897j 0.00837574-0.0496859j 0.023735-0.0175539j -0.0409903+0.0302588j -0.0046439+0.0329702j -0.00826519-0.0116048j -0.0379052-0.0322024j -0.0109237+0.00578826j 0.0128485+0.0251638j 0.0294701+0.0347584j 0.0121987+0.0239223j -0.0288051+0.0204639j -0.0273259-0.00897371j 0.018015-0.0381956j -0.0215471+0.00894412j 0.0032076+0.0409029j 0.0664994+0.0234498j 0.0364714-0.00316655j -0.013259+0.029359j 0.0203157-0.0119922j -0.00711818-0.00189441j 0.0749186+0.112285j 0.0902699-0.0532143j -0.0143246+0.0352656j 0.0575633-0.014782j 
-0.0119619+0.00223948j -0.00191976+0.00161133j 0.00606495+0.0226934j -0.0109145-0.00281554j -0.00958289+0.0132189j -0.00392038-0.00124433j -0.00435704-0.00930065j 0.0122923-0.00218335j 0.00988582+0.00233239j -0.0115279+0.00700319j 0.0125148+0.00370001j 0.00110766+0.00987437j 0.00225717+0.0026258j 0.00570667+0.00638588j -0.0096128-0.0160388j -0.0211687-0.0117631j -0.00175983-0.0100774j 0.0052552-0.0177533j -0.00196902+0.00539722j -0.00427692-0.010673j -0.0119453-0.00702825j 0.00586844-0.00625159j 0.00888933-0.00684663j -0.0045803+0.0159008j -0.00234389-0.00685579j -0.00574306+0.00826391j -0.005075-0.0048919j 0.00303991+0.00069967j 0.00473111+0.000966945j 0.00471728-0.0144951j 0.0146342+0.0160132j -0.00423361-0.00759354j 0.00888042+0.0142526j -0.0043484+0.0257954j 0.0136862-0.0196095j 0.0099725-0.00501626j -0.00641398-0.0102022j -0.00873274-0.0188799j -0.00448292-0.0136065j 0.00544898-0.0126538j 0.0117626+0.00735083j -0.0259331+0.0129495j -0.0099524-0.00908596j 0.00359102+0.00960468j -0.00190171-0.0161708j 0.00355745-0.0128632j 0.000188191+0.0269606j -0.001742+0.00447731j -0.00271038+0.00586475j -0.0124159+0.01119j 0.0122202-0.0214415j -0.013182-0.00272523j -0.028327+0.00878323j 0.0274277-0.0152947j -0.0188657-0.022491j 0.00790355+0.0075622j 0.00169861+0.0147843j 0.0363687+0.0228073j 0.00604034+0.0129865j -0.0224965+0.00199815j 0.00538288-0.0147821j -0.00504004-0.0019134j -0.0252318+0.0144588j -0.03166-0.00942975j 0.00872933-0.0146615j 0.0151894-0.00185292j -0.0127038-0.0102011j -0.00898642-0.0110346j 0.00690182+0.0137134j -0.00624394+0.00852417j 
-0.012073+0.00932121j -0.0074305+0.00158559j -0.014815+0.0163259j -0.0100493+0.0080814j 0.00126222-0.00320919j -0.00460836+0.0248462j -0.00720359+0.0157069j -0.0114969+0.0207661j -0.00470149-0.00309858j -0.00263598-0.00366926j -0.00190069+0.00391936j 0.0140714+0.00631063j -0.00316621-0.0294642j -0.00199592+0.011797j 0.00639919-0.00151495j 0.000703401-0.00855332j 0.00167201-0.0114243j -0.00618502-0.0287193j 0.00941346+0.00239329j -0.00680025-0.0185825j -0.0181618+0.0101191j -0.00261988-0.0257781j -0.0097361-0.00699808j -0.00810219-0.00585579j 0.0261172+0.024652j -0.00642249-0.00417053j 0.0109319+0.00441186j -0.00182548-0.0142067j 0.0176754-0.0124106j 0.0159123+0.00942936j -0.00652452+0.0124836j 0.00962166-0.0330544j -0.0197594+0.0241526j 0.0270332-0.0141253j 0.0208927-0.00680185j 0.00856093-0.0150005j 0.00219302+0.0152552j 0.0283034+0.0101527j -0.00830275-0.00203149j -0.00304737-0.0153661j -0.0224749+0.0246238j 0.013538-0.00385331j -0.013841+0.00148955j -0.000714186-0.0234865j -0.000562078+0.0114816j -0.0261932+0.00465022j -0.0103545+0.0108033j -0.0201584+0.0484073j -0.017621-0.0262281j 0.054073-0.0112898j -0.00823221-0.00547541j -0.0237398-0.0107382j -0.0191411+0.0067808j -0.0105736+0.00779303j -0.0112921-0.00688222j 0.0195198-0.017538j 0.0167349+0.0114584j 0.0136764-0.0545082j 0.0597896+0.00243528j -0.00918778+0.0377288j 0.0411088-0.00280533j -0.014158-0.00798789j 0.0183797+0.0160427j -0.0111774+0.0115771j -0.00290903+0.0270252j -0.00187877+0.0194564j 0.00446478+0.0239953j 0.0141665+0.0240686j 0.0153245+0.00700369j 0.0118328+0.00751695j 
-0.0160905-0.000378103j 0.0172164-0.0105921j 0.0212899+0.00770618j -0.0147589+0.0341897j -0.0105616+0.0024947j -0.00355828-0.0296288j -0.00294076-0.0219328j 0.0212946+0.00913639j 0.0215746-0.028143j 0.0108831+0.0148974j -0.00122998-0.0262753j -0.0104306-0.0275388j -0.0196927-0.00238935j -0.00933004-0.0106847j 1.52864e-05-0.0141038j -0.00461936+0.0142402j 0.0127181-0.00892245j -0.00465211+0.00937407j -0.024586+0.0166498j 0.013791+0.0221243j 0.00127861-0.0169727j 0.0109091+0.02484j 0.0249924+0.014173j 0.0106866-0.00925017j -0.0217639-0.0245496j -0.0227044-0.0219804j -0.028387-0.0122835j 0.00366518+7.56287e-05j 0.00318433-0.00912815j -0.013858+0.00867011j -0.00744677-0.0288758j 0.00544691+0.00146136j -0.0018137-0.0122568j -0.00421514-0.000371954j -0.00883049+0.0080898j 0.0271047+0.00558531j 0.00168743-0.00630672j 0.00627396+0.00155709j -0.00350627+0.0055817j -0.012476-0.0120927j -0.00745906-0.0195988j 0.00702915+0.00378512j 0.0165132+0.00688765j 0.0136932+0.0187969j -0.0100475+0.0129643j -0.0177822+0.00298629j 0.0143872-0.0182506j 8.83415e-05-0.0164135j -0.052063-0.00969698j -0.0115995-0.00254769j -0.0145131-0.0268228j -0.0287831-0.016872j 0.0274542+0.0143398j 0.00504127-0.0043451j -0.0143065+0.0323519j 0.00809962+0.0173762j 0.0241797+0.00794408j -0.0275656+0.0188694j 0.0143298-0.0287822j 0.0552416-0.0123916j -0.0137767-0.0249304j -0.0173844+0.0284972j 0.0241613-0.00961329j -0.0163936+0.001522j -0.00984702-0.0286687j 0.033082-0.00220964j 0.0126612+0.0133812j 0.00411132-0.0427744j -0.00965117-0.00347202j 0.0210029+0.0198584j 
0.00253531-0.00924428j 0.0141799-0.00412327j 0.00878588+0.00522113j 0.0186538+0.0223593j -0.0030456+0.0139521j 0.00561775+0.0171986j -0.00895526+0.00819252j 0.00458187-0.0123107j 0.0119674-0.000501467j 0.0289532-0.00776046j 0.0135938-0.0126335j -0.0031755-0.00607967j 0.00501304-0.011499j 0.00593568+0.00471788j -0.010025+0.00221574j -0.00611558-0.00468007j 0.0107657+0.0120045j -0.011849+0.00493765j -0.0129232-0.00104583j 0.00962253-0.013216j -0.0145322-0.0103613j -0.00501127+0.0257053j 0.0160895+0.0238538j -0.00471545+0.0118513j 0.00130081-0.0179909j -0.0132483-0.000573156j 0.00705767-0.0177671j -0.0425311+0.00965904j 0.00513-0.00507387j 0.0119236+0.0122953j 0.00322211+0.0278268j -0.00400055+0.00499006j 0.0150264+0.0158673j 0.00145421+0.0058652j -0.00569914+0.00636176j 0.0119947+0.0279643j 0.0129835+0.0122562j 0.0397554-0.0180493j 0.00468955+0.00573578j -0.000337592-0.0211731j -0.00126672+0.00835007j -0.00689532-0.0280286j 0.0242778+0.00438455j -0.0051049+0.0054316j -0.0132654-0.0166203j 0.00599357+0.0311227j -0.017568+0.0331175j 0.0301784-0.0253709j 0.0386798+0.000821803j -0.0103834-0.0148821j -0.00528775+0.0199071j 0.00656502+0.00427466j -0.012103+0.000676994j -0.0320902-0.0277819j 0.00242505+0.0222877j -0.00918152-0.0131692j 0.00145478+0.0140429j 0.0157317-0.0337099j -0.00417091+0.0365265j -0.00194726-0.0144163j -0.000363896+0.0154445j 0.0374664+0.00781134j 0.0125067+0.0454951j -0.0171206+0.0257848j -0.0498914+0.00123972j 0.0230164-0.0180918j -0.0103302-0.0356037j 0.0150781-0.0154525j -0.00555543+0.00756148j 0.00290241+0.00934006j 
-0.0176027+0.00637756j -0.0181865-0.0119097j -0.0140433+0.0292516j -0.0210697-0.0276018j 0.0277763-0.0114212j 0.00919125-0.0155024j 0.0118545+0.015503j 0.0101481+0.0160739j 0.0178485+0.0160806j -0.0412596-0.00210134j -0.0205777+0.00134954j -0.0124051+0.0206266j 0.00383855+0.0160522j 0.0188766-0.00869102j 0.0178467+0.0193593j 0.0221253+0.0395511j -0.024095+0.0303273j -0.02553-0.0128407j -0.00296849-0.0313227j 0.00878042-0.00419697j -0.0148524-0.00676811j -0.0321406-0.0327226j -0.0164104-0.033781j -0.0337598+0.0200079j -0.00801559-0.00110444j 0.0202858+0.0102142j 0.00762385+0.0332981j 0.011456+0.0451527j -0.0125545-0.0113638j 0.00770566+0.0144474j 0.0221586-0.00460496j -0.027864-0.00923387j 0.0122319+0.00168634j 0.00781504-0.0107114j -0.0188293-0.014264j 0.022328-0.00379369j -0.00507081-0.0230717j -0.00583872-0.0509694j 0.0103286-0.0562528j -0.0513863-0.000995687j 0.0133304+0.00243234j -0.0136525-0.000358253j 0.0363241-0.0218495j 0.0360819-0.00233863j -0.0107287+0.026776j -0.000434075-0.0208972j 0.00997857-0.0259899j -0.0507231-0.0221058j -0.00973733-0.00283693j -0.00491788+0.0184514j 0.0265258-0.0347552j -0.0022063-0.0185265j 0.0581235+0.00787186j 0.00855234-0.00561118j -0.00211242+0.0215004j 0.01518-0.0523917j -0.0242099+0.0152584j 0.0420785+0.0475878j -0.00179542-0.00135006j -0.00300418+0.0241494j -0.000538407-0.0478599j -0.024551+0.0334007j -0.0664552+0.0100962j -0.0436348-0.06447j 0.0747231-0.0768443j 0.0410045+0.0247953j -0.0258237+0.0435992j 0.0269063-0.0138599j 0.0159759+0.0252974j 0.0248745-0.0253665j 
