-0.145376-0j 0.697403-0j 0.70463-0j -0.0085127-0j 0.117098-0j -0.0105339-0j 0.144901-0j -0.00614479-0j 0.0845257-0j -0.00600051-0j 0.0500155-0j -0.00700059-0j 0.0126807-0j -0.00428697-0j 0.0583514-0j -0.00612552-0j 0.0357328-0j 0.0147941-0j -0.00252665-0j 0.0090595-0j 0.0510575-0j 0.0210601-0j 0.0129448-0j 0.00533947-0j -0.00463339-0j 0.0364116-0j -0.00523398-0j -0.000472894-0j 0.00919942-0j -0.00427352-0j 0.00108985-0j 0.0411312-0j -0.00431781-0j -0.00053419-0j -0.00373933-0j 0.0335835-0j 0.0103918-0j -0.00308479-0j -0.000436165-0j 0.0339315-0j 0.00123112-0j -0.000985606-0j 0.00848491-0j 0.0293856-0j -0.000440685-0j -0.000381644-0j 0.00857284-0j 0.0242419-0j 0.0010052-0j 0.0074243-0j -0.00031484-0j 0.00774539-0j 0.00101562-0j -0.000100593-0j 0.000879552-0j 0.00612473-0j 0.00195688-0j 0.000725593-0j 0.000231831-0j 
0.00179384-0j 0.0105339-0j -0.0102743-0j -0.579624-0j 0.000875074-0j -0.0124269-0j 1.87613e-05-0j 0.815043-0j -0.00123049-0j 0.00427352-0j -0.0722258-0j 8.63828e-05-0j 6.29549e-05-0j 0.00305315-0j -0.00145993-0j -0.00421139-0j -0.0516006-0j 1.27254e-06-0j -0.00527368-0j 4.49772e-05-0j 0.0711756-0j 0.0891291-0j -6.20396e-05-0j -7.76886e-05-0j 0.00329987-0j 0.000549979-0j 6.45839e-05-0j -0.0647348-0j -0.0065726-0j 0.00304358-0j 4.05098e-06-0j 1.0764e-05-0j -0.00296856-0j -0.00126697-0j 4.6141e-05-0j 0.000507263-0j -0.000128636-0j -0.00427975-0j -0.059707-0j -0.00049476-0j 7.92842e-08-0j -0.00274696-0j -0.00606211-0j 7.69016e-06-0j 0.0582353-0j -0.000905164-0j 0.00591269-0j -0.000713291-0j 3.73634e-06-0j -9.19023e-05-0j 0.0839573-0j -0.000457827-0j -3.64425e-06-0j 0.0538881-0j 5.66434e-08-0j 0.00852428-0j 0.00547132-0j -5.25388e-06-0j -3.37221e-06-0j 
-0.000258919-0j 0.144901-0j -0.14133-0j -0.000875074-0j -0.561486-0j -1.87613e-05-0j -0.0120381-0j 0.00123049-0j 0.789538-0j -0.00061683-0j 0.0103918-0j -1.24683e-05-0j -0.123791-0j -0.000440685-0j 0.000210055-0j 0.000607861-0j 0.0074243-0j -0.00250225-0j 0.00076119-0j -0.0884406-0j -0.0102407-0j -0.0128239-0j 0.121991-0j 0.152762-0j -0.000476296-0j 0.00756533-0j -9.32188e-06-0j -4.86117e-05-0j -0.0441113-0j -0.000439302-0j -0.0160433-0j 0.000148066-0j 0.000428475-0j -9.51411e-07-0j -6.65987e-06-0j 0.00697774-0j -0.000863331-0j 0.000617728-0j -4.48361e-05-0j -0.00680575-0j -0.000313993-0j 0.00039649-0j -0.0406853-0j 0.000105783-0j 4.3731e-05-0j -6.79721e-07-0j 0.0396825-0j -0.00981179-0j -0.0147972-0j -0.000616793-0j 6.30466e-05-0j -0.00629771-0j 0.0144325-0j 4.04665e-05-0j -0.000224327-0j 0.0572099-0j 0.0367202-0j 0.0208072-0j 0.0133551-0j 
0.0595889-0j -0.0058901-0j 0.00612552-0j 0.00348932-0j 0.00050364-0j -0.00419489-0j -0.000605481-0j 0.00251872-0j 0.000363546-0j -0.355074-0j 0.000434797-0j -0.414253-0j 3.6233e-05-0j 0.746588-0j 0.000507263-0j 0.352153-0j -0.000914215-0j 4.22719e-05-0j -0.149512-0j -7.61846e-05-0j -0.000431219-0j 0.000183081-0j -3.59349e-05-0j 1.52567e-05-0j 0.00189921-0j -0.0456961-0j 0.00214538-0j 0.000193837-0j 3.95668e-05-0j -0.00170183-0j 2.3315e-06-0j -0.0516192-0j 0.00176985-0j 0.000218962-0j -0.00451094-0j 0.0409471-0j 4.46955e-05-0j -0.00122845-0j -0.000173692-0j -0.0425837-0j 2.63371e-06-0j 0.000403995-0j -3.54548e-05-0j 0.108536-0j 0.000180635-0j -0.000460396-0j 3.68719e-05-0j 0.0295572-0j -2.08919e-06-0j -9.39779e-05-0j -0.000125378-0j -0.00972037-0j 2.1727e-06-0j 4.12326e-05-0j -5.5377e-06-0j -2.55926e-05-0j 8.41657e-06-0j -1.50806e-06-0j 4.95951e-07-0j 
0.0581202-0j -0.00612552-0j 0.00618528-0j -0.00352548-0j -0.000508859-0j 0.00421139-0j 0.000607861-0j -0.00228486-0j -0.000329791-0j 0.358754-0j -0.000439302-0j -0.404042-0j -3.66085e-05-0j 0.256306-0j 0.00049476-0j -0.366008-0j -0.000313853-0j 4.123e-05-0j 0.713974-0j -2.61544e-05-0j 0.000448185-0j -0.000874278-0j 3.73488e-05-0j -7.28565e-05-0j -0.00191889-0j 0.0461696-0j 0.0020925-0j -0.000195846-0j -3.99768e-05-0j -0.00176985-0j -2.35566e-06-0j -0.0503469-0j 0.00178712-0j 0.000213565-0j 0.00149496-0j 0.0425837-0j 4.35938e-05-0j -0.00114704-0j -0.000180635-0j -0.0429991-0j 2.56879e-06-0j -0.00428029-0j -3.68719e-05-0j -0.0359696-0j 0.000182397-0j 0.000152578-0j 3.72316e-05-0j 0.0275984-0j -2.1727e-06-0j 3.11449e-05-0j -0.000117069-0j 0.102986-0j 2.19389e-06-0j -0.000436855-0j 1.83523e-06-0j -2.38967e-05-0j -8.91727e-05-0j -1.40812e-06-0j -5.25455e-06-0j 
-0.0105339-0j -0.0490952-0j 0.0510575-0j 0.0589721-0j 0.00848491-0j -0.0708968-0j -0.0102006-0j 0.0425683-0j 0.00612473-0j -0.000434797-0j -0.346484-0j -0.000507263-0j 0.00091884-0j 0.000914215-0j -0.404231-0j 0.000431219-0j 0.728527-0j 0.00107198-0j -0.000183081-0j -0.00193198-0j 0.343633-0j -0.145895-0j -0.00091128-0j 0.000386898-0j -0.000335736-0j 0.00263838-0j -0.000379254-0j 0.00658625-0j -0.0637293-0j 0.000300844-0j 7.89705e-05-0j 0.00298037-0j -0.000312868-0j 0.00743996-0j 0.000797429-0j -0.00236418-0j -0.0719899-0j 0.000217161-0j -0.00590177-0j 0.00245868-0j 8.92066e-05-0j -7.1417e-05-0j 0.0571062-0j -0.0062666-0j 0.00613765-0j -0.0156435-0j -0.0593887-0j -0.00170656-0j -7.07634e-05-0j 0.151368-0j -0.00426012-0j 0.000561231-0j 7.35917e-05-0j 0.00140101-0j -0.000187568-0j 0.0412215-0j -0.0135564-0j -5.10797e-05-0j 1.67984e-05-0j 
0.000877828-0j 0.0124473-0j -0.0129448-0j 5.14025e-05-0j 0.101075-0j -6.17966e-05-0j -0.121513-0j 3.71043e-05-0j 0.0729598-0j 3.6233e-05-0j -0.00091884-0j 4.22719e-05-0j -0.335489-0j -7.61846e-05-0j -0.00107198-0j -3.59349e-05-0j 0.00193198-0j -0.391403-0j 1.52567e-05-0j 0.705407-0j 0.00091128-0j -0.000386898-0j 0.332728-0j -0.141265-0j 2.7978e-05-0j -0.000668921-0j 3.16045e-05-0j 2.85549e-06-0j 0.00794063-0j -2.50703e-05-0j -0.0891782-0j -0.000755627-0j 2.60724e-05-0j 3.22562e-06-0j -6.64524e-05-0j 0.000599403-0j 0.00896989-0j -1.80967e-05-0j -2.55873e-06-0j -0.00062336-0j -0.100738-0j 5.95141e-06-0j -0.00711539-0j 0.0015888-0j 2.661e-06-0j -6.78227e-06-0j 0.00739978-0j 0.000432672-0j 0.0799103-0j -0.0188603-0j -1.84699e-06-0j -0.000142291-0j -0.0831042-0j 6.07414e-07-0j 0.211813-0j -0.00513616-0j 0.00168911-0j 0.0576823-0j -0.0189698-0j 
-0.0102743-0j -0.0510575-0j 0.0515556-0j -0.0595832-0j -0.00857284-0j 0.0711756-0j 0.0102407-0j -0.0386159-0j -0.00555605-0j 0.000439302-0j 0.350075-0j -0.00049476-0j -0.000928362-0j 0.000313853-0j -0.394268-0j -0.000448185-0j 0.250105-0j 0.00104556-0j 0.000874278-0j -0.000663254-0j -0.357153-0j 0.696702-0j 0.000947134-0j -0.00184758-0j 0.000339215-0j -0.00266572-0j -0.000369906-0j -0.0066545-0j 0.0643898-0j 0.000312868-0j -7.97888e-05-0j 0.00290691-0j -0.000315921-0j 0.00725658-0j -0.000264274-0j -0.00245868-0j -0.0702156-0j 0.00020277-0j -0.00613765-0j 0.00248267-0j 8.70079e-05-0j 0.000756655-0j 0.0593887-0j 0.0020768-0j 0.00619753-0j 0.00518435-0j -0.0599681-0j -0.00159347-0j -7.35917e-05-0j -0.0501644-0j -0.00397781-0j -0.00594618-0j 7.43097e-05-0j -0.0148436-0j 6.21614e-05-0j 0.0384898-0j 0.143628-0j -4.76948e-05-0j -0.000177978-0j 
0.000856191-0j 0.0129448-0j -0.0130711-0j -5.19352e-05-0j -0.102122-0j 6.20396e-05-0j 0.121991-0j -3.36592e-05-0j -0.0661855-0j -3.66085e-05-0j 0.000928362-0j 4.123e-05-0j 0.338965-0j -2.61544e-05-0j -0.00104556-0j 3.73488e-05-0j 0.000663254-0j -0.381756-0j -7.28565e-05-0j 0.242168-0j -0.000947134-0j 0.00184758-0j -0.345819-0j 0.674592-0j -2.82679e-05-0j 0.000675853-0j 3.08255e-05-0j -2.88508e-06-0j -0.00802292-0j -2.60724e-05-0j 0.0901024-0j -0.000737002-0j 2.63267e-05-0j 3.14611e-06-0j 2.20228e-05-0j 0.00062336-0j 0.0087488-0j -1.68975e-05-0j -2.661e-06-0j -0.000629442-0j -0.0982546-0j -6.30546e-05-0j -0.00739978-0j -0.00052654-0j 2.68696e-06-0j 2.24769e-06-0j 0.00747198-0j 0.000403999-0j 0.0831042-0j 0.00625045-0j -1.72459e-06-0j 0.00150756-0j -0.083915-0j -6.43549e-06-0j -0.0701965-0j -0.0047958-0j -0.017896-0j 0.0538598-0j 0.200983-0j 
0.0420036-0j 0.00427352-0j 0.00431781-0j -0.00483702-0j -0.000698164-0j 0.00304358-0j 0.000439302-0j 0.00177542-0j 0.00025626-0j 0.00173373-0j 0.000306483-0j -0.00397782-0j 2.55403e-05-0j 0.00123864-0j -0.000703186-0j 0.00176985-0j 0.000218962-0j -5.85989e-05-0j 0.000730026-0j 1.82469e-05-0j 0.000312868-0j 0.000129052-0j 2.60724e-05-0j 1.07543e-05-0j -0.258948-0j 0.000223122-0j -0.292513-0j 0.000136634-0j 2.78902e-05-0j 0.469695-0j 1.64345e-06-0j 0.000252043-0j 0.474562-0j 0.000154344-0j -0.208981-0j -0.000404711-0j 3.15053e-05-0j -0.172401-0j -0.000247834-0j -0.000408905-0j 1.85647e-06-0j -0.0550828-0j -5.05889e-05-0j 0.000180068-0j -0.000250402-0j 0.000110269-0j -5.11132e-05-0j 0.000148549-0j -2.98098e-06-0j 2.25085e-05-0j 9.0967e-05-0j 4.7462e-05-0j -3.01187e-06-0j 2.90644e-05-0j 1.32633e-06-0j 1.85686e-05-0j 5.93275e-06-0j 1.09416e-06-0j 3.4959e-07-0j 
-0.000900541-0j 0.00513767-0j 0.00515787-0j -0.00304358-0j -0.000439302-0j 6.33956e-05-0j 9.15036e-06-0j 0.00427975-0j 0.000617728-0j -0.00214538-0j -0.000379254-0j -4.33657e-05-0j -3.16045e-05-0j 0.00451094-0j -7.66604e-06-0j -0.002054-0j 0.000797429-0j -6.38837e-07-0j 0.00264748-0j 6.64524e-05-0j -0.0003631-0j 0.000468012-0j -3.02583e-05-0j 3.9001e-05-0j 0.320432-0j -0.000276099-0j 0.00627137-0j -0.000169075-0j -3.45124e-05-0j -0.287131-0j -2.03366e-06-0j -5.40371e-06-0j -0.288259-0j -3.30908e-06-0j -0.0131863-0j 0.000247405-0j -6.75463e-07-0j 0.403751-0j 0.000151504-0j 0.000248378-0j -3.9802e-08-0j -0.266741-0j 3.09257e-05-0j 1.1362e-05-0j 0.0001521-0j 6.95776e-06-0j 3.10472e-05-0j -0.000347891-0j 1.82231e-06-0j 1.42025e-06-0j -0.000213039-0j 0.000229837-0j 1.82948e-06-0j 0.000140746-0j 8.36889e-08-0j -4.34863e-05-0j 2.87296e-05-0j -2.56246e-06-0j 1.69291e-06-0j 
