0.00337094+0.0108285j 0.00301271+0.000806837j 0.00340285+0.00332732j -0.00390581-0.0156454j -0.00367938-0.00532453j -0.00366487-0.00897284j 0.000787192-0.0107881j 0.00365228+0.00388022j -0.00101039-0.0077817j 0.00128137+0.00563295j 0.00124897+0.00963605j 0.00461802-0.000512511j -0.00073883+0.00739756j -0.00293367-0.00449879j -0.000197532+0.00252716j 0.0032189+0.0045644j -0.000943197+0.000905449j -0.000644078-0.00323964j 3.68858e-05-0.00591663j -0.00334657-0.00332963j -0.00155081-0.000696043j -0.00118825+0.00708439j 0.00656986+0.00928523j -0.00311064-0.0106793j 0.00468499+0.00844058j 0.0129974-0.00877579j -0.000957089+0.00268977j 0.00142995+0.00752187j 0.000563844-0.00157183j 0.00345047+0.0168547j 0.00302633+0.00632498j 0.00337971-0.00479685j -0.00509855-0.0109047j 0.000267365-0.00205111j -0.000949847+0.00467511j -0.00405138-0.00531046j -0.00255367-0.00104445j -0.000375952-0.00564646j -0.00423638+0.00665691j -0.00199785-0.00792456j -0.00605178+0.00897333j -0.00104201-0.0039219j -0.00511488+0.0130033j -0.00131081-0.00214071j 0.00678474-0.00433397j 0.00279386-0.00403696j 0.00494776+0.000234031j 0.00477838+0.00595573j 0.00810249-0.00170267j -0.010007+0.0167905j -0.00932863+0.00614035j 0.00613203-0.0118072j 
0.00599254+0.00818994j -0.00300595-0.0117367j 0.001366-0.00281154j -0.00246157-0.00836065j 0.000398481+0.00188517j -0.00016925+0.00507708j 0.00153093+4.50737e-06j 0.000127614+0.000930789j 0.0025114+0.00228271j -0.000939604-0.0037569j -0.00415597-0.0135503j 0.00115452+0.00821501j 0.00178085+0.00415965j -0.00155463-0.00434092j -0.00527518-0.00816631j 0.000161791-0.00201117j 0.000628319+0.00262141j -0.00268334-0.00280572j 0.00324263+0.00469819j -0.00416607-0.0129361j 0.00134173-0.00588774j -0.00262779+0.000316318j 0.000154869+0.00689415j -0.00382254-0.011866j -0.0047701-0.00623076j -0.00765817+0.00285607j 0.00264226+0.0134362j -0.00142877-8.70697e-05j 0.000452267+0.00745076j 0.00346957-0.00620208j -0.000635862+0.0123732j -0.00469533-0.0130338j -0.002542+0.0174624j -0.00369747-0.00653208j -0.00102955-0.00607055j 0.00211121+0.00224532j -0.00296749+0.00619957j 0.00424471-0.00936457j -0.00208719-0.0112534j 0.00066838-0.00140472j -0.000352672-0.00232223j -0.00628996+0.00348635j -0.00731172+0.0072174j 0.0015466+0.00361757j -0.000972901+0.0108749j -0.0117295+0.00980656j -0.00310433+0.00659837j -0.00096332-0.00485547j 0.00356518-0.00119337j 0.00222394-0.000905869j -0.00895757+0.0159511j -0.006321+7.00143e-05j 
-0.00406844-0.00400026j 0.00462552+0.0125097j -0.00387403-0.00470074j -0.000398238+0.00658262j 0.00144077+0.00503137j -0.00284892-0.00835j -0.00298594-0.00375785j -9.31095e-05-0.00145115j 0.000584426+0.00817907j 7.79394e-06-0.000478039j 0.000784077+0.00306113j -0.00030117-0.00394006j -0.0017252-0.00413251j 0.00204618+0.0023351j 0.00446139+0.00744787j -0.000938998+0.000748626j 0.000236235+0.000404504j 0.00228914-0.000665488j 0.00406228+0.00971573j 0.00173403+0.00246691j -0.00750086-0.0225172j 0.00446796+0.0128952j -0.000436207+0.00333526j 0.000874843-0.0019047j -0.000921851+0.00601667j 0.00101572+0.00296798j -0.00127033+0.0101419j -0.00252861+0.00284664j 0.000364771+0.0179678j 0.000324894+0.0116338j 0.00335135-0.00212606j 0.00413585-0.0131871j 0.00174911+0.00646659j -0.000703604-0.00267394j 0.00568153-0.0134657j -0.00152344+0.0168681j 0.00145127-0.00400845j -0.00281313+0.000390194j -0.00182085-0.00124795j -0.001739+0.00580144j -0.00766541+0.00798417j -0.000371505+0.00333121j -0.00138444+0.0043419j 0.0056374-0.00638262j -0.00609152+0.00589103j 0.000311991-0.00139651j 0.00243001-0.00488016j -0.00230343+0.00208824j 0.00249076-0.0122696j 0.00537837-0.00447263j 0.00462758-0.0110757j 0.00480108-0.0039641j 
-0.00171039-0.00162398j 0.00247037+0.00610729j 0.00151111+0.004186j -0.000592341-0.00269235j -0.00138014-0.00775j 0.00658824+0.0078667j -0.00142927+0.00333298j -0.00203784-0.0116491j -0.00318994-0.0104652j -0.00578796-0.0128267j 0.00339404+0.0075258j -0.00389016-0.00787322j 0.000472821+0.0076672j -0.000605773-0.00310547j 0.000533363+0.0122947j -0.00224716-0.00499274j 0.00377858+0.00925319j 0.00265398+0.0101586j 0.0033348+0.00607008j 0.00203308+0.000907742j -0.000241248-0.00339552j -0.000536772-0.0159226j 0.00365739+0.0112735j -0.000435709-0.00512778j 0.000370836-0.00218965j -0.00364965-0.00165809j 0.0024185+0.000394838j 0.00237829-0.00504336j -0.000668545-0.00592037j -0.00354057+0.00211691j 6.60119e-05+0.0158479j 0.00199787-0.011053j 0.00140485-0.00393424j -0.00449488+0.00691112j 0.000823235-0.00798516j -0.00182149+0.00125034j -0.00423557+0.00814263j -0.00083275+0.0147045j 0.00290153-0.0030977j 0.00151625+0.000668873j -0.00249238+0.00722232j -0.00729561+0.013976j 0.00311374-0.0083782j 0.00292927-0.00275007j 0.00333479-0.0132592j 0.00166812+0.00711222j -0.00731096+0.00906877j 0.00106916-0.00802611j -0.00093065+0.00222719j -0.00228602+0.0035167j 0.0026107-0.00477243j 0.00180979-0.00171979j 
-0.00206888-0.000211232j 0.00412937+0.0101228j -0.00484519-0.00593156j 2.0688e-05+0.00543336j 0.000975799+0.00386384j -0.00368783-0.00898513j -0.000522725-0.00664436j 0.00519811+0.00821525j -0.00246406-0.00942701j -0.00321112-0.00337629j -0.00537711-0.00925116j -0.00254843-0.00202594j 0.00269042+0.0108014j -0.00273017-0.00676694j 0.000885254-0.00348565j 0.0038736+0.00976588j 0.00218777+0.0160114j 0.00395722+0.0055228j -0.00155313-0.00312887j 0.00236078-0.00540543j -0.000623303+0.00832302j 0.00103885+0.00918032j 0.000381483+0.0103447j 0.00135086+0.0116792j -0.00319462-0.00760636j -0.00142151+0.00378624j -0.00198665-0.00163718j 0.000750299-0.009537j -0.00183819+0.00298077j 0.00322816-0.0136407j 0.00468426-0.0106018j 0.00479104-0.014604j 0.000934058-0.00746157j -0.000946399+0.00400888j -0.00117179+0.00456924j 0.00312595-0.0112885j -0.00248853+0.00215781j -0.00490039+0.00291575j 0.00387653-0.00959649j 0.00373923-0.0122868j 0.00074895-0.000462101j -0.00212817+0.00589071j -0.00362532+0.00653967j -0.00147982+0.0150027j 0.000266728-0.000276573j 0.0019466+0.001395j 0.00251571-0.0034983j -0.00238279+0.00559473j 0.00113526-0.00873417j 0.00269907-0.0040121j 0.00203186-0.0060172j 0.00370085-0.00470897j 
0.000981225+0.00668041j 0.00669328+0.010723j -0.00367512-0.00946063j -0.00507692-0.00631643j 0.00076092-0.000987884j 0.00236023-0.000384907j -0.00147536-0.000966338j 0.00210338-0.00409252j 0.00019355+0.0045567j -0.00692389-0.0173247j -0.00139406-0.0012706j 0.0049419+0.00925373j -0.0015814+0.00342676j 0.00493365+0.00187113j 0.0018986+0.00809899j 0.0012612+0.000215611j -0.00160105-0.00556156j -0.00076638-0.00494621j -0.000149316+0.00667905j 0.00415716+0.00272882j 0.000601239+0.0179238j -0.0010272+0.00794416j 0.0034256-0.0195949j 0.00182188-0.00677306j 0.000328032+0.00620698j 0.00566813-0.00352049j -0.000150041+0.00960849j -0.00167249+0.00545311j -0.00370203+0.0136534j 0.00404991-0.0150833j 0.000766025+0.00866455j -0.00302026+0.0171294j 0.00385559-0.00742826j 0.00299604-0.000163875j -0.000568042-0.00319337j -0.00084983-0.0023868j -0.00292676+0.00155847j -0.00119039-0.000650759j 0.00272769-0.00509509j 0.000357042-0.00301386j -0.00428483-0.000661737j -0.000416342-0.00428004j 0.00272941-0.00618125j 0.00180121+0.000942151j 0.000313954-0.00368749j 8.93209e-05+0.00808139j -0.00362046+0.00800025j -0.00135738+0.00145587j 0.00361103-0.0106931j 0.00168172-0.00161866j -0.000430033-0.00298189j 0.00412446-0.00771485j 
0.00376298+0.00615254j 0.00160209-0.000739832j -0.00640364-0.0125756j -0.00137732+0.00203959j 0.00322784-0.0035193j 0.00285555+0.00457426j 0.00669331+0.0108415j 0.00554239+0.010512j -0.00320604+0.00249964j 0.00224539-0.00117891j 0.00417655+0.00890722j 0.000109668+0.00338132j -0.000469992+0.0046225j 0.00180129+0.0126446j -0.000384517-0.000787032j 0.000202784-0.0050651j -0.00224386+0.0104486j 0.0013448+0.0116656j 0.00238389-0.00420683j 0.00114676-0.02024j 0.00207252-0.0136426j -0.000119876-0.0059855j 0.000182007-0.0111607j 4.60581e-05+0.0120466j -0.00140244+0.00570509j 0.0138322-0.00722802j 0.00176509-0.0121338j -0.00639678+0.00870247j 0.000848132-0.00322266j 0.00390411+0.00362417j 0.00109999+0.000430455j 0.00016224-0.0106332j 0.000510071+0.00575933j -0.00332919+0.01072j -0.00095277-0.000134966j -0.00245114+0.00367226j -0.00309849+0.0033343j 0.00108272-0.00339502j -0.000522055+0.000808318j -0.000142833-0.000553598j -0.00223056-0.00287597j 0.00336726-0.0144515j 0.00291853-0.00840133j -0.00211246+0.00595333j 0.00126432-0.00328176j -0.000199301+0.00377959j -0.00157527+0.00554586j -0.00216319+0.0052959j 0.00114384-0.00515806j 0.0021916-0.0044467j -0.00162901+0.00232652j 0.000202108-0.00239149j 
-0.00476939-0.000676087j -0.0120386+0.00669512j -0.0136664+0.0056117j 0.00258111+0.000425027j 0.00928077-0.00466363j 0.00478122-0.0022962j -0.00121201+0.00430584j -0.0157812+0.00531725j -0.000830431+0.00218999j 0.000708814-0.00097524j 0.000720258+0.000130298j 0.00147684+0.00357528j 0.00611772+0.000253891j 6.20394e-05-0.00225084j 0.00244619-0.00216469j 0.0038957+0.00147101j -0.000240096-0.00123372j 0.00457011+0.000137521j -0.00226069+0.00392439j 0.00933862-0.00806014j 0.00724673+0.00107746j 0.00253465+0.000873051j -0.00348527+0.000474214j 0.004771-0.00650398j 0.00136114+0.00067613j 0.00515778-0.00221471j 0.00091442-0.00076149j -0.00184091+0.00107281j -0.000373444+0.00386151j 0.00046191+0.00461167j -0.0119649+0.00388963j -0.0103027-0.00197719j 0.0102955-0.00864502j 0.0163322-0.00835941j 0.00323239-0.000762461j 0.010963+0.000264926j 0.0047701+0.00350293j 0.00535174-0.000869056j 0.0161339+0.00198388j 0.00125313-0.00424845j 0.0112661-0.000777621j 0.00953079+0.00703625j 0.00863225+0.0140767j -0.0123574-0.00154697j -0.00826597-0.00933941j 0.00700553+0.0123582j -0.00935698+0.00457714j 0.00582457-0.00289087j -0.0147975-0.0139095j 0.00782863-0.00254794j 0.0194728+0.0177766j -0.00221548+0.0123375j 
-0.0138175+0.0072021j 0.00321738+0.00105348j -0.000957613+0.00345347j 0.00692484-0.00167916j -0.00736259+0.00185058j -0.000133637-0.00259243j 0.00761543-0.000309483j 0.00415021-0.000856643j -0.00275392+0.00291496j 0.00303414-0.00118291j 0.00798787-0.00231824j 0.00729867-0.00504482j -0.00591234+0.00197075j -0.00737857+0.00061456j 0.00872666-0.00486459j -0.00344631-0.00116484j 0.00612361+0.000905241j -0.000752171-0.00483489j -0.00561106+0.00221278j 0.00792017-0.00819742j 0.00111462+0.00172099j 0.00797839-0.00427998j 0.00248539-0.00511778j -0.000578568-0.00250192j 0.00746381-0.00578944j 0.000690505+0.000798465j 0.00472436-0.00204182j 0.00590528-0.00176137j 0.00628414-0.00241161j -0.00642826-0.00119246j 0.00632405+0.00515819j 0.010552-0.00398354j -0.00408309+0.0122137j 0.0156083-0.00242623j -0.00900582+0.00485786j -0.0145413+0.00253329j 0.00827749+0.00285028j -0.0170292-0.00451061j 0.00780863+0.00368658j -0.011385+0.00172297j -0.00437372-0.00859081j 0.000485285-0.00273047j 0.00386293+0.00259244j -0.00197869-0.00583919j 0.00445724-0.00379644j 0.0118899+0.00845802j 0.00821662+0.0076414j 0.00179472+0.018058j 0.00161357+0.00920516j -0.00766399-0.00517853j 0.00459591-0.00961466j 0.0192419+0.0173836j 
-0.0109242+0.00469271j -0.000604545+0.00139279j -0.00995975+0.00401983j -0.00403347+0.00411685j -0.00114518+0.00113143j -0.00564416+0.000910987j -0.0051051+0.00472085j -0.0132611+0.000931425j -0.000924976+0.0033229j 0.00386591-0.00180636j 0.0108368-0.00429514j -0.00247643+0.00158656j 0.00787012+0.00100315j 0.00878437-0.00214687j 0.000790554-0.00436756j 0.00279419+0.000648115j 0.00243287-0.000345837j 0.0075913-0.00292187j 0.00507813-0.00171055j 0.0029795-0.00423621j -0.00406549+0.00107976j 0.00423627-0.00549372j -0.00454756+0.00296183j 0.00529667-0.00161554j -0.00574451+0.00121562j 0.00374012+0.000439473j 0.000157632-7.85347e-05j -0.00850675+0.00461759j 0.0165906-0.00825943j -0.0101817+0.000263936j 0.00895584-0.000149961j 0.0184186+0.00301083j 0.00429987+0.00101253j -0.0199534+0.00260928j 0.0186727+0.000762687j -0.00180664-0.00431733j -0.00528515+0.0023278j 0.00034436-0.00656813j -0.015909+0.000792641j -0.00167991+0.00116555j -0.0148295-0.00594978j -0.0113136-0.00476055j -0.00809896+0.000582764j 0.0124652+0.00475816j -0.00834544-0.012342j -0.00737105-0.0108067j -0.000463031+0.000309217j 0.00167278-0.00596659j 0.00345584-0.00401654j 0.0180578+0.0122001j 0.00448784+0.000958277j 0.00910004+0.00766952j 
-0.00512656+0.00340534j 0.00610084-0.00232853j -0.00780688+0.00341265j -0.00672268+0.00574927j -0.00412732+0.00224147j -0.0163237+0.00550543j 0.000717954-0.00118992j -0.00150912-0.000485454j 0.00212245+0.000820232j 0.00176425-0.000791011j 0.00317819+0.0021301j 0.0110126-0.00503898j -0.00202225-0.000149294j 0.00169602-0.000682235j -0.00162071-0.00058423j -0.00283013-0.000398103j 0.00176515+0.000147423j -0.000601595-0.0024364j 0.000860316-0.00333665j 0.00226756+0.00181341j -0.019255+0.00485473j -0.00254389-0.00382552j 0.00914672+0.00240318j 0.0168006-0.00497586j -0.000353537-0.00205473j 0.000929947+0.00729113j -0.020124+0.00402576j -0.00472348-0.000951208j -0.00829592-0.00411432j 0.0138341-0.00091526j 0.0145293+0.00511327j -0.0186152+0.00236849j 0.00630593+0.00481203j 0.00228671-0.00404552j -0.0115203-0.00179945j 0.00812395-0.00168146j 0.00410371+0.00508189j 0.000249947-0.00180037j -0.00929994-0.00681298j 0.00581055+0.00437003j 0.00592195+0.000267221j 0.0081692+0.00583426j 0.00996329+0.00361668j 0.00084403-0.00404973j 0.00725559+0.00341907j -0.00205658-0.00226335j 0.0172871+0.00855117j -0.00416397+0.00124792j -0.00130603-0.00529847j 0.0146898+0.0063419j -0.00322649-0.00402577j 0.00549987+0.0021138j 
