5.83527e-14-0.00302215j 1.28459e-14+0.0468069j -3.66469e-16-0.026819j 3.24156e-16-0.108166j 9.0844e-16+0.0785322j 5.14885e-15-0.0579526j 1.1315e-16-0.0211587j -1.63297e-15-0.165286j 1.66352e-15+0.142946j -6.83897e-16-0.0152122j 4.89257e-15+0.0290373j -1.3803e-15+0.0709749j -5.04708e-15+0.181553j 1.76802e-14-0.126819j -3.31872e-15-0.306851j 3.16022e-15-0.07148j 7.23243e-15+0.0879064j -1.24184e-13+0.145732j -2.91553e-14+0.0732112j 1.32806e-14-0.22393j -1.15676e-14-0.0274178j 1.08949e-14-0.147502j 1.74259e-14-0.107922j -9.74003e-14-0.114679j 1.28169e-14+0.115697j 1.98908e-14+0.0568039j 4.90157e-15-0.257925j -5.48308e-14-0.0893113j 1.21509e-15-0.208574j 3.72314e-16+0.073405j 1.28488e-14-0.11525j -2.4593e-14-0.202054j -5.13244e-14+0.00978351j 9.44661e-14+0.0411665j -1.37024e-14-0.049774j 4.97961e-15-0.00142976j -5.62363e-15-0.0306447j -4.18643e-15-0.0140446j 6.5302e-16-0.00683347j -3.95755e-15-0.00604665j -5.02531e-15-0.0423208j 3.97323e-15+0.0109063j 1.23735e-14-0.0907715j -4.338e-14-0.0605299j 2.20264e-14+0.237034j 3.83821e-15+0.0307575j -7.70578e-15+0.096179j 9.45588e-15+0.0841124j -6.89383e-15-0.268596j 3.22809e-14-0.0356012j -1.7111e-14-0.150783j 4.0599e-14-0.0609695j -7.10852e-15+0.0917696j 5.57955e-15+0.0583281j 8.26566e-15-0.122175j 2.35634e-14-0.163139j -1.25501e-14-0.00144442j -1.02415e-14+0.184395j 1.74269e-14+0.0764138j -2.07804e-13+0.133025j -9.23654e-15-0.0544432j 1.86568e-15+0.0611429j 5.69604e-15-0.231172j -7.59913e-16-0.10719j -7.05761e-16+0.113826j 6.3494e-17+0.0425258j -1.56095e-15+0.0120505j 7.50623e-16+0.00125473j 2.07147e-15+0.127491j -4.00492e-17-0.142694j -3.07784e-16-0.019797j -4.63822e-15-0.0481733j -1.22762e-15+0.0708144j 7.10919e-16+0.0990736j 7.408e-16-0.0251009j 1.1392e-14-0.044335j -5.08817e-14-0.00301217j 
4.05859e-16-2.10199e-05j 8.93471e-17+0.000325555j -2.54889e-18-0.000186534j 2.25459e-18-0.000752328j 6.31845e-18+0.000546213j 3.58117e-17-0.000403077j 7.86993e-19-0.000147165j -1.13578e-17-0.00114961j 1.15702e-17+0.000994231j -4.7567e-18-0.000105805j 3.40292e-17+0.000201963j -9.60035e-18+0.000493651j -3.51038e-17+0.00126276j 1.22971e-16-0.000882062j -2.30826e-17-0.00213423j 2.19802e-17-0.000497163j 5.03036e-17+0.000611413j -8.63734e-16+0.00101361j -2.02784e-16+0.000509204j 9.23703e-17-0.00155749j -8.04557e-17-0.000190699j 7.57772e-17-0.00102592j 1.21202e-16-0.000750626j -6.77446e-16-0.000797625j 8.91452e-17+0.000804702j 1.38346e-16+0.000395087j 3.40918e-17-0.00179394j -3.81363e-16-0.000621185j 8.45127e-18-0.00145069j 2.58955e-18+0.000510552j 8.93668e-17-0.000801594j -1.71051e-16-0.00140534j -3.56975e-16+6.80471e-05j 6.57038e-16+0.000286324j -9.53043e-17-0.000346192j 3.46346e-17-9.9444e-06j -3.91139e-17-0.000213143j -2.91178e-17-9.76839e-05j 4.54194e-18-4.75287e-05j -2.75259e-17-4.20561e-05j -3.49524e-17-0.000294353j 2.76349e-17+7.58561e-05j 8.60612e-17-0.000631341j -3.0172e-16-0.000421003j 1.53199e-16+0.00164864j 2.66958e-17+0.000213927j -5.35958e-17+0.000668952j 6.57683e-17+0.000585025j -4.79485e-17-0.00186816j 2.24523e-16-0.000247617j -1.19012e-16-0.00104874j 2.82377e-16-0.00042406j -4.94417e-17+0.000638283j 3.88073e-17+0.000405688j 5.749e-17-0.000849759j 1.6389e-16-0.00113467j -8.72897e-17-1.00464e-05j -7.12322e-17+0.00128252j 1.21209e-16+0.000531479j -1.44533e-15+0.000925227j -6.42427e-17-0.000378668j 1.29763e-17+0.000425266j 3.96176e-17-0.00160786j -5.28541e-18-0.000745536j -4.90876e-18+0.000791692j 4.41618e-19+0.000295778j -1.08568e-17+8.38146e-05j 5.22079e-18+8.72698e-06j 1.44076e-17+0.000886738j -2.78554e-19-0.000992475j -2.14073e-18-0.000137694j -3.22601e-17-0.000335059j -8.53847e-18+0.000492534j 4.94464e-18+0.000689085j 5.15247e-18-0.000174584j 7.92346e-17-0.000308363j -3.53897e-16-2.09505e-05j 
-4.61815e-16+2.39179e-05j -1.01665e-16-0.000370439j 2.90031e-18+0.000212251j -2.56543e-18+0.000856051j -7.18958e-18-0.00062152j -4.0749e-17+0.000458649j -8.95496e-19+0.000167454j 1.29237e-17+0.00130811j -1.31654e-17-0.00113131j 5.4125e-18+0.000120392j -3.87208e-17-0.000229807j 1.09239e-17-0.00056171j 3.99436e-17-0.00143685j -1.39925e-16+0.00100367j 2.62651e-17+0.00242848j -2.50106e-17+0.000565707j -5.72389e-17-0.000695709j 9.82817e-16-0.00115335j 2.30741e-16-0.000579408j -1.05105e-16+0.00177222j 9.15481e-17+0.00021699j -8.62246e-17+0.00116736j -1.37912e-16+0.000854114j 7.70846e-16+0.000907594j -1.01436e-16-0.000915646j -1.5742e-16-0.000449557j -3.8792e-17+0.00204127j 4.33942e-16+0.000706828j -9.61645e-18+0.0016507j -2.94657e-18-0.000580942j -1.01688e-16+0.00091211j 1.94634e-16+0.0015991j 4.06192e-16-7.74287e-05j -7.47623e-16-0.0003258j 1.08444e-16+0.000393921j -3.94097e-17+1.13154e-05j 4.45065e-17+0.000242528j 3.31323e-17+0.000111152j -5.16813e-18+5.40814e-05j 3.13209e-17+4.78544e-05j 3.97713e-17+0.000334935j -3.14449e-17-8.63144e-05j -9.79264e-17+0.000718384j 3.43318e-16+0.000479046j -1.74321e-16-0.00187593j -3.03764e-17-0.000243421j 6.09851e-17-0.00076118j -7.48358e-17-0.000665682j 5.45592e-17+0.00212572j -2.55478e-16+0.000281755j 1.3542e-16+0.00119333j -3.21309e-16+0.000482525j 5.62583e-17-0.000726283j -4.41577e-17-0.00046162j -6.54161e-17+0.000966915j -1.86486e-16+0.00129111j 9.93243e-17+1.14315e-05j 8.1053e-17-0.00145934j -1.3792e-16-0.000604754j 1.6446e-15-0.00105279j 7.30998e-17+0.000430875j -1.47654e-17-0.000483897j -4.50796e-17+0.00182954j 6.01411e-18+0.000848323j 5.58553e-18-0.000900843j -5.02504e-19-0.000336557j 1.23537e-17-9.53701e-05j -5.94058e-18-9.93017e-06j -1.6394e-17-0.00100899j 3.16958e-19+0.00112931j 2.43587e-18+0.000156678j 3.67078e-17+0.000381253j 9.71566e-18-0.00056044j -5.62636e-18-0.000784089j -5.86284e-18+0.000198654j -9.01586e-17+0.000350876j 4.02688e-16+2.3839e-05j 
-2.77453e-30+1.43696e-19j -6.10793e-31-2.22555e-18j 1.74247e-32+1.27518e-18j -1.54128e-32+5.14305e-18j -4.31941e-32-3.73401e-18j -2.44815e-31+2.75551e-18j -5.38003e-33+1.00604e-18j 7.76438e-32+7.85894e-18j -7.90963e-32-6.79674e-18j 3.25176e-32+7.23301e-19j -2.3263e-31-1.38065e-18j 6.56297e-32-3.37468e-18j 2.39976e-31-8.63242e-18j -8.40652e-31+6.02993e-18j 1.57797e-31+1.459e-17j -1.50261e-31+3.3987e-18j -3.43884e-31-4.17973e-18j 5.90464e-30-6.9292e-18j 1.38626e-30-3.48101e-18j -6.3146e-31+1.06473e-17j 5.5001e-31+1.30365e-18j -5.18027e-31+7.01337e-18j -8.28561e-31+5.13141e-18j 4.63115e-30+5.45271e-18j -6.09413e-31-5.50109e-18j -9.45758e-31-2.70089e-18j -2.33058e-31+1.22637e-17j 2.60707e-30+4.24653e-18j -5.77744e-32+9.91717e-18j -1.77026e-32-3.49023e-18j -6.10928e-31+5.47984e-18j 1.16933e-30+9.60717e-18j 2.44035e-30-4.65182e-19j -4.49163e-30-1.95737e-18j 6.51518e-31+2.36663e-18j -2.36768e-31+6.79817e-20j 2.6739e-31+1.45708e-18j 1.99055e-31+6.67785e-19j -3.10495e-32+3.24915e-19j 1.88172e-31+2.87503e-19j 2.38941e-31+2.01225e-18j -1.88917e-31-5.18566e-19j -5.8833e-31+4.31596e-18j 2.06261e-30+2.87805e-18j -1.0473e-30-1.12704e-17j -1.82497e-31-1.46244e-18j 3.66391e-31-4.57307e-18j -4.49604e-31-3.99934e-18j 3.27785e-31+1.27711e-17j -1.53488e-30+1.69275e-18j 8.13587e-31+7.16937e-18j -1.93038e-30+2.89895e-18j 3.37993e-31-4.36342e-18j -2.65294e-31-2.77336e-18j -3.93012e-31+5.8091e-18j -1.12038e-30+7.75684e-18j 5.96728e-31+6.86788e-20j 4.86956e-31-8.76752e-18j -8.28605e-31-3.63329e-18j 9.88056e-30-6.32502e-18j 4.39175e-31+2.58864e-18j -8.87086e-32-2.90719e-18j -2.70833e-31+1.09916e-17j 3.6132e-32+5.09662e-18j 3.35572e-32-5.41215e-18j -3.01898e-33-2.022e-18j 7.42193e-32-5.72972e-19j -3.56903e-32-5.96592e-20j -9.84932e-32-6.0619e-18j 1.90424e-33+6.78474e-18j 1.46344e-32+9.413e-19j 2.20536e-31+2.29052e-18j 5.83705e-32-3.36705e-18j -3.38025e-32-4.71071e-18j -3.52232e-32+1.19349e-18j -5.41662e-31+2.10802e-18j 2.4193e-30+1.43222e-19j 
1.61607e-16-8.36983e-06j 3.55768e-17+0.000129631j -1.01493e-18-7.42751e-05j 8.97747e-19-0.000299566j 2.51592e-18+0.000217494j 1.42597e-17-0.000160499j 3.13369e-19-5.85988e-05j -4.5225e-18-0.000457758j 4.60711e-18+0.000395888j -1.89405e-18-4.213e-05j 1.35499e-17+8.04186e-05j -3.82272e-18+0.000196565j -1.39778e-17+0.000502811j 4.89653e-17-0.000351224j -9.19118e-18-0.000849821j 8.75221e-18-0.000197963j 2.00302e-17+0.000243456j -3.43927e-16+0.000403604j -8.07455e-17+0.000202758j 3.67805e-17-0.000620171j -3.20363e-17-7.59335e-05j 3.01734e-17-0.000408506j 4.8261e-17-0.000298888j -2.69749e-16-0.000317603j 3.54963e-17+0.000320421j 5.50873e-17+0.000157318j 1.35749e-17-0.000714321j -1.51853e-16-0.000247347j 3.36518e-18-0.000577644j 1.03112e-18+0.000203295j 3.55846e-17-0.000319183j -6.811e-17-0.000559587j -1.42143e-16+2.70954e-05j 2.61623e-16+0.00011401j -3.79488e-17-0.000137849j 1.3791e-17-3.95972e-06j -1.55746e-17-8.48703e-05j -1.15943e-17-3.88963e-05j 1.80853e-18-1.89252e-05j -1.09604e-17-1.67461e-05j -1.39176e-17-0.000117207j 1.10038e-17+3.02048e-05j 3.42683e-17-0.000251391j -1.2014e-16-0.000167637j 6.10018e-17+0.000656463j 1.06299e-17+8.51825e-05j -2.13411e-17+0.000266367j 2.6188e-17+0.000232949j -1.90924e-17-0.000743874j 8.94018e-17-9.85974e-05j -4.73888e-17-0.000417593j 1.12439e-16-0.000168855j -1.9687e-17+0.000254155j 1.54525e-17+0.000161539j 2.28917e-17-0.000338362j 6.52588e-17-0.000451811j -3.47575e-17-4.00032e-06j -2.83637e-17+0.00051068j 4.82636e-17+0.000211627j -5.75511e-16+0.000368412j -2.55805e-17-0.00015078j 5.16699e-18+0.000169335j 1.57751e-17-0.000640228j -2.10457e-18-0.000296862j -1.9546e-18+0.000315241j 1.75846e-19+0.000117775j -4.32304e-18+3.33738e-05j 2.07884e-18+3.47496e-06j 5.73691e-18+0.000353086j -1.10916e-19-0.000395189j -8.52407e-19-5.48277e-05j -1.28455e-17-0.000133416j -3.39989e-18+0.00019612j 1.96889e-18+0.000274384j 2.05164e-18-6.95168e-05j 3.15501e-17-0.000122786j -1.40917e-16-8.3422e-06j 
1.9115e-17-9.89989e-07j 4.20804e-18+1.53329e-05j -1.20047e-19-8.78532e-06j 1.06186e-19-3.54329e-05j 2.97585e-19+2.57254e-05j 1.68665e-18-1.8984e-05j 3.70656e-20-6.93111e-06j -5.34925e-19-5.4144e-05j 5.44932e-19+4.6826e-05j -2.24029e-19-4.98316e-06j 1.6027e-18+9.51198e-06j -4.52154e-19+2.32498e-05j -1.65331e-18+5.94729e-05j 5.79165e-18-4.15431e-05j -1.08714e-18-0.000100517j 1.03522e-18-2.34152e-05j 2.36918e-18+2.87962e-05j -4.06799e-17+4.77386e-05j -9.55064e-18+2.39823e-05j 4.35043e-18-7.33543e-05j -3.78928e-18-8.98147e-06j 3.56893e-18-4.83184e-05j 5.70835e-18-3.53527e-05j -3.19062e-17-3.75663e-05j 4.19853e-18+3.78996e-05j 6.51577e-18+1.86077e-05j 1.60564e-18-8.44904e-05j -1.79613e-17-2.92564e-05j 3.98036e-19-6.83241e-05j 1.21962e-19+2.40458e-05j 4.20897e-18-3.77532e-05j -8.0561e-18-6.61883e-05j -1.68127e-17+3.20486e-06j 3.0945e-17+1.34852e-05j -4.48861e-18-1.63048e-05j 1.63121e-18-4.68358e-07j -1.84217e-18-1.00385e-05j -1.37138e-18-4.60068e-06j 2.13915e-19-2.23849e-06j -1.29641e-18-1.98075e-06j -1.64618e-18-1.38633e-05j 1.30154e-18+3.57265e-06j 4.05328e-18-2.97347e-05j -1.42103e-17-1.98282e-05j 7.21534e-18+7.7647e-05j 1.25731e-18+1.00755e-05j -2.52424e-18+3.15061e-05j 3.09753e-18+2.75533e-05j -2.25827e-18-8.79859e-05j 1.05745e-17-1.16622e-05j -5.60518e-18-4.93932e-05j 1.32993e-17-1.99722e-05j -2.32859e-18+3.00617e-05j 1.82774e-18+1.9107e-05j 2.70765e-18-4.00217e-05j 7.71886e-18-5.34406e-05j -4.11114e-18-4.73161e-07j -3.35487e-18+6.04036e-05j 5.70865e-18+2.50314e-05j -6.80719e-17+4.3576e-05j -3.02568e-18-1.78344e-05j 6.11156e-19+2.0029e-05j 1.8659e-18-7.57266e-05j -2.4893e-19-3.5113e-05j -2.31191e-19+3.72869e-05j 2.07992e-20+1.39305e-05j -5.11332e-19+3.94747e-06j 2.45887e-19+4.11021e-07j 6.78566e-19+4.17633e-05j -1.31192e-20-4.67433e-05j -1.00823e-19-6.48506e-06j -1.51938e-18-1.57805e-05j -4.02142e-19+2.31972e-05j 2.32881e-19+3.24543e-05j 2.4267e-19-8.2225e-06j 3.73176e-18-1.45232e-05j -1.66677e-17-9.86721e-07j 
1.96401e-16-1.01719e-05j 4.32365e-17+0.000157541j -1.23345e-18-9.02666e-05j 1.09103e-18-0.000364063j 3.0576e-18+0.000264321j 1.73298e-17-0.000195055j 3.80838e-19-7.12152e-05j -5.4962e-18-0.000556314j 5.59902e-18+0.000481124j -2.30184e-18-5.12006e-05j 1.64672e-17+9.77328e-05j -4.64576e-18+0.000238885j -1.69873e-17+0.000611067j 5.95075e-17-0.000426843j -1.117e-17-0.00103279j 1.06366e-17-0.000240585j 2.43427e-17+0.000295872j -4.17974e-16+0.0004905j -9.81301e-17+0.000246412j 4.46994e-17-0.000753694j -3.89337e-17-9.2282e-05j 3.66698e-17-0.000496458j 5.86516e-17-0.000363239j -3.27827e-16-0.000385983j 4.31387e-17+0.000389408j 6.69477e-17+0.000191189j 1.64975e-17-0.000868114j -1.84548e-16-0.000300601j 4.0897e-18-0.000702011j 1.25312e-18+0.000247064j 4.3246e-17-0.000387904j -8.27741e-17-0.000680066j -1.72746e-16+3.2929e-05j 3.17951e-16+0.000138557j -4.61192e-17-0.000167528j 1.67602e-17-4.81225e-06j -1.89278e-17-0.000103143j -1.40905e-17-4.72707e-05j 2.19791e-18-2.29998e-05j -1.33202e-17-2.03516e-05j -1.6914e-17-0.000142442j 1.3373e-17+3.67079e-05j 4.16463e-17-0.000305516j -1.46007e-16-0.00020373j 7.41356e-17+0.0007978j 1.29185e-17+0.000103522j -2.59358e-17+0.000323716j 3.18263e-17+0.000283103j -2.3203e-17-0.00090403j 1.0865e-16-0.000119825j -5.75917e-17-0.000507501j 1.36647e-16-0.000205209j -2.39256e-17+0.000308875j 1.87795e-17+0.000196319j 2.78203e-17-0.000411211j 7.9309e-17-0.000549086j -4.22408e-17-4.86159e-06j -3.44704e-17+0.00062063j 5.86548e-17+0.000257191j -6.99419e-16+0.000447731j -3.1088e-17-0.000183243j 6.27945e-18+0.000205793j 1.91715e-17-0.000778069j -2.55769e-18-0.000360777j -2.37543e-18+0.000383112j 2.13706e-19+0.000143132j -5.25379e-18+4.05592e-05j 2.52642e-18+4.22312e-06j 6.97208e-18+0.000429106j -1.34796e-19-0.000480274j -1.03593e-18-6.66321e-05j -1.56112e-17-0.00016214j -4.13189e-18+0.000238345j 2.39279e-18+0.000333459j 2.49336e-18-8.44838e-05j 3.83428e-17-0.000149221j -1.71256e-16-1.01383e-05j 
-1.71803e-30+8.8979e-20j -3.78214e-31-1.3781e-18j 1.07897e-32+7.89613e-19j -9.54388e-33+3.18466e-18j -2.67465e-32-2.31216e-18j -1.51594e-31+1.70626e-18j -3.33141e-33+6.22959e-19j 4.80784e-32+4.86639e-18j -4.89778e-32-4.20866e-18j 2.01355e-32+4.4788e-19j -1.44048e-31-8.54924e-19j 4.0639e-32-2.08966e-18j 1.48597e-31-5.34534e-18j -5.20546e-31+3.73384e-18j 9.77107e-32+9.03437e-18j -9.3044e-32+2.10453e-18j -2.12939e-31-2.58816e-18j 3.65625e-30-4.29068e-18j 8.58399e-31-2.1555e-18j -3.91011e-31+6.59299e-18j 3.40575e-31+8.07242e-19j -3.20771e-31+4.3428e-18j -5.13059e-31+3.17746e-18j 2.86768e-30+3.37641e-18j -3.77359e-31-3.40637e-18j -5.85629e-31-1.67243e-18j -1.44313e-31+7.59388e-18j 1.61434e-30+2.62953e-18j -3.57749e-32+6.14088e-18j -1.09618e-32-2.16121e-18j -3.78297e-31+3.39321e-18j 7.24072e-31+5.94892e-18j 1.51111e-30-2.88049e-19j -2.78129e-30-1.21203e-18j 4.03431e-31+1.46546e-18j -1.46611e-31+4.20955e-20j 1.65572e-31+9.02249e-19j 1.23258e-31+4.13504e-19j -1.92264e-32+2.01193e-19j 1.16519e-31+1.78027e-19j 1.47956e-31+1.24602e-18j -1.16981e-31-3.21105e-19j -3.64304e-31+2.67252e-18j 1.2772e-30+1.78214e-18j -6.48506e-31-6.97881e-18j -1.13006e-31-9.05569e-19j 2.26875e-31-2.83173e-18j -2.78402e-31-2.47646e-18j 2.0297e-31+7.90806e-18j -9.50423e-31+1.04818e-18j 5.03787e-31+4.4394e-18j -1.19533e-30+1.79508e-18j 2.09291e-31-2.7019e-18j -1.64274e-31-1.71731e-18j -2.4336e-31+3.5971e-18j -6.93761e-31+4.80317e-18j 3.69504e-31+4.25271e-20j 3.01532e-31-5.429e-18j -5.13086e-31-2.24979e-18j 6.11821e-30-3.91656e-18j 2.71944e-31+1.60293e-18j -5.49299e-32-1.80018e-18j -1.67704e-31+6.80621e-18j 2.23735e-32+3.15591e-18j 2.07792e-32-3.3513e-18j -1.86941e-33-1.25205e-18j 4.59579e-32-3.54794e-19j -2.21e-32-3.6942e-20j -6.09887e-32-3.75363e-18j 1.17914e-33+4.20123e-18j 9.06187e-33+5.82869e-19j 1.3656e-31+1.41833e-18j 3.6144e-32-2.08494e-18j -2.09311e-32-2.91695e-18j -2.18108e-32+7.39027e-19j -3.35406e-31+1.30532e-18j 1.49807e-30+8.86852e-20j 
4.55055e-17-2.35678e-06j 1.00177e-17+3.65017e-05j -2.85785e-19-2.09145e-05j 2.52788e-19-8.43521e-05j 7.08434e-19+6.12422e-05j 4.01526e-18-4.51936e-05j 8.82388e-20-1.65003e-05j -1.27345e-18-0.000128896j 1.29727e-18+0.000111475j -5.33328e-19-1.1863e-05j 3.8154e-18+2.26443e-05j -1.0764e-18+5.53488e-05j -3.93589e-18+0.000141582j 1.37877e-17-9.88981e-05j -2.58806e-18-0.000239293j 2.46445e-18-5.57427e-05j 5.64011e-18+6.85526e-05j -9.68431e-17+0.000113647j -2.27364e-17+5.70927e-05j 1.03567e-17-0.000174628j -9.02081e-18-2.13814e-05j 8.49625e-18-0.000115028j 1.35894e-17-8.41612e-05j -7.59563e-17-8.94309e-05j 9.99509e-18+9.02244e-05j 1.55115e-17+4.42977e-05j 3.82242e-18-0.000201139j -4.2759e-17-6.96482e-05j 9.47569e-19-0.000162653j 2.90344e-19+5.72439e-05j 1.00199e-17-8.98759e-05j -1.91785e-17-0.000157569j -4.00246e-17+7.62953e-06j 7.3668e-17+3.21031e-05j -1.06857e-17-3.88155e-05j 3.88328e-18-1.11498e-06j -4.38551e-18-2.38978e-05j -3.26473e-18-1.09525e-05j 5.09249e-19-5.32898e-06j -3.08624e-18-4.71539e-06j -3.91892e-18-3.30033e-05j 3.09847e-18+8.5051e-06j 9.6493e-18-7.07869e-05j -3.38293e-17-4.72034e-05j 1.71769e-17+0.000184847j 2.99317e-18+2.39858e-05j -6.00924e-18+7.50038e-05j 7.37404e-18+6.55938e-05j -5.37606e-18-0.000209461j 2.51738e-17-2.77631e-05j -1.33438e-17-0.000117586j 3.16606e-17-4.75462e-05j -5.54348e-18+7.15652e-05j 4.35113e-18+4.54863e-05j 6.44586e-18-9.52762e-05j 1.83756e-17-0.000127221j -9.78704e-18-1.12641e-06j -7.98666e-18+0.000143798j 1.35901e-17+5.95902e-05j -1.62053e-16+0.000103738j -7.20298e-18-4.24568e-05j 1.45493e-18+4.76814e-05j 4.44198e-18-0.000180276j -5.92607e-19-8.35906e-05j -5.50377e-19+8.87657e-05j 4.95149e-20+3.31631e-05j -1.21728e-18+9.39741e-06j 5.85363e-19+9.78481e-07j 1.6154e-18+9.94224e-05j -3.12318e-20-0.000111278j -2.40021e-19-1.54384e-05j -3.61705e-18-3.75673e-05j -9.57345e-19+5.52236e-05j 5.544e-19+7.72612e-05j 5.77703e-19-1.95746e-05j 8.88389e-18-3.45741e-05j -3.96794e-17-2.349e-06j 
3.37883e-16-1.74993e-05j 7.43825e-17+0.000271028j -2.12198e-18-0.000155292j 1.87698e-18-0.000626321j 5.26019e-18+0.000454729j 2.98136e-17-0.000335566j 6.55181e-19-0.000122516j -9.45548e-18-0.000957064j 9.63237e-18+0.000827709j -3.96e-18-8.80837e-05j 2.83297e-17+0.000168136j -7.9924e-18+0.00041097j -2.92243e-17+0.00105126j 1.02375e-16-0.000734327j -1.92166e-17-0.00177677j 1.82988e-17-0.000413894j 4.18783e-17+0.000509009j -7.19069e-16+0.00084384j -1.6882e-16+0.000423918j 7.68993e-17-0.00129663j -6.69803e-17-0.000158759j 6.30854e-17-0.00085409j 1.00902e-16-0.000624905j -5.63982e-16-0.000664032j 7.42144e-17+0.000669924j 1.15175e-16+0.000328914j 2.83818e-17-0.00149347j -3.1749e-16-0.000517144j 7.03579e-18-0.00120772j 2.15583e-18+0.000425041j 7.43989e-17-0.000667337j -1.42402e-16-0.00116996j -2.97186e-16+5.665e-05j 5.46992e-16+0.000238368j -7.9342e-17-0.000288209j 2.88337e-17-8.27883e-06j -3.25628e-17-0.000177444j -2.42409e-17-8.1323e-05j 3.78122e-18-3.95682e-05j -2.29156e-17-3.50122e-05j -2.90983e-17-0.000245052j 2.30064e-17+6.31511e-05j 7.16469e-17-0.000525599j -2.51185e-16-0.00035049j 1.2754e-16+0.00137251j 2.22246e-17+0.000178096j -4.46192e-17+0.00055691j 5.47529e-17+0.00048704j -3.99177e-17-0.00155526j 1.86918e-16-0.000206144j -9.90788e-17-0.000873088j 2.35082e-16-0.000353035j -4.11608e-17+0.000531378j 3.23075e-17+0.00033774j 4.78611e-17-0.000707434j 1.36441e-16-0.00094463j -7.26697e-17-8.36372e-06j -5.93017e-17+0.00106771j 1.00908e-16+0.000442463j -1.20326e-15+0.000770262j -5.34828e-17-0.000315245j 1.0803e-17+0.000354039j 3.29821e-17-0.00133856j -4.40016e-18-0.000620668j -4.0866e-18+0.000659093j 3.67652e-19+0.000246239j -9.03845e-18+6.97766e-05j 4.34637e-18+7.26531e-06j 1.19945e-17+0.00073822j -2.31899e-19-0.000826247j -1.78218e-18-0.000114632j -2.68569e-17-0.00027894j -7.10837e-18+0.00041004j 4.11647e-18+0.000573671j 4.28949e-18-0.000145343j 6.59637e-17-0.000256715j -2.94623e-16-1.74416e-05j 
-1.02976e-29+5.33324e-19j -2.26695e-30-8.26009e-18j 6.46713e-32+4.7328e-18j -5.72043e-32+1.90883e-17j -1.60314e-31-1.38587e-17j -9.08626e-31+1.0227e-17j -1.99679e-32+3.73391e-18j 2.88173e-31+2.91683e-17j -2.93564e-31-2.5226e-17j 1.20688e-31+2.68451e-18j -8.634e-31-5.12426e-18j 2.43583e-31-1.25251e-17j 8.90666e-31-3.2039e-17j -3.12006e-30+2.238e-17j 5.85661e-31+5.41504e-17j -5.57689e-31+1.26142e-17j -1.27632e-30-1.5513e-17j 2.19149e-29-2.57176e-17j 5.14509e-30-1.29197e-17j -2.34365e-30+3.95172e-17j 2.04135e-30+4.83847e-18j -1.92264e-30+2.603e-17j -3.07518e-30+1.90451e-17j 1.71884e-29+2.02376e-17j -2.26182e-30-2.04172e-17j -3.51016e-30-1.00243e-17j -8.64988e-31+4.55164e-17j 9.67608e-30+1.57609e-17j -2.14429e-31+3.68074e-17j -6.57028e-32-1.29539e-17j -2.26744e-30+2.03383e-17j 4.33996e-30+3.56568e-17j 9.0573e-30-1.72651e-18j -1.66706e-29-7.26472e-18j 2.41809e-30+8.7837e-18j -8.78761e-31+2.52313e-19j 9.92411e-31+5.40792e-18j 7.38786e-31+2.47847e-18j -1.1524e-31+1.20591e-18j 6.98396e-31+1.06706e-18j 8.86824e-31+7.46842e-18j -7.01162e-31-1.92465e-18j -2.18357e-30+1.60186e-17j 7.65533e-30+1.06818e-17j -3.88703e-30-4.18297e-17j -6.77335e-31-5.42782e-18j 1.35985e-30-1.69729e-17j -1.66869e-30-1.48434e-17j 1.21657e-30+4.73995e-17j -5.69667e-30+6.28261e-18j 3.01961e-30+2.6609e-17j -7.16457e-30+1.07594e-17j 1.25445e-30-1.61947e-17j -9.84632e-31-1.02932e-17j -1.45865e-30+2.15604e-17j -4.15828e-30+2.87893e-17j 2.21474e-30+2.549e-19j 1.80733e-30-3.25404e-17j -3.07535e-30-1.34849e-17j 3.66715e-29-2.34752e-17j 1.62999e-30+9.60768e-18j -3.2924e-31-1.079e-17j -1.00519e-30+4.07952e-17j 1.34103e-31+1.8916e-17j 1.24547e-31-2.00871e-17j -1.12049e-32-7.50459e-18j 2.75463e-31-2.12657e-18j -1.32464e-31-2.21424e-19j -3.65555e-31-2.24986e-17j 7.06756e-33+2.51814e-17j 5.43152e-32+3.49361e-18j 8.18515e-31+8.50122e-18j 2.16641e-31-1.24967e-17j -1.25457e-31-1.74837e-17j -1.3073e-31+4.4296e-18j -2.01037e-30+7.82388e-18j 8.97918e-30+5.31563e-19j 
