-0.0487919+0.080201j -0.0431538+0.0521028j -0.103551+0.0241406j -0.083209+0.00201138j 0.035097-0.0295712j 0.0481163-0.0450106j -0.0673308+0.00379325j -0.0827894-0.0317256j -0.00699665-0.0189755j -0.0198842+0.0294019j 0.0423591-0.0321256j -0.0259974+0.0378122j -0.0694691-0.0566584j 0.0323492+0.00774634j -0.00704361+0.0102208j -0.00988847-0.00206224j 0.0112555+0.0268584j -0.0257156+0.0330058j 0.0266515-0.00329533j 0.0263373+0.0386496j 0.00855258+0.0196419j 0.041741-0.00896305j -0.0235108-0.00313705j -0.0372417+0.0118713j -0.00305721-0.045847j 0.0101466+0.0138836j -0.0373302-0.00263772j -0.00925734-0.0170237j -0.00243517+0.0163063j 0.00992254+0.0212862j 0.0104385-0.0433906j 0.000162517-0.0277094j 0.0465728+0.0152214j -0.022122+0.00285695j 0.0402267-0.0707512j -0.031433+0.00142739j 0.0298165+0.0130317j -0.0540294+0.0070752j 0.0328845+0.0252245j -0.035596+0.166008j 0.153559+0.155574j 0.201495-0.208492j 0.0180981+0.203574j 0.273138-0.127921j 0.0492562+0.0113001j -0.0301285-0.141035j 0.0338753-0.0140209j -0.0683083+0.0693062j 0.0420191+0.0150891j 0.065544+0.0792268j 0.0237991+0.00760903j 0.0021397-0.0158594j 0.0402942-0.0416828j -0.00740848-0.00338158j -0.0254559-0.0265259j 0.0245335+0.050054j -0.00062229+0.0131593j 0.00997719+0.0236082j 0.00428763-0.00279728j -0.0214846+0.00814573j -0.0186015-0.0147049j -0.00269921-0.00583521j -0.0159815+0.000818816j -0.00750992+0.000350087j -0.00896576-0.0132485j 0.0180765+0.00225831j -0.00916627-0.0112726j -0.00937878-1.2753e-05j 0.00757335+0.013529j 0.014592-0.0129568j 0.000364521-0.0122418j 0.000219287+0.0173572j 0.0173606-0.000764717j 0.00414538+0.0173489j -0.011839-0.00659037j 0.00218719-0.012496j -0.0141368-0.0080776j 4.649e-05+0.00727178j 0.0118218-0.0157073j -0.009482-0.0153979j -0.0126748-0.00370936j -0.00609638+0.00299326j -0.0119782+0.00736719j 0.00421168+0.0146151j -0.000287507+0.00607797j -0.0169611+0.0239529j 0.0233315-0.0119063j 0.00293912+0.0162361j 0.0032728+8.21628e-05j -0.00318498-0.0274584j -0.0467841+0.0479397j -0.0477333-0.0424772j 0.0604821+0.034991j -0.0101325+0.0172552j 0.0767817-0.119743j 0.0479846+0.0556806j 0.0113334+0.00572995j -0.0847725-0.0529507j 
-0.0421771+0.0528639j 0.0493713-0.0814006j 0.0708022-0.00920731j -0.103276+0.02184j -0.0358639-0.0507774j -0.0508572+0.0322867j -0.104083+0.00820552j 0.0487215+0.0317369j -0.0349532-0.0564231j 0.0145838+0.0199326j 0.0444748-0.00270884j 0.0848146-0.00649441j -0.0195258+0.0205107j -0.0241007+0.00371039j -0.00140196-0.0120394j -0.0190864-0.0244732j -0.0385218-0.00936409j 0.0214467+0.0093842j -0.0234906+0.0207927j 0.00869712-0.0411759j -0.0383163-0.0158584j 0.0138657-0.0206829j -0.0103399+0.00266071j 0.00882638-0.00354793j -0.0175249-0.0208415j 0.00313663+0.00391855j -0.0412413+0.0538191j -0.00714711-0.00949712j 0.0145722-0.0273864j -0.0201364+0.026575j -0.0184559-0.0238263j 0.000280242-0.0227859j 0.031101-0.0318696j 0.0403499-0.010925j -0.000167553+0.0496912j 0.0403728+0.0295742j -0.0324222+0.106154j -0.0600765-0.0271648j -0.0261586-0.0721338j -0.0503614+0.0115716j -0.178984+0.214026j 0.150772+0.172511j -0.28447+0.155982j -0.0126218+0.192449j -0.0135743-0.126451j -0.0434266-0.0197226j 0.000498673+0.113724j -0.0186949+0.000465363j 0.0998694+0.0322645j -0.0641678-0.0329972j 0.00955124+0.0530843j 0.0141528-0.0298499j 0.0186887+0.00321542j -0.0513383-0.0200697j 0.029951-2.01864e-06j -0.0109354+0.0036858j -0.0145968-0.00154599j -0.0145767+0.00469849j -0.00850831+0.0128522j -0.0050678-0.003307j 0.0186293+0.00700818j -0.0114476-0.00472814j 0.0121074-0.0320098j -0.0210407-0.00212617j 0.00472247+0.0142479j 0.00949232+0.0108681j 0.00956202-0.0121144j -0.00367278-0.0105152j -0.000108704+0.0180675j -0.0098457+0.00936727j 0.0131232+0.00252191j -0.00228218+0.00568108j -0.00106295+0.0219703j -0.0107889+0.00266555j 0.00192612-0.00130066j 0.0141293-0.0136196j 0.0163009-0.00141795j 0.00127006+0.0223421j -0.00385705+0.00135081j 0.0072346-0.0128872j -0.0231235+0.00487859j 0.00177248+0.00784676j -0.00367936-0.0107325j -0.00700757-0.00850492j 0.00118843-0.000582818j -0.0145201+0.000554329j -0.019895+0.0126995j 0.0153932-0.0150227j 0.0116842-0.0339428j 0.0139696-0.03087j -0.0362651-0.0308906j 0.0701683-0.0224251j 0.0204443+0.0421183j -0.0190188-0.0632053j 0.0538406+0.05297j -0.0793089+0.110876j 0.0856731+0.0522092j 0.0123728+0.00625838j 
-0.0221241-0.0959151j 0.00832041+0.0505125j -0.036403+0.0179769j -0.0119109-0.00868449j -0.0572508+0.0658325j 0.00873464-0.0212917j 0.00352464-0.0600025j -0.0288675+0.0163251j -0.0606298+0.00752183j -0.0120161-0.0361614j -0.0581107+0.0291202j 0.0243439+0.0312505j -0.0769342-0.0419146j 0.00306124+0.00619626j 0.00747482-0.00817012j 0.0106635+0.0381324j 0.0538893-0.0131983j -0.013689-0.0713544j -0.00532397-0.00711747j 0.0252116-0.0180528j -0.00920606-0.000569902j 0.0016076-0.00846016j -0.014187-0.0190582j 0.0286709+0.0757787j 0.0163226-0.00588314j 0.021703+0.0411004j 0.0302252+0.062121j -0.0414675-0.159305j -0.0298448-0.0697012j 0.0412439-0.057208j -0.0430914+0.0670952j -0.0270461-0.00736946j 0.0739788-0.0212213j -0.0126359-0.00973431j 0.00907043+0.00787888j -0.0849457-0.0106112j 0.0565221-0.24214j -0.0203282-0.0835535j -0.0262072+0.235363j 0.328612+0.101547j -0.0655257+0.076293j -0.0721776+0.159876j -0.0298899+0.0585426j -0.0397181+0.0825539j 0.130888+0.011829j -0.136617-0.0100472j -0.0235645-0.0551721j 0.00476424+0.0459386j 0.00352031+0.0374029j 0.0895724+0.0483043j 0.0090779+0.0433472j 0.00316293+0.00411625j -0.0211286-0.0337669j 0.00499958-0.0197426j -0.0233937-0.0132552j 0.0515868+0.0376838j 0.0157931-0.0141269j 0.0227906-0.0145087j 0.00300996-0.00587091j 0.00291441-0.0154914j -0.0150289-0.00651966j -0.0106257+0.0314657j 0.00230317-0.020959j -0.00245619-0.00163364j -0.0117929+0.0107894j 0.00174747+0.00453794j -0.00579463-0.00450708j -0.00238867+0.00432828j 0.00514035+0.0246928j -0.00771257+0.016643j -0.0110187-0.00652917j 0.00766594+0.0339554j -0.00065651+0.0117905j 0.00308144+0.0270181j -0.0091761-0.0136113j 0.00127385+0.00585203j -0.0096023-0.0116681j 0.00156846-0.0224217j -0.00382162+0.00902256j -0.0108785+0.00748953j -0.015214-0.0140436j 0.00405117-0.00503788j -0.00168507+0.009387j 0.0254976-0.0116984j 0.0102573-0.011919j 0.023633+0.0133337j 0.0347096-0.00944244j 0.0137694+0.0169952j -0.011208-0.0377127j 0.0250464-0.0249745j 0.0402851-0.0982795j -0.000929588-0.00933583j 0.0672444+0.0150435j 0.0415011+0.0678749j -0.0268138-0.00576564j 0.0063767+0.0468772j -0.0233075+0.0434729j -0.0566076-0.0132005j 
-0.0136643-0.0526947j -0.0222695-0.0939147j 0.00587103-0.00713113j 0.0424244-0.0037533j 0.0494207+0.0139326j -0.0647761+0.0872433j 0.0536491-0.0227036j -0.0903827-0.0208328j 0.000509185-0.0604192j -0.017977-0.0250312j -0.0734681-0.0168873j 0.048124-0.0183962j -0.0944856-0.0719982j -0.0412174-0.00344121j 0.038027+0.0271178j -0.0369563-0.0145761j 0.0122623+0.012261j 0.0250111-0.033868j -0.0118172+0.0211694j 0.017703-0.0191878j 0.024+0.0282081j 0.00469814+0.00920062j 0.0309224-0.00116712j -0.000793238-0.0508292j 0.000561088+0.00818728j 0.0160164-0.00622175j -0.0164948-0.00228069j -0.024457-0.0170371j -0.0170224-0.0208916j -0.00167281-0.0106967j 0.052243+0.0760289j -0.0132859+0.0216849j -0.0174579-0.0610908j -0.0796382+0.000489563j -0.073837+0.0994177j -0.0951899+0.16415j -0.252832+0.102761j 0.0441125+0.128142j 0.168169+0.12062j 0.0762-0.254636j -0.119318+0.110018j 0.102139-0.126039j -0.0179698+0.0482793j 0.0692725-0.0297738j 0.118655+0.0152926j 0.142292+0.0278743j -0.0951207-0.0214312j 0.02704-0.0408095j -0.0841889+0.00566799j 0.0625656+0.0315859j -0.0162883+0.008118j 0.0073251-0.0119962j -0.0267884+0.0192887j 0.026897+0.00890992j -0.0100336+0.0107039j 0.00873073+0.00939405j -0.00375952+0.0151689j -0.00338846+0.0105658j -0.00707223-0.0143698j -0.00683658-0.0114827j -0.00227215-0.00271964j 0.0275773+0.00593119j -0.00533551+0.0162701j 0.0161868+0.000557225j -0.0029042-0.00336946j -0.0111211-0.00749968j -0.000304585+0.0144324j 0.00353486-0.0137836j -0.000288667-0.0194168j 0.00070507-0.00638225j -0.0113465-0.00156439j 0.010368-0.0260053j -0.00940601-0.0020722j 0.00852676-0.00981886j 0.00159075-0.0114814j 0.0064291+0.00433589j 0.000256846-0.0061926j -0.0254276+0.00291701j 0.0104368-0.000874719j 0.00511356+0.000879917j 0.00280915+0.00628385j -0.0141466-0.0215661j -0.00693567+0.0182605j 0.0135956-0.00438197j 0.0150287-0.0194183j 0.0367858-0.0299402j 0.000851493-0.0133841j 0.00651162-0.0150676j -0.0202688+0.0420113j 0.022769-0.0648847j -0.0472454-0.00317748j 1.6413e-06-0.0602589j -0.033965-0.0470667j 0.0995035-0.0258546j -0.00539254-0.0231016j 0.0023979-0.00751052j -0.0592105-0.0075326j 0.0172411-0.0444191j 
0.0108127+0.0343711j -0.0223791-0.0134949j 0.00633252+0.0484421j 0.0186375-0.0482224j 0.0867437-0.0892013j -0.0631051+0.0775696j 0.0453459-0.00975659j -0.102056+0.0221635j -0.0203535-0.0746877j -0.0174528+0.0134636j -0.042756-0.00756334j 0.0404735-0.0123996j -0.0550563+0.0418725j -0.0165041+0.0160926j -0.00350296-0.0248552j -0.020338+0.0152322j -0.0282885-0.00186583j -0.0339043-0.0288343j 0.00174266+0.00625673j -0.0619875-0.085895j 0.0646204-0.0345105j -0.0719282-0.0589095j 0.0504833-0.0260491j 0.0856961-0.0224914j 0.0206899-0.0826247j 0.0217649+0.0244114j 0.0864876-0.103944j -0.0952641+0.0225227j -0.0736092+0.0773788j -0.00776002+0.0585165j 0.0456656-0.0157974j -0.033106+0.0550895j -0.0674905-0.112912j -0.0362785-0.0319189j 0.0543611+0.0707798j 0.0695757-0.0111392j -0.0703416-0.0413051j 0.113343+0.0790858j -0.0129603-0.00578372j -0.0611163+0.294765j 0.0768132+0.0494392j 0.00966488+0.152105j 0.17405+0.0562932j -0.0171916+0.138968j -0.0922102-0.117842j 0.00457879-0.0274062j -0.0467938+0.0977232j 0.0884599+0.015265j 0.0210989+0.0348474j 0.0401818-0.0322733j 0.0218669+0.054568j -0.0235805-0.0371754j -0.035764+0.000809523j -0.013466-0.0118971j 0.0091409+0.00793573j 0.0190773-0.0170725j 0.000952452-0.0212294j 0.00308525-0.0072207j -0.0136761+0.00951536j -0.00854423-0.0103682j 0.0112634+0.00579667j 0.0236684+0.0126096j -0.0106022-0.0250436j 0.010759+0.00337186j 0.00178278+0.0268353j -0.00885582-0.00540098j -0.0039037-0.00594568j 0.000709308-0.0102119j 0.00750018+0.0211915j 0.0175926+0.000136877j -0.000275988-0.00168297j 0.0103021+0.00803734j 0.0144387+0.0204726j 0.00726341+0.00343417j 0.00848287-0.00969743j -0.000540721-0.00401913j 0.00814369-0.0186189j -0.00138959+0.0112823j -0.0176662-0.00725653j -0.00893372-0.00108572j -0.00268695-0.00577653j -0.0246658-0.00823278j 0.0328814-0.0159779j -0.00420991+0.0190095j -0.025499+0.0678193j 0.00676322+0.00813504j 0.02203+0.026035j -0.00938852+0.0142145j -0.0203107-0.0490681j -0.057674-0.0396905j -0.021709-0.0138413j -0.00944796+0.0113627j -0.0342543+0.0253249j 0.017273+0.0281956j -0.0521471+0.0355614j 0.0446585+0.063283j 0.00580861+0.0173518j 0.00386613-0.0110086j 
0.00436062+0.0220111j -0.00957585-0.0429945j 0.0173439+0.0285716j -0.0125444+0.110416j -0.0687785+0.117116j 0.00959588+0.0149057j 0.038952-0.0252662j 0.00231777-0.012106j 0.0125723+0.0133594j -0.0745306+0.00752103j -0.0363809-0.0139943j 0.0048012+0.0212677j -0.0293142-0.0746882j 0.0310874-0.001322j -0.0164919+0.0729048j 0.0463027+0.028113j 0.0698859-0.0088686j -0.0138955+0.00596425j 0.0265344+0.0307168j 0.0080545-0.0167192j -0.0395789+0.00994526j -0.0158566-0.0301834j -0.0567581-0.0281985j 0.0214366+0.0254181j 0.0404082-0.0074955j 0.00888939-0.0248318j 0.0538593-0.00481317j -0.0506791-0.040804j -0.0130393+0.0159743j 0.0393277-0.0538996j -0.00864047+0.0649577j 0.0310953-0.0333486j 0.00843647-0.152442j 0.0334845-0.075679j -0.00264199+0.0841285j -0.142378+0.0509835j -0.0649491+0.0983213j 0.00772205-0.0626428j 0.195076-0.0755554j -0.242459+0.115562j 0.0463963-0.0948143j -0.0658785+0.132182j 0.034003-0.073546j 0.0790905+0.0548569j -0.0255438+0.0618603j 0.179838+0.141165j 0.0565052-0.0579456j 0.033627-0.0370958j -0.108293-0.0469818j -0.0521654+0.0325317j 0.00467166+0.0132202j 0.0129023+0.00572086j -0.00884271+0.00279275j 0.0354019+0.0149454j 0.0105724-0.012993j -0.0201535-0.0109261j -0.0167976-0.00247106j -0.00895824-0.0149685j 0.0186927-0.00305902j -0.000954152-0.00931472j -0.00217281-0.00486232j 0.0131714+0.0112377j -0.00425814-0.00656637j 0.0160915+0.0118072j 0.0149531+0.0163283j -0.0134884+0.00708788j 0.00354147+0.0198057j 0.012817-0.00334168j 0.000465384-0.0153397j 0.0228242-0.00391183j -0.00893129-0.00369989j 0.00533085-0.0128613j -0.00529063-0.0131599j -0.00583074-0.0044072j -0.0111572+0.00289113j 0.00101547-0.000542885j 0.0151338+0.00677201j 0.00672835-0.00884364j 0.0234711+0.0209433j 0.0212809+0.0192392j 0.00486223-0.0226432j 0.0224576+0.00101933j 0.0279746+0.0145203j -0.0186801+0.0333064j -0.0220154+0.00713421j -0.0170323+0.00147833j -0.00899356+0.0285311j -0.0135405-0.034368j -0.0093356-0.0189296j 0.0372329-0.0127707j -0.00516183-0.0240941j -0.0415034+0.0214125j -0.0187868+0.0181338j -0.015195+0.0346326j 0.0179023+0.0471657j 0.0236269-0.00681573j -0.0131045-0.00170598j 0.0289599+0.00510123j 
-0.0148716-0.0492259j -0.0594254-0.0513042j 0.00558172-0.0292575j 0.00898278-0.0586618j -0.0160737-0.036053j 0.0588834-0.0162906j -0.00951492+0.00969345j 0.0317715+0.00741814j 0.0440157-0.0513708j 0.0329168-0.000297249j 0.0047635-0.00563312j -0.0492735-0.0268788j -0.036625+0.00171467j 0.0279795-0.0221925j 0.0705575-0.0174692j 0.0299081-0.038787j 0.0141181+0.0102733j 0.00627435-0.0158658j 0.0426645-0.0203407j 0.00295949-0.0253467j 0.00789831+0.00284293j 0.0257283-0.0101131j -0.0182066+0.0286262j -0.0541939+0.0136383j -0.0188232-0.0831989j -0.0154544+0.0546855j -0.000121179+0.00517802j -0.0324742-0.0626839j -0.0152918-0.0683447j -0.0161175-0.0607623j -0.0507821+0.02972j -0.0811104-0.0659536j 0.0787892-0.0952972j -0.0863897-0.109643j -0.10284+0.129905j -0.0605538+0.00298785j -0.152369-0.104066j -0.152186+0.0548812j 0.153256-0.0526178j -0.0661816+0.0711265j 0.176121-0.0262018j 0.0179638-0.00944042j 0.0229816-0.00855006j 0.010861-0.0558149j 0.190283-0.00558289j 0.0139929-0.152881j -0.0510233-0.0162061j -0.101829+0.0186735j -0.0606376+0.0774942j 0.0904798+0.0269208j -0.0287694+0.0296111j 0.0271123-0.00318902j 0.00855705-0.00537367j 0.0302739-0.0225732j -0.047898-0.0124613j 0.0209632+0.0225163j 0.0154818-0.00512937j 0.000839231-0.004459j -0.0104514-0.00510952j -0.0123248-0.0121891j -0.0377187+0.00171833j -0.00379407+0.00592466j 0.00517537-0.0169813j 0.0223056-0.00869827j -0.0123981+0.00831241j 0.0081598-0.00289482j -0.00220735-0.00667219j 0.0114574-0.0222814j -0.00980365+0.01183j 0.00462982-0.0123578j -0.00519109-0.00344368j 0.000277664+0.00635063j -0.00138555+0.0147018j 0.0208937+0.00532067j -0.0132727-0.00448497j -0.0166728+0.0138796j -0.0174787-0.0244541j -0.0144586-0.00934643j -3.11964e-05-0.00481495j -0.0037059-0.000152398j 0.0103408-0.0252249j 0.00208613+0.0301491j -0.00326338-0.0242519j -0.00364914+0.0132487j -0.0206761-0.0126665j 0.0081867+0.00294438j -0.00382235+0.0229265j -0.00791682+0.00716974j 0.0383789-0.0156941j 0.00314924-0.0225485j -0.0380162-0.00213781j -0.0380672+0.0443692j -0.00369132+0.0206093j 0.0025818+0.0176707j -0.00300136+0.0022575j 0.00612122-0.0146975j -0.0356949+0.0142004j -0.0144852-0.0111136j 
-0.0696505-0.0445999j 0.0153487+0.0285667j -0.0164943+0.086698j 0.00903559+0.0492524j -0.0100195+0.0532767j 0.00956594+0.0293134j -0.0388579-0.016451j 0.0210429+0.0453209j -0.00814245+0.0267126j -0.0147396-0.0395064j 0.036381+0.0162093j -0.0169203+0.0211641j 0.0180615+0.0147969j -0.0529406-0.0529935j -0.0120937+0.0372864j -0.0694881-0.0331389j 0.000421737-0.0144916j 0.0368575+0.0312402j -0.0859704+0.01089j 0.0290487+0.0371688j -0.0537956+0.0482906j 0.0579437+0.0105901j 0.0370998-0.0277144j -0.0506735-0.000954358j -0.0471685+0.0716436j 0.0155359-0.0342823j -0.0354011+0.0416505j 0.0455846-0.0255195j -0.0145074-0.0513586j -0.000757043-0.0867374j -0.0747891+0.142056j -0.0270088+0.0665386j 0.163778-0.0146029j 0.0523036-0.00302484j -0.0195386+0.0947206j -0.109542-0.164729j -0.0375697+0.00453805j -0.0792655+0.0180357j -0.0190173-0.0239993j -0.149174+0.075768j 0.00472601+0.0413123j 0.0702621+0.0888652j 0.00114816+0.0810953j 0.00479018+0.0137604j -0.0320489-0.141935j -0.113252+0.139049j 0.00208162+0.0100153j -0.00898935+0.0356644j 0.0706961-0.0354431j -0.0139672-0.0556676j -0.0101505+0.000999116j 0.0171019+0.0029361j 0.0165116-0.023579j -0.0234791+0.000189545j 0.000214516+0.0191763j 0.0168371-0.00962639j 0.00254846+0.00454001j 0.00783946-0.0153409j 0.00373538+0.00851525j 0.00686275+0.0148022j 0.00975815+0.0179439j -0.00950188+0.027803j 0.00385301-0.0177831j -0.0260066-0.00507356j -0.00539701+0.00435294j 0.00258331-0.00284932j -0.00451967-0.00281639j -0.00420334+0.00671323j 0.00693537+0.00466102j 0.00523709+0.000342523j 0.00604821-0.000832253j 0.00257065+0.01062j 0.0100071-0.00717174j -0.00299448+0.00658214j 0.00184626+0.00954186j -0.000441714-0.00516973j -0.00772034+0.0129702j 0.0180377-0.00922663j -0.0171298+0.00320452j -0.0160069+7.40478e-05j 0.00802642-0.0102691j -0.00306997-0.00963835j 0.0188682-0.0212489j -0.0199421-0.0171026j -0.0329581-0.0102442j 0.0137042-0.0369148j -0.0103563+0.0135569j 0.0402124-0.0206151j 0.0128774-0.0323279j 0.0510054-0.00352406j -0.0264882+0.00865777j -0.00759919+0.0226452j 0.0186103-0.0208157j -0.0207783-0.0056748j 0.0320009-0.00576181j -0.000924946-0.0161525j 0.0143789-9.94302e-05j -0.00732474+0.0289169j 
-0.0217184+0.00367127j -0.0418748-0.00534626j 0.0510688+0.090672j 0.0188076+0.00691413j 0.024449+0.0607172j 0.0224418+0.0638241j 0.0424421-0.0394911j 6.31517e-05-0.0462261j 0.0611464-0.0512609j -0.0714764+0.0713981j 0.0408835-0.0560949j -0.0455289+0.0666593j -0.00933745-0.0127669j 0.00880432-0.0947239j -0.0212196+0.0861458j -0.0390426-0.0608326j 0.0290398-0.0124398j 0.0268357+0.0301997j -0.0312434+0.0473038j -0.0263546-0.0811337j -0.0355059+0.0418558j 0.0167477-0.125288j 0.00395757-0.0480349j -0.0475971+0.0559011j -0.0197655-0.0640625j 0.0253017-0.042248j 0.0947848+0.0450419j 0.00627632-0.0308231j -0.0962196+0.0205815j 0.00590163-0.0510112j -0.0168086+0.0923219j -0.0287616-0.0389696j -0.171282+0.045455j 0.0354432-0.0211215j 0.0579106-0.0467641j 0.0435754-0.0572694j 0.0813014+0.019618j 0.00737009-0.0271338j 0.00544845+0.00950382j 0.11146-0.0748103j -0.10614+0.198268j -0.00774172-0.126128j -0.0564799+0.126746j -0.0431588-0.130293j -0.0523067-0.0541219j 0.0579102+0.00387995j -0.0147872-0.0292395j 0.0251247+0.0176769j -0.0255861+0.011167j -0.0293844+0.0467506j -0.00800779+0.0226897j 0.0248862-0.0324292j 0.00910639-0.0316173j 0.00429283-0.00689976j -1.20519e-05+0.00464866j -0.00604027+0.00522463j -0.0162189+0.00898605j -0.000890062-0.00372306j -0.000851173+0.00193247j 0.000986376+0.00520465j 0.0103739+0.00918131j 0.0101238+0.0237344j 0.00829755-0.0144612j -0.00678512+0.000261756j 0.00474831+0.00724867j -0.00803317+0.00176988j 0.00757515+0.00768268j -0.00868267-0.0066872j -0.00571648-0.0108583j -0.00727886+0.00362443j -0.0102957-0.00924143j -0.0100586-0.00603825j -0.0211805-0.00163943j -0.0147846+0.00671248j -0.00235659+0.014839j 0.0046702-0.0208159j 0.0128808-0.00179168j -0.00861158+0.0215939j 0.0200212-0.0139772j 0.013865-0.0231522j 0.0048307-0.00542806j -0.0188535+0.0165143j -0.00129473-0.0122677j -0.0148898+0.0174144j -0.0367987-0.0119155j -0.0138105-0.00262484j 0.00843541-0.0174305j -0.0374623-0.0152315j -0.0350984+0.0210811j -0.00360383-0.0187941j 0.0347166-0.0187315j 0.00153688-0.0130908j 0.0151381-0.0191002j -0.0261357-0.0279145j 0.000607102-0.0165099j 0.00214798+0.00261379j 0.0118393-0.0131965j 0.0305818+0.00154116j 
-0.00300576+0.000787859j -0.0213936-0.0226157j -0.0214166+0.0374725j -0.019653+0.0163145j -0.0595683+0.0136723j 0.0234355-0.0466706j 0.0213249-0.00350143j 0.0133087+0.0405547j 0.0865226-0.0826607j -0.024287-0.0413679j -0.0128341+0.0139182j -0.0516847-0.0750781j 0.013839-0.0597079j -0.0434972+0.0109054j 0.049759-0.0175998j -0.00233324-0.0251985j 0.0342243-0.0226138j -0.0053109-0.0231364j 0.0775148-0.00161172j 0.0520496+0.00743647j -0.125707+0.016335j 0.10676+0.0108144j -0.00665087-0.00873508j -0.0627242+0.0948166j 0.0801296+0.0679879j -0.0757323+0.0884914j 0.044284+0.00358016j -0.153701+0.105983j -0.106887-0.0444996j 0.00435897+0.0877854j -0.077667-0.00472481j -0.0583721+0.063827j -0.0413654-0.01613j -0.0189626-0.0513128j 0.062036-0.00603857j -0.0699953+0.219j 0.131876+0.0148377j -0.000139819+0.0563563j -0.00282284-0.00650419j 0.0296071-0.0593846j 0.0893521+0.00247842j -0.0402695+0.205445j 0.00466822-0.0196964j 0.0735728+0.036149j 0.0895447-0.0121291j 0.067995-0.081338j 0.0405983-0.0242141j -0.0519206-0.00952659j -0.0905292+0.057169j 0.0223705+0.00535872j -0.0340232+0.0307134j 0.0370217+0.000406941j 0.00485235+0.0259759j 0.0309209-0.0147504j -0.0167608-0.00595852j 0.00773235+0.0202429j 0.0247563+0.00250159j 0.00288338+0.00528885j 0.0194308-0.00327552j -0.000112391-0.0195688j -0.0191934+0.007257j -0.0217414-0.00762999j -0.00325101-0.018327j 0.00827213-0.0139979j -0.00940102-0.00598333j -0.00508313+0.0118839j -0.00402361-0.00654896j -0.00138575-0.0231161j -0.0130684+0.00825914j -0.00456596+0.00920617j 0.000824692+0.00556974j 6.62009e-05-0.00230195j 0.0045727+0.00458604j 0.00758738-0.00210769j -0.0174838-0.0182151j 0.011108-0.00615797j -0.0316038+0.025708j -0.00221381+0.0258324j 0.0241348-0.00983948j -0.00179945-0.013509j 0.00567989+0.00150684j 0.015133-0.0514102j 0.0399049-0.00760852j -0.00395865-0.0301992j -0.014351-0.0175082j -0.0164041-0.0184727j 0.0342462-0.00402144j -0.0223644+0.0108592j -0.000804847+0.0167335j -0.0150597+0.00615941j 0.018547-0.0262906j -0.00151425-0.00619878j -0.00221004-0.0202807j -0.0155522-0.0122753j 0.0297643+0.00958158j 0.0026439-0.0198235j -0.0465267+0.0183895j 0.00429813-0.0433903j 
0.0234787+0.0111768j 0.020311+0.0115544j -0.0145296-0.0569154j -0.0104142-0.0521531j 0.0385595-0.0255432j -0.0527679-0.0354156j 0.0725267-0.0447644j -0.0606168-0.0278784j -0.0192367-0.0662879j -0.0460717+0.114306j -0.019896-0.0522214j 0.0269556-0.0404296j -0.0396602+0.0209722j 0.0515528+0.0361761j -0.0382495-0.0436902j -0.0469449+0.0249319j 0.0247921-0.0494548j 0.057791-0.0689656j 0.110579+0.00780552j -0.0100035-0.0873885j -0.087014-0.067285j 0.0184442-0.0309308j -0.0235076+0.0218896j -0.00124833+0.067377j -0.0754489-0.0293313j 0.0382328+0.0367645j -0.0539924+0.0249336j -0.0795957+0.0943011j -0.073755+0.0206582j 0.204651+0.0169127j -0.0754848+0.18878j 0.016793+0.16294j -0.205264+0.0923934j 0.143172-0.17894j -0.0826314-0.13142j 0.167928+0.00741583j 0.00682245-0.0527512j 0.0584435-0.00920579j 0.0477867-0.134718j 0.0908412+0.0261856j -0.0573149+0.0936925j -0.097116+0.0168391j -0.00466748-0.0326441j 0.0510127+0.0344507j -0.0211306+0.229016j 0.138153-0.0487687j 0.017894-0.0368754j 0.0661475-0.0662099j -0.0927721-0.00740582j -0.0124349+0.0793966j 0.0172769-0.00188935j -0.00654504-0.025001j -0.00233076+0.0237395j 0.0210572+0.0261853j 0.0106542-0.0298543j -0.0092691+0.00242823j -0.004809-0.00425333j 0.0153144+0.0182503j 0.00270419-0.00320747j 0.010735-0.0125017j -0.00435439-0.0212481j -0.00962644-0.0054822j 0.00898507-0.00310179j 0.0169994+0.00369549j 0.00549114-0.017398j -0.00385025+0.0125087j 0.0033348+0.00299026j -0.0096612-0.0123869j -0.00264496-0.0105402j -0.00383679+0.00322107j -0.00528997-0.00725432j -0.0218345+0.0176811j -0.0155876-0.00711865j -0.0155806+0.0262675j -4.70375e-05+0.00731308j -0.00930181-0.00542543j 0.0106699-0.0320885j 0.0184558-0.0226042j -0.0115107-0.0115653j -0.0122491-0.0278046j 0.0151379-0.00428942j -0.0288391-0.00767377j 0.033401-0.0333422j 0.027701+0.0125626j 0.0364777+0.00372472j 0.0240177+0.0104628j -0.0161114+0.0242079j 0.006585-0.0238091j 0.00446018+0.00743657j 0.0183823-0.00902809j -0.00164633+0.00611516j 0.00301796+0.000130049j -0.00789921+0.0158729j 0.0106459+0.00319912j 0.00426519+0.0103716j 0.0152422-0.00344323j -0.0248462-0.067449j 0.0523236-0.0420885j 
