0.00545232+0.00457005j -0.00207504+0.0111177j 0.000226247+0.00965765j -0.00399858+0.00509724j 0.000754497+0.00677003j 0.00331945-0.00608743j -0.00322294+0.00238748j -2.84622e-05+0.00759714j -0.00122715+0.00369387j -0.000209858+0.00348635j 0.00293963-0.00225095j 0.00249545-0.00135574j 0.00110131-0.00799112j -0.000608655-0.00497339j 0.00138288-0.00316575j -0.000366823+0.00170269j -0.000827953+0.00337831j -0.00183413+0.00365133j -0.00149+0.00319597j -0.000157899-0.0013066j -0.00116001+0.00385451j -0.00118077-0.00185039j 0.00198351-0.00638312j 0.000206843-0.00181891j -0.00060303-6.3469e-05j -0.000430065+0.00198604j 0.00236468-0.000642695j 0.000925329-0.00406556j 0.000442258-0.00142846j 0.00178513+0.00122036j -0.000650892-0.000424854j -0.000413511+0.00357591j 1.58973e-05+0.000510509j -2.02085e-05+2.00455e-05j 0.00277342-0.00592223j -0.000750427+0.00014816j 0.000574355-0.00532609j -0.000523024+0.00322922j -0.000214576-0.00162479j -0.000588826+0.00131225j -0.000570488-0.00168618j 0.00178767-0.00470099j 0.00254797-0.00474618j 3.35472e-05-0.00212709j 0.00366965-0.00143364j -0.00107593-0.00315103j 0.00333092-0.00829058j 0.00151415+0.000935991j 0.000538892+0.00416944j -0.0076753+0.00669076j 0.00282646+0.002239j 0.00808428-0.0108815j -0.00557966-0.0141859j -0.000208509+0.0361009j -0.0188504-0.303325j 0.00991061-0.814331j 
0.00206762-0.0111555j 0.00547973+0.00459984j 0.00396333-0.00500562j 0.000192587+0.0103502j 0.0030753-0.00248391j -0.00210348-0.00385407j -0.00193592+0.00894922j 0.00282676-0.00495148j 0.000186171+0.00301895j 0.00132102+0.00083343j -0.000715415-0.00489125j 0.00189341-0.00692426j -0.00226824+0.00328378j -0.00248272+0.00443653j -0.00032962-0.00110539j 0.000751516-0.00139665j 0.00121479+0.000126814j 0.000950849+0.00197359j -0.000686542+0.00279683j -0.000602775+0.00161289j 0.000710725+0.0031996j -0.00230236+0.00544416j -0.00128844-0.00053562j -0.000822634+0.00199035j 0.000123848+0.00292986j 0.0017351-0.00327747j 0.00105505-0.00714632j -0.000800396+0.000634563j -4.26339e-05-0.000507881j 0.00131891-0.00530229j -0.0018929+0.00639301j 0.000694662-0.00126901j 0.000526362-0.000112069j 0.000714135+0.00225606j -0.000764813-0.0029342j -0.000755765+0.00486257j -0.00132135+0.001434j 0.00197992-0.00433888j -0.000862532-0.000702316j 0.00113168-3.77892e-05j -0.00152481+0.00183504j 0.0010157-0.00431259j -0.00190913+0.00040117j 0.00139556+0.000681193j 0.000988016-0.00220842j -0.00438322+0.00689089j -0.00229585-0.00432948j 0.000779205-0.00642761j -0.00176409+0.000439286j 0.00084241-0.00212422j 0.0108938-0.0130171j -0.00289707-0.00433398j 0.000505962+0.0327406j 0.006114+0.0172656j 0.00985233-0.814212j 0.0188028+0.303353j 
0.0013161-0.0117949j 0.00561477+0.000137762j -0.00031616-0.00472753j -0.00147312-0.000155047j -0.000246898-0.00427491j -0.00308071+0.00481834j -0.0030335+0.00812799j -3.33426e-05+0.00354539j -0.00357941-0.00483428j 0.00153986-0.00428038j -0.00214738+0.00592437j 0.0019016-0.00583182j 0.000298187-0.00119636j 0.00200071-0.00133449j 0.00317679-0.00158756j -0.00179583-0.00225454j -9.32467e-05-0.00316557j 0.00171103-0.000274012j -0.00251209+0.00276477j 0.00172308+0.00436113j -0.00305419-0.00495631j -0.0016905+0.00522678j 0.000613639+0.00388443j -0.00178699+0.000930249j 2.66453e-05-0.00241871j 0.00144679-0.00529805j -8.33606e-05+0.0035826j -0.000858157+0.00658337j 0.0013943-0.00173607j -0.000407645+0.00208854j -0.000618918+0.000669893j -0.00178171+0.00401397j -0.000886368+0.00165411j 0.00358627-0.00456367j -0.000432683-0.000704925j 0.00428328-0.00256848j 0.00670888-0.00578799j -0.00137145-0.00416723j -0.000903676+0.00242626j -0.00143991-0.000444479j 0.00219335-0.00677711j 0.00621931-0.00477592j 0.00123835-0.00231583j 0.00431087-0.00322682j 0.00235969+0.00252413j -0.00513811+0.0123534j -0.000585989-4.9607e-05j -0.00722954-0.00523077j 0.00806582+0.0163557j 0.0030188-0.0644948j -0.000877542-0.0122161j 0.00531137-0.0684745j 0.0181584+0.200479j -0.0128101+0.701385j -0.000556614+0.00590964j 0.00173497-0.0137541j 
-0.00586957-0.000847397j 0.0019018-0.012409j 0.00207306+0.00157362j -0.00145031-0.00489133j -0.00307671+0.00446104j -0.000905309+0.0100668j 0.00123607-0.00179743j 0.003319-0.000534179j -0.00404299+0.00344502j -0.00280558-0.00297266j -0.00119913+0.00563637j -0.00107726+0.0048005j -0.00200329+0.00647053j 0.000525469-0.00434152j 0.000308702-0.00348761j 0.000447074+0.00234875j -0.00144017+0.000449239j 0.00210693-0.00611823j 0.00081095-0.00286869j 0.00070533-0.0047603j -0.00364741+0.00756823j -0.000117063-5.61178e-05j 0.00035456+0.00548566j -0.00212051+0.00570978j -0.000798725+0.0055042j 0.0020795-0.000215931j 0.000890335-0.00281012j 0.000324028+0.000474809j -0.000713882+0.000870117j -0.00144133-0.00128021j -0.00178818+0.00174743j 9.37009e-05-0.00257432j 0.00161933+0.0018164j -0.00287979+0.0027737j -0.00075471+0.00253877j -0.00277901-0.00631478j 0.00143636-0.00980596j 0.00121022-0.00319793j 0.00128891-0.00306214j -0.00129459+0.00211659j -0.00271073-0.0095223j 0.00301697-0.00182826j -0.00623533-0.00402031j 0.000933651+0.0115823j -0.00764981+0.0140433j -0.000964857+0.00791056j 0.00481381-0.00509556j -0.000152225-0.000734646j -0.00126676-0.0581327j -0.0103413-0.0401639j 0.000605296+0.00550934j -0.0121742-0.0370589j -0.0104781+0.685779j -0.0155956-0.195322j 0.00165538-0.0190191j 0.00057007-0.00140331j 
-0.000930716+0.00540336j -0.00225123+0.000988749j 0.00317528+0.0118539j -0.00436731+0.00605608j -0.00438296+0.0110788j 0.00375592+0.00320954j 0.00168487+0.000201713j 0.00166173+0.00403878j -0.00386211+0.003871j -0.00141261+0.000702852j 6.61684e-05-0.00205663j -0.0015322+0.00151198j -0.000786101-0.00151466j 0.00318441-0.00384084j 0.00284907-0.000845224j 0.000179068+0.00459434j -0.00401169+0.00398745j -0.000306131+0.00358136j 0.00253282-0.00106773j -0.00226986-0.000952766j -0.00211237+0.00741805j -0.00272795+0.00100744j 0.000493832-0.00231605j -0.00185757+0.0022159j 0.00058229+0.00406919j 0.00306667+0.0018798j -0.00190432-0.0031755j -0.0048436-0.000929309j -0.0012611-0.00141397j -0.00384234-0.0013811j 0.00435693-0.0016416j -0.00308345+0.000978013j 0.00151092+0.00304533j -0.00250996+0.00265661j 0.00235704-0.00527139j -0.00133145-0.00445656j 0.00775589-0.00877607j -0.00147313+0.00561623j -0.00369962-0.00176153j -0.00919064+0.00882183j 0.000423307+0.00207974j 0.00277282-0.0055275j -0.00501957-0.0147041j -0.00310518+0.0206608j 0.00382354-0.0167744j -0.00141266+0.0277886j -0.00398963-0.0185627j 0.000179226+0.0476367j -0.0108993-0.063761j 0.00577492+0.0183j -0.0181235-0.0250078j 0.0115826-0.585818j 0.00137551+0.00741703j -0.00370542+0.0108676j -2.43998e-05+0.0290819j -0.000929863+0.0169381j 
0.00320966-0.00842234j 0.00281122+0.00384049j 0.00428855-0.00644442j -0.000228786+0.0144659j 0.00326546+0.00313926j 0.0054098-0.00214754j -0.000420812+0.00288749j 0.00095761-0.0108304j -0.000478314+0.00888061j 0.000112941-0.00308644j 0.000444748-0.00467522j 0.000407664-0.00697811j 0.000591238+0.00691073j -0.0042526+0.00553701j 0.00216353-0.00383129j 0.00310968-0.000443029j -0.00197269+0.00339418j -1.06233e-05-0.00260315j -0.000672559+0.00193969j 2.02707e-05+0.00451207j 0.00123093+0.00745662j -0.00124725+0.00662437j 0.00335323-0.00345716j 0.000354986+0.0065344j 0.00325679-0.000364178j -0.000622111-0.00623947j 0.00358821-0.00730137j 0.00677613-0.000883772j -0.00515757+0.00163542j 0.00305948-0.0054293j 0.0024978+0.0056164j -0.00107231-0.00112265j 0.00408993-0.00595547j 0.000656182-0.00331999j 0.00461552+0.00260536j -0.00150122+0.00247299j 0.00366834-0.00163868j -0.000256544-0.00843127j -0.00831988+0.00683606j 0.00162813-0.00414252j -0.00569731+0.00547386j -0.00876971-0.0120377j 0.00598848+0.0145064j -0.00470745-0.0123447j -0.00999251+0.0216565j -0.000651929+0.0574108j 0.00327323-0.0275533j 0.00769571+0.00249215j -0.00518928+0.0712641j -0.0138413-0.0530503j 0.00644239-0.53748j 0.0082628-0.00183386j 0.00121999+0.0110303j -7.87597e-05-0.0421922j -0.00065207+0.00415147j 0.000128837-0.0491616j 
0.00498593+0.002215j -0.0037861+0.0123551j -0.00259498+0.0078906j -0.0010439+0.00426357j -0.00204992+0.0012219j 0.0019745-0.000935113j 0.0024483+0.00814906j -0.00102097+0.00978798j -1.4758e-05-0.00163709j 0.00405636-0.00195845j 0.00305664-0.00454054j -0.00178293-0.00652033j -0.000307945-0.00824006j 0.0016319-0.00668418j 0.000804698-0.00357868j -0.00388287+0.00519531j -0.000501344+0.000535386j -0.000369698+0.00779097j 0.00422285+0.00670817j -0.00303833+0.00407539j 0.000395129-0.00070855j 0.00171633+0.00364938j -0.00037747-0.00716534j -0.00148192-0.00296322j -0.00237585-0.00111731j -0.00380863+0.0018927j 0.00038318+0.00328747j 0.000492571-0.000660169j 0.00137344-0.00919218j 0.00123798+0.00458357j 0.00184068-0.00388986j 0.00313911+0.0104914j 0.001789+0.00198144j -0.00301369-0.0121197j -0.000329816-0.00796721j -0.00172515-0.00127316j -0.00396348+0.00138074j -0.00199387+0.0154205j -0.00439038+0.0169313j -0.0111217+0.00361687j 0.00326143+0.0149304j -0.00400084-0.0116782j -0.00374106+0.000886113j 0.0035521-0.0652606j -0.00819065-0.0728996j -0.00353286-0.036422j 0.00660252+0.0190999j -0.00110022+0.0275001j 0.0136997+0.0553394j -0.0117134+0.491365j -0.00555548-0.0310853j -0.00304248-0.00497936j -0.0038146+0.0377172j 0.00543035-0.0189432j -0.000309631+0.0446524j 0.000156296-0.00473267j 
-0.00270136+0.0081573j -0.0031296-0.000594863j 0.00454115+0.00144774j 0.00122818+0.00295404j -0.00178894+0.00075593j 0.00247967-0.00532708j 0.000374673-0.0119149j -0.000838017-0.00256883j 0.00110417-0.00516863j -0.0010835+0.00255945j -0.00127907-0.00593982j -0.00235189+0.00648303j -0.00248465+0.00338544j 0.00382056+0.00613611j 0.0016044+0.00603268j 0.00355572-0.000138005j -0.00160072+0.00211974j -0.00200661+0.00550019j 0.00089522-0.00532132j -0.00172488-0.00477363j 0.00110077-0.00155796j -0.00386568-0.00155061j -0.00340612+0.00254549j 0.00157436-0.0036008j -0.000948558+0.00147859j 0.00332663+0.00460836j -0.00161332-0.0023463j -0.00427445+0.00577227j -0.00200922+0.00599598j -0.00320732-0.00832162j 0.000996952-0.00935551j -0.00198283-0.00878206j -0.00161611+0.0048766j -0.00449776+0.00420224j 0.00156167-0.0045265j -0.00411241-0.0197452j -0.000106873-0.00589478j 0.0042481+0.0101539j 0.000816278-0.00749831j 0.00339577-0.000793799j 1.82702e-05+0.0197005j 0.00246844+0.00583189j 0.00144926+0.00764345j 0.00921151+0.0862754j -2.60095e-05-0.0520657j 0.00721707+0.0016377j -0.00521437+0.0603502j 0.0145523+0.0495411j 0.007085-0.400808j 0.00069778+0.0149819j -0.00162932-0.0481475j 0.000173861+0.0166181j -0.00622689+0.0390231j -0.00440076-0.0190206j -0.00132799-0.00664132j -0.000290526+0.0207583j 
0.00131308-0.000421436j -0.000870628+0.00405275j -0.00265014-0.00103853j 0.00293099-0.00471241j -0.000356901-0.00238851j 0.00193258-0.00210886j 0.000499025-0.00770225j -0.00474179+0.00933028j 0.000229108-0.00843875j 0.00499443-0.0067667j -0.00453249+0.00217812j -0.00308975-0.00127781j -0.00114673-0.010806j 0.00148056-0.00475545j 0.00234519-0.00171681j 0.00245478+0.000335024j 0.00143895+0.000852161j -0.00218976+0.00318092j -0.000613361+0.00234495j -0.000324124+0.00262537j 0.00454279-0.0121741j -0.00231864-0.00769831j -0.00298839-0.00832413j 0.000124655-0.00735491j 0.00124212-0.0165509j -0.000565017+0.00500125j 0.000382716+0.0202987j 0.00204595+1.04964e-05j -0.00419055-0.00115385j 0.00122949+0.0160803j 0.000938685-0.0229654j -0.000481241+0.0101548j -0.00726253-0.00178672j -0.00119862-0.0129865j -0.00321607-0.00927247j -0.00399702-0.019818j -0.000842382+0.00707951j 0.00300329+0.0408362j -0.000976596+0.0204606j -0.00252576-0.0291455j 0.000995305+0.0321399j 0.00356998+0.00294766j 0.00691266+0.0489255j 0.000531494-0.0574901j -0.000406601+0.00980458j 0.000707659-0.135499j -0.0169468+0.0532367j 0.000114014+0.334732j 0.00332121-0.0136472j -0.00244593-0.0273531j 0.000950444-0.0435003j 0.0041762-0.00536216j -0.00251608-0.0421811j 0.00330261-0.00283875j -0.00134647+0.0115438j 0.00222482+0.0453345j 
-0.000959741+0.00059268j -0.00087398-7.78738e-05j 0.000560114+0.00581966j -0.0020439+0.0031371j -0.000191593+0.00431448j 0.00111973-0.00630726j -0.00323386+0.00463948j 0.000702449+0.00824916j -0.00315902+0.00505249j -0.00628174+0.000920116j -0.000700236+0.00110876j -0.00119703-0.00597789j -6.13149e-05-0.00783928j 0.000885908-0.00293165j 0.00192637-0.00608787j 0.00177266-0.000332703j 0.00161504+0.00229162j 0.00188772+0.00695332j -0.00202151+0.00657829j 0.00523429-0.00414999j -0.00329204+0.00398108j 0.00207602+0.00106827j 0.0028501-0.00685314j -0.00235795-0.00141707j -0.00196838+0.00344933j -0.00129054+0.0049179j 0.00493062-0.0108802j -0.000512743-0.0065756j -0.000876793-0.00335691j -0.00276144-0.00854025j -0.000101155+0.00641448j -0.00248326-0.00356769j -0.00304914+0.00289615j 0.000848209+0.00961183j -0.00611969-0.0411609j 0.00556676+0.00444587j -0.00113608-0.0141867j 0.00256155-0.00614807j -0.00729632-0.00558858j -0.00808191-0.0323462j 0.00233021-0.0531221j 0.00247877-0.0544939j 0.00871434-0.0813128j 0.00115661+0.0455695j -0.0119281+0.0119275j 0.00775831-0.0103171j 0.00465849-0.332602j -0.0062151+0.0502167j -0.00521035-0.014885j 0.000952972-0.036132j 0.00453077-0.00767212j 0.00155517+0.0206728j 0.00117548+0.0399631j 0.000790887+0.0398163j 0.00221938+0.06549j 0.00170671-0.00920781j 
-0.00185901-0.000958489j 0.00259896-0.00613568j 0.0035282-0.0109751j 0.00223526-0.00128631j 0.00163241-0.00358204j 0.000467535+0.0016602j -0.00210438-0.00850446j 0.000482686-0.0110864j -0.00023338-0.00249438j 0.00212219+0.00155511j 0.000426169-0.000369331j 0.00109019+0.00760445j -0.00120848+0.0188512j 0.000409245+0.00584197j 0.000994195+0.0051285j 0.00232372-0.00463715j -0.000677054-0.00145992j -0.00164052-0.00903981j -0.00347964-0.00661957j -0.0013857-0.0060219j -0.000531295+0.00477896j -0.00223295+0.000293187j 0.000642952+0.0159162j 0.00287622+0.00373136j 0.00297472+0.00596893j 0.00221628-0.00996754j -0.00138021-0.00181053j 0.00650692+0.0131595j -0.0031403+0.0138203j 0.00189754-0.00731998j -0.00231749+0.000615582j -0.00366714-0.0210058j -0.00250883-0.00706471j 0.00213934+0.0227912j 0.00655999+0.0133037j 0.00380543-0.0124104j -0.00600903-0.0398807j -0.00102498-0.0464983j 0.000744343-0.038756j -0.00239023-0.0522654j 0.000933389+0.0260477j -0.00917954+0.0014481j 0.00216537+0.0154434j 0.00529957+0.0407183j -0.00754792+0.232904j -0.0112369+0.196804j 0.00148099+0.0428187j 0.00481173+0.0555374j -0.0054948+0.00529078j -0.0028508+0.0244781j -0.00234667-0.0347163j 0.00505814-0.0226676j 0.00167313-0.0244213j -0.00282193-0.00312515j -0.0010724-0.0589642j -0.0024438-0.00186915j 
