-0.010949+0.00361773j -0.00466087-0.00984477j 0.00789001+0.0108211j -0.012023+0.00885072j -0.00163186+0.0075979j 0.00449269+0.00743276j -0.0129601+0.00777365j 0.00126759-0.00222314j 0.00689677-0.00341008j -0.00334327-0.00865173j -0.00538257+0.00562916j 0.000899586+0.00569336j -0.00912478+0.00601866j -0.00189142-0.00118963j -0.000567267-0.00180385j -6.8196e-05+0.00943757j -0.00421512+0.00894165j -0.00308589+0.00453527j 0.00459315+0.000529096j 0.00191556-0.0103588j -0.000874244-0.00586914j -0.00280617-0.00150797j 0.00466342-0.00373293j 0.00675448+0.00374505j -0.00339224+0.00530235j -0.00425465+0.00547871j 0.0091538+0.00655595j -0.00114747-0.00224043j -0.00441364-0.00766488j -0.00903104+0.0226472j -0.00763208-0.0117175j 0.00312445-0.00962246j -0.00358421+0.00852735j 0.0105566-0.0105034j -0.0151598-0.00754608j 0.0105241+0.0172178j -0.0168593+0.0151207j -0.0205133-0.00110075j 0.0162725-0.00287966j -0.00378757+0.00455448j -0.00699758+0.0142813j -0.0137419+0.00338556j 0.00607195-0.00773193j -0.0215494-0.0173638j 0.00433557+0.00874907j -0.0398918+0.00613194j -0.00565154-0.0291401j 0.00544861-0.0110427j 0.006035-0.0282143j -0.00397814-0.0029642j 0.0146492+0.00361551j -0.00634029-0.000575714j 0.00293889-0.0154718j -0.00029456-0.000376514j -0.0021942+0.00893161j -0.00346395-0.00444002j 0.00457282-0.0037696j 0.0113004-0.00202364j 0.00271068+0.00155036j 0.0116747-0.00186152j 0.00573799+0.00202444j 0.00361038-0.00933952j 0.00121106+0.0132224j 0.00131104-0.00853124j 0.00213152-0.0244473j 0.00255907+0.0215487j -0.000336344+0.00889695j 0.0449678+0.0517824j 0.0514977-0.0471178j 
0.00185291+0.0102904j -0.0116623+0.00434489j 0.0103489-0.00580919j 0.00652406+0.00782578j 0.00433878-0.00424006j 0.0095381-0.00267065j 0.00735658+0.0102926j 0.00452103+0.00539135j -0.00763796-0.0072085j -0.00652077+0.00563807j 0.00227071+0.005079j 0.0095684-0.00272004j 0.00408667+0.00787761j -0.00375708+3.68941e-06j 0.00260303+0.000344833j 0.0106711-0.00135771j 0.0108103+0.00455349j -0.00266001+0.00241342j -0.00384909-0.00861739j -0.00955894-0.000502004j -0.0090732-0.00222594j -0.00173721+0.00577164j -0.00118492-0.000566439j 0.0105266-0.00700585j 0.00346323+0.00536463j 0.00396491+0.00229195j 0.0107417-0.00641192j 0.00419421-0.00144064j -0.0107081+0.00444091j 0.0158296+0.0077712j -0.0109707+0.00718592j -0.00319182-0.00730626j 0.0140301+0.003204j -0.0101079-0.0115121j -0.00481222+0.0129073j 0.0142898-0.0108202j 0.0199406+0.0154482j -0.00510607+0.0194096j 0.0079311-0.0174864j 0.0123923+0.00280462j 0.0145762+0.0091141j 0.00114747+0.0102045j -0.00871643-0.00905882j -0.0152781+0.0223447j 0.00695322-0.0009871j -0.00380823+0.0377996j -0.0302015+0.00878271j -0.0124467-0.0101486j -0.0234085-0.00611173j 0.00559301+0.000832542j 0.00519577-0.0188093j -0.00260329+0.00336036j -0.00857109+0.00313913j -0.000274651+0.000678185j 0.00291735-5.16788e-05j -0.000668335+0.00106472j -0.000238214-0.0034124j 0.00335321-0.00242569j -0.0111492+0.00306611j 0.00571209+0.00651967j -0.00606793+0.00375729j 0.00658804+0.000220792j -0.000315851+0.00173619j 0.00279611-0.0282193j 0.00886308+0.0145715j 0.00969125-0.006631j -0.0107947-0.0206788j 0.0524403-0.0453034j -0.0434281-0.0500661j 
-0.00095121-0.00703627j 0.0061625-0.00525555j -0.0026168+0.000218438j 0.00465963-0.000423038j 0.00772905+0.00183139j -0.00745519+0.00730018j 0.00446768-0.0125746j -0.00335555+0.00875066j 0.00576435+0.00414659j -0.00514081+0.00191468j 0.00934011-0.0170763j -0.00931176+0.002977j -0.00885735-0.002735j -0.000779348+0.000456585j -0.000135012-0.00487951j -0.00364143-0.00435685j -0.0011323-0.01364j 0.00676002-0.00630979j -0.00285878+0.0120648j 0.00566405+0.0131567j 0.00754662-0.0057469j 0.00729377-0.014991j 0.0086056-0.0098971j -0.00453561-0.0049728j -0.00209277+0.00159052j -0.00602322-0.00479486j -0.00933233+0.00479348j -0.0158897+0.00579493j 0.00948378+0.0100327j 0.00525542-0.0245634j 0.0117353-0.00515506j -0.00234139+0.0231583j -0.013795-0.00180655j 0.00723467+0.0251145j 0.00288822+0.0164448j -0.019894-0.0348959j 0.00325198+0.0107803j 0.0075749+0.00834034j -0.0140017+0.0289004j -0.0111291+0.0229847j -0.00879447+0.00540131j -0.00183989+0.00536125j 0.011577+0.00194009j -0.0078005-0.00390835j -0.00627157-0.00111266j -0.013401-0.029411j 0.00805798-0.00503746j 0.0105011+0.000399269j 0.0186611+0.0126531j -0.000829087+0.00273169j 0.00168932+0.00910077j 0.00204407-0.00176862j 0.0153037+0.0127664j -0.00461997-0.00812176j -0.00450053-0.0135895j 0.00179193-0.000786343j 0.00416529+0.00849898j 0.00325328+0.00864547j 0.00559714+0.00811272j 0.0135452-0.0144901j 0.0076032+0.00853859j 0.00613627+0.00637029j -0.0011536+0.00601953j -0.00189237-0.00529854j 0.0158588+0.0141425j 0.031798+0.0376084j 0.0276445-0.063545j -0.00918374-0.00329241j 0.00860457+0.00408703j 
-0.0033233+0.00460213j 0.00066593-0.00196475j 0.00594511+0.00224474j -0.000761807+0.00326795j 0.00396809-0.0020091j 0.00664598+0.00669603j -0.00554264-0.00493008j 6.31998e-05+0.00252259j -0.00155964-0.00028857j 0.0014902+0.00166067j -0.000370315-0.00470438j -0.000243166+0.00397457j -0.011124+0.00365404j -0.00734915+8.86694e-05j 0.00539371-0.00612724j -0.00306939+9.58703e-05j -0.00133511-0.00205425j 0.000518974-0.000240359j 0.00131873+0.00876628j 0.00884606+0.00549023j 0.00238323-0.00661213j -0.00113268-0.0112036j 0.00212081-0.00982243j 0.00705637+0.00176715j -0.00464846+0.00584922j -0.00562659-0.000228296j -0.00416638+0.00268527j -0.00145257+0.00474443j 0.00486038+0.00721326j -0.00037724+0.000151003j -0.0016819-0.00799389j 0.0123141+0.00480101j -0.0044172+0.0124713j 0.00555522-0.00457956j -0.00122638+0.000698278j 0.00324253+0.0101924j 0.00615988+0.00580414j 0.00193365-0.00142278j 0.0113592+0.0149006j 0.00836483+0.0168956j 0.00780139+0.017906j -0.00245695+0.0061791j -0.0025749-0.0143454j -0.0252497-0.00284223j 0.00584095+0.0100936j -0.0338012+0.00815563j -0.0279696-0.0257838j -0.00183045-0.0180211j -0.0114432-0.0314266j -0.00166671+0.00471809j 0.0224721+0.00655478j -0.0101969-0.00521922j -0.00050661-0.0173747j -0.00137875-0.00463923j 0.00207187+0.0032109j -0.0129947-0.0135169j 0.0140732+0.00660395j 0.00847564+0.018157j -0.000567569-0.00340417j -0.00339466+0.00199194j -0.000622433+0.0198895j 0.000999437-0.00650981j -0.0132654-0.0189437j 0.0196682+0.0185117j -0.015717-0.0106308j 0.0222323-0.0446167j 0.0104867-0.005285j 0.00873665+0.00393928j 0.00767578+0.00531593j 
0.00304783+0.000727363j -0.00465057-0.000395293j 0.000668457+0.000563269j -0.0123361+0.00376693j -0.0107415+0.00613858j 0.00134332-0.00182446j -0.00800403+0.00883944j -0.00456623-0.0045177j -0.00650422-0.00234613j 0.000258851-0.0031121j -0.00342721+0.00827848j -0.00106547+0.000424642j 0.00583783-0.000929445j 0.000211579+0.00047724j 0.00792213-0.000533362j 0.00299794-0.00215305j 0.00277878+0.00360899j 0.00579222+0.00427683j 0.00430564-0.00163383j -0.00431379-0.0117811j 0.00237705+9.47254e-05j -0.00323258+0.00872083j 0.00172108+0.00596856j 0.00223429+0.000144854j 0.00366296-0.00458314j 0.00200314+0.00321516j 0.00981372+0.00385934j 0.00179981-0.00233602j 0.00227153-0.00981119j -0.00322658+0.00642363j 0.00473145+0.00372552j 0.00591012-0.0033514j 0.00922823-0.00388128j -0.00635814-0.0019289j -0.0159872-0.00860261j 0.0281804+0.00336137j -0.0179104+0.00647301j -0.0253523-0.00584651j 0.0116115-0.00894107j -0.00735616-0.00952926j -0.0106141-9.79925e-06j -0.0181402-0.00808296j 0.00564183+0.00751513j -0.00439908-0.0278704j 0.00236967+0.00167259j -0.0295531-0.0315024j 0.0151958-0.0237034j 0.0158263+0.0084955j 0.0197451-0.00908221j -0.0100724-0.00966329j 0.00765821+0.0256434j -0.00284342-0.0077845j 0.0140392-0.0051736j -0.0012915-0.00118153j -0.000808763-0.000695743j 0.0019164-0.00208363j 0.00195181+0.00678976j -0.00788011-0.0101575j 0.00478229+0.0194549j -0.0132528-0.0151741j 0.000675956+0.00421431j -0.00283444-0.00387256j -0.0145163-0.0159378j 0.00589312-0.00122089j 0.00512711+0.0194661j -0.050451-0.0147167j 0.0122859+0.00851915j 0.00618412-0.00486348j 0.00982146-0.0042087j 
0.00823585+0.00128844j 0.00524045+0.00673223j -0.00218751-0.00392765j 0.00847085+0.0058447j 0.00851483+0.00444508j -0.00048933-0.00866109j 0.0205078+0.0104086j -0.0138601+0.00314116j -0.00755959+0.000878536j -0.00441181+0.00371857j 0.0198705+0.00757009j -0.00149001+0.000240595j 0.00847712-0.00145975j -0.0047378+0.000411327j 0.00433842-0.000586014j 0.0131032-0.00636809j 0.0192396-0.00181245j 0.00317118+0.00498j -0.00728566-0.00500355j -0.0231163+0.00207209j 0.00488373+0.00106946j 0.00516973+0.0053532j 0.0118519+0.00524075j 0.00862229-0.0104512j 0.00513494-0.00210662j 0.0032856-0.00463576j 0.003263-0.0125824j -0.00180767-0.00722313j -0.00352384+0.00329219j 0.0322114+0.0125674j -0.00913259+0.0143704j -0.0229742-0.000587438j 0.00194939-0.0116345j -0.0301025-0.00320008j -0.0177674+0.0175136j 0.0476413-0.0267283j 0.006145+0.0343401j -0.0146582+0.0225435j -0.0214945-0.0256459j -0.0160632-0.00190886j 0.00676686+0.00874179j -0.0109105+0.00879805j -9.54585e-05-0.00646438j -0.0140982+0.00567786j 0.00601921-0.00138378j 0.00588847+0.0151793j -0.0243864-0.0100321j -0.0025122-0.0126253j -0.0243226-0.017582j 0.00318301-0.00604458j 0.00743243-0.011894j 0.00155398+0.00168349j -0.0130565-0.00992618j -0.00432911-0.000787782j 0.0152739-0.00853168j 0.00212876+0.0106406j -0.0022205-0.00632444j 0.00355969+0.0112923j 0.00177211+0.0140891j 0.00385701+0.00833699j 0.0111875+0.00524869j -0.0119707+0.0187898j 0.0194906+0.0102604j -0.000242563+0.0244106j -0.00253915+0.0111721j -0.00815874+0.0300312j 0.0497774+0.031853j 0.0125794-0.00307856j -0.0176902-0.00160229j 
-0.00930153+0.00150174j 0.00224364+0.0150964j 0.00463219+0.00492738j -0.00576131-0.00607088j -0.00312139-0.00327926j 0.0176093-0.0133189j -0.0167388-0.00479908j -0.00625539-0.0055384j -0.00536009+0.00239381j 0.0168677+0.00380625j -0.0156032-0.00161663j -0.00206877+0.000261934j -0.00201771-0.00663627j 0.00944447+0.0022941j 0.00444854+0.00150137j -0.0116449-0.00170917j -0.011228-0.00754144j -0.00681871-0.00524046j -0.012316+0.000548087j 0.0137077+0.0178329j -0.00698811-0.000508752j 0.00206916+0.000619264j 0.00331403+0.00430295j 0.000905617-0.00289698j -0.00566241-0.00990259j 0.00647872-0.00379524j -0.00525786-0.0126188j 0.0107937+0.00607156j 0.00468976+0.00374777j -0.0158467-0.00775281j 0.00242214+0.00829172j 0.0174094+0.012226j 0.0263653+0.00407294j -0.009096-0.0109975j 0.0030662+0.0150747j 0.00825072-0.00293274j -0.00286024+0.00535509j -0.00969822+0.00635302j 0.0356911-0.00744667j 0.0244473-0.00157738j 0.00152525-0.0157181j 0.0012898+0.00337832j -0.0113584-0.0103736j 0.00575073+0.012061j 0.00629504+0.00189831j -0.00588866+0.00918318j 0.0052135+0.0251j -0.00474055-0.00772847j 0.00428272+0.0104413j 0.00573704-0.00349952j 0.00611676-0.000859692j -0.00740451-0.0126084j -0.00670401+0.0170776j 0.00507103-0.00611662j -0.00823619+0.000425945j 0.00151841-0.0123424j -0.00557903+0.00687492j 0.0135173-0.00680346j -0.000839179+0.00768609j -0.000140667+0.00280449j 0.00390981+0.00329727j -0.010618-0.00275058j 0.000849653+0.0218905j -0.00456397+0.0208358j 0.00793526+0.0262346j -0.00909802+0.0085679j -0.0128896-0.0175632j -0.00501836-0.00409568j 0.0149683-0.00057367j 
-0.000230908-0.00345673j -0.00546431-0.00109891j 0.00642322+0.00675037j 0.0100724-0.005125j 0.00418826-0.0033496j -0.00116543+0.00863822j -0.00308255-0.002433j -0.00849579+0.0130149j 0.00450984+0.00367853j 0.00317038+0.00218835j -0.0122875+0.00219952j 0.00707027-0.00202804j -0.00577703-0.00348383j 0.00276869-0.00685889j -0.00298015+0.00504566j 0.00543828+0.000119126j -0.0119452+0.00722843j 0.0182457-0.00891446j 0.00801809-0.010945j 0.00504107-0.0122171j 0.00309781+0.00350526j 0.00151989+0.010034j 0.0114533+0.00122391j 0.0150918+0.00147477j 0.0161821+0.006902j 0.00394718+0.00548155j 0.00109975+0.0103352j 0.00482997+0.0108389j 0.00460356-0.01326j 0.00892561-0.00427515j -0.0325395-0.00974209j -0.0152936-0.0116069j -0.00953854+0.0191834j -0.0093164-0.00386369j 0.00545563+0.0126863j 0.0288756-0.0146643j -0.0040356+0.00993792j -0.0144261-0.0208267j 0.00761399+0.00805631j -0.00472601-0.00341019j 0.00392473-0.009922j -0.00470891-0.00661781j 0.00242335+0.00883564j 0.00907639+0.00409022j 0.00121403+0.00549328j -0.000445642-0.011006j -0.00147559-0.00577071j -0.00755837+0.00098202j 0.00332374-0.0051949j 0.00297402+0.00534443j 0.0047084+0.0143559j -0.00326462+0.0085729j 0.000334253-0.00521087j -0.00539085+0.00927045j 0.000306696+0.00621248j -0.00885967-0.0141294j 0.000234052+0.0128243j -0.00197149+0.00941073j -0.00177348+0.00192345j -0.00255181+0.000793394j 0.000726067+0.00314837j -0.00360471-0.00542551j 0.0109663+0.0211098j 0.00584317-0.0308815j -0.0290534+0.0073614j 0.00760129-0.00811597j 0.012177-0.00681707j 0.0130656+0.00318993j 0.000932763+0.00195111j 
1.08719e-05-0.00610139j -0.00595698+0.00174407j 0.00840171+0.000983567j -0.000583227-0.0119748j 0.00530884-0.00643087j -0.0049292+0.00161456j 0.00330371-0.00086757j -0.0055117-0.00399112j 0.0019898+0.0012627j 0.00370841+0.00222719j -0.00774425+0.00650227j -0.00761674+0.00247827j -0.0125978+0.00415054j -0.0111866+0.00493027j -0.0135938+0.00322534j -0.0085328-0.00156127j 0.000697373+0.00055222j -0.0216276+0.0055532j 0.00773654-0.0022942j -0.0121018-0.0080123j -0.00762797+0.00205931j 0.0176353-0.00185413j -0.0031999+0.000758055j -0.00728661+0.00949096j -0.018036-8.35459e-05j 0.00250237-0.000421641j 0.0141119+0.00252687j 0.0173385-0.00863496j 0.00309019-0.00213808j 0.00769875+0.00682612j -0.00450447+0.00299262j -0.00299416-0.014001j -0.000341919+0.00629173j 0.0115802+0.00728553j -0.00517859-0.00687703j 0.0232624+0.0114931j -0.0177298-0.0238617j 0.00181369-0.00566635j 0.0159664+0.00952171j 0.00480604-0.00183577j 0.00396297+0.000792128j -0.00371382-0.0115793j -0.002603-0.00123151j 0.00208223-0.00749966j -0.00178614+0.000656928j 0.0023912-0.00313384j -0.00119747-0.0146637j -0.0023535+0.00143899j 0.00556285+0.0153209j 0.00682373+0.0151872j 0.000101083-0.00762241j -0.000996274-0.0101391j 0.00143843+0.00932249j -0.00159549+0.0104055j -0.000290815+0.00838079j -0.00138488-0.0138086j 0.00683117-0.00704312j 0.00262125+0.011107j 0.0023881+0.0112051j 0.000823825-0.00788544j -0.00152687-0.00806224j -0.00750268+0.0173509j 0.0154018+0.00394168j 0.00536603-0.0154625j -0.00248743+0.00755723j -0.0119885+0.00147115j 0.0172851-0.00910793j 0.00900643-0.00244082j 0.00691433-0.00234953j 
-0.00354192+0.0101031j 0.00613119+0.0105346j -0.00464839-0.00708507j -0.00593674+0.00834279j -0.00490348-0.000541985j -0.000655958+0.00630239j -0.00724482+0.00325436j -0.00547214+0.00884088j -0.0162646+0.000295107j 0.00710073-0.00279411j -0.0238331+0.00635462j -0.00927037+0.000851723j -0.00702193+0.000754215j -0.0159513+0.00789056j 0.0153413-0.00309214j 0.0101831-0.0106077j 0.00211631-2.69394e-05j -0.00376587+0.00290353j 0.00948747-0.00536349j 0.00965283-0.00160903j -0.00312096+0.00187586j -3.47676e-05+0.00593608j -0.00817624-0.00144142j -0.0113308-0.00387054j 0.00742756+0.00300005j -0.0111289-0.00191784j 0.00418326+0.00332421j 0.00583045-0.00624586j 0.0171788+0.00745631j 0.0167155-0.00134707j 0.00437336+0.0179507j -0.0176742-0.00710711j -0.000441103+0.00208827j 0.00775797+0.00990399j 0.0186001+0.0175665j -0.0125673-0.0208615j 0.00773228+0.00494645j 0.00426601+0.00464303j 0.00552697+0.00121235j -0.00191721-0.00939494j 0.00520658+0.0143134j 0.00126579-0.00332973j -0.008449-0.0116613j -0.00258275+0.0171747j 0.00245047-0.0038895j -0.00771461+0.0108159j -0.000761539+0.0113224j -0.00190242+0.0022436j 0.000354289+0.00374664j 0.000424876+0.00179691j 0.00216929-0.0174142j 0.00377469+0.00438813j -0.00191774-0.0101673j -0.000499216+0.000413738j -0.00329717-0.00522068j -0.000760517-0.00661143j 0.00431539-0.0022231j -0.00123072+0.00488564j 0.00444165-0.00481608j 0.000656563-0.0188054j -0.00305976+0.0169405j 0.000891421+0.00373329j 0.00562524+0.00853592j -0.00160691-0.00157564j -0.00131192-0.000924079j -0.00148316+0.00908671j -0.0221665+0.00230512j -0.012851+0.00295466j -0.00018783-0.000308769j 
0.000710498+0.0037237j 0.00272881+0.0010262j 0.000519477-0.00774785j -0.0052765-0.00151227j 0.00600633+1.81647e-05j -0.00224205+0.00157736j 0.00900786-0.00376124j 0.00814141-0.0130503j -0.00444575-0.00256036j -0.00191346-0.00362522j -0.00734407+0.00634357j -0.00803132+0.00113009j 0.0207968-0.0060572j -0.0096889+0.00203411j -0.0115705-0.00419878j -0.010209-0.00263402j 0.0141359-0.00511111j 0.00835051-0.00124861j 0.00390158+0.0038951j 0.0327445+0.00192633j 0.0168478+0.00206206j 0.014165-0.00341249j 0.00110126-0.0140175j 0.0287515+0.00850138j -0.0149833-0.00539505j 0.00423545+0.00507775j 0.00203375-0.00616757j -0.00298774+0.000287197j -0.0086411-0.00419067j 0.00478358+0.00494056j -0.000433946-0.00545956j -0.00595141-0.0043012j -0.00526361+0.00405888j 0.00980592+0.00599688j -0.0033465+0.00718258j -0.00232654-0.00128434j -0.00286709+0.00207764j -0.000888496-0.00737424j 0.00190114-0.00955674j 0.00550878+0.0131976j -0.00107369+0.000566691j 0.00331145+0.00282331j 0.000935725+7.51e-05j -0.00106034+0.00594235j -0.00245413+0.0224731j -0.000957343+0.00760843j -0.00299141-0.00557035j -0.000497187+0.0143359j 0.000221521+0.00108964j -0.005861-0.0197534j -0.00254216-0.00736326j 0.000618362+0.0152607j -0.000901043+0.0190815j -0.00313557+0.00192333j 0.00137148-0.00172132j 0.00511613-0.00292219j -0.000567187+0.0150515j 0.00143896+0.0114926j 0.00528879-0.0144606j 0.000179597+0.00155033j 0.000691591-0.00417833j 0.00205686+0.00197317j -0.00446423+0.000447728j 0.00132573+0.00783782j 0.00332708-0.00431642j -0.00481294+0.0074675j 0.000755167+0.00142256j -0.00226322-0.000403718j 5.36063e-05-0.000901042j 
