0.0117031-0.00862552j -0.00815755-0.00732293j 0.0395605-0.00908187j -0.0213325+0.00969567j -0.0129104+0.0160942j -0.015081+0.00844711j 0.0504464+0.0144335j -0.0139405+0.0241686j 0.000957989+0.00277293j -0.00420616-3.63264e-05j -0.00553127+0.00318688j -0.00387123+0.003939j -0.00106892+0.0107874j -0.00426298-0.00704758j -0.0103858+0.00515797j 0.00942694-0.00296916j -0.00209826-0.00446219j 0.00663025+0.00185514j -0.00592-0.00856343j 0.00636827-0.0176832j 0.000996403+0.00231254j -0.0179587-0.00322242j 0.00786818+0.00278733j 0.00237918-0.00556646j -0.00607876+0.0185631j 0.000592366-0.00220248j 0.00484037+0.0102695j -0.0080293-0.0164019j -0.0208671+0.00484379j 0.00412934-0.0157694j 0.00262194-0.00531956j -0.00468413-0.010038j -0.0152341+0.0166092j -0.0120481-0.0121727j 
-0.000789976+0.00209552j 0.00739295+0.00749114j -0.0267263+0.00895224j -0.0186925-0.00361105j -0.0295452-0.00457218j -0.00717058-0.013555j 0.0235988-0.0138961j 0.0470316-0.0376352j 0.0249668-0.00719914j -0.00408088+0.000633896j 0.024505-0.0061993j -0.0132146-0.00405452j 0.00976017-0.00100666j 0.0186613+0.000736496j -0.00435692+0.00582369j -0.00398966-0.00242659j 0.00647814-0.0126613j -0.00663265-0.0169589j -0.00718633-0.00306596j 0.00128751+0.0205793j -0.000370937+0.000624755j 0.00541619-0.0294027j -0.019975+0.00269626j -0.00455695+0.0034572j 0.0064977-0.00130841j 0.00762451+0.00189499j -0.00576565+0.0071462j 0.00275411+0.0018114j -0.000781301-0.011138j 0.00114281-0.0136034j -0.00717271+0.00958138j -0.0213244+0.00766144j 0.0128246-0.0274973j 0.00748646+0.00363843j 
0.00248581+0.00515494j -0.00558329+0.0212308j -0.0117538-0.033145j 0.014251-0.00873787j 0.0101638-0.0149586j 0.0175495-0.00580056j 0.0267012-0.00339495j 0.0457075+0.0452756j 0.00845527+0.0190915j -0.00610727-0.010647j -0.00891495-0.0290636j 0.0103934-0.0023002j -0.00424758+0.0265365j 0.0159741-0.00502169j 0.0174215-0.0242873j -0.00734525+0.00677517j -0.000410028+0.017235j -0.00068602+0.0134446j 0.00877462+0.00439982j 0.0032518-0.00483388j 0.00316696-0.0119084j 0.0012532+0.000453552j -0.00621467+0.00396699j -0.00658269+0.00566751j 0.0118482+0.00931612j 0.00360671-0.00804921j -0.0014054+0.0167937j 0.0118748+0.00175542j 0.00120192+0.00510246j -0.0125439+0.0151875j -0.0168165-0.0156228j 0.00812629+0.00715035j -0.00902375+0.00013204j 0.015547+0.025692j 
-0.0104388+0.00541101j -0.00657798+0.0118389j 0.00721718-0.0306936j -0.0193269-0.0160539j 0.00145646-0.0152701j -0.0237931-0.00677431j -0.0102901-0.0205097j -0.0205156+0.0343358j 0.00274188+0.0132441j -0.016047-0.0139432j 0.0191992+0.0210231j 0.00129688-0.0296139j -0.00757693+0.0139454j 0.00311164+0.0112634j 0.0162484+0.00128764j -0.0038035-0.0199571j -0.0100779+0.0023893j -0.00373154-0.00233346j 0.0101698+0.00494469j 0.00376739+0.0136945j 0.00391121-0.00433581j -0.00725196+0.012116j -3.30421e-05-0.0235919j 0.00565538-0.00468156j -0.00849713+0.00986508j -0.00448854+0.00108578j -0.011352+0.00601992j 0.00170065-0.000118599j -0.000583501-0.00897204j -0.00377349+0.0103549j -0.00453689-0.0143728j 0.00493556+0.00485281j -0.0131605+0.0144094j -0.0248795+0.0215918j 
-0.0109662-0.0099548j 0.00482895+0.010805j -0.0198483-0.0355362j -0.00907101+0.0167418j 0.00190298-0.0120648j -0.019839+0.0368976j -0.0059752+0.0210327j 0.0389532+0.0446476j 0.0208199+0.00979586j -0.00122835+0.000994216j -0.00982742+0.00153007j 0.0161941+0.000456804j 0.0185706+0.00155204j 0.0049771+0.0134516j -0.0173077-0.00230597j 0.0151731-0.000592307j 0.0175687+0.0130356j 0.0101672-0.00688038j -0.00222816+0.00916465j -0.0261091+0.0205652j -0.0020748-0.00038468j -0.00251942-0.00232139j 0.00571932-0.0029215j 0.011016+0.00396388j 0.0128665-0.00332397j -0.0032918-0.0165386j -0.00390033+0.00378604j 0.0127158-0.00628796j 0.0164565+0.00253246j 0.00467459+0.00639996j -0.001503-0.0140564j -0.0113401+0.0106103j 0.00269101-0.00443476j 0.00690464+0.00792356j 
-0.000850785+0.00193166j -0.0120565-0.0094237j 0.027669+0.0108549j 0.00602213-0.0153793j 0.0267377-0.017687j 0.00473063+0.0401359j 0.0226846-0.0101115j -0.0261052-0.0269117j 0.00385634+0.00518599j 0.00258311-0.00666562j -0.00184788-0.0151178j 0.00723113-0.0333381j -0.00642029-0.0184585j 0.00357481-0.0105709j 0.00914882-0.0383221j 0.00284106-0.00664968j -0.00755712-0.00541135j 0.00409244-0.00960044j -0.00991137-0.00392207j -0.0166192+0.021806j 0.0141305-0.00238271j -0.00221561-0.00536354j 0.000244856+0.00866494j -0.0113072+0.00392923j -0.000494005-0.0119165j -0.000523542-0.0129209j -0.00823317-0.00728976j 0.00573472-0.0110765j -0.00224429+0.00441268j 0.000497165+0.01167j -0.000375672+0.0249468j -0.00275512+0.015119j 0.0103114+0.000944263j -0.0148968+0.00410243j 
0.000526669-0.0106688j -0.0117822-0.0136716j 0.00848825-0.00605392j 0.0228117+0.00363998j 0.0342332+0.0312447j -0.0517533-0.0226241j 0.0141375+0.0260048j -0.00620134+0.00683596j -0.0120831+0.00114093j 0.013842+0.00233509j 0.022283-0.000279986j 0.010119+0.0166871j -0.0117379-0.0201093j 0.00979358+0.00459351j 0.00819057+0.00349164j 0.0117349-0.00453246j 0.00458913+0.0111971j -0.00411706+0.00804564j 0.0103276-0.000589294j -0.0124217-0.00225845j -0.00412587-0.0193913j -0.00857545+0.00614332j -0.0069981+0.00542575j 0.0122619+0.00225946j -0.00392583-0.0153859j -0.000137258+0.00195088j 0.00135183+0.02019j -0.00942075-0.002977j 0.00588366+0.00932484j -0.00449166-0.0178155j 0.00543169-0.000818251j 0.0151053+0.00802956j 0.0132729+0.00722301j 0.00022987-0.000678178j 
0.00414525-0.00835128j 0.00383239+0.011948j 0.0139302-0.0389857j -0.0117881+0.0129017j -0.0260036+0.014026j 0.0378593-0.0376248j -0.0199767+0.0145778j -0.0440943+0.0264362j 0.0183294+0.0049009j 0.00297194+0.00039956j -0.00189186-0.0208269j -0.00379723+0.00186454j 0.00311534+0.00138306j 0.00394841+0.00935054j 0.00226437-0.00107178j -0.00611201-0.00828473j 0.00887086-0.00192156j 0.00864929-0.0109651j -0.00795416-0.00542567j 0.0040059+0.0135189j -0.00520778-0.00108927j -0.00263483+0.00354348j 0.00114078+0.00700442j 0.000601426-0.0140777j -0.0024898-0.013553j -0.00184015-0.00250137j 0.0150954+0.00844318j -2.84203e-05+0.00573824j -0.00687376-0.00135311j -0.00405863+0.0064949j -0.00569656+0.00170513j -0.00437445-0.00117633j 0.00820964-0.00338233j -0.00593244+0.00163033j 
0.00789235+0.00573913j -0.00145144+0.0296096j 0.00891506-0.0103336j 0.0243275-0.0162489j -0.00529169-0.0216864j -0.0114556+0.0231808j 0.00695714-0.0138121j -0.0189221+0.0197785j -0.00134538+0.0225482j 0.00811558+0.0243126j -0.00467546-0.00766075j -0.00509194+0.00278282j 0.00125399+0.0279358j -0.00219644+0.0273909j -0.000418793+0.0181421j 0.000900261+0.0170878j -0.00297427-0.00788515j 0.000108188-0.0141024j 0.0055995+0.00215125j 0.00175374-0.00773139j 0.0105048-0.00997906j -0.00381225+0.00151517j 4.95155e-05-0.00466539j -0.00836157+0.00292583j 0.00195485-0.00325453j -0.00230383+0.0127634j -0.00265174+0.0042753j -0.00259447-0.00646407j -0.0033208-0.000172399j 0.00299794+0.00620739j -0.00387359+0.00612048j 0.00639943-0.00500363j 0.00875129-0.00588277j -0.00425939+0.00392238j 
0.00644805-0.00107649j 0.00331889+0.00432088j -0.015457+0.0051547j -0.000796545-0.0203984j -0.00687696+0.0429422j -0.00127526+0.0168337j -0.00322132+0.0154163j 0.00494317-0.0105597j -0.00114913+0.0215063j -0.0131863-0.0336128j 0.00763927+0.00839101j 0.00578719+0.028253j 0.00867766-0.0251849j 0.00343566-0.0198938j -0.00511843+0.00838727j -0.00206518+0.00335607j 0.012877-0.000800563j -0.0114034+0.0102867j -0.00381692+0.0110495j 0.00665274-0.00584874j 0.00556115+0.0100012j 0.00127863-0.0101527j -0.00113914+0.000131583j -0.00372805-0.00661341j 0.00680653-0.014653j -0.00405016+0.00277469j 0.00152404-0.00721272j -0.00334423-0.00151816j -0.0144255+0.00711174j 0.00851946-0.00621012j -0.0106961-0.000221479j -0.00227658+0.0135806j 0.011906+0.00910434j 0.022774-0.0130337j 
-0.00733919+0.0069862j -0.00184666+0.000479668j 0.0119863-0.00653367j 0.00253037+0.0143092j 0.0137991-0.0191732j 0.0113467-0.0322439j 0.0111782-0.0114081j -0.00398588+0.0108767j 0.0159159-0.0360696j 0.00734986+0.00984426j 0.0046252+0.0285072j 0.00914015-0.0159037j -0.0042881+0.0107717j 0.00975571-0.0331268j 0.0054495-0.00103176j -0.00558827+0.013j 0.012372+0.000298888j 0.00610831+0.0238272j -0.00289235-0.00546937j -0.0215772+0.0186447j -0.000413377+0.00263494j -0.00312637-0.0131039j -0.00743723-0.00597909j 0.00882644+0.00454522j 0.0125085-0.00805026j 0.0118136-0.0213081j -0.0033146+0.0169328j 0.0115557-0.00104752j 0.0104265-0.00552421j -0.00819807+0.00810974j -0.00668905+0.0170858j -0.0133342+0.00110611j 0.0230924-0.00854718j -0.00559841+0.000158086j 
