0.0171553-0.00133435j -0.00739997-0.0205013j 0.0151807+0.0317838j 0.037061+0.00492054j 0.00109551-0.0222668j -0.039219-0.00280118j 0.00996172+0.0378967j -0.0141927-0.0224991j 0.0590228-0.0108784j 0.0390822+0.0084341j -0.0466496-0.00835943j -0.0223134+0.00114433j 0.0642085-0.00539724j 0.00226363-0.0249454j -0.0378287+0.00361805j -0.0563547+0.0472748j -0.0192622+0.0418719j 0.0361316+0.0254924j 0.0279423+0.0392872j 0.00026484+0.137266j 0.0823158+0.0131307j 0.0953719-0.0102457j 0.040501+0.0369375j -0.00643859+0.0554978j 0.0574478-0.0314679j 0.0158466+0.000496307j 0.027144-0.013052j 0.00970136+0.016333j -0.0234807-0.0184805j -0.00283413-0.00657142j -0.00426782+0.0187096j -0.00807773+0.00156641j 0.000604602-0.0117172j 0.0119287+0.0124708j 0.0263039+0.0122486j 0.000975159+0.011935j 0.0117575-0.00164472j 0.00545086-0.00819251j -0.026156-0.00512433j -0.0128194-0.0044911j -0.00659427-0.00795411j -0.0143617+0.0108271j 0.0262135-0.0074676j -0.0195966-0.00653724j -0.00431487+0.0222795j 0.00852226-0.0212793j -0.00662681+0.00578231j 0.00141589+0.0279867j -0.00554586-0.00251834j 0.00103628-0.0242677j -0.0152435+0.00170498j 0.0330513+0.0182218j 0.00357108+0.0283918j 0.0184212+0.0122895j -9.0348e-05-0.0219733j -0.0058924-0.0202257j -0.0156013+0.00811461j -0.00983555+0.00628121j -0.0110935-0.0155098j 0.00460759-0.018629j 0.025815-0.0258349j -0.00404289+0.0053834j 0.0241215-0.00184532j 0.0143598-0.00758473j -0.00757298-0.0170746j 0.0328145+0.0106631j -0.0137609-0.0115662j 0.0325094+0.0214879j -0.0150961+0.00143128j 0.00868045-0.00395696j 0.00376781-0.0220074j 0.00861857-0.00241628j -0.0108255-0.00013804j 0.00175355+0.00149808j -0.00814665-0.00121722j 0.0181896-0.00460473j -0.010235-0.00387783j 0.00602512-0.00755565j 0.0019676-0.00157415j -0.00262877+0.0167715j 0.00958714-0.00740342j 0.00959913-0.00183409j 0.00212878+0.01011j -0.015423+0.00364379j -0.00513878+0.00480398j 0.00121164+0.00503445j -0.0106531-0.0104433j -0.0018414+0.00563516j -0.0286746-0.00904958j 0.0378914+0.00833473j 0.00941898-0.0261299j 0.00467525-0.00689223j 0.0166004+0.0164747j -0.0474789+0.062297j -0.067682-0.050622j 
0.00205146+0.0197306j 0.0217898+0.0016023j -0.0308032+0.00361949j 0.000705467+0.0256662j 0.0211243+0.00926881j 0.00954722-0.0308059j -0.0483774+0.0117784j 0.0210016-0.00292767j 0.0101679+0.0530575j -0.00773228+0.0302136j 0.0148517-0.0377073j 0.00426346-0.00257565j -0.00569235+0.0606071j 0.0245893+0.0162997j -0.00708319-0.0254406j -0.0490462-0.0667091j -0.0419457-0.0331368j -0.034366+0.0115625j -0.0497597+0.0200241j -0.142828+0.0078998j -0.0119692+0.0930972j -0.000718358+0.0825112j -0.0463885+0.0385545j -0.0615301-0.018019j 0.0354989+0.0543407j -0.000186285+0.0054448j 0.0148522+0.0219858j -0.0131879+0.0071596j 0.0202645-0.0194032j 0.00583203-0.0082634j -0.017949-0.0108766j 0.00104387-0.00587179j 0.0144951-0.00939758j -0.0171779+0.00701172j -0.00951412+0.0221912j -0.0147084-0.00546393j -0.000794391+0.0223454j 0.0027292+0.00532239j 0.00127463-0.0169505j 0.00460699-0.00636512j 0.00238951+0.00298566j -0.00620649-0.0181787j 0.0132595+0.0243262j 0.0104591-0.0194971j -0.0168662-0.0118148j 0.0211727+0.00280847j -0.00886688-0.00914945j -0.0233688-0.00126629j -0.00167476+0.000260305j 0.0236632+0.00549797j -0.000506055-0.0222592j -0.0189223+0.0372972j -0.0271275-0.00993975j -0.0102148+0.016744j 0.0262738+0.00440161j 0.0257224-0.00471604j -0.0108164-0.0181821j -0.00766827-0.00836875j 0.010871-0.00935418j 0.0233163+0.00104198j 0.0294481+0.0305676j -0.00831027-0.00584471j -6.45639e-05+0.0205174j 0.00974224+0.0144457j 0.0108291-0.00591689j -0.0106641+0.0272388j 0.00645334-0.0139762j -0.0223518+0.0217718j -0.00207075-0.00830916j 0.00609713+0.00967624j 0.0233786+0.0104771j 3.23467e-05+0.00706358j 0.000767136-0.0042047j -0.00467368-0.000917611j -0.000797388-0.00837259j 9.71773e-05+0.0162029j -0.0086745-0.013761j -0.00237986+0.00307441j -0.000478824-0.0026265j -0.00915527-0.00278725j 0.0151512-0.00210674j -0.0139662+0.0115044j 0.00221559-0.00127538j 0.00350344+0.00140143j -0.00719796-0.00181194j 0.00333223-0.00564303j 0.00582756+0.00774602j 0.0277268+0.00830169j -0.0145064-0.000118908j -0.00793297+0.0310721j 0.0368746+0.0106074j 0.0122593-0.000775521j 0.0164981-0.00850935j -0.0650094-0.0501903j 0.0451873-0.0658499j 
0.0133635+0.0122647j 0.0165979-0.0180337j -0.0331635+0.0215633j -0.0160244+0.0111427j 0.0372166+0.00442018j 0.013041-0.0401851j -0.0367842+0.0379522j 0.0512364-0.0191362j -0.004799+0.0521406j -0.0321926+0.0189162j 0.0370348-0.0617717j 0.0622296-0.00100617j -0.0255902+0.0674177j 0.0388117-0.00605832j 0.030215-0.00940386j -0.0494667-0.0246881j -0.0330966+0.00138087j -0.0392187+0.0581224j -0.00568924+0.074729j 0.00826734+0.0367361j 0.0847469-0.0204483j -0.0134727+0.0826237j 0.00555267+0.069354j -0.0720289+0.0425721j 0.0433571+0.0466245j -0.0070253+0.0215604j 0.012022+0.00619323j -0.0171031-0.0116889j 0.0194792-0.0127835j -0.00639184-0.00709009j -0.0217558+0.00535678j -0.00189847+0.000445096j 0.0214709+0.00566886j -0.0231302-0.000182069j -0.018166+0.0262823j -0.01977+0.0245773j 0.0125007+0.0106797j 0.000683593-0.00221582j 0.0110818+0.00145668j 0.00345906-0.000801153j 0.00862786-0.000332012j 0.0219184+0.00865831j -0.0148856-0.0021844j 0.0152933-0.0296383j -0.0201824-0.00737774j -0.0343587-0.0103096j -0.0142694-0.00142837j 0.0112905-0.00178079j 0.0134249+0.0107981j 0.00131721-0.00379889j -0.0145324+0.0068764j 0.0235901+0.0277235j -0.0277121-0.00223838j -0.0115653+0.011377j 0.0154508-0.016053j 0.00400083-0.0209636j -0.016599+0.00569831j 0.0176764+0.0034394j 0.00471301-0.0076569j 0.0125361-0.017231j 0.00354658-0.0180733j -0.0037764+0.00746505j 0.00473142+0.0035321j -0.000971542-0.00278145j 0.00819343-0.00535351j -0.0109117+0.0135023j 0.00382795-0.0132341j -0.0234013+0.0226521j 0.01209-0.00367714j -0.00480514-0.000556819j 0.0130124-0.012938j -0.00237238+0.00922424j -0.00168343+0.00467671j -0.00687494+0.00194154j 0.00346138-0.00171642j 0.00096296+0.0014717j 0.0067905-0.0097944j 0.0145957-0.00293121j 0.0120076+0.00168368j -0.00431818+0.00439475j 0.00923174+0.00127804j -0.0075091-0.0082508j 0.00846883-0.00470138j -0.000133409-0.0155846j 0.0164709-0.0118077j 0.00703329+0.00104619j -0.00538572-0.00897423j -0.00870315+0.00552971j 0.0204271-0.00393483j -0.0128327+0.0435141j 0.0217128+0.000231617j 0.0255782-0.0231938j -0.0848033-0.0167948j 0.010319+0.0223892j -0.00193762-0.023794j 
-0.0114193+0.0176697j 0.0120628+0.00987194j 0.00204339-0.0286206j 0.00124075+0.00225132j -0.0141618+0.0337439j 0.0206375+0.0110668j -0.0172566-0.0376961j 0.000337779+0.0267064j -0.0372542+0.0233092j -0.00807157-0.00358588j 0.0254955+0.026466j -0.0221279+0.0435705j -0.0413613+0.00716967j -0.0106099+0.0479593j 0.0181915-0.0139733j 0.0178798-0.0665432j 0.0071345-0.0650438j -0.0393737-0.0156751j -0.0607377-0.00271697j -0.0392728-0.0593506j -0.00901974+0.0617874j -0.0663171+0.0106775j -0.0554824-0.00721138j -0.00974558-0.0859268j -0.0463755+0.0528793j -0.0115998-0.00165062j -0.0224681+0.0189236j 0.00726164-0.00486993j 0.0061643+0.00840735j 8.01628e-06+0.00121153j 0.0108829-0.0287151j 0.00831993-0.0150447j -0.0108428+0.0192278j -0.0022513-0.0148037j -0.00999001-0.0153566j -0.0136192-0.0180452j -0.00671678-0.00402713j -0.0144997+0.00833446j -0.00133559-0.00458043j -0.00410819+0.00661254j 0.0102904-0.00267227j -0.00142179+0.00739273j -0.00946197+0.00387817j 0.0161526+0.00613332j 0.00743274-0.00773317j 0.00212609-0.0183247j 0.0115642-0.00897026j 0.0165782+0.0128124j -0.00764094+0.00148152j -0.0112473+0.00448589j 0.00184383-0.0146024j -0.0197822+0.0238062j 0.0150626-0.0160078j -0.00419681+0.00154827j 0.00663722+0.00796314j 0.00383002-0.00300608j 0.00238116-0.0131599j -0.00324219+0.00375984j -0.00673802+0.00531202j -0.00337188+0.00680911j 0.000155553+0.0158077j 0.00178745+3.29303e-05j -0.016408+0.00980297j -0.000368314+0.00946206j -0.00209007+0.00288307j -0.0130351+0.00683827j 0.00130563-0.0037015j -0.00639522+0.0025192j 0.00332976+0.000753778j 0.00423001+0.00752802j -0.00334537+0.00944872j -0.00982244+0.00712058j 0.000186416-0.00839327j 0.000991068-0.001403j 0.00405905+0.00358065j -0.0175279+0.00869121j 0.00253871+0.00024902j -0.00983015+0.00989555j -0.0104001+0.00196797j 0.011699+0.00554235j 0.00472145+0.00428143j -0.00867148-0.00159077j 0.00174764-0.00593933j 0.0135171-0.00571701j -0.00688181+0.0052883j -0.0157792-0.00299707j -0.0228369+0.00394222j -0.0282904+0.0131062j -0.00204954-0.0137861j -0.0268245-0.0133939j -0.0333207+0.0411767j 0.0527683+0.0201834j -0.00297614-0.012943j -0.007474-0.00893508j -0.0201408-0.0168306j 
0.00110329+0.00169424j 0.0103981+0.0252306j -0.0107849-0.0502602j -0.0104399-0.0570013j 0.0132093+0.0258438j 0.0187199+0.020459j -0.0223829-2.56622e-05j 0.020231+0.0563207j -0.0340709-0.0451739j -0.0180845-0.0524646j 0.0432985+0.0426004j 0.0258902+0.0905254j -0.052538-0.0442737j 0.000597602+0.0306695j 0.0221495+0.0667736j 0.00259346-0.00210153j 0.0201364-0.0191115j -0.0369628-0.0604738j -0.0136637+0.012036j 0.107137+0.0895825j 0.121279-0.028642j -0.0329963-0.0957803j -0.00756291+0.0139758j -0.030745-0.0217498j -0.0169754-0.0253192j -0.0197465-0.0218513j 0.00835485-0.0222253j 0.0250292-0.00673831j -0.00506498+0.0116212j 0.00511282-0.00488568j 0.00202237-0.00923435j 0.00292905+0.0059924j -0.00583657-0.0026287j 0.00597841-0.0186517j -0.0156922-0.0453271j -0.0108376-0.0170551j 0.00882027+0.0267859j -0.00142734-0.0166568j 0.00212131+0.0214065j -0.0032501+0.0117452j 0.00718472+0.0210412j 0.00701989+0.00667981j 0.0046408-0.0156433j 0.0143832+0.00554537j 0.00233036-0.00253855j 0.00554904-0.0254566j 0.00117385-0.0172341j 0.0174526-0.00174832j 0.00616649+0.0147755j -0.000170485+0.00669119j -0.0254727-0.00701171j 0.00743519+0.00826117j -0.00358688-0.022775j -0.00480371-0.0190001j 0.00285834-0.00201551j 0.00741918+0.00186159j -0.00551204-0.0110872j 0.00145925+0.0321382j -0.000192675+0.00419085j 0.019079+0.000609291j 0.00597472-0.00907232j -0.00296328-0.0116565j 0.0132026-6.50866e-05j 0.00403574-0.0071733j -0.00331972+0.012592j 0.00312916-0.0172569j 0.00292472+0.0132201j -0.00335337-0.0188192j -0.00185574+0.0071853j -0.00938939-0.00838348j 0.00303595+0.00523637j -0.00449141-0.0036384j -0.00890659-0.00853934j 0.000635473-0.00113441j 0.00741368+0.013415j -0.00693706-0.00926211j -0.00212084+0.00395357j 0.0151-0.00207696j 0.0149077-0.000874758j -0.00655654+0.00790591j -0.00261993+0.00586057j 0.00976394-0.00919982j 0.00345573-0.0114892j 0.0147457+0.0127179j 0.0205999+0.0300759j -0.0136202+0.0164431j -0.0017508+0.000963667j 0.0104668+0.00204333j -0.0119748+0.0102049j 0.0207809-0.026339j -0.00397023-0.0297123j 0.0164948-0.0170075j 0.000994437-0.0658897j -0.0146231-0.00734354j 0.0073449+0.0311458j 
-0.00978649-0.00764905j -0.00423461-0.0029805j 0.0301061-0.00146505j 0.0238972-0.00729238j -0.0255502+0.0144572j 0.00374723+0.00641724j -0.00435865-0.0154321j -0.0241871+0.0237125j -0.00215101-0.0212644j 0.0233775-0.01839j -0.00894773+0.0293734j -0.0588027+0.0122395j 0.00510433-0.0144234j -0.0196895+0.00391084j -0.0239087+0.0361506j -0.003893-0.00323738j 0.00513838+0.0126061j 0.00427711-0.0233054j -0.0521998+0.0270512j -0.0786113+0.119449j 0.0659307+0.122883j 0.0435623-0.00971755j -0.0514298+0.0258756j -0.00847804-0.0208438j 0.00392722+0.00651245j 0.0119736-0.0101788j 0.00327023+0.0193166j 0.0070123+0.00848776j -0.00371406-0.00202773j 0.00786167+0.004243j 0.0143791-0.0183054j -0.00677019-0.00325955j -0.00648142+0.00762744j 0.00649076+0.00122565j 0.0174073+0.00539469j -0.00234014-0.00447424j -0.0231664+0.00278303j 0.0103259-0.00138631j -0.0129899+0.0142469j 0.0035978+0.00299044j -0.00340809+0.0136702j 0.00252235+0.0254061j 0.00955668-0.0226882j 0.0129976+0.0149563j 0.00623074-0.0114589j 0.00513478-0.00158719j 0.0111667+0.00796549j -0.00368385+0.022527j -0.0107692+0.0146396j -0.00855921-0.0121169j -0.00728998-0.00764341j -0.0223477+0.0111754j 0.00704821+0.0032243j 0.00758497-0.00657786j 0.0120094+0.0120661j 0.00515209+0.00130445j 0.00826747+0.00149244j -0.0233173+0.00778583j -0.000286247-0.00318393j 0.0140655+0.0042582j 0.00872583-0.00952223j 0.00286933-0.00404097j -0.000430577+0.00861589j 0.004601-0.00119403j -0.00267001-0.00623392j 0.00299004-0.000594367j -0.011723+0.00208856j 0.00226839-0.000557994j -0.00596224+0.00462711j -0.00195028-0.0110352j 0.000447938-0.00834331j 0.00908961-0.00411755j 0.00539141-0.00163272j 0.000730874-0.011536j 0.00497135+0.00200529j -0.0127163-0.00227812j 0.00968688+0.00455168j 0.000106118-0.00766296j 0.00447792+0.00694457j 0.000750946+0.00416341j 0.0236438-0.0227291j -0.0105289+0.00430323j 0.0125041-0.00285817j -0.00968071+0.00585048j -0.0116889+0.0346416j -0.0208895-0.00441821j 0.0256369-0.00548943j -0.00174982-0.00441718j 0.00668078-0.00933025j -0.015383+0.0258973j 0.0271387-0.00393035j -0.00829013+0.0365243j 0.0244515-0.0235446j 0.0131823+0.0172627j -0.00616443+0.0104384j 
0.00627915+0.0109852j -0.00957219+0.0122393j 0.0137901-0.00200738j -0.0032048+0.0250533j 0.000450294+0.00522754j -0.0132495-0.00510414j -0.00073005-0.00843311j -0.00364276-0.0170629j -0.00915922+0.0191953j -0.00376501+0.00403924j 0.0058743+0.000966241j -0.0065419-0.0174634j -0.00122621+0.0218275j -0.00224637-0.0205207j 0.00587374+0.00540585j 0.0155062-0.022162j 0.0205783-0.0202783j 0.0192648-0.000551834j 0.0201343-0.00476477j 0.0174956-0.0612604j -0.00965436-0.0574572j 0.0119081-0.0207746j 0.00449615-0.00965527j 0.00693621-0.00612222j -0.0123718+0.0082397j -0.0047822+0.0045318j 0.00554857-0.003229j -0.00450839-0.000929011j -0.00307397+0.000735136j 0.00904867-0.0059757j 0.0154447-0.00925137j 0.00538837-0.00180501j -0.00989982-0.000577318j -0.0121461+0.00408423j -0.00749048+0.00295201j -0.0124899-3.44974e-05j 0.00678717-0.00905004j 0.0165369-0.00297354j -0.0160115-0.015396j 0.00784061-0.00430046j -0.00562574-0.0103604j 0.00791741+0.00101576j 0.00598098+0.0074462j 2.2402e-05-0.00810592j 0.00399912+0.00739813j -0.0114836-0.00148621j -0.0021645+0.000938167j -0.00237514+0.00112344j -0.0123635-2.64358e-05j -0.0064051+0.000740919j 0.0034415-0.0058374j -0.0043142+0.00396833j 0.00126735+0.00567559j 0.00266363+0.0113982j 0.00877396+0.00483758j -0.00457791+0.00891747j 0.00173839+0.00188036j 8.88693e-05-0.00302428j 0.00354655-0.00703351j -0.00295716+0.000988489j 0.00579333+0.0107249j 0.00362039+0.00140591j -0.0156971+0.00589247j -0.00650856+0.00125711j -0.0104279-0.00183778j -0.00374958+0.00681651j -0.0106011-0.00294857j -0.00112677+0.00111653j 0.00546713+0.00213893j 0.00923803+0.0031635j 0.00595914+0.00603964j 0.00455617+0.00858661j -0.00277417+0.00128555j 0.00561495-0.00354767j 0.00539391-0.00766658j -0.00142794+0.00147024j 0.00928889+0.0044416j 0.00139463-0.00378071j -3.50443e-08+0.00506828j 0.0129144-0.00334361j 0.00419035+0.012955j 0.00640473+6.94478e-05j 0.00541239-0.00112334j 0.00164669-0.0109831j 0.00230611-0.0097102j -0.00449451+0.000290598j -0.00245975+0.0106207j 0.0038057+0.00660075j -0.00144551+0.00445698j 0.00149715-0.00115594j -0.0019726+0.0176552j 0.0131374+0.00600223j -0.00221376+0.0240187j 0.00581891-0.0197952j -0.0060314-0.00357708j 
0.00237108-0.010431j 0.00991284-0.00849474j -0.00992971-0.00139342j 0.00347687-0.0014896j 0.0107469-0.0164698j 0.00621924-0.00341649j 0.0103594+0.00446813j 0.0226107-0.0111247j 0.00584483-0.00520524j -0.00800013-0.00996246j -0.00139074-0.00350059j 0.02512-0.00491331j 0.00943091+0.0303031j 0.00754406-0.0157178j 0.0130788-0.024037j -0.0270726+0.00805646j 0.00410967-0.0372389j -0.0196035+0.027224j 0.00498693+0.031799j 0.0129045+0.000257185j -0.00625119-0.0531119j 0.000447101+0.00400335j 0.0201872+0.00141371j -0.00451183+0.0185338j 0.0127215-0.0138032j 0.0113975-0.00285012j -0.0107682+0.000536927j 0.011825-0.00614181j -0.0096758+0.00206254j 0.0124647-0.00303123j 0.00195932+0.00387394j 0.00277795+0.00233322j -0.0150382+0.00145195j -0.01481+0.0017408j -0.00270491+0.00279025j -0.00375587-0.00168512j -0.00242402+0.00323642j -4.42759e-06-0.00310719j 0.00759272-0.00717248j 0.00199981-0.00517163j 0.00200153+0.00824646j 0.0227234-0.00236206j -0.00339353+0.00441219j -0.0222907-0.00525688j 0.00654179-0.00241042j 0.00327969+0.0116389j 0.000861031+0.00328722j -0.00802756-0.0173419j 0.00274655-0.00170996j -0.0044491+0.0147008j -0.00228722-0.00185082j 0.0022355-0.0108873j -0.0102702-0.00145187j 0.00150914-0.000499837j -0.00319238-0.00235862j -0.0102315+0.00313092j 0.00286474+0.00414797j -0.00101255+0.00220733j -0.0073327+0.00483687j -0.0103294-0.0103361j 0.00058799+0.00104662j -0.00474481+0.00302326j 0.000557825-0.00568832j -0.0153097-0.00278175j -0.00289063-0.000955241j -0.00240611+0.00192276j 0.00850192+0.00464672j 0.00418967+0.00348132j -0.0130006-0.00151426j -0.00827321+0.00482684j 0.00693343-0.00239785j -0.00390512+0.0117427j -0.000840554+0.00123736j 0.00681996+0.00411388j 0.00801777+0.00153984j 0.0123754-0.0101021j 0.000767456-0.00190405j -0.0136557-0.00861075j 0.00498086-0.00213635j -0.00496284-0.000400115j -0.00983964+0.00387602j -0.00055868+0.00425232j 0.0062454-0.00755927j -0.0021367-0.00674289j 0.00175204-0.00588408j -0.00265065-0.000434981j -0.00749368-0.00702708j -0.00149273+0.00502213j -0.00260247+0.0107295j 0.00397295-0.0117769j -0.00838141-0.00390105j -0.00658386-0.0272944j -0.00363629+0.0130018j -0.00743453+0.00590835j 0.00477201+0.000310094j 
-0.0055368-0.00680777j -0.0179825+0.00495791j 0.0146001+0.0168239j 0.00168743+0.021459j -0.0164145-0.0159171j -0.0117124+0.00402086j 0.0105923-0.00618447j -0.0229698-0.00785369j -0.0171504+0.0108151j -0.00890636+0.0176023j -0.00954891-0.00039012j -0.0386022-0.0419551j -0.0161932+0.00158728j -0.0346747-0.0089593j -0.0183556+0.00327426j 0.107112+0.00226686j 0.0587957+0.0374669j 0.0697324+0.00186199j 0.00852627-0.0128325j 0.0719647-0.036687j 0.0208052+0.0244891j 0.0321536+0.00830404j 0.0240661-0.0281722j 0.0555199-0.0122463j -0.00681287-0.00642594j 0.00525687-0.00196088j -0.0185548+0.00713583j -0.00623651-0.00350445j -0.0100254+0.00210291j -0.00335168+0.00294811j 0.00949429-0.00217097j 0.00252214+0.00560692j 0.00577089+0.00198446j -0.00566369-0.00645543j 0.0170031+0.0095364j 0.0201402+0.00290547j -0.0125491-0.00696918j 0.00510759-0.000748783j 0.0223147-0.0041794j 0.00396393-0.00461604j 0.00877787-0.00613478j 0.0275928+0.00760014j -0.0164713+0.00411992j -0.0093096+0.00525287j -0.0018394+0.00504184j -0.024454-0.00457044j -0.00219658+0.00308101j 0.0165055+0.0221197j 0.0144353-0.00375178j -0.0233015-0.0148353j -0.000344703-0.00753578j -0.00222614+0.00844966j -0.0106054+0.017974j 0.00168114+0.0134363j -0.00481528+0.00422105j -0.0092252+0.00188988j 0.015447-0.000432068j -0.0116025-0.0104023j 0.00132888-0.0144534j -0.0125378+0.00466344j -0.026486+0.00360085j 0.00774882+0.00631731j -0.0145794+0.00725673j -0.00762164+0.00450106j 0.0116822-0.00153785j -0.00983688+0.00921895j -0.00884204-0.011851j 0.00436813+0.0120039j 0.0038134-0.00393969j -0.0113583+0.00300074j -0.0154089-0.00571076j 0.0021123+0.00265882j 0.00377682-0.00799309j 8.25692e-05-0.000917689j 0.00147627-0.0104263j -0.00810653+0.0112945j 0.0120526+0.00729389j 0.00776989+0.0028064j 0.00443737-0.00298113j 0.00338117+0.00358377j -0.00814617+0.00137452j 0.00404995+0.00388326j 0.00817635+0.0197616j 0.00518505+0.000520122j -0.00307596-0.0194933j -0.0029533-0.0132997j -0.0292611-0.0024001j 0.0281182+0.0192279j 0.0179128-0.00497235j -0.00342838+0.00576648j -0.0386748+0.00834544j 0.0296152+0.0196678j -0.0127001+0.0119021j 0.033903-0.00160326j 0.0224449-0.0233245j 
-0.00733477-0.00851667j 0.00323116-0.00641886j -0.0206678+0.0288204j -0.0251493+0.00205681j 0.00512429-0.0101109j 0.00863907+0.00250418j 0.0439377+0.016088j 0.00722338-0.0234825j -0.00843342-0.0395508j -0.0122816-0.00934069j -0.0086622-0.0100059j 0.0258464-0.0642384j 0.045023-0.00681369j -0.00415497-0.00654913j 0.00503042+0.0295417j 0.0432822+0.0573213j -0.0194714-0.0198478j -0.0909057+0.00700044j -0.0527117-0.0431385j 0.000739195+0.0262978j -0.0224304+0.0571732j -0.0015489+0.0244575j 0.000415732-0.025829j 0.0239241+0.01967j -0.0204315-0.0174261j 0.00323297-0.00236054j 0.00192273-0.00709911j -0.00781568+0.000917051j 0.00975952+0.00214812j 0.0131478-0.00694577j -0.000125877+0.0246493j 0.00106595+0.00519473j -0.018857-0.00695483j 0.0109855+0.000343436j -0.0124105+0.0080152j 0.004546+0.00691823j 0.0100728-0.00192049j -0.0110316+0.00616582j 0.00271773+0.0138324j 0.00478545+0.00940456j 0.00911327+0.0129321j -0.0047409+0.00193856j -0.00688782-0.0221642j -0.00612933+0.0143366j -0.000539702-0.0061276j -0.00257331-0.0249614j 0.00137959-0.000539176j -0.019509+0.0114859j 0.00240411+9.09796e-05j -0.00101955-0.0162433j -0.00401846-0.00581059j -0.0178188-0.00869869j -0.0187603+0.0159218j -0.00641307-0.00197519j 4.14079e-05+0.00918266j 0.00991324-1.14549e-05j -0.00773636-0.00551764j 0.00696237-0.010117j 0.000988018+0.00715728j -0.000791231-0.0062781j 0.00417515-0.00303398j -0.00425938+0.000226067j 0.00521315-1.8392e-05j -0.00577356-0.00299905j -0.00388518-0.00926824j -0.00659901+0.00308321j 0.00798846+0.00754999j -0.0172285-0.0044866j 0.00345421+0.00636019j -0.00866154-0.00175059j 0.0130506-0.0122841j -0.00492548-0.00606989j 0.000875315-0.0121787j -0.000216972-0.00469405j 0.000137309+0.00939078j 0.00671589+0.00893966j -0.00297174+0.00673607j 0.000900392-0.0078269j 0.00822452-0.010087j -0.00529721-0.00173969j 0.0150158+0.000700703j -0.00140741+0.0110261j -0.010323+0.00463742j 0.000580349+0.00858104j 0.000149529+0.0085699j 0.00322418-0.012018j -0.020655+0.0131298j -0.023708-0.00549394j 0.0106124+0.0214798j -0.00138044+0.000179748j 0.00416194-0.0186323j 0.00405453+0.00304953j -0.0163309-0.0113765j -0.0105163+0.0249384j 0.0127621+0.00708906j 
-0.0102219-0.000408046j -0.00179199+0.00372031j -0.00826531+0.0017918j -0.0129253+0.00147713j -0.00412892+0.00341887j 0.0153421+0.0023676j -0.00833833-0.0107219j 0.000697488+0.0200167j -0.0280128-0.014346j -0.0127793-0.029433j 0.0182883+0.00788352j -0.0181172-0.00188281j -0.0309105-0.0255825j 0.0352662-0.0066802j -0.0236645+0.00371547j 0.0358041+0.0272496j -0.00507969+0.0320892j 0.0200468+0.00153649j 0.0051278-0.00620706j -0.0143357+0.0276077j -0.059119+0.053242j -0.0410059-0.00730341j -0.0149689+0.00377802j 0.00654277-0.000235821j -0.0221678+0.00140812j -0.00222977-0.00286704j -0.0171329-0.000458741j 0.00585561-0.00734249j 0.000981844+0.00263059j 0.00211512-0.00587145j 0.0118953-0.0058562j 0.00377761+0.00528498j -0.00105011+7.24427e-05j -0.00461769-0.0104756j -0.0121822-0.00284732j -0.000416445+0.00736324j -0.00275475-0.00104884j 0.00520047+0.00333415j -0.00180095+0.0128206j 0.00649252+0.000373114j -0.00313052+0.0081162j -0.00463867+0.0157999j 0.00573006-0.0159767j 0.0018525+0.00390182j 0.00711662-0.00439232j 0.0191404-0.023422j -0.0012496+0.00520696j -0.00877515+0.0158529j -0.00233753+0.00812513j -0.00306799-0.0197695j 0.000330933-0.00819337j -0.011786+0.00471089j 0.00173988+0.000392327j -0.00499389-0.00912067j 0.0104328-0.00616283j 0.0100445-0.00317647j 0.00792934-0.00114334j 0.000958296+0.00700449j 0.00957029+0.00225674j 0.00393016+0.008787j 0.00444093-0.00615533j -0.00602455-0.00640125j -0.00395847-0.0110142j -0.0112982-0.00954724j 0.00706133+4.70113e-05j -0.0119299-0.00725759j 0.00272438-0.00145741j -0.0222771+0.00422872j -0.000399671+0.0171954j -0.00517095-0.00931019j 3.62503e-05+0.000970456j 0.00266799-0.00865946j 0.0124563+0.0046167j -0.000163361+0.0119404j -0.00794903+0.000326422j 0.000890801-0.00178808j 0.0170266+0.00803458j -0.00844946-0.000243353j -0.00358093-0.00138538j 0.00134723+0.011633j 0.00578887-0.00828021j -0.00524536-0.00260631j -0.00955202-0.00263547j 0.00428232+0.0127314j -0.00760223+0.00683212j -0.00858514+0.0025734j -0.000285594-0.00118762j -0.00443756+0.0087064j 0.00399292-0.000179475j -0.0218973+0.00867714j 0.0101584-0.0100116j 0.00415617+0.010953j -0.00128939-0.0260961j -0.0085923+0.0188286j 0.013477+0.00180317j 
