0.00511911+0.00770637j -0.00766409+0.00768536j 0.00712649+0.00171079j 0.00215914-0.00769348j -0.00433317+0.0056579j -0.00523588+0.00110697j 0.00433618+0.00512323j 0.0059769-0.00559969j -0.00169076+0.00508281j 0.000889139-0.000678027j -0.00160963+0.00340971j 0.00523385+0.0013254j -0.00376691+0.0032142j 0.00308499-0.00226481j -0.0010018-0.00169805j 0.00430996+0.00213583j -0.000370727+0.000656142j 0.000350296-0.0027184j -0.00257306+0.00280864j -0.00106593+0.000495829j -0.00374725-0.00527784j -0.00656551+0.00240303j 0.00367723-0.00171358j -0.00133961+0.00311031j 0.00368729-0.00261555j 0.00104971+0.00256353j -0.00250214+0.00117092j -0.000781658+0.00208569j -0.0011302-0.000234535j -0.00154301-0.00107453j -0.000324176+0.00245828j 0.0021968-0.005454j -0.000709454+0.00150449j -0.00318702-0.00167552j 0.000761071+0.00295985j 0.00133451-0.00118219j -0.00227795-0.00297018j 0.00171334+0.000811845j 0.00081594-0.00389994j 0.000813873+0.00469795j 0.00410959-0.00229268j -0.00177862+0.00291685j -0.00193173-0.00350022j 0.00490372+0.00139565j 0.00353132+0.00134163j 0.00292722+0.00156185j 0.00102335+0.00489276j 0.00470429+9.01761e-05j 0.00445414+0.00185697j -0.00327193-0.00586247j 0.0028924-0.00261619j -0.00125614+0.00572327j -0.00232765-0.00140913j -0.00568341-0.000601798j 0.00192609+0.00629411j 0.00225847+0.00721006j -0.00130189-0.000606249j -7.61654e-05+0.00352236j -0.00982712-0.00611974j 0.011156-0.00160973j 0.00765558-0.0124309j -0.02131-0.00637139j -0.00344346+0.0066121j -0.00334012+0.0134556j 0.0253242-0.00468506j -0.020422+0.00714388j 0.0194475+0.00353908j 0.00218708+0.0155891j -0.0191678-0.024266j -0.0278457+0.0190082j 
0.00879182-0.0068104j 0.00597711+0.00759589j 0.00267111-0.00599063j -0.00556543-0.00235202j 0.0055305+0.000152431j 0.00162165+0.00665024j 0.00480235-0.00323582j -0.00372588-0.000946083j 0.00135013-0.00115101j 0.0031816-0.00230285j 0.00414571+0.00288101j 0.00409594-0.00640179j 0.00446261-0.000859937j -0.00672635-0.0017218j 0.00157444-0.000889808j -0.00286686-0.00372313j 0.000192937+0.000383522j -0.000411934+0.00114507j 0.000686536+0.00258791j -0.000142701-0.00058714j -0.00421437-0.000408055j 0.00033032+0.00686802j -0.00279202-0.00511392j -0.00277836+0.00396187j 0.0021532-0.00397759j 0.0034149+9.45634e-05j -0.00199499+0.00335165j -9.98741e-05+0.000480521j 0.00374526+0.00150235j -0.00132601+0.00191711j -0.000982996+0.00143215j -0.00646021-0.00234j -0.00108352-0.00178261j -0.000418135+0.000391555j -0.00108211-0.000377199j -0.00119073-0.0012341j -0.00151998-0.00159031j -0.00204044-0.00269605j -0.00382623+0.00209815j 0.00274452-0.00223725j -0.00108045-0.00230995j -0.000176095+0.00262617j -0.00149515+0.0035417j 6.04459e-05-0.00464437j 0.00277205-0.00437403j -0.00438357-0.0044706j -0.00335057+0.000203603j 0.00124914-0.00685636j -0.000341075-0.005056j -0.000423494-0.00401917j -0.00418917+0.00376636j -0.00329956-0.00525776j 0.00442349+0.0032487j -0.000494493+0.00536013j 0.00232352+0.00578279j -0.00138077-0.00430646j 0.000106169+0.00570238j -0.00520779-0.00732935j 0.00548624-0.00908966j 0.00222812+0.00206194j 0.0208699+0.00546564j 0.00539989-0.00786452j 4.14399e-05+0.00312263j 0.020678-0.00107269j -0.0188575+0.00223233j -0.0279561+0.0143682j -0.0066108-0.014472j 0.018161-0.00099963j -0.0285146+0.0186006j 0.0187067+0.0239613j 
-0.00791767+0.00376306j -0.00175485-0.00742322j -0.00277587-0.00470568j -0.00768295+0.0078497j 0.000247916+0.00525362j -0.00515954-0.00460201j -0.00156616-0.00777237j -0.0129054+0.00243598j 0.00136607-0.0092863j -0.00677644+0.00772069j -0.00742278+0.00115948j 0.00159074-0.000379218j 0.00545309+0.00224056j -0.0120342-0.00104465j 0.000940279+0.00308299j -0.00136949-0.00305265j -0.00379715-0.00680868j -0.000487818+0.00371839j 0.00448828-0.00819453j -0.00104275-0.0024072j 0.00287874-0.00312365j 0.00456253-0.00365947j -0.00302784+0.00164787j -0.00828237+0.00116231j -0.0063417+0.00785422j 0.00208797-0.00305016j -0.00391956-0.00853407j -0.000781621-0.00186962j 0.00380699+0.0021306j -0.000518989-0.00452913j 0.00348058-0.00169273j -0.00308254-0.00375978j -0.000234006-0.00364989j 0.00264638+0.000401448j -0.00102354-0.00298712j -0.00364622-0.0046928j 0.000444892-0.00220461j 0.001282-0.00454607j -0.000587976-0.00322535j -0.000147479+0.000220611j -0.00445102+0.00137346j -0.00132171-0.000126037j 0.00433928-0.000968315j -0.0045635-0.00368981j -0.00192355-0.000848014j -0.00372847-0.00471026j -0.00321468+0.000754473j 0.000533561-0.00263444j -0.0017058-0.0029971j 0.00965308-0.00846747j -0.00467898-9.21993e-05j -0.00455769-0.000199284j -0.00277285-0.000875924j 0.00942014+0.00364915j 0.00245417+0.00673056j -0.00611614+0.0143293j 0.00606664+0.00642875j -0.000827978+0.0105477j 0.00858987-0.0077574j 0.0104775+0.00252271j -0.00698763-0.00125401j -0.024446-0.00102449j 0.00287858-0.0206084j -0.013471+0.00740752j -0.00402722-0.00205237j -0.0145007-0.000630884j 0.0182748-0.0217883j 0.022258+0.0174498j 0.00832222-0.00135801j 0.00254867-0.00882099j 
0.000345284+0.00707805j -0.00665943+0.00303833j -0.003271-0.00272192j -0.00364537+0.00806373j -0.000289258+0.00578533j -0.00885412+0.00243292j -0.000673228+0.00179102j 0.0011223+0.00309911j -0.00630275+0.00264982j 0.001199-0.00179639j -0.00309373+0.00122764j -0.00208686+0.00111882j -0.00184199-0.00409356j -0.000498952+0.00421145j 0.000902226-0.00515931j 0.00237891+0.00153341j -0.00225272+0.00321782j -0.00137804-0.00415766j 0.000423216+0.00570889j -0.0032772-0.00114775j -0.00277647+0.0018545j -0.0013431-0.00212993j 0.00213908+0.00270178j 0.00743817+0.00582748j 0.00258067+0.00207843j -0.00324989-0.00235105j -0.0021811+0.00154145j 0.00541789+0.00205117j -0.000189576-0.00277161j -0.00347175-0.00321063j 0.00429993-0.00127988j -5.1292e-05-0.000818318j 0.00271233+0.00298297j 0.00222544-8.33796e-05j 0.00536249-0.0044426j 0.000296017+0.00357931j 0.00130051+0.00512862j 0.00334494+0.00439804j -0.00211105-0.00131806j -0.00324673+0.00537812j 0.000722171+0.00218281j 0.00269119-0.000186265j -0.00261476-0.0021237j 0.000256883+0.00613842j 0.00081927+0.00696877j 0.00239253+0.00863993j 0.00872428-0.00395012j -0.00823653+0.00657507j -0.00358002-0.00179826j 0.0057639-0.00281683j -0.00421913-0.00301228j 0.0209615-0.0108665j -0.00292616-0.00566045j -0.00684528+0.0132417j 0.00504177-0.000869117j -0.0157022-0.00252964j 0.012417+0.0100395j 0.00181331-0.00749397j 0.00608853-0.0135596j -0.00888484+0.00763183j 0.0108684+0.0165407j -0.0128775+0.0102188j -0.0171271+0.0137996j 0.0146252+0.00654936j 0.0076495+0.00593694j 0.0258087+0.0116248j -0.0100632-0.0213902j 0.0202453-0.0140637j 0.0044797-0.00405001j -0.00630376+0.00115923j 
-0.000207888+0.00142281j -0.00606462+0.000945286j 0.00430039+0.00151611j 0.00700655-0.0036372j -0.00420865-0.000723393j 0.00537846-0.00179457j -0.000882234+0.000580568j 0.00602168-0.00300158j -0.00316397+0.00464201j 0.00421747+0.0015783j 0.0038348+0.000854652j -0.000229555-0.00107079j 0.000173102+0.004012j -0.000379587-0.00193441j 0.00137572+0.000424355j -0.00205421+0.00155594j 0.0011461+0.00303872j 0.00446092+0.00012157j -0.00332764+0.0041106j 0.00272628+0.00240943j -0.00190414-0.00229759j -0.00082774+0.00240139j 5.73511e-05-0.00137854j -0.00213224+8.55769e-05j 0.00219996-0.00132002j 0.000343872+0.000930552j 0.00106252+0.00130232j -0.00479625+0.00199307j 0.00032903-0.000269869j 0.00272881+0.00175785j -0.00396503+0.00117934j 0.000722128-0.00158597j -0.00197582+0.00215398j -0.000557475+0.000422199j 0.000693628+0.00306283j -0.00212058+0.000754519j -0.0017061+0.000251077j -0.0031509-0.000231297j 0.0054134-0.00248623j 0.00280506+0.000746602j 0.00606833-0.00627965j -0.0010951+0.000511487j 0.0061568-0.000549493j 0.00534739-0.002958j 0.00425124-0.000975621j -0.000191286-0.0023995j -0.0068589+0.00114714j -0.00304384+0.00130415j -0.00694595+0.0022844j 0.00588087-0.00291004j 0.000165568-0.00514637j -0.0175598+0.00740959j -0.00488705+0.00902791j 0.008062-0.00121923j 0.0134233+0.00262004j -0.0138085-0.000410531j 0.0100042+0.00676468j -0.00192585+0.000850487j 0.00862731-0.00520411j -0.0108006+0.00291335j -0.0108966-0.0041867j -0.00417443-0.00621666j 0.00382545-0.00155833j 0.0160222+0.0231235j -0.0181455-0.0263017j 0.020075-0.000272186j 0.00500912-0.00219167j -0.00397805+0.00766292j -0.00496423-0.00497058j 0.00831266+0.0134667j 
0.00634752-0.00325432j 0.000803309+0.00027463j 0.00454687-0.000864038j -0.000211166-0.00325023j 0.00328225-0.000925222j 0.00116756-0.000531757j 0.0027563-0.00189488j -0.00427879-0.00148465j 0.0026231+0.00011715j -0.00233616+0.00042791j -0.000814745+0.00197412j 0.00690208-0.00419794j 0.000524015+0.00219753j -0.00378194-0.00055446j 0.00147813+0.00267059j -0.00540407+0.000112504j -0.000901568-0.00123355j 0.00165207+0.00107936j 0.00246357-0.00341279j -0.00205376+0.00138984j 0.00740209+0.000301825j -0.00474343+0.00361364j 0.00173807-0.00159881j -0.00656548+0.000977769j 0.000220262-0.00347766j 0.00126555+0.000847527j -0.00217332+0.00303426j -0.00244994-0.00103721j 0.00144106+0.000654436j -0.00034233+0.004686j -0.00250576+0.00217003j -0.00271095+0.00213584j 0.000897214+0.000423002j 0.00549309+0.000380908j -0.000442732-0.00826059j -0.00155487-0.00269968j 0.00554684-0.00423356j 0.00258315-0.0043823j -0.00341745+0.00181177j -0.000984754-0.00185047j -0.00145077-0.00283417j -0.00207128+0.00100849j 0.00608121+0.00319342j -0.000144274-0.00529288j 0.00155614-0.00535598j -0.00296459-0.00301617j -0.00320834-0.000851725j 0.00482317-0.00720319j -0.00247198-0.00198291j 0.0213075-0.00285909j -0.00837811+0.00469049j -0.000635745+0.00284888j 0.00808688+0.00142129j -0.00264602+0.000300758j -0.0148207-2.6633e-05j -0.0135232+0.00297572j -0.00831891-0.00444224j 0.00803553-0.00394721j -0.010421+0.00275387j 0.00154252-0.00229725j -0.00543171+0.000164126j 0.00510113+0.00455565j -0.000733374-0.0065089j -0.0221209-0.00460624j 0.00205386-0.0175624j 0.00616031+0.0326191j 0.00106518-0.00260159j -0.00573883-0.00402849j 0.00600771+0.015067j 0.00629697+0.0052739j 
-0.00494486+0.00212293j 0.000665562-0.00405189j 0.00053941+0.00399609j 0.00327707-0.00334841j 0.00155909-0.00797746j 0.0148377-0.0079651j 0.000276866-0.00621722j -0.00245549+0.00163447j -0.00359601+0.00382678j 0.0015043+0.00285766j 0.00176431-0.00104642j 0.00352566-0.00761109j 0.00282975+0.00478498j 0.00506603+0.00279462j -0.00291139+0.000147247j 0.00189788+0.00644948j -0.000417224+0.00141175j 0.00595454+0.00138344j -0.00641269+0.00154982j 0.00712058+0.00393417j 0.00213819-0.00293657j 0.00951221-0.00254125j 0.00187332+0.00408904j 0.00230856-8.70206e-05j -0.00540591+0.000152011j -0.00454374+6.29054e-05j 0.00582195+0.0013401j 0.00063816-0.00155301j -0.00795415-0.00371862j 0.00547699+0.00375421j -0.00235035+0.00157649j 0.00261992+0.00664059j -0.00377426+0.00902472j -0.00165231+0.00339765j 0.00349752+0.00552196j -0.011492+0.00419202j -0.00392959+0.00410023j 0.00423689+0.00395161j -0.000283557+0.00578346j 0.00506615+0.00144339j 0.00478032-0.00805539j 0.0044441-0.00167539j 0.00024606+0.00731674j 0.00306867-0.00343015j 0.00740559-0.000228556j 0.00614444+0.00263314j 0.00397111-0.0104622j -0.00819268+0.00575341j -0.000774582+0.00279526j 0.00601609+0.0038199j -0.00736105-0.00784005j 0.0132742+0.00631166j -0.0163929+0.0108941j 0.00120288-0.00127184j 0.00824698+0.00935221j 0.000716945+0.0124984j -0.0188402+0.0136764j 0.00473544+0.00603557j 0.000283167-0.0115629j -0.00475034+0.010761j -0.00335859+0.00123694j -0.0047852+0.00236307j -0.0108719+0.00399711j 0.0136334-0.0135655j -0.0197504-0.000851474j -0.0149327+0.0181399j -0.00287435+0.00895511j -0.00413148+0.00100514j 0.00520495+0.000419697j -0.00237409-0.00928091j 
0.00342488-0.00264233j 0.000611974+0.00287973j 0.00723309-0.000893542j 0.00234089-0.00791364j -0.00529461+0.000990473j -0.00374665-0.00198943j -0.00376405+0.00491568j -0.00164648+0.00225346j 0.00640188-0.00395958j -0.00122694-0.00277655j -0.00141957+0.00490172j -0.00220883+0.00724599j -0.0107699-0.000595807j 0.00100406-0.00345608j -0.00568129+0.00417615j -0.00585808+0.00752741j 0.00164624-0.00130715j 0.0153064-0.0054534j 0.00918933-0.00495815j -0.00339483-0.00572814j -0.00431728+0.00358759j -0.00867467-0.0044945j 0.00394447+0.00163574j 0.00650686-0.00349858j -0.0014883-0.00159075j 0.000495113+0.00484101j -0.00501367+0.00432394j 0.0032866-0.000859612j 0.00128004+0.000525123j 0.0031595+0.00546731j -0.00467432+0.0072307j -0.00432739+0.00431399j 0.000435513+0.00308087j -0.00270527+0.00587112j 0.00745869-0.000819525j 0.00170736-0.00826562j -0.008287+0.00302105j 0.00779422-0.00107966j 0.000396203-0.00292209j -0.0167138+0.00153987j -0.00710807+0.00436657j 0.00777209-0.00131655j 0.0162766+0.00224293j 0.00316287-0.00109217j 0.0105433-0.000843517j -0.00520005+0.00443157j 0.00449418-0.00875026j 0.00324597+0.00127853j -0.000452658-0.00173502j 0.00613995+0.00549679j 0.00204524+0.00902643j 0.0043228+0.00720453j 0.00323914-0.0113441j 0.00516291+0.00667322j 0.009951-0.00316473j 0.0074594+0.0147032j -0.010723+0.00243754j -0.0107386-0.0166277j -0.00219347+0.00423444j -0.0162533+0.00970336j 0.00906803+0.000618942j -0.000549618+0.0149727j -0.0220465-0.0141625j -0.0061362+0.00210166j -0.00961114+0.0129491j 0.0061299-0.00240833j 0.000562793+0.00494292j -0.00265085+0.00551682j -0.00342415-0.00178494j -0.00107412+0.00249897j 
-0.000887076+0.00451793j -0.00795166+0.00173707j -0.000472124-0.000955758j -0.00288052+0.00437014j -0.0030642+0.00238122j 0.00394028-0.00603023j -0.0027154-0.00157546j 0.00188974-0.00200329j -0.00537165+0.00116292j 0.00654187-0.00123826j -0.00094637+0.0016273j -0.0034419+0.00108548j -0.000666253+0.000130678j -0.000882278-0.00391172j -0.00233714+0.00181265j -0.00539613+0.00301913j 0.00103334+0.000171197j 0.0118793-0.000277371j 0.00602119+0.000504634j -0.000292496-0.00334451j 0.000662061-0.00443161j 0.00224889-0.00479491j 0.00111142+0.000168564j 0.000764856+0.0032928j 0.000501833+0.000125386j 0.00525424+0.0047716j -0.000489134+0.00308296j 0.00468456-0.00804411j 0.00446449-0.0026286j 0.00427357+0.00226474j -0.00968063+0.00404409j -0.0107657-0.00349407j 0.00374988-0.0023759j 0.00195309-0.00292691j -0.000496258-0.00880898j -0.000958999-0.00352087j -0.000121849-0.00804346j 0.0132671-0.00645772j 0.00814122-0.00242396j 0.0101338+0.00621437j 0.00609319-0.00594778j -0.00189667+0.00524501j -0.0044321-0.000433792j -0.0034218+0.00572553j -0.00233129-0.00592076j -0.00658748+0.00175726j 0.00900326+0.00719453j -0.0125648-0.00389555j -0.0160647+0.00242236j 0.012029+0.00169529j 0.00696429+0.00181205j 0.00177488-0.00889113j 0.00440697+0.0141467j -0.0139663-0.00336768j -0.00220322-0.00659832j 0.0108143+0.00200617j -0.0159122+0.00227576j -0.00581273-0.0119115j -0.0175371-0.000510314j 0.00800613+0.00176716j 0.00708076-0.00120074j 0.0120214+0.00744403j 0.0256923+0.00666765j -0.00889628-0.0134412j -0.00823511-0.00146348j 0.00911985-0.00546378j 0.00779789-0.0031215j -0.00134006+0.00232383j -0.0015608-0.00764382j 0.000395242+0.00235358j 
-0.000274064+0.00419808j -0.00123782+0.00132638j -0.00325717+0.0013935j -0.00254932+0.00368376j 0.00104049-4.14288e-05j 0.00372951-0.00282983j 0.00297761-0.00151665j -0.000646642-0.00071637j 0.000261217+0.00198249j 0.000189993-0.00209952j -0.00553607+0.000573073j 0.00395172-0.00223235j 8.54634e-05-0.00179085j 0.000724121+0.000560694j -0.00452945+3.75001e-05j -0.00144003+0.00168457j -0.000655644+0.00173448j 0.000999841+0.000392142j 0.0054755+0.00155888j -0.00355356+0.000403322j 0.0121338-0.00502557j -0.00169385-0.00166816j 0.00358514-0.000516171j -0.00519006+0.00408778j 8.19128e-06-0.000416995j 0.00470142+0.00198063j 0.00213335+0.00284969j 0.00179452-0.00619798j -0.000865151-0.000568086j -0.000346161+0.00256995j -0.00533912+0.00047274j -0.0037791+0.000252642j 0.00331568-0.000834665j 0.00424096-0.00154914j -0.000524815-0.00695294j 0.00186658+0.00120025j 0.00467374-0.00415482j -0.000138133-0.00109028j 0.00113974+0.00322237j 0.012509+0.00082394j 0.00677703-0.00149907j -0.00408747-0.00340994j 0.0157478-0.00382385j -0.00256125+0.003121j -0.016092-2.92611e-05j 0.010733-0.0021399j 0.0142773+0.00390192j 0.0280702-0.0015666j -0.0116064+0.00301646j -0.0168028+0.00417569j 0.00963556-0.000139492j 0.00048776-0.000629956j 0.0212465+0.00743883j 0.0052562+0.00369307j 0.0142967-0.0025485j 0.00250703+0.00511408j -0.0116941-0.00608666j -0.00072888-0.0108457j 0.0113913+0.00731956j -0.0142425-0.00686584j -0.00499699-0.00105638j -0.0116097-0.0161517j -0.00588429-0.00933273j 0.00527568-0.00523496j -0.00953057-7.15765e-05j 0.00170289+0.00405893j -0.00452228-0.00402149j 0.00637039-0.00142295j 0.00418126-0.00154866j -0.00562614-0.00242154j 
0.00557741-0.0021299j 0.00123245-0.00219502j -0.00221512-0.00176614j 0.00420589-4.12793e-05j 0.00336179+0.0017035j -0.000126842+0.00024138j -0.00859439+0.000716243j -0.00115302+0.00150495j -0.0056212+0.000889412j 0.00950035+0.000475298j -0.000825273+0.00519414j 0.00874309-0.00322866j -0.0024155+0.00191573j 0.00877003-0.00420347j 0.00301676+0.00141104j -0.00668776+0.00414863j 0.00394378+0.00140568j 0.00560362+0.00120588j -0.00395123+0.000368535j 0.00792064-0.00258832j 0.0034156-0.00168449j -0.00399516+0.000813294j 0.00338268-0.000916427j -0.000175223+0.000471545j 0.00599541-0.00236112j -0.0142976+0.00331528j 0.000912817+3.7713e-05j -0.0109215+0.00803466j 0.00683667-0.00388302j 0.0124814+0.000659182j -0.00325076+9.17991e-05j 0.0101291-0.00198768j -0.00136081+0.00119234j -0.00915655+0.00290547j 0.00220615-0.0143298j 0.000630007-0.00402265j 0.0102039+0.00655776j -0.00165546+0.00280245j -0.0024867+0.000551909j 0.00661488-0.00660382j -0.00934836+1.60501e-05j -0.00378795+0.00189864j -0.0141683+0.00017467j -0.00251188-0.00404079j -0.00664064-0.000196266j -0.0124467-0.00528609j 0.00149381-0.0105302j -0.00798641+0.00575018j 0.00180242-0.000582433j -0.010721-0.000797259j 0.0032436+0.00561492j 0.00340897-0.00422602j 0.00181335+0.00297045j 4.71515e-05-0.00400229j 0.00997551-0.000552382j -0.00546695-0.00394849j -0.00645366-0.00639531j -0.00375286+0.00447231j 0.00789885-0.00835143j -0.00338593+0.010278j -0.0147482-0.0161229j -0.000852508+0.0061757j -0.0058827+0.00116456j -0.00559311-0.00276481j 0.00290945-0.000203791j 0.00377889+0.00595783j 0.0130144+0.000893299j -0.00281467-0.00299823j 0.00214826+0.00445732j 0.00605352+0.00268182j 
