0.00430188+0.00811126j 0.0115494-0.00410649j -0.0203557-0.00605929j -0.0283622+0.0380792j 0.0125995+0.0139215j -0.000594187-0.00377947j -0.019886-0.00817629j -0.0175456-0.0104208j -0.000544909-0.0280685j -0.0104707+0.0127025j -0.00112547+0.0281943j 0.0163812-0.0133262j -0.00957231+0.0104558j -0.00745826-0.0240595j 0.00743365+0.00342908j 0.0164741+0.0139458j 0.00315989-0.0105475j -0.00012384+0.00170355j 0.00035269+0.0061003j 0.00473907-0.00589671j 0.00269327+0.00442946j -0.00473489-0.00425647j -0.00244202+0.0120356j -0.00979241-0.00734559j -0.00829887-0.00654982j -0.0101166-0.00294518j -0.00112313+0.00692144j -0.00604916+0.00895851j -0.00305264+0.00240719j -0.00293428+0.000629793j 0.000817493-0.00328848j -0.00929324+0.0157148j 0.0110281-0.0127473j -0.0202152-0.00310745j 
-0.00798207+0.00449061j 0.0201444+0.00764208j -0.00680265-0.00843238j -0.0407182-0.0152977j -0.0220934+0.0209835j -0.00287598-0.00784302j 0.026281-0.0172032j 0.030872-0.009031j 0.00988333+0.00540586j -0.00321086-0.000829908j -0.0117217+6.34423e-05j -0.00851313+0.00791697j -0.00274575+0.00626606j 0.0112308-0.00555922j -0.001505-0.0268407j 0.000671445-0.00179375j -0.00216053-0.00313069j 0.005536+0.00327118j 0.00476335-0.0131708j 0.00436299-0.00436585j -0.00753451+0.00252765j -0.00895855-0.00200319j 0.00293345+0.00275696j -0.017506-0.00591168j -0.00128455+0.00994645j -0.000674573+0.00616127j -0.00673625-0.000491033j -0.00871979+0.00341493j 0.00560875+0.000773541j 0.00481728-0.00443984j -0.00346884-0.0240428j 0.0105256+0.00200706j 0.0130938+0.00386222j 0.0138936-0.0011407j 
0.00264237+0.00576777j 0.00110962+0.00240086j -0.00665373-0.00132866j -0.000251182+0.00232161j 0.00481672+0.00101745j 0.000428963-0.03013j -0.00426142+0.000505614j 0.00446383+0.0390569j -0.002747-0.0106976j -0.00373573-0.00767821j -0.0058087-0.00168231j 0.0054706+0.00163133j -0.00123637+0.00391405j -0.000374986+0.000751399j -0.0390306-0.00932855j -0.0184469-0.00330738j 0.0104081-0.00410146j 0.00285899-0.00231458j -0.0052627+0.00480245j -0.0058637-0.00555241j 0.00722933+0.00243716j -0.00485777+0.00425977j -0.011102+0.00690488j 0.00168643+0.00579859j 0.0139382-0.00197632j -0.00514726-0.00660898j 0.000934101+0.00265462j 0.000880507+0.0017975j -0.00364351-0.00237136j 0.00020644-0.00857628j -0.0171264+0.00566794j -0.00151224-0.0099753j 0.00443478-0.0125724j -0.00504117-0.0108175j 
0.00512398-0.00215931j -0.0121874-0.010078j 0.00119312+0.0030079j 0.0286594+0.0251207j 0.0142737-0.000148435j -0.0372522+0.00192386j -0.0190951-0.00116471j 0.0152608-0.00633244j -0.0391769-0.00587848j 0.00392293-0.00202118j 0.00879133+0.0112511j 0.0067187-0.00827193j -0.00077459-0.00455479j -0.0185321-0.011273j 0.00283363-0.0277725j 0.0097364-0.0153523j 0.00491603+0.0129663j -0.00561399-0.000274241j -0.0103135+0.00724549j 0.00732653-0.00326173j 0.00680772+0.00919888j -0.002013-0.00209881j -0.0069861-0.0128266j 0.000520754+0.0068072j -0.00510187+0.00596525j 0.00783286-0.00858138j 0.00366858+0.000647894j 0.0043508+0.00136208j -0.00267385-0.00275361j 0.00659326+0.00156872j -0.00107391-0.0106198j 0.00731846+0.00415279j 0.00937301-0.0105718j -0.00696468-0.00612417j 
0.0107395-0.0178763j 0.00862971-0.00926675j -0.0407426+0.0153224j 0.0080376-0.00215342j 0.00693513-0.0266972j -0.00189201+0.0193431j -0.00864807+0.0267089j 0.00114426+0.0100096j -0.0173151+0.0211513j 0.00898662-0.00982262j 0.0260496-0.011186j -0.0112851+0.00465091j 0.0029233+0.00206805j -0.0167334+0.0212052j -0.00330517-0.00389944j 0.00160607-0.00945024j -0.00254748+0.00204578j 0.0114453+0.00517875j 0.00862986+0.00318767j -0.00182943+0.00142437j 0.00304954-0.00786382j 0.00379322-0.00922896j -0.00905885+0.00486925j 0.00120271-0.00356003j -0.0100847+0.008488j 0.00321017-0.0158806j 0.00302525-0.00498187j 0.0024309-0.0110373j -0.00549193+0.0017647j 0.00785057-0.00172597j -0.00259782+0.00289047j -0.00392426-0.00804567j -0.00849838+0.0217451j -0.0098315+0.0106336j 
-0.00529585+0.000285199j -0.0179691-0.00447258j -0.00501294-0.0232172j 0.00352246-0.0368202j -0.00784108-0.0183393j -0.000694389+0.00893497j -0.0155435+0.0070119j -0.00570494+0.00200261j -0.0185679+0.0106259j -0.0362529-0.011126j 0.00335966-0.00624285j 0.0101958-0.00557884j 0.00469967+0.00342145j -0.00725128+0.0111856j 0.000683419-0.00117599j 0.00864963-0.0104182j -0.00816856-0.000382102j 0.0104121-0.00677831j -0.00221309-0.00385348j -0.00468373+0.00134811j -0.00125281-0.00539845j -0.00201672-0.000265003j 0.00690811+0.00781016j -0.00980911+0.00815435j 0.00259655+0.00399971j -0.00700828+0.000989079j 0.00225165-0.00595799j 0.00205242-0.00372503j 0.00347155+0.00285839j -0.000877605-0.00453325j -0.00814324+0.00515309j -0.000836896+0.00231211j 0.00059547+0.00238294j -0.00225917+0.0166462j 
-0.0105837-0.0130641j -0.0036131+0.0150126j 0.00103481+0.0277385j -0.0170776-0.00562267j -0.0171233-0.00494589j 0.0229287-0.0267087j 0.00263182-0.0169652j -0.001479-0.0100201j -0.0262188+0.0284486j -0.0197822-0.00145312j -0.01949-0.00516987j 0.00890193+0.00452795j -0.00370212-0.00577692j 0.0184198+0.000608617j 0.0054679+0.00136254j -0.00593478+0.00948036j 0.00595042-0.00203088j -0.00445294+0.00931769j 0.0131627-0.0122002j -0.0174038+0.0136504j 0.00659304-0.0067134j -0.00189153+0.00752507j -0.00564396-0.00207402j 0.00449911-0.0111379j -0.00258962-0.000266849j -0.00179844+0.00349368j -0.00418778+0.00101165j -0.00177519-0.00266187j -0.00264195+0.0087161j 0.00201601+0.00133924j 0.00934498-0.00274417j 0.000982647-0.0132281j 0.000146416+0.00688102j 0.00625433-0.0108204j 
0.0233508+0.00184862j 0.00232467+0.00537048j -0.0145025-0.0189165j 0.0357126-0.01949j 0.0293839+0.00168012j 0.0127075-0.0112705j -0.0100091-0.0135663j -0.00323108-0.0131074j -0.0499477-0.000418057j 0.0402543+0.00286377j 0.0153842+0.00847698j -0.00843979-0.0013807j 0.0030651+0.000163726j -0.0204729-0.00998842j -0.00728847+0.00122381j -0.000528802+0.0107763j -0.00778006-0.00014554j -0.00639566-0.00534231j 0.00307989-0.0045621j -0.0148892+0.0100335j 0.0167192-0.0064396j -0.00841175+0.00827568j 0.00908942+0.00487435j -0.000907916-0.00198299j -0.00933008+0.00248082j -0.00474485-0.000492198j 0.00401537-0.0021528j 0.00328361-0.00061963j -0.00540075+0.0116738j -0.00141514-0.00456603j -0.00386884-0.00637398j 0.00911484+0.00243725j 0.00303185-0.00693724j -0.0125456+0.00121187j 
0.00245439-0.00911803j -0.0249197+0.000930485j -0.0121636+0.00610445j 0.0175819-0.0101589j -0.00576816-0.00376372j 0.0424255+0.0276456j 0.0306546+0.00225815j 0.0256736+0.00499712j -0.00993776-0.0278687j -0.00973982+0.00470051j 0.00390111-0.00899155j -0.0112906-0.00475472j 0.00174032-0.00414607j 0.00164549+0.0029456j 0.0036532-0.0049802j -0.0163132-0.00863767j 0.00535061-0.00876493j -0.00555214-0.00559191j -0.000839376+0.00949769j 0.00360734+0.00639805j -0.00369374+0.00161804j -0.00317205+0.00667724j -0.00403118+0.00224253j 0.0119937+0.000571987j 0.00162977-0.00288083j -0.00401909-0.00349263j 0.000975764+0.00280814j -0.0034757+0.000902391j -0.000822237-0.000565748j -0.000274527+0.0045528j 0.00350261-0.00354189j -0.0023522+0.0099588j -0.00659692-0.00259938j -0.00022493+0.0028687j 
-0.000843032+0.0208678j -0.000401072-0.00258273j 0.00782563-0.0117927j -0.00322492+0.0315878j 0.0168973+0.0261111j 0.0299141+0.0185095j -0.00479921-0.00525895j 0.0256384+0.0114789j -0.00977492-0.0261316j -0.0113446+0.0115833j -0.0127296+0.00123957j 0.00487366+0.000218047j -0.00998471+0.005964j 0.0170356+0.00408793j 0.00547437-0.00175587j -0.000844036+0.00778678j -0.00545494+0.00538754j 0.00845764+0.000263826j 0.0184632+0.0105025j -0.00128586+0.00933659j -0.00550747-0.00204342j 0.00201357-0.00475852j -0.00460492-0.00629137j -0.0101414-0.00288012j 0.00477653+0.00327865j 0.00335307+0.00128081j -0.00113703+0.00630763j -0.0111226+0.00144006j 0.00209454-0.00285139j -0.00911153-0.00487617j -0.00712038+0.000524626j 0.00222933-0.0088106j -0.00704126+0.00775261j 0.0149353-0.00558972j 
-0.0105116-0.00173653j 0.0054315-0.0143597j 0.0143472-0.0016857j -0.0293461+0.00539057j -0.01345-0.0158144j 0.0177802-0.00805147j -0.0139484+0.0312322j 0.0101242-0.0139325j 0.00108323+0.00497069j 0.00923771-0.0149649j -0.0225921+0.0188179j -0.0132335-0.0179494j -0.0156441-0.00491076j 0.0130725-0.0162492j -0.000217183-0.00231282j -0.0133327-0.00710072j -0.0112153+0.00789998j 0.00533755-0.0182755j 0.00408894+0.0106982j 0.000991882+0.0111025j 0.00461149-0.00229917j -0.0067197-0.00571517j 0.00111161+0.00131387j -0.00347166+0.0129453j 0.00114245-0.000839135j 0.000224572-0.0120448j -0.00424274-0.00102388j -0.00950259+0.000975045j 0.00141394+0.0053099j -0.00229326-0.00252699j 0.00112903-0.000559904j 0.00554491+0.00607761j -0.0036126-0.0111288j 0.00519617-0.00165841j 
