-0.166155+0.0220275j 0.0170169+0.17035j -0.0566808-0.0883171j 0.107795-0.0256194j -0.0828683-0.0595767j 0.0525927+0.00448885j 0.0406029-0.066413j -0.00607058+0.00519298j -0.0593992-0.0556134j -0.0941869+0.096452j -0.0236445+0.0754303j -0.0453215+0.0546187j -0.0173906-0.16137j 0.0566491+0.0475883j 0.182609-0.0859761j 0.0929396+0.163141j 0.0765737+0.0253916j -0.0359016+0.0571098j -0.120376-0.0542464j -0.0706632+0.096546j 1.76716e-05+0.0149517j -0.0280868-0.0865465j 0.0397714+0.0680639j 0.0235654+0.0443615j -0.0163508+0.00669819j 0.0611736+0.0964106j 0.0422449-0.00961742j 0.154327-0.00216588j -0.0314318-0.0116289j 0.0136943+0.0205083j 0.0121638-0.0588266j -0.000353703+0.0913406j 0.0225424-0.0703526j 0.075095-0.0177681j 0.0338147+0.0177937j -0.0226465-0.0238541j -0.0452734+0.0344636j -0.00817848+0.025043j 0.0280313-0.0416087j 0.0592993-0.015343j -0.0516185+0.091007j -0.0157603-0.0576419j 0.0502586-0.00591234j -0.0386974+0.132636j -0.036188-0.0498823j -0.125684-0.0838906j -0.130218-0.0174246j 0.156677-0.235664j -0.0663519-0.0156424j -0.0722671-0.0447434j -0.0333723-0.0245232j -0.0234763+0.00059953j 0.00938996-0.0180137j 8.60687e-05-0.00335908j -0.0365919+0.00438375j 0.0112858-0.104489j -0.0707827-0.0314635j 0.0263688+0.0302742j -0.152543-0.170753j -0.00637825+0.0499408j 0.00104635-0.249735j 0.0267196-0.0650568j -0.168275-0.0445579j -0.13982+0.119664j -0.0100704-0.0786797j 0.0998456-0.0402255j 0.178811+0.0463626j 0.0715145-0.0885574j -0.0838591-0.0769687j 
0.0589127+0.182126j 0.175959-0.0908467j -0.000912649-0.158744j 0.107415+0.0709262j 0.0451066+0.0140323j 0.141131+0.0877117j 0.0385724-0.0820078j -0.114592+0.00434635j -0.0409935-0.0581954j -0.153444+0.0556339j 0.0378879+0.0227451j 0.0121708+0.0109159j 0.0852063-0.267156j 0.0870755+0.0588609j 0.0449139+0.0267445j -0.0588767-0.00980442j -0.0168713+0.218873j 0.0680152+0.0559464j 0.00211773+0.000902169j -0.118588-0.0442422j 0.00625799-0.104674j 0.0771693-0.0160621j 0.211531+0.0818251j 0.0675666+0.0539644j 0.0120961+0.038427j 0.00868546+0.0996032j -0.0237983+0.0572728j 0.044299-0.13586j 0.00434562-0.0037277j 0.00941619+0.0500855j -0.0150251-0.181442j 0.124351-0.0308654j -0.0948333-0.0241723j 0.0485274+0.0772669j 0.0460478-0.054868j -0.0239998-0.0599601j -0.0967066-0.0272102j -0.0162751-0.0344748j 0.0623233+0.0133844j 0.0516857-0.0242419j 0.093464-0.0437386j -0.00449415-0.0867963j 0.164546+0.0846793j -0.208825+0.164126j 0.103534+0.153727j -0.0559974+0.0188181j -0.00983524-0.0195029j -0.0713868+0.0781155j 0.105552+0.0574949j 0.0556158-0.0102096j 0.0143253+0.018078j -0.0219833+0.00689285j -0.0269528+0.0120977j 0.0200332-0.00891505j -0.0430116+0.015619j 0.00223004+0.0674067j 0.0394308-0.0198701j 0.0321002-0.0225982j 0.0537583+0.079046j 0.024644-0.0149809j 0.025686+0.125328j 0.0262679+0.00507525j 0.0607464-0.0119206j 0.106304-0.0944913j 0.0217912+0.0392053j -0.0403426+0.00674307j -0.0598954-0.0635463j -0.122006-0.0339443j -0.0501289+0.103497j 
-0.0639099-0.0564004j -0.0748756+0.0710977j -0.201195-0.00136375j 0.0564238-0.170392j -0.190099-0.203853j -0.139185-0.0580969j 0.0788722+0.00405816j -0.0220358-0.119691j 0.04306-0.0630375j -0.0458072+0.0764426j -0.173663+0.188511j -0.0735894-0.000472161j 0.0356674-0.0359562j 0.225442+0.0143258j -0.148299+0.0371348j -0.000681878-0.182767j -0.0562754+0.0231204j 0.00899345+0.00663369j 0.0263146-0.0061081j 0.0180397+0.038633j -0.0294591-0.140217j 0.044462+0.0938379j 0.101352+0.1214j 0.00918765-0.0800694j 0.102988+0.0172334j -0.0326079+0.158782j -0.168803-0.0303768j 0.101213-0.0311055j -0.240657+0.0508196j 0.170802-0.00707917j -0.0437598+0.0188621j -0.158799-0.0131415j -0.0945317+0.0332267j 0.0368266+0.15187j -0.023175+0.253771j -0.0691038+0.167737j 0.04109+0.0215318j 0.0865576+0.0194729j 0.0103351+0.0255247j 0.0649984+0.124432j -0.00449252-0.0267179j 0.0693826+0.0434639j -0.087164+0.01572j 0.0075138-0.0660401j 0.0572365-0.0827423j 0.0908713-0.000441336j -0.021444-0.05854j -0.0382379-0.0202326j 0.0240905-0.00221298j 0.00147505+0.0246742j 0.000471308+0.0141321j 0.00851989+0.0383438j 0.00958113+0.0373043j 0.0136461+0.00753482j 0.00788617+0.0124581j 0.0202886+0.0317623j 0.00495735+0.0011306j 0.0133369-0.0201454j 0.0163827+0.0397241j -0.0233914-0.000956105j -0.0228073+0.0485639j 0.00608871+0.000633804j 0.0190763-0.00685975j 0.00573984-0.00334415j 6.96256e-05+0.00919012j -0.0134978+0.00628715j -0.0176813-0.00556701j -0.00609352+0.00613496j 0.00625409+0.0090186j 
0.0214476+0.0870194j 0.113689-0.0503523j -0.15375-0.060446j 0.0248521-0.143206j 0.0186307-0.0270509j 0.0484376-0.0326555j -0.0503326+0.0476062j 0.103733+0.0308289j -0.023239+0.0430037j 0.0116802-0.049674j -0.0171101+0.00806237j 0.059668+0.105718j 0.0615364+0.0393122j -0.0352098+0.0193995j 0.0281824+0.0955188j -0.0950022+0.034627j -0.0459465-0.0121594j -0.0556469+0.101942j -0.0773169-0.0841036j -0.00545733-0.0606577j -0.0491728+0.0497607j 0.00101106-0.0414005j -0.0890729+0.0121021j -0.0273041-0.0468861j -0.0191935+0.0659965j -0.0447393-0.103909j -0.0176667-0.11981j -0.0368071-0.0502603j 0.00590394+0.0242247j -0.0053946+0.0165941j -0.00145851+0.158189j -0.018935+0.0401376j 0.00216708-0.0671376j 0.0173342+0.0249762j -0.0469117-0.0288533j -0.00356396+0.0619366j 0.0693281-0.0232939j 0.0697685+0.0850791j 0.0996513-0.0432214j -0.0376066-0.140554j -0.109089-0.0537284j 0.128619-0.131927j 0.00653827-0.000110835j 0.121939-0.143412j -0.0591614-0.0664515j 0.0236121+0.0662391j 0.114102-0.0592437j -0.0207088-0.0353656j -0.0090441-0.0282261j 0.0674316-0.00687302j 0.00525554-0.00986961j 0.0230026+0.00386489j 0.0408522-0.0120923j 0.0672589-0.0204652j -0.0455938-0.0025057j -0.0617518+0.00564064j 0.0564829-0.00521919j 0.0196619-0.0234407j 0.0382729+0.0748227j -0.096074-0.0582197j 0.0583744-0.00279656j -0.0524912-0.0222138j -0.000789454-0.127636j -0.100484-0.0312518j 0.0351629+0.007295j -0.00143179+0.0016051j 0.0292963+0.0555789j -0.211259-0.159134j -0.189286+0.181018j 
-0.0679168+0.0778295j 0.0270189+0.0500854j -0.0987922+0.0657976j -0.0997765-0.0182674j 0.0462049-0.0753549j 0.125371-0.0259754j 0.0203478+0.00303469j 0.0720972+0.00611373j -0.0321552-0.0440006j -0.0274307+0.00577639j -0.0223452-0.052126j 0.0511736+0.0304792j 0.0472248+0.0189236j -0.0122088+0.0039493j -0.082895-0.0742266j -0.00832401+0.051693j 0.151701+0.126883j 0.0833646-0.195946j -0.000417301-0.0788266j -0.00770402-0.146675j -0.0267629+0.130932j 0.0690938+0.0999001j -0.0190635-0.087604j 0.00801319+0.109033j 0.0119088-0.0269728j -0.0271959+0.04726j -0.0218566-0.135843j 0.0471519+0.0180146j -0.00226197+0.0741045j -0.017185-0.0333117j -0.00570876-0.0336616j 0.0423065-0.0896586j 0.0360834+0.0635244j 0.0132356+0.0310374j -0.0291005+0.0297306j 0.00765321-0.00540603j -0.0204355+0.0411731j -0.0249292+0.0782428j 0.0146945-0.0227885j 0.0330161+0.0865333j 0.0116289-0.159261j 0.0654904-0.111217j -0.124682-0.0485166j 0.0139075-0.0523118j 0.0277665+0.0411145j 0.0133618-0.10305j -0.126235+0.0996524j 0.0228363-0.00145612j -0.0484301+0.0818099j -0.00136401+0.139713j -0.0512185-0.0779962j -0.0660532-0.00483618j 0.145205+0.0061807j 0.00567972+0.00531095j -0.0993998-0.00619999j -0.37493-0.0524508j -0.0354733-0.0486163j -0.169991+0.00944684j 0.0205937+0.121454j 0.0433959+0.237728j 0.143269-0.116833j 0.0830493-0.0749198j -0.0241888+0.0461262j 0.0962228-0.0179864j 0.0704101-0.0120576j -0.000613074-0.0133772j 0.00416244-0.0596077j -0.00511202-0.0246465j -0.0222793-0.000758133j 
0.0072858+0.00378978j -0.00519303+6.423e-05j 0.0280715+0.0241218j -0.024081+0.0322253j 0.0212953+0.00802747j 0.00326048-0.00266515j 0.00153463-0.00319761j -0.0133465-0.00986715j 0.00380249-0.00863964j 0.00615802+0.000494746j 0.00558825-0.0213198j 0.00124023-0.017572j 0.00197436+0.0156837j 0.0031665-0.00238863j -0.0495169-0.0197278j 0.00462533-0.0272234j 0.0164612+0.0282651j 0.0188089-0.0257669j 0.0141315+0.0340648j 0.0369988-0.0194335j 0.00183473+0.00393501j 0.0196517+0.0394106j 0.0339796-0.0284551j 0.0105567+0.0141907j 0.0145278-0.00639005j -0.00492113+0.0198055j -0.00755338+0.00275067j -0.0159297+0.0185147j -0.0148099+0.0127907j 0.00806941-0.00781629j 0.00161231-0.0373808j 0.019364-0.042652j -0.0132174+0.0439807j -0.017576+0.00814071j -0.0116527+0.00943693j 0.00209308+0.00647677j -0.00370967+0.00820254j -0.0009702-0.00953366j -0.00672348+0.00102868j -0.0226823+0.0120612j 0.0211635-0.0154493j -0.00246524-0.00838049j -0.00586589-0.014807j -0.0288765-0.00925193j 0.00731009+0.0432166j -0.00761834+0.0114165j -0.00669632+0.013066j -0.0396414+0.0664265j 0.0198292+0.0242293j 0.011401+0.0520224j -0.00269389+0.00572059j -0.0159654+0.0111323j 0.0201393-0.00200158j -0.00603637-0.0302658j -0.00962257+0.0113193j -0.0506914+0.00895791j 0.0068878-0.00238379j -0.0426173+0.00528552j 0.0440699+0.0362188j 0.0507095+0.053843j 0.0469745+0.0433362j -0.00887261-0.0159627j 0.0084294+0.0270423j 0.0382073-0.0165378j 0.0100116+0.0203193j -0.021839+0.00940067j -0.0206601-0.0034783j 0.0409521+0.0311348j 0.0462933-0.0339946j 
0.00356938-0.0478886j -0.0674646+0.0170602j 0.0750727+0.0500098j -0.0256037+0.0572605j -0.00588796+0.00571947j -0.0490943-0.00192486j 0.0207614-0.00219724j -0.0451843-0.0185885j 0.0218947-0.00482065j 0.0161878+0.0131012j 0.00207284-0.012823j -0.0157879-0.0630017j -0.0360661+0.0134484j 0.0157906-0.00879421j -0.0227263-0.054619j 0.0607206-0.0195291j 0.0236828-0.00471019j 0.0486948-0.0737931j 0.0561459+0.0471325j 0.017522+0.0227238j 0.0360782-0.00158588j 0.00446977+0.0187329j 0.0244298-0.0125929j 0.00912245-0.00255479j 0.0179695-0.027943j 0.0198381+0.0368374j 0.00237007+0.0888616j -0.0033646+0.0324797j -0.00419849-0.0136733j 0.00177634-0.0166531j 0.00320727-0.0559158j 0.00333492-0.00661219j 0.0122265+0.0332781j -0.0127689-0.0183962j 0.0130319+0.0291856j 0.0123693-0.0292878j -0.033307+0.0148464j -0.0355599-0.0452668j -0.0553826+0.0244038j -0.00162808+0.0906374j 0.0148686+0.0235284j -0.0410776+0.0681378j -0.030246-0.0351079j -0.0422465+0.0241079j 0.0117642+0.0134184j -0.00288244-0.0350662j -0.029868+0.0394772j 0.00485329+0.0305194j 0.000349391+0.00137126j -0.0375621-0.0148368j -0.00736503+0.0122109j 0.000142414-0.00162929j -0.0300052+0.00859031j -0.0214919+0.0117271j 0.0716365-0.00567895j 0.0486991+0.00018684j -0.0372984+0.0173832j -0.0174094+0.0129197j -0.0199858-0.0460305j 0.0494731+0.028006j -0.0227029+0.0389604j 0.0211939+0.0119275j 0.0129375+0.0651851j 0.0426508+0.00443442j -0.0320299-0.000689244j -0.00357573+0.00828895j -0.0305383-0.0159336j 0.111712+0.0541778j 0.0743371-0.0903698j 
0.00169367-0.00229586j -0.0034016-0.00856574j -0.00883812-0.00853747j -0.000384256-0.00785623j 0.0217685-0.00989557j 0.0112056-0.00414257j -0.00500708-0.00320575j -0.0102665+0.0173577j 0.00852949+0.00320801j -0.00427665-0.00410102j -0.00406907-0.0138912j 0.0156672-0.0193669j 0.00987568+0.00136491j -0.00540002+0.00652588j -0.00188252-0.000340677j -0.00950339-0.00307545j -0.0196499+0.0126667j 0.00102554+0.0130265j 0.0058726-0.00864591j -0.00605273-0.0113043j -0.00560807-0.00408121j -0.002777+0.00325156j -0.0115821-0.00358227j 0.0100932-0.00444066j -0.0203833-0.0185457j 0.0167911+0.000785729j 0.00163996-0.00124151j -0.010231-0.00278407j -0.000273817+0.00980492j 0.0173215-0.00447808j -0.0036552+0.00889594j -0.00857351-0.00888686j -0.0241031+0.000834061j -0.0194489-0.00425897j 0.00417911-0.0049818j 0.011217+0.0106777j -0.00306137+0.0112086j 0.00754081-0.0102747j -0.00355681+0.00277197j 0.0227168-0.0228099j -0.0112041+0.0109641j -0.00408442+0.0144698j 0.00286298+0.0320772j 0.00798332-0.0138181j -0.005322-0.0142447j 0.00489907-0.00109519j -0.00390651-0.000202361j 0.00216445-0.00551655j 0.00292841-0.00213865j -0.00918915+0.0148689j 0.00427199-0.0055871j -0.00551978+0.00916509j 0.0133828+0.0180114j -0.00792056+0.00271962j -0.0240939+0.00749475j -0.0153237+0.00222297j 0.0093596-0.0053089j 0.00579434-0.00677994j -0.00147664+0.0256021j -0.000526559-0.00784509j -0.00470439-0.0205618j -0.0165101+0.00162238j 0.00459685+0.00186291j -0.00970036+0.00115061j 0.00712073-0.00119237j 0.00200813-0.00265981j -0.000686551-0.00129253j -0.0108965+0.00475877j 0.00424881+0.00946411j 
-0.00954373+0.0070674j 0.00225363+0.00888943j 0.00618219+0.01297j -0.00917572-0.00885135j -0.00124471-0.00421228j -0.00479106-0.00313816j -0.012223-0.00402418j 0.00150724+0.0173601j 0.00448399+0.00223085j 0.016133+0.0143052j 0.000428725-0.00282902j 0.018331+0.00968991j 0.0182301+0.0122101j 0.00987874+0.00239362j 0.00643136+0.0171647j 0.00698287+0.0102866j 0.0265098+0.00935325j -0.0081139-0.0250239j -0.00037092+0.000624698j -0.00359436-0.0162013j 0.00305959+0.00684609j -0.00078419+0.00302307j 0.0127547+0.000111351j 0.00421984-0.00894917j 0.00312736+0.00504298j -0.023808+0.0037638j -0.00192885-0.00676776j 0.00016895-0.0203086j 0.00495636-0.00685614j 0.0177924+0.0105189j -0.00488129+0.0050747j 0.00658614-0.0152517j 0.0217511-0.0242176j 0.0153772-0.00121509j -0.00112418+0.00814954j 0.00606902+0.000166302j 0.00426464+0.0137516j -0.00735052-0.0150547j 0.00415522+0.00158496j -0.00230633+0.000561579j 0.00296196+0.0129735j 0.00125571+0.00427616j -0.0120035-0.0175124j 0.0129145-0.00863641j 0.000939125+0.00393708j 0.00294587-0.00849808j 0.0100622-0.00465527j 0.000175712+0.00106819j -0.00395047-0.00196684j 0.00195891-0.0194351j -0.00240642+0.0093629j 0.0111124+0.0187593j -0.0125972+0.0180626j 0.00812765-0.0028049j 0.0170722-0.00603226j 0.00624142+0.00406484j -0.00686096+0.00105891j -0.00795923+0.000211042j -0.00162122-0.0114701j -0.0118725+0.00467725j 0.00351324+0.00691478j 0.0201233+0.0033633j -0.00220871-0.00134058j 0.0123866+0.000221415j -0.00390306+0.00278123j 0.000526235+4.61001e-05j -0.000227704-0.00642226j -0.00204072-0.00514247j -0.00655352-0.00152499j 
0.00356425-0.0357515j -0.0368458-0.00267665j 0.024621+0.0262031j -0.0158412+0.0121814j -0.00607876+0.0113838j -0.0142971+0.0120099j 0.0056229-0.00495633j -0.0147129-0.0018739j 0.00888652-0.00392301j 0.00845863+0.00728785j 0.00768095-0.000488224j -0.00821101-0.0135347j -0.00945679+0.00278589j 0.00591389-0.0168241j 0.00594316-0.00710384j -0.00346682-0.0112143j -0.00620615+0.00855287j 0.0120631+0.00943225j -0.00148148+0.017027j 0.000779898+0.0130175j 0.0048456-0.0118544j -0.0151308+0.0194735j 0.00104493-0.00323925j 0.00277822+0.0211936j -0.00825241-0.0133877j 0.0053149+0.0196841j -0.00651841+0.0253233j 0.0104732+0.0404482j 0.00515349-0.0109445j 0.00396168-1.91994e-05j -0.00294272-0.0383618j -0.000719394-0.0291945j -0.00512484+0.0170496j -0.00378104-0.0121467j 0.0119304+0.00927167j -0.00327852-0.0193525j 0.00908214-0.00502153j 0.00759825-0.0165996j -0.0163091+0.0255116j -0.00523559+0.0216617j 0.0521467+0.0228666j -0.0145714+0.0207767j -0.00469556+0.0125432j -0.00730624+0.00643294j 0.0119589-0.0224598j 0.0122464+0.0122084j -0.0261462+0.0240527j 0.0104739+0.0028856j 0.0140613-0.00140475j -0.029097+0.0323628j 0.00647236-0.0149109j -0.0264525-0.00313848j 0.0175945+0.00897925j -0.0244488+0.0153829j -0.0175684+0.0169125j -0.00847088-0.00358285j 0.00546584+0.00724185j 0.0121038+0.00256969j -0.0118311+0.024743j 0.033967-0.00130126j -0.0104482-0.0252959j -0.0412069-0.00116901j 0.0287843+0.0303719j -0.0155593-0.00911559j 0.00185793-0.00723931j -0.00306415+0.00375829j -0.0258362+0.00771927j 0.0340972+0.0180186j 0.0248848-0.017323j 
0.0162659+0.00361864j -0.00106691-0.0225857j -0.0125873+0.00289862j -0.00610108-0.0106685j 0.00397164-0.00572565j -0.000475997+0.00809559j -0.00403814+0.00400476j 0.00417413+3.69775e-05j 0.000839131+0.00151705j -0.0104384-0.00806706j 0.0020302+0.00131787j 0.00177613-0.00246801j 0.00242638-0.0049061j -0.00122444+0.00537279j 0.00211988+0.011984j -0.0149745+0.0013974j -0.00506098+0.00134091j 0.0156458-0.0194298j 0.0190854-0.0135657j -0.0197804-0.0163311j 0.0115244+0.0046132j 0.00848329+0.00749172j -0.0112292+0.00443591j 0.00524191+0.00759235j 0.00319703-0.000957946j -0.000782612-0.00813432j -0.0163391+0.0149394j -0.00887047-0.0141311j 0.0237415+0.000579434j -0.0129954-0.00117132j -0.00890527-0.00125548j -0.000283515-0.00641571j -0.00156337-0.00319234j 0.00833631+0.00599909j 0.0106742-0.0107283j -0.00415105-0.00716603j -0.00562695-0.00979194j -0.00199032+0.00652972j 0.00323828+0.0143719j 0.0149886+0.0196865j 0.016907-0.0133525j 0.00598853+0.0116448j -0.0215094+0.0157236j 0.000768526-0.000885862j 0.00553978-0.0190206j 0.0152954+0.00410975j 0.00578206+0.0105678j 0.00143782-0.000798547j 0.00857934-0.00753642j -0.01184-0.00873771j -0.000383911-0.00478565j 0.00684678-0.0252532j -0.00865321+0.0186506j -0.00107697+0.0324903j 0.000751565-0.00453825j -0.0058839+0.0171977j 0.00224398-0.0137302j 0.00583935-0.022005j -0.0115903+0.0130998j -0.0202196-0.0204272j -0.0162399-0.00998684j 0.0227369+0.0256431j 0.020943+0.0166932j 0.0138939-0.0112276j 0.00112351+0.00105769j 0.00757368-0.0104347j -0.0274435-0.0249559j -0.0199981+0.001878j -0.00466677+0.0153371j 
