0.0106231-0.0130006j 0.0212651+0.00329987j -0.000639588-0.000887089j 0.00845139+0.0190767j 0.00884491-0.0112934j -0.023776+0.00844857j 0.0283382+0.043654j -0.00399264+0.00143435j 0.0231423-0.0478162j -0.00252336-0.00271975j -0.0477555+0.00523099j 0.0115629+0.0209925j -0.0139041+0.00288327j 0.0214797-0.00406577j 0.0123686+0.039141j 0.0130728+0.0467001j 0.021147+0.00595831j -0.0307216+0.0188936j -0.00512247+0.00796031j -0.0261753+0.0156818j -0.0430681+0.0291613j -0.0449651+0.0398565j 0.0202789-0.0258956j -0.00225321+0.00106796j 0.010397+0.00258717j 0.0195602+0.0115535j 0.00597425+0.0166387j -0.0181941-0.0127472j -0.0808439-0.0528987j -0.0214228-0.0107443j 0.0154727-0.0306706j -0.0234638+0.0563559j 0.00546164+0.0369537j 0.0296581+0.00340838j 
-0.0109368-0.0236626j 0.0391598-0.0237038j -0.000112485-0.00194815j 0.0312305+0.0339937j 0.0163927-0.0237284j 0.0100375-0.00590886j -0.00473686-0.0130196j 0.00189034+0.000687904j -0.000894249+0.00411983j 0.00151249-0.00113464j 0.0040192-0.00917762j -0.00745418-0.00171055j 0.0131322-0.00718214j -0.00173037+0.00226127j -0.0153756-0.0361125j -0.00464219-0.00320194j -0.0160298+0.00254203j 0.0338335-0.0241182j 0.0170172-0.0128744j 0.0203449-0.0194917j 0.00679747-0.00968751j 0.00811749-0.0152147j -0.00387353+0.0116203j -0.00432401-0.00672933j 0.0112668+0.0136864j 0.0151823+0.0131401j -0.0130737-0.0108605j 0.00754385+0.00551301j 0.0488532+0.0242039j 0.0161708-0.000558309j 0.00197707-0.00994219j 0.00879781-0.0426789j 0.00890174-0.0216137j -0.0225564-0.00455476j 
-0.00300909-0.00207936j 0.00930456-0.0107822j -0.000140312-0.00118509j 0.0133166+0.0119677j 0.00679863-0.00871192j -0.0120018-0.0113508j -0.0271141+0.0100785j -0.00156463-0.00191141j 0.00272143+0.0346656j 0.000410715+0.00272271j 0.0313479+0.00086023j 0.00325883-0.0170803j -0.0188047+0.0173069j -0.0118228-0.000433017j 0.0292973+0.0559442j -0.0065305-0.0264429j 0.0213743-0.0106569j -0.0559075+0.0456895j -0.0370149+0.0283711j -0.0272754+0.0344199j 0.0121566-0.00539104j 0.0093536+0.000294625j -0.0040423-0.00518767j 0.0144116+0.0144444j -0.0384713-0.0292453j -0.0565408-0.0317219j 0.0267546+0.0114714j -0.00201382-0.00532325j -0.0507904-0.0225115j -0.0200696+0.0100782j -0.00736775+0.0512198j -0.00340278+0.0559056j -0.0267919+0.0269425j 0.0309528+0.00905402j 
-0.00694815+0.00449372j -0.00169106-0.00307599j -0.00194056+0.000256054j -0.000954082+0.00226198j 0.00412854+0.00135177j 0.0176444-0.00761847j -0.0102414-0.0184259j -0.0077851+0.00202041j -0.00473029-0.0014931j 0.0015719+0.00831882j -0.0137629-0.00686947j -0.00307173+0.017794j 0.0126599-0.00363145j -0.0104136+0.00423503j -0.00447099-0.0292038j -0.00533704-0.017569j 0.00311477-0.000238792j 0.0150948+0.00138303j 0.0164308+0.00116679j 0.00899867-0.0049608j 0.00987299+0.00331204j 0.017602-0.00572016j -0.00632636-0.00863527j 0.00578684-0.0236982j 0.00353421-0.00390075j 0.00606246+0.0010404j 0.00114376+0.0067637j -0.00116479-0.00574493j -0.012342+0.00124035j 0.0191719+0.00232262j 0.00516755-0.00968496j -0.026146+0.00785092j -0.00868676+0.0140705j 0.0129175+0.0219733j 
-0.00564943-0.0262041j 0.0166146-0.00291233j 0.00182314-0.0106603j -0.00950178-0.00842481j -0.0214398+0.0150173j -0.0104772+0.0115834j 0.0230516+0.0129551j 0.00956831-0.00777902j 0.0119492-0.00419103j -0.00839558-0.0114174j 0.0177515-0.000358743j -0.000347001-0.0209137j 0.00395574-0.00549702j 0.0142781-0.0079526j -0.00456442-0.0036707j 0.00945557+0.0220096j 0.00384224+0.00324435j 0.00460993-0.000470758j -0.00301466-0.00202673j 0.00730992-0.00184267j -0.0102684-0.00232778j -0.0129154+0.000884307j 0.00656688-0.0116176j 0.00276188+0.0125004j -0.00540294-0.00071764j -0.00835161+0.00410262j -0.0100616-0.00260313j -0.00392768+0.00115211j 0.00255103-0.00261068j -0.00522836+0.0055155j -0.014248+0.0148347j 0.00322627+0.00115518j -0.0129001-0.0148948j -0.00491373+0.00750068j 
-0.0022911+0.00240734j -0.00118745-0.00110984j -6.2225e-05+0.000355289j 0.000567754-0.000693051j -0.000475181-0.000870248j 0.0053493-0.0130732j -0.017536-0.00817781j -0.0077361+0.00973834j -0.00980053+0.002211j 0.0080424+0.00872565j -0.0186889-0.000815913j -0.00570324+0.0256944j 0.00363382+0.00526071j 0.0340021-0.0232367j 0.00438909-0.00840977j 0.0313264+0.0472697j 0.00946311+0.0101672j 0.0141702+0.00438347j -0.00668678-0.0009112j 0.0227747-0.00464499j -0.0193314-0.00674811j -0.0219878-0.000383139j 0.0119519-0.0298339j 0.00878145+0.0285912j -0.0186914-0.00226469j -0.025736+0.00795957j -0.0200203-0.00556141j -0.00911105+0.00634519j 0.00925314+0.00356948j -0.0118952+0.0111287j -0.0293529+0.0448449j 0.0193928+0.00282659j -0.0283818-0.0277991j -0.00672143-0.0010978j 
-0.0236549-0.0225506j 0.019683-0.0113896j -0.00181718-0.0159416j -0.019118-0.00592452j -0.0223906+0.0264338j -0.00303354-0.0193406j -0.0166082-0.00198398j -0.00179311+0.00652077j -0.00503644+0.00483132j 0.0060778+0.00478535j -0.0102797+0.00255264j 0.00188784+0.0157719j 0.00249519-2.79386e-05j -0.00510702+0.00530506j -0.00224948-0.0046755j -0.00798944-0.0092141j -0.00183681-0.00229436j 0.00293892-0.000915246j 0.00479394-0.00108879j 0.000624127-0.00131965j 0.00625341-0.00135933j 0.00692973-0.00525919j -0.00423216+0.00461652j -0.00400647-0.00946467j 0.00083108-0.000496589j 0.00297759-0.00158331j 0.00441319+0.000171677j 0.000373875-0.00132266j -0.00174382+0.00559299j 0.00581724-0.0047266j 0.00364027-0.00801979j -0.0031284+0.00489812j 0.00546479+0.00752743j 0.00743067-0.00243409j 
0.00300594-0.000589732j -0.0022452+0.00226027j 0.00125767+0.00256405j 0.00375214-0.00122401j 0.00164824-0.0043943j 0.0131982+0.00649027j 0.0116159-0.00722166j 0.00288088-0.00823138j 0.00853024-0.00447446j -0.00639435-0.00472053j 0.00914185-0.00593675j 0.000471979-0.0121408j 0.00976528-0.0246718j 0.00827023-0.00681492j -0.0333462-0.0249548j 0.00652318+0.0115753j 0.00914144-0.00176658j 0.0218615-0.00899839j 0.00916043-0.0101256j 0.0144566-0.0164222j -0.00260853-0.00371429j -0.00419978-0.0111921j -0.0109281-0.0195012j 0.000856055-0.00572872j -0.0120398-0.00205022j -0.00892234+0.00802619j -0.0059619+0.00423999j -0.0096554+0.002097j -0.005345+0.0113635j 0.0101026+0.00141698j -0.0113609+0.0227362j 0.000541299+0.0256466j -0.0191659+0.00613609j 0.0239938+0.012345j 
0.00439547-0.00152511j -0.00103103-0.000466434j 0.000146548+0.00213257j 0.00152147+0.000185974j 0.00196602+0.000651919j -0.0112044+0.00551494j -0.00016718+0.00194726j 0.00418723+0.00557801j -0.00573229+0.00330158j 0.00426193+0.00155208j -0.00203191+0.000603976j -0.00710879+0.00800252j -0.0113033+0.00148711j 0.0068898-0.0020691j 0.00214525+0.0123095j 0.00273032+0.00609844j -0.00781331-0.0101252j 0.00156904-0.00353976j -0.00353438-0.00662092j 0.00319176+0.00451928j 0.0030273-0.00356806j 0.000151629-0.00179895j -0.00690793+0.00282172j -0.0112464-0.00136831j -0.00338496+0.000411368j 0.000180051-0.00035132j 0.00238486+0.000232766j 0.000883143-0.000120229j -0.00437793+0.00865987j 0.0056286+0.000496378j 0.00355912-0.00254437j -0.00622177-0.000577875j -0.00230065+0.00779584j 0.00266941+0.011978j 
-0.00172766+0.00357309j 0.00100377-0.00051703j 0.00160457+0.000644412j -0.000563976+0.00124396j -0.00131764+0.000237561j 0.00560324-0.00703745j -0.00154067-0.00393365j 0.00470843+0.00291992j 0.000680275-0.00379673j -0.00269695-0.00720553j -0.00190497-0.00176276j -0.000841991-0.00250877j 0.00561901-0.00269339j -0.00467253+0.00377843j -0.00235883-0.00948364j -0.00131653-0.00301308j -0.00422348-0.0108043j 0.00132094+0.00217496j 0.00100357-0.00545624j 0.00443305+0.00385064j -0.00139156+0.0029393j 0.00107545+0.00398405j -0.00543111+0.0035283j -0.0054616+0.0143034j -0.000889175+0.0036259j 0.000382288+0.00264936j -0.00166821+0.00144189j -0.00378541-0.00302003j -0.00203467-0.0051727j -0.0194599-0.00205186j 0.0043517+0.000167246j -0.00281375+0.00175403j -0.00304149-0.000799237j -0.00300069+0.00154864j 
-0.00432586-0.0170214j -0.00742601+0.00254986j 0.0144979-0.00188952j 0.00127058-0.00751685j 0.0149959-0.00231773j -0.00996186+0.0196928j 0.00567273-0.00162565j 0.0231559+0.0011881j -0.00658824+0.0143147j 0.00603917-0.00634387j -0.000116507-0.000706132j -0.0117957+0.0169508j -0.00281485-0.00630017j 0.0119743-0.00755742j 0.00449285+0.00646089j 0.00706706+0.00790784j -0.0068513-0.00398916j 0.000685272-0.000469985j -0.0115945-0.00883417j 0.010905+0.00650983j 0.001838-0.00697059j 0.00309729-0.0025226j 0.000778277+0.0039886j -0.01223+0.0103999j -0.00221847+0.00222624j 0.00039553-0.00392617j 0.000843905-0.000888025j 0.00237626-0.000652794j 0.00368422+0.00688898j 0.00140333-0.00015057j 0.00656169-0.00361495j -0.00686353-0.00867114j 1.30649e-05+0.0111069j 0.00213516+0.00603753j 
