0.000679167-0.000651184j 0.00175675+0.000133778j -0.00247942-0.000393942j 0.0021796+0.000334153j -0.000291892+0.00124566j 0.00216098+0.000327333j 0.000261269+0.00168198j 0.00315453-0.000637216j -0.000234434-0.00344252j 0.00231414+0.000158848j 0.000434329-0.00228665j -0.00293124+7.79263e-05j -0.000167215-7.20303e-05j 0.000499147+0.000724658j -0.000440713-0.00320018j 0.00232864-0.00184227j -2.8923e-05+6.44453e-06j 8.63162e-06+0.00132518j -0.00344756-0.00109417j 0.000869205-0.000862744j -0.00240197+0.00497915j 0.000339596+0.0039296j -0.00594937-0.00443339j -0.00438245+0.00362775j 
0.00137165+0.00297932j 0.000816008+0.00418223j 0.000602564-0.00602251j -0.00126156+0.00601537j -0.00342229-0.00105998j -0.00108545+0.0073827j -0.00581317+0.00116513j 0.00243163+0.0109915j 0.0126131-0.00151915j -0.00151819+0.00363573j 0.0021077+0.000240124j 0.00227643-0.00558323j 0.00010626-0.000179131j 0.000356837-0.000783197j 0.00458003+0.000633628j 0.000786898+0.00631258j 2.95561e-05-0.000228923j -0.00367002+0.00137025j 0.00314499-0.00578907j 0.000619853+0.00391477j -0.00585972-0.0152519j -0.0114182-0.00123735j 0.0214906-0.00472658j -0.0022476-0.016993j 
0.00103159-0.000357963j 0.00145214+0.00460544j -0.00505617-0.00237868j -0.003878+0.00885072j -0.00643762-0.00423305j 0.00114477+0.00790142j -0.006651+0.000686904j 0.00805432+0.00426308j 0.00588805-0.00696345j -0.00739744+0.00455931j 0.00216389+0.00874553j 0.00607205-0.00412826j 0.00397852-0.000899209j -0.0039512-0.00279449j 0.0058396+0.00820982j -0.00120083+0.00715923j -0.00239991-0.00455025j 0.000535684-0.00303698j 0.0125334+0.00107368j 0.0036841-0.00135147j -0.0069339-0.00293151j 0.000292777-0.00782569j 0.00729243-0.00610568j -0.000811457-0.00637405j 
-0.00877296+0.00900111j -0.00623592-0.00225143j 0.0195631+0.0112573j -0.00235115+0.00436538j -0.00582174-0.000734158j -0.00172056+0.000197083j -0.00564963-0.00310463j -0.00959029-0.0159517j -0.0172474+0.0119613j -0.00235805+0.00272715j 0.00277832+0.00440092j 0.00386296-0.00455454j -0.00101627+0.00195349j -0.00221133-0.00136062j 0.00749249+0.00720155j -0.000108944+0.0106731j 0.00208247+0.00177911j -0.00329279-0.00483442j 0.0211523+0.00160593j -0.00161713-0.00150364j -0.00356827+0.0114356j 0.00597022-0.0175869j -0.0110688-0.00320862j 0.00360966+0.00653369j 
-0.00372893+0.00628824j -0.00624545-0.00277365j 0.0136859+0.00524925j 0.000236444-0.00310715j 0.00036079+0.00118427j 0.00203222-0.00856697j 0.00551974+0.00116062j -0.008649-0.00865742j -0.00970343+0.00786192j -0.000850743-0.00236616j 0.00111964+0.00199769j -0.00344368+0.00713549j 0.00475778-0.0056004j -0.00201398+0.00253071j -0.00491618-0.00462158j -0.00142356-0.00741445j -0.00784008-0.00554089j 0.00132986-0.0014218j -0.00613249+1.2665e-05j 0.00116117-0.00775724j 0.0147813+0.00553404j 0.00412606+3.02506e-05j -0.0120498+0.0148253j 0.00871021+0.00964338j 
0.00420775-0.0126384j 0.0217777+0.00920553j -0.00790454+0.00217313j 0.000660552+0.00957034j -0.00827242-3.32017e-05j 0.000334993+0.00299655j -0.00714585+0.00103108j -0.00494901-0.00525625j -0.00269128+0.00520112j 0.00228535-0.000348567j -0.000645503-0.00551187j -0.00149603+0.00187133j 0.00546324-0.0156395j 0.00448331-0.00341874j -0.00151888-0.00175163j -0.000628853-0.00167763j -0.0232309-0.00638732j -0.00138423+0.000578247j -0.00138781+0.000441198j 0.00271964-0.0174082j 0.00335472-0.000648386j 0.00074245-0.000188694j -0.00380953+0.00286914j 0.00154915+0.0020371j 
0.00120799-0.00589915j 0.00306935+0.00324562j -0.00399152-0.00319525j 0.000211793-0.0013384j 0.00283589-0.0017751j 0.00406288+0.00702402j -0.00208112+0.00227638j 0.0202043+0.00805403j 0.00986-0.0188365j 0.00204784+0.00167974j -0.000185747-0.00357709j -0.00132822-0.00242716j 0.000467223-0.00356817j 0.00373471-0.00251594j -0.00174103-0.000509551j 0.00144062+0.0191523j -0.00692791-0.000694126j -0.0131021+0.00692651j 0.0300296+0.000826534j -0.00438213-0.00909575j 0.0102311+0.0175586j 0.000933189-0.0252378j -0.0168977+0.015577j 0.0126533+0.00807931j 
-0.00235959+0.0137956j 0.0117339+0.00219599j -0.0138559+0.00128837j 0.0022456+0.00478978j -0.00214084-0.000650746j 0.00805316+0.0200902j -0.0228065+0.00844512j -0.00393694-0.00918229j -0.00268447+0.00674736j 0.00195398-0.00161676j -0.00277915-0.00529868j -0.00295037+0.00363342j -0.00481872+0.013493j 0.00402533+0.0011242j -0.00860089-0.00385131j 0.0011672+0.00659558j 0.019014+0.0038377j -0.00699102+0.00854671j 0.00872444+0.00482028j -0.00279513+0.0119791j 0.00381667+0.00669085j -6.73153e-05-0.00815925j -0.00481746+0.00600123j 0.00440538+0.00269274j 
-0.0048322+0.0114572j 0.00863162+0.0021412j 0.03123+0.00289139j -0.00224401-0.0071559j 0.00700793-0.00174302j -0.0002429+0.00102247j 0.000819235-0.000780899j 0.00710626+0.00309579j 0.00176806-0.00648426j 0.00381418-0.00147841j -0.0029401-0.00581168j -0.0012724-0.000242621j 0.0026301-0.00948172j 0.00566486-0.00302938j -0.00419107-0.00021719j 0.0012154+0.00392612j -0.0138183-0.00394863j -0.00121184+0.0057237j -0.00192862+0.00071066j 0.00394315-0.00844705j -0.00950303-0.0082933j -0.00249035+0.00677357j 0.00870487-0.0109364j -0.0079704-0.00565128j 
-0.00079348+0.0177697j 0.00740905-0.00037613j -0.0056924+0.00325867j 0.000787434+0.0185024j -0.0191386+0.0027923j -0.00938064-0.016232j 0.0144834-0.00788973j 0.00137354+0.00531305j 0.00232404-0.00329247j -0.00574732+0.0024291j 0.00483084+0.00630338j -0.00278558+0.0049231j 0.00151747-0.00419394j -0.00419889+0.000963585j -0.00556823+0.000242885j 0.0072732+0.0126979j -0.00713844-0.00099298j -0.00490315+0.00712333j 0.014542-0.00586463j 0.000148776-0.005496j -0.00479632+0.00283722j -0.00471976-0.00859587j -0.00102379-0.00574417j -0.00160617-0.00136418j 
0.000576591+0.0305469j -0.0160331-0.0027721j -0.0180801+0.00319663j 0.00245479+0.00459495j -0.0046152+0.000622844j 0.00530897+0.00384354j -0.00250042+0.00400097j 0.00390955+0.000805502j 0.00210565-0.0047931j 0.00203248+0.00174j -0.00155055-0.000960676j 0.00711792-0.0130506j 0.00126922-0.000432137j -0.000749271-0.00389438j 0.0219296+0.00328662j -0.0115358-0.0208121j -0.000145788-0.000613009j 0.010686-0.0219233j -0.0197735+0.00438731j 0.00155939+0.000799956j 0.00172946-0.00306128j 0.00775811+0.0107443j 0.00118711+0.00100319j -0.00131238+0.000530025j 
0.000343957+0.00231762j -0.020064-0.00303887j -0.0193015+0.00308933j -0.00301199-0.0146944j 0.0138394-0.00157612j -0.00566104-0.00224532j 0.0017712-0.00511362j -0.0133673-0.000838605j -0.00308602+0.0136372j 0.00534972-0.00531788j -0.002879-0.00923822j -0.0098864+0.0117701j -0.00101799+0.000594247j 0.00956495+0.00188102j -0.0261944-0.00389575j 0.0156997+0.0275914j -0.000623597-0.00184366j -0.0136507+0.0292502j 0.0224822-0.00441451j 0.00186153-0.000864708j -0.011395+0.00133651j -0.0105227-0.0080845j 0.00128927-0.0129096j -0.00631162-0.00220892j 
-0.0010108-0.0179718j 0.00518212+0.00253482j -0.00675153+0.00102486j -0.0015678+0.000295493j 0.00107814-0.00265002j 0.00906422+0.0103262j -0.0144316+0.0107318j -0.0183122-0.00744029j -0.00394938+0.0184911j -0.00151591+0.00247495j -7.1163e-05+0.00457036j 0.0046155-0.00962539j 0.000480867-0.00561911j -0.00452358-0.00433454j 0.0163346+0.00416793j -0.00501307-0.00717479j -0.00744656+0.00110763j 0.00520329-0.0136127j -0.0047809+0.000110888j 0.00091328-0.00473086j -0.0077699-0.00356648j 0.0027982+0.0025988j 0.00278816-0.00953907j -0.00454347-0.00251387j 
0.00377443+0.011851j 0.0299217-0.00341989j 0.011439-0.00097091j -0.00111204+0.0048472j -0.00487691-0.000679575j -0.00366534-0.000409166j -0.0026866-0.00110354j -0.00697348-0.00186146j -0.00116354+0.00752617j 0.00708402-0.00667314j -0.010117-0.0109697j -0.00170876-0.00424212j 0.000566548+0.0105763j 0.00966408-0.00643463j 0.000601564+0.000793674j 0.00150503+0.00450827j 0.0131766-0.00377006j -0.00232079+0.00424204j 0.00423174+0.0018567j 0.0043336+0.00928721j -0.00611578+3.85531e-05j -0.00171438-0.000284398j 0.00238522-0.00719799j -0.00393056-0.00154085j 
-0.00188563-0.0133162j 0.0149513-0.00177274j -0.0106464+0.00106543j 0.000452106+0.000932179j -0.00294204+0.00347456j -0.0184689-0.0174557j 0.016986-0.0170146j -0.00262745+0.0039705j -0.00141669+0.00144694j 0.00403536-0.00678142j -0.00719138-0.00394128j -0.000616022-0.00662551j 0.00189672+0.014794j 0.00288037-0.00273849j 0.00978952-0.000708497j -0.00505414-0.00739091j 0.0200913-0.0040117j 0.00232619-0.00966236j -0.0068372+0.00253916j 0.00372611+0.0140118j 0.00427704+0.00274929j 0.00397122+0.00264735j -0.00280938+0.00356352j 0.00226107+0.00396866j 
-0.00132431-0.00579407j -0.00307947+0.00262854j 0.00281506-0.00152469j 0.010766+0.0223806j -0.0210203+0.0106003j 0.00115646-9.97083e-05j -0.0034335+0.0038619j -0.00285063-0.00210275j 0.000290615+0.00247108j -0.0130595+0.0116765j 0.0195458+0.0101032j 0.00370406+0.0263856j -0.00021509+0.00382369j -0.00560977+0.0181352j -0.0308408+0.0039285j 0.00769136+0.00386578j 0.00683192-0.000538763j 0.00164312+0.0169568j 0.00159424+0.00355393j 0.001385+0.00417652j -0.00213457-0.00100109j -0.000189994+0.00140309j 0.00122457-0.00260312j -0.00177053-0.00028785j 
-0.00458627-0.0120768j -0.00947825-0.000404378j 0.0201419-0.00992523j -0.00218238-0.0035372j 0.00367846-0.00318619j 0.00828468+0.00593123j -0.00330572+0.00627879j 0.00965456-0.00105454j 0.000427048-0.00829305j -0.000608964+0.00362718j 0.00470775+0.00230997j -0.000103155-0.00214295j 0.00315319+0.0161098j -0.00123548+0.00592765j 0.00121721-0.00113517j 0.00153928+0.00065901j 0.0232898-0.00655266j -0.000385787+0.00064942j 0.000896866-0.00102334j 0.00645653+0.0158816j -0.00137698+0.00381389j -0.0015116+0.00035778j 0.000391792-0.00320263j -0.00250143-0.000879215j 
0.00362471+0.00628684j 0.0136164-0.0044578j -0.00557648+0.0015573j -0.00733795-0.00719569j 0.00883882-0.00716981j -0.00298761+0.000752033j 0.000760267-0.00472813j 3.95038e-05-0.000335067j -0.0019008+0.000538793j -0.00825648+0.00959683j 0.0156209+0.0155344j 0.00107279-0.00214209j 0.00542464+0.00407809j -0.0126349+0.0112702j 0.00829331-2.83435e-05j 0.00260299+0.000387971j 0.00790516-0.00568713j -3.93157e-05-0.00743834j 0.0037545-0.00909183j 0.00415525+0.00474369j 0.00232955+0.00444444j -0.00323009-0.00539635j -0.0025733+3.28106e-05j 0.00188459-0.000175517j 
-0.00842999-0.00948846j -0.0207226+0.00870018j 0.00472353+0.000132945j 0.00959891+0.0157638j -0.0166233+0.0121908j -0.0068682-0.0020532j -0.000544792-0.00460832j -0.00268597-0.000928619j -0.00166028+0.00386904j 0.00186705-0.00576337j -0.012561-0.000409365j -0.00412631-0.0161662j 0.00203961+0.00343867j -0.00166472-0.0150621j 0.0212312-0.00392332j -0.000308356+0.00290076j 0.00211527-0.0017933j -0.00357974-0.00859428j 0.00677694-0.0069409j 0.00179581+0.00214235j -0.00437515+0.00216453j -0.00469557-0.00613233j 0.000931693-0.00594648j -0.00210133-0.00352452j 
0.000949127+0.000235367j 0.00406285-0.00254929j -0.000738476+0.00351099j -0.0055716-0.00574069j 0.00669346-0.00449638j -0.00594776-0.00108778j 0.00170721-0.00592141j -0.00482037+0.00328205j 0.000487493+0.00571343j -0.00102333+0.00543152j 0.00845335+0.00611723j -0.00236426-0.00831999j -0.00192658-0.00292631j -0.00754752+0.00369065j 0.0132452-0.00285173j 0.0052493+0.00334326j -0.00238477+0.0044674j -0.00287782-0.00580417j 0.00296354-0.0117288j -0.00186154-0.00145165j -0.00825298+0.00386787j -0.00612328-0.00204189j -0.00240238-0.0113757j -0.00600065-0.00165591j 
-0.00160494+0.00293614j 0.000224134+0.00592742j 0.00155507-0.00271465j 0.0103818+0.00372208j -0.00431726+0.0104108j 0.00236793+0.00324027j -0.00333414+0.00451108j 0.00251156-0.00050778j 0.00201932-0.00307538j 0.00150684-0.0160814j -0.0251552-0.00323812j -0.00758719+0.00192957j -0.000142513+0.00251261j 0.00262212-0.0180482j -0.00608198-0.00498739j -0.000594537-0.000747551j 1.46386e-05-0.000148702j 0.000790281+0.00770396j -0.00190366+0.0050263j 4.22186e-05+0.000371004j 0.00162386-0.000735827j 0.0012612+0.00444514j 0.000294736+0.00275419j -0.00027635+0.00146524j 
-0.0006614-0.00071666j -0.00245556+0.000310701j 0.00126239+0.000110498j -0.000276932+0.00346338j -0.0032662-0.000614389j -0.000422297+0.000543155j -0.0010956-0.000572504j 0.000272735+0.000509764j 0.000584114+0.000459671j 0.004509+0.00370143j 0.00561637-0.00642508j -0.000407169-0.00305285j -0.000552753-0.000515041j 0.00385001+0.00385061j 0.00321727-0.00245929j 0.00117106+1.97531e-05j -6.9256e-06+2.05083e-06j -0.00296151-0.000897499j -0.00137087-0.00279909j 8.50842e-05-0.000162113j -0.000686+0.00161409j -0.00252384-3.14806e-05j -0.00172925-0.00163759j -0.00153016-0.000220585j 
