0.00528069-1.96893e-15j 0.00642088-4.28373e-16j 0.00283912-3.22041e-17j -0.00547813+3.58451e-17j -0.00200862-5.71676e-18j 0.00665583-3.47958e-17j 0.00333437-3.15001e-18j -0.00271666-5.39848e-18j -0.00493816+2.69556e-18j 0.000638312-2.50401e-18j -0.00257598+1.45923e-17j 0.00704374-2.67782e-17j 0.000491212+2.27839e-17j -0.00430305+6.06533e-18j -0.0060864+4.00165e-17j -0.00359991-1.73651e-17j 0.00288983+1.69406e-16j -0.00363781-5.38388e-17j -0.0018029+1.42997e-17j -0.00455908-1.1604e-17j 0.0016031-1.16611e-17j -0.00103342+1.07815e-18j 0.00422756+7.34601e-18j -0.00278654-6.72498e-19j 0.00669876+5.3678e-18j 0.000351449+8.61771e-18j -0.00746084-2.55031e-17j -0.00209666+8.16294e-17j -0.00220762+5.60753e-17j -0.0071273-1.08158e-17j -0.00109934+4.97038e-17j 0.00476902+1.46293e-18j 0.00541187+1.49771e-17j -0.00148662+1.49278e-17j -0.000893653+2.20206e-20j -0.00253236-9.32582e-18j 0.00626695-8.33953e-17j -0.000678514+2.9648e-17j 0.00259164+8.42191e-17j -0.0037266-5.91995e-17j -0.00166094-2.19921e-17j 0.00520532+4.68407e-18j -0.0049636-3.60953e-17j -0.00224424+1.27453e-17j -0.00674662-1.68408e-17j -0.00379795-4.85415e-17j 0.000662469+6.75109e-18j -0.0025107-8.74442e-18j -0.00368887-8.821e-18j 0.00511962+7.84027e-18j 0.0057557+1.45651e-17j -0.000691912-6.67039e-18j -0.00452154+2.76504e-17j -0.00429111+2.60369e-17j 0.00593801-6.07079e-16j -0.00570066+2.78607e-15j 
0.00251594-8.73249e-16j 0.0020382-1.89349e-16j 0.00261345-1.61216e-17j -0.0011753+1.5011e-17j 0.00054135-3.70278e-18j 0.00171372-1.00124e-17j 0.00314218-2.12154e-18j -0.00210346-1.69492e-18j 0.00051926-1.98663e-18j 0.000279672-2.17747e-18j -0.00243446+6.86284e-18j 0.00237595-1.29278e-17j -0.00255224+1.70769e-17j -0.00248997+6.02754e-18j -0.00155708+2.67812e-17j 0.000741299-2.28945e-17j 0.00196963+1.06239e-16j -0.000445862-1.42554e-17j 0.000264855+1.30102e-17j -0.00351798-4.03911e-18j 0.00172803+4.13498e-18j 0.00159041+1.60177e-17j -0.00114711-4.48503e-18j -0.00378474+8.64927e-18j 0.000688588+9.00007e-18j 0.000831836+1.31113e-17j -0.0025498-1.11381e-17j -0.000815674+2.92215e-17j -0.000870625+2.38778e-17j -0.00317368+2.12098e-18j 0.000235296+4.17115e-17j 0.00382609+1.71798e-17j -0.000571878-2.39859e-18j -0.00337499+6.32422e-18j 0.00161389-6.85888e-18j 4.95039e-05+8.10929e-18j 0.000710739+2.10963e-18j -0.00116932+2.42367e-17j 0.00203455+3.24231e-17j -0.000690727-2.27741e-17j -0.00282512-2.36703e-18j 0.00280081+7.59721e-18j -0.00117682-4.17465e-18j 0.00182977+3.42902e-18j -0.00299584-1.4415e-18j -5.30542e-05-1.74894e-17j 0.000224985+1.94735e-18j -0.00343553-5.00762e-18j -0.000415272-5.0183e-18j 0.000196515+6.10772e-18j 0.00314964+3.90577e-18j -0.00159717-9.981e-19j -0.00274152+1.07204e-17j -0.000190358+7.37546e-18j 0.00280772-2.09198e-16j -0.00179254+9.57262e-16j 
-0.00206376+8.41472e-16j -0.00361543+1.81489e-16j 0.000256305+1.7675e-17j 0.00369521-1.23985e-17j 0.00240822+6.43049e-18j -0.00418004+1.71647e-17j 0.000379928+7.81379e-18j 0.000185127-1.04515e-18j 0.00504128+5.1171e-18j -0.000275944+2.80293e-20j -0.00030105-1.14324e-17j -0.00381444+8.75202e-18j -0.00321049-1.30203e-17j 0.0012052-2.14406e-18j 0.00383328-3.99689e-18j 0.00406808-5.36908e-19j -0.000487174-3.52438e-17j 0.00281634+3.72661e-17j 0.00192209+4.96962e-18j 0.000323718-6.93022e-19j 0.000418111+1.94036e-17j 0.00266025+2.42683e-17j -0.00507697-2.26164e-17j -0.00157292-6.66324e-19j -0.00532956-2.78625e-18j 0.000582419+9.13301e-18j 0.00400439+1.25528e-17j 0.00101794-4.23514e-17j 0.00105904-2.50091e-17j 0.00302599+1.06113e-17j 0.00125197+2.74461e-18j -0.00018034+2.50196e-17j -0.00552792-2.68393e-17j -0.00230798-1.77299e-17j 0.00255892+3.1885e-19j 0.00235039+2.13676e-17j -0.00491393+7.10115e-17j -0.000651393-4.20506e-18j -0.000146392-3.72316e-17j 0.0026316+3.20685e-17j -0.00155419+8.78459e-18j -0.00168678+6.98489e-18j 0.0032269+3.12599e-17j 0.00401773+2.87361e-18j 0.00287341+1.23293e-17j 0.00338713+3.07601e-17j -0.000357098-4.15115e-18j -0.00144478-7.18733e-18j 0.00289579+6.64371e-18j -0.00443042-7.65866e-18j -0.00180804-5.4501e-18j -0.00110275-2.75132e-19j 0.00113085-1.72929e-17j 0.00368566-9.72065e-18j -0.00234382+3.25857e-16j 0.00322834-1.48807e-15j 
-0.0118051+4.31062e-15j -0.0129386+9.38359e-16j -0.00809484+6.94325e-17j 0.0102574-7.96284e-17j 0.00241304+1.09122e-17j -0.0128588+7.08601e-17j -0.00960788+3.45152e-18j 0.00719492+1.33709e-17j 0.00705766-7.45072e-18j -0.00139307+6.89147e-18j 0.00743224-2.90417e-17j -0.0143878+6.10367e-17j 0.00276474-5.28992e-17j 0.0102293-1.59628e-17j 0.0117447-1.02169e-16j 0.0046421+5.38659e-17j -0.00728213-4.1613e-16j 0.00634766+1.02179e-16j 0.00247235-4.29175e-17j 0.0120578+2.80733e-17j -0.0049206+9.96611e-18j -0.000577299-2.87472e-17j -0.00506804+1.45472e-18j 0.00963589-4.40058e-18j -0.0115051-1.62275e-17j -0.00170678-3.3434e-17j 0.0152857+5.46953e-17j 0.00443306-1.69094e-16j 0.00468401-1.2141e-16j 0.0156254+1.5012e-17j 0.00140524-1.37728e-16j -0.0128156-3.08671e-17j -0.0077308-1.37254e-17j 0.00702045-2.55046e-17j -0.000829976+4.70794e-18j 0.00391981+9.15357e-19j -0.0108558+1.32662e-16j 0.00268978-7.81053e-17j -0.00690248-1.80065e-16j 0.00682698+1.22942e-16j 0.00653267+4.31932e-17j -0.0120813-1.97522e-17j 0.00944916+6.07691e-17j 0.000997895-3.14033e-17j 0.0147792+2.93711e-17j 0.00605528+9.72138e-17j -0.0013553-1.32481e-17j 0.0087173+2.66615e-17j 0.00638566+1.83473e-17j -0.00833579-1.64206e-17j -0.0134318-3.05196e-17j 0.00330404+1.51065e-17j 0.0109222-5.60626e-17j 0.00702236-5.4855e-17j -0.0132449+1.24501e-15j 0.0114636-5.71625e-15j 
-0.00763796+2.88984e-15j -0.00993+6.27621e-16j -0.00331264+5.00281e-17j 0.00882691-5.05922e-17j 0.00384869+1.11421e-17j -0.0105446+5.21079e-17j -0.00384463+8.98177e-18j 0.00341989+5.63535e-18j 0.00895089+4.90453e-19j -0.000938645+3.0789e-18j 0.0029658-2.49018e-17j -0.0108051+3.76097e-17j -0.00246487-3.62441e-17j 0.00594699-8.90358e-18j 0.00964879-5.08419e-17j 0.0067536+2.15644e-17j -0.00380659-2.26759e-16j 0.00607229+8.76232e-17j 0.00331532-1.42288e-17j 0.00574682+1.318e-17j -0.00171158+2.58547e-17j 0.00280615+1.34428e-17j -0.00810524-2.30185e-17j 0.00248331-4.47315e-19j -0.0112651-8.79791e-18j -8.99997e-05-4.97213e-18j 0.011424+3.85136e-17j 0.00314799-1.2414e-16j 0.00330717-8.2907e-17j 0.0104487+1.92308e-17j 0.00206803-5.87885e-17j -0.00591946+1.33972e-17j -0.00981131-3.47409e-17j 0.000471154-2.94182e-17j 0.00257685+8.00652e-19j 0.00445365+2.41304e-17j -0.010497+1.42381e-16j 0.000448686-3.88877e-17j -0.00324495-1.23991e-16j 0.00607318+9.10696e-17j 0.0011218+3.1209e-17j -0.00732697-1.40321e-18j 0.00792739+6.24294e-17j 0.00507143-1.29837e-17j 0.00989588+2.75847e-17j 0.00659928+7.7532e-17j -0.00101527-1.06554e-17j 0.00222146+5.68314e-18j 0.00618072+1.49536e-17j -0.0088171-1.46027e-17j -0.0080685-2.06345e-17j 0.000202688+7.53957e-18j 0.00617016-4.408e-17j 0.00737407-3.69074e-17j -0.00860218+9.2973e-16j 0.00882688-4.26166e-15j 
-0.00463151+1.47886e-15j -0.00174459+3.20875e-16j -0.00729002+2.71402e-17j -0.000657398-2.62085e-17j -0.00394265+5.13677e-18j -0.000289172+7.95385e-18j -0.00883899+1.51201e-19j 0.00546315+4.21035e-18j -0.00660294+3.42769e-18j -0.000466772+5.86462e-18j 0.00685508-8.59542e-18j -0.00244694+2.51806e-17j 0.0101768-3.62255e-17j 0.0054485-1.50899e-17j 0.000226253-6.6723e-17j -0.00619459+6.50547e-17j -0.00479141-2.48032e-16j -0.00171045+1.17541e-18j -0.00269728-3.87714e-17j 0.0091224+9.19796e-18j -0.00507704-2.96476e-17j -0.00702297-6.53834e-17j 0.00832753+3.15644e-17j 0.0117985-2.62586e-17j 0.00365386-2.39778e-17j -0.00283766-4.37252e-17j 0.00271807+1.74918e-17j 0.00114121-3.47974e-17j 0.00124647-3.83613e-17j 0.00540573-1.71812e-17j -0.00192566-1.14045e-16j -0.0100987-6.93385e-17j 0.00724703+3.04696e-17j 0.0114563-2.52113e-18j -0.00698142+2.08058e-17j -0.00256077-4.24373e-17j 0.00316501-8.14176e-17j 0.00381609-6.20482e-17j -0.00531791-4.73029e-17j -0.000861402+2.9155e-17j 0.00919959-5.69566e-18j -0.00578667-2.65943e-17j -0.000169602-2.00088e-17j -0.00906852-8.4643e-18j 0.00508526-9.3401e-18j -0.00335593+1.72145e-17j -0.000235944-9.94887e-19j 0.0107274+1.75193e-17j -0.00187474+8.04415e-18j 0.00404789-1.09953e-17j -0.00659912-3.64468e-18j 0.00543241+1.14657e-18j 0.0062015-1.22855e-17j -0.00329518-7.73595e-18j -0.00512658+2.26433e-16j 0.00148404-1.03562e-15j 
-0.00759679+2.76762e-15j -0.00823389+6.03037e-16j -0.00532318+4.31304e-17j 0.00647112-5.21074e-17j 0.00141736+5.67423e-18j -0.00814307+4.59754e-17j -0.00632331+2.94709e-19j 0.00470322+9.64685e-18j 0.00428205-7.15337e-18j -0.000894255+4.49212e-18j 0.00489193-1.71416e-17j -0.00917021+3.97115e-17j 0.00203109-3.16376e-17j 0.00662253-9.689e-18j 0.00743655-6.73423e-17j 0.00276517+3.36586e-17j -0.00473978-2.70999e-16j 0.00396844+6.36635e-17j 0.00148939-2.9229e-17j 0.0078811+1.98005e-17j -0.00325368+4.34911e-18j -0.000559822-2.20581e-17j -0.00297554+4.6899e-18j 0.00642304-7.33656e-19j -0.00717745-8.92989e-18j -0.00115841-2.30797e-17j 0.0097458+3.4699e-17j 0.00283619-1.07948e-16j 0.00299786-7.78679e-17j 0.0100351+9.41158e-18j 0.000835667-9.09814e-17j -0.00838758-2.34674e-17j -0.00469007-5.05839e-18j 0.0047589-1.3324e-17j -0.000718526+1.52772e-18j 0.0024089-1.67287e-18j -0.00678017+8.34753e-17j 0.00180742-5.02003e-17j -0.00451419-1.16279e-16j 0.0042952+7.77911e-17j 0.00438778+2.94115e-17j -0.00780357-1.40165e-17j 0.00597329+3.70964e-17j 0.000380041-2.28984e-17j 0.00949096+1.86837e-17j 0.00373787+6.04965e-17j -0.000863964-8.373e-18j 0.00581222+1.9882e-17j 0.00398793+1.07657e-17j -0.00516146-8.82368e-18j -0.00868044-2.03298e-17j 0.00224082+1.0957e-17j 0.00708173-3.48092e-17j 0.00435137-3.64587e-17j -0.00852139+7.93433e-16j 0.00729356-3.64552e-15j 
-0.0110028+4.29394e-15j -0.0163607+9.33327e-16j -0.00223302+7.20148e-17j 0.0156048-7.60605e-17j 0.00856161+1.5421e-17j -0.0181249+8.73807e-17j -0.00240978+1.35405e-17j 0.00329706+8.83649e-18j 0.0186779-3.40091e-18j -0.00140139+2.48236e-18j 0.00184137-3.74902e-17j -0.0175387+5.34466e-17j -0.00916182-4.24531e-17j 0.00768118-7.31701e-18j 0.0166035-5.68638e-17j 0.0146757+3.79412e-18j -0.00428977-2.74406e-16j 0.0113399+1.50164e-16j 0.00703906-7.03576e-18j 0.00556826+2.02396e-17j -0.000523779+5.78702e-17j 0.00823673+5.26021e-17j -0.0180422-5.20716e-17j -0.0013709+1.47014e-17j -0.0212684-1.65682e-18j 0.00120832+1.16735e-17j 0.0184804+5.78998e-17j 0.00490388-1.98296e-16j 0.00512899-1.25153e-16j 0.015499+4.19697e-17j 0.00450772-4.77042e-17j -0.00539792+5.4467e-17j -0.0204778-7.19666e-17j -0.00469154-4.67837e-17j 0.00781959-1.06971e-17j 0.00894509+6.10921e-17j -0.0197031+2.87606e-16j -0.00105743-3.65692e-17j -0.00306386-1.93098e-16j 0.0109332+1.42905e-16j -0.00247968+5.90974e-17j -0.00990884+9.5503e-18j 0.0138123+1.16935e-16j 0.0131437-2.12909e-17j 0.0146956+5.26393e-17j 0.0130437+1.24492e-16j -0.00164507-1.79405e-17j -0.0013095+4.01808e-18j 0.0116067+2.09403e-17j -0.0172178-1.80874e-17j -0.0108026-3.49335e-17j -0.00226056+1.39126e-17j 0.00770574-6.94173e-17j 0.0143565-6.17885e-17j -0.0124349+1.50099e-15j 0.0145752-6.88406e-15j 
-0.00998718+3.6181e-15j -0.0104024+7.79728e-16j -0.00751973+7.87601e-17j 0.00791378-5.35432e-17j 0.00124349+2.71267e-17j -0.0101024+4.47295e-17j -0.00895568+2.72278e-17j 0.00651786-2.72224e-18j 0.00444131+2.7542e-17j -0.00116553+6.7377e-18j 0.00693061-4.31364e-17j -0.0116503+4.6673e-17j 0.00382284-8.39451e-17j 0.00888831-2.56618e-17j 0.00922104-7.96944e-17j 0.00261904+8.15024e-17j -0.00647643-3.54713e-16j 0.00468457+9.31971e-17j 0.00149312-2.69041e-17j 0.0109177+3.46268e-19j -0.00467638+1.76391e-17j -0.0015976-6.49093e-18j -0.00260402-3.11839e-17j 0.00946059-4.36845e-17j -0.00840044-4.25014e-17j -0.00179777-2.40102e-17j 0.0123967+5.0654e-17j 0.0036528-1.37818e-16j 0.00386621-1.01264e-16j 0.0131009+3.88235e-18j 0.000784597-1.1741e-16j -0.0116696-9.3302e-18j -0.00486258-4.1754e-17j 0.00735952-5.76504e-17j -0.0017884+3.33178e-17j 0.00264728+7.71904e-18j -0.00797241+6.71106e-17j 0.00272614-8.3268e-17j -0.00626547-1.34927e-16j 0.00519796+1.11194e-16j 0.00660979+3.81008e-18j -0.0103917-9.6444e-18j 0.00736135+5.45401e-17j -0.000699669+1.02627e-17j 0.012387+1.67718e-17j 0.0041874+9.80183e-17j -0.00109832-1.09876e-17j 0.00856747-9.03043e-18j 0.00468748+2.94398e-17j -0.00585778-3.88332e-17j -0.0115803-1.25427e-17j 0.00347027-5.71015e-18j 0.009553-5.87768e-17j 0.00495354-2.42183e-17j -0.0111939+1.01692e-15j 0.0092065-4.63307e-15j 
-0.00655165+2.16459e-15j -0.00385735+4.90822e-16j -0.00859648-1.53032e-17j 0.00102261-7.40436e-17j -0.00353805-4.07105e-17j -0.00239248+5.16583e-17j -0.0103892-6.50051e-17j 0.00662688+4.35742e-17j -0.00543176-8.57942e-17j -0.000693558+5.92741e-18j 0.0080542+3.76958e-17j -0.0047951+4.89603e-17j 0.010604+5.35503e-17j 0.00710878+1.10777e-17j 0.00214743-1.13015e-16j -0.00541968-3.43688e-18j -0.00597109-3.45465e-16j -0.000667571-1.72528e-17j -0.00228606-8.05209e-17j 0.0110728+7.57436e-17j -0.00586959-6.73271e-17j -0.00710003-1.41427e-16j 0.00747764+1.32227e-16j 0.013346+6.95264e-17j 0.00176227+4.2887e-17j -0.0031099-7.39512e-17j 0.00521248+1.29106e-17j 0.00186375-6.26183e-17j 0.00200981-5.79616e-17j 0.00794904-1.13091e-18j -0.00169095-1.60177e-16j -0.0121707-1.44281e-16j 0.00596412+1.24684e-16j 0.0125766+9.33378e-17j -0.00709993-4.88539e-17j -0.00191305-7.95405e-17j 0.00138088+3.09017e-18j 0.00424675-4.23158e-17j -0.00643416-1.13123e-16j 0.000257803+2.15799e-17j 0.0102457+7.92624e-17j -0.00774915-5.69603e-17j 0.00137694-3.7602e-17j -0.00888277-1.10673e-16j 0.00749092+8.01776e-18j -0.00235681-1.83893e-17j -0.000457121-1.91174e-18j 0.0121272+1.09643e-16j -0.000825236-2.59315e-17j 0.00267391+5.12451e-17j -0.00878055-4.05932e-17j 0.00595957+5.11146e-17j 0.00797328+1.32558e-17j -0.00213798-7.01709e-17j -0.00728108+4.12436e-16j 0.00335611-1.98426e-15j 
-0.0151451+5.43111e-15j -0.0149315+1.17243e-15j -0.0124446+1.13238e-16j 0.0108159-8.39272e-17j 0.00064822+3.58834e-17j -0.0141162+6.64972e-17j -0.0148639+3.34368e-17j 0.0105523-1.19128e-19j 0.00436305+3.32669e-17j -0.00174727+1.08968e-17j 0.0115069-5.88458e-17j -0.0168577+7.2681e-17j 0.00809834-1.19919e-16j 0.0138419-3.78478e-17j 0.0128743-1.31011e-16j 0.00194288+1.2585e-16j -0.0103108-5.62802e-16j 0.00604072+1.27444e-16j 0.00133608-5.03498e-17j 0.0176677+7.18365e-18j -0.00788787+1.3732e-17j -0.00414284-3.17493e-17j -0.00133796-2.79011e-17j 0.0163759-6.13778e-17j -0.0106717-6.09306e-17j -0.00327495-4.70128e-17j 0.0179691+7.42613e-17j 0.00538794-2.01038e-16j 0.00571329-1.51196e-16j 0.0196835+1.60471e-18j 0.00056289-1.95978e-16j -0.0189798-3.66803e-17j -0.00477202-4.31556e-17j 0.0133628-7.4041e-17j -0.00439658+4.72399e-17j 0.00297712-3.41686e-18j -0.0102108+7.51804e-17j 0.00483281-1.30504e-16j -0.0101618-2.02892e-16j 0.00698654+1.60619e-16j 0.0117031+8.99185e-18j -0.0160235-2.25189e-17j 0.0101819+6.84407e-17j -0.00345531+5.38731e-18j 0.0186037+2.15922e-17j 0.00489934+1.37432e-16j -0.00159069-1.5455e-17j 0.0148416-1.82264e-18j 0.00599977+4.06134e-17j -0.00703081-5.25868e-17j -0.0178975-2.05835e-17j 0.00630933-4.41345e-18j 0.0149717-8.2691e-17j 0.00598051-3.93792e-17j -0.0169573+1.47382e-15j 0.0131985-6.72215e-15j 
