-0.00800953-8.72987e-15j -0.0169359-1.93656e-15j -0.00186465+2.49772e-17j -0.00813576-2.77373e-17j -0.0086174+5.45609e-19j 0.012524+5.82063e-18j 0.00157311-1.14793e-17j -0.00953739+4.79782e-18j -0.00986214+4.41024e-17j -0.00310401-9.18774e-19j -0.00792116+1.46451e-17j -0.00533943+5.63014e-18j 0.00665589+3.20919e-18j -0.00532477+1.32675e-17j -0.00356968-2.05219e-17j 0.00836918+4.61866e-16j 0.0131998-5.60683e-17j -0.00170285+2.13228e-16j -0.0024455-2.80357e-17j -0.00848731+6.38783e-18j -0.0011898+5.3708e-17j -0.00930195+6.06384e-18j 0.00719986-2.06264e-17j 0.0106883-4.84395e-16j 0.00777526+1.94386e-16j 0.00272503-6.43514e-17j 0.00538863-2.48994e-17j 0.000318852+7.76394e-17j -0.005184-7.80756e-18j -0.0026054+9.49365e-18j -0.00590649+1.14665e-16j 0.0089004+2.36682e-15j 0.00587097-1.59663e-16j -0.00398964+1.98842e-16j -0.017209-2.42933e-17j 0.00545635+1.90734e-17j 0.00878476+9.00177e-17j 0.00620924+8.16289e-16j 0.00964316-2.05668e-15j 0.00639923+5.78377e-15j 0.00564161+6.38747e-17j -0.00919139-3.72989e-16j -0.00941525-6.46022e-17j 0.00362998-1.01001e-18j -0.00141724+2.94686e-17j 0.0072304+1.59474e-16j -0.0062315-7.62524e-17j -0.00477449+5.66474e-17j 0.00892221-2.05167e-17j 0.0039838-3.66001e-17j 0.000462545+3.47468e-18j -0.00476638-3.12587e-16j 0.00477992-5.17663e-18j 0.0166227-1.42826e-15j 0.00655051-8.34629e-17j 0.00596556-1.04679e-17j -0.0109233-3.83301e-17j -0.000860762-8.96158e-18j -0.00334885-3.51475e-17j -0.00496474-1.30463e-16j 0.00432255+1.23653e-17j 0.00937465+3.24925e-16j -0.00323676-4.13473e-17j -0.00782259+6.78335e-17j 0.0056062+9.15825e-18j -0.00326914+2.25547e-18j -0.0103747+1.09436e-17j -0.00131511-4.93266e-18j -0.00164767+1.77613e-17j -0.011618+1.24346e-17j 0.0118293-1.59294e-17j 0.00745003-6.49397e-17j -0.00274806+1.09022e-17j -0.00280973+4.58686e-18j -0.00994152+9.23069e-18j 0.0131012+7.99701e-15j -0.0126362-3.59723e-14j 
-0.00852531-7.45011e-15j -0.00683842-1.65269e-15j 0.00887264+4.40614e-17j -0.00101444-4.3667e-17j -0.000495879+3.71495e-19j 0.00416181-7.0911e-18j 0.010074-3.93393e-18j -0.0059688+2.63815e-18j 0.00125757+4.80624e-19j 0.00104254+4.75368e-18j -0.00552404+1.42098e-17j -0.00171787-2.33473e-18j 0.000889106-1.10489e-17j -0.00315154+1.19692e-17j 0.000217535-2.07841e-17j 0.00711239+3.59773e-16j 0.000701027+2.19108e-17j 0.00296211-3.84165e-16j 0.00521224-1.1285e-16j 0.00218125+1.12278e-17j 0.00833265+2.71157e-17j -0.000901491+2.07287e-17j 0.00505223-3.1373e-17j 0.0127751-5.34415e-16j 0.00486839+1.16336e-16j -0.00420436+3.92728e-17j -0.00332176+5.65347e-17j 0.00371462-4.99004e-17j 0.00791807+2.60308e-17j 0.00459193+4.99677e-17j -0.00445641+6.80493e-17j 0.00544341+1.52032e-15j 0.000691295-8.61451e-17j -0.0050408+3.84271e-16j -0.00141057-7.41456e-17j -0.00900835-1.88184e-16j 0.00418992+1.21253e-16j 0.00479707+1.35545e-15j 0.00377992-1.95577e-15j 0.0033266+4.00243e-15j 0.00750988+8.70769e-17j 0.00601228+1.34469e-16j -0.00957906+3.69996e-17j 0.00566883-2.31942e-17j -0.00488993-1.18039e-17j 0.00719751+1.50046e-16j -0.00383429-1.20575e-17j 0.00290153-8.669e-17j -0.00710376+1.68039e-18j 0.000201523-1.70264e-17j -0.00302176+4.39963e-19j 0.00328308+1.6854e-16j 0.00819992-3.02127e-17j 0.00649136-5.90204e-16j 0.00503893-4.75469e-17j 0.00424024+5.28532e-19j 0.00404761-1.08865e-17j -0.00596395+2.78088e-18j 0.0006474+1.29026e-17j 0.00361296+2.16315e-17j 0.00988973+2.67953e-17j 0.00573583+1.66493e-16j -0.000325741-1.3642e-17j -0.000644709-3.2542e-18j 0.00176237+3.52805e-18j -0.00404766+3.07894e-18j -0.00296247+7.40151e-18j -0.000821234-9.57424e-18j -0.00718968+3.47065e-17j -0.00371677+7.98433e-18j -0.000472805-2.50818e-17j 0.00936277-3.73685e-17j -0.00651687+1.72964e-17j -0.00652361+1.45295e-18j 0.00332073+7.42004e-18j 0.0107656+3.14558e-15j -0.00372101-1.4147e-14j 
0.00926085+7.26908e-15j 0.00239322+1.60656e-15j -0.0140984-6.36651e-17j -0.00326736+4.10267e-17j -0.0036842-6.67929e-18j 0.00105424+2.24992e-17j -0.0135896-1.20246e-17j 0.0067676+1.16092e-18j -0.00610858+9.81444e-18j -0.000927531-2.53384e-18j 0.00647955-1.53946e-17j -0.000524205-6.24278e-18j -0.00173966+1.28991e-17j 0.00535956-1.68582e-17j 0.000881691+2.20576e-17j -0.00506476-2.55457e-16j 0.00553702-4.48839e-17j -0.00759777+9.09329e-16j -0.00628202+1.12928e-16j -0.00622468+8.74418e-18j -0.0147215-3.21169e-17j -0.000196782-1.29791e-17j -0.00289939+2.89118e-17j -0.0121136+4.87842e-16j 0.00081281+3.4933e-17j 0.00803057-1.02556e-16j 0.00548594-3.50668e-17j -0.0042356+6.0128e-17j -0.0159718-4.62506e-17j -0.00808049-6.8635e-17j 0.00304146-5.89037e-17j -0.00174274-5.75066e-16j 0.00301452+1.47249e-17j 0.00104593-8.2911e-17j -0.00253337+4.83426e-17j 0.0160958+2.83705e-16j 0.00019292-1.05155e-16j -0.00236355-2.83647e-16j -0.00405956+8.70716e-16j -0.00273877-2.47024e-15j -0.00650922-5.56861e-17j -0.0144288-4.12085e-16j 0.0139544-6.32608e-17j -0.00223067+1.82678e-18j 0.00572992+2.49491e-17j -0.00526765-9.80794e-17j 0.00194731-3.65323e-17j -0.00716837+1.34637e-16j 0.0142606-2.24397e-19j 0.00287661+2.65578e-17j 0.00730732+2.79642e-17j -0.00726851-4.03727e-16j -0.00586172+3.31939e-17j 0.000491446+1.29847e-17j -0.00321961+1.23417e-17j -0.00658493-1.21037e-17j -0.0104469-1.82131e-17j 0.0101709-4.64218e-18j -0.00561831-5.80785e-17j -0.00597595-9.65977e-17j -0.0130696-5.86212e-17j -0.00239955-5.60256e-17j 0.00193313-6.59425e-18j 0.000270791+8.88526e-18j -0.00353634-7.99982e-19j 0.00415076-1.19804e-18j 0.00127806-8.68237e-18j 0.00283791+2.07325e-17j 0.0110292-3.83099e-17j 0.00223759-7.56058e-18j 0.00781425+3.98142e-17j -0.00952143+1.47585e-17j 0.00854752-1.14087e-17j 0.00790497+6.68944e-18j -0.0106262-2.06286e-17j -0.0103732-9.50455e-16j -0.000469214+4.24613e-15j 
0.0210323+2.1912e-14j 0.038325+4.8605e-15j -0.00126321-7.81709e-17j 0.0175864+8.26496e-17j 0.0180063-2.10934e-18j -0.0285096-7.99862e-18j -0.00926267+2.61126e-17j 0.0217588-1.0132e-17j 0.0191889-8.9997e-17j 0.00477777-2.85661e-18j 0.0183883-3.50227e-17j 0.0121182-6.23339e-18j -0.0124502+4.82541e-19j 0.0112013-2.82245e-17j 0.00583294+5.47843e-17j -0.0218347-1.17446e-15j -0.0274597+1.00765e-16j 0.00286517-3.28262e-16j 0.000807206+1.39046e-16j 0.0155816-3.35632e-17j -0.00153452-1.24981e-16j 0.0181714-3.13128e-17j -0.0181157+6.46762e-17j -0.0299255+1.32658e-15j -0.0206268-5.10804e-16j -0.00337321+1.19383e-16j -0.00817144-6.98785e-18j -0.00329272-1.07628e-16j 0.00683388-6.45159e-18j 0.00269358-5.25831e-17j 0.0149489-2.67642e-16j -0.0222314-5.9494e-15j -0.0129392+3.95363e-16j 0.0130948-8.08171e-16j 0.0342851+1.12314e-16j -0.00602434+7.94046e-17j -0.0213364-2.64255e-16j -0.0162354-3.05101e-15j -0.0204505+5.79442e-15j -0.0145731-1.44186e-14j -0.0167013-2.00235e-16j 0.0158167+6.90611e-16j 0.0227721+1.07087e-16j -0.012684+3.26515e-17j 0.00608247-4.86821e-17j -0.0197728-4.32954e-16j 0.0152625+1.69704e-16j 0.008344-6.08381e-17j -0.0138854+4.32449e-17j -0.00882444+7.88291e-17j -0.000397481-1.46732e-17j 0.00789804+5.38863e-16j -0.0162881+3.31145e-17j -0.0386352+3.34026e-15j -0.0167695+2.06675e-16j -0.0131713+2.03623e-17j 0.0196138+8.53042e-17j 0.00438619+2.03377e-17j 0.00785584+6.92713e-17j 0.00725823+2.52216e-16j -0.0142809-3.43635e-17j -0.0231619-7.72733e-16j 0.00542578+9.74652e-17j 0.0149409-1.23279e-16j -0.0108093-2.33491e-17j 0.00912523-6.50294e-18j 0.0220302-2.57849e-17j 0.00212991+1.38917e-17j 0.00696106-5.30929e-17j 0.0248017-2.93186e-17j -0.0245327+4.91767e-17j -0.0209402+1.56332e-16j 0.00925713-3.3032e-17j 0.00967085-1.06624e-17j 0.0188144-2.4128e-17j -0.0326058-1.80764e-14j 0.0278966+8.13093e-14j 
0.00851758+8.11192e-15j 0.0108915+1.79961e-15j -0.00526296-4.25277e-17j 0.00452319+4.34362e-17j 0.00389541-9.78077e-19j -0.00863262+2.70976e-19j -0.00791583+7.33159e-18j 0.00576433-3.58161e-18j 0.00257439-1.6658e-17j -0.00117712-8.24366e-18j 0.00515752-1.17173e-17j 0.00363498+7.05414e-18j -0.000313399+1.06635e-17j 0.00163-6.25121e-18j -0.00107843+2.1035e-17j -0.00922592-4.68415e-16j -0.00577409+3.76282e-18j 0.00054103-1.63663e-17j -0.0046678+1.1472e-16j 0.0009451-3.50534e-17j -0.00377271-3.67605e-17j 0.00188827-3.09905e-17j -0.00711519+3.56876e-17j -0.0141524+6.01882e-16j -0.00971985-2.40969e-16j 0.00141204+1.58299e-17j 0.00177488-7.12472e-17j -0.00353149+4.14178e-17j -0.00198713-2.53667e-17j -0.00209171-4.51798e-17j 0.00588962-7.99533e-17j -0.00876808-2.37627e-15j -0.0037089+1.53371e-16j 0.00854161-6.48987e-16j 0.00473559+9.22616e-17j 0.00390812+1.37696e-16j -0.00797758-1.38777e-16j -0.00706029-2.29274e-15j -0.00385343+2.9487e-15j -0.00403839-5.49998e-15j -0.00880015-1.20508e-16j 0.000349293+6.58526e-17j 0.00676087-1.01525e-17j -0.00876458+4.15982e-17j 0.00453327+5.63417e-18j -0.00921542-2.02826e-16j 0.00560556+5.1146e-17j 0.000333266+4.66658e-17j 0.00180903+1.06713e-17j -0.0026793+1.43489e-17j -0.000192133-1.70794e-17j -0.000294715+2.57384e-18j -0.0105867+2.73898e-17j -0.0125319+1.09919e-15j -0.0068325+7.87606e-17j -0.00268133+5.31849e-18j 0.000847296+2.36195e-17j 0.00300138+6.10646e-18j 0.00327407+1.66898e-17j -0.00192916+3.14479e-17j -0.00800438-1.1713e-17j -0.00879278-2.6493e-16j -0.000906731+3.15405e-17j 0.00103201-3.42053e-18j -0.000501522-7.2231e-18j 0.0042355-2.7677e-18j 0.00454707-9.09757e-18j -0.000717859+3.31416e-18j 0.00459851-2.62549e-17j 0.00519315-1.07108e-17j -0.00539367+2.48913e-17j -0.00985979+5.34037e-17j 0.00532513-1.75784e-17j 0.00584722-3.08381e-18j 0.00233032-8.73749e-18j -0.0118224-5.13403e-15j 0.00735266+2.30919e-14j 
-0.00956267-5.79479e-15j 0.00802543-1.26824e-15j 0.0256836+1.35567e-16j 0.00849924-6.37674e-17j 0.0112433+2.10607e-17j -0.00649649-2.89206e-17j 0.0244128+6.18175e-17j 0.00171224+8.6601e-18j 0.0185436-2.75015e-17j 0.00980021+4.90343e-17j -2.26464e-05+1.41022e-17j 0.00292626-2.31373e-17j -0.0118697-7.58143e-17j 0.0035917+1.80663e-17j 0.00930929+7.38656e-18j 0.00763074+3.33574e-16j -0.0175999+1.1252e-16j 0.00740545-1.01736e-15j 0.0202065-2.38651e-16j 0.0195779+9.93908e-17j 0.021231+2.53919e-17j 0.0149833+1.0542e-16j 0.00366052-4.54542e-17j 0.0190967-6.85604e-16j 0.00603436+1.70218e-16j -0.0143717+1.43372e-16j -0.01901+2.00171e-16j 0.0104473-2.74024e-16j 0.0261793+1.43239e-16j 0.0157438+1.59242e-16j -0.00357438-2.30675e-17j 0.00321411+1.05329e-15j -0.00553976-3.91923e-17j -0.0123799+1.11399e-15j 0.0262895-1.40435e-16j -0.0313095-6.06072e-16j 0.000298756+2.22893e-16j 0.00522042+3.87211e-15j -0.00822309-3.23765e-15j -0.00197021+2.52745e-15j 0.0132614+2.21562e-16j 0.0279788+9.38634e-16j -0.00573054+2.06335e-16j 0.0144467-4.81889e-17j -0.0115225-1.16125e-16j 0.010101+2.39482e-16j -0.00149811+5.4614e-17j 0.0139583-2.9691e-16j -0.032344-3.91824e-17j -0.00394219+2.47482e-17j -0.00545539+1.63769e-17j 0.0154746+9.39621e-16j 0.0187757-2.14706e-17j -0.00550171+3.89741e-16j 0.00456189-3.44167e-18j -0.00163561+2.04634e-18j 0.0277068+8.55347e-17j -0.012106-6.36371e-18j 0.00309574+6.30427e-17j 0.0188241+3.02045e-16j 0.0185758+7.4051e-17j 0.00273457-4.35311e-19j 0.00750776+4.26924e-17j 0.0136023-1.02822e-16j -0.0080416-3.06815e-17j -0.00592516-1.05911e-17j 0.0100018+2.70031e-17j 0.00247657+2.91116e-18j -0.0147848+2.87962e-17j 0.0104185+2.92321e-17j -0.0171919-7.14118e-17j 0.0140292+3.15046e-17j -0.0125225+3.67024e-18j -0.0131781-3.34449e-17j 0.0223353+4.6897e-17j 0.00748659-3.91647e-15j 0.00931938+1.77223e-14j 
0.0310199+2.81537e-14j 0.031324+6.26198e-15j -0.0250147-1.00414e-16j 0.00587566+1.57795e-16j 0.0060406+2.08272e-17j -0.0169626+1.72978e-19j -0.029111+4.45583e-17j 0.0292993-2.66322e-17j 0.00350046-6.397e-18j 0.00386989-1.32374e-18j 0.0260415-7.6647e-17j 0.00708749-9.27749e-18j -0.0153085+3.03139e-17j 0.0202433-8.5722e-17j 0.00850846+6.4944e-17j -0.0224876-1.20654e-15j -0.0095421-5.13763e-17j -0.013357+1.61496e-15j -0.00754678+2.71107e-16j 0.00136767+5.82042e-17j -0.0280153-7.5422e-17j 0.0153254-2.26368e-17j -0.0165109+7.75673e-17j -0.0399629+1.7148e-15j -0.00876844-2.30913e-16j 0.011842-1.53341e-16j 0.00162084-3.23121e-17j -0.00842383-1.02138e-17j -0.0242353+1.25862e-17j -0.0119365-1.07473e-16j 0.014939-2.97799e-16j -0.0164993-4.63255e-15j -0.0026965+2.30266e-16j 0.00645209-2.86953e-16j 0.0233281+1.44296e-16j 0.0233923+4.43643e-16j -0.0124333-3.67592e-16j -0.0136456-1.30226e-15j -0.0243447+4.52032e-15j -0.0157665-1.36317e-14j -0.0209044-1.85218e-16j -0.0146653-1.552e-16j 0.044059-8.00243e-17j -0.00826885-2.87949e-17j 0.0132097-1.79997e-17j -0.02092-4.2554e-16j 0.0132742+4.82863e-17j -0.00697202+2.15827e-16j 0.0140752-4.56269e-17j -7.2357e-06+8.88324e-17j 0.0148062+1.30345e-17j -0.00699421-2.6841e-16j -0.0174262+6.54251e-17j -0.0240955+2.13212e-15j -0.0161429+1.41645e-16j -0.0236355+2.29625e-17j -0.00330462+8.51872e-17j 0.0221862-4.72143e-17j -0.00714096-2.01856e-17j -0.00335923+4.08511e-17j -0.0328111-9.29285e-17j -0.0187237-6.2199e-16j 0.0101052+3.14463e-17j 0.0139986-9.96243e-17j -0.0172257+6.51899e-18j 0.0132025-1.51658e-17j 0.0194831-2.78434e-17j 0.00858963+3.06756e-17j 0.0248757-1.54366e-16j 0.0235016-3.131e-17j -0.00240772+3.83551e-17j -0.0301518+1.4949e-16j 0.0212902-6.98833e-17j 0.01986-1.88703e-17j -0.00589799+1.45444e-17j -0.0412637-1.43908e-14j 0.0188238+6.47927e-14j 
0.00311834+7.04701e-15j 0.0285563+1.52563e-15j 0.0204081-7.89178e-17j 0.0217307-4.24766e-17j 0.0216048-4.9965e-17j -0.0284213+1.58176e-17j 0.0115351-3.82708e-17j 0.00362985+2.81183e-17j 0.0248176-1.59998e-16j 0.00146644-6.70526e-18j 0.00194773+3.98415e-17j 0.012182-4.36209e-18j -0.00111468-3.46698e-17j -0.00473629+6.94199e-17j -0.00192711+3.49067e-17j -0.0138786-7.21562e-16j -0.032457+2.31964e-16j 0.0185788-2.21502e-15j 0.00520108-9.31972e-18j 0.0207556-1.62078e-16j 0.0244748-1.73868e-16j 0.0102833-4.53918e-17j -0.0133412+4.4119e-17j -0.0105786+4.97286e-16j -0.0272049-6.25694e-16j -0.0160262+3.68947e-16j -0.0114596-2.14635e-17j 0.00145322-1.08422e-16j 0.0334618-1.03914e-16j 0.0146213-2.25899e-17j 0.00962833-1.22196e-16j -0.0203992-5.23591e-15j -0.0180361+4.50353e-16j 0.0183234-1.37535e-15j 0.0263221+6.35848e-17j -0.0298391-1.92799e-16j -0.0228231-6.59156e-17j -0.0137542-4.72649e-15j -0.00548785+5.62913e-15j -0.00667695-9.96299e-15j -0.00814748-1.80855e-16j 0.0376065+1.11045e-15j -0.00981607+2.68976e-16j -0.0160168+1.30126e-16j -0.00186022-3.29871e-17j -0.0127012-3.08779e-16j 0.0115889+2.17867e-16j 0.0191523-3.0328e-16j -0.0325114+1.67121e-16j -0.014372+4.57693e-17j -0.0164334-1.50842e-17j 0.0180351+1.00002e-15j -0.0127756+8.24336e-18j -0.0380389+3.28542e-15j -0.0116444+2.05449e-16j 0.004748-1.64741e-17j 0.0311774+5.26007e-18j -0.0150131+1.18578e-16j 0.0211329+9.5849e-17j 0.0119212+3.13979e-16j 0.00849394+9.06532e-18j -0.0193362-6.09691e-16j -0.00403823+1.41799e-16j 0.00653294-6.27396e-17j 0.0030186-6.37257e-17j 0.00207883+1.04103e-17j 0.0134054-1.62639e-17j -0.00679932+5.84245e-18j -0.0129884+1.02814e-16j 0.0134894-1.58669e-17j -0.035692+9.34859e-17j -0.00504209+8.87732e-17j -0.00541394+3.49451e-17j -0.00288756+1.88955e-17j 0.0340798-1.04447e-16j -0.0109218-1.38869e-14j 0.0245261+6.2319e-14j 
0.0314399+2.76586e-14j 0.0264007+6.14758e-15j -0.0316039-1.33721e-16j 0.00461397+1.74119e-16j 0.00276756+1.30388e-17j -0.0164184+1.02232e-17j -0.0363438+3.7997e-17j 0.0223013-1.77363e-17j -0.00343459+1.22388e-17j -0.00353763-1.60816e-17j 0.0205531-6.03057e-17j 0.00679668+1.46581e-17j -0.00368266+4.22878e-17j 0.0116722-5.36301e-17j -0.000583769+7.40359e-17j -0.0265493-1.34614e-15j -0.00401573-9.4244e-17j -0.0102624+1.35504e-15j -0.0186002+4.20058e-16j -0.00694331-2.61469e-17j -0.0296205-7.26598e-17j 0.00407292-7.21806e-17j -0.019007+1.12909e-16j -0.0471329+1.98601e-15j -0.0186351-4.60996e-16j 0.0147358-1.49689e-16j 0.0114481-2.1542e-16j -0.0134351+1.79397e-16j -0.0276882-5.74001e-17j -0.0161719-1.63942e-16j 0.0166965-2.55437e-16j -0.0206658-5.76347e-15j -0.00322537+3.17568e-16j 0.0188425-1.42005e-15j 0.00673845+2.85643e-16j 0.0316814+6.40051e-16j -0.0161672-4.57832e-16j -0.0180251-5.04977e-15j -0.0144226+7.32153e-15j -0.0125872-1.50509e-14j -0.0276998-3.18386e-16j -0.0204483-4.03388e-16j 0.0351089-1.49776e-16j -0.0210484+8.01995e-17j 0.0177537+3.17795e-17j -0.0267595-5.58817e-16j 0.0145032+5.5848e-17j -0.00982729+3.23321e-16j 0.0245092-3.61936e-17j -0.00125969+5.37197e-17j 0.0106006-2.0762e-17j -0.0112289-5.5209e-16j -0.030224+1.10257e-16j -0.0252982+2.27195e-15j -0.0188843+1.79846e-16j -0.0156541+1.08352e-17j -0.0133419+7.07076e-17j 0.0213609-2.88431e-17j -0.00173017-2.38171e-17j -0.0125216-5.06609e-17j -0.0359167-7.56671e-17j -0.0217361-6.41837e-16j 0.00132089+4.90917e-17j 0.00297596+7.68445e-18j -0.00669621-6.99123e-18j 0.0149024-1.56486e-17j 0.0116592-2.38834e-17j 0.00293446+2.71798e-17j 0.0258858-1.46429e-16j 0.0144732-2.75084e-17j 0.00026373+6.54966e-17j -0.0344679+1.51437e-16j 0.0236641-7.69153e-17j 0.0237391-1.71645e-17j -0.0107242+1.52495e-18j -0.0400296-1.21624e-14j 0.0147594+5.47507e-14j 
0.0223196+2.87702e-14j 0.0741742+6.38143e-15j 0.0315585-2.88403e-17j 0.0407155+4.13525e-17j 0.0448023-2.27545e-18j -0.0563981-4.93216e-17j 0.0163509+4.66349e-17j 0.0375789-2.25963e-17j 0.0560601-2.38143e-16j 0.0200439+1.46918e-17j 0.0298389-4.82554e-17j 0.0241857-3.90324e-17j -0.0349922-3.93736e-17j 0.0222018-5.08448e-17j 0.0208704+5.39792e-17j -0.0268695-1.57681e-15j -0.0688506+3.56287e-16j 0.0153167-1.97003e-15j 0.0268848-1.46411e-16j 0.0511997+2.34384e-18j 0.0258935-2.23303e-16j 0.0488372+1.95616e-17j -0.0257633+2.74932e-17j -0.0254008+1.25764e-15j -0.0279548-7.19741e-16j -0.0246147+4.32009e-16j -0.0377867+2.99374e-16j 0.00780776-5.6064e-16j 0.0462874+1.0986e-16j 0.0251151+7.25586e-17j 0.0204612-4.51464e-16j -0.0335254-8.74526e-15j -0.0292287+6.25711e-16j 0.00718032+4.64801e-17j 0.0902216-7.61717e-17j -0.0510848-5.64997e-16j -0.0359015-1.79602e-16j -0.0208143-5.11235e-16j -0.0437215+5.81417e-15j -0.0265286-2.09264e-14j -0.0111094-1.16216e-16j 0.0633706+2.31518e-15j 0.0288869+4.36311e-16j -0.00376051-7.44311e-17j -0.00467119-1.8791e-16j -0.0203679-4.72974e-16j 0.0237087+3.73721e-16j 0.032378-5.20345e-16j -0.0652865+1.17164e-16j -0.0203012+1.58772e-16j -0.00873114-1.26011e-17j 0.0334583+2.08376e-15j -0.00393676-5.83821e-17j -0.0722777+6.12688e-15j -0.0223317+3.20302e-16j -0.0229476+6.11618e-17j 0.0686618+1.73202e-16j -0.00917398+5.16324e-17j 0.0182136+2.17926e-16j 0.0361158+7.4793e-16j 0.000731319-9.69606e-18j -0.0355427-1.32405e-15j 0.0178022+1.7908e-16j 0.0416016-3.88369e-16j -0.0272467-3.32313e-17j 0.00752823-2.92997e-18j 0.0491128-4.42273e-17j 0.00599178+1.95044e-18j -0.00819082-1.20699e-17j 0.0541172-5.10897e-17j -0.0638671+2.26637e-17j -0.0167582+2.50801e-16j -0.00106648-1.33813e-17j -0.00101588-1.7725e-17j 0.060907-3.24761e-17j -0.0442215-3.52036e-14j 0.0586174+1.58353e-13j 
-0.019933-1.71776e-14j -0.0144485-3.79877e-15j 0.0243592+1.62623e-16j -0.00593831-1.19033e-16j -0.00154682+1.95442e-17j 0.0156747-2.31655e-17j 0.0303503+1.01411e-17j -0.00260411-4.82785e-18j 0.00728317+8.83705e-18j 0.0137856+4.47736e-17j -0.00362508+3.64334e-18j -0.00648331-4.77431e-17j -0.0164928-5.01291e-17j 0.00824125-2.77711e-17j 0.0156157-5.51571e-17j 0.0256+1.20339e-15j 0.00124825+6.44974e-17j -0.00351589+1.60353e-16j 0.0276738-4.71593e-16j 0.0125739+2.0201e-16j 0.0140896+8.42621e-17j 0.013428+1.47213e-16j 0.0184843-1.28476e-16j 0.0419658-1.71537e-15j 0.0336342+8.1413e-16j -0.00948556-1.1806e-17j -0.0199504+4.17102e-16j 0.0157085-3.80146e-16j 0.0137783+1.78265e-16j 0.012856+2.00082e-16j -0.0150206+1.06194e-16j 0.0238943+6.51209e-15j 0.00713954-4.36106e-16j -0.035708+2.99527e-15j 0.0166541-3.95152e-16j -0.0248816-6.61519e-16j 0.0211326+4.4028e-16j 0.0210737+1.02285e-14j -0.00633958-1.02452e-14j 0.00384876+1.35812e-14j 0.0293356+4.60292e-16j 0.0123074+3.78761e-16j -0.00369231+1.44269e-16j 0.0370787-2.36665e-16j -0.0173888-9.93652e-17j 0.0283323+6.31941e-16j -0.0133465-1.0205e-16j 0.00577646-2.88051e-16j -0.0235064-4.84911e-17j 0.00627148+1.71283e-17j 0.00460478+7.60879e-17j 0.00911827+5.4912e-16j 0.0417177-1.19409e-16j 0.0260782-2.35513e-15j 0.0183993-2.1151e-16j -0.00494203+8.76962e-18j 0.0166163-7.15194e-18j -0.0075727-4.21554e-17j -0.0129261-1.13876e-17j 0.0193871+1.14733e-16j 0.024118+2.16471e-17j 0.0223863+5.65476e-16j 0.0145069-8.08465e-17j 0.01461-1.50857e-16j -0.0139393+2.8862e-17j -0.0120378+3.48143e-18j 0.00262506+1.92163e-17j 0.0091337-4.46103e-18j -0.0137143+4.48564e-17j 0.00291088+2.27048e-17j 0.00416557-1.06477e-16j 0.0285251-1.04099e-16j -0.0164683+4.28644e-17j -0.0195767-4.68162e-18j 0.00588687+5.07441e-17j 0.0241875+6.90217e-15j -0.00802106-3.09883e-14j 
